"RegionID","RegionName","State","Metro","StateCodeFIPS","MunicipalCodeFIPS","SizeRank","1996-04","1996-05","1996-06","1996-07","1996-08","1996-09","1996-10","1996-11","1996-12","1997-01","1997-02","1997-03","1997-04","1997-05","1997-06","1997-07","1997-08","1997-09","1997-10","1997-11","1997-12","1998-01","1998-02","1998-03","1998-04","1998-05","1998-06","1998-07","1998-08","1998-09","1998-10","1998-11","1998-12","1999-01","1999-02","1999-03","1999-04","1999-05","1999-06","1999-07","1999-08","1999-09","1999-10","1999-11","1999-12","2000-01","2000-02","2000-03","2000-04","2000-05","2000-06","2000-07","2000-08","2000-09","2000-10","2000-11","2000-12","2001-01","2001-02","2001-03","2001-04","2001-05","2001-06","2001-07","2001-08","2001-09","2001-10","2001-11","2001-12","2002-01","2002-02","2002-03","2002-04","2002-05","2002-06","2002-07","2002-08","2002-09","2002-10","2002-11","2002-12","2003-01","2003-02","2003-03","2003-04","2003-05","2003-06","2003-07","2003-08","2003-09","2003-10","2003-11","2003-12","2004-01","2004-02","2004-03","2004-04","2004-05","2004-06","2004-07","2004-08","2004-09","2004-10","2004-11","2004-12","2005-01","2005-02","2005-03","2005-04","2005-05","2005-06","2005-07","2005-08","2005-09","2005-10","2005-11","2005-12","2006-01","2006-02","2006-03","2006-04","2006-05","2006-06","2006-07","2006-08","2006-09","2006-10","2006-11","2006-12","2007-01","2007-02","2007-03","2007-04","2007-05","2007-06","2007-07","2007-08","2007-09","2007-10","2007-11","2007-12","2008-01","2008-02","2008-03","2008-04","2008-05","2008-06","2008-07","2008-08","2008-09","2008-10","2008-11","2008-12","2009-01","2009-02","2009-03","2009-04","2009-05","2009-06","2009-07","2009-08","2009-09","2009-10","2009-11","2009-12","2010-01","2010-02","2010-03","2010-04","2010-05","2010-06","2010-07","2010-08","2010-09","2010-10","2010-11","2010-12","2011-01","2011-02","2011-03","2011-04","2011-05","2011-06","2011-07","2011-08","2011-09","2011-10","2011-11","2011-12","2012-01","2012-02","2012-03","2012-04","2012-05","2012-06","2012-07","2012-08","2012-09","2012-10","2012-11","2012-12","2013-01","2013-02","2013-03","2013-04","2013-05","2013-06","2013-07","2013-08","2013-09","2013-10","2013-11","2013-12","2014-01","2014-02","2014-03","2014-04","2014-05","2014-06","2014-07","2014-08","2014-09","2014-10","2014-11","2014-12","2015-01","2015-02","2015-03","2015-04","2015-05","2015-06","2015-07","2015-08","2015-09","2015-10","2015-11","2015-12","2016-01","2016-02","2016-03","2016-04","2016-05","2016-06","2016-07","2016-08","2016-09","2016-10","2016-11","2016-12","2017-01","2017-02","2017-03","2017-04","2017-05","2017-06","2017-07","2017-08","2017-09","2017-10","2017-11","2017-12","2018-01","2018-02","2018-03","2018-04","2018-05","2018-06","2018-07","2018-08","2018-09","2018-10","2018-11","2018-12","2019-01","2019-02","2019-03","2019-04","2019-05","2019-06","2019-07","2019-08","2019-09"
3101,"Los Angeles County","CA","Los Angeles-Long Beach-Anaheim","06","037",1,278000,278300,278600,278900,279200,279600,280200,280800,281800,283200,284300,285100,286000,287100,288500,290300,292300,294800,297600,300900,305000,309500,313700,317500,321000,324200,327100,329900,332700,335500,338600,341900,345700,349700,353400,356600,359800,362800,365500,368000,370200,372200,374400,376700,379500,382800,385900,388800,391700,394600,397500,400400,403200,406100,409000,412000,415200,418600,421900,425100,428100,431100,434000,436900,439900,442900,446200,449700,453700,458000,462600,467400,472700,478300,484500,491100,498100,505600,513500,521700,529800,537500,544900,552300,560000,567900,576400,585500,595100,604800,614800,624900,635700,647200,659800,673600,688600,704000,719200,733500,746500,758100,768200,776800,784500,792000,799300,806900,814600,822600,831100,840200,849300,858400,867000,874600,881000,886400,891000,895300,898800,901300,902300,901300,897800,893100,888200,883100,878300,873900,869300,864300,858800,852800,846600,840100,832700,825300,818300,811600,805100,798500,790400,780700,769200,757200,746000,737600,731700,727500,723600,720000,717200,714900,712100,708300,703200,697300,693200,693600,696800,700900,705100,708600,711500,713900,715000,712600,711600,713300,712900,707400,703400,699100,695000,691600,688900,684700,681000,678700,676300,673800,673000,672100,669200,665800,663500,660800,657800,656400,656700,659000,663900,669800,674500,678800,682500,686600,692400,701100,709800,717300,726500,740600,754900,767700,778900,788800,796900,803600,808000,811100,813500,815100,817700,821800,825500,829200,834700,840900,845100,848200,850700,852300,856000,862900,869400,874200,879700,885500,890300,894700,899100,904500,911200,917900,924100,930000,934100,937600,940300,942100,944700,950200,957400,964400,969300,974700,981000,986800,991700,997000,1002500,1008800,1015500,1022300,1030700,1040100,1048900,1056700,1064200,1076600,1092900,1104400,1108900,1111700,1115000,1118500,1123000,1127900,1134100,1139200,1142400,1146400,1148700,1146200,1142700,1141200,1138100,1135700,1136000,1138100
139,"Cook County","IL","Chicago-Naperville-Elgin","17","031",2,219500,220900,221800,221800,221100,219700,217600,214900,212600,210600,208300,205800,203500,201600,199700,197800,196100,195100,195000,196000,198500,202000,205700,209300,213200,217100,221000,225000,229000,232900,236400,239200,241500,243300,244000,243800,243600,243600,244000,245000,246500,248300,250500,253100,256400,260200,263900,267100,270600,274000,277300,280600,283600,286400,288900,291200,293300,295200,296800,298100,299400,300900,302500,304300,306400,308600,310900,313200,315600,318000,320400,322800,325100,327200,329200,331000,332900,334600,336400,338200,339900,341600,343200,344700,346300,347700,349200,350700,352300,353900,355700,357600,359600,361900,364200,366700,369300,372000,374900,377900,380800,383600,386500,389200,391800,394400,396800,399400,402400,405600,408900,412400,415900,419400,422900,426100,428900,431500,433800,436000,438000,439600,440700,441300,441400,441300,441300,441200,441200,441500,441400,440900,440000,438700,437100,435500,433800,432400,431100,429700,427500,425000,422000,418500,414900,411100,406800,402600,398400,394700,391800,389000,385700,382800,379800,376000,371600,366700,361900,358200,355600,353700,352700,352200,352000,350500,350400,350700,349100,347000,346000,343400,340500,337600,333500,329800,326900,326000,325600,323800,321400,319600,318000,316700,316000,314900,313300,311500,311300,310200,307400,305500,306400,307900,309400,310800,312300,314000,315400,316900,318000,319400,321200,324200,327800,331900,336400,342000,346200,349000,351100,352300,353100,354200,355000,355600,356800,358600,360400,362200,363900,365200,366000,366700,367000,366600,366100,367200,369500,371000,371800,371800,371100,371100,372600,374100,374800,375700,377400,379100,380300,381300,382100,382900,384400,386000,387500,389400,390700,390900,390800,391300,392300,393400,394100,394500,394700,394500,394800,395200,394800,396300,400000,402200,402200,402600,402300,401800,401800,402000,402100,402700,403200,404000,406000,407300,406100,403500,401000,399000,397200,396600
1090,"Harris County","TX","Houston-The Woodlands-Sugar Land","48","201",3,205300,204700,204400,204500,205000,205800,206700,207200,207100,206400,205300,204400,203700,203500,203800,204500,205700,207000,208300,209400,209800,209600,209100,208500,208000,207600,207300,207200,207500,208400,210200,213300,218000,224000,230500,236700,241200,243400,243800,242900,241300,239200,237200,236000,236200,238100,241800,246800,252300,257800,262600,265900,266900,265300,261800,257400,253100,249500,246400,243600,241100,238800,236700,235100,234300,234300,234900,235700,236500,236900,236700,236000,235500,235400,235600,236000,236500,237000,237500,237700,237200,236500,235500,234400,233300,232400,231700,231100,230800,230800,231000,231400,231700,232000,232200,232400,232500,232600,232700,233000,233500,234200,235100,236100,237300,238500,239600,240500,241300,241900,242500,242800,243000,243200,243500,243800,244300,244900,245500,246000,246300,246500,246900,247600,248700,250100,251500,252900,254000,254700,255100,255500,256000,256800,257800,258800,259600,260200,260600,260900,260700,259900,258700,257300,255900,254700,253800,253100,252600,252200,251900,251700,251600,251500,251300,251000,250700,250300,249900,249900,250200,250500,250900,251300,251600,252000,252100,252200,252600,252600,252000,250800,249800,249100,248500,247400,246000,245200,244800,244900,245500,246300,246600,246200,245900,245800,245800,245800,245400,244800,245100,245400,244800,244400,245000,246300,247700,248300,248400,248900,250400,252000,253500,254900,256200,257800,260200,262700,264800,266700,268500,270100,271700,273100,274300,276000,278600,281200,284000,286500,288700,291200,294000,297000,299500,301300,302400,304100,306300,308100,309400,311000,312600,313900,314900,315600,316500,317700,319000,319700,320200,320800,321400,321900,322400,322800,323100,323500,323800,324400,325000,325100,325400,326100,326400,326400,326500,326600,327000,327700,327500,328800,332200,335500,337000,337700,337400,337400,338000,338400,338700,339700,341500,343300,344700,345000,344800,344800,345100,344800,344500,344700
2402,"Maricopa County","AZ","Phoenix-Mesa-Scottsdale","04","013",4,177400,177500,177800,178500,179300,180300,181300,182300,183300,184300,185200,186200,187300,188500,189700,190700,191600,192500,193400,194300,195100,195800,196500,197200,197800,198600,199600,200800,202100,203500,204900,206400,207800,209100,210400,211600,212900,214200,215400,216600,217600,218500,219600,220800,222300,224100,225900,227800,229500,231100,232300,233400,234300,235200,236100,237300,238600,240100,241400,242500,243400,243900,244300,244500,244700,245100,245600,246300,247300,248500,249600,250600,251600,252600,253500,254500,255700,256900,258200,259700,261100,262500,263600,264700,265800,266900,268200,269700,271300,273200,275300,277300,279400,281600,284000,286700,289700,293400,298100,303800,310400,317700,325900,334900,344900,355600,366900,379300,393100,408000,423500,439100,453700,466500,477000,485000,490700,494800,498200,500900,502600,502800,501400,498500,494700,490700,486900,483500,480900,478900,477200,475700,474200,472400,469800,466200,461600,455800,449100,441800,434000,425900,417200,408300,399700,392000,384800,377900,371300,364800,358100,351600,345300,339100,332700,325900,319000,312100,306100,302000,299500,297800,296600,296100,296100,296300,296100,295700,294600,292700,290300,287300,283400,280600,279000,276600,274600,273600,273200,272700,271500,269400,267700,266300,265700,265600,266600,269000,271500,273300,275700,279300,284400,290100,295100,299500,304400,308100,311100,314600,317700,320500,323700,327400,331100,335600,340500,345100,348700,352200,354400,355300,356000,357500,358400,358700,358600,359100,359500,359500,359000,359500,361100,362800,364200,365300,366300,367100,368500,370700,373300,375900,378700,381000,382000,382800,383900,385100,386200,387400,388700,389800,390900,392500,393900,394500,395400,397400,398900,399300,399900,401600,403700,405300,406700,408300,409700,411400,413500,415100,416800,420000,423700,426300,428300,430400,432900,434800,436400,438300,440800,442600,444700,447400,449500,450000,449500,448800,448200,449400,452800,455300
2841,"San Diego County","CA","San Diego-Carlsbad","06","073",5,265300,264800,264200,263700,263500,263600,264100,265000,266400,268000,269600,271000,272500,274100,275900,278000,280200,282700,285500,288600,292200,296200,299900,303200,306600,310000,313600,317300,320900,324400,328000,331600,335300,338900,342100,345000,348000,351000,354100,357400,360700,364200,368100,372400,377500,383000,388500,393700,398800,403900,408800,413500,417900,421900,425700,429500,433500,437700,442100,446400,450700,454800,458500,462000,465600,469400,473700,478300,483300,488300,493200,498100,503200,508400,513900,519600,525600,531800,538400,545000,551400,557400,562900,568500,574400,580600,587600,595600,604400,613900,623700,633700,644400,656100,669000,683100,698400,714700,731600,747600,761500,772900,781900,788400,793100,796700,799700,802500,804600,805500,805400,804500,803000,801800,800900,800200,800100,800600,801400,802400,802800,802300,800600,797500,793500,789900,786900,783900,781200,778400,774500,769500,764100,759100,754900,751100,747000,743000,738600,733000,726600,719300,711000,702200,693400,685400,678400,672400,667400,663800,660700,658100,656200,654700,652200,648300,643300,637700,633700,632600,633600,635300,637400,639400,641500,643600,644200,643500,643900,644400,643100,640100,637200,632900,628200,624500,619000,612400,609400,608900,607900,605400,600600,596300,593600,590600,588300,587400,587100,587900,589300,590600,594100,600000,606100,610100,614100,619400,625600,632400,639200,643000,647700,657700,668300,677200,687800,697800,704500,709400,712100,713000,715900,721400,726100,727500,727200,727400,729600,732800,733700,734800,737800,739800,740100,742000,745900,750200,753800,757500,762800,768700,774200,778800,781900,784500,789900,796400,799700,800900,803400,806100,807200,809000,812700,817200,822400,828800,834200,838900,843200,847600,852900,858900,862700,864900,868000,872300,875700,878700,882700,891600,902500,909700,911600,911600,912200,915000,920100,923500,925300,926900,927600,926900,926600,926300,925900,926100,926200,925900,925300,926200
1286,"Orange County","CA","Los Angeles-Long Beach-Anaheim","06","059",6,312500,312000,311400,310800,310500,310300,310400,310800,311600,312800,313700,314500,315500,316900,318700,320900,323500,326500,330000,333800,338200,343000,347600,351800,356200,360700,365200,369800,374400,378700,382900,387000,391000,394900,398200,401000,403700,406200,408700,411200,413800,416600,419900,423400,427400,431700,435600,439100,442400,445700,449100,452600,456100,459800,463800,467900,472300,476700,480800,484600,488300,491700,495200,498800,502500,506600,510900,515400,520100,524800,529500,534300,539600,545500,552200,559600,567300,575300,583800,592200,600300,608000,615400,623100,631400,640200,649900,660600,672200,684400,697000,709800,723600,738700,755500,774100,794000,813800,832400,848200,860500,869600,876600,882600,888400,894300,900200,906000,911300,916200,921200,926900,933100,939600,946300,953100,960400,967900,974800,980700,985100,987400,987800,986600,984400,981700,978500,974600,970800,967800,964000,958300,950700,942000,932100,920800,908700,896900,885800,874300,861700,848500,835000,821500,809700,801600,796600,792900,789600,787000,785400,784300,783300,782300,779700,774800,768600,762800,758400,756500,756600,757600,759100,760800,762700,761400,759900,759600,760800,761200,760200,757500,755400,753300,749800,743800,736800,732300,729700,727200,724800,721100,717200,715000,713400,709900,707300,708500,712000,712500,711700,713300,716100,720000,725000,731000,736600,744200,751800,757600,764000,773600,785700,800600,817600,832000,844000,852800,858100,861300,865000,867600,868500,871200,875700,878300,879800,882200,882300,880800,880900,883000,885300,889100,892600,894800,897700,902100,904800,906900,910100,914400,919300,925300,929500,933200,938200,942500,943900,945300,946400,947800,950600,955000,959500,963600,968800,973900,978500,984300,990500,993900,994600,996200,1000000,1005300,1009400,1012900,1016400,1021200,1025500,1034100,1045400,1053100,1058300,1067000,1076400,1083800,1089900,1091700,1093100,1095500,1098800,1100100,1099800,1097400,1095600,1093900,1091200,1089000,1090700,1095500
581,"Kings County","NY","New York-Newark-Jersey City","36","047",7,225500,226000,226500,226800,227100,227400,227600,227800,228400,229300,230200,230700,231300,232000,232700,233500,234800,236300,238200,240200,242600,245300,247800,250100,252400,254400,256100,257500,258800,260200,261700,263400,265600,268200,270800,273300,276200,279200,282400,285900,289400,293100,297000,301100,305900,311100,316400,321500,326600,331300,335600,339500,343100,346700,350400,354600,359500,365000,370800,377000,383300,389400,395100,400800,406900,413500,420800,428400,435600,441100,443300,441900,437900,433000,428800,426300,425900,427500,430400,434100,438200,443500,451200,461800,475400,491500,508900,524900,537100,545000,550200,554100,557900,562500,567900,573900,580400,587500,595300,604500,615300,627700,641100,654300,666800,678100,688200,698000,707500,715700,723400,732000,741900,752400,762400,771000,777600,782100,784600,787600,792700,799200,805700,811800,816300,818200,817500,815500,813800,813300,812700,812700,813000,811400,807800,804400,801700,799300,796900,795500,796600,800500,805200,811000,817200,820300,819200,816000,811900,807600,802900,797800,792900,788300,782700,777900,773900,768800,761300,754800,750400,748600,748700,751000,754500,757700,760900,753600,737800,729400,734800,737600,733600,726800,725400,727700,728900,727900,733800,747800,760800,767100,770000,772200,774600,777800,778800,777200,775200,774500,772700,770500,770700,771500,770800,772800,778100,784800,793300,802600,810100,816500,819700,822400,829500,841300,852500,863300,874800,889000,902600,913100,923700,935300,944100,951400,961200,972800,982500,990100,1000100,1010900,1017100,1023000,1031700,1041100,1047500,1055900,1068200,1079800,1089600,1103600,1122000,1137400,1150500,1162100,1173100,1181200,1192100,1203000,1210800,1215400,1222900,1230600,1236200,1240600,1246000,1254500,1266500,1279200,1288200,1296900,1302800,1305200,1304800,1306700,1309400,1313200,1314600,1313100,1313700,1322400,1334100,1341600,1345000,1346500,1345500,1345900,1348400,1350100,1350300,1346600,1334800,1324200,1325100,1329000,1329600,1332000,1337000,1339300,1334500,1325500
2964,"Miami-Dade County","FL","Miami-Fort Lauderdale-West Palm Beach","12","086",8,172500,172700,172700,172600,172300,172100,171800,171700,172000,172400,172800,173100,173400,173800,174200,174700,175100,175600,176200,176700,177500,178300,179000,179300,179500,179600,179600,179700,180100,180800,181600,182500,183500,184400,185000,185500,186000,186600,187400,188100,188700,189300,189900,190400,191100,192100,193100,194200,195600,197100,198600,200200,201800,203500,205300,207200,209300,211400,213500,215600,217900,220400,223200,226100,229200,232300,235500,238600,241900,245100,248200,251200,254200,257100,259900,262700,265600,268600,271800,275300,279200,283100,287100,291000,294700,298100,301200,304300,307200,310100,313300,316600,320300,324400,328900,333800,338900,344200,349900,355900,362000,368400,375100,382100,389400,396900,404200,411700,419800,428600,438000,447600,456900,465500,473300,480300,487300,494600,502300,510800,519800,527800,534400,539300,542600,544700,546000,546500,547000,547600,547500,547200,546900,546100,544800,542900,540000,536200,531500,525100,517000,507700,496300,483700,470700,457700,445100,434100,424200,414800,405200,395300,385700,377300,368800,359800,351000,341600,333300,328100,325600,324400,323900,323000,322100,322200,322800,320700,317300,315400,314900,312700,309200,305600,304100,304800,304200,301900,301200,303300,305400,307100,307600,306700,306100,306400,306600,307500,310100,312100,313800,316600,320400,324300,327700,331100,334800,337500,338700,341000,344000,347100,350300,353900,358000,363200,368600,373900,377900,381700,385300,388500,392300,397100,401000,403900,407200,409800,412900,417300,422800,427300,430200,432100,433600,434900,435800,437600,440500,443800,446200,447900,450000,453500,457100,458600,458700,459600,462400,466700,470300,472600,474700,476500,476400,476200,478900,483200,486500,488900,489500,489100,489800,491600,492900,494500,496200,498100,499400,499600,499300,502100,507000,510900,513000,514700,515600,515600,515600,515700,517100,518400,519300,520400,521600,519700,514600,509800,508500,509400,510500,511200
978,"Dallas County","TX","Dallas-Fort Worth-Arlington","48","113",9,193700,194100,194700,195300,196000,196700,197400,198200,198900,199400,199800,200100,200400,200800,201200,201500,201700,201800,202100,202700,203500,204700,206100,207300,207800,207700,207200,206400,205600,205000,204600,204800,205600,206800,208100,209000,209700,210200,210500,210800,211100,211400,211800,212100,212500,212700,212800,212800,212700,212700,212800,213200,213700,214300,214800,215000,214700,214200,213400,212700,212200,211900,211900,212000,212300,212800,213300,213900,214300,214600,214800,215000,215300,215900,216500,217300,218100,218800,219300,219800,220000,220200,220500,220800,221100,221400,221600,221500,221300,221000,220700,220700,221200,222500,224300,226400,228200,229600,230600,231300,231800,232300,232900,233500,234200,234900,235600,236500,237700,238900,240300,241800,243200,244300,245300,246300,247200,248400,249700,251100,252400,253300,253900,254600,255400,256400,257600,258500,259300,259700,260000,260500,261200,261600,262000,262400,262700,262800,262800,262600,261900,260500,258600,256600,254800,253300,252300,251800,251400,251000,250800,250500,250400,250500,250500,250500,250400,249800,249000,248500,248200,248100,248100,248200,248300,248600,249200,248200,246400,245900,246100,245300,244800,244700,244200,243600,242900,242400,241900,241400,241200,241300,241100,240600,240200,240200,240500,240700,241100,241300,241100,241300,241900,242300,243100,244000,244400,244100,244200,244500,244900,245100,245500,246500,247900,248900,249800,251100,252700,253400,253900,254900,255900,256500,257100,258000,259500,261200,262700,264500,266700,269000,271000,272800,274700,276600,278700,281400,284200,286600,288400,290100,291700,293700,295700,297900,300000,301600,303000,305200,307900,311100,315600,320900,325300,329000,333800,337800,340500,343700,348200,353100,357700,362100,365200,367800,370600,373900,375700,375500,375400,377700,381100,384100,386500,388200,388500,388700,389300,390600,392400,395900,401700,408200,413000,413200,409500,405700,403600,401600,400000,399200
1347,"Queens County","NY","New York-Newark-Jersey City","36","081",10,241800,242600,243600,244400,245100,245600,246000,246400,246900,247400,247600,247600,247800,248400,249200,250400,251800,253400,255100,256900,258900,260800,262400,263600,265000,266700,268600,270800,272900,275000,277100,279100,281200,283100,284700,286400,288600,291600,295200,299100,303200,307200,311300,315400,319800,324100,327900,331500,335200,339200,343300,347300,351100,354700,358000,361300,364400,367000,369000,370900,373400,377100,381800,387300,393200,399300,405400,411100,415700,418400,418500,417200,415700,415100,415400,416000,416600,417300,418700,420800,425300,435000,450600,468800,484000,492200,494800,494900,494800,496100,499300,504200,510300,516300,521800,527400,534300,542800,552600,562900,573000,582900,592400,601100,608600,614400,618800,623300,629000,636100,644500,653500,662800,672200,681500,690200,698100,704400,708500,711700,715200,719100,722600,724800,724800,721500,715100,707000,699400,693700,689900,687900,686900,686200,684800,683000,681400,680100,679100,678600,677600,675500,672200,668100,663100,657300,651600,647200,643900,640900,637900,635700,633900,631600,628600,625900,623600,621200,618900,618300,618900,619600,621000,623700,626600,628500,629300,628600,625200,621700,622400,625600,624700,618900,615600,612900,611100,611500,615200,616900,619000,621700,621800,618100,617400,621800,622900,619400,614200,610000,605900,603600,601300,599900,599500,598500,597600,600400,604600,607700,609900,611600,613400,616600,622400,629300,634600,638100,641900,646400,651200,657200,664100,671000,677900,683900,688400,692100,696700,703400,711000,715500,718500,724400,733000,740100,745700,752100,757800,761800,767500,775700,781300,784100,788300,793200,796100,798900,802100,804800,808100,812100,815600,819100,823600,826600,829300,834900,842400,848700,852100,855300,861100,868800,874800,880100,885500,891900,898000,901800,903400,906800,910200,914200,919100,925400,930900,934500,935600,938300,942300,945000,944800,945100,948600,951600,950900,946300,939200,934800,934700,934300
