"RegionID","RegionName","SizeRank","1996-04","1996-05","1996-06","1996-07","1996-08","1996-09","1996-10","1996-11","1996-12","1997-01","1997-02","1997-03","1997-04","1997-05","1997-06","1997-07","1997-08","1997-09","1997-10","1997-11","1997-12","1998-01","1998-02","1998-03","1998-04","1998-05","1998-06","1998-07","1998-08","1998-09","1998-10","1998-11","1998-12","1999-01","1999-02","1999-03","1999-04","1999-05","1999-06","1999-07","1999-08","1999-09","1999-10","1999-11","1999-12","2000-01","2000-02","2000-03","2000-04","2000-05","2000-06","2000-07","2000-08","2000-09","2000-10","2000-11","2000-12","2001-01","2001-02","2001-03","2001-04","2001-05","2001-06","2001-07","2001-08","2001-09","2001-10","2001-11","2001-12","2002-01","2002-02","2002-03","2002-04","2002-05","2002-06","2002-07","2002-08","2002-09","2002-10","2002-11","2002-12","2003-01","2003-02","2003-03","2003-04","2003-05","2003-06","2003-07","2003-08","2003-09","2003-10","2003-11","2003-12","2004-01","2004-02","2004-03","2004-04","2004-05","2004-06","2004-07","2004-08","2004-09","2004-10","2004-11","2004-12","2005-01","2005-02","2005-03","2005-04","2005-05","2005-06","2005-07","2005-08","2005-09","2005-10","2005-11","2005-12","2006-01","2006-02","2006-03","2006-04","2006-05","2006-06","2006-07","2006-08","2006-09","2006-10","2006-11","2006-12","2007-01","2007-02","2007-03","2007-04","2007-05","2007-06","2007-07","2007-08","2007-09","2007-10","2007-11","2007-12","2008-01","2008-02","2008-03","2008-04","2008-05","2008-06","2008-07","2008-08","2008-09","2008-10","2008-11","2008-12","2009-01","2009-02","2009-03","2009-04","2009-05","2009-06","2009-07","2009-08","2009-09","2009-10","2009-11","2009-12","2010-01","2010-02","2010-03","2010-04","2010-05","2010-06","2010-07","2010-08","2010-09","2010-10","2010-11","2010-12","2011-01","2011-02","2011-03","2011-04","2011-05","2011-06","2011-07","2011-08","2011-09","2011-10","2011-11","2011-12","2012-01","2012-02","2012-03","2012-04","2012-05","2012-06","2012-07","2012-08","2012-09","2012-10","2012-11","2012-12","2013-01","2013-02","2013-03","2013-04","2013-05","2013-06","2013-07","2013-08","2013-09","2013-10","2013-11","2013-12","2014-01","2014-02","2014-03","2014-04","2014-05","2014-06","2014-07","2014-08","2014-09","2014-10","2014-11","2014-12","2015-01","2015-02","2015-03","2015-04","2015-05","2015-06","2015-07","2015-08","2015-09","2015-10","2015-11","2015-12","2016-01","2016-02","2016-03","2016-04","2016-05","2016-06","2016-07","2016-08","2016-09","2016-10","2016-11","2016-12","2017-01","2017-02","2017-03","2017-04","2017-05","2017-06","2017-07","2017-08","2017-09","2017-10","2017-11","2017-12","2018-01","2018-02","2018-03","2018-04","2018-05","2018-06","2018-07","2018-08","2018-09","2018-10","2018-11","2018-12","2019-01","2019-02","2019-03","2019-04","2019-05","2019-06","2019-07","2019-08","2019-09"
102001,"United States",0,173800,174000,174400,174800,175200,175700,176200,176800,177500,178200,178900,179500,180000,180600,181100,181600,182000,182400,182800,183200,183600,184100,184400,184700,185200,185800,186500,187300,188300,189400,190500,191500,192600,193700,194600,195500,196500,197600,198700,200000,201300,202700,204300,205800,207600,209500,211300,212800,214200,215500,216700,217800,218800,219900,221100,222200,223500,224800,226000,227300,228500,229700,230900,232200,233400,234700,236000,237300,238600,239900,241300,242600,243800,245000,246200,247300,248500,249800,251200,252600,254200,255700,257200,258700,260200,261800,263400,265000,266700,268500,270400,272500,274600,277000,279400,282000,284700,287500,290500,293700,296800,299900,303100,306100,309000,311800,314800,318000,321700,325400,329300,333100,336800,340300,343500,346600,349400,352000,354100,356100,358200,359900,361400,362500,363100,363500,363600,363600,363600,363700,363600,363500,363300,362700,361800,360500,358900,357200,355200,353000,350600,348100,345300,342400,339700,336800,333800,330900,328100,325400,323000,320600,318400,316400,314200,312000,309600,306900,304200,302200,300900,299900,299300,298900,298400,298300,298900,298500,296800,295600,294900,293700,292300,290700,289100,287600,286000,284400,282900,281800,280900,280300,279500,278800,278200,277700,277300,277200,277100,277100,277100,277500,278100,279000,280000,281000,281900,282900,283900,285100,286500,287800,288800,290300,292200,294100,296100,298300,300400,302300,304100,305500,306600,307900,309000,310100,311400,312700,314000,315300,316600,317800,318800,319800,320900,321900,322900,324000,325300,326700,328100,329300,330600,331800,332900,334000,335100,336200,337300,338700,340600,342200,343700,345400,347200,348600,350100,351800,353400,354900,356500,358400,360300,361800,362800,363700,364400,365500,366700,367900,369000,370900,373200,374900,376100,377500,378800,380000,381200,382800,384500,386400,388200,390100,392000,393000,393000,392900,393300,393700,394300,395000
394913,"New York, NY",1,267100,267100,267100,267000,266900,266800,266900,267200,267700,268500,269200,269700,270300,270900,271500,272200,273000,273900,275000,276200,277800,279500,281000,282300,283600,285100,286700,288400,290300,292300,294400,296500,298900,301500,303900,306400,309200,312300,315600,319100,322500,326000,329400,332900,336800,341000,345200,349200,353400,357500,361600,365600,369600,373400,377200,381000,385000,389200,393500,397700,401900,406200,410400,414600,418800,422900,427100,431300,435200,438800,441900,444600,447200,450000,453200,456800,460900,465300,470200,475500,481200,487400,493900,500700,507500,513600,519300,524600,529500,533900,538100,542300,546600,551200,555900,561000,566500,572400,578900,586000,593500,601300,609000,616500,623800,630600,637000,643400,650000,656600,663000,669300,675400,681500,687300,692600,697700,702100,705800,709100,712300,714700,716200,716800,716300,715000,712900,710400,708100,706200,704500,703400,702500,700900,698700,696300,694200,692700,691300,689900,688600,687100,685100,683100,680700,677200,672900,668300,663700,659400,655400,651300,647500,644000,640300,636700,633000,628400,623300,619100,616100,614300,613600,613600,613400,613700,615400,614400,610100,607600,608300,608300,607100,604600,602300,600100,597800,594900,592200,590500,590500,591300,591700,591800,591700,591700,591200,590400,589200,587900,586300,585700,586000,586800,587600,588500,589000,589500,590100,591100,592200,593400,594800,596900,599400,601500,603400,606000,608900,611300,613500,616200,619800,623100,625100,626500,629000,631500,633300,635300,638300,641400,644100,646300,648500,651100,653700,655600,657100,658900,661200,664000,667200,670000,672100,673300,674300,675800,678000,680200,681800,682900,684000,685500,687600,689600,691700,694900,698600,701600,703900,707500,712100,717200,721900,726300,729900,733500,736300,737300,737800,740700,744800,748300,750600,752600,754200,755100,755000,755800,757900,759600,759600,759600,762100,764500,764800,764100,763300,761300,759400,758300
753899,"Los Angeles-Long Beach-Anaheim, CA",2,289800,289800,289700,289700,289800,290000,290500,291200,292300,293600,294800,295600,296600,297900,299500,301500,303900,306600,309800,313400,317700,322300,326600,330600,334400,338000,341400,344800,348300,351700,355200,358900,362900,366900,370600,373700,376700,379400,382000,384400,386600,388800,391200,393800,396900,400400,403800,406900,410000,413300,416500,419800,423100,426400,429900,433500,437400,441400,445300,448900,452500,455800,459100,462200,465400,468600,472000,475700,479500,483600,488000,492700,497800,503600,510100,517200,524700,532600,540900,549200,557400,565100,572500,580100,588000,596200,605000,614700,625000,635800,646900,658400,670500,683500,697600,713300,730300,747600,764300,779400,792300,803100,812200,820000,827200,834400,841300,848200,854900,861300,867900,875000,882300,889900,897300,904100,910100,915600,920400,924800,928300,930500,931300,930300,927200,923000,918400,913600,909200,905300,901000,896000,890200,883600,876400,868300,859400,850500,842200,834100,825600,816400,806100,794900,783100,772200,763100,756400,751700,748500,745700,743400,741500,739800,737100,733200,728000,722400,718300,717700,719400,722100,725000,727900,730000,731600,732600,731000,730300,731700,730700,726100,723200,720500,716700,711700,707000,702600,699100,696800,694600,691600,689900,688900,686000,682100,679500,678200,677600,676900,676900,678800,682600,687800,692600,697100,701500,707200,714200,722800,731700,740200,750300,764300,779500,793200,805500,815600,823000,828200,831800,833900,835100,837000,840400,844300,847600,850400,853400,856900,859800,862000,864300,867300,871100,875800,881000,885900,890200,894100,898200,902500,907300,913000,918600,923900,929800,934800,937700,940400,942900,944500,947200,952200,958200,964500,969700,974700,980100,985800,991300,995800,999700,1004600,1010300,1016100,1022500,1029400,1036200,1042900,1049000,1060100,1074300,1084200,1089500,1095200,1100800,1106000,1111100,1114700,1119600,1124400,1127400,1129800,1131100,1128600,1125500,1124000,1120700,1117400,1118300,1122200
394463,"Chicago, IL",3,221900,222800,223400,223500,223000,222100,220900,219300,218000,217000,215800,214300,212900,211600,210200,208800,207300,206100,205700,206100,207800,210300,213000,215500,218200,220900,223700,226700,229600,232500,235200,237400,239300,240900,241800,242000,242400,242900,243700,244700,246100,247700,249500,251500,253900,256700,259300,261700,264200,266800,269400,272000,274700,277200,279500,281600,283500,285400,287000,288300,289600,290900,292300,293900,295700,297600,299600,301600,303600,305500,307400,309200,311000,312900,314700,316400,318100,319800,321500,323300,325100,326900,328600,330400,332200,333900,335600,337300,339100,340800,342700,344600,346700,348900,351100,353400,355800,358200,360800,363600,366300,369100,371900,374700,377400,380100,382700,385500,388500,391600,394600,397600,400500,403400,406200,408800,411300,413500,415400,417400,419500,421300,422600,423700,424300,424800,425100,425200,425500,425700,425600,425200,424800,423600,422100,420600,419000,417700,416400,414900,413000,410800,408000,405100,402300,399100,395500,391700,387800,384400,381400,378400,375600,372900,370000,366700,363000,358600,354300,351200,349400,348200,347400,346900,345900,345700,347100,346300,342600,340600,339800,337500,334500,331200,327900,325100,322400,320500,319400,318100,316700,315100,313400,312700,312300,311100,309700,308900,308700,307100,304400,303200,304000,305500,307000,307900,308500,309700,310900,311700,312800,313800,314500,316400,319000,321600,324700,328600,331900,334300,335900,336700,337500,338700,339600,340500,342100,343900,345600,347300,348700,349500,349800,350100,350200,350300,350500,351500,353000,354000,354700,355200,355800,356700,357800,358800,359300,359400,359800,360800,361700,362800,364000,364600,365400,366400,367500,368600,369700,370700,371800,372900,373600,374100,374000,373900,374100,374400,375200,376000,376200,377600,380500,382600,383000,383200,382900,382300,382300,382700,383400,384100,384700,385700,387200,387900,387600,386900,385700,384100,382600,382200
394514,"Dallas-Fort Worth, TX",4,217300,217600,218200,218800,219400,219900,220100,219800,219000,217600,216100,214900,214100,213800,214000,214500,215200,216400,217900,219800,222100,224700,226900,228300,228400,227500,226000,224600,223500,223200,223900,225800,229000,233000,236900,240100,242200,243200,243200,242600,241500,240300,239400,239000,239300,240200,241200,242100,242800,243200,243500,243800,244200,244700,245200,245700,246300,246800,247100,247300,247300,247200,247100,246800,246300,245500,244500,243200,241800,240400,239300,238600,238600,239000,239800,240700,241700,242500,243000,243200,242800,242100,241100,240200,239600,239500,239600,239900,240100,240300,240500,240700,241100,242100,243600,245400,247000,248400,249500,250400,251300,252400,253600,254900,256200,257400,258400,259500,260700,262000,263500,264800,266000,267000,268000,268900,270000,271100,272300,273400,274400,275300,276000,276700,277300,277900,278400,278800,279100,279100,279000,279100,279300,279600,280100,280700,281300,281800,282300,282500,282200,281400,280200,278800,277200,275700,274400,273400,272600,272000,271300,270800,270200,269700,269200,268700,268000,267200,266500,266100,265900,265800,265700,265700,265700,265600,265800,265700,265300,265100,264800,264300,264200,264100,263700,263100,262900,262800,262400,261700,261200,261200,261300,260900,260400,260400,260700,260800,260800,261000,261200,262000,263200,264200,264800,265300,265600,265600,265900,266700,267500,268200,268700,269700,270900,272400,273900,275700,277400,279000,280300,281700,283100,284300,285600,287000,288200,289200,290500,292500,294800,297000,298700,300200,301800,303600,305200,307200,309700,312200,314400,316500,318500,320400,322400,324600,326700,328600,330700,333500,336800,340100,344100,348300,351800,354500,357300,360000,362300,364700,367100,369400,371700,373600,375100,376900,378800,380500,382100,383200,384000,386200,389800,392800,394600,396100,396800,396600,396100,396200,397500,399800,402800,405900,408100,408300,406900,405600,404800,403900,404200,405500
394974,"Philadelphia, PA",5,186900,186600,186300,185900,185600,185400,185400,185500,185800,186200,186500,186800,187000,187300,187400,187500,187600,187700,187900,188200,188500,188900,189400,189800,190100,190500,190900,191300,191800,192200,192800,193500,194200,195100,195800,196500,197400,198400,199500,200800,202100,203600,205100,206700,208500,210400,212200,213900,215500,217000,218500,219900,221200,222600,223900,225400,227000,228800,230600,232500,234200,235900,237700,239400,241000,242700,244400,246300,248200,250200,252300,254500,256800,259100,261600,264200,266900,269800,272900,276100,279300,282300,285200,287900,290800,293600,296500,299600,302800,306100,309300,312500,315500,318600,321800,325300,328900,332700,336700,340500,344200,347700,350900,354100,357300,360400,363400,366300,369200,372200,375400,378700,382200,385500,388600,391400,394000,396200,398200,400100,401900,403300,404400,405200,405800,405900,405800,405500,405200,405000,404700,404500,404400,404100,403400,402500,401500,400400,399100,397600,396000,394300,392300,390500,389100,387600,386000,384500,382900,381100,379600,378000,376700,375600,374300,372800,371200,369200,366900,365000,363600,362600,362100,361900,361400,361300,362300,361900,359700,358600,358300,356800,354700,353000,351600,349900,348200,346700,345200,344200,343400,342400,341200,340100,339000,337900,337100,337100,337000,336100,335300,335500,335900,335700,335400,335300,335700,336000,335900,335900,336600,337200,337700,338500,339600,340500,341600,343100,344900,346800,348300,349300,350400,351600,351900,351800,352600,354100,355300,356200,357200,358200,358800,359200,359400,359300,359200,359600,360500,361400,362200,363100,363700,363900,364300,364600,364900,365800,367100,368200,368800,369300,370200,371900,373300,374300,375100,375500,375600,376300,377400,378500,379700,381700,383200,384000,384800,385700,386700,388900,391600,393700,395000,395900,396500,397200,398200,399300,400300,401000,401900,402900,403800,404900,406400,407600,407800,407500,407600,407900,408100,408500
394692,"Houston, TX",6,,,,,,,,,,,,,,,,,204200,206500,209200,212200,215300,218100,220100,221000,221000,220200,218900,217700,217000,217400,219400,223200,229200,236500,243800,250300,255000,257500,258300,257800,256300,254300,252000,250600,251000,253700,258300,263700,268900,272800,274900,274900,273100,269800,265700,261400,257500,254200,251400,249000,247000,245400,244300,243600,243400,243600,243800,243700,243200,242200,240700,239100,238000,237700,238000,238700,239600,240600,241400,241900,241800,241400,240800,240100,239400,239100,239000,239300,239800,240400,241000,241500,241700,241800,242000,242500,243300,244400,245800,247300,248900,250700,252500,254400,256400,258200,259700,260900,261800,262400,262800,263100,263400,263600,263700,263800,264000,264200,264500,264900,265400,266100,266900,267900,268900,270100,271300,272500,273600,274500,275100,275400,275800,276100,276500,276900,277300,277600,277900,278100,277800,277100,275900,274400,273000,271700,270600,269800,269400,269000,268500,268100,267900,267600,267200,266800,266500,266200,265800,265800,265900,266100,266300,266500,266600,266700,266700,266700,266600,266300,265900,265100,264200,263700,263300,262500,261300,260700,260600,260700,260800,261200,261300,260900,260400,259800,259500,259800,259900,260000,260500,260700,260600,260700,261200,262100,263200,264000,264400,264900,265700,266800,268000,269200,270600,272200,274500,277000,279400,281600,283600,285500,287300,288900,290300,292000,294100,296000,297900,299900,302000,304000,306100,308500,310900,312900,314400,316200,318600,321000,322900,324700,326600,328300,329600,330600,332000,333400,334600,336100,337600,339300,340800,341900,342900,343900,344900,345700,346300,346900,347500,347800,348400,348800,348900,348900,349200,349700,350200,350500,350800,351800,353900,356300,357700,358500,359200,360000,360500,360800,361200,362100,363300,364700,366000,366100,365700,365700,365800,365400,365000,364800
395209,"Washington, DC",7,263300,263000,262500,262000,261600,261400,261500,261800,262400,263100,263400,263300,262900,262600,262400,262300,262400,262700,263100,263600,264200,265000,265500,266000,266600,267400,268400,269400,270600,271800,272900,274100,275400,276900,278200,279400,280800,282400,284200,286200,288300,290700,293400,296200,299400,302800,306100,309000,312000,315000,318100,321500,325200,329200,333500,338000,342700,347400,352000,356500,361000,365400,369800,374000,378200,382500,386700,391100,395500,399900,404300,408400,412500,416500,420400,424200,428100,431900,435900,439900,443900,448100,452300,456600,460900,465200,469500,473900,478500,483400,488700,494300,500300,506600,513500,521200,530100,540000,551100,563100,575100,586800,598000,608500,618700,628700,638400,648400,658800,668600,677400,684800,690500,694700,697400,698900,699500,699400,698800,697600,695600,692700,689300,685200,680800,676700,673100,670100,668000,666700,665500,664100,662400,659600,656000,651800,647200,642500,637600,632300,627200,622200,616800,611200,605400,599200,593400,588400,584400,581300,578800,576500,574800,573200,570900,567800,563800,558800,554600,552800,553300,555100,557500,560100,561000,562000,564100,564900,564200,565800,568300,569400,569600,569300,568300,566700,566000,565000,562900,561300,562100,564100,565600,566300,566700,566500,565700,565200,564200,563100,563300,566200,569900,573100,575800,578400,580100,580900,582100,584300,587800,591200,594200,597200,600900,604400,607900,611600,615200,618100,620400,622800,625500,627100,628300,629700,631100,631700,632300,632800,632900,633000,634500,635600,635300,636000,638500,640000,640200,640200,640700,641700,642600,643300,643800,644500,645000,644700,644000,644900,647200,649500,651400,652500,653000,654600,657300,660300,663000,665700,667900,669300,670200,671400,672400,673000,673900,675300,676000,676500,677600,681400,686200,689800,690900,691600,692000,692500,693700,695200,696800,698300,700000,702100,704800,706300,705900,704200,702700,701800,702700,704800
394856,"Miami-Fort Lauderdale, FL",8,179000,179000,178800,178700,178500,178400,178400,178600,179100,179600,180100,180200,180400,180500,180600,180800,181000,181400,182000,182800,183800,185000,186000,186500,186800,186800,186700,186700,186800,187200,187800,188500,189300,190300,191100,191700,192400,193100,193900,194700,195600,196500,197500,198700,200100,201700,203400,204900,206500,208000,209500,210900,212400,214000,215900,218000,220700,224000,228300,233900,241300,250100,260100,270800,281400,291100,299600,306600,312000,315800,317900,318100,316600,313900,310400,306500,303000,300300,298700,298400,299500,301700,304700,308100,311600,315100,318500,321800,325100,328600,332100,335700,339400,343200,347100,351300,355800,360800,366500,372900,379700,386900,394600,402400,410700,419400,428000,437100,446900,456900,467000,476900,486000,494100,501100,507300,512900,517900,522600,527600,532600,536800,539900,541700,542100,541500,540200,538400,536200,533900,531100,527700,523800,519300,514200,508500,502200,495500,488300,480500,471800,462500,452500,442000,431500,421500,412000,403700,396300,389200,382000,374900,368100,361900,355500,348700,341700,334500,328100,324000,321800,320600,320100,319900,320000,320400,321100,320200,318300,317200,316800,315300,312500,309700,308200,307700,306600,304800,303800,304400,305900,307200,307600,307500,307600,308400,309200,309400,309500,309900,310900,311900,312900,314400,315600,316200,317100,318500,319300,320900,323800,326500,329200,332700,337200,341700,346000,350400,354900,358600,361400,364800,368100,370800,373500,376900,380100,382700,385800,389600,392900,395000,396300,397300,398600,400000,401500,403900,406700,409300,411500,413300,415300,417800,420600,422500,424200,426300,428200,430000,432200,434700,437000,439100,440700,442800,446200,449800,452400,454400,455500,455800,455900,456200,456300,457400,458700,459900,460700,461500,462400,466000,471300,475000,477100,479300,481000,482100,483200,484600,486200,487400,488700,490400,491900,491400,488800,486700,486700,487800,489200,490500
394347,"Atlanta, GA",9,181700,182300,183100,183800,184600,185400,186300,187000,187800,188600,189300,189800,190400,191000,191800,192600,193600,194500,195500,196500,197500,198500,199500,200300,201300,202500,203800,205300,206800,208400,210000,211600,213300,214900,216600,218200,220000,221900,223800,225800,227600,229400,231200,232900,234800,236700,238500,240200,241800,243500,245000,246600,248200,249800,251400,253000,254600,256200,257600,258800,259700,260500,261200,261800,262400,263100,263900,264900,266000,267200,268500,269600,270500,271300,271800,272200,272600,273100,273800,274700,275700,276700,277500,278300,278900,279400,279800,280300,280900,281600,282500,283300,284100,284800,285600,286800,288300,290000,291900,293800,295600,297200,298600,299600,300500,301600,302800,304400,306300,308300,310400,312400,314500,316500,318500,320600,322800,324700,326400,328000,329600,331100,332700,334400,336100,337600,339000,340100,341300,342500,343400,344200,345000,345300,345300,345200,344900,344700,344200,343400,342300,340900,339100,337300,335600,333500,331000,328300,325400,322600,320100,317600,315300,313100,310600,307900,305100,301700,298300,295900,294400,293400,292600,292000,290900,290400,291300,290300,287400,285700,284900,283000,281000,278500,275700,273300,271400,269100,266300,264100,262900,261800,260700,259500,258000,256000,254500,253500,252800,252100,251900,252400,253100,253900,254800,256200,258000,260300,262300,264200,266000,268000,270000,272100,274700,277400,280100,282800,285000,287500,289800,291800,293800,295800,297700,300300,303000,305100,307300,309800,311900,313600,315200,317000,318400,319000,319500,320300,321900,323800,325400,326600,327600,328200,328800,329400,330300,331800,333900,336300,339200,342300,345300,348700,352000,355200,358200,360900,363300,365700,367700,369500,370900,371800,371900,372200,373300,375000,376400,377600,379400,382800,386900,389500,391300,393600,395100,395600,395800,396800,399500,402600,404700,406400,408100,408700,408100,406600,405400,405200,406000,406800
