"RegionID","RegionName","SizeRank","1996-04","1996-05","1996-06","1996-07","1996-08","1996-09","1996-10","1996-11","1996-12","1997-01","1997-02","1997-03","1997-04","1997-05","1997-06","1997-07","1997-08","1997-09","1997-10","1997-11","1997-12","1998-01","1998-02","1998-03","1998-04","1998-05","1998-06","1998-07","1998-08","1998-09","1998-10","1998-11","1998-12","1999-01","1999-02","1999-03","1999-04","1999-05","1999-06","1999-07","1999-08","1999-09","1999-10","1999-11","1999-12","2000-01","2000-02","2000-03","2000-04","2000-05","2000-06","2000-07","2000-08","2000-09","2000-10","2000-11","2000-12","2001-01","2001-02","2001-03","2001-04","2001-05","2001-06","2001-07","2001-08","2001-09","2001-10","2001-11","2001-12","2002-01","2002-02","2002-03","2002-04","2002-05","2002-06","2002-07","2002-08","2002-09","2002-10","2002-11","2002-12","2003-01","2003-02","2003-03","2003-04","2003-05","2003-06","2003-07","2003-08","2003-09","2003-10","2003-11","2003-12","2004-01","2004-02","2004-03","2004-04","2004-05","2004-06","2004-07","2004-08","2004-09","2004-10","2004-11","2004-12","2005-01","2005-02","2005-03","2005-04","2005-05","2005-06","2005-07","2005-08","2005-09","2005-10","2005-11","2005-12","2006-01","2006-02","2006-03","2006-04","2006-05","2006-06","2006-07","2006-08","2006-09","2006-10","2006-11","2006-12","2007-01","2007-02","2007-03","2007-04","2007-05","2007-06","2007-07","2007-08","2007-09","2007-10","2007-11","2007-12","2008-01","2008-02","2008-03","2008-04","2008-05","2008-06","2008-07","2008-08","2008-09","2008-10","2008-11","2008-12","2009-01","2009-02","2009-03","2009-04","2009-05","2009-06","2009-07","2009-08","2009-09","2009-10","2009-11","2009-12","2010-01","2010-02","2010-03","2010-04","2010-05","2010-06","2010-07","2010-08","2010-09","2010-10","2010-11","2010-12","2011-01","2011-02","2011-03","2011-04","2011-05","2011-06","2011-07","2011-08","2011-09","2011-10","2011-11","2011-12","2012-01","2012-02","2012-03","2012-04","2012-05","2012-06","2012-07","2012-08","2012-09","2012-10","2012-11","2012-12","2013-01","2013-02","2013-03","2013-04","2013-05","2013-06","2013-07","2013-08","2013-09","2013-10","2013-11","2013-12","2014-01","2014-02","2014-03","2014-04","2014-05","2014-06","2014-07","2014-08","2014-09","2014-10","2014-11","2014-12","2015-01","2015-02","2015-03","2015-04","2015-05","2015-06","2015-07","2015-08","2015-09","2015-10","2015-11","2015-12","2016-01","2016-02","2016-03","2016-04","2016-05","2016-06","2016-07","2016-08","2016-09","2016-10","2016-11","2016-12","2017-01","2017-02","2017-03","2017-04","2017-05","2017-06","2017-07","2017-08","2017-09","2017-10","2017-11","2017-12","2018-01","2018-02","2018-03","2018-04","2018-05","2018-06","2018-07","2018-08","2018-09","2018-10","2018-11","2018-12","2019-01","2019-02","2019-03","2019-04","2019-05","2019-06","2019-07","2019-08","2019-09"
9,"California",1,274300,274500,274600,274900,275300,275800,276400,277000,277800,278800,279700,280400,281400,282800,284600,286800,289100,291600,294300,297200,300600,304300,307700,310800,314000,317300,320700,324100,327500,330800,334000,337300,340800,344400,347700,350700,353800,356800,359900,363200,366600,370300,374600,379300,384800,390800,396800,402700,408700,414800,421000,427200,433300,439400,445600,451900,458500,464900,470900,476400,481200,485200,488500,491100,493200,495000,496400,497800,499300,501000,503200,505800,509000,512900,517600,522800,528200,533800,539500,545200,550700,555900,560700,565400,570100,574800,579900,585700,592000,599100,606900,615200,624500,634600,645600,657700,670800,684300,697800,710800,722800,733800,744000,753300,762200,770900,779100,787200,795100,802200,808900,815100,820500,825500,829800,833200,835800,837800,839200,840000,840100,839300,837700,835000,831300,827500,823800,820300,817500,815000,812000,808100,803700,798800,793700,788100,781600,774900,767900,760300,752400,744100,735100,725400,715500,706300,698200,691400,686000,681600,677700,674100,671100,668500,665000,660100,654300,648200,643300,641100,641200,642600,644400,646600,648300,650100,651400,650900,651000,652100,651200,647700,644700,641000,637200,632900,628200,622800,618500,615300,611900,608100,605600,604000,602000,599100,596800,596200,596000,595200,596100,599400,603900,609000,614900,621200,627500,634300,641600,649400,656900,664000,672200,683600,696700,709200,720600,730100,737100,742700,747000,750300,754100,758700,762400,765400,768600,771400,774000,777000,780100,783600,787600,791600,796200,801600,807900,814400,821000,827300,833800,839900,846100,852200,857200,861500,866200,871800,876400,880400,883700,886400,888300,891600,895500,899600,904000,908900,913900,919700,925400,929700,933500,937800,942400,947000,952600,959100,966400,974300,981100,992700,1009200,1021700,1028400,1037100,1045600,1051500,1056600,1062400,1067100,1068800,1068800,1069700,1069500,1066000,1061000,1056500,1052200,1049000,1047700,1048200
54,"Texas",2,187100,187300,187800,188500,189100,189500,189400,188900,188100,187200,186400,185900,185900,186200,187000,188000,189000,190000,190900,191900,193000,194200,195300,196200,196800,197100,197300,197500,197700,197800,198100,198500,199300,200400,201600,202700,203700,204600,205700,207100,209200,212000,215800,220500,225500,230200,233900,236300,237000,235400,231700,226600,221400,217200,214000,211800,210300,209300,208600,208200,207900,207900,208000,208200,208300,208300,208000,207400,206700,205900,205000,204400,204100,204300,204900,205800,206500,206900,207000,206800,206300,205700,205300,204900,204700,204600,204800,205000,205200,205200,205100,205100,205300,206000,207100,208500,210100,211700,213100,214600,216000,217300,218500,219400,220200,220700,221100,221700,222400,223200,224100,225000,225800,226700,227500,228300,229100,229900,230700,231500,232400,233300,234400,235400,236300,237400,238400,239500,240600,241600,242600,243500,244600,245800,247200,248800,250200,251600,252900,253800,254300,254200,253600,252600,251400,250200,249100,248200,247700,247300,246900,246500,246200,246000,245800,245600,245200,244800,244400,244200,244200,244100,244200,244400,244300,244200,244500,244800,244800,244700,244400,244000,243500,243100,242600,242300,241900,241600,241300,241000,240900,241100,241300,241200,240800,240600,240500,240400,240500,240700,241100,241500,242000,242400,242900,243400,244200,244800,245200,245800,246700,247400,248200,249100,250000,251100,252500,253800,255200,256700,258000,259000,260200,261100,261800,262900,264300,265600,267000,268700,270500,272200,274000,275900,277800,279700,281300,282900,284900,287000,288900,290800,292400,293700,295000,296400,297800,299200,300400,301800,303600,305400,307000,308600,310000,311100,312500,313800,314800,315800,317000,318300,319700,320900,322000,323000,324100,325000,326100,327200,328000,329900,333700,337200,339300,341000,342300,343100,343900,345100,346800,348800,350800,352900,354600,355100,354400,354100,354700,354900,356000,357900
43,"New York",3,212100,212400,212600,212700,212800,212900,213000,213100,213500,214100,214500,214700,215000,215300,215700,216200,216700,217400,218200,219200,220400,221800,223100,224200,225200,226400,227600,229000,230400,232000,233600,235300,237100,239100,241000,243000,245200,247600,250200,252900,255600,258200,260900,263600,266700,270000,273300,276500,279700,282900,286000,288900,291700,294600,297600,300800,304200,307700,311200,314700,318200,321800,325200,328600,332000,335400,338800,342100,345200,348100,350800,353300,355900,358900,362300,366100,370200,374500,379100,384000,389300,394800,400700,406800,412700,418000,422800,427300,431400,435300,439200,443200,447200,451200,455300,459400,463800,468500,473800,479800,486200,492800,499500,505900,512300,518600,524600,530800,537200,543400,549300,554900,560200,565200,569900,574100,578000,581300,583800,586000,588200,589900,590800,591100,590600,589400,587600,585400,583300,581800,580500,579700,579200,578300,576700,574700,572700,571100,569500,567900,566200,564400,562000,559500,556800,553400,549200,545000,540900,537000,533200,529400,525900,522500,519000,515900,513100,509600,505500,502200,500100,498900,498500,498700,498900,499200,500500,499200,495100,492300,492700,492700,491300,488300,486200,484800,483300,481400,480300,479400,479300,479700,479800,479300,478700,478900,478700,477700,476200,474600,472500,471700,471800,472200,472400,472800,472700,472900,473100,473500,473900,474900,476100,477900,479500,481100,482900,485300,487600,489600,491700,494400,497400,500000,501800,503200,505600,508200,510400,513000,516500,519600,521600,523100,524800,526700,528400,530000,532000,534100,535800,537700,540900,544900,548100,549700,551400,553500,555800,557900,560300,562100,563700,566000,568700,570500,572500,575300,579000,582200,584300,586500,589400,592900,597000,601500,605400,608800,611000,612100,613100,616800,621900,626300,629700,632500,634500,636100,636700,637600,640100,643800,645900,646700,649100,652200,653300,652900,651600,649000,646900,645900
14,"Florida",4,156400,156600,156700,156900,157200,157600,158000,158400,158900,159300,159700,159900,160100,160200,160400,160700,161000,161500,162100,162800,163800,164800,165600,166000,166400,166600,166800,167100,167700,168400,169200,170000,170800,171700,172500,173200,174000,174900,175900,177000,178000,179100,180200,181500,182900,184300,185700,187000,188300,189600,191000,192400,193900,195500,197200,199000,201100,203400,206000,208800,211900,215200,218600,222100,225500,228700,231700,234600,237200,239500,241400,243000,244300,245600,246600,247600,248600,249800,251200,253000,255000,257400,260000,262800,265600,268400,271100,273900,276800,279700,282800,286000,289400,292900,296600,300600,304900,309700,315200,321300,327800,334600,341600,348700,356200,363900,371700,380000,389000,398200,407500,416500,424900,432400,439000,444800,450200,455000,459400,463700,467900,471200,473400,474400,474000,472800,471000,468700,466200,463700,460600,457200,453400,449200,444200,438700,432800,426600,420400,413800,407200,400300,393000,385500,378400,371500,364700,358400,352400,346800,341400,336000,330800,325800,320600,315100,309600,304000,298800,295200,292800,291200,290200,289500,288300,287700,288400,287700,284900,282800,281400,279200,276700,274300,272100,270100,268100,266100,264300,263500,263500,263400,263100,262900,262500,262300,262200,262300,262700,263100,263400,264100,265100,265800,266500,267300,268300,269100,269800,270900,272800,274500,276000,277800,280500,283300,286200,288900,291800,294400,297200,299900,302200,304100,306100,308500,311000,313200,315500,317900,320100,321900,323400,324700,326300,327700,329300,331300,333700,336200,338400,340500,342500,344600,346800,349000,350700,352500,354200,356000,358100,360400,362300,364000,365800,368000,370700,373600,376100,378100,379600,380600,381600,382800,383800,384700,385700,386800,387900,388400,388800,391200,395000,397800,399400,401000,402400,403500,404500,405700,407000,408400,410200,412300,414000,414200,413100,412200,412600,413500,414700,415600
21,"Illinois",5,195700,196800,197500,197800,197600,197100,196100,194800,193700,192900,192000,190800,189800,188900,187900,186600,185200,184000,183400,183700,185300,187600,190000,192200,194600,197000,199500,202200,205100,207900,210500,212600,214400,215800,216600,216800,217000,217400,218000,218900,220100,221500,223100,224900,227000,229500,231700,233700,235800,238000,240100,242200,244300,246400,248400,250200,252100,253700,255100,256300,257600,258800,260100,261600,263100,264800,266500,268300,269900,271700,273400,275200,276900,278600,280200,281700,283200,284700,286200,287700,289200,290700,292200,293800,295300,296900,298500,300100,301700,303400,305200,307100,309000,311200,313400,315600,317800,320200,322600,325200,327700,330200,332600,335000,337400,339900,342300,344900,347600,350300,353100,355900,358700,361600,364300,366700,368900,370900,372500,374200,375900,377200,378100,378900,379400,379700,380000,380000,380000,380000,379700,379200,378600,377500,376100,374500,373000,371700,370400,368900,367100,365000,362400,359800,357400,354700,351700,348400,344900,341700,338900,336100,333300,330800,328000,325000,321500,317500,313500,310600,308700,307700,307100,306900,306300,306300,307500,306800,304000,302400,301700,299600,296900,293800,290500,287800,285600,283900,282500,281300,280000,278400,276600,275700,275100,274000,272800,271700,270900,269300,266900,265300,265800,266800,267900,268800,269500,270000,270500,271100,271800,272500,273400,275200,277300,279500,282200,285300,288000,290200,291700,292500,293400,294100,294600,295400,296800,298300,299700,301300,302600,303400,303900,304300,304600,304900,305200,306000,307000,307700,308300,308700,309100,310100,311300,312100,312500,313000,313900,315000,316100,317000,317900,318700,319600,320300,321200,322400,323300,324000,324900,325900,326600,327200,327400,327500,327800,328200,329100,330400,331200,332800,335000,336500,337000,337700,337700,337100,337100,337600,338000,338300,338900,339600,340900,341700,341600,341000,340100,338800,337700,337900
47,"Pennsylvania",6,146500,146400,146400,146500,146600,146800,147100,147600,148200,148800,149400,149700,150000,150300,150500,150700,151000,151200,151500,151600,151600,151500,151400,151200,151200,151300,151500,151900,152400,153000,153700,154400,155200,156100,156900,157800,158600,159500,160300,161000,161600,162200,162800,163400,164100,164900,165700,166600,167500,168500,169500,170500,171400,172400,173500,174700,176000,177400,178800,180100,181200,182100,183000,183800,184600,185600,186600,187800,189100,190500,192000,193500,195000,196600,198200,200000,201800,203900,206100,208300,210500,212400,214200,216000,218000,220200,222500,225000,227400,229700,232000,234100,236200,238300,240600,242900,245300,247800,250300,252900,255300,257700,260100,262500,264900,267400,269800,272200,274600,277100,279500,282000,284400,286700,288800,290800,292500,294100,295600,297000,298400,299600,300800,301800,302700,303300,303700,303900,304100,304200,304400,304600,304700,304700,304600,304300,303900,303500,302900,302100,301200,300200,299300,298400,297200,296000,294600,293500,292400,291400,290600,289800,289000,288400,287900,287300,286400,285300,284000,282800,281900,281200,280700,280400,280400,280600,280900,280600,280200,279900,279700,278900,277600,276500,275500,274200,273000,272000,270800,269600,268600,267900,267300,266500,265800,265000,264400,264200,263900,263200,262800,262900,262800,262600,262400,262500,262800,263300,263800,264400,264900,265300,265700,266200,267000,267700,268500,269400,270100,270700,271300,271900,272500,273200,273700,273900,274600,275400,276000,276500,277100,277700,278400,278800,279200,279400,279600,279900,280400,280900,281500,282300,283100,283800,284200,284400,284600,285400,286400,287300,287800,288200,289100,290300,291700,292700,293500,294400,295600,296400,297300,298400,299800,301200,302400,303700,305200,306500,307600,308400,309000,310100,311700,313300,314600,315800,316800,317600,318100,318600,319600,320900,322400,323700,324800,325500,325700,326100,326800,327300,327900,328500
44,"Ohio",7,140200,140600,141100,141700,142400,143000,143600,144200,144600,145000,145300,145600,146000,146500,147100,147800,148500,149300,150000,150700,151300,151800,152200,152600,152900,153300,153900,154500,155200,156000,156700,157400,157900,158200,158400,158700,159000,159500,160000,160600,161200,161900,162600,163400,164300,165200,166200,167000,167900,168500,169100,169700,170200,170700,171200,171900,172600,173400,174300,175100,175800,176400,176800,177200,177500,177800,178100,178400,178900,179500,180100,180800,181600,182300,183000,183700,184400,185000,185700,186500,187200,187900,188500,189000,189500,190000,190600,191300,192000,192800,193700,194400,195200,195900,196500,197200,197800,198500,199200,199900,200500,201100,201800,202500,203200,203800,204300,204800,205300,206000,206700,207500,208200,208800,209300,209800,210200,210500,210700,211000,211400,211600,211700,211800,211700,211600,211500,211300,211200,211100,210900,210800,210600,210200,209600,209100,208400,207700,206900,206000,205200,204400,203700,202900,202200,201300,200500,199600,198800,198000,197300,196600,196000,195600,195200,194800,194400,193700,192900,192400,192000,191800,191700,191700,191600,191700,192000,191800,191400,191700,192100,191700,191300,190900,190400,189700,189000,188000,187000,186100,185500,184800,184000,183700,183800,183900,183900,184100,184500,184800,185300,185800,186300,186800,187200,187400,187400,187500,187700,188000,188500,189100,189700,190300,191100,191600,192400,193600,194600,195300,196000,196800,197700,198500,199200,200000,200700,201600,202700,203600,204400,205100,205800,206500,207300,207700,208100,208800,209900,210900,211900,213000,214100,215200,216000,216400,216700,217300,218300,219000,219500,220500,221600,222400,223100,224000,225000,225900,226700,227600,228900,230600,232300,233600,234500,235300,236100,236900,238100,239500,240900,242100,243000,243900,244900,246100,247100,248100,249300,250700,252400,254000,255500,257000,258600,259300,259300,259300,259700,260400,261300,262200
30,"Michigan",8,143400,144700,145900,147200,148300,149300,150400,151300,152400,153500,154500,155300,156100,156800,157600,158400,159200,160000,160800,161400,162100,162900,163700,164400,165200,166100,167100,168200,169400,170500,171500,172400,173200,174100,174800,175500,176200,176900,177700,178600,179600,180600,181800,183000,184400,185900,187300,188500,189700,190800,192000,193300,194400,195500,196600,197500,198400,199100,199600,200000,200300,200600,201000,201400,202000,202700,203500,204400,205400,206600,207800,209200,210500,211700,212700,213600,214300,214900,215500,216100,216500,216900,217400,217800,218300,218900,219500,220100,220700,221500,222300,223000,223800,224700,225500,226400,227400,228400,229500,230600,231600,232500,233500,234400,235400,236500,237400,238300,239100,239800,240400,240900,241200,241400,241500,241700,241900,242000,241900,241900,241700,241400,240800,240000,239200,238200,237300,236200,235100,234000,232700,231500,230400,229200,227800,226300,224700,223000,221100,219200,217300,215300,213200,211100,209000,206800,204400,202100,200000,197900,195900,193900,192000,190200,188300,186600,184900,182900,180800,179000,177600,176400,175500,174900,174500,174300,174600,174600,173800,173100,173000,172900,172600,172100,171500,170800,170100,169300,168600,167900,167600,167500,167400,167300,167500,167900,168400,168800,169100,169600,170100,170700,171600,172900,174300,175500,176500,178100,180100,182000,183700,185500,187300,188900,190700,192600,194500,196500,198600,200500,202500,204200,205600,207000,208300,209400,210900,212500,214100,215600,217200,218400,219200,220100,221300,222600,223900,225300,226300,227200,228100,229100,230100,231300,232400,233500,234700,235600,236900,238600,240100,241400,242900,244500,245900,246900,247900,249400,251100,252700,254400,256500,258900,260800,262200,263100,264300,265700,266800,267900,268900,269800,271000,272200,273100,274600,276500,278500,280000,281000,281900,283100,284400,286200,287600,288400,289100,289600,289700,289700,290100,290800
16,"Georgia",9,158700,159300,160000,160700,161300,161900,162500,163000,163700,164300,164800,165300,165900,166600,167300,168100,168900,169600,170400,171200,172100,173000,173900,174700,175500,176300,177200,178200,179400,180600,181900,183300,184700,186300,187700,189000,190200,191500,192900,194300,195700,197000,198400,199800,201300,202900,204400,205900,207400,208900,210500,212100,213800,215300,216900,218400,219800,221200,222400,223500,224600,225600,226600,227400,228200,229100,230000,231000,232100,233100,234100,235000,235900,236600,237200,237700,238200,238800,239500,240400,241400,242400,243300,243900,244400,244900,245400,245900,246600,247300,248100,248900,249800,250800,252000,253300,254700,256200,257800,259300,260900,262400,263700,264700,265500,266300,267300,268600,270200,272000,274000,275900,277800,279800,281700,283600,285500,287300,288800,290400,292100,293700,295400,297000,298600,300100,301500,302700,303900,304900,305700,306600,307500,308000,308000,307900,307800,307500,307200,306500,305800,304900,303500,302200,300900,299100,296800,294300,291800,289500,287400,285300,283400,281600,279700,277600,275600,273000,270200,268000,266300,265000,264000,263300,262100,261500,262400,261600,258800,257200,256900,255900,254700,252900,250800,248800,247000,244800,242300,240200,238700,237400,236200,235000,233400,231700,230200,229100,228200,227600,227100,227000,227200,227700,228200,229100,230400,232000,233400,234900,236300,237500,238700,240300,242200,243900,245400,247300,249100,250900,252600,254400,256300,257900,259200,261200,263500,265500,267100,268600,270100,271400,272500,273700,274900,275700,276400,277400,279100,281000,282700,283900,284900,285400,286000,286700,287700,288900,290700,292700,294900,297200,299600,302000,304400,306700,308700,310300,312100,314100,316200,318000,319700,321000,321700,322300,323400,325000,326500,328100,329800,332500,335800,338200,339800,341500,343100,344200,344800,346600,350000,353200,355600,357600,359400,360100,359700,359100,358900,359400,360700,362000
36,"North Carolina",10,166500,166300,166000,165600,165200,165000,165100,165600,166800,168400,170200,171900,173200,174000,174500,174500,174100,173200,172000,170200,168000,165600,163400,161600,160700,160800,161600,163100,164800,166500,168300,169800,171100,172000,172800,173800,174900,176200,177600,178900,180000,181000,181900,182900,183800,184700,185400,186000,186500,187100,187900,188900,190000,191300,192500,193600,194500,195400,196100,196500,196800,197100,197400,197600,198000,198600,199200,199900,200600,201400,202300,203000,203500,204000,204400,204800,205400,206000,206800,207900,209000,209900,210700,211600,212600,213800,215200,216700,218300,219900,221600,223100,224500,225800,227200,228500,229900,231200,232600,233900,235300,236600,237900,239000,240000,241000,242300,244000,246300,248900,251700,254600,257400,260100,262700,265400,268100,270900,273400,275900,278400,280600,282600,284600,286500,288300,289900,291400,293100,294800,296200,297600,298900,299800,300400,300900,301300,301600,301700,301800,301800,301900,301700,301400,301100,300300,299100,297700,296200,294700,293300,292000,291000,290300,289500,288800,288000,286700,285000,283100,281500,280000,278800,277700,276700,276300,277000,276600,274600,273200,272900,272200,271200,270100,269100,268000,266700,265000,263200,261700,260700,259800,258800,258000,257700,257500,257400,257500,257700,257800,258000,258200,258200,258500,259000,259600,259400,259000,259100,259800,260400,260600,260600,261100,262400,263600,264700,265600,266700,267700,268500,269000,269800,270700,271400,271800,272500,273400,274000,274600,275500,276300,276900,277500,278300,279300,280400,281400,282300,283100,283900,284900,286000,287000,287800,288400,289200,290200,291200,292500,294200,295800,297000,298300,300200,302100,303800,305200,306400,307500,308700,310300,312100,313700,314800,315600,316300,316900,317700,318700,319700,321700,324000,325900,327100,328300,329400,330700,332200,334100,336400,338900,340700,342300,343900,345100,345600,346200,347100,348100,349200,350300
