"RegionID","RegionName","SizeRank","1996-04","1996-05","1996-06","1996-07","1996-08","1996-09","1996-10","1996-11","1996-12","1997-01","1997-02","1997-03","1997-04","1997-05","1997-06","1997-07","1997-08","1997-09","1997-10","1997-11","1997-12","1998-01","1998-02","1998-03","1998-04","1998-05","1998-06","1998-07","1998-08","1998-09","1998-10","1998-11","1998-12","1999-01","1999-02","1999-03","1999-04","1999-05","1999-06","1999-07","1999-08","1999-09","1999-10","1999-11","1999-12","2000-01","2000-02","2000-03","2000-04","2000-05","2000-06","2000-07","2000-08","2000-09","2000-10","2000-11","2000-12","2001-01","2001-02","2001-03","2001-04","2001-05","2001-06","2001-07","2001-08","2001-09","2001-10","2001-11","2001-12","2002-01","2002-02","2002-03","2002-04","2002-05","2002-06","2002-07","2002-08","2002-09","2002-10","2002-11","2002-12","2003-01","2003-02","2003-03","2003-04","2003-05","2003-06","2003-07","2003-08","2003-09","2003-10","2003-11","2003-12","2004-01","2004-02","2004-03","2004-04","2004-05","2004-06","2004-07","2004-08","2004-09","2004-10","2004-11","2004-12","2005-01","2005-02","2005-03","2005-04","2005-05","2005-06","2005-07","2005-08","2005-09","2005-10","2005-11","2005-12","2006-01","2006-02","2006-03","2006-04","2006-05","2006-06","2006-07","2006-08","2006-09","2006-10","2006-11","2006-12","2007-01","2007-02","2007-03","2007-04","2007-05","2007-06","2007-07","2007-08","2007-09","2007-10","2007-11","2007-12","2008-01","2008-02","2008-03","2008-04","2008-05","2008-06","2008-07","2008-08","2008-09","2008-10","2008-11","2008-12","2009-01","2009-02","2009-03","2009-04","2009-05","2009-06","2009-07","2009-08","2009-09","2009-10","2009-11","2009-12","2010-01","2010-02","2010-03","2010-04","2010-05","2010-06","2010-07","2010-08","2010-09","2010-10","2010-11","2010-12","2011-01","2011-02","2011-03","2011-04","2011-05","2011-06","2011-07","2011-08","2011-09","2011-10","2011-11","2011-12","2012-01","2012-02","2012-03","2012-04","2012-05","2012-06","2012-07","2012-08","2012-09","2012-10","2012-11","2012-12","2013-01","2013-02","2013-03","2013-04","2013-05","2013-06","2013-07","2013-08","2013-09","2013-10","2013-11","2013-12","2014-01","2014-02","2014-03","2014-04","2014-05","2014-06","2014-07","2014-08","2014-09","2014-10","2014-11","2014-12","2015-01","2015-02","2015-03","2015-04","2015-05","2015-06","2015-07","2015-08","2015-09","2015-10","2015-11","2015-12","2016-01","2016-02","2016-03","2016-04","2016-05","2016-06","2016-07","2016-08","2016-09","2016-10","2016-11","2016-12","2017-01","2017-02","2017-03","2017-04","2017-05","2017-06","2017-07","2017-08","2017-09","2017-10","2017-11","2017-12","2018-01","2018-02","2018-03","2018-04","2018-05","2018-06","2018-07","2018-08","2018-09","2018-10","2018-11","2018-12","2019-01","2019-02","2019-03","2019-04","2019-05","2019-06","2019-07","2019-08","2019-09"
9,"California",1,138900,138600,138300,138100,137800,137600,137500,137600,137900,138300,138600,138700,138800,139000,139300,139600,140100,140700,141600,142600,144000,145500,147000,148300,149500,150700,152000,153100,154300,155600,156800,158100,159600,161200,162700,163900,165100,166500,167900,169200,170700,172300,174100,176100,178400,180900,183400,185800,188400,191000,193700,196500,199300,202100,204900,207700,210600,213500,216300,219100,221700,224300,226600,228900,231100,233200,235200,237300,239400,241500,243800,246300,248900,251800,254900,258300,261800,265300,269000,272700,276400,279900,283200,286600,290100,293700,297500,301600,305900,310600,315700,321100,326700,332800,339400,346700,354600,362900,371400,379800,387600,394900,401400,407400,413000,418500,423600,428600,433400,437600,441500,445000,448200,451100,453800,456100,458000,459700,461000,462100,462800,462900,462500,461300,459200,456800,454400,451700,449100,446800,444300,441500,438500,435100,431300,427100,422100,417000,411800,406400,400600,394700,388300,381500,374500,367800,361600,356500,352400,349000,345800,342800,339900,337300,334300,330700,326800,322600,319000,316900,316000,315600,315500,315700,316200,316900,317400,316200,315200,315200,314600,312700,311100,309000,306500,304200,301500,298300,295600,293500,291000,288300,285800,283500,281000,278400,276300,274900,273600,272300,271800,272400,273600,275000,276500,278400,280300,282600,285400,288900,292600,296200,300400,306500,313800,321400,329100,336300,342400,347800,352200,355500,358600,361800,364900,367600,370100,372400,374500,376300,377800,379500,381400,383100,384700,387000,389600,392300,395000,397400,399800,402000,404400,407100,409500,411900,414800,417800,419800,421600,423600,425400,427100,429400,431800,434100,436700,439600,442300,445200,448300,450800,452800,455100,457600,460100,463300,466500,469300,472200,475300,480400,486300,489800,491200,493200,495200,497000,499300,501600,503200,504100,504700,505600,506000,505700,505000,504000,502200,500700,500500,501000
54,"Texas",2,69200,69300,69400,69500,69600,69700,69800,70000,70200,70400,70600,70900,71100,71300,71400,71500,71500,71500,71600,71800,72200,72600,73100,73600,74000,74500,74900,75400,75800,76200,76600,76900,77200,77400,77600,77800,78000,78200,78400,78700,78900,79200,79500,79800,79900,80000,80000,80100,80100,80000,80000,80000,80100,80100,80200,80400,80500,80700,80700,80700,80700,80600,80500,80400,80400,80500,80500,80600,80800,80900,81200,81400,81600,81800,82000,82200,82400,82500,82700,82900,83200,83500,83700,84000,84200,84500,84800,85200,85500,85700,85900,86200,86500,87000,87600,88200,88800,89400,90000,90500,91000,91400,91800,92000,92200,92400,92500,92600,92700,92900,93100,93200,93300,93400,93500,93700,94000,94300,94700,95200,95800,96300,96700,97100,97500,97900,98400,98900,99300,99500,99700,99900,100000,100100,100300,100500,100800,101000,101200,101200,101100,100800,100500,100200,99900,99400,99000,98500,98100,97800,97500,97300,97100,96900,96800,96700,96500,96200,95900,95700,95700,95700,95700,95600,95500,95400,95500,95400,95000,94500,94000,93600,93500,93400,93300,93200,93000,92800,92500,92200,92300,92700,92900,92900,92700,92600,92400,92200,92000,92000,92000,91800,91900,92100,92500,93200,93600,93200,92800,92800,93100,93500,93700,93800,93700,93900,94000,93900,93700,94000,94300,94800,95400,95900,96300,96500,96700,97100,97300,97600,98200,99200,100200,100800,101100,101200,101700,102700,103800,104700,105800,107100,108300,109600,110500,111100,112000,113000,113800,115100,116800,118100,119300,120700,122100,123400,124500,125500,125900,126300,126900,127700,128500,129700,130600,130500,130000,130200,131100,131900,132600,133700,135000,136100,136900,137800,138700,139600,139800,139600,139700,140500,142100,144000,145900,146500,145400,144000,143300,143000,143700,144700
43,"New York",3,149900,150200,150400,150600,150700,150700,150800,150800,151000,151500,152000,152200,152400,152700,152900,153200,153700,154200,154900,155700,156800,158000,159100,160100,161000,161900,162700,163600,164500,165400,166400,167400,168800,170300,171900,173400,175100,176900,178800,180700,182500,184100,185600,187000,188700,190800,193100,195600,198400,201400,204600,207900,211500,215100,218900,222900,227000,231200,235600,240000,244400,248600,252400,255700,258700,261500,264100,266200,267500,267800,266800,264500,261800,259500,258200,257900,258700,260500,263000,266000,269700,274000,279400,285800,292500,298800,304600,309700,313600,316600,319300,321900,324500,327100,329700,332700,336100,340200,345200,350900,357300,364000,370700,377200,383600,390000,396400,403300,410700,418000,424800,431800,438700,445800,452700,459200,465200,470400,474300,477900,481600,484600,486100,486100,484300,481100,477600,474900,473700,473800,474300,475600,477100,477700,477600,478900,482100,486700,491500,495900,499400,502100,503500,505200,507300,507900,506600,505400,504500,503700,502500,500900,499500,498100,496300,495400,495600,495300,492900,489500,485700,482100,479100,477300,476600,476700,477800,472300,461000,454400,455900,456900,456000,453700,452700,452000,450700,449200,450400,453900,457400,459700,461900,463500,464700,466700,468800,470100,470800,471000,470700,471800,473600,474200,473100,473500,475000,476800,479100,482600,486100,488600,489700,492100,496800,502200,506400,510700,516400,522600,527300,530600,534800,539800,543400,547200,552500,557400,561100,565700,570600,574600,578000,581100,583100,585500,588100,590700,594900,600800,606300,610700,614200,618200,622600,626100,629100,633200,638300,642400,644900,646600,648800,652300,656200,657500,657200,659000,663200,667900,671600,674800,677800,680900,684100,688000,691800,696300,700600,702500,703600,707800,712200,714900,717200,720400,722300,721700,719900,719400,719800,720300,718200,713800,713200,715000,713700,710300,706200,701800,699000,697500
14,"Florida",4,71100,71200,71300,71300,71400,71400,71500,71600,71800,72000,72200,72400,72500,72700,72900,73000,73200,73500,73800,74000,74400,74800,75100,75200,75300,75400,75400,75400,75500,75600,75800,76000,76400,76700,77100,77400,77600,77900,78100,78400,78700,79000,79300,79600,80100,80600,81000,81500,81900,82400,82800,83200,83700,84200,84700,85400,86100,86900,87800,88800,90000,91200,92500,94000,95500,97000,98600,100100,101500,102900,104200,105400,106400,107400,108400,109300,110100,111000,112000,113000,114100,115300,116600,118100,119600,121100,122700,124200,125800,127300,128900,130500,132000,133600,135300,137000,138900,141100,143600,146400,149300,152500,155800,159300,163000,166800,170600,174800,179300,184000,188700,193400,197900,202100,206000,209500,212900,216200,219200,222400,225500,228100,229800,230900,231200,230900,230100,228800,227200,225300,223000,220700,218200,215400,212200,209100,205900,202600,199300,195700,191800,187800,183500,179500,175700,171900,168000,164300,160600,156900,153200,149400,145600,141900,138200,134500,130900,127200,123600,120600,118100,116000,114300,112900,111900,111500,111500,110200,107600,105700,104700,103100,101300,99800,98700,97600,96300,95000,94000,93100,92400,91900,91300,90900,90700,90600,90500,90500,90500,90600,90700,91200,92100,92800,93200,93800,94500,95100,95700,96600,97700,98700,99700,101000,102600,104400,106000,107600,109400,111000,112100,113300,114500,115500,116500,117800,119000,120100,121300,122700,123900,124900,125800,126700,127500,128300,129100,130200,131600,133000,134300,135300,136200,137300,138400,139200,140200,141200,142200,143300,144700,145900,147000,148200,149200,150300,151900,153700,155100,156300,157100,157800,158700,159500,160100,160700,161700,162800,163700,164100,164500,165800,167300,168200,168900,169600,170300,170800,171200,171600,172400,173300,174200,175000,175800,176100,175600,175300,175700,176300,176900,177300
21,"Illinois",5,106600,107600,108400,109000,109300,109400,109200,108800,108500,108300,107700,106900,106000,105000,103900,102800,101500,100500,100000,100000,100800,102300,103800,105400,107200,109100,111100,113000,114800,116600,118000,119200,120200,121000,121500,121800,122100,122500,123000,123600,124200,124900,125700,126500,127600,128800,130000,131100,132400,133700,135100,136500,138100,139700,141200,142700,144100,145400,146600,147500,148400,149200,150100,151100,152300,153700,155100,156600,158100,159500,161000,162400,163600,164600,165500,166400,167200,167900,168500,168900,169200,169500,169800,170100,170400,170800,171400,172100,172800,173500,174200,174800,175500,176200,177200,178300,179700,181100,182400,183600,184600,185700,186900,188200,189600,191000,192100,193400,194700,196200,197600,199200,200900,202600,204300,205900,207200,208300,209200,210100,210900,211400,211700,212000,212100,212300,212500,212500,212600,212600,212500,212400,212100,211400,210500,209700,209000,208400,207900,207200,206100,204800,203400,202300,201500,200300,198800,197200,195400,193800,192400,191000,189400,187800,186100,184500,182900,180700,178400,176800,175500,174300,173400,172600,172000,171800,172000,170800,168200,166500,165700,164000,162100,159900,157300,155200,153300,151800,150200,148500,146100,143200,140300,138400,136700,135300,133700,131900,130700,129500,128000,126400,125900,126100,126800,126500,125800,125100,124700,124800,125000,125100,125300,125900,126600,127600,128700,130200,131800,133400,134400,134500,134400,134500,134900,135700,137100,138200,138900,140200,141800,142500,143000,144000,145200,145800,146100,147300,149000,150300,151200,151500,151200,151800,153500,154600,154800,154700,155200,155700,156600,158000,159100,159600,160400,161200,161800,162700,163400,163900,164600,165200,165800,166200,166500,167000,167700,168100,168300,168700,169400,170600,171300,171500,171300,171100,171300,171600,171900,172100,172300,172800,173300,173800,174800,175900,176400,176000,175400,175000,174700,174700
47,"Pennsylvania",6,87100,87000,86900,86700,86600,86600,86500,86400,86300,86300,86300,86200,86100,86000,86000,86100,86200,86400,86600,87000,87400,87900,88400,88700,89000,89300,89500,89600,89700,89900,90300,90700,91200,91800,92300,92900,93400,93900,94400,94800,95200,95600,96000,96400,96900,97500,98100,98700,99300,100000,100700,101400,102100,102900,103800,104600,105600,106700,107700,108700,109700,110700,111600,112500,113400,114300,115300,116200,117200,118100,118900,119800,120700,121600,122600,123700,124800,126000,127200,128400,129600,130800,132000,133300,134600,135900,137100,138300,139500,140700,141900,143100,144300,145700,147000,148500,150000,151600,153400,155200,156800,158400,159900,161400,162900,164400,165700,167100,168600,170300,172000,173800,175700,177500,179200,180800,182100,183300,184300,185200,186100,187000,187800,188500,189200,189700,190000,190100,190100,190200,190400,190500,190700,190700,190600,190400,190300,190100,189800,189500,189100,188600,188100,187600,187100,186400,185600,184700,183900,183200,182500,181800,181100,180500,180000,179400,178800,178000,177200,176500,176000,175600,175300,175000,174800,174700,174800,174400,173400,172500,172300,171800,170700,169400,168500,167600,166600,165400,164300,163400,162800,162100,161200,160200,159300,158600,158000,157700,157700,157400,157000,156600,156200,155900,155600,155200,155000,155000,155200,155300,155500,155800,156200,156600,157200,157700,158000,158500,159100,159400,159500,159800,159900,159900,159700,159600,159600,159800,159900,160100,160300,160500,160700,160700,160700,160700,160700,160800,161300,161600,161800,162000,162500,163100,163300,163400,163500,163900,164600,165200,165300,165500,166100,166800,167400,167900,168500,168900,169000,168900,169100,169500,170300,171100,171900,172600,173200,173400,173500,173900,174500,175200,175700,175900,176100,176500,177000,177500,177800,178300,179000,179900,180900,181700,182400,183000,183700,184300,184900,185300,185700,186000
44,"Ohio",7,85600,85700,85900,86200,86500,86900,87300,87600,88000,88300,88700,89000,89500,89900,90400,90900,91400,91700,92000,92200,92300,92400,92500,92600,92900,93300,93700,94200,94800,95300,95800,96300,96700,97000,97300,97600,97900,98200,98500,98800,99200,99600,100100,100700,101300,101900,102500,103100,103700,104100,104400,104700,105100,105400,105900,106400,106900,107500,108000,108500,108900,109300,109700,110100,110600,111100,111600,112000,112400,112900,113400,113900,114500,115000,115500,116000,116400,116700,117100,117400,117700,118000,118300,118600,118800,119000,119200,119400,119600,119800,120000,120200,120500,120900,121200,121500,121700,121900,122100,122300,122500,122600,122900,123200,123500,123800,124100,124400,124600,124800,125000,125200,125500,125800,126000,126100,126100,126100,126000,125900,125800,125800,125700,125500,125400,125200,125000,124700,124300,123900,123500,123100,122900,122600,122200,121700,121100,120500,120000,119400,118800,118200,117700,117300,116900,116400,116000,115500,114900,114300,113900,113500,113000,112500,112000,111500,111000,110400,109800,109300,108800,108400,108100,107900,107600,107300,107200,107000,106700,106500,106400,106200,106100,105900,105400,104600,104000,103300,102700,101900,101300,100700,100100,99600,99300,98700,98100,97800,97600,97400,97200,96800,96300,95900,95300,94400,94000,93800,93700,93800,94200,94500,94800,95100,95200,95500,96300,96800,96900,97100,97300,97500,97800,98100,98200,98500,99200,99900,100500,101200,101600,102200,102900,103400,103500,104100,105000,105700,106200,106500,106500,106700,107200,107500,107500,107400,107400,107600,107800,107800,108000,108400,109200,110000,110900,111700,112400,113000,113200,113400,114000,115100,116100,116900,117600,118500,119600,120400,121100,122000,122700,122700,122300,122000,122500,123100,123400,123800,124100,124400,125000,126000,127100,128100,129100,129800,130000,129600,129300,129300,129500,129800
30,"Michigan",8,105000,106000,106900,107800,108600,109400,110200,110800,111600,112400,113200,113900,114500,115200,115800,116300,116800,117300,117900,118600,119400,120500,121500,122300,123100,123600,124100,124400,124800,125100,125500,125700,126000,126300,126600,126900,127500,128100,128900,129700,130500,131100,131800,132500,133400,134400,135500,136400,137300,138200,139000,139700,140300,140900,141400,141700,141900,142000,142000,141900,141700,141500,141300,141100,140900,140800,140800,141000,141600,142500,143600,144900,146200,147300,148300,149300,150300,151100,151800,152300,152600,152500,151800,151100,150300,149800,149600,149700,150000,150500,151100,151700,152300,152900,153500,154200,154900,155700,156500,157100,157700,158400,158900,159500,159900,160400,160800,161000,161300,161500,161700,161900,162100,162400,162600,162900,163100,163200,163100,163100,163000,162800,162500,162300,161900,161500,161100,160500,159800,159100,158500,157900,157200,156400,155300,154200,152800,151500,150100,148900,147600,146300,145000,143800,142500,141200,139900,138500,137100,135600,134200,132900,131600,130300,129000,127800,126600,125200,123900,122500,121200,119900,118900,118200,117700,117600,117600,117300,116700,116000,115400,115000,114400,113700,113000,112400,111700,110900,110100,109400,109000,108600,108400,108200,108500,109000,109300,109300,109200,109300,109700,110400,111300,112400,113200,113700,114200,115000,115900,116600,117600,118900,120100,121000,121900,123000,124300,125700,127100,128600,130100,131600,133000,133800,134500,135500,136800,137900,139200,140600,141900,142900,143700,144500,145500,146500,147700,148700,149500,150300,151100,151900,152800,153700,154900,156200,157300,158200,159100,160000,161000,161800,163100,165000,166500,167700,168900,170000,171100,172700,174300,175700,177000,178400,179600,180500,181400,182600,184000,185400,186400,187300,188600,189900,191100,192700,194100,195400,196600,197300,197900,199200,200800,202200,203200,204000,204400,204900,205200,205100,204900,205100
16,"Georgia",9,73800,74100,74600,75000,75500,76000,76500,77100,77700,78300,78900,79300,79800,80200,80700,81000,81500,82000,82500,83100,83800,84600,85500,86400,87300,88300,89200,90100,91000,91800,92700,93600,94700,95800,97000,98300,99700,101300,102900,104600,106300,108000,109600,111100,112500,113800,115100,116400,117600,119000,120400,121800,123200,124500,125700,126900,127900,128900,129800,130600,131300,132000,132700,133300,133800,134400,135000,135500,135900,136300,136600,137000,137200,137400,137600,137700,137800,137800,137800,137800,137800,137900,138100,138300,138400,138600,138800,139000,139200,139600,140200,141100,142300,143900,145200,146200,146600,146800,146900,147100,147400,147700,148100,148300,148300,148300,148400,148700,149300,149900,150400,150900,151300,151600,152000,152300,152700,153100,153300,153700,154100,154600,155000,155400,155700,156000,156200,156300,156300,156300,156100,156200,156300,156500,156600,156700,156800,156700,156500,156200,155600,154800,154000,153200,152600,151800,150900,150000,149000,147900,146900,145900,144800,143700,142600,141500,140300,138800,137500,136700,136300,136000,135700,135200,134800,134400,134400,133400,131600,130100,129200,128000,126800,125400,123500,121500,119300,117100,115100,113500,112500,111400,109700,107500,104500,101600,99500,97900,96600,95800,94800,93700,92700,91900,91200,90800,90900,91700,92800,93900,95100,96200,97200,98200,99600,100900,102300,103700,105300,107000,108400,109400,110500,111400,112400,113700,114700,115800,117200,118900,120400,121500,122400,123500,124500,124900,125200,125700,126700,128000,129000,129700,130100,130000,129700,129700,130000,130700,131900,133500,135300,137100,138900,140700,142200,143900,145400,146500,147500,149000,150300,151500,152600,153500,154400,155500,157000,158300,159400,160500,161900,163700,165500,167000,168000,169100,170000,170800,171600,173300,176100,178900,180700,181900,183200,184100,184100,183600,183300,183900,185000,185700
36,"North Carolina",10,74300,74300,74400,74500,74600,74800,75000,75300,75600,76100,76500,76900,77300,77700,78100,78500,78900,79300,79700,80200,80600,81100,81500,81900,82300,82800,83400,84100,84900,85700,86600,87300,88000,88500,88900,89300,89600,89900,90000,90100,90100,90100,90200,90300,90500,90900,91300,91800,92300,92800,93400,93900,94400,94900,95400,95700,95900,96000,96100,96000,95900,95700,95500,95500,95600,95600,95800,96000,96200,96500,96800,97200,97700,98200,98700,99200,99700,100100,100600,101100,101500,101700,101800,101900,102100,102300,102600,102700,102900,103000,103000,103200,103700,104700,106100,107500,108900,110100,111100,112000,112900,113800,114700,115600,116300,116600,116700,116700,116900,117300,117900,118600,119300,120100,121000,121900,122800,123700,124500,125500,126600,127600,128800,130100,131300,132400,133500,134300,135100,135700,136200,136800,137400,138000,138400,138700,139000,139300,139500,139700,139700,139600,139200,138900,138400,137900,137200,136500,135800,135200,134600,134000,133400,133000,132500,132000,131500,130900,130000,129100,128200,127500,126700,126100,125800,125600,125700,125200,124200,123400,123100,122700,122300,121800,121300,120600,119800,119200,118500,117700,117000,116300,115200,114100,113200,112400,111700,111200,110500,109800,109600,109500,109300,109400,109700,110100,110300,110500,110800,111200,111300,111300,111300,111500,111900,112300,112700,113300,113400,113100,112700,112700,112700,112700,112800,113100,113400,113700,113700,113800,113900,114100,114300,114600,115000,115400,115500,115500,115400,115300,115200,115400,115900,116600,117000,117100,117300,117700,118000,118300,118900,119700,120500,121400,122300,123200,123900,124300,124700,125000,125500,126200,127200,128100,128900,129700,129900,129700,129900,130900,132200,133300,134100,134600,135200,135700,136100,136300,136800,138100,139800,141500,142800,144100,145300,146200,146500,146700,147000,147200,147700,148400
