"RegionID","RegionName","City","State","Metro","CountyName","SizeRank","1996-04","1996-05","1996-06","1996-07","1996-08","1996-09","1996-10","1996-11","1996-12","1997-01","1997-02","1997-03","1997-04","1997-05","1997-06","1997-07","1997-08","1997-09","1997-10","1997-11","1997-12","1998-01","1998-02","1998-03","1998-04","1998-05","1998-06","1998-07","1998-08","1998-09","1998-10","1998-11","1998-12","1999-01","1999-02","1999-03","1999-04","1999-05","1999-06","1999-07","1999-08","1999-09","1999-10","1999-11","1999-12","2000-01","2000-02","2000-03","2000-04","2000-05","2000-06","2000-07","2000-08","2000-09","2000-10","2000-11","2000-12","2001-01","2001-02","2001-03","2001-04","2001-05","2001-06","2001-07","2001-08","2001-09","2001-10","2001-11","2001-12","2002-01","2002-02","2002-03","2002-04","2002-05","2002-06","2002-07","2002-08","2002-09","2002-10","2002-11","2002-12","2003-01","2003-02","2003-03","2003-04","2003-05","2003-06","2003-07","2003-08","2003-09","2003-10","2003-11","2003-12","2004-01","2004-02","2004-03","2004-04","2004-05","2004-06","2004-07","2004-08","2004-09","2004-10","2004-11","2004-12","2005-01","2005-02","2005-03","2005-04","2005-05","2005-06","2005-07","2005-08","2005-09","2005-10","2005-11","2005-12","2006-01","2006-02","2006-03","2006-04","2006-05","2006-06","2006-07","2006-08","2006-09","2006-10","2006-11","2006-12","2007-01","2007-02","2007-03","2007-04","2007-05","2007-06","2007-07","2007-08","2007-09","2007-10","2007-11","2007-12","2008-01","2008-02","2008-03","2008-04","2008-05","2008-06","2008-07","2008-08","2008-09","2008-10","2008-11","2008-12","2009-01","2009-02","2009-03","2009-04","2009-05","2009-06","2009-07","2009-08","2009-09","2009-10","2009-11","2009-12","2010-01","2010-02","2010-03","2010-04","2010-05","2010-06","2010-07","2010-08","2010-09","2010-10","2010-11","2010-12","2011-01","2011-02","2011-03","2011-04","2011-05","2011-06","2011-07","2011-08","2011-09","2011-10","2011-11","2011-12","2012-01","2012-02","2012-03","2012-04","2012-05","2012-06","2012-07","2012-08","2012-09","2012-10","2012-11","2012-12","2013-01","2013-02","2013-03","2013-04","2013-05","2013-06","2013-07","2013-08","2013-09","2013-10","2013-11","2013-12","2014-01","2014-02","2014-03","2014-04","2014-05","2014-06","2014-07","2014-08","2014-09","2014-10","2014-11","2014-12","2015-01","2015-02","2015-03","2015-04","2015-05","2015-06","2015-07","2015-08","2015-09","2015-10","2015-11","2015-12","2016-01","2016-02","2016-03","2016-04","2016-05","2016-06","2016-07","2016-08","2016-09","2016-10","2016-11","2016-12","2017-01","2017-02","2017-03","2017-04","2017-05","2017-06","2017-07","2017-08","2017-09","2017-10","2017-11","2017-12","2018-01","2018-02","2018-03","2018-04","2018-05","2018-06","2018-07","2018-08","2018-09","2018-10","2018-11","2018-12","2019-01","2019-02","2019-03","2019-04","2019-05","2019-06","2019-07","2019-08","2019-09"
274772,"Northeast Dallas","Dallas","TX","Dallas-Fort Worth-Arlington","Dallas County",1,332800,333500,334300,335000,335700,336400,336900,337300,337600,337800,337800,337600,337300,336900,336400,335700,335000,334200,333200,332200,331100,329900,328600,327300,326000,324700,323500,322400,321200,320200,319100,318100,317100,316100,315100,314100,313200,312300,311500,310900,310300,309800,309400,309100,308900,308700,308600,308600,308700,308900,309200,309700,310300,310900,311600,312300,313100,313900,314700,315300,316100,317100,318100,319300,320500,321800,323200,324600,326100,327500,328900,330100,331500,333000,334400,335800,337300,338800,340300,341700,342800,343400,343300,342400,341000,339500,338200,337300,336700,336400,336300,336800,338600,341600,345600,350000,353900,356800,358600,359500,359700,360000,360900,362200,363800,365200,366300,367700,369400,371200,372900,374100,374700,374700,373900,372800,371900,371800,372800,375200,378900,383300,388500,394700,401500,408600,415300,420900,425200,428000,429100,429400,429500,429100,429200,430300,431700,433100,433900,434100,433700,432500,430500,428900,428000,426500,424600,422800,420900,419200,417700,416200,415500,415200,414500,413800,413200,411600,409500,407800,406400,406100,406700,408100,407900,408400,411300,410700,406300,404200,403500,400500,397800,395900,394600,394000,395200,395800,394100,391600,391400,394000,397000,399200,401100,402800,403500,404300,404900,406300,409200,413800,418300,421400,424100,427700,430600,431300,431600,431800,431000,429900,430700,433600,436800,437600,437600,439000,441300,442400,442600,443200,444700,444600,443200,442900,444200,445900,447900,450200,452500,455000,456800,457300,458200,459600,460800,462700,464800,465400,465200,465000,464800,465500,466500,467600,469000,469700,469400,471100,474300,477400,481800,488600,495600,502500,510000,517900,525400,532900,537600,539100,537100,535900,537000,541700,546400,551200,558100,562600,561400,562300,570200,575000,576500,580400,588400,595200,599900,603700,607800,614400,627100,640600,650000,658400,669300,677400,672600,656200,642100,636500
192689,"Paradise","Las Vegas","NV","Las Vegas-Henderson-Paradise","Clark County",2,192300,192400,192400,192400,192400,192500,192600,192900,193400,193900,194300,194600,194800,195000,195100,195100,195100,195200,195300,195600,196100,196500,196900,197000,197200,197300,197400,197400,197500,197600,197900,198400,199000,199800,200500,201100,201600,202200,202700,203300,203900,204600,205500,206600,207800,209200,210400,211500,212500,213500,214500,215400,216400,217400,218600,220000,221500,223100,224600,225900,227200,228400,229500,230500,231500,232600,234000,235400,237100,238700,240200,241500,242600,243600,244500,245200,246000,247000,248300,249700,251200,253000,255000,257200,259700,262700,266300,270600,275600,281200,287700,295000,303100,311900,321200,331500,343000,355800,370200,385400,400200,413500,424600,433500,440900,447600,453900,460200,466000,470500,473900,476600,478900,481300,484100,487300,490900,494600,498200,501800,505300,508000,509700,509900,508600,505700,501800,497000,492200,488000,483500,478800,474600,470700,466600,462200,457600,452400,446300,439000,430100,420000,408900,397300,386200,375500,364900,355300,347000,339100,331000,323100,315100,307400,299500,291000,282600,274700,266800,259600,254200,250400,248100,247200,247400,247800,248000,248300,246500,244100,242700,241100,238600,237000,235100,232600,229800,226300,223200,220800,219500,217800,215100,211900,209300,206900,205800,204900,204000,204400,206200,208800,210600,212600,215700,220100,223900,226700,229400,233100,238300,243000,246500,249600,254200,260000,265600,270400,275300,280000,283700,285600,287100,288800,291600,294800,297400,299100,300200,300800,301400,302200,302700,303800,305400,306900,307800,308700,310100,312000,314500,317400,319600,320500,320600,321700,323100,324400,324900,325200,326400,327800,328500,329300,330900,332800,335200,337100,338100,339100,341200,343500,345600,348200,351800,355100,357200,359400,361800,363500,365800,370400,375200,377800,379700,383100,386600,389800,393800,398600,403500,407300,408700,409000,409500,409800,409800,409300,407600,406200,405600,405600
118208,"South Los Angeles","Los Angeles","CA","Los Angeles-Long Beach-Anaheim","Los Angeles County",3,138100,138000,138100,138100,138000,138100,138200,138400,138700,139100,139600,140000,140400,140800,141200,141600,142100,142600,143200,143800,144600,145500,146500,147300,148000,148800,149400,150000,150500,151100,151700,152200,152900,153700,154500,155100,155700,156300,156900,157400,157900,158600,159300,160100,161000,162200,163300,164400,165400,166300,167200,168000,168800,169700,170700,171600,172600,173800,175200,176400,177600,178700,179900,181000,182300,183600,185200,186900,188700,190900,193200,195600,198000,200400,202700,205100,207500,210000,212500,216300,221000,225100,228200,232000,236100,240700,245800,251300,256900,262400,267900,273000,278000,283300,288900,294700,300700,306800,313000,319400,326100,333100,340300,347000,353700,360800,368000,375400,383400,391600,400500,410000,419700,429300,438300,446300,453500,460300,467100,474400,482200,489700,497400,505100,512100,518200,523600,528100,531500,533700,534800,535200,534700,533200,531400,529600,526800,522600,517600,511900,505700,499100,491900,484000,474700,464100,453100,443000,433000,423000,413000,402800,392400,382400,372400,362000,350700,339100,327400,315800,304900,295800,289200,285000,283000,282600,283100,281500,279300,278400,278200,276400,275300,275200,274900,273800,273000,272300,270600,269400,269600,270800,271700,272500,273900,275900,278400,280100,280000,279000,279700,281900,285600,290300,295200,299600,302400,304500,307700,312800,316800,318900,320400,324300,329500,334200,337700,340300,342900,344700,343200,341400,343400,347400,351600,355900,358700,360200,362800,368200,374700,380000,384500,388300,391500,395500,400100,403300,405300,407200,408700,409000,409400,411500,413700,415900,418300,420400,421600,423700,426800,431300,438800,448700,456100,461300,467100,472700,478200,484000,489200,494500,500400,503800,505500,507400,512100,518500,524700,531200,537300,544300,552600,558700,560200,561700,566000,573800,580800,585600,591600,598700,603400,609600,616900,620500,623200,625600,623000,618600,619100,622500
192820,"Sunrise Manor","Las Vegas","NV","Las Vegas-Henderson-Paradise","Clark County",4,171200,171400,171500,171700,171900,172200,172400,172800,173300,173800,174100,174300,174400,174500,174600,174700,174700,174800,175000,175300,175800,176200,176600,176800,177000,177200,177300,177500,177900,178300,178800,179500,180400,181200,182100,182700,183400,184100,184800,185400,186200,187100,188000,189000,190200,191400,192300,193200,193900,194600,195200,195900,196600,197300,198200,199200,200300,201300,202200,202900,203500,204100,204600,205200,205800,206700,207700,208900,210100,211400,212600,213500,214200,215000,215700,216400,217200,218200,219500,220800,222100,223500,224900,226600,228500,230900,233900,237500,241800,246600,252000,257900,264400,271500,279400,288200,298200,309000,320700,332300,343000,352300,360300,367300,374100,380800,387100,392700,397500,401400,404800,407900,410700,413400,416200,419100,422400,425900,430100,435100,440600,445600,449600,452000,452400,451500,450100,448300,446500,444200,440900,436500,431700,427100,422800,418400,413500,408100,402200,395000,386200,376000,365300,354400,343600,332800,322000,311500,301500,292000,282900,274200,265200,256200,247000,237000,226900,216900,207700,200400,194900,190600,187200,184600,182700,181400,180500,180300,180100,179500,178100,176700,175700,175400,174200,173400,172500,170900,169700,169200,168900,169600,169800,168600,166600,164600,163400,162500,161400,160800,160800,160700,160500,160500,161400,163500,166100,168500,170300,172000,175200,178900,182900,186800,190800,193800,196900,199600,201800,204000,207000,209000,211200,213400,214900,216700,219600,222400,225700,229700,232900,235500,236600,236500,236800,237900,239300,240400,241300,243100,245400,247700,249900,251600,253000,256000,258500,260000,261300,262900,264900,267300,269300,271200,273300,275600,278200,280900,283000,285100,287200,289100,291200,293600,295600,297300,298800,301100,304700,308400,311600,316100,321700,326000,328800,331400,334000,336500,339000,341900,345800,349400,350900,351500,353000,353500,352500,352000,351000,350000,350500,351500
192796,"Spring Valley","Las Vegas","NV","Las Vegas-Henderson-Paradise","Clark County",5,233000,232500,232000,231600,231300,231000,230700,230700,230900,231100,231200,231300,231200,231200,231200,231200,231200,231100,231100,231200,231500,231700,232000,232000,232000,232100,232200,232200,232300,232500,232800,233300,234000,234800,235500,236100,236700,237500,238300,239200,240000,241000,242200,243600,245100,246700,248000,249300,250500,251600,252700,253600,254500,255300,256200,257200,258300,259300,260100,260700,261200,261700,262100,262600,263100,263600,264300,265200,266400,267500,268500,269400,270100,270800,271500,272100,272700,273500,274500,275300,276200,278000,280500,282900,285700,288900,292800,297600,303500,310500,318700,328100,338600,349700,361500,374500,388800,404100,420600,437600,454100,469100,482200,493300,503100,511400,518400,524400,529400,533000,535500,537200,538300,539300,540500,542000,543800,545900,548200,550800,553600,555900,557000,556300,554000,550900,547600,544400,541900,540000,537600,534300,531000,527600,523300,517600,510800,503300,494600,484300,472100,458600,444200,430000,417100,405800,395100,384900,375800,367700,360000,352400,345200,338200,330700,322100,313500,305100,297400,291400,287900,286200,285600,285400,284800,283500,283300,285400,285700,283900,281900,279700,276900,274700,271200,267100,263500,260200,257800,255700,253800,251500,249400,247700,246000,243000,241400,240500,240100,241400,242800,243800,244800,246900,249400,253300,256900,259300,261800,266000,270600,273900,276600,279300,283000,288200,294400,299200,303800,308300,312100,314300,316500,319600,324200,329400,334600,339200,342200,344200,346000,347200,347700,348400,350100,351000,350600,349500,348400,347400,347500,347500,347000,347200,347900,349300,350800,352100,353400,355600,358700,361500,363200,364800,366800,368900,371600,374600,377100,379500,381900,384400,387600,390900,392900,394100,396300,399800,403600,406300,408100,410900,413900,415300,415300,416100,418900,423300,428400,434300,439800,443000,444200,446200,448600,449000,448500,448800,448400,446700,445200,444600
268496,"Southeast Los Angeles","Los Angeles","CA","Los Angeles-Long Beach-Anaheim","Los Angeles County",6,127700,127800,127900,128000,128200,128300,128600,128900,129400,130000,130500,131000,131500,132000,132500,132900,133400,133900,134400,135000,135600,136300,137000,137400,137800,138100,138400,138500,138700,138800,139000,139100,139400,139700,140000,140200,140300,140400,140400,140400,140500,140700,140900,141200,141600,142200,142800,143200,143600,144100,144500,144800,145200,145700,146200,146900,147600,148400,149200,149900,150600,151300,151900,152500,153200,154000,154900,156000,157200,158700,160100,161500,162900,164100,165400,166600,167900,169300,170800,172900,175500,178200,180700,183500,186200,189000,192100,195700,199800,204400,209700,215100,220500,225900,231400,237400,244000,251100,258600,266100,273400,280300,286700,292600,298500,304700,311300,318600,326900,335900,345500,355700,365500,374300,382000,388700,394900,400700,406300,412900,420100,426700,432700,438500,443600,448300,452600,456800,461300,465500,467900,470100,472200,472700,471600,470600,468600,465600,461400,456700,452100,447000,440000,433200,426100,417000,405900,394900,383600,372000,360100,348600,337900,327900,316900,306200,295600,284000,272700,264800,259600,255800,252700,250900,248400,247300,249000,246000,240000,237900,239100,236500,234000,233300,235200,236300,235900,234100,233000,232700,232200,231900,232100,232400,232100,231800,231300,230600,230200,230500,231200,233500,237500,241200,244100,246900,249300,252000,254100,256500,258200,259500,259600,261600,264600,268900,273600,278900,282900,285100,286100,287100,288500,289800,292100,296700,300600,301500,301500,303300,305200,306000,306700,308500,312300,316700,320900,325100,331100,336400,339900,342400,345400,348600,351100,354100,358900,364900,368600,370500,372300,375200,377400,379200,381400,384200,388100,393400,399100,403400,407400,411300,415000,417500,420400,424000,429700,436700,444000,449800,454000,457600,461600,463600,464500,467700,472500,476200,477800,479300,481600,482400,482200,484300,486700,488200,490000,490400,489300,491400,495800,498600
273698,"Far North","Dallas","TX","Dallas-Fort Worth-Arlington","Dallas County",7,383300,383200,383300,383500,383800,384200,384400,384600,384700,384600,384300,384000,383700,383500,383400,383500,383500,383500,383500,383400,383100,382800,382300,381900,381700,381700,382100,382600,383400,384300,385300,386400,387400,388300,389200,390100,391200,392600,394300,396200,398300,400400,402400,404300,406000,407400,408500,409500,410600,411900,413400,415000,416700,418200,419600,420900,421800,422400,422500,422400,422400,422700,423200,423900,424700,425500,426100,426500,426700,426600,426000,425300,424800,424600,424900,425400,426100,426800,427400,427500,427000,426900,427300,427200,426300,424600,422100,418800,415200,411900,409500,409000,410800,414400,419400,424900,430000,434200,437200,439500,441700,444200,447100,450300,453600,456800,459800,462700,465600,468700,472000,475000,477200,478600,479300,479700,480000,480700,482400,485800,490700,496300,502100,508000,513700,519300,524300,528400,531100,532200,531600,530200,528600,527300,526700,526300,525600,524800,523600,521800,519200,516000,511800,506700,500200,493000,485600,480100,476800,474700,472300,470000,468100,466600,465100,463300,461300,459100,457200,455700,454700,454000,453600,453300,453300,453800,454400,453500,453300,454700,456300,455900,455700,455100,454800,454000,452900,451500,450200,448700,448200,448600,449100,449100,448700,448500,448900,449800,450200,450200,450900,452900,453300,452200,451400,451600,450700,449600,448400,447800,447700,447600,446900,448200,450500,453500,457100,460300,461800,461900,462100,463200,463600,463500,464000,463300,461000,459300,459000,460300,462400,464700,467500,470100,472400,474000,474800,475800,477700,480900,485000,488700,492600,496100,498600,500700,505200,508700,510100,513300,521200,527700,531200,535700,539800,542800,548400,555300,559200,562300,567400,571000,573200,577200,582200,585800,592700,601900,605000,601100,597200,602300,615100,628900,636200,639000,639800,641600,640800,637600,635400,640000,650200,660100,664400,666200,668600,667200,658600,647800,644200,646500
32059,"Hollywood","Los Angeles","CA","Los Angeles-Long Beach-Anaheim","Los Angeles County",8,289300,293300,297100,300800,304400,307800,311400,315100,319500,324200,328500,331900,335300,338500,341600,344200,346500,348700,351000,353300,356100,359500,362300,364200,366000,367800,369400,370900,372300,373800,375800,378300,381800,386200,390600,394600,399000,403700,408700,413800,419100,424600,430800,437600,445400,454000,462300,469900,477400,484500,491300,497500,503100,508400,514000,519700,525900,532600,539100,544800,550300,555500,560500,565200,569500,574100,579800,586400,594200,602900,612300,621600,631000,640200,649300,658100,666400,675000,683900,697700,716500,734300,747700,759000,766900,772100,777300,784900,795900,809400,822600,832600,839600,847000,858200,874300,896200,922900,952600,983700,1014600,1044100,1071200,1094000,1113400,1131800,1150800,1170800,1193100,1217600,1243300,1268000,1290300,1310600,1328700,1342500,1351200,1355600,1356700,1356100,1355600,1355900,1356600,1356600,1356100,1356500,1356300,1353800,1351000,1349600,1349300,1347700,1343000,1335100,1324400,1309700,1294200,1281600,1271700,1263500,1258800,1257800,1259300,1258600,1253800,1246200,1237500,1226600,1217000,1211000,1206500,1200200,1193800,1188500,1184600,1177900,1169300,1160000,1156700,1160800,1171700,1183900,1194000,1197800,1198800,1199800,1201500,1199400,1204900,1215600,1221400,1218300,1215400,1204000,1197600,1200100,1194700,1185000,1181400,1185500,1183100,1177700,1182700,1200500,1205200,1193700,1181700,1176300,1191400,1218100,1218200,1195000,1178100,1185800,1186200,1173300,1174200,1210900,1232900,1232700,1234300,1247900,1267600,1287900,1308100,1323700,1326400,1318500,1315400,1308600,1297500,1289100,1289400,1290800,1298800,1328300,1360000,1361500,1356300,1376900,1394300,1385700,1392700,1440600,1473200,1447500,1433100,1465800,1513500,1541100,1571100,1596500,1584900,1557600,1567900,1597100,1614400,1640900,1670200,1672300,1655900,1666800,1688300,1705700,1727700,1782700,1820900,1824700,1810600,1822300,1838600,1861300,1895700,1918200,1917600,1908100,1921700,1954400,1978000,1975500,1964600,1968100,1985300,1992200,1967200,1952000,1989300,2045300,2072200,2056200,2035300,2025800,2040900,2053000,2050400,2008400,1955200,1910300,1874500,1848800,1859000,1882800
275473,"Southeast Dallas","Dallas","TX","Dallas-Fort Worth-Arlington","Dallas County",9,78700,78800,78900,79000,79200,79400,79600,79700,79800,79900,80000,80100,80200,80400,80600,81000,81300,81700,82100,82400,82700,83000,83300,83600,83900,84200,84600,85100,85700,86300,86800,87400,87900,88300,88700,89100,89400,89900,90400,91000,91600,92200,92800,93200,93500,93800,94000,94100,94300,94500,94800,95100,95500,95900,96300,96600,96800,96800,96900,96900,96900,97000,97300,97600,98000,98500,98900,99100,99300,99400,99400,99400,99500,99700,100100,100600,101300,102100,102700,103500,104500,105600,106600,107700,108900,109900,110700,111200,111400,111300,111000,110800,110900,111400,112500,113800,114900,115700,116100,116200,116200,116300,117000,118500,120400,122100,123200,123900,124100,123700,123000,122300,122000,122100,122500,122800,123000,123300,123700,124500,125600,127000,128600,130300,131600,132100,132200,131900,131300,130700,130400,130700,131400,132500,133600,134400,134700,134300,133600,132600,131300,129800,128000,126200,124100,121800,119300,117600,116800,116300,115800,115400,115000,114600,114200,113800,113500,113100,112300,111400,110600,109900,109800,110100,110500,110900,111500,111200,110700,110700,110500,108200,106600,107000,107500,106400,105100,103700,102400,101600,100800,100200,101000,103100,104200,103800,103200,102900,102700,102800,102900,102500,101900,101100,101100,100900,100500,100600,101300,102200,103800,105600,105600,105600,104300,103100,102300,102600,102000,100600,99000,98300,98200,98000,97900,98000,100300,102700,103700,105200,108900,111900,113400,114600,115100,115300,116700,119100,120600,121600,122200,122300,122200,122500,123300,124400,124600,124300,124200,124800,126600,128500,129800,131300,133400,135400,137200,139100,140200,141400,143100,144900,147000,150400,153000,154400,155600,157100,158600,159700,160000,161200,164800,169600,172600,174100,176300,178900,181200,183800,187100,191500,197700,204400,208600,209000,207700,206800,207100,205900,203400,202100
275237,"Roosevelt","Fresno","CA","Fresno","Fresno County",10,126000,125800,125500,125300,125000,124800,124700,124600,124500,124600,124600,124400,124100,123800,123400,123100,122900,122700,122600,122500,122700,122900,123100,123200,123200,123300,123400,123500,123700,124000,124400,125000,125600,126400,127300,127900,128500,129100,129700,130300,131000,131800,132600,133500,134600,135700,136800,137600,138400,139100,139800,140500,141300,142200,143300,144400,145700,147100,148500,149700,150900,151900,153000,154200,155400,156800,158400,160100,161900,163900,165900,167700,169200,170600,172000,173500,175100,176900,178800,181400,184600,187400,189900,192700,195700,198400,200500,201900,203100,204500,206500,208600,210800,213200,216100,220000,225300,232000,240600,250900,261900,272700,282600,291200,298800,305800,312500,319000,325200,330700,335600,340000,344100,348100,352100,355500,358500,361600,365000,368600,372100,375000,376300,375300,372200,367800,363000,358400,354300,351000,347800,343500,338100,332300,326600,321100,315700,309800,303100,295500,286800,278600,271500,265200,259800,255200,250900,247000,243800,241100,238800,236500,233900,231600,229600,227300,224600,221600,218400,215800,214300,214000,214800,215800,217900,219500,219300,218600,218400,217000,215500,215000,214100,211700,208700,206600,205100,202900,200200,196200,191300,188300,187700,186800,185100,183800,182800,182000,181900,182200,182900,184100,185600,187500,189600,190600,191300,193500,196300,197800,198700,200400,202600,204900,207600,209900,211700,214400,217800,220300,222400,224900,226500,228400,231000,235000,239000,242100,242600,243300,244200,244100,243900,245200,247000,247500,247700,248200,250000,252000,253400,254900,256600,258200,259700,261100,262400,263200,263600,264700,267400,269900,271200,271800,272800,274600,276100,277600,278900,280600,282700,284600,285400,286300,287600,289000,290500,292000,292600,292400,293000,295700,298500,299000,298800,299300,300400,301300,301700,301600,303000,305500,306900,307500,309700,312200,312100,311200,312200,313100,313500,314600
