"RegionID","RegionName","SizeRank","1996-04","1996-05","1996-06","1996-07","1996-08","1996-09","1996-10","1996-11","1996-12","1997-01","1997-02","1997-03","1997-04","1997-05","1997-06","1997-07","1997-08","1997-09","1997-10","1997-11","1997-12","1998-01","1998-02","1998-03","1998-04","1998-05","1998-06","1998-07","1998-08","1998-09","1998-10","1998-11","1998-12","1999-01","1999-02","1999-03","1999-04","1999-05","1999-06","1999-07","1999-08","1999-09","1999-10","1999-11","1999-12","2000-01","2000-02","2000-03","2000-04","2000-05","2000-06","2000-07","2000-08","2000-09","2000-10","2000-11","2000-12","2001-01","2001-02","2001-03","2001-04","2001-05","2001-06","2001-07","2001-08","2001-09","2001-10","2001-11","2001-12","2002-01","2002-02","2002-03","2002-04","2002-05","2002-06","2002-07","2002-08","2002-09","2002-10","2002-11","2002-12","2003-01","2003-02","2003-03","2003-04","2003-05","2003-06","2003-07","2003-08","2003-09","2003-10","2003-11","2003-12","2004-01","2004-02","2004-03","2004-04","2004-05","2004-06","2004-07","2004-08","2004-09","2004-10","2004-11","2004-12","2005-01","2005-02","2005-03","2005-04","2005-05","2005-06","2005-07","2005-08","2005-09","2005-10","2005-11","2005-12","2006-01","2006-02","2006-03","2006-04","2006-05","2006-06","2006-07","2006-08","2006-09","2006-10","2006-11","2006-12","2007-01","2007-02","2007-03","2007-04","2007-05","2007-06","2007-07","2007-08","2007-09","2007-10","2007-11","2007-12","2008-01","2008-02","2008-03","2008-04","2008-05","2008-06","2008-07","2008-08","2008-09","2008-10","2008-11","2008-12","2009-01","2009-02","2009-03","2009-04","2009-05","2009-06","2009-07","2009-08","2009-09","2009-10","2009-11","2009-12","2010-01","2010-02","2010-03","2010-04","2010-05","2010-06","2010-07","2010-08","2010-09","2010-10","2010-11","2010-12","2011-01","2011-02","2011-03","2011-04","2011-05","2011-06","2011-07","2011-08","2011-09","2011-10","2011-11","2011-12","2012-01","2012-02","2012-03","2012-04","2012-05","2012-06","2012-07","2012-08","2012-09","2012-10","2012-11","2012-12","2013-01","2013-02","2013-03","2013-04","2013-05","2013-06","2013-07","2013-08","2013-09","2013-10","2013-11","2013-12","2014-01","2014-02","2014-03","2014-04","2014-05","2014-06","2014-07","2014-08","2014-09","2014-10","2014-11","2014-12","2015-01","2015-02","2015-03","2015-04","2015-05","2015-06","2015-07","2015-08","2015-09","2015-10","2015-11","2015-12","2016-01","2016-02","2016-03","2016-04","2016-05","2016-06","2016-07","2016-08","2016-09","2016-10","2016-11","2016-12","2017-01","2017-02","2017-03","2017-04","2017-05","2017-06","2017-07","2017-08","2017-09","2017-10","2017-11","2017-12","2018-01","2018-02","2018-03","2018-04","2018-05","2018-06","2018-07","2018-08","2018-09","2018-10","2018-11","2018-12","2019-01","2019-02","2019-03","2019-04","2019-05","2019-06","2019-07","2019-08","2019-09"
9,"California",1,267300,266900,266700,266700,266900,267400,268100,269000,270100,271400,272600,273600,274600,275900,277400,278900,280600,282400,284200,286100,288300,290500,292500,294300,296300,298400,300500,302700,305000,307400,309800,312300,315200,318200,321200,324100,327200,330200,333300,336300,339400,342700,346300,350200,354700,359500,364300,368800,373100,377300,381300,385200,388900,392700,396600,400600,404700,408800,412800,416500,420000,423200,426300,429300,432300,435300,438400,441500,444700,448200,451800,455500,459300,463400,467700,472300,477100,482100,487400,492900,498400,503900,509500,515300,521500,528000,535100,542600,550500,558700,567400,576500,586200,596400,607100,618700,631400,644700,658400,671800,684400,696100,707100,717100,726900,736500,745800,755100,764400,772900,780900,788100,794200,799500,804000,807500,810500,813200,815400,817200,818200,818400,817700,815600,812400,808800,805200,801600,798200,795000,791000,786200,780500,774400,767900,760700,752400,743900,735000,725500,715400,704900,693500,681300,668600,656600,645700,636500,629000,622900,617200,611900,607000,602700,597600,591500,584400,577000,571000,568000,567200,567600,568800,570300,571600,573100,574300,573900,573800,574700,573900,570900,568100,565100,561600,557600,553600,549000,545000,542200,539800,537300,535200,533100,531000,528400,526400,525500,524700,523400,524000,527000,531000,535500,540200,545600,550600,555200,560500,566800,573300,579500,586200,595100,605700,616200,626700,636000,643500,649700,654300,657400,661000,664800,668600,672300,675600,677800,679700,681500,683300,685600,688400,691200,694000,697600,702100,706300,710400,714500,718400,721200,724100,728100,731600,734800,738500,742800,745500,747700,750100,752500,754200,757100,760900,764700,768500,772200,775900,780600,785400,789300,792300,795000,798200,801500,804600,807800,811600,815300,818800,825100,832700,836900,837900,840000,842500,844800,847000,848800,850100,851600,852800,853800,854700,853600,850900,848900,847700,846700,846900,848500
54,"Texas",2,261900,261100,260400,259700,259300,259000,258600,258100,257100,255700,254100,252800,252300,252600,253700,255300,257200,259400,261800,264400,267300,270000,272100,273100,273200,272500,271400,270300,269800,270400,272200,275600,280800,286700,292400,297200,300800,302900,303800,303800,303400,302900,302800,303500,305000,307300,310000,312300,313600,313500,312200,310100,307800,305400,303200,301200,299600,298400,297600,297000,296700,296700,296800,296700,296200,295200,293600,291700,289600,287500,285700,284400,283800,284200,285100,286500,287700,288700,289300,289300,288700,287900,287000,286200,285600,285300,285200,285300,285400,285700,285900,286200,286600,287300,288500,290100,292200,294400,296500,298700,300900,303100,305200,307200,309100,310700,312100,313400,314500,315600,316700,317900,319100,320200,321400,322800,324300,326000,327600,329100,330400,331500,332600,333700,335000,336300,337800,339200,340400,341500,342200,342600,342800,342900,343000,343000,343100,343400,343800,344200,344500,344300,343500,342300,340500,338600,336800,335300,334100,333000,331800,330400,328700,326900,325000,323300,321700,320500,319300,318200,317200,316300,315500,314800,314600,314200,313500,313100,313300,313100,312600,312200,311800,311400,310700,309900,308800,308300,308300,308200,307800,307800,308100,308300,308400,308600,308900,309300,309900,310600,311600,312300,312900,313600,314000,314300,314900,315300,315800,316500,317100,317700,318300,319300,320700,322400,324400,327200,330000,332600,335300,338100,340700,343300,345800,348400,351000,353500,356800,360100,362800,364900,367100,369300,371800,373600,374900,376600,379100,381300,383300,385400,387600,389500,390900,392000,392900,393900,395300,397000,398900,400800,402600,403800,404700,405600,406800,407800,408500,409300,410300,411700,413400,414600,415500,416500,417900,419600,421000,421600,421700,422800,425000,426600,427200,428900,430900,431900,431600,431100,431500,433200,435500,437900,439500,439400,438700,437900,436400,434500,434600,436200
43,"New York",3,142700,142800,142800,142800,142700,142700,142700,142800,142900,143200,143400,143500,143600,143600,143600,143600,143700,143900,144200,144600,145000,145500,145900,146200,146500,146700,147100,147600,148200,148800,149600,150400,151200,152200,153000,153800,154700,155700,156900,158200,159400,160500,161600,162600,163700,165000,166400,167800,169300,170600,171900,173000,174000,175000,176200,177400,178900,180500,182000,183500,184900,186300,187800,189200,190700,192300,194000,195900,198000,200200,202400,204800,207300,209900,212700,215700,218700,221700,224800,227900,231000,233900,236600,239100,241700,244100,246400,248500,250300,251900,253400,254600,255900,257500,259500,261800,264500,267200,270200,273300,276500,279600,282700,285500,288200,290900,293200,295400,297500,299500,301400,303400,305400,307400,309500,311600,313700,315500,317000,318400,319700,320700,321600,322300,323000,323700,324500,325300,326200,327100,327800,328500,329000,329300,329300,329200,328700,328100,327100,325900,324400,322800,321100,319600,317900,316200,314300,312300,310000,307700,305400,303300,301300,299500,297900,296300,294700,292700,290800,289500,288900,288700,288800,288900,288900,289000,289700,289600,288600,287800,287300,286600,285400,284000,282900,281900,280800,279200,277300,275400,274200,273700,273500,273000,272000,271200,270300,269300,268700,268200,267400,266800,266700,266500,265900,265500,265400,265800,265900,266100,266600,267100,267400,268200,269400,270500,271700,272800,273700,274300,274800,275500,275800,276000,276700,277500,277900,277800,277600,277700,278000,278600,279400,279800,280000,280600,281200,281300,281600,282100,282800,283400,284400,285500,286400,286800,286900,286700,286700,287100,288100,288900,289800,291000,292000,292600,293300,294400,295900,297300,298600,300100,301700,303300,305100,307200,309000,310300,311500,312900,314700,317100,319300,320800,321800,322900,324000,325100,326300,327500,328900,330700,332600,334500,336500,338200,339200,339700,340100,340400,340900,341100
14,"Florida",4,199700,200300,201200,202200,203300,204300,205100,205500,205700,205700,205500,205100,204900,205000,205300,206000,206700,207700,208700,209800,210900,212100,213100,213900,214700,215400,216100,216800,217600,218600,219600,220700,222100,223500,224700,225900,227200,228600,230100,231600,233100,234600,236100,237600,239300,241000,242700,244200,245600,246900,248200,249500,250900,252500,254400,256500,258900,261500,264000,266300,268500,270600,272500,274300,276100,277900,279700,281500,283400,285400,287300,289100,290800,292400,294300,296300,298500,301000,303700,306700,309600,312500,315300,318300,321200,324000,326800,329600,332300,335100,338100,341200,344600,348100,351700,355600,360000,364900,370600,376800,383300,390100,397100,404000,411100,418500,426100,434600,444000,453600,463100,472400,481200,489200,496700,503800,510900,517900,524500,531200,538000,543900,548500,551900,554000,555000,555200,554600,553900,553000,551700,550300,549100,547000,543500,539000,533500,527500,521000,514000,506800,499200,490700,482300,474400,466400,458200,450200,442500,435100,428000,420900,414300,408000,401200,394300,387700,380600,373700,368700,365500,363300,361900,361100,359500,358700,360200,358600,353200,349600,348100,345300,341900,338400,335400,332800,330300,327600,324900,323500,323000,322400,322000,322400,323100,324000,325100,325800,326200,326500,326100,326400,327700,329000,329600,330200,331000,331400,331600,332200,333800,335500,337500,339900,342500,345100,348000,350800,353500,356100,358500,360800,363100,364900,366800,369200,371500,373600,375600,377600,379300,380800,381800,382500,383400,384200,385000,386600,389000,391500,393600,395600,397600,399500,401400,403300,405200,407100,409000,411300,413900,416200,418100,420200,422300,424600,427700,431300,434300,436500,437700,438900,440800,442400,443100,443800,444900,446100,446900,447400,448200,450700,454300,457000,458900,460900,462900,464200,464900,466100,468100,469900,471800,474500,476800,477500,477300,476800,476600,476600,477200,477700
21,"Illinois",5,260700,261900,262700,263100,263000,262500,261600,260300,259200,258400,257200,255700,254200,252700,251000,248900,246600,244500,243000,242300,242800,244400,246300,248400,251100,254300,258100,262300,266700,271100,275200,278600,281400,283700,285000,285500,286000,286500,287300,288400,289900,291700,293900,296500,299700,303500,307100,310400,313800,317100,320400,323500,326600,329500,332400,335100,337800,340400,342500,344100,345400,346600,347600,348800,350100,351600,353300,355000,357000,359100,361300,363700,366100,368600,371100,373600,376100,378500,380800,383100,385400,387600,389800,392100,394400,396400,398100,399700,401400,403300,405300,407600,410100,412900,415700,418600,421700,425100,428900,433100,437300,441500,445500,449200,452700,455900,459000,462300,465900,469700,473700,477800,481800,485600,489400,492900,496200,499300,502000,504600,507300,509300,510900,512300,513700,515100,516700,518100,519700,521200,522200,522900,523300,523000,522100,521200,520200,519200,518000,516300,513800,510800,507200,504000,501300,498200,494400,490100,485400,481000,477400,473600,469800,466200,462300,457900,453100,447400,441700,437100,433800,431400,429800,428900,427500,427100,429000,427800,422500,419100,417600,414500,411100,407600,403500,400500,398400,397300,396100,394200,391800,389700,387000,384600,383100,381900,380200,378300,377500,375500,372100,370800,372600,374400,376400,378500,379900,380500,381100,381400,381600,381700,381900,383500,386500,389500,393200,397900,401400,403500,405200,405800,405500,405500,406300,407400,409000,411100,413300,414800,416000,416300,415900,415900,416000,415800,415500,416600,417900,418200,418200,418500,418700,419500,420900,422000,422600,423000,423500,423900,424500,425600,426000,425400,425200,425700,426800,428400,429700,430000,429800,429800,430300,431400,432300,433300,435100,437300,439200,440200,440200,441400,443800,444900,444400,444100,444100,444300,444300,443900,443400,443400,444300,446100,448800,451200,452000,450400,447300,444100,441800,441100
47,"Pennsylvania",6,145500,145500,145700,145900,146300,146700,147400,148000,148700,149400,150000,150400,150700,150900,151100,151200,151400,151500,151700,151800,151800,151800,151900,151900,151900,152000,152200,152400,152700,153000,153400,153900,154600,155400,156400,157300,158100,158900,159500,159900,160100,160100,160100,160300,160600,161300,162200,163200,164400,165500,166700,167900,169100,170300,171500,172600,173700,174900,176100,177200,178100,179000,179800,180700,181600,182700,183800,185000,186300,187600,188900,190200,191500,192800,194200,195700,197400,199300,201300,203500,205700,207500,208900,210400,212100,214200,216500,219200,221900,224500,227000,229400,231500,233600,235800,238100,240500,242800,245000,247100,249300,251500,253800,256100,258600,261400,264300,267400,270400,273300,276100,278700,281100,283400,285800,288000,290000,291600,293000,294400,295600,296900,298200,299400,300400,301300,302000,302600,303100,303600,304000,304400,304600,304700,304800,305000,305000,304900,304500,303900,303100,302200,301300,300300,299100,297800,296400,295100,294000,293000,292200,291300,290500,289800,289300,288700,287900,286800,285500,284300,283200,282300,281600,281000,280600,280600,280800,280600,280500,280500,280300,279400,278300,277100,275800,274600,273600,272800,271900,271100,270400,269600,268900,268300,267500,266500,266100,265900,265600,265100,264500,264300,264200,263800,263400,263500,263700,264000,264200,265000,265600,265800,265800,266000,266200,267000,267700,268300,269100,270100,270200,270200,270600,271300,271600,271900,272600,273400,274000,274600,275400,276200,277000,277700,278200,278300,278700,279200,279700,280400,281700,282900,284000,284900,285800,286300,286600,287300,288300,288900,289300,290000,290900,291900,292900,294000,295400,296800,298100,299300,300600,301900,303700,305400,307000,308600,310100,311300,312000,312400,313200,315100,317400,319400,321000,322400,323400,324500,325100,325400,326300,327900,329000,329700,330600,331500,331700,331300,331400,331600,332000,332500
44,"Ohio",7,144000,144200,144500,144800,145100,145500,145900,146300,146700,147100,147700,148300,149100,150100,151100,152200,153300,154300,155200,155900,156400,156800,157100,157300,157400,157700,158100,158600,159200,160000,160800,161400,161900,162300,162500,162800,163100,163500,164000,164600,165300,166000,166800,167700,168600,169500,170500,171500,172300,173100,173700,174400,175000,175600,176300,177200,178100,179100,180200,181300,182400,183200,183800,184300,184700,184900,185100,185400,185700,186200,186700,187400,188200,188900,189500,190100,190600,191200,191800,192600,193600,194600,195500,196300,196900,197400,197900,198500,199300,200400,201500,202600,203600,204400,204900,205400,205900,206700,207600,208600,209500,210300,211100,211800,212400,212900,213200,213300,213500,213800,214300,214900,215500,216100,216700,217200,217500,217700,217900,218300,218800,219300,219700,219800,219800,219500,219300,219100,219000,219100,219100,219000,218900,218400,217700,216900,216200,215400,214500,213500,212600,211700,210900,210200,209500,208700,207800,206900,206000,205100,204300,203600,202900,202400,201800,201400,200900,200300,199400,198600,197900,197300,197000,196900,196700,196700,197200,197000,196400,196600,197100,197000,196700,196400,196000,195100,194000,193300,192300,191400,190600,189800,189000,188500,188500,188700,188800,189000,189400,189700,190300,191400,192100,192500,193100,193900,194200,194500,194900,195500,196100,196700,196800,196900,197600,198600,199500,200700,201700,202500,203200,204000,204800,205300,205700,206400,207300,208000,208700,209100,209400,209700,210200,210800,211500,212200,212800,213600,214300,215000,215700,217100,218600,219700,220600,221100,221700,222700,223700,224500,225400,226600,227800,228700,229600,230500,231500,232300,232900,233700,235100,236900,238500,239900,241000,241900,242700,243700,245000,246200,247000,247800,249200,250500,251900,253600,255100,256200,257500,259100,261100,263200,265200,267000,268200,268400,267700,266900,266700,266900,267200,267500
30,"Michigan",8,153900,155200,156500,157700,158900,160100,161400,162600,163900,165400,166800,168000,169200,170300,171400,172300,173200,174000,174700,175200,175800,176500,177200,177900,178900,179900,181000,182100,183300,184300,185500,186800,188300,190100,191800,193400,195200,197000,198900,200800,202700,204500,206200,207900,209700,211800,213900,216100,218400,220700,223000,225100,226900,228400,229600,230400,230900,231100,231000,230500,229800,228900,228100,227200,226600,226200,226300,226800,227800,229100,230900,232800,234700,236300,237800,239000,240000,241000,241800,242700,243300,243000,242000,240800,239900,239400,239300,239600,240200,241100,242200,243200,244200,245200,246200,247200,248200,249100,250100,251200,252400,253700,255100,256700,258500,260400,262200,263800,265400,266800,267900,268900,269600,270100,270500,270700,270800,271000,271200,271500,271900,272000,272000,271800,271400,270600,269500,268200,266900,265700,264500,263500,262500,261400,260000,258400,256600,254700,252800,250900,249000,247100,245000,243100,241300,239400,237200,235000,232700,230400,228400,226400,224600,222900,221300,219700,218100,216200,214300,212800,211500,210500,209700,209300,208500,208100,208900,208700,206500,205000,204900,204600,204400,204300,204100,203700,203200,202400,201600,201200,201300,201300,200700,200000,199700,200500,201200,201800,202300,202900,203000,203300,204700,206700,208100,209400,210900,212100,213500,215300,217100,218700,220000,221700,223900,225700,227400,229700,232500,234600,236000,237300,238900,240800,242500,244000,245500,247200,249300,251600,253200,253900,254700,256000,257500,258900,260200,261400,262600,263700,265000,266400,267700,269100,270700,272100,273500,274500,275600,277000,278500,279700,281400,283400,284700,285700,286700,287700,288700,290000,291600,293700,295700,297500,299100,300100,300700,301800,303400,304900,305800,307100,309900,312400,313900,315900,318100,320500,322800,324300,325300,326400,327800,329800,331700,333000,334200,334600,333400,331400,330400,330600
16,"Georgia",9,205000,206200,207400,208500,209600,210500,211300,212000,212800,213600,214200,214500,214800,215100,215600,216100,216700,217200,217700,218000,218300,218900,219600,220400,221600,223000,224600,226200,227800,229400,231100,232800,234800,236700,238400,239800,241200,242500,244100,245800,247600,249500,251600,253700,256100,258600,260900,262900,264600,266100,267500,268800,270100,271400,272800,274300,275800,277400,278700,279800,280800,281700,282600,283700,284800,286100,287400,288800,290400,292200,294300,296300,298200,299700,300800,301600,302000,302300,302700,303500,304600,305900,307300,308400,309300,309700,310000,310300,310800,311500,312400,313000,313200,312900,312400,312300,312900,314200,316300,318900,321800,324500,327200,329600,331800,334000,336100,338300,340900,343600,346400,349200,352000,354700,357300,359700,361900,364100,366100,368300,370800,373400,375800,378100,380300,382400,384300,385900,387600,389200,390300,391500,392600,393000,392900,392500,392000,391400,390400,389000,387600,386000,384000,382200,380600,378200,375000,371300,367200,363300,359600,355900,352500,349500,346400,343300,340200,336400,332300,329200,327200,325600,324000,322700,321000,320200,321200,319700,315500,313300,313100,311600,309600,307000,304500,302600,300800,298500,295700,293500,292200,290600,288600,287100,285600,283800,282400,281300,280800,280600,279800,279500,279900,281000,282100,283500,285100,287400,289600,291600,293200,294300,295900,298100,300100,301800,303900,305900,307800,309900,311800,313600,315500,317200,318900,321200,323800,326300,328700,330800,332200,333300,334300,335600,336900,337500,338000,339000,340800,342400,343300,343900,345000,345800,346600,347200,347700,348400,349800,351500,353600,355800,358000,360300,362800,364900,366600,368000,369900,371900,373600,375100,376800,378100,378700,379300,380200,381100,381900,382900,384500,387100,390500,393000,394700,396300,397500,398000,397900,399000,401900,404600,406400,408200,409900,410800,411000,410500,409900,410200,411400,412400
36,"North Carolina",10,216300,218200,219300,219800,219900,219600,219600,220000,221400,223800,226600,229000,231000,232200,232500,232000,230700,228700,226100,222800,219100,215700,212900,210500,208800,207600,206800,206500,206900,208100,209800,211700,213700,215800,217500,219200,221200,223600,226300,228800,231000,232500,233400,233500,233100,232300,231000,229300,227700,227000,227600,229500,232400,236000,239800,243300,246600,249800,252600,254500,255600,255900,255600,255200,254700,254500,254600,254900,255700,257100,259300,261700,263700,265300,266400,267100,267800,268700,269500,271100,272700,273300,272900,272900,273500,274900,276700,278700,280600,282300,283900,285200,285900,286200,286200,286300,287000,288300,289900,291600,293300,295100,297200,299200,301200,303200,305200,307000,309100,311400,314400,317900,321900,325900,329700,333200,336800,340400,344100,347900,351800,355300,358400,361400,364300,367100,369700,372000,374100,375900,377200,378500,380000,381400,382900,384700,386200,387200,387600,387600,387800,388000,388000,388100,388000,387100,385400,383300,380800,378200,375800,373800,372500,371800,371500,371500,371400,370200,367900,365000,362000,359200,356700,354900,353200,352700,354100,354100,351500,349500,348500,346800,345000,343200,341500,339600,337500,335200,332500,330000,328800,328000,327200,326400,325700,325100,324900,324800,324900,325300,325500,325200,325000,324800,324700,324600,324600,324700,325400,326300,326800,326900,327300,328600,330100,331400,332900,335000,337200,339300,340800,342300,344100,345300,345500,346000,347400,348900,350300,351300,352200,353100,353700,354500,355800,357100,358200,359500,360600,361900,363200,364300,365100,365800,366500,367200,367900,368800,370100,372100,374400,376100,377200,378800,380600,382100,383200,384300,385200,386500,388200,390100,391600,392800,393700,394300,394800,395400,395900,396500,397500,399400,401800,403500,404400,405100,406000,407100,408300,410400,413300,416000,417900,419700,421000,421900,422800,423100,423100,423400,424100,424400
