"RegionID","RegionName","State","Metro","StateCodeFIPS","MunicipalCodeFIPS","SizeRank","1996-04","1996-05","1996-06","1996-07","1996-08","1996-09","1996-10","1996-11","1996-12","1997-01","1997-02","1997-03","1997-04","1997-05","1997-06","1997-07","1997-08","1997-09","1997-10","1997-11","1997-12","1998-01","1998-02","1998-03","1998-04","1998-05","1998-06","1998-07","1998-08","1998-09","1998-10","1998-11","1998-12","1999-01","1999-02","1999-03","1999-04","1999-05","1999-06","1999-07","1999-08","1999-09","1999-10","1999-11","1999-12","2000-01","2000-02","2000-03","2000-04","2000-05","2000-06","2000-07","2000-08","2000-09","2000-10","2000-11","2000-12","2001-01","2001-02","2001-03","2001-04","2001-05","2001-06","2001-07","2001-08","2001-09","2001-10","2001-11","2001-12","2002-01","2002-02","2002-03","2002-04","2002-05","2002-06","2002-07","2002-08","2002-09","2002-10","2002-11","2002-12","2003-01","2003-02","2003-03","2003-04","2003-05","2003-06","2003-07","2003-08","2003-09","2003-10","2003-11","2003-12","2004-01","2004-02","2004-03","2004-04","2004-05","2004-06","2004-07","2004-08","2004-09","2004-10","2004-11","2004-12","2005-01","2005-02","2005-03","2005-04","2005-05","2005-06","2005-07","2005-08","2005-09","2005-10","2005-11","2005-12","2006-01","2006-02","2006-03","2006-04","2006-05","2006-06","2006-07","2006-08","2006-09","2006-10","2006-11","2006-12","2007-01","2007-02","2007-03","2007-04","2007-05","2007-06","2007-07","2007-08","2007-09","2007-10","2007-11","2007-12","2008-01","2008-02","2008-03","2008-04","2008-05","2008-06","2008-07","2008-08","2008-09","2008-10","2008-11","2008-12","2009-01","2009-02","2009-03","2009-04","2009-05","2009-06","2009-07","2009-08","2009-09","2009-10","2009-11","2009-12","2010-01","2010-02","2010-03","2010-04","2010-05","2010-06","2010-07","2010-08","2010-09","2010-10","2010-11","2010-12","2011-01","2011-02","2011-03","2011-04","2011-05","2011-06","2011-07","2011-08","2011-09","2011-10","2011-11","2011-12","2012-01","2012-02","2012-03","2012-04","2012-05","2012-06","2012-07","2012-08","2012-09","2012-10","2012-11","2012-12","2013-01","2013-02","2013-03","2013-04","2013-05","2013-06","2013-07","2013-08","2013-09","2013-10","2013-11","2013-12","2014-01","2014-02","2014-03","2014-04","2014-05","2014-06","2014-07","2014-08","2014-09","2014-10","2014-11","2014-12","2015-01","2015-02","2015-03","2015-04","2015-05","2015-06","2015-07","2015-08","2015-09","2015-10","2015-11","2015-12","2016-01","2016-02","2016-03","2016-04","2016-05","2016-06","2016-07","2016-08","2016-09","2016-10","2016-11","2016-12","2017-01","2017-02","2017-03","2017-04","2017-05","2017-06","2017-07","2017-08","2017-09","2017-10","2017-11","2017-12","2018-01","2018-02","2018-03","2018-04","2018-05","2018-06","2018-07","2018-08","2018-09","2018-10","2018-11","2018-12","2019-01","2019-02","2019-03","2019-04","2019-05","2019-06","2019-07","2019-08","2019-09"
3101,"Los Angeles County","CA","Los Angeles-Long Beach-Anaheim","06","037",1,205900,205700,205400,205100,204900,204700,204700,204800,205300,206000,206600,207000,207500,208000,208600,209200,210000,211100,212400,214100,216400,218800,221100,222900,224500,226000,227200,228300,229600,230900,232400,234100,236200,238600,240900,242900,244800,246700,248500,250200,251700,253200,254700,256400,258400,260600,262800,264700,266700,268800,270900,273000,275000,276900,278800,280800,283000,285300,287700,290000,292400,294800,297200,299600,302000,304500,307200,310100,313300,316900,320800,324800,329100,333700,338800,344200,349800,355700,361900,368100,374200,379700,384800,390000,395300,400900,406900,413400,420400,427600,435100,443000,451400,460300,469800,480300,491700,503600,515600,527200,538100,548200,557200,565200,572500,579700,586800,594100,601700,609300,617400,625800,634000,642100,649700,656500,662400,667500,672000,676300,680000,683000,684800,684900,682800,679600,676100,672400,669100,666300,663200,659600,655500,650700,645600,639700,632600,625100,617500,610000,602500,594900,586200,576000,564300,552200,540900,532100,525900,521200,516400,512000,508100,504700,500900,496300,490800,484800,480300,479200,480000,481600,483700,485900,487800,489500,490400,489600,489800,491800,491700,488000,485300,482700,480500,478300,475800,472200,469300,467200,464600,461500,459700,457600,453900,450400,447900,445500,442900,440800,439900,440700,443600,447600,450700,453600,456300,459200,462500,467300,472800,477800,484100,493400,503200,512200,520600,528500,535400,540500,543700,546300,548500,550400,552700,556000,559300,562500,566200,570200,572400,573700,575100,576600,579400,583800,588100,591300,594200,596700,598700,600700,603000,606100,609900,613600,617200,620800,623500,625700,627500,628900,630800,634500,639100,644200,647800,651300,655200,659300,662600,665200,667400,669800,672500,675500,679500,683900,687900,691400,694500,699200,704800,707700,707700,707500,707300,707500,708500,710200,712900,714900,716300,718600,720000,718700,717000,717500,717900,718000,719200,721900
139,"Cook County","IL","Chicago-Naperville-Elgin","17","031",2,206600,207800,208500,208600,207900,206500,204600,202300,200100,198300,196100,193700,191500,189500,187700,185800,184100,182800,182200,182500,184300,187100,190200,193300,196800,200400,204100,208000,211900,215700,219000,221500,223500,225100,225500,225100,224500,224100,224100,224500,225500,226900,228700,230900,233700,237100,240200,242900,245600,248200,250700,253000,255200,257300,259300,260900,262600,264200,265600,266700,267800,269000,270300,271800,273400,275100,276900,278700,280700,282700,284800,286900,289000,291000,293000,294900,296700,298500,300200,301900,303600,305300,307000,308700,310400,312000,313600,315300,317200,319200,321400,323600,326000,328400,330900,333400,336200,339100,342100,345200,348300,351400,354500,357600,360600,363500,366100,368800,371700,374900,378200,381700,385100,388500,391700,394700,397300,399600,401600,403400,405100,406700,407800,408600,409000,409200,409200,409100,409000,409200,409100,408600,407800,406700,405100,403500,401900,400600,399500,398100,396000,393800,391100,388000,384700,381200,377100,372500,367700,363300,359700,356100,352200,348700,345000,340500,335300,329900,324600,320700,318000,315900,314900,314500,314500,313300,313400,313500,311900,309500,308300,305500,302100,298700,294600,291100,288400,286900,286200,284700,282400,280500,278600,277700,277500,276600,274900,272900,272000,270300,267200,265500,266400,267500,268300,269400,270500,271500,272400,273000,273300,274200,275500,277600,280300,283700,287500,291600,294700,297200,299100,300300,301000,302100,302800,303500,305100,307600,309600,311200,312700,313800,314300,314800,315300,315200,314800,315300,316400,317300,318000,318400,318100,318100,319200,320200,320700,321400,322900,324200,325100,325700,326400,327400,328900,330000,331100,332300,333300,333500,333700,334000,334700,335600,336100,336300,337000,338000,339300,340700,341600,343500,346000,347300,347300,347700,347400,346500,345800,345700,345700,346500,347100,348100,350200,352100,351600,349600,347900,346200,344500,344200
1090,"Harris County","TX","Houston-The Woodlands-Sugar Land","48","201",3,138500,138300,138100,138000,137900,138000,138000,138100,138200,138100,138100,138200,138300,138500,138800,139000,139100,139200,139100,139100,138900,138800,138800,139000,139200,139500,139900,140300,140800,141500,142300,143500,145000,146500,148000,149200,150100,150700,151200,151600,151900,152400,153000,153900,155200,157000,158900,160600,161500,161600,161100,160300,159400,158600,157800,156900,155700,154300,152800,151500,150400,149800,149400,149300,149200,149200,149300,149300,149300,149200,149100,149100,149300,149800,150500,151200,151800,152300,152800,153000,153000,153000,153000,153000,153000,153100,153300,153500,153700,153800,154000,154500,155300,156400,157900,159300,160600,161700,162500,163100,163800,164500,165100,165800,166300,166700,167000,167300,167600,167700,167800,167900,167800,167600,167500,167400,167500,167600,167800,168100,168600,169000,169500,170100,170600,171100,171500,172100,172600,173000,173300,173600,174000,174700,175500,176500,177500,178500,179600,180400,180800,180600,180000,179000,178000,177000,176000,175200,174600,174200,173800,173400,173100,173000,172700,172300,171900,171500,171100,171000,171200,171400,171600,171800,171900,172000,172200,172300,172400,172600,172500,172100,171600,171400,170900,170000,169300,169000,168500,168500,168700,168700,168400,167800,167000,166300,166100,166300,165800,165000,165100,165400,165000,164700,165300,166100,166800,167000,167100,167200,168000,169000,170000,170500,171100,172000,173100,174200,175400,176600,177500,178400,179300,179900,180400,181400,182800,184200,185600,186900,187900,189000,190400,191900,193300,194500,195500,196900,198600,200100,201000,202000,203200,204500,205800,206900,207800,208900,210000,210900,212300,214000,215500,217000,218600,219700,220100,220800,221800,223000,224100,225000,225800,226500,227100,227800,228700,229800,230800,231400,231800,232600,234000,235600,236800,237500,237700,237800,237900,238000,238700,239800,240900,242400,243800,243700,242800,242500,243000,243300,243600,244200
2841,"San Diego County","CA","San Diego-Carlsbad","06","073",4,207800,207400,207100,206800,206800,207000,207500,208100,209000,210100,211100,211800,212600,213400,214400,215500,216600,218000,219600,221400,223700,226300,228700,230900,233000,235100,237100,239200,241200,243200,245300,247500,250000,252500,254900,257100,259200,261400,263500,265700,268100,270700,273600,276800,280500,284500,288400,292100,295700,299400,302900,306200,309300,312200,315000,317700,320700,323800,327000,330200,333400,336500,339600,342800,346000,349600,353400,357400,361800,366400,371000,375700,380500,385200,390100,395200,400400,405700,411200,416800,422400,427700,432900,438300,443800,449500,455700,462600,470100,478300,487100,496200,505800,515800,526400,537800,550500,564300,579000,593300,606200,616900,625600,632000,636700,640300,643500,646600,649400,651100,651700,651300,649900,648300,646900,645700,645000,644900,645200,645600,645600,645100,643800,641600,638800,636200,634000,631800,629700,627500,624300,619900,614600,609400,604600,599800,594600,589400,583800,577400,570300,562600,554000,544500,534700,525500,517200,510200,504300,499600,495200,491100,487400,484100,480300,475400,469500,463400,458400,455800,454800,454500,454800,455400,456600,458000,458400,458800,460800,463400,464400,463300,461800,459500,456600,453800,449800,444800,442400,442000,440900,438400,434200,430400,427700,424700,422600,422000,421700,421700,422100,422600,424400,427500,430900,433700,437100,442100,447300,452300,457700,462200,466800,474700,482900,491100,501000,510700,517700,523100,526900,529600,533100,537800,542100,544500,545700,547400,550200,552800,553400,554400,556900,558400,558800,560500,563900,567300,570000,572700,576100,580200,584000,586900,589000,591400,596000,601700,604400,605000,606900,609500,610700,612300,615600,619700,623700,628400,632300,635300,638700,643000,647700,652400,655100,656500,658700,661700,664200,666500,669600,675700,683200,687800,688000,686400,685500,686800,689900,691700,692800,693900,694500,694100,694300,694700,695000,695500,697100,699000,699900,700700
1286,"Orange County","CA","Los Angeles-Long Beach-Anaheim","06","059",5,237300,237000,236700,236500,236400,236400,236700,237200,238000,238900,239600,240200,241000,242000,243300,244900,246600,248600,250800,253400,256400,259800,263000,266100,269200,272300,275400,278500,281700,284900,288000,291000,294100,297200,299800,302100,304100,306000,307900,309600,311500,313600,315900,318700,321800,325200,328500,331700,334800,338000,341100,344300,347500,350700,354000,357500,361100,364800,368200,371300,374200,376900,379600,382400,385300,388400,391700,395300,399000,402900,406900,411000,415400,420200,425700,431700,438100,444600,451300,458000,464500,470700,476900,483200,489900,496900,504500,513100,522600,532900,544000,555500,567500,580100,593900,609100,625600,642400,658300,672100,682900,690700,696600,701300,706000,710800,715900,721200,726400,731300,736300,741600,747300,753300,759800,766400,773200,779600,785100,789700,793100,794800,795100,793900,791300,788000,783900,779200,774500,770300,765700,760100,753400,746000,738000,728800,718900,709000,699600,690100,679900,669200,658300,647800,638100,630400,624500,619800,616100,613200,610800,608900,607300,605300,602500,598500,593700,588900,585500,584700,586000,588300,590900,593800,596300,597900,598500,597300,597000,597800,596000,592700,590600,589200,586900,581900,576100,572300,570100,567800,564800,560900,557600,555100,551800,547500,544200,544100,545600,545000,543800,544900,546800,549100,553100,558900,564000,569600,575900,581500,587700,595900,605700,618000,632300,644700,655000,662700,668100,671800,674900,677000,678100,680100,683200,685200,686800,689500,690500,689900,690300,691500,692700,695500,698100,699600,701900,705800,709000,711700,714700,717600,721100,725600,728300,730200,733500,736400,737700,739400,740800,741700,743200,746500,750200,753300,756700,760200,762700,766100,770500,773300,774400,776200,779100,782000,784200,787300,790600,793700,796800,802600,808300,810900,812000,814900,818700,822600,826100,826300,826600,828400,830800,831000,830400,828400,826200,825000,824400,823500,824800,828300
2964,"Miami-Dade County","FL","Miami-Fort Lauderdale-West Palm Beach","12","086",6,144400,144700,145000,145300,145400,145400,145500,145500,145600,145800,146000,146000,146100,146200,146300,146500,146700,146900,147300,147700,148200,148800,149300,149600,149700,149800,149800,149800,149900,150100,150500,150900,151400,152000,152400,152800,153100,153600,154000,154400,154800,155200,155700,156200,156900,157700,158500,159300,160100,160900,161700,162500,163400,164300,165200,166200,167300,168500,169500,170500,171600,172800,174100,175500,177000,178600,180300,182100,184100,186100,188100,190000,192000,194100,196300,198500,200700,203000,205500,208200,211300,214600,218400,222200,225900,229400,232800,236000,239400,242800,246400,249900,253600,257400,261400,265400,269600,274000,278600,283600,288700,293900,299200,304600,310300,315900,321400,327200,333600,340500,347700,355000,362200,369100,375400,381300,387200,393200,399300,406000,413100,419800,425600,430500,434100,436800,438600,439700,440900,442100,442600,442800,443200,443400,443300,442700,441200,439000,435700,430800,424700,417500,408700,399200,389600,379600,369500,359600,349600,339600,329400,318600,308300,299000,289600,279900,270200,260200,251100,245000,241600,239600,238400,237200,236100,235900,236400,234700,231400,229200,228400,226100,222800,219900,219100,219700,219300,217900,217600,219100,220800,222200,222700,222400,222000,221500,220800,221200,222400,222500,222500,223600,225600,227500,229100,230700,232800,234100,234200,235300,237400,239700,241800,244200,246900,250000,253000,255900,258400,260900,262800,264300,266300,269500,272300,274100,276200,278900,282000,286300,291000,294900,297700,299800,301500,302900,304300,306600,309400,312200,314300,316200,318800,322500,325600,326800,327200,328600,331100,334400,337000,339000,341800,344700,345900,347600,351600,355900,358700,360900,362600,363800,365900,368000,368800,369000,370100,372200,374000,374600,375800,379100,382800,385100,387500,390900,394300,396800,398400,399300,401200,403700,406100,408100,409800,409800,407600,404600,403300,403300,403600,403800
978,"Dallas County","TX","Dallas-Fort Worth-Arlington","48","113",7,146500,146600,146800,147100,147400,147700,148200,148600,148900,149200,149400,149700,149900,150200,150600,151000,151300,151700,152200,152700,153500,154600,155700,156700,157400,157700,157700,157400,157100,156800,156800,157000,157700,158800,159900,160800,161500,162200,162700,163200,163800,164300,164900,165400,165900,166300,166600,167000,167400,167800,168400,169000,169700,170500,171300,171800,172100,172000,171800,171600,171300,171200,171200,171300,171400,171600,171800,172000,172100,172300,172500,172800,173100,173600,174200,174900,175600,176100,176600,176900,177100,177100,177000,176900,176900,177100,177300,177600,177900,178200,178500,179100,180100,181600,183500,185500,187200,188500,189400,189900,190400,190900,191500,192200,192900,193500,194000,194500,195000,195700,196300,196900,197200,197500,197600,197700,198000,198400,198900,199400,200000,200400,200700,200900,201100,201500,201900,202200,202300,202400,202200,202100,202200,202200,202100,202100,202000,201800,201500,200900,200100,199100,197600,195900,194600,193600,192800,192300,191800,191200,190600,190000,189600,189500,189200,188700,188200,187500,186700,186300,186300,186400,186600,186800,186500,185700,186100,186500,185900,185300,185300,184800,184300,184200,184100,183800,183500,183300,182700,182000,181400,181400,181400,180800,180000,179200,178900,179000,179700,180200,180600,181000,181500,182000,182900,183900,184500,184900,185200,185400,185500,185700,186100,186800,187800,188500,188800,189400,190600,191500,191900,192400,193200,194100,194800,195600,196800,198000,198900,199800,200500,201200,202200,203300,204300,205200,206400,208400,210700,212900,214800,217100,219400,221700,223700,226000,228000,229700,231200,232800,235200,238000,241400,245600,249500,252900,256400,258800,260200,262000,264300,267000,270000,272500,273800,274700,276500,279100,281400,282700,283600,285800,288900,291000,292500,294400,296000,297100,298200,299300,300700,303600,308500,314000,317800,318200,315300,312400,311500,310700,309900,309800
2832,"Riverside County","CA","Riverside-San Bernardino-Ontario","06","065",8,153500,153600,153600,153600,153600,153600,153500,153600,153800,154100,154400,154400,154400,154500,154600,154700,154900,155300,155900,156800,158000,159500,160900,162100,163300,164400,165400,166200,167000,167900,168900,170100,171800,173700,175500,177100,178600,180000,181200,182400,183700,185100,186800,188600,190600,192600,194300,195600,196700,197700,198600,199600,200600,201600,202900,204300,206100,208000,209900,211700,213500,215200,217000,218700,220500,222400,224400,226400,228600,230900,233100,235300,237500,239900,242400,245200,248300,251600,255200,258900,262700,266500,270500,274700,279300,284400,289700,295400,301000,306600,312200,317900,323800,330000,336800,344400,353100,362700,373100,383600,393500,402400,410200,416900,422900,428300,433600,439200,444800,450100,455000,459100,462300,465200,467800,470100,472100,473900,475900,478200,480500,482800,484800,485700,485300,484400,483100,481200,478800,475800,472100,467500,461800,455700,449200,441300,432100,422600,413400,404000,394500,384600,374600,363800,351800,339700,328300,318500,310700,304200,297800,291300,284800,278500,272400,266200,259900,253500,248600,246000,245000,244700,245000,245100,245800,247700,247800,247300,248700,251000,251600,251600,250400,248200,246400,246000,246000,245400,245900,246400,245900,244200,241600,238900,238000,237300,235700,234400,234300,234500,235400,237100,238800,240300,242400,244700,246100,248000,251100,255400,259200,262200,265900,271100,277200,284000,291400,298400,304800,310800,316100,319800,322400,325500,329200,332200,334400,336700,338800,339500,340100,341200,342800,344200,345900,347500,348600,348800,349600,351400,352700,353400,355100,357900,359800,361200,363300,365200,366000,367200,369200,371500,374500,377500,379700,381000,383500,386300,387500,387400,387800,389600,391400,393000,395900,399800,403200,406600,409900,411600,412900,416000,419300,420700,421200,422800,425400,428000,430800,432000,430700,429500,430800,433500,436500,438700,439300,439400,439300,439800,439700,439300
3250,"San Bernardino County","CA","Riverside-San Bernardino-Ontario","06","071",9,139700,139600,139500,139300,139200,139100,139200,139200,139500,139900,140300,140500,140700,140900,141000,141100,141300,141500,141800,142200,142800,143600,144400,145000,145600,146300,147000,147600,148300,148800,149300,149800,150600,151400,152300,153000,153900,154900,155900,156800,157700,158500,159400,160200,161100,162300,163600,164700,165900,167000,168100,169200,170200,171200,172400,173600,175000,176500,178100,179600,181000,182500,184100,185600,187200,188900,190600,192400,194200,196100,197900,199800,201700,203800,206200,208800,211800,215100,218700,222500,226400,230100,233800,237800,242200,246900,251900,257100,262400,268000,274000,280300,286900,293800,301100,309000,317400,326300,335900,345600,354900,363600,371800,379500,387100,394400,401200,407600,413900,419400,424700,429700,434400,439100,443900,448500,453200,457900,462600,467600,472400,476200,478800,479700,478400,475800,472300,468100,464100,460400,457000,454100,451200,447700,443400,437700,430500,422700,414900,407000,398900,389700,379000,367000,354400,341800,330100,320600,313400,307200,301000,295000,289500,284200,279100,274000,269100,263800,259300,256900,256200,256200,257300,259100,260300,261000,262000,262300,262700,264300,265600,265200,264500,264000,262200,259500,257300,256600,255800,254500,252600,251400,249600,247300,245200,243600,243000,243300,242100,240700,241100,242700,243600,244700,246400,248800,250600,251800,253600,256200,260100,263700,266600,270200,276000,281700,288100,294200,299900,305100,309500,312600,317100,321600,324900,327600,330500,332700,334900,336900,339100,341500,344400,346700,348200,349300,351100,353500,356000,358000,359800,361500,363300,365100,366500,367800,368600,370000,372000,374100,376100,377500,377700,377900,379600,381800,383800,385300,387000,389000,391300,394100,396200,398300,401600,405300,407300,408500,409800,411600,413400,415900,419200,421800,424200,427200,430000,432400,433600,433600,434000,435800,437800,439500,440700,441200,440900,441100,441100,440900,441600,443000
445,"Clark County","NV","Las Vegas-Henderson-Paradise","32","003",10,154800,154400,154000,153700,153600,153500,153600,153800,154100,154500,154700,154800,154900,154900,154800,154700,154700,154700,154900,155200,155700,156300,156900,157300,157600,158000,158300,158500,158700,158800,158800,158900,159000,159100,159200,159200,159300,159600,160000,160600,161300,162000,162800,163600,164400,165200,166000,166700,167300,167900,168500,169100,169700,170300,171100,171900,172700,173600,174500,175400,176400,177300,178300,179300,180400,181600,182900,184300,185800,187300,188600,189700,190600,191500,192300,193000,193600,194300,195200,196200,197400,198600,199900,201400,203200,205500,208200,211600,215700,220500,225900,231900,238500,245500,252900,261300,270600,280900,292100,303600,314700,324600,333200,340600,347400,353800,359600,364800,369100,371900,373700,374700,375300,375900,376500,377300,378300,379500,381000,382800,384900,386400,387100,386600,385000,382600,380000,377100,374500,371900,368700,364900,361300,357500,353400,349200,344800,340200,335100,329200,322400,314700,306500,298200,290800,283700,276700,269800,263500,257500,251700,245800,240100,234400,228300,221700,215400,209000,203000,198000,194200,191400,189300,188100,186600,185800,186200,186800,185700,184400,183600,182400,180600,179400,177800,176100,174300,172500,170900,169400,168000,166500,164700,162800,161000,158900,157700,157000,156600,157100,157800,158300,158800,159400,160400,162300,165000,167300,168900,170800,173700,175800,177500,180300,184600,189500,194700,199100,203300,207300,211200,214000,216200,218100,220500,222700,224700,226400,228200,229900,231200,232200,233400,235000,236800,238200,239400,240400,241600,243200,244800,246300,247400,248300,248800,249900,251200,252600,254000,255500,257300,259000,260000,261100,262800,264400,265900,267700,269200,271000,273400,276200,279000,282100,284800,286900,288600,290900,293900,296200,298500,302000,305600,307400,309000,311700,314700,317700,321700,326100,330000,332800,334100,335100,336700,337400,336100,334300,332900,331600,330500,330100
