"RegionID","RegionName","SizeRank","1996-04","1996-05","1996-06","1996-07","1996-08","1996-09","1996-10","1996-11","1996-12","1997-01","1997-02","1997-03","1997-04","1997-05","1997-06","1997-07","1997-08","1997-09","1997-10","1997-11","1997-12","1998-01","1998-02","1998-03","1998-04","1998-05","1998-06","1998-07","1998-08","1998-09","1998-10","1998-11","1998-12","1999-01","1999-02","1999-03","1999-04","1999-05","1999-06","1999-07","1999-08","1999-09","1999-10","1999-11","1999-12","2000-01","2000-02","2000-03","2000-04","2000-05","2000-06","2000-07","2000-08","2000-09","2000-10","2000-11","2000-12","2001-01","2001-02","2001-03","2001-04","2001-05","2001-06","2001-07","2001-08","2001-09","2001-10","2001-11","2001-12","2002-01","2002-02","2002-03","2002-04","2002-05","2002-06","2002-07","2002-08","2002-09","2002-10","2002-11","2002-12","2003-01","2003-02","2003-03","2003-04","2003-05","2003-06","2003-07","2003-08","2003-09","2003-10","2003-11","2003-12","2004-01","2004-02","2004-03","2004-04","2004-05","2004-06","2004-07","2004-08","2004-09","2004-10","2004-11","2004-12","2005-01","2005-02","2005-03","2005-04","2005-05","2005-06","2005-07","2005-08","2005-09","2005-10","2005-11","2005-12","2006-01","2006-02","2006-03","2006-04","2006-05","2006-06","2006-07","2006-08","2006-09","2006-10","2006-11","2006-12","2007-01","2007-02","2007-03","2007-04","2007-05","2007-06","2007-07","2007-08","2007-09","2007-10","2007-11","2007-12","2008-01","2008-02","2008-03","2008-04","2008-05","2008-06","2008-07","2008-08","2008-09","2008-10","2008-11","2008-12","2009-01","2009-02","2009-03","2009-04","2009-05","2009-06","2009-07","2009-08","2009-09","2009-10","2009-11","2009-12","2010-01","2010-02","2010-03","2010-04","2010-05","2010-06","2010-07","2010-08","2010-09","2010-10","2010-11","2010-12","2011-01","2011-02","2011-03","2011-04","2011-05","2011-06","2011-07","2011-08","2011-09","2011-10","2011-11","2011-12","2012-01","2012-02","2012-03","2012-04","2012-05","2012-06","2012-07","2012-08","2012-09","2012-10","2012-11","2012-12","2013-01","2013-02","2013-03","2013-04","2013-05","2013-06","2013-07","2013-08","2013-09","2013-10","2013-11","2013-12","2014-01","2014-02","2014-03","2014-04","2014-05","2014-06","2014-07","2014-08","2014-09","2014-10","2014-11","2014-12","2015-01","2015-02","2015-03","2015-04","2015-05","2015-06","2015-07","2015-08","2015-09","2015-10","2015-11","2015-12","2016-01","2016-02","2016-03","2016-04","2016-05","2016-06","2016-07","2016-08","2016-09","2016-10","2016-11","2016-12","2017-01","2017-02","2017-03","2017-04","2017-05","2017-06","2017-07","2017-08","2017-09","2017-10","2017-11","2017-12","2018-01","2018-02","2018-03","2018-04","2018-05","2018-06","2018-07","2018-08","2018-09","2018-10","2018-11","2018-12","2019-01","2019-02","2019-03","2019-04","2019-05","2019-06","2019-07","2019-08","2019-09"
9,"California",1,199000,199000,198900,198700,198700,198700,198900,199200,199800,200600,201200,201600,202100,202600,203300,204000,204900,205900,207000,208400,210100,212000,213700,215200,216700,218300,219800,221300,222800,224200,225600,227100,228800,230700,232500,234200,236000,237900,239900,242100,244500,247000,249700,252600,255900,259500,262800,265900,268900,271800,274700,277400,280000,282500,285000,287500,290300,293200,296200,299100,302000,304900,307700,310400,313200,316000,319000,322000,325200,328600,332200,335700,339400,343300,347500,352000,356800,361700,366700,371900,377000,381800,386500,391200,396200,401300,406600,412200,418200,424500,431200,438200,445500,453300,461600,470800,480900,491700,503100,514300,524900,534800,544100,552800,561200,569300,577100,584900,592500,599600,606300,612500,618000,622900,627300,630900,634100,636900,639300,641500,643200,644300,644500,643300,640600,637300,634000,630500,627400,624600,621300,617300,612700,607600,601900,595100,587000,578600,570000,561200,552000,542700,532500,521400,509700,498300,487600,478400,471200,465200,459500,453900,448800,444000,438800,433000,426700,420200,414900,412300,411700,412100,413200,414400,415300,416300,417000,416700,416800,417800,417500,415600,413700,411300,408700,405900,402900,399400,396800,395000,392800,390300,388200,386400,384500,382000,379800,378500,377600,376800,376800,378300,380600,383200,385900,388800,391600,394800,398800,403500,408500,413200,418600,425900,434200,442600,451200,459100,465200,470100,474000,476900,480000,483200,486200,489100,492000,494700,497200,499500,501500,503700,506500,508800,511100,514200,518000,521200,524200,527300,530500,533100,535500,538700,541700,544400,547600,551200,553700,556000,558700,561100,562900,565700,569300,573000,576800,580700,584200,587900,591600,594700,597600,600900,604000,606800,609800,612900,615800,618600,621600,626600,632200,635200,636000,637300,638800,640400,642200,643900,645400,646600,647400,648500,649700,649300,648000,647200,646800,646600,647100,648200
54,"Texas",2,153300,153200,153200,153300,153500,153600,153700,153600,153400,153200,153000,153000,153300,153800,154400,155100,155700,156400,157100,158000,159100,160200,161200,161900,162200,162200,162200,162000,161900,162000,162300,163000,164100,165400,166700,167800,168700,169400,170000,170700,171600,172800,174300,175900,177800,179800,181700,183200,184000,184000,183300,182300,181200,180200,179400,178600,177900,177200,176300,175400,174500,173800,173300,172900,172700,172600,172500,172300,172000,171700,171500,171400,171500,172100,172800,173500,174100,174600,174800,174900,174700,174500,174400,174300,174400,174600,174900,175200,175500,175700,175800,176100,176600,177500,178800,180300,181900,183300,184500,185600,186500,187300,188200,189000,189700,190500,191100,191700,192300,192700,193100,193400,193700,193900,194200,194500,194900,195300,195700,196200,196900,197600,198500,199300,200000,200800,201600,202400,203100,203700,204100,204300,204500,204800,205100,205400,205800,206200,206500,206600,206300,205600,204500,203200,201900,200700,199700,199000,198500,198100,197800,197400,197200,197000,196800,196600,196300,195900,195500,195400,195400,195500,195700,195800,195800,195800,196100,196400,196300,196200,196200,196100,195800,195500,195000,194300,193800,193600,193300,193100,193300,193300,193000,192700,192500,192300,192100,192200,192300,192200,192200,192400,192700,193100,193600,194000,194300,194300,194500,194900,195400,195900,196500,197100,197600,198600,199900,200900,201800,202800,203900,204900,205900,206900,207700,208800,210000,211100,212400,214300,216600,218800,220800,222900,225000,227000,228700,230400,232200,234100,235900,237600,239200,240600,242000,243100,244200,245400,246700,248000,249600,251300,252700,253900,255000,256100,256900,257700,258500,259400,260300,261500,262700,263600,264400,265200,266000,266800,267800,268600,269100,270500,272700,274500,275900,277100,277800,278300,278900,279700,280800,282300,283900,285500,286800,287400,286800,286300,286200,286100,286200,286500
43,"New York",3,123900,123900,123900,124000,124100,124200,124300,124400,124500,124600,124600,124500,124300,124000,123700,123500,123400,123400,123600,123800,124200,124700,125100,125400,125700,126000,126300,126700,127200,127800,128400,128900,129500,130000,130500,130900,131300,131800,132500,133100,133800,134400,135100,135800,136600,137600,138800,139900,140900,141900,142800,143400,143900,144300,144600,145000,145500,146000,146600,147100,147800,148500,149400,150300,151300,152400,153400,154600,155800,157100,158300,159600,160900,162200,163400,164600,165800,166900,168000,169100,170200,171200,172400,173600,174800,176000,177200,178500,179700,180800,182000,183300,184500,185800,187100,188500,190000,191600,193300,195100,197100,199100,201100,203100,205100,206900,208600,210200,211700,213100,214400,215700,216900,218100,219300,220300,221200,222000,222700,223300,224100,224900,225800,226700,227600,228400,229100,229700,230400,231100,231700,232300,232700,233000,233000,233000,232800,232500,232200,231900,231400,230800,230300,229800,229200,228600,227800,227200,226500,225800,225100,224400,223800,223400,223200,223000,222800,222300,221700,221200,221000,220900,220900,221000,221100,221400,221700,221600,221000,220600,220700,220500,220000,219200,218600,218200,217700,217200,216600,216000,215500,215300,215100,214800,214500,214300,214000,213600,213200,212700,211900,211400,211400,211300,211200,211300,211200,211200,211300,211500,212000,212400,212500,212900,213400,214000,214600,215100,215700,216500,217100,217600,218000,218400,218900,219600,220000,220400,220700,220800,221000,221400,221700,221800,222000,222400,222700,222700,223100,223400,223700,224000,224500,225100,225800,226300,226600,226900,227400,228200,229100,229800,230200,230900,231700,232400,233100,234100,234900,235600,236500,237600,238600,239400,240000,241100,242700,243900,245000,246400,247600,248400,249400,250200,250700,251600,253100,254400,255300,255900,256200,256700,257500,258900,260800,262100,262400,262800,263500,263800,264000,264400
14,"Florida",4,131200,131300,131500,131700,132000,132300,132700,133100,133500,133900,134300,134500,134800,135100,135500,135900,136200,136600,137000,137500,138000,138500,138900,139100,139200,139300,139500,139800,140300,141000,141700,142600,143400,144200,145000,145600,146300,146900,147600,148300,149100,149900,150800,151700,152800,154000,155200,156300,157300,158300,159300,160300,161400,162500,163700,165000,166400,167900,169300,170700,171900,173000,174100,175100,176100,177100,178100,179100,180100,181200,182200,183200,184300,185400,186700,188000,189300,190900,192500,194300,196100,197700,199300,201100,203100,205300,207700,210200,212700,215200,217800,220400,223100,225900,228800,232000,235500,239300,243400,247700,252300,257100,262000,266900,272100,277500,283100,289100,295800,302700,309800,317000,323800,330300,336300,342000,347400,352500,357200,361800,366300,369800,372200,373600,373800,373100,371900,370300,368700,367100,365200,363200,361200,358500,355100,351100,346700,341900,337000,331800,326600,321300,315400,309600,304100,298300,292400,286800,281500,276400,271500,266700,262100,257800,253200,248400,243800,238900,234200,230900,228800,227300,226200,225600,224600,224100,224900,224000,220900,219200,218700,217000,214800,212800,211100,209500,207800,206000,204500,203700,203200,203000,202800,202700,202600,202700,202700,203000,203600,203900,203800,204200,205200,206100,206700,207700,208600,209200,209800,210500,211600,212800,214300,216000,218100,220200,222400,224500,226800,229100,231200,233100,235000,236500,238000,239800,241800,243300,244700,246200,247900,249400,250400,251300,252400,253300,254300,255800,257700,259500,261200,263000,264700,266200,267600,269100,270600,272300,273700,275200,277100,279100,280600,282100,283700,285700,288300,291100,293300,295200,296900,298500,300000,301400,302400,303400,304700,306000,307100,308300,309600,311800,314800,317200,318900,320600,322200,323400,324400,325700,327200,328700,330600,333000,335000,335500,335400,335300,335600,336300,337100,337600
21,"Illinois",5,186400,187200,187800,187900,187700,187000,185900,184600,183400,182500,181400,180200,179000,177900,176800,175400,174000,172800,172100,172200,173400,175300,177500,179500,181800,184100,186500,189000,191600,194100,196500,198400,200100,201400,202100,202300,202500,202800,203200,204000,205000,206400,208100,209800,211900,214200,216300,218100,219900,221700,223500,225400,227300,229100,230800,232300,233900,235300,236500,237400,238400,239200,240200,241200,242300,243600,245000,246400,247900,249500,251200,252900,254600,256300,258000,259600,261100,262600,264000,265400,266700,268100,269500,271000,272500,274000,275400,277000,278500,280100,281700,283400,285300,287300,289400,291500,293800,296300,298900,301500,303900,306400,308900,311300,313700,316000,318100,320200,322500,324800,327200,329800,332400,335000,337600,339900,342000,343800,345300,346700,348200,349500,350400,351100,351800,352400,352900,353200,353600,353900,353900,353800,353600,353000,351900,350700,349300,348000,346600,344900,343000,340800,338100,335200,332400,329400,326200,322800,319400,316400,313700,311100,308500,306100,303500,300500,297200,293500,289800,286800,284700,283000,281900,281100,280200,280100,281100,280500,277800,276300,275500,273700,271500,268900,265800,263500,261500,259900,258400,257200,255800,254400,252700,251600,251000,250100,248800,247400,246600,245200,243200,242100,242600,243100,243800,244600,245100,245800,246700,247300,247700,248000,248400,249700,251600,253600,255600,257700,259500,261100,262500,263300,263600,263900,264100,264900,266300,268100,270000,271700,272900,273400,273300,273300,273500,274100,274800,275500,275600,275500,275500,275600,275700,276000,276900,277800,278400,278500,278900,279500,280600,281700,282500,283200,284500,285600,286600,287400,288200,289000,289800,290400,291200,292000,292800,293500,294200,294900,296100,297300,298100,299500,301700,303100,303700,304500,304900,304800,305100,305700,306300,307300,308400,309500,311100,312200,312000,311300,310300,308900,307900,307900
47,"Pennsylvania",6,147500,147400,147400,147500,147900,148300,148900,149500,150200,150900,151500,152000,152400,152700,152900,153100,153300,153400,153700,153800,153900,153800,153700,153500,153400,153400,153500,153800,154300,154800,155400,156000,156700,157400,158200,159000,159800,160400,161000,161500,161900,162100,162400,162700,163200,163900,164700,165700,166800,168100,169400,170600,171900,173100,174200,175300,176400,177600,178800,179800,180700,181400,182000,182600,183300,184000,184900,185900,187000,188300,189700,191000,192200,193500,194800,196200,197700,199400,201200,203100,205000,206500,207800,209200,210900,212700,214900,217200,219500,221700,223800,225800,227800,229800,231900,234000,236100,238300,240400,242600,244800,247000,249100,251300,253500,255700,257900,260300,262800,265300,267800,270200,272500,274800,276900,278900,280600,282200,283600,285000,286400,287700,288900,289900,290700,291300,291900,292300,292700,293100,293400,293700,293900,293900,293700,293400,292900,292400,291700,290900,289900,289000,288100,287100,286200,285100,283800,282700,281600,280600,279700,278900,278100,277600,277000,276400,275700,274600,273500,272600,272000,271600,271300,271200,271200,271400,271800,271600,270900,270600,270600,269700,268500,267400,266100,264800,263600,262600,261900,261000,260400,260000,259300,258300,257600,256800,256100,255800,255600,255100,254500,254400,254300,253900,253700,254000,254300,254800,255400,256100,256600,256900,257200,257700,258100,258500,259100,259800,260400,260900,261100,261500,262200,262700,262700,262900,263600,264400,265100,266000,266700,267300,268000,268400,268700,268900,269100,269400,270000,270700,271500,272100,272700,273400,274000,274400,274500,275100,276100,276900,277300,277800,278300,279200,280200,280900,281600,282500,283400,284100,284900,286000,287200,288500,289400,290500,291600,292800,294000,294800,295300,296400,298000,299500,300700,302000,303200,304400,305300,305800,306700,308200,309700,311000,312200,313100,313400,313700,314200,314500,315100,315800
44,"Ohio",7,128000,128200,128700,129300,130000,130700,131300,131900,132300,132600,132900,133300,133800,134400,135000,135800,136600,137400,138100,138900,139600,140100,140700,141100,141500,142000,142500,143200,144000,144900,145700,146400,146700,146900,146900,147000,147200,147500,148000,148600,149300,150000,150700,151400,152200,153000,153900,154800,155500,156100,156500,156900,157400,157800,158300,158900,159500,160200,161000,161700,162400,162900,163300,163700,164000,164400,164800,165200,165700,166200,166900,167600,168200,168900,169500,170100,170700,171200,171800,172400,173100,173700,174200,174700,175300,175800,176300,177000,177600,178300,179100,179800,180400,181000,181500,182000,182500,183100,183700,184300,184900,185500,186000,186500,187000,187400,187700,188000,188400,188900,189500,190100,190600,191000,191500,191900,192300,192800,193200,193600,194000,194300,194500,194600,194600,194500,194300,194200,194100,194000,194000,193900,193500,192900,192200,191400,190600,189900,189100,188400,187600,186900,186200,185600,185000,184500,183800,183100,182400,181700,181100,180500,180000,179600,179300,179000,178600,178100,177500,176900,176600,176300,176200,176000,175900,176000,176300,176400,176300,176500,176600,176400,176100,175700,175100,174600,174200,173400,172400,171400,170800,170200,169700,169500,169500,169500,169600,169700,169900,170100,170200,170700,171200,171600,171900,172300,172500,172800,172800,173100,173500,173800,174300,174900,175500,175900,176500,177400,178100,178700,179500,180200,180600,181100,181700,182100,182400,182900,183400,183800,184100,184500,185100,185700,186100,186400,186800,187300,187900,188600,189300,190300,191400,192400,192800,193200,193800,194600,195400,196200,197300,198600,199700,200500,201400,202400,203500,204500,205400,206300,207500,209000,210500,211800,213000,213900,214500,215300,216300,217300,218100,219200,220500,221400,222400,223900,225100,226200,227500,228800,230300,231900,233500,235200,236700,237300,236900,236600,236900,237200,237700,238200
30,"Michigan",8,160400,161400,162400,163500,164800,166200,167700,169100,170400,171600,172600,173300,174000,174700,175500,176600,177800,178900,180000,180800,181600,182200,182800,183400,184100,184900,185700,186600,187400,188100,188900,189500,190300,191100,191900,192600,193500,194600,196000,197700,199500,201200,202900,204500,206400,208300,210200,212100,214100,216200,218300,220300,221900,223400,224700,225700,226700,227400,227800,228000,228000,228000,227900,227900,227800,227900,228200,228800,229700,230900,232300,233600,234900,236000,236800,237500,238200,238800,239500,240200,241000,241600,242100,242500,243000,243400,243800,244300,244900,245600,246400,247100,247800,248500,249200,250000,250800,251700,252700,253600,254500,255500,256600,257700,258800,260000,261200,262200,263200,264100,264800,265500,266100,266400,266700,266800,266800,266800,266700,266500,266300,265800,265200,264400,263400,262200,260900,259500,258100,256600,255200,253900,252700,251400,250000,248500,246600,244500,242200,239900,237500,235200,232700,230300,227600,224800,221900,219100,216600,214200,211800,209600,207500,205400,203500,201500,199400,197100,194700,192700,190900,189200,187800,186900,186200,185900,186300,186300,185700,185400,185400,185000,184700,184500,184000,183400,182900,182200,181400,180700,180400,179900,179500,179300,179800,180600,181600,182500,183700,184600,185300,186100,187700,189700,191600,192900,193900,195400,197800,200200,202000,203800,205600,207200,209400,211600,214000,217000,220400,223200,225300,227000,228500,229900,231200,232400,233800,235600,237600,239600,241300,242300,242900,243900,245200,246700,248100,249200,249600,250100,250900,252000,252900,253900,254900,256100,257000,257800,258800,260400,261700,262800,264200,266100,267700,269000,270100,271600,273000,274000,275400,278000,280400,282000,283000,283700,284100,284700,285500,286300,286700,288100,290600,292400,293700,295700,297800,299700,301300,302000,302300,302700,303900,305800,307700,309100,310100,310300,309800,308700,308000,308200
16,"Georgia",9,147600,148100,148600,149000,149400,149700,150100,150400,150800,151100,151500,151800,152300,152900,153600,154400,155100,155800,156400,156900,157400,157900,158300,158700,159100,159500,160000,160700,161400,162100,163000,163900,165100,166300,167400,168500,169600,170600,171600,172600,173600,174500,175500,176500,177500,178500,179600,180600,181600,182600,183600,184600,185600,186500,187500,188400,189300,190300,191200,192000,192600,193200,193700,194300,194800,195500,196200,196900,197700,198300,199000,199500,200000,200500,201000,201500,202100,202600,203300,204100,204900,205800,206600,207200,207700,208100,208500,209000,209500,210100,210800,211400,211900,212500,213100,213800,214600,215500,216600,217800,218900,220000,221000,221900,222800,223700,224600,225500,226700,227900,229100,230300,231400,232600,233800,234900,236100,237300,238400,239700,241000,242300,243500,244800,246000,247100,248100,248900,249700,250500,251100,251800,252500,252900,253000,252900,252700,252300,251700,250900,249900,248900,247600,246300,245100,243500,241600,239600,237500,235500,233700,231700,229800,228100,226300,224300,222200,219800,217400,215500,214200,213300,212500,211900,211100,210800,211300,210400,208100,207000,206700,205600,204100,202100,200000,198600,197100,195200,193000,191400,190400,189000,187600,186400,185100,183900,182800,181600,180700,180000,179300,178900,179400,180000,180500,181100,182100,183400,184700,186000,187200,188400,189700,191200,192800,194400,196200,198100,199700,201300,202900,204500,206200,207600,209200,211400,213400,214900,216400,217900,219300,220300,221000,221900,222800,223300,223800,224500,225500,226500,227200,227600,228200,228700,229100,229700,230700,231700,232900,234200,235700,237200,238600,240500,242400,244000,245400,246400,247500,248900,250000,251000,252100,253100,253900,254600,255500,256900,258300,259700,261200,263400,266200,268100,269200,270700,272400,273400,273900,275500,278400,281300,283100,284900,286500,287100,287200,287200,287200,287700,289100,290400
36,"North Carolina",10,149800,150100,150400,150900,151400,152200,153000,154100,155300,156600,158000,159200,160100,160700,161000,161000,160800,160300,159600,158300,156500,154400,152300,150600,149400,149000,149400,150500,152000,153700,155400,156900,158100,159000,159800,160600,161500,162500,163600,164700,165700,166600,167400,168100,168800,169500,170100,170700,171300,171800,172500,173300,174100,175000,175700,176500,177300,178100,178800,179400,179700,179800,179800,179800,179900,180100,180500,181100,181900,183000,184300,185600,186700,187600,188100,188500,188700,188800,189000,189400,190000,190400,190800,191500,192300,193200,194200,195100,196100,197100,198200,199200,200200,201000,201800,202600,203500,204600,205900,207100,208400,209700,211100,212200,213000,213500,213900,214500,215500,216900,218800,221000,223300,225600,227800,229800,231800,233600,235400,237100,238900,240500,242100,243600,245200,246600,248000,249300,250700,252100,253300,254500,255500,256200,256700,257200,257700,258100,258400,258500,258700,258900,259000,259100,258900,258300,257300,256100,254600,253100,251700,250500,249600,249100,248600,248200,247600,246500,245000,243400,241900,240600,239500,238700,238000,237800,238400,238400,237300,236500,236200,235600,234800,233800,233100,232100,230900,229700,228400,227200,226400,225900,225300,224600,224000,223400,222900,222900,223100,223000,222600,222600,222800,223100,223700,224400,225000,225500,225800,226100,226400,226900,227200,227600,228300,229400,230300,231200,232200,233100,233900,234700,235300,235800,236100,236600,237300,237900,238300,238500,238700,239000,239500,240000,240500,241200,242000,242800,243500,243900,244400,245300,246400,247300,248000,248600,249400,250200,251000,252100,253700,255200,256300,257400,258800,260100,261200,262400,263700,265000,266300,267900,269300,270500,271500,272400,273200,274000,274900,275900,276600,277900,279800,281400,282200,283100,284300,285600,286700,288200,290300,292400,294100,295600,296900,297800,298300,298400,298600,298900,299600,300300
