"RegionID","RegionName","SizeRank","1996-04","1996-05","1996-06","1996-07","1996-08","1996-09","1996-10","1996-11","1996-12","1997-01","1997-02","1997-03","1997-04","1997-05","1997-06","1997-07","1997-08","1997-09","1997-10","1997-11","1997-12","1998-01","1998-02","1998-03","1998-04","1998-05","1998-06","1998-07","1998-08","1998-09","1998-10","1998-11","1998-12","1999-01","1999-02","1999-03","1999-04","1999-05","1999-06","1999-07","1999-08","1999-09","1999-10","1999-11","1999-12","2000-01","2000-02","2000-03","2000-04","2000-05","2000-06","2000-07","2000-08","2000-09","2000-10","2000-11","2000-12","2001-01","2001-02","2001-03","2001-04","2001-05","2001-06","2001-07","2001-08","2001-09","2001-10","2001-11","2001-12","2002-01","2002-02","2002-03","2002-04","2002-05","2002-06","2002-07","2002-08","2002-09","2002-10","2002-11","2002-12","2003-01","2003-02","2003-03","2003-04","2003-05","2003-06","2003-07","2003-08","2003-09","2003-10","2003-11","2003-12","2004-01","2004-02","2004-03","2004-04","2004-05","2004-06","2004-07","2004-08","2004-09","2004-10","2004-11","2004-12","2005-01","2005-02","2005-03","2005-04","2005-05","2005-06","2005-07","2005-08","2005-09","2005-10","2005-11","2005-12","2006-01","2006-02","2006-03","2006-04","2006-05","2006-06","2006-07","2006-08","2006-09","2006-10","2006-11","2006-12","2007-01","2007-02","2007-03","2007-04","2007-05","2007-06","2007-07","2007-08","2007-09","2007-10","2007-11","2007-12","2008-01","2008-02","2008-03","2008-04","2008-05","2008-06","2008-07","2008-08","2008-09","2008-10","2008-11","2008-12","2009-01","2009-02","2009-03","2009-04","2009-05","2009-06","2009-07","2009-08","2009-09","2009-10","2009-11","2009-12","2010-01","2010-02","2010-03","2010-04","2010-05","2010-06","2010-07","2010-08","2010-09","2010-10","2010-11","2010-12","2011-01","2011-02","2011-03","2011-04","2011-05","2011-06","2011-07","2011-08","2011-09","2011-10","2011-11","2011-12","2012-01","2012-02","2012-03","2012-04","2012-05","2012-06","2012-07","2012-08","2012-09","2012-10","2012-11","2012-12","2013-01","2013-02","2013-03","2013-04","2013-05","2013-06","2013-07","2013-08","2013-09","2013-10","2013-11","2013-12","2014-01","2014-02","2014-03","2014-04","2014-05","2014-06","2014-07","2014-08","2014-09","2014-10","2014-11","2014-12","2015-01","2015-02","2015-03","2015-04","2015-05","2015-06","2015-07","2015-08","2015-09","2015-10","2015-11","2015-12","2016-01","2016-02","2016-03","2016-04","2016-05","2016-06","2016-07","2016-08","2016-09","2016-10","2016-11","2016-12","2017-01","2017-02","2017-03","2017-04","2017-05","2017-06","2017-07","2017-08","2017-09","2017-10","2017-11","2017-12","2018-01","2018-02","2018-03","2018-04","2018-05","2018-06","2018-07","2018-08","2018-09","2018-10","2018-11","2018-12","2019-01","2019-02","2019-03","2019-04","2019-05","2019-06","2019-07","2019-08","2019-09"
9,"California",1,166000,165900,165800,165700,165600,165600,165600,165600,165800,166100,166300,166200,166200,166300,166600,167000,167500,168200,169100,170200,171600,173300,174900,176300,177500,178600,179600,180500,181300,182100,183100,184100,185300,186700,188000,189300,190600,192000,193500,195300,197100,199100,201200,203700,206500,209500,212500,215200,218000,220700,223400,226000,228500,231000,233500,235900,238400,241000,243500,245800,248100,250400,252600,254700,256800,259200,261600,264200,267000,269900,272900,276000,279100,282400,286000,289800,293700,297800,302200,306700,311200,315500,319900,324300,329000,333800,338900,344300,349900,355800,361900,368100,374600,381400,388800,396900,406000,415500,425400,435100,444200,452600,460500,467700,474800,481700,488400,495300,502200,508900,515400,521400,526800,531600,535800,539500,542600,545500,548100,550500,552600,554000,554600,554000,552000,549400,546700,543900,541300,538900,536100,533000,529300,525300,520800,515400,508800,501700,494400,486800,478700,470200,460800,450200,438700,427200,416200,407000,399600,393400,387300,381500,375900,370700,365400,359500,353200,346700,341100,337900,336500,336200,336500,337200,337900,338800,339300,339000,339100,340100,340100,338800,337500,335600,333500,331300,328800,325900,323600,321700,319900,317900,316200,314500,312700,310500,308600,307400,306800,306200,306200,307600,309700,312100,314500,317000,319100,321700,325200,329300,333400,337200,341800,348100,355300,362500,369900,377000,382900,387600,391500,394600,397600,400800,403900,406800,409500,412000,414000,415900,417700,419800,421700,423300,425100,427700,430600,433000,435300,437800,440300,442600,445000,447800,450400,453100,456100,459200,461600,463800,466200,468700,471100,474200,477700,481300,485100,488700,491900,495600,499500,502800,505700,508800,511900,514900,517900,520800,524000,527100,530100,534700,540300,543800,544800,546300,548300,550100,551900,553600,555300,556700,557600,558800,560000,560200,559800,559700,559000,558600,559300,560600
54,"Texas",2,93700,93700,93700,93800,93900,94100,94200,94300,94300,94400,94300,94200,94200,94200,94200,94300,94500,94700,95000,95400,96000,96500,97100,97500,97900,98200,98400,98600,98800,99000,99200,99500,99900,100400,100900,101400,102000,102600,103300,104300,105600,107300,109100,110700,112000,113000,113800,114400,114700,114900,114800,114300,113600,112600,111500,110500,109800,109500,109400,109400,109700,110000,110400,110700,110800,110900,111000,111100,111300,111600,111900,112100,112500,112800,113200,113800,114300,114900,115300,115800,116000,116200,116300,116400,116400,116500,116700,116900,117100,117300,117600,118000,118600,119300,120300,121200,122200,123000,123700,124300,124900,125500,126000,126600,127100,127600,128100,128400,128700,129000,129200,129500,129700,129900,130100,130300,130500,130700,131100,131400,131900,132300,132800,133200,133700,134100,134700,135200,135600,136000,136300,136700,137100,137500,137900,138300,138700,139100,139400,139600,139600,139300,138800,138200,137500,136700,136000,135400,135000,134600,134200,133900,133600,133400,133100,132800,132400,132000,131600,131400,131400,131500,131500,131500,131500,131600,131600,131500,131400,131500,131500,131200,130900,130600,130300,129800,129400,129200,129100,128900,128700,128600,128400,128100,127800,127500,127200,126900,126900,126800,126700,127000,127100,127200,127300,127700,128000,128100,128200,128300,128500,128800,129200,129500,129700,130200,130800,131500,132000,132500,133100,133700,134200,134600,135100,135800,136500,137000,137400,138100,138900,139400,140200,141100,142100,142800,143400,144000,145000,146100,146900,147600,148500,149300,150200,151100,152000,152800,153900,155000,156200,157700,159400,161100,162800,164400,165900,167200,168400,169700,170900,172200,173600,174800,175500,176100,176800,177800,178800,179700,180300,181400,182800,184200,185300,186400,187500,188500,189300,190300,191700,193200,194900,196700,198100,198500,198000,197900,198400,199000,200000,200900
43,"New York",3,120400,120500,120500,120500,120600,120800,120900,120900,121100,121200,121300,121300,121200,121100,121000,120900,120900,121000,121100,121400,121900,122500,123100,123500,123900,124300,124700,125100,125600,126200,126700,127200,127900,128600,129200,129800,130500,131200,131900,132700,133300,134000,134700,135400,136300,137300,138400,139400,140600,141700,142700,143600,144400,145200,146000,146900,147800,148800,149800,150800,151800,152800,153900,155100,156300,157700,159100,160500,162100,163700,165400,167000,168500,170200,171800,173500,175200,177000,178800,180600,182500,184500,186600,188900,191200,193300,195300,197300,199200,201200,203300,205500,207700,209800,212000,214100,216400,218900,221600,224600,227700,230900,234000,237000,240100,243000,245700,248500,251300,254100,256800,259400,261900,264200,266300,268100,269600,270900,272000,273000,274000,275000,275800,276500,277000,277400,277700,277900,278200,278600,278900,279300,279600,279800,279600,279200,278700,278100,277400,276600,275500,274400,273000,271600,270000,268300,266400,264600,262500,260400,258300,256400,254500,252800,251300,249900,248500,246700,244800,243400,242500,241800,241400,241200,241100,241200,241600,241000,239300,238000,237500,236600,235700,234500,233200,232000,230800,229500,228200,227100,226400,226200,225900,225200,224200,223400,222600,221800,221200,220600,219600,219100,219000,218800,218600,218400,218300,218600,218800,218800,218800,218800,218700,219200,219700,220100,220700,221500,222200,222800,223500,224200,224800,225100,225500,226100,226800,227400,227600,227900,228500,229100,229200,229100,229200,229800,230100,229800,229700,230400,231200,231500,232100,233000,234200,235000,235500,235700,236400,237400,238500,239300,239800,240600,241600,242000,242400,243500,244600,245500,246400,247500,248800,250100,251500,253100,254500,255400,256300,257800,259500,260900,261800,262600,263000,262600,262400,263000,263800,265300,267500,269400,271300,273800,276600,278700,279900,281100,282500,283300,284100,284700
14,"Florida",4,87600,87700,87800,87900,88000,88200,88400,88600,89000,89400,89800,90000,90200,90400,90600,90800,91000,91200,91600,91900,92300,92800,93100,93300,93600,93800,94200,94600,95100,95600,96200,96700,97300,97900,98300,98700,99200,99800,100400,101100,102000,102800,103600,104300,105000,105800,106400,107000,107600,108200,108900,109700,110600,111400,112300,113300,114300,115400,116500,117500,118500,119400,120300,121200,122100,123000,123900,124800,125800,126800,127800,128800,129700,130500,131400,132300,133200,134200,135400,136600,137800,139000,140100,141400,142700,144200,145700,147100,148600,150200,151800,153500,155300,157200,159200,161400,163800,166300,169100,172200,175400,178800,182200,185800,189600,193600,197800,202300,207400,212600,218100,223600,229100,234200,238900,243200,247100,250800,254100,257400,260400,263000,264800,265800,266000,265600,264700,263400,261900,260500,258900,257100,255100,252800,250100,247000,243600,240100,236500,232700,228900,225000,221000,216900,212900,208900,204700,200600,196600,192600,188700,184800,181000,177400,173700,169900,166100,162200,158500,155600,153600,152100,151000,150300,149900,149900,150100,149400,148000,146900,146300,145300,144000,142600,141100,139800,138300,136700,135400,134500,133700,133200,132500,131900,131300,130900,130900,130800,130500,130400,130600,131100,131400,131900,132400,132800,133200,133700,133900,134600,135700,136600,137300,138300,139700,141200,142700,144300,146000,147700,149100,150400,151800,152900,153900,155000,156400,157500,158600,159800,161100,162200,163200,164300,165400,166400,167600,169000,170400,171700,173000,174600,176100,177500,178900,180400,181600,183100,184700,186200,188000,190200,192100,193800,195800,198000,200200,202800,205400,207700,209600,211500,213500,215400,216900,218500,220000,221400,222900,224200,225200,227100,229700,231800,233300,234900,236400,237500,238600,239700,241100,242400,243800,245500,247100,247800,247500,247200,248000,249000,250200,251200
21,"Illinois",5,117300,117800,118100,118100,117900,117400,116800,116100,115400,114700,114000,113200,112500,111800,111000,110300,109600,109000,108700,108900,109800,111100,112500,113900,115300,116700,118000,119300,120600,121800,122900,123600,124100,124500,124600,124400,124200,124100,124300,124600,125000,125600,126300,127100,128100,129300,130300,131200,132000,132800,133600,134300,135100,135800,136500,137100,137700,138400,139000,139600,140200,140800,141500,142300,143100,144000,145000,145900,146900,147800,148700,149600,150400,151200,151900,152500,153200,153800,154500,155200,155800,156400,157000,157600,158300,159100,160000,161000,161900,162900,163800,164800,165800,166900,168100,169200,170300,171400,172400,173500,174500,175500,176500,177400,178300,179100,179800,180600,181400,182400,183500,184700,186000,187400,188800,190100,191300,192400,193400,194500,195700,196600,197300,198100,198800,199400,199900,200300,200700,201000,201300,201400,201500,201400,201100,200700,200300,199900,199400,198700,197900,196700,195300,194000,192800,191500,189900,188100,186200,184400,182600,181000,179300,177700,176000,174300,172500,170400,168100,166100,164400,163000,161800,161100,160800,160700,160900,160100,158400,157400,157200,156500,155500,154300,153000,151700,150000,148700,147800,147000,146200,145100,143700,142500,141600,140800,140000,138900,138200,137200,136000,135300,135600,135700,135800,135800,135800,136000,136200,136400,136800,137300,137600,137700,138000,138600,139300,140300,141400,142200,142700,143000,143200,143300,143700,144400,145100,145900,147100,148000,148600,148900,149100,149600,150000,150300,150600,151200,151900,152500,153000,153400,153700,154200,154900,155500,156000,156300,156700,157300,158100,158900,159200,159500,160100,160800,161400,162100,162900,163600,164300,165100,165900,166400,166900,167500,168400,169100,169700,170600,171400,172200,173400,174100,174500,175200,175900,176100,176600,177500,178600,179900,181100,182000,182900,183500,183600,183500,183700,184300,184800,185000
47,"Pennsylvania",6,76300,76300,76300,76300,76200,76300,76500,76700,77000,77200,77500,77800,78100,78500,78900,79300,79800,80200,80600,80900,81400,81800,82300,82600,83000,83300,83700,84100,84500,85000,85500,85900,86300,86700,87000,87300,87600,87800,88100,88300,88500,88700,88900,89200,89400,89700,90000,90300,90500,90700,90800,91000,91100,91300,91500,91900,92500,93200,93900,94600,95300,95900,96500,97200,97900,98600,99300,100000,100700,101300,101900,102500,103000,103600,104200,104800,105500,106200,107000,107800,108600,109400,110200,111100,112100,113100,114200,115200,116200,117200,118100,119000,119900,120900,121800,122800,123900,125000,126200,127300,128400,129500,130600,131600,132500,133400,134200,135100,136000,137100,138200,139400,140600,141800,142900,144000,145000,145900,146800,147700,148600,149400,150100,150700,151300,151800,152300,152700,153200,153600,154100,154600,155000,155200,155400,155600,155600,155600,155600,155500,155400,155200,155000,154700,154400,154000,153400,152900,152500,152100,151700,151400,151200,150900,150700,150500,150200,149700,149300,149000,148700,148600,148500,148500,148600,148700,148800,148800,148600,148600,148700,148600,148000,147300,146500,145700,145000,144500,144000,143400,142800,142200,141500,140800,140300,140000,139900,139600,139300,138900,138400,138100,138100,138200,138100,138100,138200,138400,138800,138900,139000,139200,139200,139400,139600,139800,139900,140300,140600,140600,140700,141000,141200,141400,141500,141700,142000,142400,142700,143000,143200,143300,143400,143600,144100,144400,144700,144900,145100,145300,145700,146000,146400,146700,147000,147400,147600,147800,148300,148900,149500,149800,150200,150700,151400,151900,152300,152800,153500,154100,154500,155200,156300,157500,158200,158700,159500,160500,161400,162200,162700,163500,164800,165700,166500,167400,168200,168900,169500,170000,170900,171900,172700,173500,174300,174300,173500,173200,173900,174800,175500,176000
44,"Ohio",7,82500,82700,83000,83400,83800,84100,84500,84900,85100,85400,85600,85800,86000,86200,86500,86800,87100,87400,87700,88000,88400,88900,89300,89700,90100,90400,90800,91100,91500,92000,92400,92900,93300,93700,94100,94400,94700,95000,95400,95700,96100,96500,96900,97400,97900,98400,98900,99400,99900,100300,100700,101100,101600,102000,102500,103000,103400,103900,104300,104700,105200,105700,106200,106600,107100,107500,107900,108200,108500,108800,109200,109600,110000,110400,110700,111100,111600,112000,112400,112900,113400,113900,114300,114700,115100,115500,115900,116300,116600,116900,117200,117500,117800,118200,118600,119000,119400,119700,120000,120300,120600,120900,121200,121500,121800,122100,122300,122500,122600,122800,123100,123400,123700,124000,124300,124500,124600,124800,124800,125000,125100,125200,125200,125200,125100,125000,124800,124700,124600,124500,124400,124200,124000,123700,123400,123000,122600,122100,121600,121000,120500,119900,119300,118700,118100,117500,116800,116200,115600,115200,114800,114400,114100,113800,113500,113100,112800,112300,111800,111300,111000,110700,110500,110300,110100,110100,110200,110000,109900,109900,110100,110100,109900,109400,108800,108300,107700,106900,106200,105600,105000,104500,104100,103700,103400,103100,102900,103000,102900,102800,102800,102800,102900,103200,103300,103200,103200,103400,103500,103600,103800,104000,104200,104400,104700,104700,104900,105200,105600,106000,106200,106200,106500,107000,107300,107400,107900,108600,109000,109200,109400,109700,110100,110600,110900,111200,111500,111800,112200,112500,112900,113500,113900,114100,114300,114700,115100,115600,115900,116400,117000,117500,118100,118700,119200,119600,120200,120800,121400,121800,122600,123700,124700,125500,126200,126700,127100,127700,128400,128900,129400,130000,130800,131500,132100,132700,133300,134000,135000,136100,137300,138600,139700,140500,141100,141300,140800,140600,141100,141900,142800,143600
30,"Michigan",8,73800,74500,75200,76000,76600,77300,77800,78300,78900,79400,79900,80400,80800,81300,81800,82200,82700,83300,83900,84600,85500,86600,87600,88600,89400,90100,90800,91300,91700,92200,92600,93000,93500,94100,94700,95200,95800,96400,97000,97700,98500,99200,100000,100700,101500,102300,103100,103700,104400,105100,105800,106500,107300,108000,108700,109400,110000,110600,111100,111500,111900,112400,112900,113300,113700,114000,114400,114800,115300,115800,116400,117100,117700,118200,118600,119000,119400,119800,120200,120700,121200,121600,121800,122000,122100,122300,122700,123100,123700,124200,124800,125200,125500,125800,126200,126600,127200,127700,128300,128800,129300,129700,130300,130700,131200,131700,132300,132800,133400,133900,134300,134700,134900,135100,135200,135300,135400,135300,135200,135200,135100,134900,134600,134400,134200,134000,133700,133300,132900,132300,131600,131100,130600,129900,129000,128100,127100,126100,125000,123900,122800,121600,120300,119100,117900,116400,114700,113000,111400,109800,108200,106700,105200,103700,102200,100800,99400,97900,96200,94700,93500,92300,91300,90500,90100,89900,90000,89400,88100,87600,87800,87600,87100,86700,86200,85600,84800,84300,83800,83200,82600,82100,81700,81300,80900,80800,80600,80300,80200,80100,80000,80300,80800,81400,81900,82500,83000,83600,84100,84800,85600,86100,86500,87100,88100,89100,89800,90600,91500,92400,93400,94300,95100,95700,96500,97400,98300,98900,99600,100300,101200,101900,102500,103300,104200,105000,106000,106800,107500,108200,108900,109600,110400,111300,112100,112800,113500,114300,115000,115600,116500,117400,118200,119400,120400,121100,121900,123000,123900,124700,125700,126900,128100,128900,129500,130100,130700,131500,132200,132900,133700,134700,135700,136700,137600,138700,139600,140700,141900,143100,144400,145500,146300,147100,148100,148500,148500,148800,149400,149900,150600,151100
16,"Georgia",9,88000,88400,88900,89400,89900,90300,90600,91000,91400,91800,92200,92500,92900,93300,93800,94400,95000,95500,96100,96600,97100,97700,98200,98500,98900,99400,100100,100800,101600,102500,103400,104300,105200,106000,106700,107300,107900,108600,109400,110200,111100,111900,112700,113500,114200,115000,115800,116600,117400,118200,118900,119700,120400,121200,122000,122800,123600,124500,125300,125900,126400,126900,127500,128000,128500,129000,129700,130300,131000,131700,132400,133200,134000,134700,135300,135800,136300,136700,137000,137400,137900,138400,138900,139300,139700,140100,140500,140700,140900,141000,141200,141500,141900,142600,143400,144200,144900,145400,145800,146400,147100,148100,149000,149600,149800,149700,149600,149700,149900,150400,151000,151800,152500,153200,153900,154600,155300,156000,156600,157300,158100,158800,159400,160100,160700,161300,161700,162100,162500,162900,163200,163500,163900,164000,163900,163800,163600,163300,163000,162600,162200,161600,160900,160200,159500,158600,157400,156100,154700,153300,152000,150700,149500,148300,147000,145800,144600,143100,141500,140200,139300,138400,137500,136900,136400,136200,136300,135400,133700,132800,132600,131900,130900,129900,128900,127800,126600,125400,124000,122800,121800,120700,119600,118600,117400,116300,115200,114100,113000,112100,111300,110900,110800,110800,110700,110800,111200,111700,112100,112600,113400,114000,114600,115500,116400,117300,118200,119200,120100,121200,122400,123500,124600,125600,126500,127600,128800,129900,130800,131700,132400,133000,133700,134700,135300,135900,136500,137100,138000,139000,139700,140400,141300,141900,142200,142900,143500,144200,145200,146400,147500,148600,149600,150600,151600,152600,153400,154100,154900,156000,157100,158100,159200,160100,161000,161700,162600,163500,164600,165800,167000,168600,170300,171700,173000,174300,175600,176800,177800,179500,182200,184800,186700,188100,189300,190000,190100,190100,190500,191400,192900,194000
36,"North Carolina",10,89500,89500,89500,89700,90000,90400,90900,91500,92200,93000,93700,94500,95100,95700,96100,96400,96600,96600,96600,96300,95900,95400,94900,94600,94500,94800,95400,96400,97500,98800,100000,101000,101700,102200,102600,103100,103600,104300,105100,105900,106600,107400,108100,108800,109400,109900,110400,110800,111200,111700,112200,112700,113300,113800,114300,114700,115100,115300,115500,115700,115800,115900,116000,116200,116300,116500,116700,117000,117300,117700,118200,118700,119000,119200,119400,119600,119800,120100,120500,120900,121400,121800,122100,122400,122800,123400,124000,124600,125100,125600,126000,126500,127100,127900,128700,129600,130500,131300,132000,132600,133100,133600,134000,134400,134700,134900,135100,135400,135800,136300,136900,137500,138300,139000,139800,140600,141500,142400,143300,144100,145000,145900,146700,147600,148300,149100,149700,150400,151000,151600,152200,152700,153200,153600,153800,154100,154300,154500,154600,154600,154600,154500,154400,154200,154000,153700,153300,152700,152000,151400,150800,150400,150100,149800,149600,149300,148900,148400,147700,147000,146400,145900,145500,145300,145100,145100,145200,145100,144700,144300,144200,143900,143400,142700,142200,141500,140700,140200,139600,138800,138100,137500,137000,136500,136300,136300,136500,136400,136100,135700,135700,135700,135700,135800,136100,136300,136500,136500,136300,136100,136000,136100,136200,136400,136800,137200,137500,137800,138200,138600,138900,139400,140000,140300,140400,140500,140900,141300,141500,141800,142100,142200,142200,142400,143100,143700,144000,144400,145000,145300,145600,146200,146500,146800,147200,147700,148200,148800,149400,150000,150900,151700,152400,153300,154400,155400,156300,157400,158300,159200,160300,161400,162400,163400,164400,165000,165300,165700,166600,167500,168100,169100,170500,171700,172600,173700,174800,175800,176900,178600,180700,182500,183900,185000,186100,186900,187300,187600,188400,189400,190600,191400
