"RegionID","RegionName","SizeRank","1996-04","1996-05","1996-06","1996-07","1996-08","1996-09","1996-10","1996-11","1996-12","1997-01","1997-02","1997-03","1997-04","1997-05","1997-06","1997-07","1997-08","1997-09","1997-10","1997-11","1997-12","1998-01","1998-02","1998-03","1998-04","1998-05","1998-06","1998-07","1998-08","1998-09","1998-10","1998-11","1998-12","1999-01","1999-02","1999-03","1999-04","1999-05","1999-06","1999-07","1999-08","1999-09","1999-10","1999-11","1999-12","2000-01","2000-02","2000-03","2000-04","2000-05","2000-06","2000-07","2000-08","2000-09","2000-10","2000-11","2000-12","2001-01","2001-02","2001-03","2001-04","2001-05","2001-06","2001-07","2001-08","2001-09","2001-10","2001-11","2001-12","2002-01","2002-02","2002-03","2002-04","2002-05","2002-06","2002-07","2002-08","2002-09","2002-10","2002-11","2002-12","2003-01","2003-02","2003-03","2003-04","2003-05","2003-06","2003-07","2003-08","2003-09","2003-10","2003-11","2003-12","2004-01","2004-02","2004-03","2004-04","2004-05","2004-06","2004-07","2004-08","2004-09","2004-10","2004-11","2004-12","2005-01","2005-02","2005-03","2005-04","2005-05","2005-06","2005-07","2005-08","2005-09","2005-10","2005-11","2005-12","2006-01","2006-02","2006-03","2006-04","2006-05","2006-06","2006-07","2006-08","2006-09","2006-10","2006-11","2006-12","2007-01","2007-02","2007-03","2007-04","2007-05","2007-06","2007-07","2007-08","2007-09","2007-10","2007-11","2007-12","2008-01","2008-02","2008-03","2008-04","2008-05","2008-06","2008-07","2008-08","2008-09","2008-10","2008-11","2008-12","2009-01","2009-02","2009-03","2009-04","2009-05","2009-06","2009-07","2009-08","2009-09","2009-10","2009-11","2009-12","2010-01","2010-02","2010-03","2010-04","2010-05","2010-06","2010-07","2010-08","2010-09","2010-10","2010-11","2010-12","2011-01","2011-02","2011-03","2011-04","2011-05","2011-06","2011-07","2011-08","2011-09","2011-10","2011-11","2011-12","2012-01","2012-02","2012-03","2012-04","2012-05","2012-06","2012-07","2012-08","2012-09","2012-10","2012-11","2012-12","2013-01","2013-02","2013-03","2013-04","2013-05","2013-06","2013-07","2013-08","2013-09","2013-10","2013-11","2013-12","2014-01","2014-02","2014-03","2014-04","2014-05","2014-06","2014-07","2014-08","2014-09","2014-10","2014-11","2014-12","2015-01","2015-02","2015-03","2015-04","2015-05","2015-06","2015-07","2015-08","2015-09","2015-10","2015-11","2015-12","2016-01","2016-02","2016-03","2016-04","2016-05","2016-06","2016-07","2016-08","2016-09","2016-10","2016-11","2016-12","2017-01","2017-02","2017-03","2017-04","2017-05","2017-06","2017-07","2017-08","2017-09","2017-10","2017-11","2017-12","2018-01","2018-02","2018-03","2018-04","2018-05","2018-06","2018-07","2018-08","2018-09","2018-10","2018-11","2018-12","2019-01","2019-02","2019-03","2019-04","2019-05","2019-06","2019-07","2019-08","2019-09"
9,"California",1,154600,154500,154300,154200,154100,154000,153900,153900,154100,154500,154700,154800,154800,154900,155000,155300,155700,156300,157100,158000,159400,161000,162400,163700,164800,165800,166800,167600,168300,169000,169800,170700,171800,173000,174300,175300,176400,177600,178800,180200,181600,183300,185100,187100,189400,191900,194300,196600,198800,201100,203400,205700,208000,210200,212500,214800,217200,219700,222200,224600,226900,229300,231600,233900,236100,238400,240800,243300,246000,248800,251700,254600,257600,260900,264300,268000,271900,276000,280200,284500,288800,292900,296900,301200,305600,310300,315300,320600,326100,331800,337700,343800,350200,357000,364200,372100,380700,389800,399200,408400,417100,425100,432600,439500,446200,452600,458800,465000,471300,477300,483000,488400,493100,497400,501400,504800,507900,510700,513100,515500,517600,519200,519900,519500,517700,515400,512900,510200,507700,505400,502700,499600,496200,492300,488000,483000,477000,470500,463800,456700,449200,441300,432500,422700,412000,401200,390800,382000,374900,368900,363100,357400,352000,347000,341800,336100,330000,323700,318300,315000,313400,312600,312500,312800,312900,313300,314000,313800,313700,314600,315200,314300,313100,311400,309700,308000,305900,303200,301100,299500,297900,296000,294200,292200,290400,288500,286600,285400,284800,284200,284200,285200,287000,289000,291000,293100,295300,298000,301200,305100,309100,312800,317100,322900,329600,336200,343400,350300,355900,360500,364200,367000,369800,372700,375300,378000,380700,383100,385300,387500,389300,391200,393300,395300,397100,399800,403000,405700,408400,411300,414100,416500,419000,421600,423800,426100,428900,431900,434000,436000,437900,439800,441300,443400,446300,449500,452600,455800,459100,462600,465700,468500,471300,474400,477400,479900,482600,485800,488900,491600,494200,498600,504100,507700,508900,510300,511900,513900,515500,517200,519100,520800,521800,522900,524200,524300,523600,523500,523200,523200,523900,525100
54,"Texas",2,86800,86800,86900,87000,87200,87300,87400,87400,87400,87400,87400,87300,87200,87300,87300,87500,87600,87800,87900,88200,88500,88800,89200,89500,89700,90000,90100,90300,90400,90500,90700,90900,91300,91800,92400,92900,93500,94100,94800,95700,96700,98000,99400,100800,101800,102600,103200,103500,103700,103600,103500,103200,102800,102100,101300,100600,100000,99500,99100,98800,98700,98700,98800,98800,98900,99000,99000,99100,99300,99400,99600,99900,100300,100700,101200,101800,102400,103100,103800,104500,105000,105500,105900,106300,106600,107000,107300,107600,107800,108000,108300,108600,109100,109800,110700,111700,112500,113200,113700,114200,114600,115000,115500,116100,116700,117300,117900,118300,118600,118800,118900,118900,118900,118900,118900,119000,119100,119400,119700,120000,120500,121000,121700,122300,123000,123600,124200,124700,125100,125500,125700,126000,126500,127000,127500,127900,128400,128800,129000,129200,129000,128600,127900,127000,126200,125400,124600,123900,123400,123000,122600,122200,121900,121600,121300,120900,120600,120100,119600,119300,119200,119100,119100,119200,119200,119300,119600,119600,119300,119100,119000,118900,118600,118300,118000,117400,116900,116600,116200,115900,115700,115600,115300,114900,114500,114200,114100,113900,113500,113100,113000,113200,113400,113400,113500,113600,114000,114000,113700,113900,114500,114800,115000,115200,115500,116100,116700,117200,117900,118500,119000,119500,119900,120400,120900,121400,121900,122600,123400,124000,124400,124900,125600,126300,127100,127800,128500,129400,130400,131200,131900,132600,133300,134000,135000,135700,136200,137100,138000,138900,140000,141300,142800,144100,145300,146400,147500,148800,149900,150900,151900,153100,154500,155800,156900,158000,159300,160800,162400,163700,164900,166500,168200,169800,171100,172300,173000,174000,175000,176000,177200,178800,180400,182200,183700,184200,183500,182900,183500,184400,185300,186000
43,"New York",3,84700,84700,84700,84800,84800,84800,84700,84700,84700,84700,84700,84600,84400,84200,84000,83900,83800,83900,83900,84100,84300,84500,84800,85000,85100,85200,85300,85400,85500,85700,85800,85900,86100,86300,86600,86800,87000,87300,87700,88100,88400,88700,89000,89200,89400,89700,90000,90400,90700,90900,91100,91200,91300,91400,91600,91800,92000,92400,92800,93100,93600,94000,94500,94900,95400,95800,96300,96700,97300,97800,98400,99100,99700,100500,101200,101900,102600,103300,104000,104700,105500,106200,106900,107600,108400,109200,110000,110900,111900,112800,113800,114600,115400,116100,116800,117600,118400,119100,119900,120800,121600,122500,123500,124500,125500,126600,127600,128500,129300,130000,130700,131200,131800,132400,133000,133700,134200,134700,135100,135600,136100,136600,137100,137500,138000,138400,138900,139300,139700,140000,140400,140700,141000,141400,141800,142100,142400,142600,142700,142800,142700,142700,142700,142600,142400,142200,142100,141900,141600,141200,140800,140500,140200,140000,139900,139700,139600,139300,139100,138900,138900,139000,139100,139300,139600,139900,140000,140100,140100,140300,140500,140400,140100,139800,139500,139100,139000,138800,138400,138100,137900,137400,136900,136700,136500,136300,136300,136300,136300,136000,135700,135500,135600,135700,135700,135700,135700,135900,136000,136100,136300,136500,136700,137100,137500,137900,138200,138700,139200,139800,140100,140300,140300,140500,140900,141400,141700,141600,141700,141800,142000,142000,141900,142000,142100,142400,142400,142400,142600,143100,143500,143500,143600,143900,144400,144700,144800,145000,145300,145600,145900,146400,147000,147600,148000,148400,149200,150000,150600,151100,151700,152500,153400,153800,154200,154800,155700,156800,157700,158400,159200,160000,160600,160600,160900,161500,162400,163300,164000,164400,164600,165100,165900,166600,167600,168400,168600,168800,169400,170000,170500,170800
14,"Florida",4,86000,86000,86100,86100,86200,86300,86500,86800,87200,87600,87900,88200,88400,88500,88700,88800,89100,89300,89600,89900,90200,90700,91000,91300,91500,91700,92000,92300,92700,93100,93700,94200,94800,95200,95700,96000,96400,96900,97500,98100,98700,99400,100000,100600,101200,101700,102300,102700,103300,103800,104500,105300,106100,106900,107800,108800,109900,110900,112000,113000,113900,114900,115800,116800,117800,118700,119600,120500,121400,122300,123300,124200,125100,126000,126900,127800,128800,129800,131000,132100,133300,134500,135700,136900,138300,139600,141000,142500,143900,145400,147000,148600,150300,152200,154200,156300,158600,161100,164000,167000,170100,173300,176600,179900,183600,187400,191400,195800,200600,205600,210800,216300,221600,226600,231400,235900,240100,244100,247600,251000,254200,256800,258600,259600,259800,259400,258500,257300,255900,254500,252800,251000,249000,246600,243800,240700,237200,233600,230000,226300,222500,218800,214700,210700,206700,202800,198700,194700,190600,186600,182700,178800,175000,171400,167600,163700,159800,155800,152100,149300,147400,145900,144800,144100,143400,143100,143400,142900,141100,139800,139300,138100,136700,135200,133900,132600,131200,129600,128100,127100,126700,126200,125500,125100,124700,124500,124300,124200,124100,124100,124200,124600,125200,125700,126000,126200,126700,127100,127500,128000,128900,129600,130500,131600,132800,134300,135900,137600,139300,140700,142000,143400,144700,145600,146700,147900,149300,150500,151600,152800,154100,155200,156100,157000,157900,159000,160100,161300,162400,163800,165300,166600,167800,169300,170800,172200,173600,175200,176600,178100,179900,181700,183100,184700,186500,188400,190800,193400,195700,197900,199700,201300,203100,204800,206300,207700,209200,210900,212400,213900,215200,217300,219800,221800,223200,224700,226200,227400,228500,229600,230900,232200,233600,235100,236700,237300,237000,236800,237400,238400,239300,239800
21,"Illinois",5,123800,124400,124800,124900,124800,124300,123700,122800,122000,121300,120500,119500,118600,117800,117000,116000,115000,114100,113600,113600,114300,115400,116700,117900,119300,120600,121900,123300,124700,126100,127400,128400,129300,130100,130300,130200,130100,130100,130100,130200,130500,130900,131500,132200,133200,134400,135500,136400,137300,138100,139000,139900,140700,141500,142300,143000,143700,144500,145200,145800,146400,147100,147900,148800,149800,150700,151600,152500,153400,154300,155300,156200,157200,158200,159100,160100,161100,162000,162900,163900,164900,165800,166600,167600,168600,169600,170600,171600,172600,173800,174900,176000,177200,178500,179700,181100,182500,183900,185300,186600,188000,189400,190900,192400,193800,195100,196300,197400,198700,200100,201700,203700,205800,207900,210000,211900,213600,215100,216400,217800,219200,220300,221200,221800,222300,222800,223200,223500,223900,224200,224300,224400,224500,224300,223900,223300,222700,222200,221500,220500,219300,217800,216000,214200,212600,210700,208500,206100,203600,201300,199100,197000,194800,192800,190500,188100,185600,182900,180000,177400,175100,173100,171600,170400,169300,168900,169400,168600,166300,165000,164700,163700,162200,160700,159000,157300,155700,154600,153600,152600,151200,149900,148400,147400,146800,146000,144900,143800,143100,142000,140400,139700,139800,139700,139600,139500,139500,139500,139800,140200,140500,140600,140600,141200,142400,143500,144700,146100,147000,147600,148100,148300,148700,149100,149200,149600,150400,151400,152200,153200,154000,154800,155400,155800,156100,156400,156800,157500,158500,159200,159500,159800,160000,160200,160800,161500,162100,162500,163000,163600,164300,164700,165200,165800,166700,167600,168300,169000,169600,170200,170800,171600,172500,173500,174100,174700,175600,176600,177300,178100,178700,179800,181300,182100,182400,183200,183900,184400,185100,186100,187300,188900,190100,191000,192300,193100,192800,192400,192800,192900,192800,193000
47,"Pennsylvania",6,82200,82200,82200,82200,82200,82300,82300,82500,82700,83000,83200,83300,83500,83600,83800,83900,84000,84100,84200,84500,84900,85300,85700,86000,86300,86500,86800,87000,87300,87600,87900,88200,88400,88700,88900,89000,89100,89200,89300,89500,89700,89900,90200,90500,90800,91100,91400,91700,92000,92300,92500,92700,92900,93200,93500,93800,94300,94800,95300,95800,96400,97000,97600,98300,99100,99800,100400,101100,101700,102400,103000,103600,104100,104600,105200,105700,106400,107100,107900,108800,109700,110700,111600,112600,113600,114600,115700,116800,117700,118600,119500,120200,121000,121900,122800,123700,124800,125800,126900,128000,129000,130200,131300,132400,133300,134200,135000,135900,136900,138000,139100,140400,141600,142800,143900,145100,146100,147100,148000,148900,149800,150600,151500,152200,152900,153500,153900,154200,154600,155000,155400,155700,156000,156300,156400,156500,156500,156400,156400,156300,156000,155800,155600,155400,155000,154600,154000,153400,152900,152500,152200,151800,151500,151200,151000,150800,150400,149900,149500,149300,149200,149100,149100,149000,149100,149300,149400,149300,149200,149300,149400,149100,148400,147400,146700,146100,145500,144900,144100,143400,142800,142100,141300,140400,139800,139400,139000,138700,138300,138000,137700,137600,137500,137200,137100,137100,137300,137700,137900,138100,138300,138500,138400,138400,138700,139000,139100,139300,139600,139700,139700,139700,139800,140000,140400,140600,141000,141400,141700,142000,142200,142300,142400,142700,143100,143400,143600,143800,144100,144400,144700,145000,145400,145700,145900,146000,146200,146700,147300,147700,148000,148400,149100,149800,150200,150700,151600,152400,152900,153300,153800,154700,155700,156600,157300,158100,159000,159900,160900,161800,162500,163200,164200,165300,166300,167200,168100,169000,169600,170200,171000,171900,172900,173700,174500,174600,173900,173400,174000,174800,175600,176400
44,"Ohio",7,83400,83700,83900,84300,84700,85000,85400,85700,86000,86300,86500,86800,87000,87200,87500,87800,88100,88300,88600,88900,89200,89600,90000,90400,90800,91100,91400,91700,92100,92500,93000,93400,93900,94300,94700,95000,95300,95600,96000,96300,96700,97100,97500,97900,98400,98900,99400,99900,100400,100900,101300,101700,102100,102500,102900,103400,103800,104300,104700,105100,105500,105900,106400,106800,107200,107500,107900,108300,108600,109000,109400,109700,110100,110400,110700,111100,111500,111800,112200,112600,113100,113500,113900,114400,114800,115300,115700,116200,116500,116900,117200,117500,117800,118100,118400,118800,119100,119400,119700,120000,120300,120600,120900,121200,121500,121900,122100,122200,122400,122700,122900,123300,123600,123800,124000,124200,124300,124400,124500,124600,124700,124700,124700,124600,124500,124400,124300,124200,124000,123900,123800,123800,123500,123200,122800,122400,122000,121600,121100,120600,120000,119400,118800,118200,117600,116900,116300,115600,115100,114600,114200,113800,113300,113000,112600,112300,111900,111300,110800,110300,110000,109800,109500,109300,109300,109200,109300,109100,108900,109100,109300,109300,109000,108500,107900,107400,106800,106100,105300,104600,104000,103500,103100,102700,102500,102200,101900,101700,101800,101700,101500,101600,101900,101700,101500,101400,101400,101400,101500,101700,101800,102100,102600,102800,102900,103100,103400,103700,104000,104300,104600,104800,104900,105300,105700,106000,106300,106800,107300,107700,108000,108200,108600,109100,109400,109600,109800,110200,110700,111000,111300,111500,112000,112400,112600,112900,113300,113700,114200,114500,114900,115500,116100,116700,117200,117600,118200,118800,119400,119900,120600,121600,122700,123500,124200,124600,125100,125800,126400,126900,127500,127900,128300,129000,129900,130800,131300,131900,132600,133700,134900,136000,136900,137900,138700,138700,138300,138000,138600,139400,140400,141100
30,"Michigan",8,95900,96800,97700,98600,99400,100300,101100,101900,102700,103600,104500,105200,106000,106800,107500,108300,109200,110100,111100,112000,113100,114300,115400,116400,117400,118300,119100,119700,120300,120800,121200,121600,122200,122800,123500,124100,124800,125600,126400,127300,128100,128900,129800,130600,131500,132400,133300,134100,134900,135700,136500,137200,137900,138600,139200,139800,140400,140900,141300,141800,142200,142500,142800,143100,143400,143700,144100,144500,144900,145300,145900,146400,146900,147300,147800,148200,148600,149100,149700,150200,150800,151100,151300,151500,151700,152000,152400,152800,153200,153700,154200,154700,155200,155700,156200,156700,157200,157700,158200,158700,159300,159800,160400,160800,161300,161800,162300,162700,163200,163500,163800,164000,164100,164200,164200,164200,164200,164100,164000,163900,163800,163700,163400,163000,162600,162100,161400,160800,160100,159400,158700,157900,157200,156300,155200,154100,153000,151800,150600,149300,147900,146500,144800,143300,141700,140100,138300,136700,134900,133200,131500,129800,128300,126700,125200,123700,122100,120400,118700,117200,115900,114700,113800,113200,112600,112300,112600,112600,112000,111600,111600,111400,111100,110600,110100,109700,109100,108200,107400,106500,105900,105500,104900,104200,103800,103800,103900,103800,104000,104200,104500,105000,105800,106800,107900,108800,109700,110700,111700,112700,113800,114700,115400,116400,117700,119100,120200,121500,123100,124500,125600,126600,127600,128600,129500,130400,131200,132000,132900,134100,135100,136100,137000,137800,138600,139400,140300,140900,141500,142100,142700,143200,143900,144600,145300,146000,146800,147700,148600,149700,150600,151400,152500,153900,155000,155700,156400,157600,158700,159900,161000,162400,163800,165000,166000,166700,167300,168000,168900,169600,170300,171100,172400,173500,174500,175600,176800,177900,179100,180000,180800,181900,183000,184200,185500,186300,186600,186800,187400,187700,188400,189000
16,"Georgia",9,85300,85700,86100,86500,86900,87300,87700,88000,88300,88700,89000,89300,89600,90000,90400,90900,91300,91800,92300,92700,93100,93500,93900,94200,94500,94900,95400,95900,96400,97000,97600,98200,98800,99500,100100,100600,101200,101800,102500,103300,104100,104800,105600,106300,107100,107900,108600,109400,110200,111100,112000,112900,113800,114600,115500,116300,117200,118100,118800,119500,120200,120800,121500,122000,122600,123100,123600,124100,124600,125100,125600,126100,126600,127100,127500,127900,128300,128600,128900,129300,129600,129900,130300,130600,130900,131100,131400,131700,132000,132200,132500,132900,133500,134200,135100,135900,136500,136800,137000,137200,137600,138100,138600,139000,139300,139500,139600,139800,140300,140800,141400,142000,142500,143100,143800,144400,145000,145500,145900,146400,147000,147600,148000,148500,148900,149300,149700,150100,150400,150700,150800,151000,151300,151500,151600,151500,151400,151200,150900,150400,149700,149000,148000,147100,146300,145400,144300,143100,141800,140500,139300,138100,136900,135800,134400,133100,131800,130400,128900,127700,126600,125600,124800,124000,123200,122800,123100,122400,120500,119100,118600,118000,117400,116300,115100,114000,113000,111600,110200,109200,108400,107100,105900,104500,102800,101100,99900,98500,97100,95800,94900,94300,93900,93700,93500,93400,93500,93800,94200,94700,95500,96500,97300,98000,99000,100100,101200,102300,103700,105200,106500,107800,109200,110400,111200,112300,113500,114900,115900,116900,117900,118700,119400,120200,120900,121600,122200,122600,123500,124600,125400,126000,126600,127000,127400,128000,128600,129200,129800,130900,132200,133300,134300,135500,136400,137500,138400,139300,140200,141100,142000,143000,144200,145100,145700,146500,147700,148700,149700,150900,151900,153400,155400,157100,158100,159200,160600,161700,162500,164200,166800,169100,170700,172300,173700,174200,173900,173600,174000,175000,176400,177500
36,"North Carolina",10,85500,85500,85600,85700,86000,86400,86900,87400,88000,88700,89300,89900,90500,91000,91400,91800,92200,92500,92700,92800,92700,92400,92200,92100,92300,92800,93500,94300,95300,96200,97100,97900,98600,99100,99500,99900,100400,101000,101700,102400,103100,103700,104300,104900,105400,105900,106300,106800,107200,107700,108200,108700,109200,109600,110100,110500,110900,111300,111700,112000,112200,112400,112500,112700,112900,113000,113300,113500,113700,114100,114400,114700,115000,115200,115400,115500,115800,116100,116400,116900,117300,117700,118000,118300,118600,119000,119500,120000,120400,120800,121200,121700,122200,123000,123900,124800,125700,126400,127000,127600,128000,128500,128900,129200,129400,129600,129700,129800,130100,130600,131200,131800,132400,133100,133900,134600,135400,136200,136900,137600,138400,139100,139900,140700,141400,142100,142600,143100,143700,144300,144800,145300,145800,146100,146400,146600,146800,147000,147100,147100,147100,147100,146900,146800,146700,146300,145800,145200,144600,144000,143500,143000,142600,142300,142000,141700,141300,140700,140100,139500,139000,138500,138100,137800,137600,137600,137800,137700,137300,136900,136800,136500,136000,135500,135200,134700,133900,133400,132700,131900,131200,130700,130200,129700,129400,129200,129000,128700,128600,128400,128200,128000,128000,128100,128200,128500,128500,128300,128400,128500,128400,128200,128400,128700,129200,129700,130200,130400,130800,131400,131800,132100,132600,132900,133000,133100,133500,133700,133600,133800,134100,134200,134200,134500,135000,135200,135600,136200,136500,136700,137200,137700,138200,138600,138900,139200,139700,140200,140800,141500,142300,142900,143500,144300,145100,145900,146800,147700,148300,149300,150200,150900,151900,153100,154000,154700,155200,155700,156300,157200,158200,159500,160700,161700,162600,163300,163900,164700,165900,167400,169000,170700,172000,173100,174200,175000,175300,175800,176800,177800,178700,179600
