"Date","RegionName","State","Metro","County","SizeRank","Zri","MoM","QoQ","YoY","ZriRecordCnt"
2019-09-30,"New York","NY","New York-Newark-Jersey City","Queens County",0,2356,0.003302,0.010121,0.013606,2092707
2019-09-30,"Los Angeles","CA","Los Angeles-Long Beach-Anaheim","Los Angeles County",1,2804,0.003543,0.008693,0.018785,821233
2019-09-30,"Houston","TX","Houston-The Woodlands-Sugar Land","Harris County",2,1370,0.001585,0.005296,-0.000826,889202
2019-09-30,"Chicago","IL","Chicago-Naperville-Elgin","Cook County",3,1735,0.003326,0.019507,0.050246,803339
2019-09-30,"San Antonio","TX","San Antonio-New Braunfels","Bexar County",4,1192,-0.00039,0.004609,0.007733,515975
2019-09-30,"Philadelphia","PA","Philadelphia-Camden-Wilmington","Philadelphia County",5,1349,0.004722,0.024442,0.046165,553342
2019-09-30,"Phoenix","AZ","Phoenix-Mesa-Scottsdale","Maricopa County",6,1374,0.008177,0.027765,0.058065,517180
2019-09-30,"Las Vegas","NV","Las Vegas-Henderson-Paradise","Clark County",7,1338,0.005663,0.02222,0.063726,575512
2019-09-30,"San Diego","CA","San Diego-Carlsbad","San Diego County",8,2584,0.003796,0.017419,0.03887,405130
2019-09-30,"Dallas","TX","Dallas-Fort Worth-Arlington","Dallas County",9,1482,0.001818,0.008719,0.016884,371433
2019-09-30,"Austin","TX","Austin-Round Rock","Travis County",10,1629,0.003428,0.016083,0.034651,343478
2019-09-30,"San Jose","CA","San Jose-Sunnyvale-Santa Clara","Santa Clara County",11,3174,0.000483,0.008358,-0.00025,257007
2019-09-30,"Jacksonville","FL","Jacksonville","Duval County",12,1191,0.003501,0.013796,0.037128,333635
2019-09-30,"Indianapolis","IN","Indianapolis-Carmel-Anderson","Marion County",13,998,-0.001568,0.010265,0.005631,289475
2019-09-30,"San Francisco","CA","San Francisco-Oakland-Hayward","San Francisco County",14,4318,0.001681,0.007861,0.015616,180989
2019-09-30,"Charlotte","NC","Charlotte-Concord-Gastonia","Mecklenburg County",15,1382,0.004785,0.018379,0.046039,328717
2019-09-30,"Fort Worth","TX","Dallas-Fort Worth-Arlington","Tarrant County",16,1374,0.001108,0.005438,0.018962,282484
2019-09-30,"Tucson","AZ","Tucson","Pima County",17,1207,0.004768,0.018573,0.050029,248927
2019-09-30,"Columbus","OH","Columbus","Franklin County",18,1126,0.000296,0.001353,0.003009,263252
2019-09-30,"Louisville","KY","Louisville/Jefferson County","Jefferson County",19,1087,0.004936,0.029369,0.024866,254818
