"Date","RegionName","State","Metro","SizeRank","Zri","MoM","QoQ","YoY","ZriRecordCnt"
2019-09-30,"Los Angeles County","CA","Los Angeles-Long Beach-Anaheim",0,2609,0.002929,0.008547,0.007204,2313415
2019-09-30,"Cook County","IL","Chicago-Naperville-Elgin",1,1663,0.003174,0.016411,0.040642,1691635
2019-09-30,"Harris County","TX","Houston-The Woodlands-Sugar Land",2,1362,0.001452,0.005768,-0.00026,1354091
2019-09-30,"Maricopa County","AZ","Phoenix-Mesa-Scottsdale",3,1425,0.00717,0.026138,0.061947,1535741
2019-09-30,"San Diego County","CA","San Diego-Carlsbad",4,2527,0.003193,0.015655,0.034213,908700
2019-09-30,"Orange County","CA","Los Angeles-Long Beach-Anaheim",5,2672,0.002501,0.005618,-0.011611,912194
2019-09-30,"Kings County","NY","New York-Newark-Jersey City",6,2311,0.004445,0.015765,0.029022,537743
2019-09-30,"Miami-Dade County","FL","Miami-Fort Lauderdale-West Palm Beach",7,1966,0.001498,0.005509,0.028199,1110403
2019-09-30,"Dallas County","TX","Dallas-Fort Worth-Arlington",8,1459,0.001338,0.007185,0.016745,751374
2019-09-30,"Queens County","NY","New York-Newark-Jersey City",9,2128,0.000559,-0.001496,-0.029371,697951
2019-09-30,"Riverside County","CA","Riverside-San Bernardino-Ontario",10,2053,0.001232,0.006439,0.049243,722836
2019-09-30,"San Bernardino County","CA","Riverside-San Bernardino-Ontario",11,1752,0.002791,0.009212,0.03457,627571
2019-09-30,"Clark County","NV","Las Vegas-Henderson-Paradise",12,1340,0.005907,0.022555,0.063918,833044
2019-09-30,"King County","WA","Seattle-Tacoma-Bellevue",13,2171,0.003978,0.01972,0.026309,754094
2019-09-30,"Wayne County","MI","Detroit-Warren-Dearborn",14,988,0.008426,0.030864,0.048836,686875
2019-09-30,"Tarrant County","TX","Dallas-Fort Worth-Arlington",15,1367,0.000862,0.005801,0.018456,655226
2019-09-30,"Santa Clara County","CA","San Jose-Sunnyvale-Santa Clara",16,3341,0.00092,0.007275,0.004036,507292
2019-09-30,"Broward County","FL","Miami-Fort Lauderdale-West Palm Beach",17,1686,0.002017,0.005473,0.019182,923332
2019-09-30,"Bexar County","TX","San Antonio-New Braunfels",18,1194,-0.000172,0.005137,0.007774,604384
2019-09-30,"New York County","NY","New York-Newark-Jersey City",19,3793,0.003731,0.004532,0.008599,524428
2019-09-30,"Philadelphia County","PA","Philadelphia-Camden-Wilmington",20,1349,0.004665,0.024484,0.046183,553239
2019-09-30,"Alameda County","CA","San Francisco-Oakland-Hayward",21,2998,-0.000123,0.002465,0.005461,440530
2019-09-30,"Middlesex County","MA","Boston-Cambridge-Newton",22,2512,0.005296,0.034148,0.060788,545368
2019-09-30,"Suffolk County","NY","New York-Newark-Jersey City",23,2631,-0.005611,-0.034841,-0.149545,328904
2019-09-30,"Sacramento County","CA","Sacramento--Roseville--Arden-Arcade",24,1714,0.004927,0.016378,0.041547,448476
2019-09-30,"Bronx County","NY","New York-Newark-Jersey City",25,1892,0.008286,0.019041,0.026698,183080
2019-09-30,"Nassau County","NY","New York-Newark-Jersey City",26,2758,0.003515,0.01369,-0.001467,469389
2019-09-30,"Palm Beach County","FL","Miami-Fort Lauderdale-West Palm Beach",27,1843,0.002488,0.004903,0.022949,695281
2019-09-30,"Cuyahoga County","OH","Cleveland-Elyria",28,1047,0.005191,0.018663,0.049374,474218
2019-09-30,"Hillsborough County","FL","Tampa-St. Petersburg-Clearwater",29,1392,0.003717,0.012753,0.034307,502284
2019-09-30,"Allegheny County","PA","Pittsburgh",30,1159,-0.001282,0.003227,0.02608,471450
2019-09-30,"Oakland County","MI","Detroit-Warren-Dearborn",31,1554,0.002703,0.012475,0.024848,479879
2019-09-30,"Franklin County","OH","Columbus",32,1177,-0.00034,-0.001934,0.003192,419436
2019-09-30,"Hennepin County","MN","Minneapolis-St. Paul-Bloomington",33,1518,0.000339,0.007724,0.009353,436633
2019-09-30,"Orange County","FL","Orlando-Kissimmee-Sanford",34,1436,0.004125,0.016345,0.034597,471469
2019-09-30,"Fairfax County","VA","Washington-Arlington-Alexandria",35,2090,0.004372,0.017299,0.03417,388764
2019-09-30,"Contra Costa County","CA","San Francisco-Oakland-Hayward",36,2771,0.005347,0.020912,0.035253,689276
2019-09-30,"Salt Lake County","UT","Salt Lake City",37,1506,0.004823,0.015003,0.027618,381959
2019-09-30,"Travis County","TX","Austin-Round Rock",38,1638,0.003286,0.016443,0.03663,418722
2019-09-30,"Saint Louis County","MO","St. Louis",39,1151,0.005069,0.020702,0.036971,381987
2019-09-30,"Pima County","AZ","Tucson",40,1237,0.002701,0.014911,0.048992,329404
2019-09-30,"Montgomery County","MD","Washington-Arlington-Alexandria",41,1923,0.004313,0.017272,0.017127,343609
2019-09-30,"Honolulu County","HI","Urban Honolulu",42,2360,0.002101,0.007558,0.005973,311906
2019-09-30,"Westchester County","NY","New York-Newark-Jersey City",43,2319,-0.001822,-0.004975,0.00384,183927
2019-09-30,"Milwaukee County","WI","Milwaukee-Waukesha-West Allis",44,1010,0.001282,0.006525,0.024694,165551
2019-09-30,"Fresno County","CA","Fresno",45,1308,0.004801,0.017654,0.04853,243370
2019-09-30,"Shelby County","TN","Memphis",46,1019,0.004125,0.02076,0.039395,326659
