"Date","RegionName","State","Metro","County","City","SizeRank","Zri","MoM","QoQ","YoY","ZriRecordCnt"
2019-09-30,"Northeast Dallas","TX","Dallas-Fort Worth-Arlington","Dallas County","Dallas",0,1378,0.002253,0.005106,0.01533,69404
2019-09-30,"Maryvale","AZ","Phoenix-Mesa-Scottsdale","Maricopa County","Phoenix",1,1207,0.005985,0.024117,0.045399,56624
2019-09-30,"Paradise","NV","Las Vegas-Henderson-Paradise","Clark County","Las Vegas",2,1352,0.005003,0.019782,0.058987,73542
2019-09-30,"Upper West Side","NY","New York-Newark-Jersey City","New York County","New York",3,4053,0.005706,-0.004417,-0.024929,87984
2019-09-30,"South Los Angeles","CA","Los Angeles-Long Beach-Anaheim","Los Angeles County","Los Angeles",4,2392,-0.001786,0.002019,-0.024496,37045
2019-09-30,"Upper East Side","NY","New York-Newark-Jersey City","New York County","New York",5,3941,0.01083,-0.000657,-0.069525,102964
2019-09-30,"Sunrise Manor","NV","Las Vegas-Henderson-Paradise","Clark County","Las Vegas",6,1163,0.006208,0.021862,0.045323,51178
2019-09-30,"Spring Valley","NV","Las Vegas-Henderson-Paradise","Clark County","Las Vegas",7,1382,0.00536,0.018975,0.064203,85221
2019-09-30,"Southeast Los Angeles","CA","Los Angeles-Long Beach-Anaheim","Los Angeles County","Los Angeles",8,2343,-0.002498,-0.003498,-0.035518,27451
2019-09-30,"East New York","NY","New York-Newark-Jersey City","Kings County","New York",9,2217,-0.000011,0.008635,-0.002359,25094
2019-09-30,"Paradise Valley","AZ","Phoenix-Mesa-Scottsdale","Maricopa County","Phoenix",10,1508,0.008725,0.03229,0.060464,66410
2019-09-30,"Washington Heights","NY","New York-Newark-Jersey City","New York County","New York",11,2589,0.006358,0.024479,0.024961,14252
2019-09-30,"Deer Valley","AZ","Phoenix-Mesa-Scottsdale","Maricopa County","Phoenix",12,1352,0.006935,0.02417,0.055868,61348
2019-09-30,"North Mountain","AZ","Phoenix-Mesa-Scottsdale","Maricopa County","Phoenix",13,1345,0.007358,0.025084,0.045642,55218
2019-09-30,"Astoria","NY","New York-Newark-Jersey City","Queens County","New York",14,2216,0.006056,0.013391,-0.000949,30513
2019-09-30,"Far North","TX","Dallas-Fort Worth-Arlington","Dallas County","Dallas",15,1439,-0.000685,-0.000311,-0.017227,39800
2019-09-30,"Bedford Stuyvesant","NY","New York-Newark-Jersey City","Kings County","New York",16,2580,0.007949,0.025219,0.02703,34922
2019-09-30,"Williamsburg","NY","New York-Newark-Jersey City","Kings County","New York",17,2997,0.011869,0.045508,0.066255,25619
2019-09-30,"Hollywood","CA","Los Angeles-Long Beach-Anaheim","Los Angeles County","Los Angeles",18,2822,0.015201,0.01897,0.037495,15741
2019-09-30,"Camelback East","AZ","Phoenix-Mesa-Scottsdale","Maricopa County","Phoenix",19,1605,0.010925,0.042209,0.094641,58587
2019-09-30,"Flatbush","NY","New York-Newark-Jersey City","Kings County","New York",20,2127,0.006257,0.01256,0.022815,17020
2019-09-30,"Southeast Dallas","TX","Dallas-Fort Worth-Arlington","Dallas County","Dallas",21,1155,0.002344,0.011907,0.05755,33440
2019-09-30,"Alhambra","AZ","Phoenix-Mesa-Scottsdale","Maricopa County","Phoenix",22,1318,0.00768,0.023383,0.041448,38172
2019-09-30,"Crown Heights","NY","New York-Newark-Jersey City","Kings County","New York",23,2411,0.003074,0.013129,0.018515,17573
