"Date","RegionName","State","Metro","County","City","SizeRank","Zri","MoM","QoQ","YoY","ZriRecordCnt"
2019-09-30,"10025","NY","New York-Newark-Jersey City","New York County","New York",0,3842,0.003303,-0.002909,0.023605,30458
2019-09-30,"60657","IL","Chicago-Naperville-Elgin","Cook County","Chicago",1,2218,0.007628,0.037825,0.043853,31921
2019-09-30,"10023","NY","New York-Newark-Jersey City","New York County","New York",2,4095,0.007849,0.010625,0.00645,35900
2019-09-30,"77494","TX","Houston-The Woodlands-Sugar Land","Harris County","Katy",3,1761,0.002952,0.004899,-0.008134,42821
2019-09-30,"60614","IL","Chicago-Naperville-Elgin","Cook County","Chicago",4,2457,0.005887,0.034627,0.05628,35423
2019-09-30,"77449","TX","Houston-The Woodlands-Sugar Land","Harris County","Katy",5,1416,0.003858,0.007241,-0.004357,39739
2019-09-30,"10002","NY","New York-Newark-Jersey City","New York County","New York",6,3825,0.008292,0.02257,0.068115,12303
2019-09-30,"77084","TX","Houston-The Woodlands-Sugar Land","Harris County","Houston",7,1409,0.004934,0.011388,0.001693,30383
2019-09-30,"79936","TX","El Paso","El Paso County","El Paso",8,938,0.001683,0.007352,-0.012528,32411
2019-09-30,"60640","IL","Chicago-Naperville-Elgin","Cook County","Chicago",9,1652,0.000932,0.007792,-0.01019,21621
2019-09-30,"11226","NY","New York-Newark-Jersey City","Kings County","New York",10,2164,0.011176,0.022014,0.02636,10846
2019-09-30,"10467","NY","New York-Newark-Jersey City","Bronx County","New York",11,1714,0.004643,0.00107,0.019712,11423
2019-09-30,"78660","TX","Austin-Round Rock","Travis County","Pflugerville",12,1481,0.004945,0.020497,0.027398,33920
2019-09-30,"94109","CA","San Francisco-Oakland-Hayward","San Francisco County","San Francisco",13,4465,-0.000589,0.003833,0.022208,9858
2019-09-30,"00926","LA",,"Sabine Parish","Zwolle",14,852,-0.002579,-0.024741,0.047403,33
2019-09-30,"10016","NY","New York-Newark-Jersey City","New York County","New York",15,3361,0.007339,0.02487,0.031169,30727
2019-09-30,"37013","TN","Nashville-Davidson--Murfreesboro--Franklin","Davidson County","Nashville",16,1332,-0.005004,-0.002427,-0.003384,28384
2019-09-30,"32162","FL","The Villages","Sumter County","The Villages",17,1512,-0.007127,-0.049964,-0.120779,35430
2019-09-30,"60647","IL","Chicago-Naperville-Elgin","Cook County","Chicago",18,1998,0.006974,0.044863,0.088822,22335
2019-09-30,"11201","NY","New York-Newark-Jersey City","Kings County","New York",19,2916,0.006682,0.021882,-0.010099,27287
2019-09-30,"11235","NY","New York-Newark-Jersey City","Kings County","New York",20,2094,0.00021,0.008577,0.030595,30076
2019-09-30,"11375","NY","New York-Newark-Jersey City","Queens County","New York",21,2049,-0.000159,-0.000343,-0.050315,43207
2019-09-30,"90250","CA","Los Angeles-Long Beach-Anaheim","Los Angeles County","Hawthorne",22,2627,0.0032,0.003466,-0.030428,15032
2019-09-30,"78130","TX","San Antonio-New Braunfels","Comal County","New Braunfels",23,1375,-0.000512,0.000811,0.000943,30536
2019-09-30,"37211","TN","Nashville-Davidson--Murfreesboro--Franklin","Davidson County","Nashville",24,1363,0.005717,0.011415,0.016323,24948
2019-09-30,"10029","NY","New York-Newark-Jersey City","New York County","New York",25,3198,-0.008184,-0.021635,0.003485,7656
2019-09-30,"10009","NY","New York-Newark-Jersey City","New York County","New York",26,3610,-0.001533,0.005247,0.115392,7533
2019-09-30,"77573","TX","Houston-The Woodlands-Sugar Land","Galveston County","League City",27,1350,-0.005816,-0.016221,-0.020625,32408
2019-09-30,"60618","IL","Chicago-Naperville-Elgin","Cook County","Chicago",28,1860,0.005985,0.02743,0.05715,22058
2019-09-30,"77584","TX","Houston-The Woodlands-Sugar Land","Brazoria County","Pearland",29,1573,-0.004977,-0.001795,0.010196,29246
2019-09-30,"10011","NY","New York-Newark-Jersey City","New York County","New York",30,3904,-0.002122,0.008361,-0.001722,28263
2019-09-30,"20002","DC","Washington-Arlington-Alexandria","District of Columbia","Washington",31,2331,0.003802,0.007581,0.011299,26059
2019-09-30,"10128","NY","New York-Newark-Jersey City","New York County","New York",32,3741,-0.004347,-0.029608,-0.051342,25048
2019-09-30,"28269","NC","Charlotte-Concord-Gastonia","Mecklenburg County","Charlotte",33,1295,0.000072,0.000499,0.035504,29341
2019-09-30,"78613","TX","Austin-Round Rock","Williamson County","Cedar Park",34,1518,0.00264,0.011813,0.003987,30138
2019-09-30,"77433","TX","Houston-The Woodlands-Sugar Land","Harris County","Cypress",35,1509,0.006737,0.023908,0.029054,37836
2019-09-30,"78572","TX","McAllen-Edinburg-Mission","Hidalgo County","Mission",36,820,0.000395,-0.00034,-0.021331,21710
2019-09-30,"30349","GA","Atlanta-Sandy Springs-Roswell","Clayton County","Riverdale",37,1180,0.006045,0.015502,0.047839,30418
2019-09-30,"79912","TX","El Paso","El Paso County","El Paso",38,1134,0.005772,0.020122,0.034181,22968
2019-09-30,"75052","TX","Dallas-Fort Worth-Arlington","Dallas County","Grand Prairie",39,1317,0.000303,0.005406,0.004993,29820
2019-09-30,"94565","CA","San Francisco-Oakland-Hayward","Contra Costa County","Pittsburg",40,2308,0.002769,0.011324,0.0548,47470
2019-09-30,"37042","TN","Clarksville","Montgomery County","Clarksville",41,881,0.007632,0.017339,-0.018102,30205
2019-09-30,"11206","NY","New York-Newark-Jersey City","Kings County","New York",42,2671,0.011439,0.035539,0.063038,11565
2019-09-30,"73099","OK","Oklahoma City","Canadian County","Yukon",43,1155,0.000912,0.005548,0.013982,28253
2019-09-30,"90046","CA","Los Angeles-Long Beach-Anaheim","Los Angeles County","Los Angeles",44,3207,0.005538,0.007409,-0.007074,12785
2019-09-30,"20009","DC","Washington-Arlington-Alexandria","District of Columbia","Washington",45,2617,0.002498,0.009082,0.029961,20826
2019-09-30,"77429","TX","Houston-The Woodlands-Sugar Land","Harris County","Cypress",46,1336,0.001658,-0.002429,-0.015501,32424
2019-09-30,"78245","TX","San Antonio-New Braunfels","Bexar County","San Antonio",47,1241,-0.001673,-0.006788,-0.000483,30014
2019-09-30,"77479","TX","Houston-The Woodlands-Sugar Land","Fort Bend County","Sugar Land",48,1765,-0.002752,-0.004361,-0.012629,30546
2019-09-30,"10462","NY","New York-Newark-Jersey City","Bronx County","New York",49,1682,0.009252,0.034693,0.017432,10381
2019-09-30,"10456","NY","New York-Newark-Jersey City","Bronx County","New York",50,1907,0.025058,0.054506,0.028094,3897
2019-09-30,"60613","IL","Chicago-Naperville-Elgin","Cook County","Chicago",51,1765,0.003792,0.022988,0.018327,25609
2019-09-30,"30044","GA","Atlanta-Sandy Springs-Roswell","Gwinnett County","Lawrenceville",52,1382,0.001487,0.009343,0.030747,29977
2019-09-30,"10019","NY","New York-Newark-Jersey City","New York County","New York",53,3823,0.005441,0.010456,-0.001743,21665
2019-09-30,"63376","MO","St. Louis","Saint Charles County","Saint Peters",54,1169,-0.004689,-0.005722,-0.011487,30027
2019-09-30,"10003","NY","New York-Newark-Jersey City","New York County","New York",55,4248,-0.013071,-0.021465,-0.069052,23099
2019-09-30,"28277","NC","Charlotte-Concord-Gastonia","Mecklenburg County","Charlotte",56,1575,0.005555,0.017316,0.040634,29827
2019-09-30,"60625","IL","Chicago-Naperville-Elgin","Cook County","Chicago",57,1708,0.003001,0.016807,0.035188,16014
2019-09-30,"30043","GA","Atlanta-Sandy Springs-Roswell","Gwinnett County","Lawrenceville",58,1470,0.001079,0.013666,0.027174,30439
2019-09-30,"11230","NY","New York-Newark-Jersey City","Kings County","New York",59,2089,0.003119,0.009953,0.009356,17784
2019-09-30,"11212","NY","New York-Newark-Jersey City","Kings County","New York",60,2092,0.003441,0.011373,0.061204,7711
2019-09-30,"77036","TX","Houston-The Woodlands-Sugar Land","Harris County","Houston",61,1163,0.003175,0.000888,-0.027686,11528
2019-09-30,"10463","NY","New York-Newark-Jersey City","New York County","New York",62,2024,0.011601,0.015645,0.050665,22823
2019-09-30,"60629","IL","Chicago-Naperville-Elgin","Cook County","Chicago",63,1344,0.00216,0.012449,-0.002515,21709
2019-09-30,"11209","NY","New York-Newark-Jersey City","Kings County","New York",64,2080,-0.00049,-0.000033,-0.01983,23217
2019-09-30,"30096","GA","Atlanta-Sandy Springs-Roswell","Gwinnett County","Duluth",65,1441,0.001497,0.00644,0.027836,19544
2019-09-30,"11221","NY","New York-Newark-Jersey City","Kings County","New York",66,2514,0.008157,0.025677,0.032717,20311
2019-09-30,"07030","NJ","New York-Newark-Jersey City","Hudson County","Hoboken",67,2575,0.0059,0.016703,-0.001934,22102
2019-09-30,"98052","WA","Seattle-Tacoma-Bellevue","King County","Redmond",68,2370,0.003485,0.021136,0.048575,26045
2019-09-30,"30024","GA","Atlanta-Sandy Springs-Roswell","Gwinnett County","Suwanee",69,1627,0.00369,0.014412,0.013747,30966
2019-09-30,"60610","IL","Chicago-Naperville-Elgin","Cook County","Chicago",70,2165,-0.000966,0.02188,0.037238,29299
2019-09-30,"78704","TX","Austin-Round Rock","Travis County","Austin",71,1869,0.003323,0.016518,0.035758,19917
2019-09-30,"77077","TX","Houston-The Woodlands-Sugar Land","Harris County","Houston",72,1393,-0.000245,-0.00428,-0.018784,17718
2019-09-30,"85032","AZ","Phoenix-Mesa-Scottsdale","Maricopa County","Phoenix",73,1439,0.00774,0.028616,0.055519,24056
2019-09-30,"77379","TX","Houston-The Woodlands-Sugar Land","Harris County","Spring",74,1391,0.015174,0.023228,-0.007204,28771
2019-09-30,"75287","TX","Dallas-Fort Worth-Arlington","Dallas County","Dallas",75,1367,-0.004899,-0.018622,-0.058918,10241
2019-09-30,"10024","NY","New York-Newark-Jersey City","New York County","New York",76,4269,0.015675,0.000548,-0.059625,26719
2019-09-30,"78666","TX","Austin-Round Rock","Hays County","San Marcos",77,1366,-0.002251,0.003768,0.0191,12584
2019-09-30,"21234","MD","Baltimore-Columbia-Towson","Baltimore County","Parkville",78,1452,0.006716,0.009933,-0.008134,20863
2019-09-30,"33160","FL","Miami-Fort Lauderdale-West Palm Beach","Miami-Dade County","Sunny Isles Beach",79,2468,0.001107,0.003349,0.017562,48846
2019-09-30,"23464","VA","Virginia Beach-Norfolk-Newport News","Virginia Beach City","Virginia Beach",80,1451,0.001636,0.008038,0.015551,26042
2019-09-30,"34787","FL","Orlando-Kissimmee-Sanford","Orange County","Winter Garden",81,1446,0.008522,0.021658,0.057647,27631
