"RegionID","RegionName","SizeRank","2010-11","2010-12","2011-01","2011-02","2011-03","2011-04","2011-05","2011-06","2011-07","2011-08","2011-09","2011-10","2011-11","2011-12","2012-01","2012-02","2012-03","2012-04","2012-05","2012-06","2012-07","2012-08","2012-09","2012-10","2012-11","2012-12","2013-01","2013-02","2013-03","2013-04","2013-05","2013-06","2013-07","2013-08","2013-09","2013-10","2013-11","2013-12","2014-01","2014-02","2014-03","2014-04","2014-05","2014-06","2014-07","2014-08","2014-09","2014-10","2014-11","2014-12","2015-01","2015-02","2015-03","2015-04","2015-05","2015-06","2015-07","2015-08","2015-09","2015-10","2015-11","2015-12","2016-01","2016-02","2016-03","2016-04","2016-05","2016-06","2016-07","2016-08","2016-09","2016-10","2016-11","2016-12","2017-01","2017-02","2017-03","2017-04","2017-05","2017-06","2017-07","2017-08","2017-09","2017-10","2017-11","2017-12","2018-01","2018-02","2018-03","2018-04","2018-05","2018-06","2018-07","2018-08","2018-09","2018-10","2018-11","2018-12","2019-01","2019-02","2019-03","2019-04","2019-05","2019-06"
9,"California",1,1.27,1.27,1.268,1.264,1.26,1.256,1.256,1.258,1.262,1.264,1.266,1.264,1.262,1.26,1.256,1.254,1.252,1.252,1.256,1.26,1.266,1.27,1.272,1.27,1.27,1.268,1.266,1.268,1.272,1.276,1.28,1.286,1.29,1.296,1.304,1.308,1.308,1.306,1.306,1.306,1.308,1.312,1.316,1.322,1.332,1.346,1.362,1.376,1.386,1.394,1.402,1.408,1.414,1.422,1.43,1.438,1.448,1.456,1.462,1.466,1.466,1.468,1.472,1.48,1.488,1.498,1.508,1.518,1.526,1.534,1.54,1.544,1.546,1.548,1.55,1.552,1.554,1.56,1.568,1.578,1.588,1.598,1.606,1.61,1.612,1.614,1.614,1.616,1.62,1.622,1.624,1.626,1.626,1.626,1.626,1.628,1.64,1.654,1.666,1.672,1.672,1.676,1.682,1.69
54,"Texas",2,0.73,0.73,0.73,0.728,0.728,0.728,0.728,0.73,0.732,0.732,0.73,0.728,0.726,0.724,0.722,0.722,0.722,0.724,0.728,0.732,0.736,0.742,0.744,0.744,0.742,0.74,0.74,0.74,0.74,0.744,0.748,0.754,0.76,0.764,0.768,0.77,0.774,0.776,0.776,0.776,0.774,0.774,0.778,0.78,0.786,0.794,0.802,0.806,0.81,0.81,0.812,0.812,0.816,0.82,0.824,0.83,0.836,0.842,0.842,0.842,0.838,0.836,0.836,0.838,0.84,0.842,0.844,0.846,0.848,0.85,0.852,0.85,0.848,0.846,0.844,0.842,0.84,0.842,0.844,0.848,0.852,0.856,0.858,0.858,0.856,0.856,0.856,0.856,0.856,0.856,0.856,0.856,0.856,0.856,0.856,0.856,0.86,0.864,0.87,0.87,0.87,0.872,0.872,0.874
43,"New York",3,1.068,1.068,1.068,1.066,1.062,1.062,1.066,1.072,1.074,1.078,1.078,1.078,1.074,1.068,1.06,1.054,1.054,1.06,1.072,1.08,1.088,1.092,1.092,1.088,1.08,1.078,1.078,1.078,1.074,1.072,1.076,1.082,1.088,1.092,1.096,1.098,1.098,1.094,1.086,1.074,1.066,1.066,1.07,1.074,1.086,1.1,1.116,1.122,1.12,1.118,1.116,1.114,1.116,1.12,1.126,1.138,1.15,1.16,1.164,1.16,1.152,1.144,1.14,1.14,1.144,1.15,1.16,1.168,1.178,1.184,1.188,1.186,1.182,1.176,1.17,1.164,1.162,1.164,1.17,1.178,1.188,1.196,1.202,1.204,1.2,1.192,1.184,1.18,1.18,1.182,1.182,1.182,1.182,1.182,1.182,1.184,1.19,1.198,1.202,1.204,1.204,1.204,1.198,1.194
14,"Florida",4,0.852,0.854,0.854,0.852,0.85,0.848,0.846,0.848,0.848,0.848,0.848,0.848,0.846,0.848,0.848,0.848,0.848,0.852,0.856,0.86,0.864,0.866,0.868,0.87,0.872,0.874,0.876,0.878,0.878,0.882,0.886,0.892,0.898,0.904,0.91,0.914,0.92,0.922,0.926,0.928,0.93,0.932,0.936,0.936,0.938,0.944,0.952,0.958,0.96,0.962,0.966,0.968,0.972,0.976,0.98,0.984,0.99,0.996,0.998,0.998,0.998,1,1.006,1.01,1.016,1.02,1.026,1.03,1.034,1.036,1.038,1.04,1.042,1.046,1.05,1.054,1.056,1.056,1.056,1.058,1.062,1.064,1.066,1.066,1.064,1.066,1.072,1.076,1.082,1.084,1.086,1.086,1.086,1.086,1.086,1.088,1.096,1.106,1.116,1.12,1.122,1.126,1.128,1.132
21,"Illinois",5,1.062,1.062,1.06,1.054,1.046,1.042,1.044,1.048,1.05,1.05,1.048,1.042,1.036,1.03,1.026,1.022,1.02,1.02,1.024,1.028,1.038,1.044,1.05,1.052,1.05,1.046,1.04,1.036,1.034,1.038,1.042,1.05,1.054,1.06,1.062,1.066,1.066,1.068,1.07,1.068,1.068,1.066,1.068,1.07,1.076,1.084,1.092,1.092,1.09,1.086,1.082,1.078,1.078,1.08,1.086,1.092,1.1,1.106,1.11,1.108,1.104,1.098,1.098,1.096,1.1,1.102,1.106,1.112,1.116,1.118,1.12,1.118,1.114,1.11,1.104,1.1,1.1,1.102,1.108,1.114,1.124,1.13,1.136,1.138,1.136,1.132,1.126,1.122,1.122,1.12,1.12,1.12,1.118,1.118,1.118,1.12,1.124,1.13,1.134,1.136,1.138,1.14,1.142,1.148
47,"Pennsylvania",6,0.836,0.834,0.83,0.826,0.822,0.822,0.824,0.828,0.83,0.832,0.834,0.832,0.828,0.822,0.818,0.818,0.822,0.828,0.834,0.838,0.842,0.844,0.846,0.844,0.842,0.836,0.834,0.834,0.834,0.838,0.842,0.846,0.85,0.856,0.858,0.86,0.86,0.856,0.852,0.85,0.848,0.848,0.846,0.848,0.854,0.864,0.874,0.876,0.874,0.872,0.87,0.866,0.864,0.866,0.872,0.882,0.892,0.898,0.898,0.894,0.888,0.882,0.88,0.88,0.884,0.89,0.898,0.904,0.908,0.91,0.908,0.906,0.902,0.898,0.892,0.888,0.888,0.888,0.892,0.898,0.904,0.91,0.912,0.912,0.91,0.906,0.902,0.9,0.9,0.902,0.902,0.9,0.9,0.9,0.9,0.902,0.91,0.918,0.924,0.926,0.926,0.928,0.93,0.932
44,"Ohio",7,0.686,0.686,0.688,0.688,0.69,0.692,0.694,0.698,0.704,0.71,0.714,0.714,0.714,0.712,0.712,0.712,0.712,0.712,0.71,0.71,0.712,0.714,0.716,0.716,0.718,0.718,0.718,0.718,0.72,0.722,0.724,0.73,0.734,0.738,0.742,0.744,0.744,0.744,0.74,0.738,0.736,0.736,0.738,0.74,0.746,0.752,0.756,0.758,0.758,0.756,0.756,0.756,0.758,0.76,0.766,0.772,0.778,0.782,0.782,0.78,0.776,0.772,0.772,0.772,0.772,0.774,0.78,0.784,0.786,0.786,0.786,0.786,0.784,0.782,0.778,0.776,0.774,0.774,0.776,0.782,0.788,0.796,0.8,0.8,0.798,0.794,0.792,0.79,0.788,0.786,0.786,0.784,0.784,0.784,0.784,0.786,0.79,0.796,0.8,0.802,0.804,0.806,0.806,0.808
30,"Michigan",8,0.832,0.83,0.828,0.822,0.82,0.818,0.818,0.822,0.828,0.834,0.838,0.832,0.82,0.804,0.798,0.794,0.792,0.794,0.796,0.802,0.806,0.808,0.812,0.812,0.814,0.812,0.81,0.804,0.802,0.802,0.806,0.812,0.818,0.826,0.832,0.836,0.84,0.84,0.838,0.836,0.832,0.832,0.832,0.834,0.838,0.842,0.85,0.854,0.856,0.854,0.854,0.852,0.852,0.854,0.856,0.862,0.868,0.876,0.878,0.88,0.876,0.872,0.872,0.872,0.876,0.878,0.884,0.886,0.89,0.892,0.894,0.896,0.896,0.896,0.892,0.892,0.892,0.892,0.894,0.9,0.906,0.912,0.918,0.922,0.922,0.92,0.916,0.916,0.914,0.912,0.912,0.912,0.912,0.91,0.91,0.912,0.92,0.93,0.938,0.94,0.94,0.94,0.936,0.936
16,"Georgia",9,0.666,0.666,0.664,0.66,0.658,0.658,0.658,0.658,0.658,0.658,0.658,0.654,0.652,0.648,0.646,0.644,0.642,0.64,0.64,0.642,0.644,0.646,0.646,0.646,0.644,0.642,0.64,0.64,0.64,0.64,0.642,0.646,0.65,0.652,0.656,0.658,0.658,0.66,0.658,0.658,0.658,0.658,0.66,0.66,0.664,0.666,0.67,0.672,0.672,0.674,0.674,0.674,0.674,0.676,0.678,0.684,0.688,0.694,0.694,0.694,0.69,0.688,0.69,0.692,0.696,0.7,0.704,0.708,0.71,0.712,0.712,0.712,0.712,0.712,0.71,0.71,0.71,0.712,0.714,0.718,0.724,0.728,0.732,0.734,0.736,0.736,0.736,0.736,0.738,0.738,0.74,0.74,0.74,0.74,0.74,0.742,0.748,0.754,0.76,0.764,0.766,0.768,0.77,0.774
36,"North Carolina",10,0.662,0.662,0.662,0.662,0.662,0.664,0.666,0.668,0.67,0.674,0.674,0.676,0.676,0.674,0.674,0.674,0.674,0.676,0.678,0.68,0.682,0.686,0.686,0.686,0.684,0.682,0.678,0.676,0.676,0.676,0.68,0.684,0.688,0.692,0.696,0.696,0.696,0.696,0.694,0.692,0.692,0.694,0.694,0.694,0.698,0.7,0.704,0.706,0.706,0.706,0.706,0.706,0.708,0.71,0.714,0.718,0.724,0.728,0.728,0.724,0.72,0.718,0.718,0.722,0.726,0.73,0.734,0.736,0.74,0.74,0.74,0.74,0.74,0.738,0.736,0.736,0.736,0.738,0.742,0.746,0.752,0.756,0.76,0.76,0.758,0.756,0.754,0.754,0.754,0.754,0.754,0.754,0.754,0.754,0.754,0.756,0.762,0.77,0.778,0.78,0.78,0.782,0.784,0.79
