"RegionID","RegionName","SizeRank","2010-09","2010-10","2010-11","2010-12","2011-01","2011-02","2011-03","2011-04","2011-05","2011-06","2011-07","2011-08","2011-09","2011-10","2011-11","2011-12","2012-01","2012-02","2012-03","2012-04","2012-05","2012-06","2012-07","2012-08","2012-09","2012-10","2012-11","2012-12","2013-01","2013-02","2013-03","2013-04","2013-05","2013-06","2013-07","2013-08","2013-09","2013-10","2013-11","2013-12","2014-01","2014-02","2014-03","2014-04","2014-05","2014-06","2014-07","2014-08","2014-09","2014-10","2014-11","2014-12","2015-01","2015-02","2015-03","2015-04","2015-05","2015-06","2015-07","2015-08","2015-09","2015-10","2015-11","2015-12","2016-01","2016-02","2016-03","2016-04","2016-05","2016-06","2016-07","2016-08","2016-09","2016-10","2016-11","2016-12","2017-01","2017-02","2017-03","2017-04","2017-05","2017-06","2017-07","2017-08","2017-09","2017-10","2017-11","2017-12","2018-01","2018-02","2018-03","2018-04","2018-05","2018-06","2018-07","2018-08","2018-09","2018-10","2018-11","2018-12","2019-01","2019-02","2019-03","2019-04","2019-05","2019-06","2019-07","2019-08","2019-09"
9,"California",1,1554,1566,1568,1572,1565,1552,1540,1531,1527,1527,1531,1543,1555,1563,1571,1572,1573,1576,1584,1592,1602,1611,1619,1629,1639,1647,1653,1657,1666,1672,1682,1692,1701,1708,1712,1719,1726,1736,1740,1744,1753,1757,1756,1755,1760,1770,1793,1819,1842,1864,1889,1909,1927,1941,1953,1965,1979,1994,2010,2025,2036,2047,2055,2061,2069,2076,2085,2098,2111,2128,2142,2160,2169,2177,2183,2179,2172,2168,2170,2181,2190,2203,2213,2218,2215,2213,2208,2207,2204,2205,2209,2219,2226,2239,2244,2248,2252,2257,2258,2256,2255,2248,2241,2236,2251,2268,2280,2288,2293
54,"Texas",2,977,983,984,977,955,936,927,922,919,918,917,910,904,896,889,882,880,878,880,879,879,882,888,896,905,908,909,909,911,912,914,920,928,936,944,951,959,976,994,1010,1020,1025,1036,1047,1056,1064,1074,1081,1085,1088,1092,1096,1103,1109,1114,1120,1127,1136,1144,1152,1158,1160,1161,1163,1165,1167,1172,1178,1186,1192,1197,1201,1203,1203,1200,1194,1190,1187,1187,1187,1189,1196,1199,1202,1201,1198,1200,1199,1198,1199,1204,1208,1213,1219,1224,1227,1230,1233,1236,1239,1241,1237,1232,1227,1225,1227,1228,1229,1228
43,"New York",3,1580,1576,1577,1578,1567,1557,1549,1545,1544,1549,1561,1571,1579,1582,1581,1578,1578,1577,1579,1587,1597,1609,1624,1636,1640,1641,1645,1648,1652,1654,1660,1668,1684,1701,1722,1736,1751,1770,1782,1793,1801,1805,1807,1815,1818,1820,1830,1845,1853,1865,1870,1875,1881,1887,1901,1913,1927,1941,1961,1984,2004,2019,2030,2040,2042,2042,2044,2049,2053,2066,2079,2094,2105,2118,2125,2128,2127,2119,2114,2102,2097,2095,2100,2108,2110,2110,2106,2103,2101,2100,2103,2107,2112,2118,2122,2128,2132,2136,2140,2143,2145,2144,2141,2139,2140,2145,2149,2154,2160
14,"Florida",4,921,950,964,969,972,978,983,986,987,988,992,997,1001,1003,1006,1009,1012,1016,1021,1026,1033,1040,1047,1053,1055,1056,1057,1057,1056,1056,1056,1058,1065,1074,1084,1095,1101,1106,1110,1112,1115,1116,1118,1120,1124,1128,1137,1145,1153,1159,1166,1173,1182,1189,1196,1205,1214,1222,1227,1232,1235,1241,1248,1255,1265,1274,1281,1291,1302,1312,1320,1327,1330,1333,1334,1334,1331,1329,1329,1329,1331,1336,1342,1347,1346,1347,1347,1349,1353,1357,1363,1370,1376,1384,1390,1394,1396,1401,1404,1407,1409,1409,1409,1409,1412,1416,1421,1425,1426
21,"Illinois",5,1152,1181,1190,1202,1201,1200,1200,1202,1205,1208,1207,1204,1205,1202,1201,1196,1192,1190,1185,1182,1183,1181,1184,1192,1197,1199,1198,1190,1207,1214,1223,1238,1248,1254,1261,1273,1282,1287,1289,1291,1293,1294,1295,1300,1302,1304,1312,1318,1332,1338,1339,1337,1341,1343,1345,1344,1348,1354,1358,1362,1349,1342,1337,1341,1343,1347,1348,1354,1359,1368,1374,1378,1378,1372,1365,1359,1355,1353,1353,1360,1369,1376,1386,1391,1389,1387,1384,1376,1372,1372,1379,1383,1392,1401,1409,1412,1413,1413,1411,1407,1405,1405,1409,1418,1429,1440,1450,1456,1457
47,"Pennsylvania",6,979,984,983,977,964,950,939,929,923,920,922,927,932,928,926,922,917,918,923,927,936,943,948,951,955,954,954,955,957,957,960,964,970,972,982,989,989,988,985,977,973,971,971,973,975,977,982,991,998,1000,1001,998,997,996,997,999,1009,1018,1031,1039,1040,1038,1037,1035,1038,1039,1041,1046,1057,1070,1080,1082,1082,1079,1074,1071,1069,1071,1074,1078,1085,1092,1097,1101,1102,1102,1102,1105,1109,1107,1107,1111,1118,1128,1137,1142,1142,1142,1140,1141,1141,1140,1140,1143,1147,1153,1160,1167,1173
44,"Ohio",7,719,720,722,723,721,718,713,710,706,704,704,708,711,711,711,711,715,714,714,715,715,717,719,723,727,732,737,738,738,737,737,737,739,744,746,748,750,752,753,753,754,755,760,764,768,772,776,780,781,782,782,783,785,788,792,799,811,821,828,832,833,834,838,839,840,840,842,847,855,860,863,865,863,860,856,852,850,848,848,849,854,859,863,865,863,860,860,858,858,858,859,861,866,877,882,884,884,884,883,886,887,887,885,886,892,896,898,898,897
30,"Michigan",8,793,802,805,806,797,789,785,784,786,791,797,804,807,792,774,759,750,747,746,747,750,751,751,750,752,756,759,758,754,751,748,748,752,757,762,765,765,772,777,781,782,782,784,788,792,794,798,801,805,810,812,813,811,809,811,813,817,822,822,826,827,826,825,827,830,833,836,838,842,845,848,852,855,855,854,853,855,855,856,861,866,874,882,888,894,898,898,898,897,897,898,900,902,915,922,927,929,931,932,932,932,927,920,914,912,915,923,931,939
16,"Georgia",9,898,898,899,901,894,889,887,886,888,893,898,902,906,907,907,905,902,902,903,903,902,904,907,912,916,919,919,915,911,907,905,908,912,919,926,934,941,946,949,959,972,979,985,992,999,1005,1016,1026,1032,1039,1044,1048,1057,1062,1067,1071,1075,1083,1092,1099,1105,1109,1117,1123,1131,1138,1142,1147,1152,1158,1165,1174,1179,1181,1180,1178,1179,1182,1186,1191,1198,1209,1219,1228,1228,1227,1226,1224,1223,1223,1224,1227,1233,1240,1246,1252,1258,1262,1266,1269,1270,1269,1271,1275,1279,1283,1288,1292,1295
36,"North Carolina",10,873,883,886,889,880,869,858,847,839,833,826,824,823,825,825,825,827,830,834,837,842,846,849,852,855,858,859,855,852,850,848,849,854,862,871,877,881,889,893,898,900,901,900,897,895,896,900,904,907,908,908,909,915,917,919,923,930,939,948,953,956,957,960,962,967,969,978,992,1008,1019,1030,1036,1041,1045,1046,1043,1039,1035,1034,1035,1042,1051,1060,1066,1064,1063,1061,1061,1064,1066,1071,1078,1085,1098,1107,1113,1117,1120,1123,1128,1130,1129,1126,1129,1136,1141,1149,1155,1156
