"RegionID","RegionName","RegionType","StateName","SizeRank","MSA","MSARegionID","2010-11","2010-12","2011-1","2011-2","2011-3","2011-4","2011-5","2011-6","2011-7","2011-8","2011-9","2011-10","2011-11","2011-12","2012-1","2012-2","2012-3","2012-4","2012-5","2012-6","2012-7","2012-8","2012-9","2012-10","2012-11","2012-12","2013-1","2013-2","2013-3","2013-4","2013-5","2013-6","2013-7","2013-8","2013-9","2013-10","2013-11","2013-12","2014-1","2014-2","2014-3","2014-4","2014-5","2014-6","2014-7","2014-8","2014-9","2014-10","2014-11","2014-12","2015-1","2015-2","2015-3","2015-4","2015-5","2015-6","2015-7","2015-8","2015-9","2015-10","2015-11","2015-12","2016-1","2016-2","2016-3","2016-4","2016-5","2016-6","2016-7","2016-8","2016-9","2016-10","2016-11","2016-12","2017-1","2017-2","2017-3","2017-4","2017-5","2017-6","2017-7","2017-8","2017-9","2017-10","2017-11","2017-12","2018-1","2018-2","2018-3","2018-4","2018-5","2018-6","2018-7","2018-8","2018-9","2018-10","2018-11","2018-12","2019-1","2019-2","2019-3","2019-4","2019-5","2019-6","2019-7","2019-8","2019-9"
6181,"New York","City","NY",1,"New York-Newark-Jersey City",394913,4.65,4.69,4.86,5.22,5.27,4.9,5.39,4.86,4.16,3.55,2.82,2.73,2.9,3.35,3.67,3.63,3.63,3.43,3.22,3.43,3.14,2.78,2.12,2.16,1.88,1.96,2.49,2.98,3.67,4.2,4.29,4,3.55,2.78,2.41,2.53,2.78,3.67,4.57,5.14,5.63,5.71,6.2,5.88,5.31,4.61,4.29,4.2,4.45,4.49,4.73,5.06,5.39,5.51,5.43,4.61,4.12,3.47,3.31,3.67,3.8,4.16,4.86,5.43,5.63,5.47,5.51,5.43,4.9,3.84,3.35,3.22,3.63,3.88,4.12,4.16,4.37,4,3.35,2.49,1.55,1.35,1.14,1.31,1.27,1.22,1.67,1.76,1.84,2,2.33,2.37,2,1.67,1.18,0.98,0.82,0.69,0.86,1.1,1.31,1.31,1.18,0.69,0.57,0.29,0.2
12447,"Los Angeles","City","CA",2,"Los Angeles-Long Beach-Anaheim",753899,5.23,5.23,5.45,5.23,5.68,6.02,5.34,4.66,4.43,4.43,4.32,4.32,5,5,4.66,5.45,6.14,6.48,5.68,4.89,4.2,4.66,4.32,4.32,4.32,4.43,4.32,3.98,3.86,3.18,2.95,2.61,2.39,2.39,3.3,3.3,3.64,3.75,4.43,4.77,4.89,4.89,4.32,4.2,4.66,4.43,4.43,4.43,5.11,5.57,5.57,5.91,6.48,7.05,6.7,5.91,5.34,5,4.43,4.55,4.43,4.77,5.34,6.25,5.8,5.11,4.66,4.55,4.32,4.32,4.2,4.66,4.43,4.89,4.43,5.23,4.77,4.2,3.98,3.3,2.95,3.52,3.86,4.43,4.32,4.55,4.55,4.32,4.09,4.32,4.55,4.2,4.2,4.2,4.43,4.77,5.45,5.8,6.25,6.36,6.36,5.8,5.23,4.89,4.66,5,5.34
39051,"Houston","City","TX",3,"Houston-The Woodlands-Sugar Land",394692,7.35,6.76,6.76,6.76,5.59,5.88,6.47,7.65,7.65,7.94,7.65,6.76,7.94,7.65,7.65,7.35,7.35,6.76,7.35,8.24,8.24,8.24,7.06,7.35,7.65,7.94,8.53,9.41,9.71,9.41,9.41,9.41,9.12,8.82,8.53,8.53,8.82,9.12,8.53,8.53,8.53,8.53,7.94,7.65,7.35,7.35,7.94,7.94,8.24,8.53,8.82,8.82,8.24,8.24,6.18,5,3.82,4.12,3.82,4.71,5.29,5.88,7.06,6.47,6.76,6.47,4.41,4.12,3.82,4.12,4.41,4.41,5,5,6.18,7.06,6.18,6.18,5.29,5.29,5,4.71,4.71,5,6.18,6.18,6.76,6.47,5.29,5,4.41,3.82,3.82,3.82,4.71,5.88,6.18,6.76,6.76,7.06,6.76,6.76,5.88,5.29,4.41,4.71,6.18
17426,"Chicago","City","IL",4,"Chicago-Naperville-Elgin",394463,5.92,5.86,6.15,6.57,6.45,6.75,7.16,6.86,6.86,6.86,6.39,5.98,5.86,5.86,6.39,6.33,6.86,6.75,5.56,5.27,5.03,5.03,5.44,5.98,6.63,7.04,7.34,6.21,5.98,6.15,6.8,6.51,6.33,5.92,6.04,6.27,6.27,6.45,6.51,6.63,7.34,6.98,6.21,6.09,5.98,6.39,6.63,6.33,6.39,6.98,7.63,8.05,8.22,8.11,7.99,8.11,7.69,7.87,8.22,8.34,8.58,8.28,8.4,8.52,8.93,8.82,8.58,8.05,7.4,6.98,6.98,7.63,7.57,7.4,7.34,7.28,7.22,6.69,5.98,5.38,5.33,5.86,6.27,6.69,6.69,6.57,6.15,5.92,6.45,7.16,6.92,5.92,4.5,4.2,4.14,4.32,4.91,5.03,4.91,5.21,5.62,5.33,5.21,4.73,5.27,5.21,5.21
6915,"San Antonio","City","TX",5,"San Antonio-New Braunfels",395055,6,6,7,7,7,6,6,7,5,5,5,5,5,6,6,6,6,6,6,6,6,6,7,7,7,7,7,7,7,8,7,8,8,9,9,9,9,10,10,10,10,10,10,10,10,10,10,9,9,8,9,9,9,8,8,8,7,7,7,8,8,8,8,8,9,9,9,9,9,10,10,10,10,10,10,10,10,9,9,9,9,9,9,9,8,8,9,9,9,7,7,8,9,9,9,9,9,9,8,9,9,9,8,8,9,9,8
13271,"Philadelphia","City","PA",6,"Philadelphia-Camden-Wilmington",394974,9.06,9.06,8.96,8.85,9.48,9.48,9.27,9.27,8.75,8.44,8.44,8.96,9.17,8.96,8.33,8.96,8.96,8.85,8.54,7.92,7.19,6.56,6.46,6.35,7.19,7.29,7.29,7.6,7.6,7.5,8.02,7.81,7.6,7.4,7.19,7.29,7.5,7.08,6.88,6.35,6.98,7.19,6.56,6.46,6.15,6.77,7.08,7.29,7.81,7.6,7.81,8.12,8.33,8.44,7.92,7.81,7.6,7.6,8.02,8.33,8.75,8.33,8.44,8.65,9.27,9.48,9.17,9.17,8.85,8.75,8.85,9.06,9.27,9.17,8.96,8.96,9.06,9.17,9.17,8.54,8.54,8.12,8.54,8.96,8.85,8.33,8.33,8.23,8.54,8.33,8.12,8.12,7.92,8.23,8.02,8.44,8.33,8.12,8.23,8.23,8.65,7.81,7.29,6.67,6.15,5.83,5.42
40326,"Phoenix","City","AZ",7,"Phoenix-Mesa-Scottsdale",394976,4.69,5.31,6.56,6.25,6.56,6.88,7.81,7.81,7.5,7.19,6.56,6.88,6.56,6.88,7.19,7.19,7.5,7.5,7.19,7.81,8.12,8.12,7.5,7.19,7.19,8.12,8.44,8.75,8.44,7.5,7.5,7.5,7.5,7.19,7.81,7.19,7.19,7.5,7.81,8.12,7.81,8.12,7.5,7.5,7.19,7.19,7.5,7.5,7.5,7.81,8.12,7.5,8.12,7.5,7.19,7.19,7.19,7.19,7.19,7.19,6.88,6.88,6.88,6.88,6.88,6.88,6.56,6.56,6.56,6.56,6.88,6.56,6.88,6.56,6.56,6.56,5.94,5.94,5.62,5.62,5.62,5.94,5.62,5.94,5.94,5.94,5.62,5.94,6.25,6.25,5.94,5.94,5.62,5.62,5.94,5.94,5.94,5.94,5.62,6.25,6.88,6.56,5.94,5.94,5.94,5.62,5.62
18959,"Las Vegas","City","NV",8,"Las Vegas-Henderson-Paradise",394775,8.33,6.67,5,6.67,6.67,8.33,8.33,10,10,10,10,10,10,8.33,10,10,10,10,10,10,10,10,8.33,8.33,8.33,8.33,6.67,6.67,6.67,6.67,6.67,6.67,8.33,8.33,8.33,8.33,5,5,5,5,6.67,5,5,5,5,5,5,6.67,8.33,6.67,6.67,6.67,6.67,8.33,10,10,10,10,10,8.33,8.33,8.33,6.67,6.67,6.67,8.33,8.33,8.33,8.33,8.33,8.33,8.33,8.33,6.67,6.67,8.33,8.33,8.33,8.33,8.33,8.33,8.33,8.33,8.33,8.33,8.33,8.33,8.33,8.33,8.33,8.33,8.33,8.33,8.33,6.67,6.67,5,6.67,6.67,6.67,5,5,5,5,6.67,5,6.67
54296,"San Diego","City","CA",9,"San Diego-Carlsbad",395056,8.1,8.57,8.57,9.05,9.05,7.62,7.62,7.62,7.14,6.67,7.14,6.67,6.67,6.67,6.67,7.14,7.14,7.14,7.14,7.14,7.62,8.1,8.1,7.62,7.62,7.62,8.1,8.57,7.14,8.1,9.52,10,7.62,7.14,7.14,7.14,6.67,5.71,6.19,6.19,6.67,6.67,7.14,7.62,7.62,7.62,7.62,7.62,7.62,7.14,5.24,5.71,6.19,6.67,7.14,8.1,7.62,8.1,8.1,8.1,8.57,8.57,8.57,8.57,9.05,8.57,8.57,8.1,7.62,7.62,8.1,8.57,8.1,8.1,7.62,8.57,8.1,8.57,8.57,8.57,9.05,9.05,9.05,9.05,9.05,9.05,9.05,9.05,8.57,8.57,8.57,9.52,9.52,10,10,10,9.52,9.52,9.05,8.1,8.57,8.1,8.57,7.62,8.1,8.1,8.1
38128,"Dallas","City","TX",10,"Dallas-Fort Worth-Arlington",394514,4.04,3.83,4.04,4.89,5.11,5.74,6.38,5.96,6.17,5.53,5.53,5.53,5.53,5.74,5.96,5.53,5.96,5.74,5.53,5.53,5.53,5.32,5.11,5.11,5.11,4.68,4.89,5.74,5.53,5.53,5.32,4.68,4.68,4.47,4.47,4.47,4.68,4.68,4.89,4.68,4.68,4.26,4.47,4.04,3.62,3.83,4.04,4.04,4.47,4.68,4.47,4.26,3.19,3.62,3.19,3.4,3.19,2.98,2.98,3.4,3.4,4.04,4.89,4.68,4.04,3.62,2.77,2.98,2.77,2.77,2.98,2.98,3.19,3.4,3.19,3.83,4.47,3.83,3.62,2.13,2.34,2.55,3.4,3.19,4.26,3.62,3.83,3.19,2.55,2.34,1.91,2.13,2.77,2.98,2.98,3.4,3.83,4.04,4.26,4.04,4.68,4.04,3.4,3.19,2.98,3.19,3.4
