"RegionID","RegionName","RegionType","StateName","SizeRank","MSA","MSARegionID","2010-11","2010-12","2011-1","2011-2","2011-3","2011-4","2011-5","2011-6","2011-7","2011-8","2011-9","2011-10","2011-11","2011-12","2012-1","2012-2","2012-3","2012-4","2012-5","2012-6","2012-7","2012-8","2012-9","2012-10","2012-11","2012-12","2013-1","2013-2","2013-3","2013-4","2013-5","2013-6","2013-7","2013-8","2013-9","2013-10","2013-11","2013-12","2014-1","2014-2","2014-3","2014-4","2014-5","2014-6","2014-7","2014-8","2014-9","2014-10","2014-11","2014-12","2015-1","2015-2","2015-3","2015-4","2015-5","2015-6","2015-7","2015-8","2015-9","2015-10","2015-11","2015-12","2016-1","2016-2","2016-3","2016-4","2016-5","2016-6","2016-7","2016-8","2016-9","2016-10","2016-11","2016-12","2017-1","2017-2","2017-3","2017-4","2017-5","2017-6","2017-7","2017-8","2017-9","2017-10","2017-11","2017-12","2018-1","2018-2","2018-3","2018-4","2018-5","2018-6","2018-7","2018-8","2018-9","2018-10","2018-11","2018-12","2019-1","2019-2","2019-3","2019-4","2019-5","2019-6","2019-7","2019-8","2019-9"
274772,"Northeast Dallas","Neighborhood","TX",1,"Dallas-Fort Worth-Arlington",394514,4,4,3,3,3,3,3,3,4,5,5,4,4,3,3,3,3,2,2,3,3,3,3,3,3,2,2,2,4,6,7,7,7,8,8,5,4,4,9,9,10,9,9,6,5,5,5,5,4,2,2,3,3,5,5,7,7,9,8,5,4,4,3,3,5,6,7,6,6,4,3,3,3,3,4,3,2,3,3,4,4,4,4,3,2,4,4,7,7,5,4,4,4,5,4,5,5,5,5,2,1,1,2,6,5,5,2
112345,"Maryvale","Neighborhood","AZ",2,"Phoenix-Mesa-Scottsdale",394976,9,9.67,9.67,10,10,10,10,10,10,10,10,10,10,10,10,10,10,9.67,9.67,10,9.33,9.33,9.33,9.67,9.33,8.67,8.67,9,9.33,9.67,9.33,9.33,9.33,8,7.33,7.33,9,9.33,9.67,10,10,9.67,9.33,8,8,8.67,9.67,10,10,10,10,10,10,10,9.67,10,10,10,10,9.67,9.67,9.67,9.67,9.33,10,10,10,10,9.67,9.67,8,7,7,8,9.33,8.67,7.33,6.67,6,6.33,7,8.33,8.67,8.33,7.67,7.33,7.33,7.33,7,7.67,8,7.67,8,8.33,8.67,9.33,9.33,9.33,9.33,9.67,9.67,9.67,9.33,8.67,8,8,8.33
192689,"Paradise","Neighborhood","NV",3,"Las Vegas-Henderson-Paradise",394775,3.47,5.1,5.51,5.31,4.49,4.29,5.31,7.14,7.35,6.94,6.94,6.12,5.1,5.1,5.51,5.71,6.12,6.94,6.94,6.53,6.33,6.12,6.12,6.73,7.35,6.12,4.69,4.49,5.31,7.35,6.94,6.73,5.31,5.51,5.71,4.69,5.1,5.1,6.94,7.76,7.96,6.53,6.12,5.31,4.9,5.1,6.33,6.73,7.96,8.78,9.59,9.39,9.18,8.57,7.76,6.73,6.73,6.73,6.94,7.55,6.33,7.35,8.57,8.98,9.18,8.57,6.12,5.92,5.92,5.92,7.14,6.94,7.14,6.12,6.12,6.12,6.53,6.33,6.12,6.73,6.94,7.14,6.73,6.73,6.94,7.55,8.37,7.96,7.55,6.12,5.31,5.71,6.53,6.73,7.96,7.96,7.76,8.16,8.37,8.98,9.39,8.98,7.76,6.53,5.31,5.51,5.71
270958,"Upper West Side","Neighborhood","NY",4,"New York-Newark-Jersey City",394913,3.1,3.72,4.25,5.66,6.28,6.9,7.35,7.43,7.52,5.84,4.78,5.13,4.87,3.27,2.3,1.5,1.33,1.77,1.77,1.15,1.24,1.68,2.65,3.27,4.6,4.87,6.64,7.17,7.52,6.99,6.73,5.66,5.31,5.13,5.04,5.13,6.11,6.73,7.26,7.7,7.88,8.05,7.79,7.35,6.9,6.28,6.02,5.4,6.02,6.37,6.37,5.31,5.22,5.58,6.02,5.31,5.13,5.31,4.87,5.04,5.4,5.75,5.58,5.4,5.4,5.84,4.96,4.16,3.19,2.39,2.48,3.01,3.89,4.51,5.4,5.84,6.46,6.02,5.49,5.4,4.42,3.63,3.19,3.27,3.63,4.51,4.51,5.4,6.28,6.55,6.46,5.84,5.4,4.87,4.07,3.89,3.81,3.45,3.36,3.27,3.63,4.07,4.69,4.51,3.19,2.39,2.74
118208,"South Los Angeles","Neighborhood","CA",5,"Los Angeles-Long Beach-Anaheim",753899,2.67,2.79,4.42,5.81,6.4,5.47,4.07,3.37,2.56,1.98,1.16,1.28,2.79,3.6,3.6,3.95,4.53,4.65,4.3,2.56,1.4,0.81,0.7,0.7,0.81,1.05,1.28,1.4,1.16,0.81,0.47,0.47,0.35,0.35,0.47,0.47,0.47,0.35,0.47,0.47,0.58,0.81,0.58,0.47,0.35,0.35,0.47,0.58,0.81,1.16,1.28,0.93,1.16,1.4,0.93,0.81,0.47,0.47,0.58,0.7,0.81,0.81,1.05,1.05,1.05,0.7,1.05,1.05,1.4,1.74,1.74,1.63,2.09,2.21,2.79,2.79,3.84,3.84,3.26,2.44,1.98,1.74,1.63,1.63,1.16,1.05,1.05,1.63,1.74,1.51,1.16,1.28,1.74,1.51,1.74,1.86,1.63,1.63,1.4,2.79,3.6,3.95,2.44,1.51,1.51,1.4,1.51
270957,"Upper East Side","Neighborhood","NY",6,"New York-Newark-Jersey City",394913,4.69,3.89,4.16,4.51,5.58,6.02,6.28,6.11,4.69,4.6,3.98,3.45,3.63,3.45,3.27,2.83,2.83,2.3,2.3,2.12,1.86,1.77,2.21,2.83,3.19,3.89,4.25,4.16,4.6,4.25,4.34,4.25,4.51,3.89,3.98,3.72,4.51,5.13,5.31,5.22,5.4,5.66,5.75,5.49,4.78,3.98,4.34,4.6,4.69,4.6,4.69,4.34,4.42,4.42,4.51,4.25,3.89,3.54,3.1,2.65,2.83,3.54,4.34,4.6,4.87,5.04,4.42,3.98,3.98,2.83,2.39,2.39,2.92,3.19,3.54,4.16,4.51,5.22,5.4,4.6,3.89,2.83,2.65,2.48,2.57,2.74,3.54,4.16,4.96,4.69,4.6,3.72,3.19,2.39,1.68,1.5,1.95,2.48,2.39,2.21,2.74,3.19,2.92,2.83,2.21,1.5,1.42
192820,"Sunrise Manor","Neighborhood","NV",7,"Las Vegas-Henderson-Paradise",394775,6.53,6.73,6.94,6.53,6.53,6.33,4.69,4.69,4.49,5.51,6.33,7.35,6.94,6.33,6.73,7.96,7.55,7.76,7.96,7.96,7.55,6.94,6.33,5.31,5.1,5.1,5.31,5.31,5.51,5.71,4.69,1.22,1.22,1.02,2.86,3.27,3.27,3.06,3.88,4.49,5.31,4.69,3.88,2.04,1.84,1.43,1.63,2.65,3.47,4.08,5.31,5.71,7.35,7.35,6.73,6.33,5.51,4.9,5.71,4.9,5.51,6.73,6.73,5.71,3.47,3.27,3.06,3.88,5.51,6.73,6.12,5.71,5.1,4.49,4.29,4.29,4.49,4.49,4.49,3.88,4.08,4.29,4.49,4.69,6.12,6.33,6.73,7.55,7.35,6.94,5.92,7.96,7.76,8.98,9.18,8.98,7.35,6.33,7.14,8.37,9.18,8.78,6.73,4.9,4.49,3.67,3.67
192796,"Spring Valley","Neighborhood","NV",8,"Las Vegas-Henderson-Paradise",394775,6.73,6.12,6.12,6.33,6.94,6.12,6.73,6.94,5.71,5.1,3.67,4.9,4.9,6.12,5.92,7.14,8.16,8.16,7.55,4.49,3.47,3.47,4.08,3.88,5.71,6.53,6.73,6.33,5.1,5.1,4.9,6.33,6.73,6.33,6.73,5.1,4.29,3.67,3.47,3.27,3.47,3.88,3.67,3.47,3.88,6.12,6.53,6.94,6.94,6.73,7.14,7.76,7.55,6.94,5.92,5.71,5.71,5.71,7.14,7.35,6.94,5.71,6.53,6.33,5.92,5.51,5.51,4.29,3.47,3.06,3.06,4.08,4.9,5.31,5.92,7.35,7.76,7.35,7.14,6.53,5.51,5.31,4.9,5.1,5.51,5.92,6.33,7.35,7.96,7.76,6.73,5.51,5.31,5.1,5.51,6.33,7.14,7.35,6.73,7.35,7.14,5.92,4.49,3.67,3.47,2.86,3.88
268496,"Southeast Los Angeles","Neighborhood","CA",9,"Los Angeles-Long Beach-Anaheim",753899,5.47,5.12,2.91,2.33,1.4,3.14,4.65,5.23,3.6,2.91,2.21,4.07,4.65,4.42,3.37,3.6,2.21,1.98,2.44,3.26,2.21,1.4,1.28,1.63,1.16,0.7,0.47,0.47,0.47,0.47,0.35,0.23,0.23,0.12,0.35,0.23,0.35,0.58,0.58,0.58,0.81,0.7,0.7,0.58,0.7,0.58,0.81,1.05,1.16,1.4,1.63,0.7,0.58,0.23,0.23,0.47,0.23,0.23,0.35,0.35,0.35,0.58,0.93,1.4,1.16,0.81,0.35,0.47,0.58,1.16,1.98,1.74,1.74,1.05,0.7,0.58,0.93,1.28,1.86,1.86,2.09,1.51,1.4,0.93,0.93,0.81,0.93,1.28,1.16,0.93,0.93,1.05,1.4,1.63,2.67,3.02,2.44,1.98,1.98,3.02,2.67,2.44,1.63,1.63,1.86,2.44,1.86
194430,"East New York","Neighborhood","NY",10,"New York-Newark-Jersey City",394913,3.98,2.3,3.54,4.6,6.64,6.55,5.58,3.19,2.57,2.74,3.72,3.72,3.1,2.65,2.48,2.57,3.27,3.45,4.25,4.96,4.69,3.1,1.95,2.3,3.01,3.36,3.1,2.92,3.27,3.98,5.04,5.4,4.78,4.96,5.49,8.14,8.32,7.79,6.9,5.04,4.25,2.83,2.3,1.5,1.5,1.68,2.12,2.48,2.83,2.48,2.57,2.74,2.57,3.1,5.66,6.28,4.87,2.04,1.06,0.97,2.3,4.96,6.73,7.43,7.7,7.7,7.17,7.17,6.73,6.19,6.02,5.4,3.63,3.98,5.49,6.55,6.81,6.55,6.55,4.78,2.39,1.59,0.53,0.88,1.33,3.81,3.19,4.07,4.42,4.16,2.92,1.68,1.95,1.95,2.57,2.92,3.63,3.27,3.72,4.25,4.07,3.98,3.72,4.78,4.34,3.72,3.1
