"RegionID","RegionName","RegionType","StateName","SizeRank","2010-11","2010-12","2011-1","2011-2","2011-3","2011-4","2011-5","2011-6","2011-7","2011-8","2011-9","2011-10","2011-11","2011-12","2012-1","2012-2","2012-3","2012-4","2012-5","2012-6","2012-7","2012-8","2012-9","2012-10","2012-11","2012-12","2013-1","2013-2","2013-3","2013-4","2013-5","2013-6","2013-7","2013-8","2013-9","2013-10","2013-11","2013-12","2014-1","2014-2","2014-3","2014-4","2014-5","2014-6","2014-7","2014-8","2014-9","2014-10","2014-11","2014-12","2015-1","2015-2","2015-3","2015-4","2015-5","2015-6","2015-7","2015-8","2015-9","2015-10","2015-11","2015-12","2016-1","2016-2","2016-3","2016-4","2016-5","2016-6","2016-7","2016-8","2016-9","2016-10","2016-11","2016-12","2017-1","2017-2","2017-3","2017-4","2017-5","2017-6","2017-7","2017-8","2017-9","2017-10","2017-11","2017-12","2018-1","2018-2","2018-3","2018-4","2018-5","2018-6","2018-7","2018-8","2018-9","2018-10","2018-11","2018-12","2019-1","2019-2","2019-3","2019-4","2019-5","2019-6","2019-7","2019-8","2019-9"
9,"California","State","CA",1,9.61,9.61,9.61,9.61,9.41,9.41,9.41,9.02,9.22,8.82,8.43,9.22,9.41,9.41,9.61,9.61,9.22,9.02,9.02,9.22,9.8,9.8,9.8,9.8,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,9.8,9.8,9.8,9.61,9.61,9.41,9.41,9.61,9.61,9.61,9.61,9.41,9.22,9.02,9.22,9.41,9.61,9.61,9.61,9.61,9.41,9.22,9.22,9.22,9.22,9.41,9.41,9.41,9.22,9.02,9.22,9.22,9.41,9.41,9.22,9.22,9.22,9.22,9.41,9.41,9.41,9.41,9.41,9.41,9.41,9.41,9.22,9.22,9.22,9.22,9.22,9.02,9.02,8.82,9.02,9.02,9.02,8.63,8.63,8.43,8.04,7.84,7.84,8.04,8.24,8.24,8.24
54,"Texas","State","TX",2,5.49,5.29,5.29,5.49,5.1,5.49,6.08,6.08,6.27,6.47,6.27,6.08,6.27,6.27,6.27,6.47,6.47,6.47,6.67,7.06,6.86,6.86,6.86,6.86,7.06,6.86,7.06,7.25,7.45,7.65,8.04,8.04,8.04,8.24,8.24,8.24,8.43,8.82,8.82,9.02,9.22,9.41,9.22,9.22,9.41,9.22,9.22,9.41,9.41,9.41,9.41,9.22,9.41,9.22,9.02,9.02,9.02,9.22,9.02,8.82,8.63,8.63,8.63,8.82,8.82,8.82,8.82,8.43,8.43,8.24,8.24,8.24,8.24,8.43,8.63,8.24,7.84,7.65,7.84,7.45,7.25,7.06,7.06,7.06,6.67,6.27,6.27,6.08,6.27,5.88,5.88,5.88,5.88,5.69,5.1,5.1,5.1,5.1,5.1,5.29,5.29,5.1,4.71,4.51,4.31,4.31,4.31
43,"New York","State","NY",3,0.39,0.39,0.39,0.2,0.2,0.39,0.39,0.39,0.39,0.39,0.2,0.39,0.39,0.39,0.39,0.39,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2
14,"Florida","State","FL",4,7.84,6.86,6.86,6.47,6.47,6.67,6.67,6.27,6.08,6.27,6.47,6.47,6.86,7.25,6.86,7.06,6.86,7.06,7.06,6.67,6.27,6.27,6.08,6.47,6.47,6.47,6.67,6.67,6.67,6.47,6.47,6.27,6.27,5.49,5.49,5.49,5.49,5.49,5.49,4.31,4.12,4.31,4.12,4.12,3.92,3.73,3.73,3.53,3.33,3.33,3.33,3.33,3.53,4.31,4.31,4.51,4.71,4.12,4.12,4.12,4.12,3.92,3.92,4.12,4.31,4.31,4.51,4.71,4.31,4.31,4.12,3.92,3.14,2.94,2.75,2.75,2.35,2.55,2.55,2.55,2.55,2.55,2.75,2.75,2.35,2.16,2.35,2.55,2.94,2.75,2.75,2.75,2.55,2.35,2.35,2.35,2.35,2.35,2.35,2.16,2.16,2.16,1.57,1.37,1.76,1.96,1.96
21,"Illinois","State","IL",5,1.96,1.76,1.18,0.78,1.18,1.57,2.55,2.16,2.35,2.16,2.55,2.35,2.35,2.16,2.75,3.33,2.75,2.35,1.57,1.57,1.76,1.96,2.55,2.55,2.55,2.55,2.35,2.55,2.55,2.94,3.33,2.94,2.55,1.96,1.76,2.16,2.55,2.75,3.53,3.73,3.33,3.33,2.94,3.14,3.33,3.14,2.94,2.55,1.96,1.76,1.76,1.76,1.57,1.37,1.57,1.57,1.57,1.37,1.37,1.37,1.57,1.57,1.57,1.76,1.76,1.96,1.76,1.37,1.37,1.76,1.96,2.16,1.96,1.76,1.76,1.57,1.57,1.76,1.76,1.96,1.76,1.57,1.57,1.76,1.96,1.96,1.96,1.96,1.76,1.96,1.96,1.96,1.76,1.76,1.57,1.96,1.76,1.96,1.57,1.57,1.18,0.98,1.18,1.18,1.18,1.57,1.18
47,"Pennsylvania","State","PA",6,2.16,2.16,2.16,2.16,1.57,1.37,2.35,2.35,2.55,1.96,1.96,1.57,1.57,1.57,1.57,1.37,1.57,1.37,1.18,1.18,1.18,1.18,1.37,1.37,1.18,1.37,1.37,1.18,1.18,1.18,1.18,1.18,0.98,0.98,1.18,0.98,1.18,1.18,1.18,1.37,1.18,1.37,1.37,1.37,1.37,0.98,0.98,1.18,1.18,1.18,1.18,1.37,1.37,1.57,1.76,1.37,1.37,1.18,1.18,1.18,1.37,1.37,1.37,1.37,1.57,1.57,1.57,1.57,1.18,1.37,1.57,1.57,1.76,1.96,1.96,1.96,1.96,1.96,1.96,2.16,1.96,2.16,2.16,2.16,2.16,2.35,2.55,2.35,2.35,2.35,2.35,2.35,2.35,2.55,2.55,2.75,2.75,2.75,2.75,2.75,2.94,3.14,3.33,3.14,2.94,2.94,2.94
44,"Ohio","State","OH",7,5.1,4.31,4.51,4.12,4.31,4.9,5.69,5.69,4.9,4.51,4.51,4.51,4.9,5.29,5.29,4.9,4.51,3.92,3.53,3.33,3.53,3.73,3.73,3.92,3.92,3.92,3.92,3.73,3.73,4.51,4.31,4.51,4.51,4.12,4.12,4.12,4.12,4.12,4.12,3.92,3.92,4.51,4.71,4.71,4.71,4.71,4.71,4.71,4.71,4.71,4.71,4.51,4.51,4.51,4.12,4.31,4.31,4.71,4.71,4.71,4.71,4.71,4.71,4.71,4.9,5.1,4.9,5.1,5.29,5.29,5.29,5.1,5.1,5.1,5.1,5.49,5.69,5.69,6.27,5.88,6.08,6.08,6.47,6.67,6.86,6.86,6.86,6.86,6.86,6.86,6.67,6.47,6.67,6.67,6.86,6.86,6.86,7.25,7.65,7.84,7.84,8.04,8.24,8.24,8.04,8.04,7.84
30,"Michigan","State","MI",8,7.65,7.45,7.65,7.65,7.65,7.45,7.45,8.04,7.65,7.45,7.06,7.06,7.06,6.86,6.67,6.67,6.27,6.27,6.08,6.08,5.69,5.49,5.69,5.88,6.27,6.08,5.29,5.1,5.29,5.29,4.9,4.9,5.1,5.1,5.1,4.9,4.71,4.71,4.71,5.1,5.1,5.1,5.1,4.9,4.51,4.51,4.51,4.31,4.12,4.12,4.12,4.12,4.12,4.12,3.53,3.33,3.53,3.53,3.53,3.53,3.53,3.53,3.53,3.53,3.33,3.92,3.73,3.73,3.73,3.92,3.92,4.12,4.31,4.51,4.51,4.51,4.71,4.71,4.51,4.71,4.31,4.9,5.1,5.1,4.51,4.71,4.51,4.71,4.9,4.71,4.71,4.9,5.69,5.88,5.69,5.69,5.69,5.29,5.29,5.69,5.88,5.88,5.69,5.49,5.1,5.29,5.29
16,"Georgia","State","GA",9,2.94,2.75,2.35,1.96,1.37,1.18,1.96,2.55,2.94,3.53,3.33,3.73,4.31,4.9,5.88,6.27,6.67,6.86,7.25,7.25,6.47,6.67,6.67,6.67,6.86,7.06,6.86,6.86,7.06,7.06,7.25,7.25,7.06,6.86,7.06,6.86,6.86,6.86,7.06,7.06,7.25,7.25,7.25,6.86,6.86,6.86,6.86,7.06,7.06,7.25,7.25,7.06,7.06,6.67,6.67,6.67,6.67,6.47,6.67,6.67,6.67,6.47,6.27,5.69,5.88,5.88,6.27,6.47,6.47,6.67,6.67,6.67,6.67,6.67,6.67,6.86,6.67,6.27,5.88,6.08,6.27,6.47,6.86,6.86,7.06,7.06,7.06,7.25,7.06,7.06,6.86,6.86,7.06,7.25,7.25,7.45,7.45,7.45,7.06,6.86,7.06,6.86,6.67,6.27,5.88,5.88,5.88
36,"North Carolina","State","NC",10,3.14,2.94,2.94,2.75,2.75,2.94,3.14,3.14,2.75,2.75,2.16,2.75,2.16,2.35,2.55,2.94,2.94,2.55,2.55,2.55,2.75,2.75,2.75,2.75,2.75,2.94,2.94,3.33,3.33,3.53,3.53,3.73,4.31,4.31,4.71,4.71,5.1,5.29,5.29,4.71,4.51,4.71,4.51,4.31,4.31,4.31,4.31,4.51,4.51,4.31,4.51,4.71,4.71,4.9,4.71,4.9,5.29,4.9,4.9,5.49,5.49,5.69,5.69,5.88,6.08,6.27,6.67,6.27,6.08,6.08,6.27,6.47,6.08,6.27,6.47,6.67,6.86,6.86,6.86,6.86,6.86,7.25,7.45,7.65,7.65,7.65,7.84,7.84,7.84,7.84,7.65,7.65,7.45,7.45,7.45,7.25,7.06,6.67,6.47,6.67,7.25,7.06,7.06,6.86,6.47,6.27,6.27
