"RegionID","RegionName","RegionType","StateName","SizeRank","MSA","MSARegionID","2010-11","2010-12","2011-1","2011-2","2011-3","2011-4","2011-5","2011-6","2011-7","2011-8","2011-9","2011-10","2011-11","2011-12","2012-1","2012-2","2012-3","2012-4","2012-5","2012-6","2012-7","2012-8","2012-9","2012-10","2012-11","2012-12","2013-1","2013-2","2013-3","2013-4","2013-5","2013-6","2013-7","2013-8","2013-9","2013-10","2013-11","2013-12","2014-1","2014-2","2014-3","2014-4","2014-5","2014-6","2014-7","2014-8","2014-9","2014-10","2014-11","2014-12","2015-1","2015-2","2015-3","2015-4","2015-5","2015-6","2015-7","2015-8","2015-9","2015-10","2015-11","2015-12","2016-1","2016-2","2016-3","2016-4","2016-5","2016-6","2016-7","2016-8","2016-9","2016-10","2016-11","2016-12","2017-1","2017-2","2017-3","2017-4","2017-5","2017-6","2017-7","2017-8","2017-9","2017-10","2017-11","2017-12","2018-1","2018-2","2018-3","2018-4","2018-5","2018-6","2018-7","2018-8","2018-9","2018-10","2018-11","2018-12","2019-1","2019-2","2019-3","2019-4","2019-5","2019-6","2019-7","2019-8","2019-9"
6181,"New York","City","NY",1,"New York-Newark-Jersey City",394913,4.3,4.21,3.83,3.55,3.08,2.8,2.34,2.15,1.96,1.59,1.78,1.87,1.68,1.31,1.03,0.56,0.37,0.47,0.75,0.65,0.84,1.12,1.5,1.4,0.93,0.28,0.09,0.19,1.21,2.06,2.24,2.52,2.99,3.27,3.36,3.46,4.02,4.77,7.66,9.63,9.72,9.53,8.41,7.48,7.94,8.32,8.97,8.79,8.04,7.76,7.85,8.69,8.88,8.6,7.2,5.98,5.23,5.33,5.42,5.14,5.05,5.51,5.89,6.07,5.61,6.17,7.1,9.07,9.35,8.5,7.38,6.82,6.54,6.45,6.73,7.29,7.57,6.64,5.79,4.86,4.58,4.67,4.95,6.36,8.13,9.16,8.22,7.01,6.26,6.92,9.44,9.81,10,9.91,9.25,5.7,4.49,4.39,4.11,3.93,3.74,3.64,3.18,2.9,2.71,2.43,2.62
12447,"Los Angeles","City","CA",2,"Los Angeles-Long Beach-Anaheim",753899,1.87,1.68,1.4,1.21,1.03,0.84,0.65,0.37,0.28,0.09,0.19,0.47,0.56,0.75,0.93,1.12,1.31,1.59,1.5,1.78,1.96,2.06,2.15,2.24,2.34,2.52,3.36,4.21,5.61,7.2,8.22,8.5,8.69,8.41,8.6,8.13,7.94,7.57,7.48,7.1,6.64,5.79,4.86,4.02,3.64,3.18,2.8,2.9,3.46,3.74,3.83,3.93,4.11,5.23,7.01,8.04,7.76,7.38,6.82,6.92,6.54,6.17,5.51,5.05,4.67,4.58,5.14,4.95,4.49,4.39,4.77,5.89,6.07,5.98,5.42,5.7,6.36,6.45,7.29,7.85,8.32,8.88,8.97,9.16,9.25,9.44,9.53,9.72,9.81,10,9.91,9.63,9.35,9.07,8.79,7.66,6.73,6.26,5.33,4.3,3.08,2.62,2.43,2.71,2.99,3.55,3.27
39051,"Houston","City","TX",3,"Houston-The Woodlands-Sugar Land",394692,1.31,1.12,0.65,0.47,0.37,0.19,0.09,0.28,0.56,0.75,0.84,1.03,0.93,1.21,1.4,1.59,1.68,1.5,1.78,1.87,1.96,2.24,2.43,2.15,2.06,2.34,2.52,2.62,3.36,5.51,6.82,7.48,7.66,7.85,7.94,8.13,8.22,8.32,8.5,8.79,9.16,9.25,9.35,8.88,8.69,8.6,8.97,9.07,9.53,9.63,9.72,9.81,9.91,10,9.44,8.41,8.04,7.57,7.01,7.2,7.38,7.76,7.29,6.54,5.05,4.39,4.21,4.11,3.93,3.55,3.46,3.83,4.67,5.42,6.26,5.98,5.23,4.95,4.77,4.86,4.49,5.33,6.17,5.61,3.64,2.8,3.08,4.3,5.7,6.45,6.73,7.1,6.92,6.64,6.36,6.07,5.89,5.79,5.14,4.58,3.74,3.27,2.99,2.71,2.9,3.18,4.02
17426,"Chicago","City","IL",4,"Chicago-Naperville-Elgin",394463,1.87,1.59,0.84,0.56,1.31,1.4,0.93,0.47,1.03,1.21,0.75,0.28,0.09,0.19,0.37,1.68,2.06,1.78,1.12,0.65,1.5,1.96,2.15,2.24,2.34,2.52,2.71,2.43,2.62,2.8,3.64,4.11,3.74,3.46,3.83,4.77,5.14,5.51,6.26,6.73,6.36,5.23,4.3,4.39,4.86,5.42,5.05,3.93,2.99,2.9,3.08,3.55,3.36,3.27,3.18,4.02,4.49,4.58,4.21,4.67,4.95,5.33,5.61,5.7,5.89,5.79,6.17,5.98,6.45,6.54,7.01,7.66,7.57,7.29,6.92,7.1,7.2,7.48,7.76,8.04,8.22,8.69,9.07,9.25,9.44,9.63,9.53,9.35,9.72,9.91,10,9.81,9.16,8.79,8.41,8.5,8.6,8.13,7.94,7.38,6.64,6.07,6.82,7.85,8.88,8.97,8.32
6915,"San Antonio","City","TX",5,"San Antonio-New Braunfels",395055,0.65,0.37,0.19,0.28,0.09,0.47,0.56,0.75,0.84,0.93,1.03,1.12,1.21,1.31,1.4,1.5,1.59,1.68,1.78,1.87,1.96,2.06,2.15,2.24,2.34,2.43,2.52,2.62,2.71,2.8,2.9,2.99,3.08,3.18,3.27,3.36,3.46,3.55,3.64,3.74,3.83,4.49,5.05,5.89,6.92,7.01,7.29,7.38,7.94,8.13,8.04,7.48,7.1,7.66,7.2,7.57,6.36,6.54,5.14,4.95,4.77,4.58,4.21,4.02,3.93,4.11,4.3,4.39,4.86,4.67,5.42,5.7,5.98,6.07,6.73,6.45,6.17,5.33,5.61,5.23,5.79,6.26,5.51,6.64,6.82,7.76,7.85,8.22,8.32,9.07,9.44,9.81,9.91,9.63,10,9.72,9.53,9.35,9.25,8.97,8.5,8.69,8.41,8.79,8.88,9.16,8.6
13271,"Philadelphia","City","PA",6,"Philadelphia-Camden-Wilmington",394974,2.8,2.71,2.62,2.43,2.24,2.06,1.4,1.03,0.19,0.65,0.47,0.75,0.37,0.28,0.09,0.93,1.68,1.87,1.78,1.12,0.84,0.56,1.21,1.31,1.5,1.59,1.96,2.15,2.34,2.52,2.9,4.02,4.86,4.67,4.49,4.58,5.05,5.23,5.42,5.33,4.95,3.93,3.18,3.55,4.3,4.77,4.39,3.64,2.99,3.27,3.46,3.74,4.21,3.83,3.36,3.08,4.11,5.14,5.51,5.61,5.79,5.7,5.89,5.98,6.07,6.17,6.26,6.36,6.45,6.54,6.64,6.73,6.82,6.92,7.01,7.1,7.2,7.48,7.66,7.57,7.29,7.38,7.76,7.94,8.22,8.32,8.41,8.04,8.5,8.88,9.44,10,9.81,9.91,9.72,9.63,9.16,9.25,9.53,9.35,9.07,8.97,8.79,8.69,8.6,8.13,7.85
40326,"Phoenix","City","AZ",7,"Phoenix-Mesa-Scottsdale",394976,0.09,0.19,0.28,0.37,0.47,0.56,0.65,0.75,0.84,0.93,1.5,1.78,2.15,2.71,3.83,5.05,5.98,6.45,6.64,6.92,7.01,7.1,7.66,8.04,8.13,7.94,7.2,6.73,6.82,7.57,8.32,9.16,9.25,8.97,7.38,6.17,5.33,4.67,3.55,2.99,2.24,1.96,1.68,1.31,1.12,1.03,1.21,1.4,1.59,1.87,2.06,2.34,3.27,4.02,4.86,5.14,5.61,6.07,5.89,5.7,5.42,4.95,4.58,4.39,3.74,3.46,3.08,2.9,2.62,2.43,2.52,2.8,3.18,3.36,3.64,3.93,4.11,4.21,4.3,4.49,4.77,5.23,5.51,5.79,6.26,6.36,6.54,7.48,8.88,9.53,9.72,9.81,9.63,9.35,9.07,8.79,8.5,8.69,8.6,8.22,7.85,7.29,7.76,8.41,9.44,9.91,10
18959,"Las Vegas","City","NV",8,"Las Vegas-Henderson-Paradise",394775,1.5,1.4,1.21,1.12,0.65,0.37,0.28,0.75,0.93,1.03,0.84,0.47,0.19,0.09,0.56,1.31,1.59,1.87,2.24,2.99,3.18,2.8,2.34,2.62,3.27,3.64,3.36,3.74,5.7,7.1,7.57,8.04,8.32,8.41,8.22,7.85,7.76,7.29,7.01,6.17,4.39,3.83,4.02,5.42,5.98,5.79,5.61,4.77,4.49,3.93,4.21,4.58,5.51,6.07,6.36,6.54,6.64,6.82,6.92,6.45,6.26,4.86,3.55,2.9,2.52,2.71,3.08,4.3,5.23,5.33,4.95,5.14,4.67,4.11,5.05,6.73,7.48,7.94,8.5,8.69,8.79,8.88,8.97,9.07,9.25,9.35,9.44,9.53,9.81,9.91,10,9.72,9.63,9.16,8.6,8.13,7.66,7.38,7.2,5.89,3.46,2.43,2.15,2.06,1.96,1.78,1.68
54296,"San Diego","City","CA",9,"San Diego-Carlsbad",395056,1.78,1.68,1.21,1.12,0.93,0.47,0.28,0.09,0.19,0.37,0.56,0.75,1.31,1.5,1.4,1.03,0.65,0.84,1.59,1.87,1.96,2.06,2.15,2.24,2.43,3.18,3.83,4.67,5.51,7.01,8.13,8.41,7.76,7.29,6.64,5.98,5.7,5.61,5.42,4.95,4.49,4.11,4.3,4.02,3.64,2.99,2.71,2.34,2.52,2.62,2.8,2.9,3.08,3.27,3.55,4.39,5.23,6.45,6.54,6.17,6.36,5.89,6.07,6.26,6.73,6.82,7.1,7.48,7.2,7.38,7.66,8.32,8.22,7.85,7.94,8.5,8.69,8.88,9.53,9.44,9.07,9.16,8.97,9.25,9.35,9.63,9.72,9.81,10,9.91,8.79,8.6,8.04,7.57,6.92,5.79,5.14,4.58,3.93,3.46,3.36,3.74,4.21,4.77,4.86,5.05,5.33
38128,"Dallas","City","TX",10,"Dallas-Fort Worth-Arlington",394514,0.56,0.47,0.75,1.03,0.84,0.37,0.19,0.09,0.28,0.65,0.93,1.12,1.21,1.31,1.5,1.4,1.59,1.68,1.78,1.96,2.06,1.87,2.15,2.24,2.43,2.52,2.62,3.08,3.27,3.55,3.83,3.93,4.21,4.49,4.86,4.58,4.67,4.95,5.51,5.42,5.7,5.61,6.17,8.32,8.04,8.13,7.29,8.41,8.6,8.79,7.85,8.88,7.57,8.69,9.44,9.72,9.91,10,9.81,9.63,9.53,8.97,7.48,6.45,6.73,7.38,7.76,7.01,7.2,5.89,6.36,5.98,6.92,6.54,6.64,7.1,7.94,9.25,9.35,9.16,8.5,9.07,8.22,7.66,6.07,6.82,6.26,5.79,5.33,5.05,5.23,5.14,4.77,4.39,4.3,4.11,4.02,3.74,3.64,3.46,3.36,3.18,2.99,2.9,2.8,2.71,2.34
