"RegionID","RegionName","RegionType","StateName","SizeRank","MSA","MSARegionID","2010-11","2010-12","2011-1","2011-2","2011-3","2011-4","2011-5","2011-6","2011-7","2011-8","2011-9","2011-10","2011-11","2011-12","2012-1","2012-2","2012-3","2012-4","2012-5","2012-6","2012-7","2012-8","2012-9","2012-10","2012-11","2012-12","2013-1","2013-2","2013-3","2013-4","2013-5","2013-6","2013-7","2013-8","2013-9","2013-10","2013-11","2013-12","2014-1","2014-2","2014-3","2014-4","2014-5","2014-6","2014-7","2014-8","2014-9","2014-10","2014-11","2014-12","2015-1","2015-2","2015-3","2015-4","2015-5","2015-6","2015-7","2015-8","2015-9","2015-10","2015-11","2015-12","2016-1","2016-2","2016-3","2016-4","2016-5","2016-6","2016-7","2016-8","2016-9","2016-10","2016-11","2016-12","2017-1","2017-2","2017-3","2017-4","2017-5","2017-6","2017-7","2017-8","2017-9","2017-10","2017-11","2017-12","2018-1","2018-2","2018-3","2018-4","2018-5","2018-6","2018-7","2018-8","2018-9","2018-10","2018-11","2018-12","2019-1","2019-2","2019-3","2019-4","2019-5","2019-6","2019-7","2019-8","2019-9"
3101,"Los Angeles County","County","CA",1,"Los Angeles-Long Beach-Anaheim",753899,1.87,1.68,1.59,1.21,1.03,0.84,0.37,0.56,0.65,0.47,0.09,0.19,0.28,0.75,0.93,1.12,1.31,1.4,1.5,1.78,1.96,2.06,2.15,2.24,2.34,2.43,3.36,4.58,6.64,7.38,8.04,8.6,8.5,8.41,8.32,8.22,7.94,7.76,7.66,7.48,7.2,7.1,6.92,5.05,4.02,3.18,2.8,2.71,2.9,3.27,3.74,3.55,3.64,3.83,4.67,5.79,6.07,5.89,5.42,6.17,5.98,4.95,4.49,4.21,4.39,4.77,5.23,5.33,5.61,5.14,5.7,6.26,6.36,6.45,6.54,6.82,7.01,7.57,7.85,8.69,8.79,8.97,9.07,9.25,9.35,9.44,9.53,9.63,9.81,10,9.91,9.72,9.16,8.88,8.13,7.29,6.73,5.51,4.86,4.11,3.08,2.52,2.62,2.99,3.46,3.93,4.3
139,"Cook County","County","IL",2,"Chicago-Naperville-Elgin",394463,1.5,1.31,1.21,1.03,0.93,0.56,0.84,0.37,0.65,0.47,0.28,0.19,0.09,0.75,1.12,1.4,1.59,1.68,1.78,1.87,1.96,2.06,2.15,2.24,2.34,2.43,2.52,2.62,2.71,2.8,2.9,3.36,4.02,4.3,4.67,5.05,5.51,5.98,6.26,6.54,6.45,6.07,5.89,5.7,5.42,5.14,4.86,4.49,4.21,3.93,3.55,3.27,3.08,3.18,2.99,3.46,3.64,3.74,3.83,4.11,4.39,4.58,4.77,4.95,5.23,5.33,5.61,5.79,6.17,6.36,6.64,6.73,6.82,6.92,7.01,7.1,7.2,7.29,7.38,7.66,8.22,8.41,8.69,8.79,9.07,9.25,9.53,9.63,9.72,10,9.91,9.81,9.44,9.35,9.16,8.97,8.88,8.6,8.5,8.32,8.13,7.76,7.57,7.85,7.94,8.04,7.48
1090,"Harris County","County","TX",3,"Houston-The Woodlands-Sugar Land",394692,1.4,1.21,0.93,0.65,0.47,0.28,0.09,0.19,0.37,0.56,0.75,0.84,1.03,1.12,1.31,1.5,1.68,1.59,1.78,1.87,1.96,2.24,2.34,2.06,2.15,2.43,2.52,2.62,2.71,2.9,4.49,6.36,6.64,6.92,7.2,7.76,8.13,8.32,8.5,8.69,9.16,9.35,9.44,8.97,8.6,8.41,8.79,8.88,9.25,9.63,9.53,9.72,9.91,10,9.81,9.07,8.22,8.04,7.57,7.66,7.85,7.94,7.29,6.26,3.93,3.64,4.21,4.86,4.77,3.83,4.02,4.67,5.33,5.98,6.54,6.17,5.42,5.05,4.58,4.39,4.3,5.14,6.07,5.61,3.46,2.8,3.08,4.95,6.73,7.01,7.48,7.38,7.1,6.82,6.45,5.89,5.79,5.7,5.51,5.23,4.11,3.55,3.18,2.99,3.27,3.36,3.74
2402,"Maricopa County","County","AZ",4,"Phoenix-Mesa-Scottsdale",394976,0.09,0.19,0.28,0.37,0.47,0.56,0.65,0.75,0.84,0.93,1.31,1.68,1.96,2.24,2.52,3.74,4.39,4.86,5.14,5.42,5.98,6.64,7.01,7.48,7.38,6.92,6.26,5.33,6.07,6.82,7.29,7.66,7.85,7.76,7.2,5.89,4.58,4.02,3.18,2.62,2.34,2.06,1.87,1.59,1.4,1.12,1.03,1.21,1.5,1.78,2.15,2.43,2.71,3.55,4.21,4.49,5.05,5.79,6.45,6.54,6.17,5.23,4.67,4.11,3.83,3.64,3.46,3.27,3.08,2.9,2.8,2.99,3.36,3.93,4.3,4.77,4.95,5.51,5.61,5.7,6.36,6.73,7.1,7.57,7.94,8.04,8.13,8.22,9.07,9.44,9.63,9.81,9.53,9.35,9.16,8.97,8.69,8.79,8.88,8.5,8.41,8.32,8.6,9.25,9.72,9.91,10
2841,"San Diego County","County","CA",5,"San Diego-Carlsbad",395056,1.87,1.68,1.4,1.12,0.65,0.47,0.19,0.09,0.28,0.37,0.56,0.75,1.21,1.59,1.5,1.03,0.93,0.84,1.31,1.78,1.96,2.06,2.15,2.24,2.34,2.43,3.18,4.21,5.42,7.1,7.85,8.22,7.94,7.76,7.38,6.92,6.82,6.64,6.26,5.51,5.14,4.77,4.86,4.3,3.93,2.9,2.71,2.52,2.62,2.8,3.46,3.27,2.99,3.36,3.74,4.39,5.23,6.17,6.45,6.36,5.79,5.61,5.98,5.7,5.89,6.54,7.01,7.48,7.29,7.2,7.57,8.13,8.5,8.41,8.04,8.32,8.69,8.79,9.53,9.63,9.35,9.07,8.97,8.88,9.16,9.44,9.72,9.81,10,9.91,9.25,8.6,7.66,6.73,6.07,4.95,4.49,4.02,3.83,3.55,3.08,3.64,4.11,4.58,4.67,5.05,5.33
1286,"Orange County","County","CA",6,"Los Angeles-Long Beach-Anaheim",753899,1.78,1.59,1.4,1.21,0.75,0.19,0.09,0.28,0.56,0.47,0.37,0.65,0.84,0.93,1.03,1.12,1.31,1.5,1.68,1.87,1.96,2.06,2.34,3.64,4.21,4.95,6.73,7.57,8.79,9.53,9.91,9.81,9.44,9.07,8.69,8.22,7.94,7.66,7.38,6.92,5.05,4.39,4.11,3.83,3.18,2.99,2.62,2.15,2.43,2.71,3.27,3.08,3.36,3.93,4.49,5.89,6.45,6.64,6.82,7.01,7.1,6.54,5.51,4.67,4.77,5.61,6.26,6.07,5.7,5.14,5.42,5.98,5.79,5.33,5.23,6.17,7.2,7.48,7.85,8.04,8.13,8.41,8.5,8.6,8.88,8.97,9.25,9.35,9.72,10,9.63,9.16,8.32,7.76,7.29,6.36,4.86,4.58,4.3,4.02,2.8,2.24,2.52,2.9,3.46,3.55,3.74
581,"Kings County","County","NY",7,"New York-Newark-Jersey City",394913,2.9,2.8,2.71,2.52,2.43,2.06,1.59,1.03,0.28,0.19,0.75,1.4,0.84,0.56,0.37,1.31,1.78,2.15,1.68,0.93,0.65,1.21,1.87,2.34,2.62,1.96,1.12,0.09,0.47,1.5,2.24,3.36,3.93,4.95,4.21,3.83,4.39,5.51,7.57,8.88,9.53,9.35,9.72,9.25,9.07,8.6,8.13,8.5,8.79,9.44,9.91,10,9.81,9.63,9.16,8.41,7.76,7.29,7.38,7.2,6.82,6.73,7.48,7.85,7.66,7.1,7.01,7.94,8.32,8.22,6.64,6.17,5.61,5.79,6.26,6.45,5.89,5.14,4.77,4.11,4.02,4.49,5.42,6.07,6.54,5.98,5.33,4.67,4.58,5.23,6.36,8.04,8.97,8.69,6.92,5.7,5.05,4.86,4.3,3.74,3.46,2.99,3.18,3.08,3.27,3.55,3.64
2964,"Miami-Dade County","County","FL",8,"Miami-Fort Lauderdale-West Palm Beach",394856,9.25,8.79,7.57,6.07,5.33,2.34,0.56,0.37,0.28,0.09,0.19,0.47,1.03,4.77,7.2,8.04,8.6,8.5,8.32,8.13,8.22,8.69,8.88,9.16,9.53,9.91,10,9.72,9.35,8.97,8.41,7.85,7.38,6.54,6.64,7.01,7.29,6.82,6.17,5.51,5.14,4.95,4.02,1.87,1.12,0.84,1.31,1.59,1.5,1.21,0.93,1.68,2.52,4.58,6.45,9.07,9.63,9.81,9.44,7.94,4.3,2.43,3.27,2.71,2.9,4.49,6.73,7.48,6.92,5.23,3.83,3.36,1.96,2.06,1.78,2.8,3.46,3.74,3.08,3.18,3.55,4.21,5.42,4.86,2.62,0.75,0.65,1.4,3.64,6.36,7.66,7.76,7.1,6.26,5.98,5.7,5.79,5.89,5.61,5.05,4.39,4.11,2.99,2.15,2.24,3.93,4.67
978,"Dallas County","County","TX",9,"Dallas-Fort Worth-Arlington",394514,1.4,1.5,1.31,1.12,0.93,0.84,0.19,0.28,0.09,0.47,0.37,0.75,0.65,0.56,1.03,1.21,1.59,1.68,1.78,1.87,1.96,2.06,2.15,2.24,2.34,2.43,2.52,2.62,2.71,2.8,2.9,3.08,3.36,3.64,3.93,4.11,4.3,4.49,4.67,4.86,4.95,5.05,5.33,5.42,5.51,5.61,5.7,6.07,6.26,5.79,5.98,6.17,6.54,7.2,7.48,7.94,8.32,8.6,8.22,8.13,7.57,7.76,6.82,7.1,6.45,6.64,6.73,6.92,7.01,7.38,7.66,8.04,8.41,8.5,8.88,8.79,8.97,9.44,9.72,10,9.81,9.91,9.63,9.53,9.35,9.25,9.16,9.07,8.69,7.85,7.29,6.36,5.89,5.23,5.14,4.77,4.58,4.39,4.21,4.02,3.83,3.74,3.55,3.46,3.27,3.18,2.99
1347,"Queens County","County","NY",10,"New York-Newark-Jersey City",394913,10,9.91,9.72,7.94,4.49,2.99,2.52,1.96,1.5,0.75,0.93,1.59,1.87,2.24,2.71,2.62,2.43,1.68,1.4,1.12,1.31,1.21,1.03,0.65,0.47,0.37,0.09,0.19,0.28,0.56,0.84,1.78,2.06,2.9,3.08,3.36,4.58,5.42,6.73,7.38,8.04,7.2,6.17,4.86,3.93,3.27,3.74,4.11,4.3,4.39,5.14,7.66,9.16,8.97,7.01,5.61,5.98,7.29,7.76,6.45,6.36,6.82,6.54,5.51,5.33,5.7,8.6,9.44,9.81,9.63,9.53,9.35,9.07,8.41,7.1,7.57,8.22,8.5,7.85,6.26,5.05,4.67,4.95,5.89,8.32,8.69,8.13,6.64,5.79,6.07,7.48,8.88,9.25,8.79,6.92,5.23,4.77,4.21,4.02,3.64,3.46,3.55,3.83,3.18,2.8,2.34,2.15
2832,"Riverside County","County","CA",11,"Riverside-San Bernardino-Ontario",395025,1.59,1.5,1.31,1.12,0.93,0.75,0.47,0.28,0.19,0.09,0.37,0.56,0.65,0.84,1.03,1.21,1.4,1.68,1.78,1.87,2.71,3.27,3.36,3.74,4.67,5.79,6.73,7.2,7.76,8.13,8.32,8.5,8.69,9.16,9.44,9.72,9.63,9.35,8.41,7.85,7.66,7.38,6.92,6.36,5.61,4.49,2.99,2.34,2.15,1.96,2.62,2.52,2.24,2.06,2.43,3.18,3.55,4.21,4.58,5.14,5.23,4.86,3.83,3.08,2.8,2.9,3.46,4.02,4.39,3.64,3.93,4.3,4.11,4.77,5.33,5.98,6.45,6.82,7.1,7.57,8.04,8.22,8.6,8.79,8.97,8.88,9.25,9.53,9.81,10,9.91,9.07,7.94,7.48,7.29,7.01,6.64,6.54,6.26,5.89,5.51,4.95,5.05,5.42,5.7,6.07,6.17
3250,"San Bernardino County","County","CA",12,"Riverside-San Bernardino-Ontario",395025,1.31,1.21,1.03,0.84,0.65,0.37,0.19,0.09,0.28,0.47,0.56,0.75,0.93,1.12,1.4,1.5,1.68,1.59,1.78,1.87,1.96,2.43,2.99,4.02,5.23,5.79,6.36,6.92,7.29,7.38,7.57,7.76,7.85,7.94,8.32,8.97,9.44,9.53,9.35,9.16,8.41,8.22,7.66,7.1,6.45,5.89,5.14,4.39,3.46,3.27,3.18,2.71,2.15,2.06,2.52,2.8,3.36,3.64,4.3,4.21,4.67,3.74,2.9,2.34,2.24,2.62,3.08,3.83,3.93,3.55,4.11,4.86,5.05,5.33,5.42,5.7,6.17,6.64,7.01,8.04,8.69,9.07,8.88,8.5,8.6,8.79,9.25,9.63,9.81,10,9.91,9.72,8.13,7.48,7.2,6.82,6.73,6.54,5.98,5.61,4.95,4.58,4.49,4.77,5.51,6.07,6.26
