"RegionID","RegionName","RegionType","StateName","SizeRank","MSA","MSARegionID","2010-11","2010-12","2011-1","2011-2","2011-3","2011-4","2011-5","2011-6","2011-7","2011-8","2011-9","2011-10","2011-11","2011-12","2012-1","2012-2","2012-3","2012-4","2012-5","2012-6","2012-7","2012-8","2012-9","2012-10","2012-11","2012-12","2013-1","2013-2","2013-3","2013-4","2013-5","2013-6","2013-7","2013-8","2013-9","2013-10","2013-11","2013-12","2014-1","2014-2","2014-3","2014-4","2014-5","2014-6","2014-7","2014-8","2014-9","2014-10","2014-11","2014-12","2015-1","2015-2","2015-3","2015-4","2015-5","2015-6","2015-7","2015-8","2015-9","2015-10","2015-11","2015-12","2016-1","2016-2","2016-3","2016-4","2016-5","2016-6","2016-7","2016-8","2016-9","2016-10","2016-11","2016-12","2017-1","2017-2","2017-3","2017-4","2017-5","2017-6","2017-7","2017-8","2017-9","2017-10","2017-11","2017-12","2018-1","2018-2","2018-3","2018-4","2018-5","2018-6","2018-7","2018-8","2018-9","2018-10","2018-11","2018-12","2019-1","2019-2","2019-3","2019-4","2019-5","2019-6","2019-7","2019-8","2019-9"
274772,"Northeast Dallas","Neighborhood","TX",1,"Dallas-Fort Worth-Arlington",394514,2.52,1.59,0.93,0.47,0.19,0.28,0.56,1.21,2.34,3.18,3.55,2.24,1.5,1.12,1.31,0.65,0.37,0.09,0.84,1.78,2.43,2.71,3.08,2.9,2.62,1.96,1.4,1.68,2.99,5.51,6.17,5.23,5.89,6.54,6.92,4.39,3.74,3.64,6.64,8.41,9.63,9.53,8.88,8.6,8.22,8.04,7.76,6.45,5.14,3.93,3.83,4.49,5.42,7.48,8.79,9.72,9.91,10,9.81,8.97,7.38,5.79,4.58,4.21,4.11,7.01,8.5,9.44,9.25,8.32,7.66,5.98,5.61,5.7,6.07,5.05,4.67,5.33,7.57,8.69,9.16,9.35,8.13,6.73,4.95,6.82,7.94,9.07,7.85,7.1,6.36,7.2,7.29,6.26,4.77,4.02,4.3,4.86,3.27,2.15,0.75,1.03,2.06,3.46,3.36,2.8,1.87
112345,"Maryvale","Neighborhood","AZ",2,"Phoenix-Mesa-Scottsdale",394976,0.09,0.19,0.56,0.93,1.12,0.75,0.65,0.84,1.5,2.62,4.11,5.79,6.45,6.92,6.82,7.48,8.13,8.22,8.88,9.25,8.97,7.94,6.17,6.64,7.66,7.2,5.51,5.61,7.85,9.16,9.35,8.32,8.04,6.07,5.23,3.74,3.55,3.64,3.83,3.18,2.15,1.4,1.03,0.47,0.28,0.37,1.21,1.96,2.43,2.34,2.52,3.08,4.39,5.42,5.7,5.98,6.26,7.01,7.57,7.1,6.73,5.89,5.33,4.86,4.77,5.14,5.05,4.58,3.46,2.99,1.68,1.59,1.31,2.06,2.9,3.27,2.8,1.87,1.78,2.24,2.71,3.36,4.02,4.49,3.93,4.21,4.3,4.67,4.95,7.29,9.53,10,9.81,9.63,9.44,8.6,8.41,8.69,9.07,8.79,7.76,6.54,6.36,7.38,8.5,9.72,9.91
192689,"Paradise","Neighborhood","NV",3,"Las Vegas-Henderson-Paradise",394775,1.4,1.5,1.21,0.75,0.19,0.09,0.28,0.84,1.31,1.12,0.93,0.56,0.47,0.37,0.65,1.03,1.68,1.96,2.43,2.52,2.71,2.24,2.62,3.36,5.05,3.83,2.34,2.15,3.08,6.07,7.01,7.29,7.66,8.22,8.04,7.2,7.1,6.54,6.92,6.64,6.36,4.95,3.74,2.9,2.99,3.64,4.67,5.7,6.26,6.82,7.94,8.41,8.32,7.38,6.45,5.79,5.42,5.98,5.89,5.61,4.3,5.23,5.14,5.51,3.93,3.46,3.18,3.55,4.02,4.11,4.86,4.77,4.49,4.21,4.39,5.33,6.17,7.48,8.5,8.6,8.79,8.97,9.07,9.16,9.25,9.44,9.63,9.72,10,9.91,9.81,9.53,9.35,8.88,8.69,8.13,7.57,7.76,7.85,6.73,4.58,3.27,2.8,2.06,1.87,1.78,1.59
270958,"Upper West Side","Neighborhood","NY",4,"New York-Newark-Jersey City",394913,1.87,2.52,2.8,3.46,3.64,4.02,4.21,3.36,2.99,2.71,2.15,1.78,1.21,0.93,0.65,0.28,0.09,0.19,0.37,0.47,0.56,0.75,0.84,1.03,1.12,1.31,1.96,2.9,3.83,3.55,3.93,4.95,4.77,4.49,4.11,5.23,6.45,8.41,9.35,9.91,10,9.81,9.63,9.44,9.16,9.07,8.97,8.79,8.69,8.6,8.32,7.38,6.64,6.36,6.07,6.17,6.73,7.1,7.48,7.66,7.94,7.57,6.92,5.79,4.86,5.14,4.67,3.74,3.18,3.27,4.39,5.33,5.7,5.61,6.26,6.82,6.54,5.51,4.3,5.05,5.42,5.89,5.98,7.01,7.29,7.85,7.76,8.13,8.22,8.04,8.5,9.25,9.72,9.53,8.88,7.2,4.58,3.08,2.43,2.24,2.06,2.62,2.34,1.68,1.5,1.4,1.59
118208,"South Los Angeles","Neighborhood","CA",5,"Los Angeles-Long Beach-Anaheim",753899,2.34,1.96,2.24,2.06,1.59,0.75,0.56,0.47,0.37,0.28,0.09,0.19,0.65,0.84,1.12,1.21,1.5,2.15,1.87,1.4,1.03,0.93,1.31,1.78,2.8,3.64,5.33,5.61,4.77,4.02,4.86,6.17,5.89,4.11,3.18,3.74,3.93,3.36,2.43,2.71,3.46,3.55,3.08,2.9,2.52,3.27,3.83,4.21,4.67,5.05,5.51,4.58,5.23,5.79,5.98,6.07,6.36,6.54,6.45,4.95,4.49,4.39,5.14,4.3,2.99,1.68,2.62,5.42,7.1,7.57,7.76,7.48,7.38,7.29,7.94,8.04,8.69,8.97,9.72,9.25,8.88,9.16,9.44,9.35,8.6,8.5,8.13,8.41,8.32,9.07,9.81,10,9.91,9.63,9.53,8.79,8.22,7.66,6.92,7.01,7.2,7.85,6.73,6.26,5.7,6.64,6.82
270957,"Upper East Side","Neighborhood","NY",6,"New York-Newark-Jersey City",394913,4.21,3.74,3.64,4.02,4.11,3.83,3.36,3.08,2.9,2.71,2.52,2.15,1.78,1.31,1.12,0.75,0.47,0.09,0.19,0.28,0.37,0.56,0.65,0.84,0.93,1.03,1.21,1.4,1.87,2.24,2.8,3.18,3.46,3.93,4.3,4.39,4.58,7.48,8.6,9.63,9.53,9.35,8.41,8.79,8.5,9.72,9.81,10,9.25,8.04,7.66,7.57,7.85,7.38,6.92,5.42,5.98,6.07,6.36,5.79,5.61,6.82,6.26,6.54,5.23,5.89,4.86,4.67,4.95,5.51,6.73,6.17,6.45,5.33,5.14,4.77,5.05,5.7,6.64,7.01,7.1,7.2,7.76,7.94,8.13,8.22,8.97,9.16,9.07,8.32,8.69,9.44,9.91,8.88,7.29,4.49,3.55,3.27,2.99,2.62,2.43,2.34,2.06,1.68,1.5,1.59,1.96
192820,"Sunrise Manor","Neighborhood","NV",7,"Las Vegas-Henderson-Paradise",394775,2.62,2.9,2.52,2.06,0.75,0.47,0.19,0.28,0.09,0.37,0.65,0.93,0.84,0.56,1.12,2.43,3.18,3.64,5.42,6.26,5.7,4.77,3.55,3.93,4.86,4.39,4.3,3.74,5.98,6.36,7.29,4.67,3.83,4.95,7.1,7.01,6.64,5.79,5.89,5.61,4.02,2.8,2.34,2.15,1.68,1.21,1.03,1.96,2.71,3.08,3.46,4.49,6.82,7.85,7.94,6.92,6.54,6.45,7.76,6.73,7.2,7.57,5.33,2.99,1.5,1.4,1.87,3.36,6.17,7.38,6.07,5.23,5.05,4.58,4.11,4.21,5.51,7.66,8.22,8.5,8.6,8.69,8.79,8.97,9.07,9.16,9.35,9.44,9.72,10,9.91,9.81,9.63,9.53,9.25,8.88,8.41,8.32,8.13,8.04,7.48,5.14,3.27,2.24,1.78,1.59,1.31
192796,"Spring Valley","Neighborhood","NV",8,"Las Vegas-Henderson-Paradise",394775,2.8,2.34,2.15,1.4,1.03,0.56,0.65,0.84,0.47,0.37,0.09,0.19,0.28,0.75,0.93,1.68,3.64,4.58,4.21,2.52,2.24,1.59,2.06,2.62,4.86,5.61,6.45,4.67,4.49,4.39,6.54,7.57,8.22,8.5,8.32,7.85,7.29,5.7,4.95,3.93,2.43,1.96,1.87,2.9,4.11,6.17,7.01,7.1,6.07,5.51,5.89,6.82,6.26,5.33,5.05,5.14,5.79,6.64,7.2,6.92,6.73,5.42,4.77,3.55,2.99,3.18,3.46,3.83,3.36,3.27,3.08,4.02,4.3,5.23,6.36,7.48,8.04,8.41,8.79,8.97,8.69,8.6,8.88,9.16,9.25,9.35,9.53,9.72,9.91,10,9.81,9.63,9.44,9.07,8.13,7.94,7.66,7.76,7.38,5.98,3.74,2.71,1.78,1.5,1.31,1.21,1.12
268496,"Southeast Los Angeles","Neighborhood","CA",9,"Los Angeles-Long Beach-Anaheim",753899,5.61,4.3,1.68,0.84,0.09,0.28,0.65,1.12,0.75,0.47,0.56,1.31,1.4,1.59,1.21,1.03,0.37,0.19,0.93,1.78,2.62,2.06,3.18,4.86,5.23,3.83,2.34,2.52,2.24,3.27,3.74,4.77,4.49,3.36,3.08,2.71,3.55,5.14,5.98,5.42,5.05,4.21,4.39,3.64,5.33,5.51,6.45,6.36,6.92,6.64,6.73,4.02,1.87,1.5,2.8,5.89,6.54,6.07,4.11,2.9,2.15,4.58,5.7,6.26,3.93,2.43,1.96,2.99,5.79,7.38,8.41,8.22,7.48,7.01,4.95,3.46,4.67,6.82,8.5,9.25,9.53,9.16,9.07,8.88,8.69,8.32,8.04,8.13,7.66,8.6,9.35,9.72,9.81,9.63,9.91,10,9.44,8.97,7.94,7.85,7.29,7.1,6.17,7.2,7.76,8.79,7.57
194430,"East New York","Neighborhood","NY",10,"New York-Newark-Jersey City",394913,4.39,2.34,4.02,5.14,6.54,6.26,2.9,0.75,0.47,1.4,2.15,2.06,1.5,1.31,0.56,0.37,1.12,1.59,2.43,4.49,3.46,1.87,0.65,0.19,1.03,0.93,0.28,0.09,0.84,1.68,3.36,6.36,5.23,6.45,7.38,9.53,9.81,9.72,9.35,7.76,6.17,2.24,1.96,1.21,1.78,2.8,5.7,5.98,5.51,4.95,3.55,3.27,3.08,4.77,7.66,8.6,7.94,3.64,2.52,2.99,5.61,8.32,8.79,9.25,9.16,9.07,8.97,9.44,9.91,10,9.63,8.88,7.48,7.01,8.04,8.69,8.5,8.22,7.85,6.73,4.67,3.74,2.62,4.58,6.07,8.41,7.1,7.29,7.2,6.92,5.79,4.21,5.42,6.82,8.13,7.57,6.64,5.33,4.86,5.89,5.05,4.11,2.71,3.83,4.3,3.93,3.18
