RegionID,RegionName,StateName,SizeRank,2008-03,2008-04,2008-05,2008-06,2008-07,2008-08,2008-09,2008-10,2008-11,2008-12,2009-01,2009-02,2009-03,2009-04,2009-05,2009-06,2009-07,2009-08,2009-09,2009-10,2009-11,2009-12,2010-01,2010-02,2010-03,2010-04,2010-05,2010-06,2010-07,2010-08,2010-09,2010-10,2010-11,2010-12,2011-01,2011-02,2011-03,2011-04,2011-05,2011-06,2011-07,2011-08,2011-09,2011-10,2011-11,2011-12,2012-01,2012-02,2012-03,2012-04,2012-05,2012-06,2012-07,2012-08,2012-09,2012-10,2012-11,2012-12,2013-01,2013-02,2013-03,2013-04,2013-05,2013-06,2013-07,2013-08,2013-09,2013-10,2013-11,2013-12,2014-01,2014-02,2014-03,2014-04,2014-05,2014-06,2014-07,2014-08,2014-09,2014-10,2014-11,2014-12,2015-01,2015-02,2015-03,2015-04,2015-05,2015-06,2015-07,2015-08,2015-09,2015-10,2015-11,2015-12,2016-01,2016-02,2016-03,2016-04,2016-05,2016-06,2016-07,2016-08,2016-09,2016-10,2016-11,2016-12,2017-01,2017-02,2017-03,2017-04,2017-05,2017-06,2017-07,2017-08,2017-09,2017-10,2017-11,2017-12,2018-01,2018-02,2018-03,2018-04,2018-05,2018-06,2018-07,2018-08,2018-09,2018-10,2018-11,2018-12,2019-01,2019-02,2019-03,2019-04,2019-05,2019-06,2019-07,2019-08,2019-09
3101,Los Angeles County,California,1,,,,,,,,,,,,0.3615,0.3424,0.3308,0.323,0.2903,0.281,0.2627,0.2454,0.2345,0.232,0.224,0.2362,0.2386,0.216,0.2056,0.1917,0.1849,0.1966,0.187,0.1902,0.1925,0.1945,0.1983,0.212,0.2151,0.2099,0.1879,0.182,0.1869,0.1745,0.1746,0.1755,0.1975,0.1783,0.1756,0.1938,0.1838,0.1833,0.1601,0.1619,0.1434,0.1244,0.105,0.0804,0.081,0.0716,0.0639,0.0751,0.0763,0.0614,0.0601,0.0494,0.0368,0.0279,0.0209,0.0179,0.0205,0.0179,0.0207,0.0205,0.0231,0.0208,0.0193,0.0166,0.0191,0.0201,0.0165,0.0188,0.0193,0.0199,0.0203,0.0216,0.0252,0.0223,0.0206,0.0189,0.0159,0.0172,0.0148,0.0149,0.0169,0.0167,0.0146,0.0153,0.019,0.0137,0.0137,0.0136,0.0097,0.0082,0.0102,0.0094,0.0098,0.0085,0.0083,0.0086,0.0096,0.0109,0.01,0.008,0.0063,0.006,0.0066,0.0055,0.008,0.0046,0.0061,0.0062,0.0069,0.0066,0.0067,0.0043,0.0054,0.0054,0.005,0.0057,0.0047,0.0043,0.0047,0.007,0.0073,0.0064,0.0071,0.0058,0.0068,0.0056,0.0049,0.0058
139,Cook County,Illinois,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.145,0.1577,0.1468,0.1392,0.1212,0.086,0.072,0.0681,0.0523,0.0562,0.0555,0.0613,0.0592,0.0714,0.0807,0.0798,0.0548,0.0526,0.0474,0.0411,0.0462,0.0553,0.0552,0.0602,0.0681,0.0634,0.0626,0.0621,0.055,0.0427,0.0379,0.0299,0.0303,0.0326,0.0375,0.0376,0.0409,0.0453,0.0594,0.0481,0.0456,0.0364,0.0288,0.0296,0.031,0.0313,0.0356,0.0383,0.036,0.0447,0.0535,0.0437,0.0329,0.0275,0.0285,0.0295,0.0355,0.038,0.0397,0.041,0.0364,0.0503,0.0605,0.0476,0.0354,0.0318,0.0306,0.0265,0.0306,0.0355
1090,Harris County,Texas,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0176,0.0164,0.0184,0.0187,0.013,0.0096,0.0126,0.012,0.0135,0.0103,0.0096,0.0063,0.007,0.0083,0.0102,0.0121,0.0132,0.0161,0.0108,0.0117,0.0133,0.0117,0.0078,0.009,0.0057,0.0075,0.0075,0.0045,0.004,0.0066,0.0066,0.0105,0.0098,0.0122,0.012,0.0159,0.0118,0.0107,0.0138,0.0161,0.0128,0.0107,0.0081,0.0054,0.0073,0.0067,0.0076
2402,Maricopa County,Arizona,4,,,,,,,,,,,,,,0.2545,0.2443,0.2353,0.2321,0.2232,0.2136,0.1936,0.1799,0.2046,0.2003,0.2012,0.1888,0.1847,0.1966,0.1784,0.1786,0.1785,0.1979,0.1985,0.2053,0.2353,0.2257,0.227,0.2183,0.1981,0.1804,0.1683,0.1652,0.1571,0.144,0.1381,0.11,0.1009,0.0788,0.0738,0.0688,0.056,0.0519,0.0465,0.0441,0.038,0.0398,0.0428,0.0401,0.0434,0.0476,0.0404,0.0327,0.0344,0.0318,0.0251,0.0231,0.0205,0.0206,0.0186,0.02,0.0197,0.0237,0.0188,0.0184,0.0186,0.0173,0.0182,0.0214,0.0169,0.0164,0.018,0.0155,0.0193,0.0168,0.0173,0.0141,0.0114,0.011,0.0106,0.0119,0.0102,0.0092,0.0105,0.0093,0.0093,0.0077,0.0101,0.0092,0.0088,0.0073,0.0057,0.0071,0.0077,0.0099,0.008,0.0083,0.0093,0.0098,0.0095,0.0093,0.0068,0.0051,0.004,0.0054,0.0047,0.0036,0.0035,0.0057,0.0055,0.0045,0.0041,0.0036,0.0032,0.0025,0.0024,0.0034,0.0029,0.0034,0.005,0.0042,0.0043,0.0037,0.0036,0.0031,0.0023,0.0034,0.0026,0.0031,0.0021,0.0029
2841,San Diego County,California,5,0.2815,0.2872,0.3075,0.3435,0.3534,0.3656,0.4242,0.4157,0.4461,0.4498,0.4771,0.4592,0.457,0.4177,0.3782,0.3276,0.3064,0.2881,0.2814,0.2585,0.2308,0.2637,0.284,0.2645,0.2466,0.2273,0.21,0.2019,0.2116,0.2253,0.1987,0.2164,0.2109,0.2363,0.2565,0.2552,0.244,0.2088,0.2129,0.2065,0.1921,0.195,0.1803,0.1913,0.1833,0.1899,0.1942,0.1973,0.1544,0.1509,0.1405,0.1326,0.0983,0.0889,0.0752,0.0794,0.0694,0.0707,0.0836,0.076,0.054,0.0516,0.0399,0.033,0.0228,0.0202,0.0175,0.022,0.0185,0.0159,0.0197,0.0233,0.0258,0.0208,0.0225,0.0178,0.0141,0.0212,0.0167,0.0165,0.0193,0.0214,0.0296,0.026,0.0243,0.0166,0.0184,0.0148,0.0173,0.0164,0.0159,0.0162,0.0149,0.0133,0.0223,0.0175,0.0158,0.0142,0.0112,0.0096,0.0109,0.0109,0.0077,0.0072,0.0131,0.0138,0.012,0.0135,0.0081,0.0094,0.0072,0.0066,0.0065,0.006,0.0073,0.0031,0.0084,0.0059,0.0071,0.0084,0.0057,0.0048,0.0052,0.0061,0.0033,0.0036,0.006,0.0051,0.0067,0.0073,0.011,0.0099,0.0053,0.011,0.0045,0.0047,0.0038,0.0056,
1286,Orange County,California,6,0.1708,0.1761,0.1789,0.1946,0.2275,0.2281,0.2219,0.2546,0.301,0.298,0.3072,0.2986,0.2718,0.2649,0.2488,0.1877,0.1817,0.171,0.1425,0.1579,0.1479,0.1432,0.1538,0.1597,0.1335,0.1318,0.1227,0.1178,0.1231,0.1296,0.1198,0.1279,0.1432,0.1695,0.1695,0.1718,0.163,0.1478,0.1404,0.1319,0.1196,0.1245,0.1343,0.1445,0.1318,0.1424,0.1426,0.1381,0.1418,0.1122,0.1146,0.0986,0.0724,0.067,0.0524,0.0507,0.0415,0.0487,0.0523,0.0506,0.0322,0.0272,0.0234,0.0171,0.0135,0.0102,0.0107,0.0089,0.0115,0.0099,0.0124,0.013,0.0094,0.0083,0.008,0.0082,0.0092,0.0094,0.0076,0.0057,0.0107,0.0111,0.0155,0.0113,0.0115,0.0132,0.0119,0.0103,0.0078,0.0076,0.0083,0.0083,0.011,0.0071,0.0124,0.0088,0.0089,0.0094,0.0072,0.0089,0.0042,0.0054,0.0069,0.0044,0.0067,0.0072,0.0066,0.0077,0.0063,0.0068,0.0034,0.0045,0.0025,0.005,0.0027,0.0035,0.0061,0.0034,0.0032,0.0022,0.0025,0.0022,0.0023,9e-4,0.0013,0.0031,0.0021,0.0015,0.0025,0.0018,0.0029,4e-4,0.0012,0.0028,0.0016,0.0021,0.0023,7e-4,0.0016
2964,Miami-Dade County,Florida,7,,,,,,,,,,,,,,0.2375,0.2356,0.1929,0.2058,0.1997,0.1825,0.1733,0.1688,0.1573,0.1631,0.1629,0.1405,0.1401,0.139,0.1589,0.1853,0.2508,0.2585,0.2527,0.2296,0.244,0.212,0.2294,0.2103,0.1777,0.1403,0.1223,0.1047,0.1058,0.0898,0.0812,0.0846,0.0815,0.0941,0.0921,0.0859,0.0905,0.0914,0.09,0.0908,0.0796,0.0923,0.0809,0.0777,0.0643,0.0755,0.0768,0.0772,0.0801,0.065,0.0775,0.0741,0.081,0.0806,0.093,0.077,0.0858,0.1069,0.1007,0.078,0.0869,0.0829,0.0914,0.0787,0.0783,0.0922,0.0985,0.0761,0.0766,0.1046,0.0995,0.0932,0.0824,0.0672,0.0699,0.0564,0.0555,0.0399,0.0387,0.0269,0.0245,0.0174,0.0196,0.0115,0.0072,0.0106,0.0112,0.0081,0.0069,0.0088,0.0068,0.0068,0.0063,0.0026,0.0053,0.0022,0.002,0.0021,0.0017,0.0026,0.0019,0.0013,0.0028,0.0013,9e-4,3e-4,0.0015,7e-4,0.0021,0.0026,0.0038,0.002,0.0033,0.0018,9e-4,0.0019,0.0016,0.002,0.0026,9e-4,9e-4,0.0012,,,,
978,Dallas County,Texas,8,0.0732,0.071,0.081,0.0744,0.0733,0.0747,0.0978,0.0917,0.0999,0.097,0.1515,0.1283,0.15,0.1487,0.1335,0.0888,0.1166,0.0924,0.1044,0.1113,0.0943,0.107,0.126,0.1455,0.1223,0.0955,0.10780000000000001,0.1089,0.1267,0.121,0.1285,0.1319,0.1222,0.0864,0.1218,0.1226,0.1184,0.1111,0.1029,0.1065,0.1015,0.0952,0.0963,0.1086,0.0909,0.091,0.0997,0.1142,0.1,0.0999,0.1081,0.099,0.1032,0.0889,0.0773,0.0877,0.095,0.0858,0.10780000000000001,0.0859,0.0651,0.0584,0.0498,0.0446,0.0461,0.0371,0.038,0.0366,0.0438,0.0493,0.0571,0.0436,0.0481,0.0418,0.0243,0.0339,0.0233,0.0356,0.0312,0.0282,0.0362,0.0303,0.04,0.0316,0.0376,0.0283,0.0286,0.0201,0.0248,0.0238,0.0244,0.0159,0.0172,0.0159,0.0191,0.0163,0.0164,0.0148,0.0179,0.0159,0.0127,0.0112,0.0175,0.0072,0.0141,0.0111,0.0102,0.0098,0.0066,0.0062,0.0069,0.0058,0.0053,0.0027,0.0041,0.0072,0.0034,0.0053,0.0038,0.0024,0.0048,0.0053,0.0035,0.0023,0.0043,0.0034,0.0024,0.0021,0.0026,0.0029,0.0053,0.0041,0.0028,0.0022,0.0023,0.003,0.0026,0.0031,
2832,Riverside County,California,9,,,,,,,,,,,,,0.5084,0.5276,0.5124,0.4657,0.4594,0.4498,0.4144,0.4209,0.3961,0.3771,0.378,0.3726,0.3667,0.3165,0.3128,0.3012,0.3191,0.3173,0.3206,0.3314,0.3318,0.3244,0.3481,0.3278,0.2989,0.2994,0.2846,0.2872,0.3025,0.2999,0.2929,0.2814,0.2602,0.2696,0.269,0.2518,0.2309,0.2232,0.2127,0.1975,0.1728,0.1573,0.1265,0.1095,0.1108,0.0993,0.1086,0.1148,0.1036,0.0834,0.0642,0.0555,0.0505,0.0373,0.036,0.0315,0.0303,0.0401,0.0396,0.0421,0.0378,0.038,0.0353,0.041,0.0375,0.0373,0.0338,0.0357,0.0471,0.0354,0.0466,0.0459,0.0364,0.0345,0.0357,0.0332,0.0317,0.0297,0.0312,0.0272,0.026,0.0297,0.0247,0.0354,0.026,0.0274,0.0212,0.0199,0.0186,0.0177,0.0197,0.0167,0.0161,0.016,0.0261,0.0246,0.0167,0.0173,0.0182,0.0138,0.0159,0.0147,0.0126,0.0122,0.0125,0.0139,0.0166,0.0153,0.0137,0.0096,0.0104,0.0089,0.005,0.0092,0.0066,0.0125,0.0126,0.0118,0.0143,0.0124,0.0114,0.0086,0.0101,0.009,0.0092,0.0084,0.0065
3250,San Bernardino County,California,10,,,,,,,,,,,,,,0.571,0.5512,0.5212,0.4938,0.4823,0.4488,0.4459,0.4138,0.4133,0.4153,0.4207,0.3795,0.3825,0.3464,0.3173,0.3617,0.3481,0.3332,0.3663,0.3593,0.3676,0.3773,0.3679,0.3551,0.3409,0.3353,0.3314,0.316,0.3225,0.3069,0.3155,0.2801,0.2895,0.3274,0.3016,0.272,0.2608,0.2628,0.2246,0.2004,0.1723,0.149,0.1529,0.1488,0.141,0.1598,0.1596,0.118,0.1129,0.1025,0.0858,0.0689,0.0606,0.0508,0.0414,0.0586,0.0498,0.0612,0.0783,0.061,0.0541,0.0527,0.0511,0.0525,0.0496,0.0427,0.0369,0.0555,0.0396,0.06,0.0634,0.0496,0.0461,0.0389,0.045,0.0442,0.0411,0.0383,0.0429,0.0392,0.0401,0.0423,0.0414,0.0413,0.0426,0.0387,0.0246,0.0315,0.0252,0.028,0.0281,0.0213,0.0229,0.0291,0.0313,0.0294,0.0205,0.0188,0.0171,0.0193,0.0141,0.0143,0.0184,0.0169,0.0195,0.0259,0.0218,0.0244,0.0207,0.017,0.0158,0.0186,0.0115,0.0166,0.018,0.0169,0.0158,0.0196,0.0168,0.0229,0.0156,0.016,0.01,0.0132,0.0145,0.0099
