SizeRank,RegionID,RegionName,RegionType,StateName,2013-01,2013-02,2013-03,2013-04,2013-05,2013-06,2013-07,2013-08,2013-09,2013-10,2013-11,2013-12,2014-01,2014-02,2014-03,2014-04,2014-05,2014-06,2014-07,2014-08,2014-09,2014-10,2014-11,2014-12,2015-01,2015-02,2015-03,2015-04,2015-05,2015-06,2015-07,2015-08,2015-09,2015-10,2015-11,2015-12,2016-01,2016-02,2016-03,2016-04,2016-05,2016-06,2016-07,2016-08,2016-09,2016-10,2016-11,2016-12,2017-01,2017-02,2017-03,2017-04,2017-05,2017-06,2017-07,2017-08,2017-09,2017-10,2017-11,2017-12,2018-01,2018-02,2018-03,2018-04,2018-05,2018-06,2018-07,2018-08,2018-09,2018-10,2018-11,2018-12,2019-01,2019-02,2019-03,2019-04,2019-05,2019-06,2019-07,2019-08,2019-09
1,9,California,State,CA,63412,65186,66160,65926,67642,68294,68522,74147,74622,75837,73587,68895,62698,67299,71272,76695,81164,87325,91010,90543,90748,90911,88216,77341,71502,70780,71078,73614,78488,82402,85767,86688,86262,83990,80176,69595,59915,62978,66770,71321,74916,79991,87002,87758,84108,80794,75505,65336,59033,60043,59716,60008,63635,65191,65196,65602,65438,63588,60119,52266,49402,53146,56032,59910,66294,71188,75528,79353,83050,83952,81958,72712,67051,68808,68776,71327,73162,78400,78335,77362,76826
2,54,Texas,State,TX,103189,106938,111954,113002,115072,114236,113078,114123,109924,105533,101597,95908,88996,92476,94363,97990,99774,102902,105303,105778,103654,100064,96814,89869,84960,87112,88877,88598,92250,92946,96120,99450,97331,96315,92688,87423,79468,81384,85811,88096,89805,95331,99608,101547,99460,97884,95105,89540,86492,89336,90708,92034,96418,101216,105141,110573,105558,102842,99741,93464,87322,88337,92078,96206,101843,106679,109496,110556,108942,107921,105450,97908,93449,94923,96906,101400,103376,108516,110140,109998,107694
3,43,New York,State,NY,82681,85056,88392,90832,91179,92336,91106,90942,89464,87808,84459,79101,73079,75298,76499,80964,85687,89635,91975,91101,91008,87533,83309,75526,70937,71082,73208,79406,84759,91710,92760,92030,89736,87405,82472,74778,68188,68876,71227,75773,78281,81394,81578,79951,79433,77536,72702,67862,63256,62966,62885,62476,66057,67984,68430,67663,67624,66696,62858,56806,52270,54722,56616,58875,63957,67876,69369,68960,69358,69279,66129,59157,54838,55686,57018,60632,63921,68721,68486,67686,68060
4,14,Florida,State,FL,154977,165030,168150,158446,151674,147654,137064,138286,141408,147184,154422,158143,154885,161068,163954,164655,164738,165522,163681,160338,159982,160275,160864,159620,158016,161013,146186,142168,145171,139500,141451,141736,140338,139447,140652,141825,137526,144584,148957,149190,148852,146095,146250,145875,144548,144019,145689,146130,147572,154406,151474,146332,140927,138156,135689,134164,129646,129422,133574,134122,135124,139490,142048,141020,139309,136823,136392,135215,136320,140306,144852,144946,148101,153156,152140,149544,142899,138512,133840,129627,128650
5,21,Illinois,State,IL,53810,55512,56970,58492,60370,58696,58742,60638,60030,58879,56216,52057,48646,49126,51634,53573,59092,63144,65340,66489,66505,65151,61678,56139,53055,53672,56806,59564,63328,66320,66868,67310,66556,65170,61620,55159,50620,50902,53466,55417,58408,61154,64490,63544,62803,60920,58061,52952,48263,48894,50493,51246,53119,55238,56170,57666,58200,56954,53050,47234,43116,44182,47032,49151,52177,55470,57364,58410,58420,57312,53538,47316,43714,44161,46126,49726,51225,55298,57111,57784,58203
6,47,Pennsylvania,State,PA,58129,60311,62260,64772,67580,69878,69498,70106,69758,69072,66830,63254,58343,57754,57713,63766,68919,71267,72880,73646,72723,71409,68646,63370,58630,57904,58341,57508,62996,67265,70304,69955,69235,68238,64959,59285,54452,55116,56593,59078,60595,63242,63733,63412,62490,61328,58869,53638,49888,49700,49290,49464,52414,53922,54812,54838,54933,54005,52043,47608,43611,42814,43811,45459,47757,49059,49204,49346,49288,49099,47076,42424,39344,38030,37678,39562,40202,43146,43417,43458,43784
7,44,Ohio,State,OH,47946,50124,51604,53320,55505,57872,57740,57850,57110,55635,53420,50184,46351,45162,45433,48373,51584,54220,56640,57757,57049,55568,52912,48200,45288,44630,44551,45628,48636,53284,54680,55531,54554,53662,50924,46039,42302,41776,41631,42536,43656,46818,47790,50818,49984,48234,44729,40536,37588,37182,36930,37206,37624,39538,40962,41959,41791,40499,38639,34685,31437,30782,31154,32104,33971,36239,37660,39007,39010,38635,36946,32518,29856,28558,28401,29166,29902,32858,33943,34697,34977
8,30,Michigan,State,MI,53975,53926,54520,55818,59044,61278,60397,63844,62950,61037,58622,55712,50349,49270,48690,50620,54934,62100,66350,68940,68548,63887,60988,56636,51976,50160,49640,50872,54372,59504,62874,67218,66594,63143,58172,52890,47130,45854,45808,47076,49376,54483,57407,58988,58424,55076,51158,45222,40866,39988,38855,38844,42025,44778,46734,48626,48050,45855,42436,37864,33714,32039,32102,33301,36565,40998,43081,46007,46283,44947,42800,38049,34764,32786,32540,33948,36562,41099,43839,46078,46710
9,16,Georgia,State,GA,50216,51085,52836,53676,54876,55001,53264,56810,57145,57695,57040,54754,51051,52110,53292,55823,58204,60962,61413,61644,61087,60943,59538,57577,54326,54138,57491,61804,63216,65224,67181,67196,66326,65408,62523,58844,53632,52908,54283,55982,59396,62882,62922,62249,61367,60230,58924,55817,52398,52354,51780,51748,52378,53502,53850,53621,52566,51478,49634,47004,43606,43268,43869,44696,46444,47444,48664,49138,49164,48728,48674,45884,43372,43562,43764,45112,45971,48020,48341,48551,48628
10,36,North Carolina,State,NC,70165,72498,75774,77847,80594,80886,79345,80088,78997,78525,76904,73188,68548,68916,70578,74213,77632,79760,80302,79708,77890,74279,71551,66923,62381,62058,65133,59097,64101,64490,66376,66832,65803,63790,60302,57603,53054,54614,55538,59106,60563,63170,63472,62852,61356,59848,56179,52452,48884,49163,49444,49719,49689,51346,52017,51809,51714,51678,49713,46165,42638,42590,43834,45130,47386,48184,47130,46430,46364,45017,43248,39820,36966,37114,37451,39572,40461,41866,41739,41788,41548
11,40,New Jersey,State,NJ,48911,50662,53084,54714,56552,58308,57051,56924,55974,55248,53366,49643,46272,47747,49970,54658,58076,61220,61832,62070,61235,61020,58520,54029,49602,50418,53806,55192,57910,64026,64503,63880,61440,61234,58193,53063,49185,50311,53358,57648,58649,60444,59974,58786,57666,56136,52336,47800,44850,46484,47400,48120,49803,50539,49954,48837,48038,46914,44877,40840,38201,39679,42014,44054,47168,48586,48504,48141,47580,47112,44913,40598,38279,39580,41353,44127,46399,47330,46740,44867,44273
12,56,Virginia,State,VA,36619,37878,39626,40521,43040,43991,43733,43914,43752,44175,43175,40715,37508,38810,41196,44809,48443,50913,51910,51685,51390,50400,48036,44139,40712,41028,42389,45885,50360,52320,52721,52428,51619,50367,47312,42426,38955,39020,41259,45140,46652,48148,48382,47744,46511,45112,41614,38206,35451,36116,37700,39703,41054,42088,42410,42302,41625,39942,39890,36657,33156,33952,36675,38652,39397,39222,39260,39118,38686,37852,35336,31056,28053,27822,28809,30910,32320,33550,33328,32804,32224
