SizeRank,RegionID,RegionName,RegionType,StateName,2013-01,2013-02,2013-03,2013-04,2013-05,2013-06,2013-07,2013-08,2013-09,2013-10,2013-11,2013-12,2014-01,2014-02,2014-03,2014-04,2014-05,2014-06,2014-07,2014-08,2014-09,2014-10,2014-11,2014-12,2015-01,2015-02,2015-03,2015-04,2015-05,2015-06,2015-07,2015-08,2015-09,2015-10,2015-11,2015-12,2016-01,2016-02,2016-03,2016-04,2016-05,2016-06,2016-07,2016-08,2016-09,2016-10,2016-11,2016-12,2017-01,2017-02,2017-03,2017-04,2017-05,2017-06,2017-07,2017-08,2017-09,2017-10,2017-11,2017-12,2018-01,2018-02,2018-03,2018-04,2018-05,2018-06,2018-07,2018-08,2018-09,2018-10,2018-11,2018-12,2019-01,2019-02,2019-03,2019-04,2019-05,2019-06,2019-07,2019-08,2019-09
1,9,California,State,CA,73865,73553,72387,70255,67748,65056,63993,65502,67300,68681,70732,72876,74129,75741,78194,80315,81950,83543,84071,83353,83222,83877,83901,82961,81541,79668,78229,78076,78602,79070,79233,78993,78279,77259,76192,74193,71909,71863,73623,75002,75622,77199,79445,79292,76661,73891,71922,70666,69727,68499,66624,64821,63448,61456,59241,58096,57481,56713,56588,57854,59940,61754,63067,64542,66260,67694,69347,71982,74830,76747,77696,77949,77799,77192,76223,75165,74347,73701,72053,70153,69301
2,54,Texas,State,TX,114379,115165,115910,115407,113536,110322,107131,105200,103597,101941,101030,100633,100302,100030,99835,99764,99345,98873,98280,97482,96974,96384,95707,95380,95427,95013,93494,91903,90792,89703,89572,90406,91255,91835,92036,91704,90603,90071,90557,90425,90123,91134,92365,92812,93184,93653,94065,95057,96600,97097,96139,95430,95977,97099,98795,100194,99683,98720,98509,98340,97742,97195,97704,99297,101143,102266,102300,102099,102620,103491,103704,103498,103553,103262,103139,103557,103703,103711,102901,101642,101306
3,43,New York,State,NY,92919,93487,93841,92503,89668,86805,85025,84273,83685,83382,83686,83799,83482,83206,83003,83270,83823,84330,84858,84989,84432,83308,82099,81138,80415,79713,79929,81484,83531,85361,86032,85361,83996,82677,81407,79807,78242,77415,77542,77650,76868,75805,74858,73974,73344,72654,72240,72597,72511,71136,68640,65965,64150,62781,61883,61622,61649,61757,61763,61794,62142,62673,62554,62115,62218,62478,62697,62987,63504,64276,64588,64376,64200,63861,63437,63119,62890,62706,62192,61849,62032
4,14,Florida,State,FL,155637,158146,159408,155909,151527,147641,143723,143504,146656,150413,153990,155620,154916,155103,157863,161186,164045,166464,166961,165810,164759,163251,160901,158796,156851,151428,143336,140566,142102,142975,144641,146026,145113,142916,141192,139755,138037,138811,142410,145654,147304,148339,149623,150306,149440,147560,145988,145726,146590,146895,145452,142840,140601,139696,139330,138044,135456,133551,133333,133639,133645,133952,135641,137361,138100,138792,139600,140438,141838,143535,144447,145149,146247,146526,146186,144975,142415,139886,137339,135116,134323
5,21,Illinois,State,IL,61867,61966,61546,60682,58842,56084,54533,54495,54530,54629,55243,56025,56315,56182,56084,56603,58118,59639,60382,60659,60759,60705,60535,60533,60700,60886,61337,61984,62558,62667,62116,61430,60950,60664,60232,59423,58595,58138,58012,57911,57818,58234,58616,57937,56990,56636,56796,56849,56423,55893,55065,53834,52709,51857,51437,51698,52154,52180,51833,51455,51273,51423,51667,51720,51810,52049,52266,52404,52510,52502,52163,51764,51604,51363,51376,51569,51465,51669,51924,51952,52137
6,47,Pennsylvania,State,PA,65600,66608,67589,67700,67204,66335,65418,65030,64940,64815,64988,65297,65024,64184,64386,66390,68005,68266,68403,68442,67924,67182,66488,65835,65165,64425,63135,61934,62516,64200,65256,65139,64499,63807,62811,61759,61236,61442,61904,61698,60785,60048,59428,58624,57808,57138,56589,56188,56057,55654,54438,53031,52040,51212,50589,50300,50098,49875,49800,49837,49611,49198,48924,48482,47529,46273,45263,44802,44713,44776,44777,44893,44915,44135,43137,42099,40833,40038,39485,39095,39054
7,44,Ohio,State,OH,54183,55284,56274,56507,56274,55430,54058,52842,52124,51725,51742,51959,51606,50815,50692,51525,52212,52410,52625,52540,52063,51531,50941,50528,50387,50016,49414,49211,49868,50778,50910,50351,49793,49439,48897,48136,47532,47031,46448,45733,45086,44688,44759,45184,44981,43995,43004,42570,42535,42295,41595,40426,39014,37942,37399,37054,36744,36518,36502,36520,36332,36062,35805,35527,35133,34615,34243,34099,34164,34455,34619,34574,34384,33815,33111,32360,31562,31037,30516,30045,29980
8,30,Michigan,State,MI,60761,61246,61690,61657,60807,58576,56288,55415,55310,55638,56483,57118,56988,56534,56304,56578,57678,59472,60768,60879,60107,59035,58585,58560,58231,57603,57057,56807,56832,57188,57974,58689,58526,57450,56029,54742,53748,53252,53120,52732,52184,52108,51953,51190,50366,49577,48543,47552,47187,46988,46125,45071,44081,42797,41628,40774,40285,40152,39994,39880,39760,39514,39361,39244,39037,38657,38236,38151,38543,39334,39974,40308,40490,40231,39910,39670,39235,38922,38691,38522,38626
9,16,Georgia,State,GA,55303,55670,55771,55205,54200,52637,51852,52921,54204,54999,55666,55966,56154,56485,56797,57251,57921,58499,58622,58365,58206,58238,58424,58797,58973,59345,60903,62569,63016,63337,63957,63897,63342,62533,61342,59977,58595,57732,57553,57945,59108,60149,59978,59113,58344,57809,57477,57223,57043,56501,55125,53494,52240,51441,50914,50325,49613,48916,48427,48268,48139,47758,47137,46532,46028,45651,45693,45948,46116,46453,46967,47383,47780,47793,47262,46619,46069,45758,45536,45451,45631
10,36,North Carolina,State,NC,77006,77739,78729,79304,78999,77643,76259,75732,75650,75880,76092,75699,74936,74200,74314,75456,76361,76621,76405,75549,73961,72135,70766,69646,68510,67824,66085,63162,62032,62165,62450,62651,62096,61047,60165,59780,59549,59293,59416,59917,60010,59975,59744,58887,57919,56922,55799,55060,54697,53914,52639,51010,49340,48558,48369,48153,48322,48800,48924,48689,48288,47609,47019,46734,46277,45222,43838,42953,42661,42509,42419,42442,42435,41809,41049,40629,39874,39029,38451,38129,37941
