"RegionName","SizeRank","2010-01","2010-02","2010-03","2010-04","2010-05","2010-06","2010-07","2010-08","2010-09","2010-10","2010-11","2010-12","2011-01","2011-02","2011-03","2011-04","2011-05","2011-06","2011-07","2011-08","2011-09","2011-10","2011-11","2011-12","2012-01","2012-02","2012-03","2012-04","2012-05","2012-06","2012-07","2012-08","2012-09","2012-10","2012-11","2012-12","2013-01","2013-02","2013-03","2013-04","2013-05","2013-06","2013-07","2013-08","2013-09","2013-10","2013-11","2013-12","2014-01","2014-02","2014-03","2014-04","2014-05","2014-06","2014-07","2014-08","2014-09","2014-10","2014-11","2014-12","2015-01","2015-02","2015-03","2015-04","2015-05","2015-06","2015-07","2015-08","2015-09","2015-10","2015-11","2015-12","2016-01","2016-02","2016-03","2016-04","2016-05","2016-06","2016-07","2016-08","2016-09","2016-10","2016-11","2016-12","2017-01","2017-02","2017-03","2017-04","2017-05","2017-06","2017-07","2017-08","2017-09","2017-10","2017-11","2017-12","2018-01","2018-02","2018-03","2018-04","2018-05","2018-06","2018-07","2018-08","2018-09","2018-10","2018-11","2018-12","2019-01","2019-02","2019-03","2019-04","2019-05","2019-06","2019-07","2019-08","2019-09"
"United States",0,204317.5,203000,204900,2e+05,200990,199999,199900,199500,199000,197000,194900,189500,185000,184900,188000,187700,189900,189900,189900,189900,189500,188900,185000,182500,180000,184000,185000,187500,189000,189500,189000,187900,185000,184900,184900,182700,184900,189000,190000,198000,199900,199900,199900,199900,199900,199900,199900,199000,199000,199900,208000,214900,219000,219900,219900,219900,219000,217900,217956.5,214900,215000,219000,221900,225072.5,230000,234900,232750,230000,232900,231900,231000,229900,229900,230900,239000,243900,247500,249200,249000,246517.5,248000,248990,245000,243900,242000,249000,250000,259500,263000,265000,264900,260000,262500,262500,261500,259900,260000,267400,270000,276000,279900,279900,279900,276490,279000,279000,279000,275990,275000,279900,285000,289900,292440,294500,289900,289000,289000
"New York, NY",1,399000,399000,399000,398999,399000,399000,399000,399000,399000,395762,389900,385000,379500,369990,379900,379000,379000,379000,374500,369000,369000,364000,359000,359000,359000,359000,359000,369000,369000,369000,367947.5,359900,360000,359900,359000,350000,350000,359900,369000,369900,375000,369999,369000,365000,369000,369000,370000,369900,369999,375000,379999.5,389900,399000,399900,399000,399000,399000,399000,399000,399000,399000,399000,399000,405000,4e+05,418999,422000,419000,419000,420000,419000,415000,425000,429000,429000,439900,439000,439999,439900,435000,439000,439000,439900,439000,440000,449000,449999,459000,469000,475000,470000,459000,469000,469900,475000,470000,469900,489897.5,495000,499000,499500,499990,499000,499000,499000,499900,499900,499000,499000,499000,5e+05,525000,524999,525000,519000,509900,519900
"Los Angeles-Long Beach-Anaheim, CA",2,440950,429900,429900,429925,435000,435000,429900,439000,420000,409900,405000,398500,389000,389000,389000,389900,395000,395000,395000,390000,384900,378000,369400,359900,359900,360000,369000,375975,389000,399000,399900,405500,408000,403912.5,411825,419000,425000,443000,469900,495000,509000,525000,529250,529000,529000,525000,519000,509950,499999,519000,525000,539000,549000,550000,559000,555990,559000,549900,555000,542000,539900,549829,569000,584900,599950,610000,609900,609000,609900,610000,599999,6e+05,6e+05,620000,629000,639000,648800,649900,649900,649000,649000,649499,649000,642147.5,649000,649900,659999,679000,688000,680000,684900,678888,678000,675000,674900,669000,679000,695000,699000,699900,710000,719500,699990,699900,699900,699900,699000,698000,695000,699000,699990,719000,719999,728000,729000,725000,725000
"Chicago, IL",3,239000,239000,239900,239000,238950,238000,229992.5,229900,220000,220000,219000,208900,199900,199900,199900,199999,204900,2e+05,199900,199000,197900,189999,185000,179900,179900,179900,184500,185000,187500,186900,180000,179900,179900,179000,179000,174900,174900,179900,186437.5,194900,199900,208725,204900,2e+05,204900,199900,199900,195000,194000,199900,215000,222500,229900,232000,229900,229000,225000,224000,219900,215000,210900,219900,229900,232492.5,239900,240000,239900,239900,237000,235000,230000,228900,228800,237900,248950,250000,258000,259900,257900,250000,250000,250000,249900,245000,247900,255000,264900,269900,270000,274900,269999,268900,268000,265000,264500,259500,259990,273000,279000,285000,285000,287900,284900,279900,279900,279000,275990,274900,275000,284900,289900,297985,295000,294900,289900,285000,284900
"Dallas-Fort Worth, TX",4,175000,175000,177973,179900,180000,180000,179555,177000,179900,179900,179900,175000,172990,174487.5,174900,174900,178000,178000,179000,179000,175000,177900,176900,175000,175500,179500,179000,179900,184900,185000,183550,180000,179900,179990,184400,185000,184900,189000,197700,199990,205000,208990,205000,204900,204900,204900,202000,205500,209500,214900,219900,225000,229990,225000,225000,234939.5,230990,235000,239050,249500,254000,257990,269990,270000,265000,262000,259000,259790.5,259950,265990,269900,276990,279000,274900,284900,287526.5,289900,290000,289900,289900,295000,3e+05,299000,299900,3e+05,309000,314900,319900,323990,321990,319900,316990,319000,319667,317900,319000,323655,328900,329900,333467,334999,330000,326900,321000,324900,321990,320000,319291,319990,320000,323500,329000,325990,325000,322990,319900,318490
"Philadelphia, PA",5,239900,239900,244900,240000,244900,240000,239900,235000,234900,229900,229900,224900,222000,221900,224900,225000,228900,226945,224999,224900,219900,219000,215000,210000,210000,214900,219900,219900,219000,218000,214900,212900,209900,205000,2e+05,199900,199900,2e+05,209900,215000,223000,224900,219000,212000,212900,210000,209900,210000,2e+05,205000,215000,224900,225000,227790,224500,220000,223000,219900,219900,214900,209900,214900,220261.5,229900,234900,232000,229899,225000,229000,224900,222900,215000,213900,215000,225000,229990,235000,239000,234000,229900,229900,229900,225000,215922,215000,219900,229000,238000,239990,240000,240000,239000,239900,243900,239900,229900,229900,234796,239900,249000,251982,259900,259900,253900,250000,250000,249999,249900,245000,244900,250000,264900,267000,269900,269500,263325,265000
"Houston, TX",6,169000,169900,169900,169900,171323,172900,169900,169900,174768.5,172500,174000,169999.5,169900,169900,170000,169900,170990,173352.5,170500,170000,167990,169500,165990,168500,168791,169900,170000,174000,175000,176000,175000,175990,176500,175000,179000,182323,183000,190490,195990,199495,200626,205900,205990,206990,209900,215995,212000,213990,216900,225000,229900,238990,240000,243943,244900,249900,251990,255995,262970,274900,281492.5,284992.5,289740,296522,289000,279900,290000,295000,295000,299000,299000,303990,303990,290154,295970,295505.5,294985,295000,293000,289900,289500,289900,286465,285660,287000,289900,291090,295990,296990,295000,290667,290031.5,291840,289999,289990,293655,295000,295507.5,298900,299000,299000,298596,295000,290000,290000,289900,289295,289000,289040,289900,289900,294950,294000,294900,289990,287990,285000
"Washington, DC",7,315000,319000,320000,329000,325000,324900,319900,314900,3e+05,305000,3e+05,295000,285945,289900,299000,299990,315000,319900,319900,315600,314900,315000,309450,3e+05,306900,315000,328000,339570,349120,349900,349000,340000,344900,345000,347700,339000,339000,349000,356603,369900,379490,379900,375000,369900,370000,369900,365000,359990,357480,363000,375000,385000,395000,392900,389900,385250,389000,387000,384000,375000,370000,374900,385000,395000,399000,399000,379000,389000,389990,389000,383500,379962.5,384990,384999,397990,410000,415000,414990,409900,4e+05,4e+05,402635,4e+05,399900,399900,401935,420000,429900,431900,430000,428000,420000,422000,420000,419900,412000,410000,419907,429990,439900,439900,439900,434000,425000,425000,425000,424900,419000,415000,420000,434990,445000,445000,444990,439900,434900,439900
"Miami-Fort Lauderdale, FL",8,250000,249999,245000,239000,235000,229000,225000,220000,210000,209000,215000,205000,201000,209000,210000,2e+05,214900,218000,219900,224995,225000,225000,228500,229000,230000,235000,239000,230000,229000,230000,239000,239000,240000,209000,212900,215000,225000,235000,239000,242750,249000,248000,249000,244990,245000,248500,259500,254900,255000,259000,259000,259000,259900,265000,260000,264900,265000,265000,278000,279820,279000,279900,289000,285000,275000,279900,295777,299000,299900,299900,312916.5,315000,315000,315000,313000,325000,325000,329000,330000,330000,337000,339000,339000,339000,335000,339000,340000,344900,349000,349000,349900,349000,350000,349000,349900,349900,349000,349900,349999,350000,355000,359000,355000,350000,354000,351101,356565,359000,355000,355500,355000,359000,359900,360000,359999,359835.5,359900
"Atlanta, GA",9,180000,180000,180000,180000,179900,177500,175000,174900,169900,169900,168900,159900,157000,155000,154900,150000,153000,153000,150000,149999,149900,147900,142800,139900,139900,139900,144900,145000,149900,150000,155000,159000,159900,164500,165900,168000,169900,175000,179900,189000,192900,197000,198400,195000,199000,197900,193376,189900,189000,194500,199900,209000,212000,219000,219900,215000,212900,209900,210000,204990,204900,207900,209900,213990,219000,220000,219900,224499,224500,224900,223900,224500,224900,225000,229625.5,235845,240000,244900,244900,240000,240000,244900,241910,239900,239900,242445,250000,259900,263990,265000,264900,261000,263465,265000,265000,265700,269900,274990,279900,289000,291900,290000,284900,279900,283500,279900,279900,279000,277900,279900,289000,294900,295000,294900,289900,288400,289400
