"RegionName","State","Metro","CountyName","SizeRank","2010-01","2010-02","2010-03","2010-04","2010-05","2010-06","2010-07","2010-08","2010-09","2010-10","2010-11","2010-12","2011-01","2011-02","2011-03","2011-04","2011-05","2011-06","2011-07","2011-08","2011-09","2011-10","2011-11","2011-12","2012-01","2012-02","2012-03","2012-04","2012-05","2012-06","2012-07","2012-08","2012-09","2012-10","2012-11","2012-12","2013-01","2013-02","2013-03","2013-04","2013-05","2013-06","2013-07","2013-08","2013-09","2013-10","2013-11","2013-12","2014-01","2014-02","2014-03","2014-04","2014-05","2014-06","2014-07","2014-08","2014-09","2014-10","2014-11","2014-12","2015-01","2015-02","2015-03","2015-04","2015-05","2015-06","2015-07","2015-08","2015-09","2015-10","2015-11","2015-12","2016-01","2016-02","2016-03","2016-04","2016-05","2016-06","2016-07","2016-08","2016-09","2016-10","2016-11","2016-12","2017-01","2017-02","2017-03","2017-04","2017-05","2017-06","2017-07","2017-08","2017-09","2017-10","2017-11","2017-12","2018-01","2018-02","2018-03","2018-04","2018-05","2018-06","2018-07","2018-08","2018-09","2018-10","2018-11","2018-12","2019-01","2019-02","2019-03","2019-04","2019-05","2019-06","2019-07","2019-08","2019-09"
"New York","NY","New York-Newark-Jersey City","Queens County",1,223600,219949.5,219000,219000,219000,219000,219000,220000,223000,219000,210000,209000,208000,194500,199000,199000,199000,199000,199000,198888,195000,193999.5,189000,189000,187949.5,189000,186000,185000,185000,185000,185000,185000,182500,180000,185000,185000,185000,185000,184999,185000,184000,179999,180000,180000,185000,185000,183000,185000,187500,188000,188500,189000,189000,189000,189000,190000,194000,190000,189000,189900,195000,190000,195000,195000,195950,199000,199000,199000,199000,199000,199999,199999,199000,199000,199000,199000,200900,209000,209000,210000,210000,210000,215000,214999,210000,210000,214999,219000,219900,225000,228000,227273,229000,234949.5,235000,239000,239000,241000,245000,248888,249000,249999,250000,249999,250000,250000,252000,264950,265000,269000,269000,270000,274900,275000,270000,275000,275000
"Los Angeles","CA","Los Angeles-Long Beach-Anaheim","Los Angeles County",2,229000,225000,220000,225000,230000,230000,230000,235000,230000,229900,230000,230000,229900,224900,229000,229500,229000,229000,225000,223000,220000,219900,218000,216954.5,215000,215000,215000,215000,219900,219000,220000,219950,219950,225000,227950,230000,239900,240000,245000,249000,259000,269900,275000,279400,282000,289000,289900,290120.5,295000,295000,284900,3e+05,310000,310000,315000,319900,319000,318000,319000,317995,319950,319900,322500,325000,329000,329900,335000,335000,339000,335000,329900,345000,345000,345000,349250,350000,359000,360000,369000,369900,369999,374900,375000,378900,379950,380000,389000,387950,399000,399000,399900,399000,4e+05,405000,409000,409948.5,419000,425000,425000,425000,425000,430000,435000,439000,439900,439500,437000,439999,439500,445000,448000,440000,441000,445000,444476.5,444388.5,440000
"Houston","TX","Houston-The Woodlands-Sugar Land","Harris County",3,79000,79500,79900,79900,79900,79900,79000,79850,79900,79000,79000,76500,75000,74900,74900,74900,74900,75000,74900,74900,74000,72500,70000,71450,70000,70000,70000,69900,70000,70000,71200,72500,70000,70000,70000,70000,71500,72000,72900,69900,69900,72000,75000,76500,75000,75000,76000,75000,75000,76000,75000,75000,75000,79000,79000,79900,79900,78000,79000,79450,80000,80000,80000,80000,84000,85900,89000,88000,89000,89900,89900,89900,90000,93000,96945,96900,99000,99995,105000,105000,105000,105700,110000,108000,105000,107000,110000,115000,115000,117106,117997.5,118000,118388.5,117500,117838.5,118000,118500,115000,119400,120000,125000,122900,124500,125000,125000,124900,125000,126588,128000,129900,131999,132500,129990,130000,134900,134927.5,135000
"Chicago","IL","Chicago-Naperville-Elgin","Cook County",4,85000,89900,89900,91400,89900,84900,84500,85000,87000,84000,85000,80000,79000,74900,75000,75000,75900,75000,74950,74900,74000,69500,69000,68900,65000,64900,64900,64900,64275,63000,63900,63831.5,64500,64500,64900,63950,64900,64900,62900,63000,64900,64900,64900,61900,65000,66500,65000,65000,64900,65000,67000,65900,69900,69900,70000,70000,70500,72200,74500,74900,74900,74900,74000,74500,75500,77900,79000,79000,79900,79000,78000,80000,79900,80000,84000,85000,88644,89900,90000,89900,89900,88000,89000,89000,89000,89000,90000,95000,98500,99900,99900,99900,99900,99000,98900,99000,99000,99900,105000,109900,112000,114900,114980,115000,114900,114900,113000,110000,115000,119000,119900,122900,120450,124000,122900,120000,120000
"San Antonio","TX","San Antonio-New Braunfels","Bexar County",5,75000,74999,77000,77000,75500,77500,77000,75000,75000,75000,75000,75000,74900,72500,74500,74720,73000,72500,72000,72000,72500,72500,70000,69999,69900,70000,70000,70000,72500,72000,69999,69900,69900,69900,69900,70000,69900,69900,72000,70000,70000,70000,71900,71400,70000,72000,73600,74000,75000,75000,75000,75000,75000,75000,75000,76000,75000,75000,75000,75000,77600,79900,79900,79000,79000,77950,79900,84900,83000,82000,80000,82250,82900,85000,85000,85000,85000,85000,86450,87450,89900,92000,95000,99000,95000,97750,99000,99900,99999,1e+05,101094.5,105000,105000,109900,108900,110000,110000,109000,110000,110038.5,111364,110000,114900,119000,119000,115900,115004.5,115950,119900,120000,122250,122500,125000,125000,125000,127500,129000
"Philadelphia","PA","Philadelphia-Camden-Wilmington","Philadelphia County",6,84900,84900,85900,85000,84900,85000,86500,85000,87500,87500,89000,85000,84900,80000,85000,84900,85000,85000,84999.5,80000,80000,79900,79900,79500,79900,79000,79900,79000,78000,79000,79875,76250,75000,75000,74900,74900,74900,74900,75000,74900,75000,77500,75000,77000,79000,78000,75000,75000,74900,75000,75000,77000,75000,75000,78000,78500,79400,79900,79900,79900,79000,79000,79000,78500,79900,79900,79900,79822.5,79899,77687.5,76000,75000,74900,74900,75000,75000,79900,79999,79900,79900,79900,78000,75000,77000,79900,80000,85000,89000,89900,89900,89900,89700,90000,90878,89900,89900,89900,89999,90000,92700,95000,99900,99900,99900,99999,1e+05,1e+05,1e+05,104900,1e+05,104900,109900,109900,109900,109900,110000,110000
"Phoenix","AZ","Phoenix-Mesa-Scottsdale","Maricopa County",7,71500,72900,73900,74000,72900,70000,69900,69995,69000,65900,65900,65000,64000,60000,60000,60000,60000,60000,59900,59900,59000,59000,59900,59000,59900,60000,62500,63000,63900,65000,66900,70000,69900,74900,74000,76900,79900,80000,84900,85000,90000,90000,92000,94700,98900,99900,1e+05,102000,105000,108319.5,110000,110000,110000,114899,114900,112500,110000,112000,114750,114900,114900,115000,114850,115000,119900,120000,115000,120000,125000,125000,127000,129999,132000,133000,132000,134900,136250,138850,142000,143900,145000,145000,146500,148000,149000,150000,153000,154093.5,154990,157000,156700,158900,159547.5,160000,161000,162500,160000,164900,164250,167000,169000,169950,170000,174900,174900,175000,179000,178000,179000,180000,184900,184900,185000,184900,184117,184700,184900
"Las Vegas","NV","Las Vegas-Henderson-Paradise","Clark County",8,74500,70000,70000,70000,69900,69900,69900,70000,69500,69100,69000,69000,69900,64900,65000,65000,65000,64900,63500,63874,63000,62000,60000,60000,60000,60000,60000,60000,63000,63900,65000,63000,63000,65000,63000,69000,69900,70000,71000,72500,75000,75100,78000,83200,83200,84999,85000,89900,89000,89000,89000,89900,90000,90000,90000,94000,94200,94550,94000,95000,98500,99900,99999,104000,105000,100500,104900,105000,109000,109500,110000,110000,110000,114996.5,114998,114997,115000,119000,119900,119900,120000,124900,125000,125000,129000,129888,131200,135000,135000,138250,139900,140000,145000,144900,145000,148000,150000,150000,153400,154900,155000,155587.5,159500,160000,164500,165000,168000,169900,174500,174900,175000,178888,175000,175000,175000,175000,175000
"San Diego","CA","San Diego-Carlsbad","San Diego County",9,194900,199000,199900,2e+05,208000,205000,205000,209000,209000,209900,211900,210000,205000,199900,199900,199999,199900,199000,199000,195000,195000,190000,190000,189000,189000,189000,189900,190000,195000,190000,191625,195000,189000,195000,195000,2e+05,209500,215000,216000,225000,227150,239000,249000,249945,259900,264000,265000,270000,275000,275000,280000,289000,279900,285000,289900,294000,290000,289000,285876,289000,295000,290000,295000,296400,299000,288250,317000,317000,315000,315000,310000,315000,315427,319999,324500,324500,329000,330000,339000,344950,345000,349000,349000,349447.5,355000,360000,359000,359000,360000,365000,367000,369000,369900,375000,379900,379900,379900,385000,381000,389000,395000,395000,395000,395000,399000,399000,399000,399000,395500,399000,399250,399000,399000,399000,399000,399000,399000
"Dallas","TX","Dallas-Fort Worth-Arlington","Dallas County",10,68500,68999,69900,69900,69000,69400,69000,68847.5,69000,69900,70000,69500,68900,67500,65500,65000,65600,67500,66122,68250,69500,65000,63900,60900,60450,62000,62950,64000,64900,64900,64900,63500,61900,64900,65000,65000,65000,65000,66500,69000,68999.5,67900,65000,65000,67949.5,69900,68850,67700,65500,64900,65000,69000,69900,67999,60800,68737.5,67500,65000,62697.5,61400,65000,65000,69000,69999.5,73000,72000,72500,76957,79900,80000,80000,85000,80000,80000,85450,89900,89974.5,91000,95900,94900,94900,95000,99500,1e+05,101500,1e+05,109900,110000,118000,119900,119900,122900,120755,122000,125000,125000,125000,127500,129900,135000,135000,135000,138407,135000,139900,139500,140000,140000,142000,144900,149000,149900,149000,149900,149000,149900,150000
