"RegionName","State","Metro","StateCodeFIPS","MunicipalCodeFIPS","SizeRank","2010-01","2010-02","2010-03","2010-04","2010-05","2010-06","2010-07","2010-08","2010-09","2010-10","2010-11","2010-12","2011-01","2011-02","2011-03","2011-04","2011-05","2011-06","2011-07","2011-08","2011-09","2011-10","2011-11","2011-12","2012-01","2012-02","2012-03","2012-04","2012-05","2012-06","2012-07","2012-08","2012-09","2012-10","2012-11","2012-12","2013-01","2013-02","2013-03","2013-04","2013-05","2013-06","2013-07","2013-08","2013-09","2013-10","2013-11","2013-12","2014-01","2014-02","2014-03","2014-04","2014-05","2014-06","2014-07","2014-08","2014-09","2014-10","2014-11","2014-12","2015-01","2015-02","2015-03","2015-04","2015-05","2015-06","2015-07","2015-08","2015-09","2015-10","2015-11","2015-12","2016-01","2016-02","2016-03","2016-04","2016-05","2016-06","2016-07","2016-08","2016-09","2016-10","2016-11","2016-12","2017-01","2017-02","2017-03","2017-04","2017-05","2017-06","2017-07","2017-08","2017-09","2017-10","2017-11","2017-12","2018-01","2018-02","2018-03","2018-04","2018-05","2018-06","2018-07","2018-08","2018-09","2018-10","2018-11","2018-12","2019-01","2019-02","2019-03","2019-04","2019-05","2019-06","2019-07","2019-08","2019-09"
"Los Angeles County","CA","Los Angeles-Long Beach-Anaheim","06","037",1,219000,219000,219900,220000,224900,225000,225000,226000,225000,225000,225000,225000,222000,215000,220000,219900,219900,219900,215000,214900,214900,210000,209000,209000,205000,205000,205500,209000,210000,210000,212500,215000,215000,219900,219999,224900,229900,232300,239000,240000,250000,260000,265000,269925,270000,275000,275000,279900,279900,280000,279000,289900,295000,299000,299000,299900,299000,299000,299000,299000,3e+05,299990,3e+05,313255.5,319900,320000,325000,329000,330000,329900,325000,335000,339000,339900,345000,349000,349250,350000,350000,357950,357250,359000,364900,364999.5,364975,369000,371889,375000,385000,380000,380000,385000,388000,389900,390000,390000,399000,399000,399900,399990,4e+05,409500,404999,410000,415000,415000,409900,415000,419000,419900,420000,420000,419000,419000,420000,420000,419900
"Cook County","IL","Chicago-Naperville-Elgin","17","031",2,99900,99999,101237.5,104900,1e+05,99000,99000,99000,99000,94000,94500,89900,88800,80304.5,85000,84500,84900,84900,80000,79900,79900,75000,75000,74900,70000,70000,70000,69900,69900,69900,69900,69500,69900,69500,69900,69900,69900,69900,69900,69900,69900,69900,69900,69900,70000,70000,70000,70000,69900,70000,72000,74000,75000,77000,77700,78900,78000,79000,79350,79000,79900,79900,79900,80000,84900,85000,85000,85000,87000,85000,85000,87900,87000,88500,89500,89900,90000,94400,95000,95000,94900,94900,94900,94500,94900,95000,99000,99900,1e+05,107500,107000,108000,108120,109000,105000,105057,106900,109500,110000,115000,119000,119500,119900,119500,119900,119900,119000,117000,119900,119900,121000,124900,124900,124900,124900,124900,124700
"Harris County","TX","Houston-The Woodlands-Sugar Land","48","201",3,81194.5,82000,82700,83000,82500,82000,80000,80442,81000,80000,80000,79900,78900,77000,77900,77900,78300,78584.5,78000,77000,76970,76000,74900,75000,74997,74900,74900,74175,74900,74900,74900,74900,74900,73750,74900,74997,75000,75000,75000,74900,74900,75000,79000,79900,79500,79500,79900,79500,79500,79900,79846,79000,79900,80000,80000,84450,82000,79999,80000,82000,85000,85000,85000,85000,88000,90000,92500,90000,90000,94900,94900,94550,95000,96995,1e+05,1e+05,104992.5,107000,110000,110000,110000,110000,114000,110000,109900,110000,115000,119000,119900,120000,120000,120000,120000,120000,119990,120000,120000,119995,120000,125000,128900,126750,127000,128000,127000,126500,129900,130000,130000,133773,135500,136000,134900,135000,138900,139000,139000
"Maricopa County","AZ","Phoenix-Mesa-Scottsdale","04","013",4,79000,79900,79900,79900,79900,76900,76000,77000,75000,74900,74000,72500,70900,68300,69900,69900,69700,69000,65900,65450,65000,65000,65000,65000,65500,67520.5,69900,69900,69900,70000,72000,75000,75000,79900,78500,80000,85000,85000,89900,90000,95000,95000,99000,99900,105000,105000,109900,109900,110000,113600,117000,117000,118000,119900,119900,119500,118000,119000,119000,119900,119990,120000,119500,120000,124900,125000,118000,125000,129000,129900,130000,135000,135000,135250,135000,139000,139900,139900,145000,145000,145000,148100,149900,149900,149999,154000,155000,154970,155000,158000,158000,159900,159900,164000,164900,164000,163900,165000,165000,169000,169000,169925,170000,174900,175000,175000,179968,179900,180000,185000,185000,185000,185000,185000,185000,185000,185000
"San Diego County","CA","San Diego-Carlsbad","06","073",5,199000,199900,199900,2e+05,204500,209000,210000,210000,212000,213250,214900,214100,205000,199000,2e+05,204900,208800,204900,202000,199800,199000,197324,195000,195000,195000,197000,195179.5,198000,199000,199000,199000,199900,194900,199000,199650,206900,210000,215000,218500,225000,229000,239000,245900,249900,259900,265000,265000,270000,275000,275000,280000,285000,265000,275000,280000,289000,289000,284900,285000,285000,290000,289000,299000,299000,299900,289900,316500,319900,319000,319900,316995,319000,320000,325000,329000,329500,335000,339000,345000,349000,350000,349999.5,359000,359000,369000,369900,369000,369000,370000,375000,379900,380000,385000,386000,389600,389000,389550,390000,390000,399000,399000,399000,399000,399900,405000,4e+05,4e+05,4e+05,4e+05,4e+05,405000,4e+05,405000,404896,405000,405888,409000
"Orange County","CA","Los Angeles-Long Beach-Anaheim","06","059",6,240000,240000,241590.5,240000,243000,245000,240000,250000,245000,240000,248000,240000,239900,230000,234500,230000,230000,230000,225000,225000,225000,220000,218950,215000,210000,210000,215000,219000,220000,219000,219000,220000,215000,225000,225000,229000,230000,235000,249000,249900,260000,274900,279250,289000,295000,295000,298000,295000,295000,293450,297900,299900,299999,3e+05,310000,315000,314999.5,310000,315000,314500,319000,315000,325000,324975,325000,329900,329900,335000,339000,329995,325000,339000,338000,339000,341254.5,349800,350000,355000,359000,359900,364894,365000,369000,368000,365000,370900,379000,385000,398000,395000,395000,398250,399000,399000,398000,399000,4e+05,405997.5,410000,414900,415000,415000,419000,419000,415000,415000,415000,419900,419000,420000,420000,420000,420000,420000,423000,420000,419000
"Kings County","NY","New York-Newark-Jersey City","36","047",7,220000,220000,213000,210000,215000,219000,215000,219000,210000,210000,199900,2e+05,199888,189000,195000,199000,199000,199000,199000,199000,199000,199000,195000,189700,189000,189000,190000,189000,189000,189000,189000,185000,180000,179500,180000,185000,189000,189000,189000,189994.5,185000,185000,185500,185000,189000,185000,185000,189000,189000,185000,183000,185000,189000,189000,189000,189000,192700,195000,199000,199000,199000,195000,195000,199000,199000,199000,199000,199500,199000,2e+05,209000,208888,209000,202000,199000,199000,2e+05,215000,215000,219000,220000,219450,219000,219000,223500,224900,225000,235000,229000,237944,239000,239000,239000,245000,249000,249000,250000,254900,250000,257500,259900,260000,260000,259949.5,259000,260000,265000,279000,279000,280000,285000,280000,284900,285000,280950,279000,285000
"Miami-Dade County","FL","Miami-Fort Lauderdale-West Palm Beach","12","086",8,69900,68000,68000,68000,67000,65000,65000,65800,65000,65000,65000,64000,62000,59900,60000,63500,63900,64900,64600,64000,64000,62900,64000,62900,64500,65000,65000,65000,65000,65000,69000,68900,69900,69900,69900,69900,69900,70000,70000,72900,74900,75000,75500,76900,79900,79900,79900,80000,84900,85000,85000,85000,89000,89900,90000,94900,95000,95000,99000,99000,99900,98900,89500,89900,96700,95000,90000,93500,97903.5,99000,110000,114900,115000,115000,119000,119527.5,120000,125000,126000,130000,129945,130000,135000,135000,139000,139900,140000,140000,142000,144900,145900,146000,148954,149000,149900,150000,150000,157838.5,157000,158000,159000,159000,159900,160000,163000,164000,164000,165000,167000,168000,169000,169000,169000,169000,168500,168000,169000
"Dallas County","TX","Dallas-Fort Worth-Arlington","48","113",9,76900,77900,79000,79000,78500,78900,78900,78400,78500,79500,79900,77000,75000,74970,74900,74725,74900,74500,74000,74000,74331,72300,69999,69900,69900,69900,69900,70000,70000,71100,70000,70000,69999,70000,71000,72000,72350,73000,73900,74900,74995,75000,75000,75000,77900,78000,75000,75000,75000,75000,76000,79000,80000,79500,77500,80000,80000,79500,77700,77000,79900,80000,79900,82650,85000,86000,89900,90000,91350,92700,93792.5,96000,95000,95000,98000,99000,1e+05,104940,109000,109900,107000,109900,110000,115000,115000,119000,120000,123000,129500,129500,129000,132000,132000,131625,135000,135000,135000,139900,139900,144900,145000,145000,147500,149500,149900,149999,150000,152900,155000,155000,160000,161910,159999,159900,159900,160000,165000
"Queens County","NY","New York-Newark-Jersey City","36","081",10,225000,224990,219000,218000,218000,218944,219000,219500,222000,219500,215000,212650,209000,2e+05,2e+05,199000,199000,199000,199000,195000,195000,190000,189000,189000,189000,189000,189000,189000,188000,185000,185000,185000,187000,185000,189000,188000,188000,188000,185000,188000,188000,188000,188000,188000,189000,189000,189000,189000,190000,190000,190000,192000,190000,190000,190000,195000,195000,190000,190000,190000,198000,195950,199000,199000,199000,209000,208888,209900,209000,209000,210000,210000,207000,209000,209000,210000,219000,219000,219000,223000,219000,219000,225000,225000,222000,225000,225000,229000,235000,235000,239000,238000,239000,242000,242000,249000,249000,249999,249844,250000,255000,259000,259000,259000,259000,259900,262000,269000,269000,269990,275000,275000,275000,275000,275000,275843.5,279000
