"RegionName","SizeRank","2010-01","2010-02","2010-03","2010-04","2010-05","2010-06","2010-07","2010-08","2010-09","2010-10","2010-11","2010-12","2011-01","2011-02","2011-03","2011-04","2011-05","2011-06","2011-07","2011-08","2011-09","2011-10","2011-11","2011-12","2012-01","2012-02","2012-03","2012-04","2012-05","2012-06","2012-07","2012-08","2012-09","2012-10","2012-11","2012-12","2013-01","2013-02","2013-03","2013-04","2013-05","2013-06","2013-07","2013-08","2013-09","2013-10","2013-11","2013-12","2014-01","2014-02","2014-03","2014-04","2014-05","2014-06","2014-07","2014-08","2014-09","2014-10","2014-11","2014-12","2015-01","2015-02","2015-03","2015-04","2015-05","2015-06","2015-07","2015-08","2015-09","2015-10","2015-11","2015-12","2016-01","2016-02","2016-03","2016-04","2016-05","2016-06","2016-07","2016-08","2016-09","2016-10","2016-11","2016-12","2017-01","2017-02","2017-03","2017-04","2017-05","2017-06","2017-07","2017-08","2017-09","2017-10","2017-11","2017-12","2018-01","2018-02","2018-03","2018-04","2018-05","2018-06","2018-07","2018-08","2018-09","2018-10","2018-11","2018-12","2019-01","2019-02","2019-03","2019-04","2019-05","2019-06","2019-07","2019-08","2019-09"
"United States",0,89900,90000,92000,92900,90000,89900,89900,89900,89900,89900,89000,85000,84900,79900,83500,83000,84500,84000,82516,82000,80000,79900,79900,79400,79000,78500,79000,78500,79000,79000,79000,78300,75900,77000,76000,77500,78900,79500,79900,79900,80000,81500,82000,83900,84900,84900,84900,84000,84900,85000,85000,88000,89900,89900,89900,89900,89900,89900,89500,89000,89900,89900,89900,90000,95000,95000,95000,95900,97900,96500,95000,95000,94900,96500,99000,99900,102900,105000,108000,109000,109000,109900,109000,106600,106000,109900,112000,115000,119000,119900,120000,120000,121900,122999,120000,119900,120000,124132,125000,129900,130000,134900,135000,135000,137500,138800,139000,137900,139000,139900,144896,145000,145586,147000,146381,145000,145000
"New York, NY",1,220000,220000,220000,222500,224900,224500,220000,222990,220000,219000,209990,209000,200900,199000,199900,199500,199500,199000,199000,199000,199000,194900,189000,189000,185000,185000,185000,185000,185000,185000,182900,180000,180000,179900,179900,179900,179900,180000,180000,183000,182500,180000,180000,180000,184900,184900,184000,184900,185000,188000,189000,189000,189900,190000,190000,193800,194900,193950,190000,189900,189900,189900,190000,195000,194900,196500,199000,199000,199000,199000,199000,195000,194900,194900,195000,199000,199000,199900,199900,199900,199900,199900,199900,199500,199900,199900,2e+05,209900,210000,215000,219000,219000,219000,220000,220000,224900,223000,225000,228869,229900,234900,239000,239000,239000,239500,239900,240000,249000,248999.5,249000,249900,250000,250000,255000,255000,255000,255000
"Los Angeles-Long Beach-Anaheim, CA",2,220000,223155,225000,225000,228900,229000,229000,230000,229900,229000,229500,229000,225000,219900,223900,220000,220000,220000,219000,216890,215900,213620,209900,209900,208000,207000,209000,209900,214900,210000,214900,215900,215000,220000,220000,225000,229900,234000,239900,245000,252900,262150,269000,275000,277000,279900,280000,280500,280000,284900,280000,290000,298900,299000,299900,3e+05,299900,299900,299960,299900,305000,3e+05,309000,315000,320000,324900,325000,329900,330000,329900,325000,335000,339000,339900,344900,349000,349900,350000,350000,359000,359000,359900,365000,365000,365000,369000,375000,377756.5,388000,385000,385000,387530,389900,390000,394000,394650,399000,399900,4e+05,4e+05,405000,410000,409900,415000,415000,415000,410000,415000,419000,419999,420000,420000,419900,419900,420000,420000,419804
"Chicago, IL",3,108000,109900,109900,110000,109900,105000,104900,104900,104900,99900,99900,95000,93940,87500,90000,89900,89900,89900,87600,85500,85000,80000,79900,79900,78500,76900,77000,75000,75000,74900,74900,74900,74985,74900,75000,74900,74900,74900,74900,75000,75000,75000,75000,75000,79500,79800,79500,79000,78290,79000,79900,79900,84900,85000,85000,86000,85000,87500,87400,87000,87900,87900,89000,89900,93000,94500,94750,94500,94900,94000,92900,95000,94950,95000,96000,99000,99900,99900,104900,104000,103900,104500,103000,1e+05,1e+05,103500,107990,109900,112000,115000,115000,115000,115000,115900,115000,115000,115000,117900,119900,124900,125000,125000,126000,125900,125900,125900,125000,124900,126000,127000,129500,129900,129900,129900,129976,129900,129900
"Dallas-Fort Worth, TX",4,79500,79900,79900,80000,79900,79900,79900,79900,79900,79900,79900,79000,78000,75000,76500,75600,76000,76500,75000,75000,75000,74900,72000,71900,70400,72100,73800,74000,74900,74900,74000,72500,71000,72200,72000,72500,72900,73000,73500,74400,74000,74900,75900,76000,76950,77000,76000,75000,75000,76900,78900,79000,80000,76058,75000,80000,79900,79900,78000,78500,79900,81180,80000,84000,85000,85000,89500,89900,90000,90925,90000,95000,94470,95000,95000,99000,99900,102000,109000,109900,105000,109900,110000,110000,110000,115000,119999,123497.5,129000,129500,129900,130000,130000,130000,135000,135000,135000,139503.5,139900,145000,145000,145500,149900,150000,150000,150000,155000,155000,157000,159900,165000,165000,164000,163000,162000,164900,168000
"Philadelphia, PA",5,104900,107000,109900,105000,104900,105000,105000,105000,105000,105000,105000,1e+05,99900,99800,99900,99000,99500,99500,99000,95000,95000,94900,92500,91900,92500,89900,89900,89980,89900,89900,89900,89900,89900,89900,89500,89800,89000,89000,89900,89900,89900,89900,89900,89900,89900,89900,89900,89900,89500,89000,89500,89900,89900,89900,89900,89900,89900,90000,89900,89900,89900,89900,89900,89900,89999,89900,89900,89900,89900,89900,89000,86900,86000,88000,89000,89900,89900,90000,90000,90000,90000,90000,89900,89900,94900,95000,97148.5,99140,99900,99900,99900,99500,99999,1e+05,99950,99900,1e+05,100116,103500,108900,109900,113715,114900,114500,113000,114002,113900,112500,115000,114900,118000,119900,119900,119900,119900,119900,119900
"Houston, TX",6,80000,80000,81999,82750,82400,81500,79999,80000,80000,80000,79900,79900,77000,75000,75070,76000,77000,76900,76500,75000,75000,75000,72900,74900,73900,73900,73700,72900,73999,74000,74000,74500,72900,72500,73500,74000,74900,74900,75000,74900,74900,75000,77500,79900,78900,78500,78500,78500,78000,79000,78650,78000,78500,79900,79900,80000,79900,79900,79900,79900,84900,84900,84900,83900,85000,89900,89900,89900,89900,90700,90000,90000,90050,94500,98000,99500,1e+05,103880,109888,109000,106000,108050,110000,108000,105000,107000,111995,115500,117500,119500,119900,119900,119900,119800,119571.5,119900,119000,118000,119000,120000,125000,125000,125000,125000,125000,125000,128900,129000,129000,130000,135000,135000,132000,134000,135000,137000,137000
"Washington, DC",7,175000,175000,175000,179000,175000,175000,174900,174999,174900,170900,169000,165000,160000,154000,159867.5,159000,159900,159900,159900,159900,159900,159000,155000,152500,150200,154000,155000,157500,159900,160000,159900,160000,160000,163950,161450,160000,168000,169900,170000,174900,175000,179000,184000,185000,189900,189900,190000,189900,190000,194900,195000,195000,199900,2e+05,202000,205000,2e+05,199900,199900,199900,199900,199900,199900,199900,199900,199999,189000,2e+05,204900,201000,199999,205000,208000,210000,215000,219900,220000,222950,224500,224900,224900,224900,224000,225000,225000,229000,230000,234900,235000,237000,236000,237500,237500,239900,239900,238500,236000,239900,240000,245000,249900,249900,249900,249900,249900,249900,249990,249900,249900,249990,254900,255000,259000,259000,255000,255000,255000
"Miami-Fort Lauderdale, FL",8,64900,64350,64900,64900,64350,62000,62000,63900,63025,62499.5,63000,59900,59900,55000,59000,59000,59850,59900,59900,59900,59900,59000,59500,59000,59500,59400,59900,59900,59900,59900,60000,60000,63900,64900,65000,65000,65000,65000,67500,69000,69000,70000,70000,72900,74999,74900,75000,75000,79000,79000,79500,79800,80000,82000,84900,85000,86500,87500,88900,89000,89900,89000,85000,85500,90000,90000,89000,89900,92000,92500,99000,99000,99900,1e+05,104900,105000,106000,109900,112000,115000,116000,118900,120000,120000,123000,124900,125000,125000,125000,125000,129000,129404,129900,129900,130000,130000,130000,135000,136900,137000,139000,139900,139999,140000,145000,145000,146500,147000,149000,149000,149500,149900,149000,149000,149000,149000,149900
"Atlanta, GA",9,69900,69900,69900,69900,69900,67000,65000,66900,67500,65000,64900,64000,62000,59500,59900,58000,57600,57000,55000,54900,53995,50000,49900,49900,49900,49500,49000,48800,48800,49500,49500,49500,47000,49500,47900,50000,52000,53000,54900,55000,57000,59000,59900,59900,60000,62900,63900,64900,65000,65000,65000,68000,69900,69500,68950,69500,68000,69900,69900,69900,70000,71750,71900,73000,74900,75000,73500,75000,75900,77000,75500,79900,79500,79900,79900,80000,80000,84900,84900,85000,90000,89900,92000,94500,95400,96275,98500,99800,1e+05,1e+05,103000,105000,105000,108000,109000,109000,112500,115000,117477.5,115900,119500,120487,124900,124900,125000,125000,129894,129900,129900,134548,135000,135000,135900,137000,136490,137000,139000
