"RegionName","City","State","Metro","CountyName","SizeRank","2010-01","2010-02","2010-03","2010-04","2010-05","2010-06","2010-07","2010-08","2010-09","2010-10","2010-11","2010-12","2011-01","2011-02","2011-03","2011-04","2011-05","2011-06","2011-07","2011-08","2011-09","2011-10","2011-11","2011-12","2012-01","2012-02","2012-03","2012-04","2012-05","2012-06","2012-07","2012-08","2012-09","2012-10","2012-11","2012-12","2013-01","2013-02","2013-03","2013-04","2013-05","2013-06","2013-07","2013-08","2013-09","2013-10","2013-11","2013-12","2014-01","2014-02","2014-03","2014-04","2014-05","2014-06","2014-07","2014-08","2014-09","2014-10","2014-11","2014-12","2015-01","2015-02","2015-03","2015-04","2015-05","2015-06","2015-07","2015-08","2015-09","2015-10","2015-11","2015-12","2016-01","2016-02","2016-03","2016-04","2016-05","2016-06","2016-07","2016-08","2016-09","2016-10","2016-11","2016-12","2017-01","2017-02","2017-03","2017-04","2017-05","2017-06","2017-07","2017-08","2017-09","2017-10","2017-11","2017-12","2018-01","2018-02","2018-03","2018-04","2018-05","2018-06","2018-07","2018-08","2018-09","2018-10","2018-11","2018-12","2019-01","2019-02","2019-03","2019-04","2019-05","2019-06","2019-07","2019-08","2019-09"
"Northeast Dallas","Dallas","TX","Dallas-Fort Worth-Arlington","Dallas County",1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,90100,95200,99000,1e+05,95645,94950,102000,107000,109000,112000,107000,105449,110000,114950,115000,114900,99900,108138,119900,128750,127500,120000,129500,120000,125000,125000,137000,129450,130000,134500,149900,145000,139900,134500,125000,125000,141000
"Maryvale","Phoenix","AZ","Phoenix-Mesa-Scottsdale","Maricopa County",2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,90000,91500,93000,95000,98000,99900,105000,105000.5,109000,109900,113500,109444,108347.5,109900,110000,109999.5,109999,110000,112000,115000,117000,119900,119000,123000,125000,125000,128900,130000,133500,135000,134999.5,132000,135000,135900,141250,145945,147000,148500,147250,147072,148000,149900,150000,154000,154999,159000,159900,159900,159999,160000,160750,161500,162450,165000,165000,169000,171500,175000,175000,177000,179250,179900,180000,180000,180000,183000,185000,187000,189000,188000,187900,189900,189995
"Paradise","Las Vegas","NV","Las Vegas-Henderson-Paradise","Clark County",3,75000,68950,66500,65500,65500,65000,65900,68000,67900,68000,68900,69900,70000,65250,67900,68260,67250,65000,63800,62932.5,64200,62900,61800,62000,60000,60000,59950,60000,63950,64875,65000,60000,64900,64950,60000,69000,69250,69999,70000,72000,75000,78800,75000,80000,79999,79995,79995,80000,82000,83000,83600,85000,84000,84900,84900,86444,85000,84942.5,84900,89900,89900,89900,94902.5,97950,98750,90000,99000,99900,99900,1e+05,104900,105000,104900,109000,109000,105000,105000,114900,109900,110000,117200,120000,119900,118350,119900,125000,129000,129900,129000,129000,129900,135000,139888,135000,134500,134000,139000,144250,147888,149900,142000,150000,149894,148900,149999.5,159000,159894,165000,160000,159500,163000,164945,164888,159999,160000,160000,160000
"South Los Angeles","Los Angeles","CA","Los Angeles-Long Beach-Anaheim","Los Angeles County",4,196000,199900,199900,199900,2e+05,2e+05,199900,199900,203450,199995,205000,207000,209950,205000,2e+05,199999.5,199900,204000,2e+05,201250,2e+05,199949.5,2e+05,199900,199900,199900,2e+05,204400,199929.5,2e+05,210000,210000,210000,218000,220000,225250,230000,239000,239900,239900,249000,262000,269900,269900,269450,272500,269450,279900,269000,275000,280000,297500,297499.5,299000,305000,305000,299999.5,299900,299999.5,3e+05,310000,310000,310000,322000,325000,324000,325000,325000,325000,327000,329450,330000,330000,339000,349000,349900,349900,350000,365000,365000,365000,369999,369900,369900,369999,365000,385000,379450,389949.5,399000,4e+05,4e+05,4e+05,410000,420000,425000,425000,425000,429000,429900,440000,440000,440000,435000,435000,439900,435000,439000,437000,440000,450000,459949.5,459000,459000,450000,450000,459000
"Sunrise Manor","Las Vegas","NV","Las Vegas-Henderson-Paradise","Clark County",5,70000,69000,68000,68000,67250,67000,67700,69900,68000,67700,66000,65000,65000,64900,63000,63500,62500,61900,60360,60000,59999.5,59900,59000,56888,57296,58250,58800,57950,59900,60000,62000,60000,59150,60000,59000,63000,65000,65000,65000,66000,69999,70000,70000,75000,75000,78000,79949.5,84900,82700,85000,85000,89250,88000,90000,88000,91900,91950,94500,90000,92000,95000,99900,1e+05,102000,104000,105600,102999,105000,110000,105000,110000,110200,110000,115000,114900,115000,118800,119900,120000,120000,125000,128950,132500,130000,134999,134999.5,139994.5,140000,139900,139925,140000,139999,142250,145000,149000,155000,155000,152700,156900,155000,157400,159900,159990,164950,169900,169000,169900,172000,179000,180000,184000,185000,180000,179900,185000,183500,179974.5
"Spring Valley","Las Vegas","NV","Las Vegas-Henderson-Paradise","Clark County",6,69900,69800,69900,70000,69900,69900,69949.5,69900,68000,67500,65500,64900,65000,58745,61950,63000,63950,63000,60000,60000,62000,60000,59000,58500,59000,59950,60000,59900,62000,62000,64900,62500,64876,65000,65000,69900,72700,73000,75000,75000,77500,77400,79900,85000,84900,84900,85000,86000,85000,85000,85995,86000,89000,89000,89000,90000,91000,89949,90000,92888,89949,92000,92000,94500,95000,94900,95000,95600,99000,98600,99000,99000,99945,1e+05,104000,100500,1e+05,105000,108000,106900,109000,110000,112000,114900,115000,117800,119925,120000,122749.5,129000,130000,134900,135000,134994.5,135000,137000,144900,144900,145000,149000,150000,148900,152000,159900,160000,159900,159999,161500,160000,159900,159900,164900,159999,160000,160000,160000,160000
"Southeast Los Angeles","Los Angeles","CA","Los Angeles-Long Beach-Anaheim","Los Angeles County",7,160000,160000,159900,150000,157900,165000,170000,174900,169500,165000,165000,169450,170000,179000,175000,173000,169000,169000,170000,170000,170000,170000,169900,169000,169900,169000,172010,179900,180000,180000,179900,180000,183900,189050,196000,199900,2e+05,199950,2e+05,202500,205000,224900,230000,232000,234950,236000,238388.5,240000,245000,245000,241000,249000,249000,249000,255000,259450,259000,255000,260000,270000,269000,274450,275000,270000,270000,270000,275000,285000,289000,290000,295000,299000,299450,299999,299999,299900,309000,302900,319000,324900,325000,325000,320000,325000,325000,329000,335000,330000,335000,340000,345000,349000,345000,350000,350000,350000,365000,370000,370000,374950,375000,375000,385000,389000,389995,394900,390000,395000,396500,399000,4e+05,399000,4e+05,4e+05,402000,405900,406950
"Paradise Valley","Phoenix","AZ","Phoenix-Mesa-Scottsdale","Maricopa County",8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,135000,145000,139900,145000,144000,145000,150000,154900,155000,159000,162900,162900,162900,159475,163475,161975,164900,160000,163000,165000,170000,170000,172000,169900,170000,170000,170000,170000,170000,174900,174450,175000,175000,179000,180000,179000,177512,179900
"Deer Valley","Phoenix","AZ","Phoenix-Mesa-Scottsdale","Maricopa County",9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,117500,119900,119900,120000,120000,125000,124900,124900,124900,124900,125900,121900,123500,124900,120000,120000,120000,115000,120000,129000,125000,120000,129900,129900,134000,134995,134900,136000,139450,139900,139000,141050,139949.5,144950,144000,139000,139900,149900,149000,149000,149900,152000,153997.5,150000,150000,151950,160000,155000,164000,164675,159975,159900,159900,151450,155000,155450,159900,159900,163400,164200,165000,176200,175000,174000,182000,189900,189900,189000,184950,184999.5,186000,184499.5
"North Mountain","Phoenix","AZ","Phoenix-Mesa-Scottsdale","Maricopa County",10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,110000,109700,109999.5,110000,113250,109999,113175,110000,110000,115000,113947.5,115900,118000,118950,119900,120000,120000,120000,124900,124900,124999.5,124000,125000,125000,128000,129900,129500,129800,125000,134900,136000,137750,139900,139900,141950,140000,144900,149900,149900,154900,149999,149000,147500,149999.5,150000,152000,156500,159000,159900,160000,164350,165000,160000,160000,164000,163000,161000,165000,168000,174500,175900,175000,174950,178250,179900,177900,177900,177500,178734,175000,175000
"Far North","Dallas","TX","Dallas-Fort Worth-Arlington","Dallas County",11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,119700,114950,115000,124999,119500,132000,122500,119900,125000,129949.5,129900,125000,125000,130000,135000,139900,139900,131000,140000,147000,139950,144950,147000,150000,150000,153000,149900,144900,149250,154500,150950,158000,149900,150000,150000,159000,155000,154450,154900
"Camelback East","Phoenix","AZ","Phoenix-Mesa-Scottsdale","Maricopa County",12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,139000,135000,139450,139450,139900,145000,149400,149900,149900,155000,150000,149900,150000,150000,154900,150000,149900,149900,151500,152250,159500,160000,159900,165000,162000,159900,159947.5,165000,163550,165000,169250,172950,172000,174000,174000,169900,169900,174900
