"RegionName","SizeRank","2010-01","2010-02","2010-03","2010-04","2010-05","2010-06","2010-07","2010-08","2010-09","2010-10","2010-11","2010-12","2011-01","2011-02","2011-03","2011-04","2011-05","2011-06","2011-07","2011-08","2011-09","2011-10","2011-11","2011-12","2012-01","2012-02","2012-03","2012-04","2012-05","2012-06","2012-07","2012-08","2012-09","2012-10","2012-11","2012-12","2013-01","2013-02","2013-03","2013-04","2013-05","2013-06","2013-07","2013-08","2013-09","2013-10","2013-11","2013-12","2014-01","2014-02","2014-03","2014-04","2014-05","2014-06","2014-07","2014-08","2014-09","2014-10","2014-11","2014-12","2015-01","2015-02","2015-03","2015-04","2015-05","2015-06","2015-07","2015-08","2015-09","2015-10","2015-11","2015-12","2016-01","2016-02","2016-03","2016-04","2016-05","2016-06","2016-07","2016-08","2016-09","2016-10","2016-11","2016-12","2017-01","2017-02","2017-03","2017-04","2017-05","2017-06","2017-07","2017-08","2017-09","2017-10","2017-11","2017-12","2018-01","2018-02","2018-03","2018-04","2018-05","2018-06","2018-07","2018-08","2018-09","2018-10","2018-11","2018-12","2019-01","2019-02","2019-03","2019-04","2019-05","2019-06","2019-07","2019-08","2019-09"
"California",1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,225000,220000,220000,219000,221945,229900,240000,244000,249000,250000,252487.5,249000,240000,239000,220000,235000,236500,240000,245000,249900,254999,254000,265000,269000,267000,264000,265000,260000,265000,271250,279500,289000,295000,299000,299000,299000,299000,298888,289950,290000,299000,305000,315000,319000,319000,320000,319900,320000,320000,324900,319000,319900,325000,334900,340000,340000,349000,349900,350000,350000,350000,349000,342000,339950,348900,350000,350000,349999,350000,350000,350000,349900
"Texas",2,79900,80000,81900,83000,82500,82000,80000,80000,80000,80000,79999,79900,78999.5,75000,77400,77000,77900,78000,77504,76500,75600,75000,73900,74000,72900,73899,74000,74050,74900,74900,74900,74500,72500,72900,72500,73000,72750,73000,74500,74500,74900,75000,75000,76000,76000,75000,75000,75000,75000,75000,75000,75000,77000,75000,75000,79000,77450,75000,75000,75000,79000,79000,79000,79500,80000,83900,84900,85000,85000,87000,85000,86500,85000,86000,89000,90000,91900,95000,99900,99900,99900,1e+05,1e+05,1e+05,1e+05,1e+05,107000,111344,115000,117500,118900,119500,119292.5,119000,119900,119000,119000,119551,120000,125000,128500,129742,130000,134900,134900,134900,135000,135000,137847,139900,146000,147000,144999,145000,146849,147500,149000
"New York",3,183000,180000,189000,189000,190000,189999,189900,189000,189900,182500,175900,175000,174999,159500,169000,169000,169000,165000,165000,165000,164990,160000,159000,159000,155000,159000,159000,159000,158000,154900,150000,149990,150000,149990,150000,155000,155000,159000,159000,155000,150000,149000,148000,145000,145000,145000,145800,148500,149000,155000,149900,150000,149999,149999,149844,149900,149900,149000,149000,145000,145000,144900,148500,149000,149000,145000,144900,139999,139825,139000,139900,139000,139000,139000,139000,139500,139999,140000,130000,129900,126000,125000,125000,124900,123900,125000,129000,129900,129900,129900,132000,130812,132500,134900,130000,134948.5,138400,148249.5,150000,152700,150000,155000,150000,149900,149900,149900,150000,157500,159500,159995,164900,165000,165000,165000,160000,159900,159000
"Florida",4,69900,69000,69000,69000,67500,65000,65000,65000,65000,64900,64900,62400,60000,58900,59900,59900,59900,59900,59127.5,59000,59000,58000,57900,57000,57000,57400,57900,57900,58500,58500,59000,59000,59000,59900,59900,59903,60000,61000,62000,63500,64900,64900,64990,65000,65000,65000,65600,66000,68900,69500,69900,69900,69900,69000,70000,71000,71000,72000,72000,73000,74900,74900,71269,73900,76900,77380,76000,77000,79000,79000,79900,80000,80100,84550,85995,88000,89900,89950,91000,95000,96000,98000,99900,1e+05,105000,109000,110000,110900,113900,114900,115000,115000,116300,119900,120000,120900,123500,125000,127500,129000,129900,129900,130000,130000,134500,134900,135000,135000,137999,139000,139900,139900,139000,139000,139000,139000,139000
"Illinois",5,89900,92000,94500,94900,92000,89900,89900,89900,89900,85000,85000,83000,80000,75000,79900,79900,79900,79900,77500,75500,75000,73900,72500,71322.5,69900,69900,69900,69900,69000,69000,69000,67995,68344.5,67900,67650,66500,67000,67500,67900,68000,68800,67900,67500,67000,69000,68500,67900,67900,67000,68000,69900,69900,70000,71900,72500,72500,70900,72500,71650,71900,72900,73900,74900,75000,79900,79900,79900,79000,79500,78750,77500,79000,78500,78900,79900,79900,79900,80000,84900,84000,82500,81650,80000,79900,79999,80000,83777,85000,88200,89900,89900,89900,89900,89900,89000,89000,88900,89800,92500,97000,99000,99900,99900,99500,99900,99900,99000,98000,99900,99900,1e+05,105000,105000,106500,106000,105000,104900
"Pennsylvania",6,79000,79500,79900,79900,79500,79900,79900,79900,79900,79900,79900,78000,75999.5,74900,75000,75000,76000,78900,79000,76500,75000,75000,74900,74900,74900,72900,74500,73900,73000,72900,73900,71900,70000,70000,69999,69950,70000,70000,71500,72000,72500,72500,70000,70000,71000,69900,69999,69900,69900,69900,69900,70320,72900,74500,73900,72000,71900,74900,72500,70000,70000,69900,70000,70000,73000,72900,72900,72500,72000,70380,70000,69900,69900,69900,69900,69999,70500,72000,71000,70000,70000,69900,69900,69900,69900,69995,72000,74900,74900,75000,75000,75000,75000,75000,75900,75000,75000,75000,77492,79900,79900,80000,80000,80000,82000,83900,83900,82900,82900,82500,84500,84900,85000,85000,85000,85000,85000
"Ohio",7,59000,59900,59900,59900,59900,59900,59800,59000,59000,59000,59000,55500,54900,50000,52500,52800,52000,52751,51700,50000,49900,49900,49900,49900,49900,49900,49900,49900,49900,49900,49900,49900,49900,49900,49900,49900,49510,49200,49900,49900,49900,49900,49900,50000,50000,49900,50000,50000,50000,50900,50000,51900,52500,54000,54900,54900,54500,53700,52900,52500,53900,53900,54449.5,54900,54900,54900,54900,54900,54900,54900,54550,53900,53500,54000,54900,55000,56000,56500,57900,58000,58000,59000,59000,58000,58000,59000,59900,59900,59900,59999,60000,60000,60000,60000,60300,60000,60000,61500,64000,64900,65000,66000,67900,69000,69900,69500,69899.5,69900,69000,69000,69900,69900,69900,69900,69900,70000,72000
"Michigan",8,34900,34900,34900,35000,34900,34900,34900,34900,34900,34900,34850,31900,29900,28900,29500,29600,29900,29900,29900,29900,29900,29900,29900,29500,29700,28900,29900,29900,29900,29900,29900,29900,29900,29900,29900,30000,30000,30000,30000,31900,33900,34900,34900,36900,36900,36900,36900,38000,38000,38500,38900,39900,39900,41950,43900,43900,42900,42900,42500,42900,42900,43000,44900,44900,44900,45000,45000,45900,46000,46500,45000,45000,45000,44900,45000,46500,47500,49900,49900,49900,49900,49999,50000,49999,49900,49900,50000,52050,54900,55000,56900,58900,59000,57879,56900,55000,54900,53900,55000,55892,58000,59900,59995,63000,62000,64900,63500,60926,60900,60379,59900,59900,60000,62500,62500,62000,60000
"Georgia",9,69900,69900,69900,69900,69900,67500,65600,65900,66900,65000,64900,63000,60000,57000,59900,58000,56700,55900,54900,52925,52500,50000,49900,49900,49900,49000,48000,47000,46800,49900,47920,48000,45000,47900,46500,49900,50000,50000,51000,52500,54900,55000,55000,56400,59000,59500,59900,59900,60000,60000,60000,62500,64900,63900,63000,63900,61500,64500,63900,64900,65000,65900,66675,67900,69000,69900,68000,69900,69900,69900,69900,70000,70000,70900,72900,74900,74900,76900,78000,78900,81100,80000,82825,84900,85000,85000,87900,89000,92977,94500,95000,95000,95000,98900,99000,98900,99999,1e+05,102900,1e+05,105000,109900,110000,110000,114900,115000,118000,119900,119900,123900,125000,125000,125000,125000,125212,126450,128000
"North Carolina",10,84900,85000,85000,85421,84900,84000,84000,82500,82500,82900,82000,79900,79900,74900,78500,78000,77800,76999,75000,74900,74900,73000,73600,70000,69900,69900,69900,69900,69900,69900,69900,69900,67500,69000,69000,69500,69900,70000,71500,72900,74350,75000,75000,74900,75000,75000,74900,72500,72500,72000,72900,74500,74900,75000,75000,75000,74000,72000,70000,71500,73000,73900,74500,74900,78900,79000,79000,79000,79500,79500,79500,79000,78900,79900,79900,80000,80000,82000,82000,82500,80000,81900,80000,80000,82000,83500,85000,85000,89000,89500,89900,89900,89900,89900,89500,89000,89500,89900,92000,93000,94500,96500,98000,99000,99000,99000,99500,99900,99900,1e+05,105000,108000,109000,109900,110000,110000,110000
