"RegionName","City","State","Metro","CountyName","SizeRank","2010-01","2010-02","2010-03","2010-04","2010-05","2010-06","2010-07","2010-08","2010-09","2010-10","2010-11","2010-12","2011-01","2011-02","2011-03","2011-04","2011-05","2011-06","2011-07","2011-08","2011-09","2011-10","2011-11","2011-12","2012-01","2012-02","2012-03","2012-04","2012-05","2012-06","2012-07","2012-08","2012-09","2012-10","2012-11","2012-12","2013-01","2013-02","2013-03","2013-04","2013-05","2013-06","2013-07","2013-08","2013-09","2013-10","2013-11","2013-12","2014-01","2014-02","2014-03","2014-04","2014-05","2014-06","2014-07","2014-08","2014-09","2014-10","2014-11","2014-12","2015-01","2015-02","2015-03","2015-04","2015-05","2015-06","2015-07","2015-08","2015-09","2015-10","2015-11","2015-12","2016-01","2016-02","2016-03","2016-04","2016-05","2016-06","2016-07","2016-08","2016-09","2016-10","2016-11","2016-12","2017-01","2017-02","2017-03","2017-04","2017-05","2017-06","2017-07","2017-08","2017-09","2017-10","2017-11","2017-12","2018-01","2018-02","2018-03","2018-04","2018-05","2018-06","2018-07","2018-08","2018-09","2018-10","2018-11","2018-12","2019-01","2019-02","2019-03","2019-04","2019-05","2019-06","2019-07","2019-08","2019-09"
"60657","Chicago","IL","Chicago-Naperville-Elgin","Cook County",1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,153450,157500,157500,155750,154500,159000,156000,159450,164700,164500,162500,160000,160123,159000,159450,159000,159450
"77449","Katy","TX","Houston-The Woodlands-Sugar Land","Harris County",2,94900,94000,94900,94900,94000,94000,93900,92900,94500,92900,92500,89900,89000,86750,87500,88000,88000,89000,87900,89900,89000,85000,84900,84900,84900,85000,85000,84500,84900,83500,84900,84500,86000,86100,89000,89000,89900,89000,88000,89900,89900,90000,89945,92250,95000,97800,97850,99950,99900,95500,97800,99151,99900,105000,105000,104900,1e+05,95000,98250,105000,107960,112500,114947,112400,112500,114900,113500,117750,115000,118000,118250,120000,119700,117950,124900,124100,125000,125000,127500,125000,124500,125750,125000,120000,121250,124950,132000,139000,139400,139842,138975,137990,138925,139000,139900,143450,143900,139900,139950,141221.5,145000,145000,149000,149000,149995,149000,149950,150000,149949.5,149900,154900,155000,154900,153000,155000,154950,154199
"77084","Houston","TX","Houston-The Woodlands-Sugar Land","Harris County",3,89900,89900,93000,95000,95000,96820,95000,95750,94900,91950,91000,87900,87115,87000,87000,87200,89000,89900,89900,89900,89500,87500,85500,87900,87000,84900,82900,84500,84000,82000,80000,84200,82490,84572.5,85000,84950,84900,86700,88200,88500,88000,90000,91300,94900,95000,94900,99700,95000,99000,1e+05,104000,98000,103000,105000,105000,103250,104200,1e+05,103400,103400,103000,103995,99999.5,108500,116900,117500,114925,116900,116950,119900,119900,119900,119250,120000,125000,124450,125000,125000,129450,128500,127750,130000,130000,134500,134000,130000,130000,134500,135000,135700,135700,139600,139900,129900,115250,120000,125000,129950,135000,139700,145000,145000,145000,147900,145900,145000,149000,148900,147950,150000,154600,152500,150000,150000,152250,152579,153439
"10467","New York","NY","New York-Newark-Jersey City","Bronx County",4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,145500,159250,139400,144950,145000,150000,150000,149950,172499.5,175000,155000,149900,155000,160000,164500,149000,160000,164500,169999,170000,170000,160000,150000,157000,169000
"60640","Chicago","IL","Chicago-Naperville-Elgin","Cook County",5,125000,125000,125500,127000,123700,119450,119000,117700,115000,109900,108000,109000,114900,106000,109000,1e+05,98000,98000,90950,89999,89000,84900,85000,84950,79900,79900,79950,79900,79900,84900,83450,82450,89900,89900,82500,89000,89000,91000,83750,91250,98900,89900,91100,89000,86450,98000,99900,99000,90000,92450,99000,99900,99900,103500,105000,102500,109000,107500,106000,104950,110000,109000,109450,109000,113400,109000,109000,109000,109900,109000,108950,110000,107450,114950,115000,110000,115000,115000,124950,124700,125000,125000,125000,125000,119000,123000,119900,119900,119900,125000,124900,128500,129000,129000,126950,126900,129500,126900,125000,131450,129500,129900,130000,130000,137450,129900,131843,129500,129500,139900,139900,139900,139900,140000,140000,144900,140000
"78660","Pflugerville","TX","Austin-Round Rock","Travis County",6,135500,135000,135945,137700,138400,137500,135000,134900,135000,135000,135000,134240,134900,134900,134900,134900,130000,134500,129999,129900,129900,128900,127250,127999.5,129900,132000,129900,128000,128000,129900,133900,134000,132600,131450,130000,132700,135000,135900,138249.5,139995,142700,143450,141250,140000,140750,142250,146000,148500,149000,149900,149900,153175,155000,153450,155000,156000,157000,164000,166250,163500,165000,165000,164900,167700,165000,164950,172000,175000,175000,180000,179993.5,181500,180000,180000,185000,185000,185000,189999,194900,198000,199499,199000,199000,199900,2e+05,2e+05,209945,209552,209000,209900,209900,207750,209900,206248.5,211850,210900,214990,218995,220990,220055,224000,225000,225810,229000,227995,229997.5,229900,231990,229999.5,233990,235000,235000,234900,231400,231599,234507.5,234000
"37013","Nashville","TN","Nashville-Davidson--Murfreesboro--Franklin","Davidson County",7,99900,99700,1e+05,1e+05,99900,97825,97500,97000,97250,99850,96200,95500,90000,89900,89900,89900,89900,89700,89000,85000,84995,85900,79999.5,80000,79900,79900,76900,79900,83600,79900,80000,79997,79900,81900,79500,84950,80000,80000,79900,79700,80000,82700,84000,83900,84900,85500,84900,84900,89900,89900,90300,91875,93750,95000,104900,109000,105000,104900,98700,106000,109900,110000,109900,114500,118050,118750,114999.5,110400,117000,119900,114920.5,114900,119900,120000,125900,127250,123900,125900,133950,135000,138827.5,139996,142000,139900,137175,139728,143500,148900,150000,149900,149950,150280,155000,155000,160000,159900,159972,162000,160000,162500,164900,164900,165945,169900,174950,175000,172750,174900,174900,175000,179990,180995,179000,174900,174900,179900,181959
"32162","The Villages","FL","The Villages","Sumter County",8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,179900,179950,180500,179900,179995,184900,183900,184900,184500,184500,186500,184900,184950,184390,185000,186200,189000,189000,189700,189000,189000,185000,185000,187777,187500,184500,186250,186200,184900,184900,189900,189900,189900,195750,189900,194250,197000,199900,199900,199900,204775,207000,201500,208250,209000,209000,205000,202375,202375,204750,209000
"11235","New York","NY","New York-Newark-Jersey City","Kings County",9,189900,199000,199000,199000,199000,199000,195000,199000,192999,189999.5,189000,189000,189000,189000,189000,185500,185000,185000,188000,189000,189000,185000,189000,189000,184500,187000,184000,184000,179999.5,179999,179000,179000,186500,184944,179999.5,185000,189000,189000,189000,186000,179999,179000,180000,182450,179900,187000,185000,183750,189000,189000,189000,189000,189000,189000,185000,189000,189000,185000,189000,189000,189000,189000,195000,195900,199000,199000,206450,205000,205000,209900,209900,214997.5,214997.5,209000,199000,199000,199000,209000,201500,219000,215000,209000,209500,208000,215000,215000,229000,249000,240000,240000,229000,239000,235000,240000,245000,249000,249900,249900,249900,250000,257000,257500,257000,259888,256000,259000,259000,259888,260000,267000,277000,269500,269000,265000,269000,269000,273000
"11375","New York","NY","New York-Newark-Jersey City","Queens County",10,234500,225000,219000,219000,219000,218000,215000,212000,210000,210000,209000,208944,209000,208944,208888,199888,205000,205000,205000,205000,205000,209000,205000,199000,199000,206000,205000,209000,208000,199400,199000,199500,2e+05,199000,199000,199000,199000,199000,199450,205000,199000,199000,204999,199000,199999,2e+05,199333,199999,209000,214000,208499.5,206500,210000,210944,210000,209943.5,215000,217000,217000,215888,219000,218000,222000,225000,225000,225000,228500,225000,225000,220000,225000,239000,239999,238000,236500,239000,239444,248000,248000,249000,249000,255000,255000,251000,250000,259000,259000,259000,259700,269000,269000,269000,269000,269000,269000,270000,270000,269000,275000,279000,285000,280000,280000,280000,283000,283450,285000,288000,289000,298000,299000,299000,296944,289000,289000,295000,295000
