"RegionName","State","Metro","StateCodeFIPS","MunicipalCodeFIPS","SizeRank","2010-01","2010-02","2010-03","2010-04","2010-05","2010-06","2010-07","2010-08","2010-09","2010-10","2010-11","2010-12","2011-01","2011-02","2011-03","2011-04","2011-05","2011-06","2011-07","2011-08","2011-09","2011-10","2011-11","2011-12","2012-01","2012-02","2012-03","2012-04","2012-05","2012-06","2012-07","2012-08","2012-09","2012-10","2012-11","2012-12","2013-01","2013-02","2013-03","2013-04","2013-05","2013-06","2013-07","2013-08","2013-09","2013-10","2013-11","2013-12","2014-01","2014-02","2014-03","2014-04","2014-05","2014-06","2014-07","2014-08","2014-09","2014-10","2014-11","2014-12","2015-01","2015-02","2015-03","2015-04","2015-05","2015-06","2015-07","2015-08","2015-09","2015-10","2015-11","2015-12","2016-01","2016-02","2016-03","2016-04","2016-05","2016-06","2016-07","2016-08","2016-09","2016-10","2016-11","2016-12","2017-01","2017-02","2017-03","2017-04","2017-05","2017-06","2017-07","2017-08","2017-09","2017-10","2017-11","2017-12","2018-01","2018-02","2018-03","2018-04","2018-05","2018-06","2018-07","2018-08","2018-09","2018-10","2018-11","2018-12","2019-01","2019-02","2019-03","2019-04","2019-05","2019-06","2019-07","2019-08","2019-09"
"Los Angeles County","CA","Los Angeles-Long Beach-Anaheim","06","037",1,268.015864166784,262.594458438287,268.558451816746,268.610374520622,268.127085214656,265.967853743798,263.888888888889,263.428571428571,259.337861113286,256.171849951908,253.925284244721,247.641509433962,244.755244755245,245.166452372076,245.535714285714,243.90243902439,244.992086929393,245.700245700246,245.037808533455,243.362831858407,239.83777067154,236.60502607871,233.182853661187,229.543772945914,228.347124836736,228.741496598639,230.769230769231,232.506538465753,235.510204081633,241.56820622986,244.532151935432,245.735524159353,247.098245073793,247.810929821524,250,250.968992248062,256.980764994319,261.776982707215,274.194411979696,287.878787878788,295.878698224852,303.566265060241,308.699719363891,309.817174419159,310.666666666667,309.432077625571,309.168443496802,307.539072039072,307.489612188366,310.304449648712,312.770562770563,319.917440660475,325.909428359317,329.120879120879,331.979320531758,331.186310751996,331.717451523546,331.125,331.750741839763,326.403490521096,323.464000319376,330.923344947735,336.160035992978,343.75,352.043132324062,352.907961603614,354.607794159718,356.563897001083,357.142857142857,359.376914114514,357.629427792916,357.618385803775,359.715834546791,366.666666666667,372.102649006623,376.044568245125,378.343701508787,383.282208588957,384.775808133472,384.56306561086,384.816073271203,385.270354257303,384.348241528586,382.352941176471,384.72942920682,387.282279658416,395.731707317073,401.775147928994,405.301554122677,405.063323591242,404.769102320493,405.036278275715,405.222437137331,407.239819004525,408.956692913386,406.964126037791,408.13338943825,415.969665701869,419.144508558203,423.408459035741,426.008968609865,428.485998558893,428.272801223524,427.592116538132,427.903351519875,430.160888268675,430.372008938758,426.401869158879,426.04044142885,428.308823529412,432.489347683884,435.265746374776,436.893203883495,439.393939393939,441.853444667671,441.400799418605,444.949284330607
"Cook County","IL","Chicago-Naperville-Elgin","17","031",2,188.181818181818,189.949324324324,190.108695652174,189.679979518689,188.369781312127,187.361111111111,181.976432779861,179.9,173.159033948508,174.475049407115,171.493212669683,163.930885529158,159.782608695652,157.894210526316,157.942550852117,157.605859447432,158.11518940198,157.593688362919,154.729387961558,151.725533358407,150.300601202405,146.861991794107,142.155544846803,138.278361736935,137.220259128386,137.456747404844,137.775735294118,139.175117239717,138.806225320421,138.75,133.916182106515,132.037735849057,129.961464354528,127.754108338405,127.688172043011,125.040430531874,124.198733911903,127.657292061333,132.250470551688,136.840793409246,140.924464487035,143.577878714851,142.335766423358,141.022893380373,142.457825270209,140.345560871877,137.880986937591,133.754086535102,131.849523864824,138.46401665345,146.254458977408,151.814345991561,156.835499775885,158.854091664237,158.88864223442,157.699866995366,156.021409455843,153.785523686839,150.7656612529,147.099567099567,143.151626202474,147.02462380301,155.262274484895,157.839893990291,162.611842875001,164.53164556962,163.733058381798,162.276111607467,161.71105785622,161.074074074074,158.572844400396,154.688702066172,154.02397260274,159.974308236808,167.977150537634,172.860950001538,176.056338028169,176.767676767677,174.156504065041,171.053882329398,170.630081300813,169.748427672956,167.298367452956,163.181818181818,163.101679999848,170.096167150962,176.417553191489,180.474040632054,183.25,184.538461538462,183.203919523724,180.786229078037,180.17680530332,179.501811255017,177.555555555556,173.970230342723,174.226564317283,181.711229946524,190.597204574333,195.822454308094,196.897676531958,197.297297297297,196.726709435075,195.791666666667,195.54347826087,194.57050855657,193.242869011354,191.212367778682,192.769341590083,197.8,202.200500524991,205.618560569358,203.611111111111,202.738336713996,200,197.44949229998,195.878378378378
"Harris County","TX","Houston-The Woodlands-Sugar Land","48","201",3,75.4297693920335,76.247556072184,76.4774044032445,76.7259201173188,76.6283524904215,76.1904761904762,75.0106623557386,74.8422712933754,75.5383580080754,74.9779341668846,75.3516449351824,74.4976711773587,73.950204384987,73.9320216094085,74.1452170572416,73.8419405320814,74.2478059697739,74.3388632114035,73.8375963793421,73.5863671572424,72.6392251815981,73.1235827664399,72.6874007133651,72.9396325459318,72.9695431472081,72.9854339705112,73.8916256157635,74.7465758269798,75.2824858757062,75.6808973423479,75.4341829416308,75.4198860633493,75.4931714719272,75,75.5587554115831,76.2262799856785,76.5785181733458,78.8230584467574,79.9326110386295,80.9146877748461,81.6648879402348,82.4353448275862,82.6388888888889,83.168,83.7811636126767,85.5091786468793,85.1397330303891,85.5773389750823,86.613467588528,89.197224975223,90.5514596979061,92.3318229348205,93.225642224191,93.2888888888889,93.8591862940472,95.0906275910116,96.3266306008242,97.016550198416,98.8135593220339,100.882753919564,103.735731580768,105.017639077341,105.797554347826,107.999509081983,105.737763255153,103.821287307608,106.334864258012,106.845463223111,107.808857808858,109.23355207243,108.996539792388,110.764732852757,111.849643612868,109.551760939168,110.792741165234,110.922226944326,110.959619069408,111.185006045949,110.500460546515,110.918544194107,110.6450062947,110.67578125,110.769786772678,111.280487804878,111.981064968498,112.788365095286,112.988035507526,113.653136531365,113.590259072387,113.22203196347,112.47515699332,112.784275503574,113.792367266409,114.245985515724,114.748565642929,115.662239604927,116.279069767442,116.952837140752,118.247782854071,118.568232662192,118.62582781457,118.302232174868,117.575724280635,117.423127686518,118.11781412014,118.341366624728,118.646080760095,118.846955796497,119.692065048719,120.175438596491,120.734981392876,122.178001997923,122.068403908795,122.06392383543,121.546961325967,121.474908067348,121.962545280718
"Maricopa County","AZ","Phoenix-Mesa-Scottsdale","04","013",4,99.2949471210341,97.6657013460253,96.7048710601719,95.26938239159,93.0626057529611,91.7892947873225,89.4760507383567,87.7654741807029,86.5854845170794,85.0080809813526,83.500208855472,81.6938094781851,80.3395754075048,80.0374293785311,79.6328368548666,78.3496452387921,78.6074672048436,78.5055643879173,78.4515569381128,79.646017699115,80.0979519145147,81.5750371471025,82.5760420578295,82.7814569536424,85.1160535870859,86.996336996337,90.1398960872294,93.9408172851104,95.8805214959984,97.4240062353858,98.4365952518819,99.9338157642878,101.308569016463,103.403403403403,105.70552679459,107.10944808232,109.383419689119,111.888111888112,114.451807228916,116.997294860234,119.420553143421,120.461095100865,120.93690248566,120.284872298625,121.062538806756,122.448979591837,122.686832740214,122.892347593992,124.524714828897,125.448028673835,126.198093862911,126.868670723911,126.598153034301,126.565234114174,125.816993464052,125.751776927283,126.088426550448,127.331383160655,128.015755785327,128.680771559911,130.362008563643,131.198347107438,132.74011299435,134.596211365902,135.064935064935,134.858082999249,132.865379794435,134.447616930562,135.529438808349,137.242254383956,138.560321394308,139.304021215279,140.610945028186,143.193639940657,143.60119368873,144.230769230769,145.348837209302,144.96599420489,144.192436523603,143.949483248154,144.797956491337,145.698937443202,146.475469193391,146.945519489022,148.557692307692,150.030218649609,150.42328042328,151.515151515152,151.564474482411,151.066704206999,150.351920171363,150.955021565003,152.455357142857,154.363026235509,155.067648434652,156.214367160775,157.550535077289,159.159159159159,160.049627409995,161.659574468085,161.932254765413,161.538498133646,161.218334322626,161.430493273543,161.992263056093,163.0085441263,163.486973652733,163.918439716312,165.432098765432,166.229667946751,166.666666666667,167.69286490402,167.287111492983,167.189964511041,167.445482866044,167.921914357683,169.621977248825
"San Diego County","CA","San Diego-Carlsbad","06","073",5,246.617915904936,249.45668213101,250.882658636669,251.200406971721,250.785340314136,247.742663656885,246.516025753791,246.090534979424,240.799614643545,236.419280795715,234.510284819691,230.457227138643,227.722497249725,226.118500604595,223.958333333333,224.920913884007,226.325757575758,225.178212359445,223.75,217.804535819242,213.607379473529,211.367673179396,210.282343025706,209.139784946237,208.112874779541,207.55025620812,208.785249457701,209.919637968242,214.285714285714,216.658360423219,219.506866416979,220.825852782765,218.757239382239,221.21014964216,221.695612602625,224.281359235499,228.78767191445,237.094837935174,245.535714285714,253.866583346352,262.360446570973,272.726818181818,277.187841993175,278.160200250313,280.082987551867,277.264325323475,274.074074074074,274.327122153209,277.777777777778,282.243684992571,286.937667118593,290.526497803995,294.943530862558,296.666666666667,296.233608198969,296.57797130266,295.182147558327,292.884197783546,292.833315683575,290.108656636206,290.70344713838,294.665012406948,299.800133244504,302.995074339923,308.762886597938,303.520841764468,315.331098442521,316.334806635243,317.626527050611,316.131789254563,316.337558448703,318.007795223353,319.432120674357,322.058104408572,325.213053697507,326.513911620295,328.154875717017,329.482948294829,331.92916057213,331.142810814501,331.516166899462,331.842550109908,329.927884615385,330.863309352518,333.979453136695,334.827682824321,338.995568685377,342.531238856261,346.133333333333,346.320636830657,347.222222222222,347.686598523797,348.074711074711,348.602022605592,348.666666666667,349.38704028021,353.124764372348,356.735159817352,359.868026394721,362.278244631186,374.821852731591,376.699395770393,375.663716814159,377.296587926509,376.884422110553,372.23374297914,371.710526315789,371.942169069463,373.131209840013,375.071817423623,377.846391354689,381.085253182909,381.993535326431,383.662790697674,382.321992283409,381.850035038542,382.80917214504
"Orange County","CA","Los Angeles-Long Beach-Anaheim","06","059",6,299.92,296.477153819323,296.666666666667,298.172757475083,297.619047619048,295.938104448743,293.522386049423,294.26404930876,287.861271676301,284.552845528455,284.04631223992,278.812056737589,276.267281105991,274.143692327292,273.661800486618,273.4375,272.652902220491,272.285055521024,270.628332649713,269.276094276094,266.377097184358,263.39410538741,260.084925690021,257.170319108035,256.841094575132,257.8125,260.041623309053,262.113721383125,266.507943162688,269.40346375882,273.330568228951,275.286343612335,276.327406214182,277.801560121766,280.829670408403,283.24506807705,290.478752017214,298.709092398787,309.646017699115,318.27880512091,327.691945628336,335.0786170939,339.059674502712,341.9067136911,344.036697247706,343.545542997851,343.975987593009,343.849856563862,345.963756177924,348.445595854922,349.769892878459,352.974311635201,354.784946236559,356.950067476383,356.505347593583,356.0128867302,358.294331773271,357.483696939153,357.981382403805,357.507987220447,357.514906219016,360.95717884131,362.059905412507,364.98150431566,367.714417846588,370.169252468265,372.121212121212,374.160461653016,374.999583333333,375.293841350537,374.173424828447,377.256313276576,379.407039953794,382.424414705968,384.615384615385,386.860425820767,389.208314904909,391.960784313725,391.775391918065,391.539153915392,392.072213500785,392.809488510007,394.641946109488,395.776674937965,398.909090909091,400.890868596882,404.338075160701,406.50406504065,409.146757679181,409.256926952141,411.183261183261,412.393162393162,413.878562577447,414.144467651118,415.603346583683,417.260940032415,422.153024911032,425.980737813141,426.470588235294,429.502369668246,432.996535796767,435.877551020408,434.665099882491,433.379575491369,433.864915572233,433.506548215771,431.92992533027,431.562598064451,431.060606060606,431.15916801426,433.733588054537,434.782608695652,434.235421836228,434.393367204722,434.653465346535,433.899616231923,434.019066733568
"Kings County","NY","New York-Newark-Jersey City","36","047",7,415.604707792208,414.807302231237,400.641025641026,398.267092433141,402.507942326491,402.306968372586,399.090909090909,393.464286092828,409.43260930103,412.290502793296,409.43260930103,411.506826938783,409.153005464481,393.435448577681,404.491803576668,402.057245080501,405.13068731849,399,393.705265848671,390.666666666667,398.452559114038,400.308324768756,400.308324768756,400.208274434371,398.482490272374,402.083333333333,404.75975975976,427.142857142857,437.123952492916,426.948051948052,423.690768690769,415.687317019279,410.635964912281,405.359207844805,400.106837606838,388.333333333333,384.617778884462,380.769230769231,389.914772727273,394.202898550725,397.058823529412,400,390.833333333333,389.914772727273,404.271725340945,403.095558546433,420.086393088553,403.728778096605,403.096669742582,392.857142857143,398.888888888889,406.799531066823,434.687953555878,452.515151515152,453.892215568862,453.730158730159,454.945062367505,473.563968668407,468.75,472.555205047319,521.505427088249,516.8132436627,530.912855346328,548.245614035088,575.460496039916,572.222222222222,575.068870523416,570.952380952381,597.486413043478,607.045912827672,604.444490148492,608.536585365854,657.745554362096,670.621412300683,649.812888427491,700.413223140496,666.666666666667,675,665.333333333333,677.501711557659,699.206988556182,705.128205128205,704.705882352941,713.333333333333,707.280771787703,717.199896038381,728.808356143552,735.474927675988,757.713248638838,768.259198242724,760.755508919202,745,736.271686293392,739.484396200814,749.139554794521,738.237490664675,743.289919549297,690,633.928571428571,672.212230215827,708.699122106943,704.294478527607,705.600358422939,700,709.866220735786,715.616045845272,713.367534924451,712.34243697479,714.039408866995,728.597449908925,741.213898072485,750,760.02358490566,754.240172579099,742.19716415141,727.934875749786,742.204861111111
"Miami-Dade County","FL","Miami-Fort Lauderdale-West Palm Beach","12","086",8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,150.205652999177,158.167748646031,164.432565789474,169.093851132686,172.413793103448,171.880492091388,171.144278606965,175.507020280811,182.058047493404,165.395521302894,164.162353854634,169.111424541608,182.495344506518,183.279231136423,189.966178128523,192.982456140351,191.06699751861,193.948412698413,191.780821917808,194.444444444444,191.735045513654,191.709844559585,195.491792382882,198.237885462555,220.148179508891,223.178054293301,223.542241324011,223.853107144155,224.38605994944,228.36867702022,209.001607717042,210.310245310245,229.684739399293,231.175693527081,235.270858046659,234.689630966707,251.596714508811,256.150728732214,272.142316426949,276.648550724638,269.553140431671,275.349287651559,279.5,278.662420382166,278.378378378378,272.419188910528,276.626402599792,280.456226880395,283.232476709313,286.580902098327,287.475671975421,289.634146341463,288.888888888889,288.608084660716,291.609353507565,293.359801473488,291.86429882732,286.0932171277,289.115646258503,285.714285714286,292.307692307692,296.774193548387,296.640537513998,296.052631578947,297.273526824978,297.872340425532,298.115272727273,295.378787878788,295.006339814032,293.396879932743,295.3119232189,295.354274719759,299.539170506912,302.457466918715,301.612631929484,299.875,296.703296703297,296.822742474916,297.527472527473,297.491418764302,296.359017781541,297.317436661699,297.882091386002
"Dallas County","TX","Dallas-Fort Worth-Arlington","48","113",9,84.6587993842996,85.0507518824348,87.6184355490268,88.8909557413294,88.4469696969697,87.8477306002928,87.4953201048296,85.7077386408276,84.5613571233625,84.4295131845842,83.6409301412841,81.0711388395272,78.9120470103882,79.2972381733662,79.8546847888953,80.4275453936144,81.7669848826315,81.2842636303397,80.5021087621806,79.2429669133845,78.2581453634085,78.9099526066351,77.8359547224983,77.0455019012236,76.4119601328904,78.4201593554693,79.4573643410853,80.3718486296875,83.2035928143713,83.1929277171087,81.7376490630324,80.4946636272884,80.2944325481799,81.2226621910533,82.0755142580997,82.0413436692507,81.3266696955929,82.6644370122631,87.5927174645988,90.1754385964912,91.6971717144727,91.5657946114799,91.4659325533379,91.2992395859985,91.9192546583851,91.7004159385912,91.6166717052895,90.8462974486621,90.4821540388228,91.5631469979296,95.9559884559885,98.3334829081988,101.606669130136,97.3228772309356,98.1671218648436,102.313624678663,99.6933985912315,100.304854368932,100.694444444444,102.340321794247,103.925519630485,105.990046092989,111.111111111111,113.4818078903,112.822349570201,112.582781456954,110.551075268817,110.632235652494,112.179952313221,113.863359089061,114.285714285714,114.593646757199,114.897129210732,117.25126829964,123.524549819371,127.668659265585,129.739161327789,130.138769048655,129.712853993746,128.496959165943,130.599366359447,132.229580573951,132.891791316882,133.416495269436,134.625062908908,136.470491803279,139.176500146135,145.179372197309,148.274622573688,147.26507713885,145.395951616885,144.074311338885,144.50490215354,145.477707006369,145.849022018072,145.160153754704,145.77894469618,149.889816360601,152.838427947598,155.507156191661,157.815324050731,156.774916013438,155.422647527911,152.171666242525,154.729148753224,154.729148753224,156.573116691285,154.867256637168,153.500104014978,155.82380658618,159.081788675113,163.570834488495,163.367373658026,162.717922156809,159.720744512669,157.89077958053,158.192332271407
"Queens County","NY","New York-Newark-Jersey City","36","081",10,,,,,,,332.545095408467,326.284803712396,322.653958944281,328.168645251397,326.376262626263,320.51282051282,321.012556953786,307.61316872428,312.144212523719,308.856209150327,308.388157894737,308.24,306.257457788915,304.885444841822,302.003200562235,298.412298387097,288.461538461538,286.169028340081,284.614615384615,284.090909090909,290.833333333333,299.446749654219,305.796308954204,300.691977834883,299.55,296.957671957672,293.907216494845,293.276283618582,292.310897435897,292.712066905615,292.642140468227,294.189611760884,300.36231884058,303.087007802577,307.325307377049,311.6,315.689421338156,318.686868686869,323.65502584826,318.181818181818,318.852459016393,315.303738317757,314.463022651983,312.49875,322.007025761124,328.784878404069,337.084974676421,347.222222222222,345.957308593178,346.947648624667,346.95652173913,348.333333333333,345.454545454545,344.826867816092,349.028000713394,349.892195767196,352.680077597841,347.310126582278,358.510886833006,374.375,377.889087141706,386.513157894737,393.627353385608,393.60119047619,395.527944969905,398.571428571429,409.793526785714,415.261346831987,419.976163450624,427.709677419355,435.22277929055,439.85933048433,444.9,450,452.115796472564,456.796103569633,452.380952380952,452.008928571429,440,446.026432211159,459.803921568627,474.841376582278,489.055299539171,497.142857142857,493.817435087541,492.603550295858,491.071428571429,491.949074074074,493.377192982456,491.12685560054,494.672754946728,464.618249534451,428.101777059774,445.684523809524,487.5,499,500,499.166666666667,502.143882052508,502.234807769031,498.849206349206,499.354166666667,497.142857142857,499.127375730994,505.098039215686,510.704447625933,523.508137432188,531.827515400411,533.717105263158,535.714285714286,536.161872257435
