"RegionName","City","State","Metro","CountyName","SizeRank","2010-01","2010-02","2010-03","2010-04","2010-05","2010-06","2010-07","2010-08","2010-09","2010-10","2010-11","2010-12","2011-01","2011-02","2011-03","2011-04","2011-05","2011-06","2011-07","2011-08","2011-09","2011-10","2011-11","2011-12","2012-01","2012-02","2012-03","2012-04","2012-05","2012-06","2012-07","2012-08","2012-09","2012-10","2012-11","2012-12","2013-01","2013-02","2013-03","2013-04","2013-05","2013-06","2013-07","2013-08","2013-09","2013-10","2013-11","2013-12","2014-01","2014-02","2014-03","2014-04","2014-05","2014-06","2014-07","2014-08","2014-09","2014-10","2014-11","2014-12","2015-01","2015-02","2015-03","2015-04","2015-05","2015-06","2015-07","2015-08","2015-09","2015-10","2015-11","2015-12","2016-01","2016-02","2016-03","2016-04","2016-05","2016-06","2016-07","2016-08","2016-09","2016-10","2016-11","2016-12","2017-01","2017-02","2017-03","2017-04","2017-05","2017-06","2017-07","2017-08","2017-09","2017-10","2017-11","2017-12","2018-01","2018-02","2018-03","2018-04","2018-05","2018-06","2018-07","2018-08","2018-09","2018-10","2018-11","2018-12","2019-01","2019-02","2019-03","2019-04","2019-05","2019-06","2019-07","2019-08","2019-09"
"Northeast Dallas","Dallas","TX","Dallas-Fort Worth-Arlington","Dallas County",1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,70.380166432889,70.1311806256307,72.0164609053498,72.7603787327021,75.8610203741306,76.4805311966475,80.0467527225706,84.4660194174757,84.4786144811854,82.8011282753462,83.0562659846547,89.2840608465608,88.8618685810339,90.2897795754939,94,96.3570729515956,96.6438492557375,97.4213836477987,95.3947368421053,92.329304495335,95.4763056092843,96.9428555522536,96.6335025888285,99.5297805642633,97.3352541371158,102.052995697804,104.169562195969,116.125249169435,120.656370656371,117.067833698031,118.518518518519,117.806603773585,120.446428571429,117.967332123412,117.830188679245,123.981687054692,125.278981768146,123.115016309169,127.571115973742,124.738675958188,127.884815142538,122.59774685222,117.529411764706,118.155619596542,122.241086587436
"Maryvale","Phoenix","AZ","Phoenix-Mesa-Scottsdale","Maricopa County",2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,69.5815967231963,71.638141809291,72.1866422689844,72.65625,73.1497418244406,74.5573159366263,73.5609103078983,75.11139401655,78.5171102661597,79.3010752688172,78.8860443968074,78.0141843971631,79.4661506824916,79.5631601652735,80.7702328937347,79.1628078817734,81.3530998049543,82.0256547351326,81.6548720740337,82.9081632653061,85.3744740020367,86.6666666666667,88.7049393596039,89.8472596585804,93.2835820895522,94.100074682599,94.0485767011136,94.1930285177596,96.5182521813646,97.2785176606833,95.6912028725314,98.4545056606777,97.0831447963801,99.8104864181933,101.874062968516,103.518957973048,105.021557725971,104.129464285714,103.379944418204,104.7976011994,105.535471020476,106.683479176795,106.939971372339,107.885803250719,110.075618610595,112.077617894926,113.085256702562,113.174695298897,112.430102158452,112.65368852459,113.490364025696,113.598484848485,117.126116071429,119.808180535966,120.205495134516,122.528735632184,123.989218328841,124.53300124533,126.050420168067,124.08108595187,126.375406835549,128.205128205128,128.615196078431,130.609511051574,129.924898902369,131.645569620253,131.675673738309,132.396449704142,132.575757575758,134.338138925295,134.145292461683,134.939761758432
"Paradise","Las Vegas","NV","Las Vegas-Henderson-Paradise","Clark County",3,59.2017579417263,57.3529411764706,58.1585864618524,57.3024247867086,56.8862275449102,57.1188340807175,56.4102564102564,56.5957446808511,55.5244145490782,53.3606181061636,54.009912959381,54.0123456790123,52.236503346591,51.241844399364,50.9656652360515,50.5050505050505,50.0506585612969,49.4059405940594,48.1161125486869,47.4899083687048,48.1547619047619,48.2966874005497,47.7014925373134,47.5324675324675,46.2345679012346,45.5790074158585,44.8275862068966,45.3877333056224,47.0903923615293,47.4457795786565,48.7002164502165,49.4059405940594,49.6113656422873,51.7341619887731,52.43544126368,55.9417040358744,56.5833333333333,56.9767441860465,59.2765532214698,59.2907983772886,61.3496932515337,62.5,64.8088367392769,68,68.1536555142503,68.9655172413793,69.4906120695033,69.9558173784978,71.9457992927692,72.9524660825909,72.463768115942,75.5767700875099,75.8028654472071,74.9863163656267,77.6928045386142,79.075,78.7878787878788,77.8443113772455,77.4845592363841,78.7661406025825,78.6926488146,79.656862745098,79.7101449275362,80.9619999677875,81.5683522131771,78.9473684210526,80.368332704804,82.8974040748785,84.5588235294118,86.4130434782609,86.7664670658683,87.0898674725266,86.5424141010879,87.7581120943953,90.1162790697674,90.9746669427763,90.4764037852889,92.1093600907986,91.282360339587,93.167701863354,96.4187327823691,96.6440699991337,97.6945244956772,98.5027580772262,100.761752101359,101.360381861575,103.589543918531,103.960396039604,106.569693094629,107.233044733045,111.146406889736,111.940298507463,113.628552142291,115.791082059649,114.873035066505,120.039682539683,121.580547112462,124.662812259464,128.43137254902,125.263852242744,129.636969248368,132.694128787879,134.795503912051,137.645643363728,138.353582566795,141.388174807198,142.670878843445,141.742654508612,143.987077815419,143.908273305085,144.025423728814,142.965273354508,143.549339654399,143.392991304781,143.536804308797,143.598553872292,144.249512670565
"South Los Angeles","Los Angeles","CA","Los Angeles-Long Beach-Anaheim","Los Angeles County",4,161.166633682961,169.340463458111,164.835164835165,164.762215185944,166.420118343195,166.898470097357,164.524563564209,163.398692810458,166.310082947973,167.680296756384,167.677361657295,165.05376344086,163.647089873162,162.423625254582,161.402731498185,163.377192982456,160.45730218693,162.639998596725,162.520325203252,164.295774647887,162.491611384314,161.406025824964,159.644637803072,156.997008149495,162.915129151292,160.142348754448,162.228675246309,164.507009104373,164.628410159925,165.460801758426,169.21768707483,170.647423624407,171.907238651995,175.166163141994,176.505312868949,180.37518037518,183.018934477115,190.230428650855,192.939244663383,195.871238628411,198.686343197741,199.427480916031,206.043956043956,208.139616793463,206.860569930987,211.788896504455,210.134357766887,214.891712317317,210.134357766887,219.55564051861,226.042428675933,232.610602465556,232.489426129752,236.013986013986,240.478068420526,242.473126974372,243.890947163422,245.560761912506,243.315385896754,244.816326530612,245.652173913043,246.905940594059,245.675192519252,250.340751043115,253.719783794605,255.003270111184,257.772372154192,258.810572687225,263.125,264.354675707251,265.017667844523,269.858374384236,262.21200520683,267.449445531637,262.890750220595,266.426113701961,280.364372469636,280.042326094958,288.899565919774,292.553191489362,299.043062200957,298.845108695652,303.972544236074,302.129120879121,312.278211497516,314.857915237021,324.101141924959,319.641523525019,316.681370664623,325,328.691488877769,333.63453815261,340.872979548078,343.414634146341,349.149507609669,349.704962138168,348.751835535977,349.506126101322,348.751835535977,350.44528942767,356.265356265356,356.413705236815,365.63071297989,368.452926062555,367.892976588629,371.266603572122,372.542360643112,385.154499284934,379.27909840454,380.475695832446,381.026438569207,382.447665056361,389.149598779949,392.403872468528,392.857142857143,392.565754633716,400.442465622613
"Sunrise Manor","Las Vegas","NV","Las Vegas-Henderson-Paradise","Clark County",5,51.0604870384918,50.0836120401338,49.5703899537343,50.0958983605121,50.22995150843,50.5956813104989,50.744248985115,51.5047291487532,50.0910746812386,50.1414756446991,49.4938132733408,48.8574483427406,48.3910792512943,47.7119784656797,47.0282317979198,46.875,46.6321243523316,45.5464480874317,44.8431237042156,44.873595505618,44.8583596049168,43.873431533006,43.2390204347017,43.3232104121475,43.2050274941084,43.0690245293782,43.8940657184895,43.5883620689655,44.1015430562469,44.8933782267116,45.0835983643798,45.6104758824053,45.1870560246616,46.1775585696671,46.6493955094991,48.9063994897417,50,50.6186726659168,51.5324149652258,51.9544779811974,55.0807217473884,56.980056980057,58.3769633507853,60.6855885660441,62.1911922663802,63.6132315521629,64.5375648802928,66.8449197860963,67.6220028208745,69.4444444444444,70,71.2669683257919,71.4729645742697,71.6440422322775,71.5194908512331,73.7447065940714,75.0708049769712,73.7553779963122,72.1606742441815,72.8879795198014,75.2763819095477,78.8305488576134,79.9865591397849,80.1763040582086,80.4713337496242,82.1348580781324,81.1631944444444,81.1001410437236,83.955223880597,83.1121401480022,84.5727689308762,85.2449567723343,86.219739292365,87.8673316173316,87.8673316173316,87.719298245614,88.1316098707403,91.0153087044534,91.0931174089069,90.8730158730159,94.2890301327349,96.6163141993958,97.4025974025974,97.0143657093524,100,101.816226267371,103.678929765886,104.844540853218,103.731343283582,104.363095626306,105.093458940945,108.131487889273,108.207828219324,107.854536458655,111.366422304477,118.156517464724,117.86047804919,118.445034213724,118.997912317328,121.916651404151,124.033580196503,128.221765913758,130.240959835869,131.722054380665,134.387727234947,135.245361021017,135.327635327635,136.869118905047,141.007164716563,141.448618072335,141.448618072335,142.568163366779,143.297380585516,141.100514460459,143.318044695628,144.050104384134,143.118536197295
"Spring Valley","Las Vegas","NV","Las Vegas-Henderson-Paradise","Clark County",6,65.237651444548,64.3149284253579,64.9025069637883,67.0141474311243,66.4893617021277,66.0837150055806,66.6889563476058,66.5972892535393,65.5637254901961,64.9065800162469,63.5449009403239,62.4902292914013,61.7810760667904,58.4945783584578,59.1715976331361,58.9144050104384,58.7628865979381,58.2212979186795,57.1428571428571,56.2837868559409,56.3772536825792,55.7452396585686,54.9096836588257,53.9184223111581,53.9152759948652,55.0239234449761,55.3359683794466,55.3359683794466,56.2788096572659,55.4217900357615,56.9900563852484,58.1285444234405,58.7732997481108,61.8197243540414,60.6060606060606,65.5291064981949,68.532206969377,69.53125,72.2616214115704,72.4917554996606,74.8637602179837,76.4647215730708,79.1946924365087,83.0223880597015,83.248730964467,84.4346549192364,86.9120654396728,86.027763993187,85.7142857142857,86.9146270135038,87.2093023255814,88.2352941176471,89.4683026584867,90,90.3846153846154,90.3846153846154,90.8589572192513,90.6176700547303,91.0064239828694,92.7403295629102,91.9117647058823,92.8641251221896,92.8253481432361,93.6517913262099,96.4365482233503,97.2629521016618,98.1332017187319,98.9010989010989,99.4347432551886,99.403578528827,99.5829396173529,99.2506811989101,101.473922902494,104.166666666667,104.491921981655,102.889990295856,102.783725910064,104.057772563287,105.449902637635,105.328376703841,104.470326193301,106.191117092867,107.276119402985,109.857142857143,112.858384013901,114.068675769777,115.702702702703,117.302052785924,120.656370656371,121.960655818697,126.193001060445,130.157539384846,134.491464747334,134.802696078431,137.148626950698,138.631476050831,141.063512361466,141.336697722567,146.026869158878,149.105367793241,152.636237583701,153.557367829021,154.334406870639,159.045883862576,158.4603783932,159.517279411765,159.313725490196,159.830667920978,160.013623978202,160.722042944024,160.997732426304,160.662122687439,160.328838707931,161.62669447341,161.028500619579,161.148991596639,160.844841592201
"Southeast Los Angeles","Los Angeles","CA","Los Angeles-Long Beach-Anaheim","Los Angeles County",7,135.013600748636,138.121715602962,139.462809917355,140.482700004473,139.520486844534,143.401957543557,150.038056425084,151.127686747643,147.883941596332,146.875,142.876910911966,142.857142857143,150.162337662338,152.963733264006,154.804967745825,154.049295774648,149.997772497772,150.27027027027,150.737823199884,149.585635359116,146.741045214328,146.741045214328,143.25436827957,142.701525054466,141.592920353982,144.635627530364,144.73160686863,148.318496538081,149.475890985325,148.381294964029,153.846153846154,161.404352385076,161.264181523501,156.95067264574,163.311353422235,173.203885616312,173.496076721883,176.384520064817,182.598039215686,182.385035074045,176.486988847584,184.783037264782,187.4375,192.306776556777,196.386333771353,196.592398427261,203.045685279188,203.045685279188,203.426124197002,207.392197125257,209.708769491378,225.900024448881,227.619047619048,227.619047619048,230.82489146165,223.284527972028,229.357798165138,226.200873362445,229.292267365662,234.731934731935,235.042735042735,236.742424242424,234.451789529915,234.375,235.235235235235,237.851662404092,246.913580246914,240.432098765432,246.913580246914,249.074074074074,252.750708697874,257.4568288854,257.847533632287,255.031482631879,256.818181818182,264.214285714286,265.066600591672,273.716632443532,267.558528428094,271.623468218284,270.37037037037,270.542635658915,275.223214285714,270.542635658915,276.008492569002,283.342256048154,299.107142857143,306.030603060306,308.130895976987,305.188199389624,300.256033578174,310.207336523126,312.95652173913,307.349772051845,319.602272727273,322.878228782288,326.876513317191,331.467304403443,333.153007706579,332.155830762779,343.265273820829,345.161290322581,350.356223175966,345.794392523364,347.615198059822,356.323566993882,362.301284100389,353.139717425432,353.800786369594,346.448729314421,354.821584504247,367.965959328028,362.061369904995,367.833333333333,366.782242063492,366.666666666667,366.666666666667
"Paradise Valley","Phoenix","AZ","Phoenix-Mesa-Scottsdale","Maricopa County",8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,109.74354288499,113.445624497454,117.11079943899,118.572261072261,118.318452380952,118.884776561728,118.371212121212,118.371212121212,118.562456385206,119.760479041916,123.424190800681,120.187165775401,124.810892586989,125.540823447313,126.456307030862,124.75745892175,126.41369047619,128.129713423831,127.844096477997,132.452105951846,132.174194585063,133.380215225344,128.625164690382,135.919540229885,138.386471213796,138.672441790824,136.709385665529,136.518771331058,134.575569358178,137.234042553192,139.835390946502,141.030176190241,142,143.184421534937,143.051771117166,145.554681353265,146.786615509749,147.676547975234,148.363095238095,151.406926406926,150.45062550892,147.826833214729,151.494093120222,152.883947185546,158.059212990009,160.08658008658,160.08658008658,158.314821143769,158.514190317195
"Deer Valley","Phoenix","AZ","Phoenix-Mesa-Scottsdale","Maricopa County",9,66.3407624116082,65.7350520217413,67.3927842069435,66.1029411764706,65.8608058608059,64.8288502334356,65.1132420091324,65.3469708233288,62.5,60.126582278481,59.1761021495566,58.8930478544859,57.7376457643391,55.7416267942584,54.8984468339307,54.5053553283451,54.7380997058218,53.7257019438445,52.3669661368348,52.2552255225523,52.6091379671464,52.5862068965517,52.8985507246377,53.0035335689046,53.7623473181094,55.0921861281826,56.5885206143897,58.2628888950784,58.4099868593955,60.5188397129187,58.5580308156547,62.4508368535586,62.4589086127548,65.7439446366782,67.9916317991632,68.6774383190154,70.6742485783916,73.9917695473251,75.0844776264389,73.9358275763318,77.0955657216959,80.6232536082727,81.6631130063966,81.6631130063966,87.2858272463565,88.28125,91.3937547600914,89.3521965748325,88.8888888888889,92.1149594694178,95.9079283887468,97.2858136300417,95.4617834394904,94.9367088607595,95.1153362269611,93.2666666666667,92.1149594694178,92.8460738653858,95.3219786386838,93.6201523545706,94.1619585687382,95.707248416608,94.0245735835033,99.4431185361973,102.19530658592,100.103305785124,95.6396020680826,101.316618131232,102.375102375102,101.686027819142,101.948803830249,101.559220073572,105.9375,108.923034784558,108.25,112.907946410817,113.090551181102,113.857755638578,112.763261813874,114.591291061879,111.410118406889,110.56338028169,111.746920866834,111.864406779661,114.576271186441,118.772695211474,120.623742454728,118.785068731444,116.167497274881,114.869326134092,118.628162816282,120.790370354535,122.923875432526,129.98355014559,135.9410430839,131.479674796748,122.920271049596,118.188296535631,108.245450863323,120.623742454728,120.831773745642,119.814140078684,125.629303666724,127.985559102456,128.362797847809,128.362797847809,138.292372287256,138.292372287256,136.487890969703,143.378555751603,149.753879077872,149.847094801223,151.182432432432,149.863760217984,146.652497343252,143.504531722054,147.719594594595
"North Mountain","Phoenix","AZ","Phoenix-Mesa-Scottsdale","Maricopa County",10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,80.0714762859051,81.7506193228737,80.0480769230769,80.5645161290323,81.4172648052728,82.4506117105982,83.6065573770492,82.4473975636766,81.9585100322805,83.5183741648107,84.4594594594595,82.9643296432964,84.877316651042,84.783798576902,83.5252968676082,85.7687420584498,86.6065130698971,86.8896006507537,85.5809383846767,89.2552586696987,90.0339742814952,91.5750915750916,91.3467397928093,92.5354719309069,93.1336742147553,93.167701863354,94.2350332594235,94.6462845226121,94.9057335491651,95.4962772734512,99.2058990357345,101.474366739347,102.201027146001,103.760010254672,102.487330896782,103.062426383981,103.422619047619,104.373368146214,106.060606060606,108.825729244577,111.822121328653,112.132352941176,108.044821040415,106.642650598517,109.931292941911,111.694152923538,111.950874877314,114.904793171372,115.982210483385,117.754316328301,116.002900490852,119.348805774015,119.509125235997,122.043520120556,125.325732899023,125.162866449511,124.10509460917,126.641651031895,128.545373870551,128.13916894199,129.700310998021,132.300124275062,133.719431013944,132.438203543396,133.774945565869,137.228208481069,138.888888888889,136.004576659039,134.146341463415,132.62599469496,131.628787878788,134.328358208955
