"RegionName","SizeRank","2010-01","2010-02","2010-03","2010-04","2010-05","2010-06","2010-07","2010-08","2010-09","2010-10","2010-11","2010-12","2011-01","2011-02","2011-03","2011-04","2011-05","2011-06","2011-07","2011-08","2011-09","2011-10","2011-11","2011-12","2012-01","2012-02","2012-03","2012-04","2012-05","2012-06","2012-07","2012-08","2012-09","2012-10","2012-11","2012-12","2013-01","2013-02","2013-03","2013-04","2013-05","2013-06","2013-07","2013-08","2013-09","2013-10","2013-11","2013-12","2014-01","2014-02","2014-03","2014-04","2014-05","2014-06","2014-07","2014-08","2014-09","2014-10","2014-11","2014-12","2015-01","2015-02","2015-03","2015-04","2015-05","2015-06","2015-07","2015-08","2015-09","2015-10","2015-11","2015-12","2016-01","2016-02","2016-03","2016-04","2016-05","2016-06","2016-07","2016-08","2016-09","2016-10","2016-11","2016-12","2017-01","2017-02","2017-03","2017-04","2017-05","2017-06","2017-07","2017-08","2017-09","2017-10","2017-11","2017-12","2018-01","2018-02","2018-03","2018-04","2018-05","2018-06","2018-07","2018-08","2018-09","2018-10","2018-11","2018-12","2019-01","2019-02","2019-03","2019-04","2019-05","2019-06","2019-07","2019-08","2019-09"
"California",1,131.421334814486,138.23233823947,139.676814011676,142.286570144783,143.636363636364,145.631067961165,144.102228047182,142.764976958525,144.230769230769,143.110438719592,140.584828657348,137.76705720193,135.767790262172,124.798711755233,131.687348833488,130.808080808081,132.82985339849,131.172966102553,128.975265017668,129.707112970711,131.295289855072,130.005680664129,127.79552715655,126.379901027788,125.96093257719,127.345296705462,126.592356687898,128.370786516854,129.024016351559,128.963414634146,130.766006834741,133.426966292135,131.313131313131,135.373009220453,134.67911112261,136.033041566415,136.826838297782,143.134328358209,145.631067961165,149.896466809422,159.525979945305,167.721518987342,173.611111111111,178.826895565093,184.458689458689,185.284640171858,182.034976152623,181.028240405503,180.093830857342,184.541858932103,191.027770678933,200.320512820513,206.004140786749,208.007566204288,209.68234049359,211.534391534392,206.949043414275,204.126426690079,200.78125,185.20250840176,195.243123648615,195.3125,197.169811320755,203.252032520325,207.642442638304,211.764235294118,210.975826881949,218.867924528302,221.570690113447,219.605346912794,216.389244558259,216.370699223085,216.549365294683,219.683655536028,224.97320471597,230.414746543779,235.147849462366,240.425531914894,243.452845691998,244.483039536338,244.253033116978,244.127053806597,243.756786102063,238.294314381271,239.043933320608,243.184818706446,251.35989010989,256.183069751231,258.386219401632,258.908960795621,259.674547785216,259.264234680677,261.136041964328,261.707907910389,261.895169026515,256.889264581572,257.861635220126,263.435194942044,269.314868804665,273.926427869623,276.082976345217,279.517925144985,284.090909090909,284.580044279125,283.96449704142,283.464566929134,280.37072243346,275.702393340271,274.725274725275,278.554612170559,283.842794759825,284.782608695652,283.378540736826,283.834841628959,284.177215189873,284.090909090909,283.502577319588
"Texas",2,57.910513070538,58.49609375,59.4685570962243,60.1881339938665,59.8577653283536,59.3232363616409,58.7370287315042,58.531746031746,58.5004576651105,58.1137309292649,57.5319883901562,56.113740487787,55.2147239263804,52.9411764705882,53.9701968898037,53.4969461427577,53.9291217257319,54.2874396135266,53.8254310344828,53.603335318642,53.1974162501549,52.6556776556777,51.2820512820513,51.7241379310345,51.2649800266312,51.3764196863169,51.4432477994109,51.3613861386139,51.749121026608,52.2257733425471,52.2614601122974,52.05836373111,51.5978069341129,51.8727991462386,51.6440505522255,51.9062198386609,52.048417132216,52.5931603773585,53.706071800701,54.0899256254226,54.6049320583795,55.3846153846154,56.4288639288639,56.5759637188209,56.7226890756302,56.5884104503755,56.25,56.0806553245117,56.27037630458,57.0306923625981,57.2916666666667,57.6655132641292,58.8235294117647,57.3192239858907,58.1560283687943,60,59.7014925373134,59.0828924162257,58.5382651347175,58.252427184466,60.6890304847576,61.0679389312977,61.1528976987216,62.0341614906832,63.4630659253376,64.1025641025641,65.1457536703961,65.7043269230769,66.6123595505618,67.2123266078184,66.6974111737236,67.0731707317073,66.9558359621451,67.5675675675676,69.4444444444444,70.855614973262,72.1292556260819,74.5614035087719,77.0784770784771,77.4953502789833,76.5654060756355,77.6231263383298,77.7145857973586,77.0325854446361,76.9867549668874,77.6679611650486,81.0313075506446,82.9009542777171,85.6248109688477,86.9180907483795,87.4439461883408,87.5741495765381,87.9021800281294,87.9405812176905,88.6838511733866,88.1670533642691,88.2842388905238,89.2113095238095,91.0725624103959,93.984962406015,95.1785714285714,95.5414012738854,97.6342407293535,98.6923076923077,98.7875143184421,99.1935483870968,99.7114459297478,100,101.440200375704,102.96875,106.033967783134,107.049909255898,106.529209621993,106.966694644139,107.6095311299,108.00327517195,108.5776330076
"New York",3,116.601650563607,114.285714285714,120.437434282585,120.99358974359,131.25,131.581140350877,133.264992311635,128.73085164407,131.021967410004,126.953601953602,121.823945981555,120.226591670272,119.083208769307,101.066869974889,113.855257406256,114.291549953315,112.905090167484,112.5,113.540909090909,116.15185847744,115.663580246914,114.705882352941,112.847222222222,113.333333333333,111.163387510693,113.022126354309,113.429471069982,114.095238095238,111.816906830587,109.984902474765,107.785528460731,106.699029126214,108.319957196362,107.973073669795,107.923169267707,113.456464379947,112.096774193548,114.736842105263,113.999545454545,113.2,111.037037037037,106.59509202454,103.958333333333,102.132603021435,102.222222222222,103.769230769231,104.166666666667,104.999736842105,108.288170733475,113.59649122807,112.423747889702,112.815884476534,112.779204569218,111.59793814433,108.997887323944,107.677902621723,107.52688172043,106.465770009269,106.25,103.846153846154,104.170286707211,102.586206896552,104.166666666667,102.726363636364,103.758116883117,101.008658008658,98.6842105263158,96.3073852295409,94.5645333460791,94.1818181818182,93.6875,92.8129298486933,92.5905742254516,93.4535738142953,94.1468253968254,95.0372208436725,96.8050608953259,97.8747203579418,90.7384987893463,89.6469970128737,88.2079851439183,86.5843141233766,86.6898148148148,84.8095924595748,84.9088422729687,86.3811848813186,88.3514641088626,90.6369113313384,91.6666666666667,91.315412278669,92.1653225806452,92.0673076923077,92.0552677029361,92.1087197368242,90.3692845297323,90.9613051701319,89.8560658166375,86.4406779661017,80.6309611151871,84.2261904761905,88.0323054331865,89.6990740740741,88.5416666666667,88.6587771203156,88.0272820073762,86.9840056318829,87.4995833333333,88.0952380952381,89.1865079365079,89.6525498320875,91.7813569409314,94.4622898772853,94.4838455476753,95.1375661375661,94.0310711365495,93.75,92.5889792231256
"Florida",4,57.7546296296296,57.5466263803148,57.3495389836336,57.4461256930598,56.9007263922518,55.907960199005,55.286800276434,55.1470588235294,54.8608176012022,54.1666666666667,53.9136302294197,52.5914634146341,51.6528925619835,49.504132231405,50.1672240802676,50.0595947556615,50.2744741547301,49.7366881217086,49.2412746585736,49.1192411924119,49.0463215258856,49.0196078431373,48.8694383661561,48.6829268292683,48.6111111111111,48.9134243319826,49.0472829922371,49.1071428571429,49.4360348350295,49.6031746031746,49.9168053244592,50.062656641604,50.3239740820734,51.7129928894635,51.9965277777778,53.0585936462401,53.5746230513672,53.9772727272727,54.7033364148248,55.2360688956434,55.5061179087875,56.1936936936937,56.3063063063063,56.8181818181818,57.4117207192219,57.6388888888889,57.9584775086505,58.0808080808081,59.2406249436866,59.9705566291998,60.1204819277108,60.4651162790698,61.0382244445691,59.6491228070175,62.1739130434783,62.5,62.7272727272727,63.3580907500512,63.6290322580645,64.0479189530746,65.5594405594406,65.5410708982138,63.2591093117409,64.5131365125355,67.5204563264265,67.8593501677556,66.8487991787624,68.259385665529,69.7503671071953,70.5434782608696,72.2222222222222,73.7300242644314,75.4408060453401,77.6327152077084,79.5950408195051,80.4289544235925,80.7220138194422,82.0729012731613,83.260428846623,84.6619656343949,85.7782794080762,87.133997599601,88.9500489617089,90.6071925228809,94.3994601889339,96.2222222222222,98.2676822166808,99.0932642487047,99.921875,100.231481481481,101.046025104603,101.846064814815,102.207871317512,104.094742063492,105.835392020589,106.666666666667,108.009009009009,109.958298582152,111.77347242921,112.872909698997,113.329166666667,113.636363636364,114.196428571429,114.541547277937,115.684210526316,116.372975210889,117.109375,117.647058823529,118.948412698413,119.53781512605,120.333988212181,120.9341117598,120.599739243807,120.186113099499,120.535714285714,120.642761394102,120.617362371446
"Illinois",5,77.4975751697381,79.0909090909091,80.4360334217241,81.239219469671,80.1609715838968,77.5593130188265,76.2903811759446,76.25,76.51177481233,74.1266712260798,73.6394557823129,71.1227448014185,69.8879551820728,64.9713051854754,68.8152472650205,67.6443703624046,67.690358977046,67.4234848484848,66.6,65.9722222222222,66.0876757650951,63.28125,62.314882474729,61.6997792494481,60.3092783505155,60.1851851851852,60.2272727272727,59.9755201958384,59.375,59.4642857142857,59.4831866589049,58.9029966990898,59.0909090909091,58.457226726849,58.3244962884411,57.9150579150579,57.5313807531381,57.7546296296296,58.3333333333333,58.417803768681,58.4507042253521,58.2118561710398,58.0239735859891,57.8787636685149,59.1478447478862,59.2710324146256,58.7071486128698,58.5681681681682,58.1541218637993,58.6283185840708,59.8730606488011,60.974667320089,62.5,63.4745762711864,63.7962962962963,63.5402703306524,62.6420454545455,63.3152173913044,62.9726890756302,62.8491620111732,63.3192389006342,63.7983076152996,64.3741763839518,65.8946978482154,68.3903168749059,68.5654008438819,68.1789984209339,67.4603174603175,67.5675675675676,67.0840787119857,66.6335755530662,67.1704450041982,66.8734491315137,67.0670670670671,67.8571428571429,69.3010667511618,70.2662350399282,70.7827260458839,72.4152191894127,71.7267383284473,71.1927981995499,70.4819277108434,70.0657894736842,68.6038872532984,68.6875,69.3661971830986,72.0352564102564,73.6788617886179,75.6780253626605,77.2846085952882,76.7281105990783,76.530612244898,76.3305322128852,76.4117647058823,75.3138075313807,75.6743606533523,75.3921568627451,75.6802721088435,79.7970479704797,84.5502645502645,86.7052023121387,88.1899163188216,88.427501701838,88.1204568265458,87.8105943264409,87.8062421563813,87.1080139372822,85.618676694422,87.4733665817798,87.4266055045872,89.4614548313178,91.1764705882353,89.5833333333333,89.58831738437,89.5104828504828,88.7573964497041,89.2857142857143
"Pennsylvania",6,68.5763888888889,69.3865740740741,70.9032258064516,70.7079646017699,68.8657407407407,69.0261174800024,68.7016337059329,68.1470137825421,68.5772773797339,67.9913355874894,68.5756124527927,66.6666666666667,65.8154859967051,63.3624107850912,65.2287581699346,64.4775596072931,64.6297627606039,65.4166666666667,65.3252796625711,64.010989010989,63.4126984126984,63.1808278867102,62.1665330780566,61.6909300377042,61.7283950617284,60.2773246329527,60.8407079646018,61.2723214285714,60.8597370342157,60.5757192841494,60.5392503119776,59.741947578118,59.1074681238616,58.9233038348083,58.3211678832117,57.9552817962628,57.9015238555965,58.0352678571429,58.7071486128698,59,59.3994117647059,59.4444444444444,59.2020592020592,59.0140135258161,59.5238095238095,58.7344028520499,58.1548310626636,57.6888888888889,57.3341836734694,56.5693430656934,57.328294022527,58.4975369458128,59.2718035563082,59.4952056057533,59.0277777777778,58.4299501304876,58.4853350105932,59.5643302425599,58.4466375697952,57.3701933443022,57.1428571428571,56.7291311754685,56.9981703614325,57.6241134751773,58.9887640449438,58.8858003104915,58.713010803194,58.2627118644068,58.0275229357798,57.6732673267327,57.1716325990472,56.0096153846154,55.5555555555556,55.5555555555556,56.4420955882353,57.1663100371109,57.9235170857511,58.6333578251286,58.2407407407407,57.8566256335988,57.5115511088363,56.5533980582524,56.1686547148504,56.0686872890369,56.0515873015873,56.77441332324,58.6659862599501,59.6745707710938,60.3059581320451,61.7001828153565,61.6985263335432,61.9946091644205,62.531328320802,62.4241727941177,62.1006126131515,61.414256775204,61.4583333333333,62.421875,63.3316815328708,65.2101769911504,66.1034624856019,67.926204238921,68.3333333333333,68.2702008006268,68.5898413070669,69.0340909090909,69.0956110338929,68.4523809523809,68.8587848932677,68.4523809523809,69.8049381765391,71.0171568627451,71.4769203244275,71.7672413793103,72.1825897582024,71.6957605985037,71.1270983213429
"Ohio",7,49.8068821968982,50.9353741496599,50.9560233329,52.0285087719298,51.4385931397521,50.7705174496972,50,49.2175273865415,49.4813188705234,49.2787548916535,49.4791666666667,47.1001649361886,45.7337480895997,43.4057971014493,44.1136422738857,43.9902379499695,43.9903846153846,44.1202475685234,43.7158469945355,43.2409012131716,42.7646807992203,42.3529341100256,41.635687732342,40.6746031746032,40.7312925170068,40.2960526315789,40.3083700440529,40.4153540354035,40.4847710968071,40.5996252342286,40.8163265306122,41.1073825503356,40.727002967359,40.9790679519997,40.9698996655518,40.2162225338943,39.6963123644252,39.4598155467721,39.7186147186147,40.3115469342507,40.844298245614,41.3355408388521,41.8831422384722,42.0454545454545,42.5124201561391,41.5674603174603,42.7553162671001,42.5396270742878,42.3611111111111,42.9597701149425,42.5347222222222,43.1096951524238,43.7062937062937,44.4940476190476,44.6428571428571,44.6650124069479,44.64,44.3047337278106,43.8136978812073,43.5344827586207,44.1202475685234,44.3181818181818,44.5761166818596,45.3791944556654,45.6204379562044,45.7106444477047,45.4484605087015,45.6180134865167,45.2136752136752,45.0860737869181,44.9,44.3047337278106,44.2195379169899,44.5374503968254,45.3787878787879,46.6767925617787,47.0262601740201,47.1171729696218,47.7671451355662,47.8666690956985,47.8308253681219,48.1660231660232,48.1660231660232,47.4683544303797,47.3095368695704,48.0330121783154,48.9000717997704,49.8196428571429,50.9553488372093,51.7777777777778,52.0374449339207,51.7688679245283,52.0863345141144,51.9642857142857,51.9417475728155,51.5769260197575,51.7605785789451,52.0833333333333,53.5450516986706,54.5657668006893,55.286800276434,56.2699688664319,57.3440090836998,57.9514425702441,58.4299757668768,58.0357142857143,58.0111180187083,57.8936825236167,57.7380952380952,57.6457010963647,58.6210793968923,59.6810520197617,58.5897435897436,58.5740072202166,59.1182364729459,59.9047619047619,60.9078590785908
"Michigan",8,29.5092803884629,29.780775249196,30.3152536318171,31.0576230781685,30.5297651556526,30,29.3787231287231,29.3137254901961,29.6827021494371,29.9586776859504,29.0285049447353,27.3636026820876,26.2631578947368,24.0076824583867,24.4281045751634,24.3029986908853,24.6539981757373,24.645202020202,24.8396126405226,24.8558764946859,24.4906606710481,24.7156203480314,24.453784953785,24.2820137526062,24.2574257425743,23.9150507848569,24.3721124912328,24.7161715108161,24.6305418719212,24.6913580246914,24.6771879483501,24.6862389623662,24.7931250625497,25.0629722921914,24.9242424242424,25.6152125279642,25.3351206434316,25.6410256410256,25.8798236338198,26.7559026118809,27.7777777777778,28.5714285714286,28.8375080282595,29.8719772403983,29.9592987628149,30.3490136570561,30.2599211933577,30.973518116547,30.7066974595843,30.8125368583059,31.1284046692607,32.5567330789883,34.35560938539,35.4545454545455,36.7362591119497,36.5953947368421,36.0032733224223,36.0640357991491,35.2560389552801,35.3054662379421,35.4906142795431,35.2250489236791,36.7134423939478,37.7174553466347,37.4301675977654,38.328530259366,39.0482398956975,39.647577092511,40.1315789473684,40.1388888888889,39.445542380325,38.3403361344538,38.3814102564103,37.542662116041,38.1771894093686,39.6825396825397,40.4690446260214,42.2622747047856,42.9935095674706,44.0818937939859,44.0818937939859,44.5222929936306,44.7093889716841,44.1785173480808,43.5242839352428,43.64694471387,44.5933869526363,46.4285714285714,48.3333333333333,50,50.9965726725799,51.8953068592058,52.3081081081081,51.5770627043506,50.5490701760024,48.8982460955042,48.1751802057528,46.8170438200895,48.3123759099934,49.5045413632272,51.2453691737744,53.3180778032037,55.8668513441618,57.6652601969058,57.44,58.6467611336032,57.7814569536424,56.6222642392356,55.7571528262387,56.000328408993,52.6371308016878,52.9038550616849,53.5987748851455,55.6620209059233,55.7020486631369,55.4700854700855,54.0540540540541
"Georgia",9,47.8048780487805,48.3870967741936,48.780487804878,49.3161094224924,48.3870967741936,46.8564650059312,46.0526315789474,45.5381784728611,45.78663003663,45.1070336391437,44.0322092599344,42.9083094555874,41.6666666666667,38.1818181818182,39.3368010403121,38.2663964794332,37.6515634971283,37.1170914999492,35.8588781122297,35.0053937432578,34.8837209302326,34.0909090909091,33.571781394638,33.3333333333333,33.195020746888,33.0162951705505,32.6952784599541,32.2420634920635,32.0056899004267,33.5285285285285,32.7586206896552,33.0466421258585,32.5,33.7343273344023,33.0979699911739,34.8837209302326,35.6796116504854,36.4064382396712,36.6231647634584,37.1669004207574,38.3743270111476,39.0502793296089,39.6521476104053,40.133779264214,40.9302325581395,41.8951672168958,42.1530479896239,42.5344640260427,43.1715384615385,43.4870979144574,43.9700194740641,45,46.3720676486634,46.0809646856158,46.2147887323944,46.7018469656992,46.2154094281287,47.4604496253122,47.1653543307087,47.5127551020408,48.2443297115409,48.8366656824285,49.2610837438424,49.9120868260977,50.4016129032258,50.8414666027624,50.3472222222222,51.5388004435468,52.03125,51.9791666666667,51.4423076923077,52.5525525525526,52.4717330133955,53.1784841075795,53.7692307692308,54.5709142034862,55.2534562211982,57.0911276223776,57.2769953051643,57.5497022363757,58.1576439097626,58.5956340956341,58.2786334320077,58.4862385321101,59.4604701934545,60.5385584133652,62.6780626780627,64.1442338644777,66.3636363636364,67.0138888888889,68.0693069306931,68.323600197514,68.1691232718568,69.5836080291957,69.7872340425532,69.8621673003802,71.7804002052334,72.9166666666667,74.3255813953488,74.4897959183673,75.9013282732448,78.125,80.203317281969,80.2825947334618,81.7390277108037,82.4087956021989,83.3333333333333,83.8323353293413,84.4028051761377,86.2068965517241,88.224604483538,89.3514229627409,89.2271505376344,89.84375,90.1790450928382,90.3393638050746,91.0094691017874
"North Carolina",10,71.4030384271671,71.4646464646465,72,72.5703905540418,70.9703143489222,70.3405017921147,70.3904555314534,69.0957446808511,68.6126373626374,69.052111410602,68.75,66.6666666666667,65.4143492564617,61.4583333333333,63.6029411764706,63.1319453018891,62.8306878306878,62.6657871591909,62.4166666666667,62.054471857275,61.4071038251366,61.2244897959184,61.2249899959984,59.3845881457388,58.3913599300332,58.1896551724138,59.4047619047619,58.59375,59,59,58.9971514473727,59.025133282559,57.4202551834131,58.9845189104448,58.7887203376334,59.5238095238095,59.3170007423905,60.0909953780126,60.5555555555556,61.0555555555556,60.8825625593918,61.3811771025169,61.8367346938776,61.6438356164384,62.0980665839537,61.9760479041916,60.8974358974359,60,59.9146234937957,60.577006642469,61.3729508196721,61.7510523277913,62.3679008908686,63.6574074074074,63.8576158940397,63.8506876227898,62.3958333333333,61.2244897959184,60.6623740656484,60.8407079646018,61.6113744075829,62.1562156215622,62.5,64.0390412774134,66.7763157894737,66.6763229045964,67.0115640768692,66.8784594095941,67.2115384615385,67.2115384615385,67.1482412060301,66.7408231368187,66.060405643739,67.4936332767402,69.0781254337988,70.0753966258517,70.1186623516721,70.7011880200299,71.2681488203267,71.3392857142857,70.2645502645503,70.4866516511543,69.9810606060606,69.7473404255319,69.2307692307692,71.6014866664844,73.9686882751028,75,76.7841011743451,78.0810337896952,78.7911089654766,78.3476934530565,78.554274964239,77.7385159010601,77.9512195121951,77.2720312191267,77.3809523809524,78.372591006424,81.25,82.7175146342769,83.5110163468372,85.9956236323851,86.8238304093567,88.3198976948977,88.3838383838384,88.8106641721235,89.2261904761905,89.9975,90.8826378539493,92,94.9612916519487,95.8333333333333,96.3611111111111,97.5108153262301,98.0601195702162,97.759302867662,97.4634146341463
