"RegionName","State","Metro","StateCodeFIPS","MunicipalCodeFIPS","SizeRank","2010-01","2010-02","2010-03","2010-04","2010-05","2010-06","2010-07","2010-08","2010-09","2010-10","2010-11","2010-12","2011-01","2011-02","2011-03","2011-04","2011-05","2011-06","2011-07","2011-08","2011-09","2011-10","2011-11","2011-12","2012-01","2012-02","2012-03","2012-04","2012-05","2012-06","2012-07","2012-08","2012-09","2012-10","2012-11","2012-12","2013-01","2013-02","2013-03","2013-04","2013-05","2013-06","2013-07","2013-08","2013-09","2013-10","2013-11","2013-12","2014-01","2014-02","2014-03","2014-04","2014-05","2014-06","2014-07","2014-08","2014-09","2014-10","2014-11","2014-12","2015-01","2015-02","2015-03","2015-04","2015-05","2015-06","2015-07","2015-08","2015-09","2015-10","2015-11","2015-12","2016-01","2016-02","2016-03","2016-04","2016-05","2016-06","2016-07","2016-08","2016-09","2016-10","2016-11","2016-12","2017-01","2017-02","2017-03","2017-04","2017-05","2017-06","2017-07","2017-08","2017-09","2017-10","2017-11","2017-12","2018-01","2018-02","2018-03","2018-04","2018-05","2018-06","2018-07","2018-08","2018-09","2018-10","2018-11","2018-12","2019-01","2019-02","2019-03","2019-04","2019-05","2019-06","2019-07","2019-08","2019-09"
"Los Angeles County","CA","Los Angeles-Long Beach-Anaheim","06","037",1,429.413097665987,425.424309915837,433.92008015972,431.726907630522,430.888308279071,429.132247864821,423.11679447459,419.58041958042,419.506612410987,415.774037527888,415.380047505938,413.490083430041,410.658307210031,415.038314176245,412.803644406242,406.565912630468,408.169934640523,407.747196738022,407.668576465403,405.882352941176,403.535353535354,400.918234322938,401.960436221225,399.903053805138,399.290150842946,397.678275290216,397.756930810902,402.226720647773,403.395784543326,404.968679562138,407.625640805527,408.939433467437,409.112583604081,413.452027695351,414.85756314236,414.893617021277,424.57474254292,424.022346368715,432.842287694974,443.865144418423,451.189171004702,455.218216318786,455.837385112605,453.096471243833,455.979575894984,457.916666666667,459.352312562715,460.122699386503,468.235294117647,474.742285538866,485.945945945946,486.780715396579,488.520408163265,493.106010247709,489.903916258354,484.72775564409,492.024871586915,497.115416611207,496.780982468098,498.357064622125,496.46846495092,507.042976547609,513.325171433018,528.476821192053,532.608695652174,531.143344709898,528.632629247026,531.269555694618,538.775331273341,545.132148553201,549.92657856094,549.891540130152,554.934823091248,568.214131839724,564.491485608947,564.672666313746,569.941880476553,571.109178983977,568.571428571429,567.75170325511,575.246639535016,584.06432748538,589.390962671906,594.982190182721,606.548813178303,610.791366906475,614.074074074074,621.019108280255,620.810538484616,622.294727130793,621.113989637306,617.96989416383,624.552315448854,631.707317073171,638.792102206736,644.067796610169,650.04659832246,656.204379562044,665.586753059755,662.570574559947,659.379067534407,659.133082234777,662.165100862249,666.778410995642,669.101424230949,676.13108977882,682.19944082013,686.951066499373,692.654639175258,700.35958938879,700.387552133007,689.086712825585,687.022257410789,682.651540895234,681.584362139918,684.749576887474,693.947075149704
"Cook County","IL","Chicago-Naperville-Elgin","17","031",2,257.104194857916,255.860352673493,254.00651465798,252.533783783784,249.812617114304,250,248.456058624823,246.844603111276,242.056614673599,242.296411825869,241.129032258065,238.973670970988,238.958048729872,235.170487948266,231.785714285714,230.625,228.346456692913,226.641414141414,224.820040393811,222.678304810635,221.089942401418,218.108945880452,215.619509461135,216.71826625387,217.053047581555,216.583333333333,214.589264968789,216.273352999017,216.329368313624,216.196673897325,210.191082802548,208.333333333333,207.835318253651,208.254716981132,208.301033591731,207.253389154705,209.439414588906,214.23369294905,217.480916030534,220.218757577871,221.741006114717,223.371202179646,224.086129193791,223.170009130712,227.241716346073,225.636574074074,225.104253544621,227.149342209925,227.478402150861,233.404074702886,236.202787806832,238.313473877177,237.416666666667,238.491295938104,237.112644817869,234.263233190272,235.190837598353,233.859177971673,233.572895277207,231.131660061647,232.225814219895,236.378205128205,238.866396761134,239.575296096044,240.808823529412,242.857142857143,244.107744107744,241.510836125148,242.133149640556,241.310344827586,242.023346303502,242.118027485853,243.242239189824,249.618741200519,250,250.541742968493,252.130434782609,253.036437246964,252.557363104732,250.785340314136,253.600654664484,255.12058720727,256.197854588796,257.351954654201,260.787413779741,263.21663048708,262.740183792815,261.703415339779,262.642192347466,261.708891313155,260.670902574128,256.707519046042,256.798846241936,257.101761956131,258.902077151335,260.363197581995,265.443514107195,266.111111111111,273.908045977012,276.931772071184,275.34965034965,274.656593406593,273.90180878553,273.333333333333,273.584905660377,273.235186621382,274.971297359357,276.652452025586,279.089591861549,281.818181818182,279.411764705882,277.852631578947,275,273.281114012185,271.551836355184,269.529780564263,269.679054054054
"Harris County","TX","Houston-The Woodlands-Sugar Land","48","201",3,124.676815960061,124.970930232558,124.40214738897,123.301985370951,123.037166052176,122.030589000976,123.250807319699,122.142857142857,115.718336189677,114.956065305238,114.59786330555,112.864800476474,110.995102779683,111.216381418093,112.163509471585,114.499998004064,115.04982236714,114.72534262995,112.885338797433,112.594444444444,114.608076009501,116.364752840037,114.481222329522,114.743051088268,114.607436150845,114.051092966772,115.846090194456,116.475084072149,116.338406445837,115.521660649819,115.104122524182,115.28765943066,116.705728205704,117.646666666667,116.695795141944,115.896151218401,117.928051896992,116.656572964344,118.08644307983,119.093959731544,119.09751924722,121.490318274538,122.51604203055,124.203821656051,126.03651805107,124.61922030825,130.349119404274,128.639114160948,129.834666666667,131.511997687193,127.880593521674,136.169420770428,134.633977900552,134.804753820034,135.446242898418,135.939431396786,139.883414817601,142.452816901408,142.420212492415,146.175934283363,148.102437519284,151.63855122321,151.981351981352,154.740409022302,152.205882352941,153.33358733516,151.796208200748,151.219774911182,152.270703472841,152.297412037928,153.255303584492,155.616224648986,152.916865742953,162.62482168331,162.027330941246,162.429378531073,162.36148261368,162.037929967878,160.826421486484,161.931818181818,160.537936571658,160.051641460716,161.052145823719,159.626719056974,161.811175337187,161.621621621622,161.787365177196,161.199127039015,159.76631994494,158.578441618807,157.84355141014,157.215541165587,160.014224751067,160.105121293801,161.01747815231,160.526696976657,160.300136425648,161.450583548562,162.776355791303,166.079840349045,163.149118341523,162.200956937799,162.970106075217,164.905527451421,166.711407652981,167.030260380014,168.190064781994,166.985645933014,166.105449712007,168.994232155732,169.709543568465,170.630816959669,169.969900849858,168.318585933717,167.835550181378,169.339356295878,170.683417437623
"Maricopa County","AZ","Phoenix-Mesa-Scottsdale","04","013",4,164.022877074576,161.188369152971,159.557013945857,158.678756476684,157.158585524153,155.336257309942,152.944175375988,149.422918384171,147.705845380264,145.378588937259,144.478088415401,143.507699796877,143.199233716475,144.238672286617,142.880258899676,141.110323339893,139.368327402135,136.650315346882,135.503191717532,134.146341463415,135.016465422613,135.190217391304,134.671890303624,136.038186157518,138.534548215642,140.917969676574,143.51497481309,143.659526789953,144.165863066538,144.825180189227,143.024241705945,143.530419880034,146.212741101118,148.971107026006,151.331719128329,152.498377676833,155.1793454653,156.951457005911,159.64614663142,160.049918293478,160.956325301205,159.52380952381,159.282314170633,159.465020576132,162.619150326618,163.745381989114,165.844514659269,167.073170731707,169.520547945205,169.91254889445,167.785234899329,166.867469879518,164.166430795358,163.68022053756,162.56792527112,161.674948582679,161.843019217411,164.176596618818,166.666666666667,168.636558667691,172.235576923077,174.066599394551,173.936750272628,172.877064925086,170.145190562613,170.355171634907,168.826219512195,167.45913781119,169.474221541603,173.009989289834,175.162766393153,177.314927029174,179.095713446858,183.726949696058,183.544303797468,182.523655672126,183.389074693423,181.415241057543,181.549868048117,180.899024960815,182.432432432432,185.520355049477,188.467561692197,190.385530699667,192.082114829447,192.744799594115,191.769795108721,191.444645711305,190.697466529922,189.839572192513,187.386641930803,187.56169792695,189.774614472123,193.780103362091,196.013523463577,198.68188414684,200.803914715135,200.367647058824,201.290322580645,201.141924959217,201.090380421614,199.324421476771,198.462929475588,199.08142147937,200.989486703772,203.893712181005,205.216724204066,206.043956043956,208.803611738149,210.183766905078,208.623693379791,208.471211118465,206.003002338612,205.462412114657,204.87684729064,205.718290375112,208.137715179969
"San Diego County","CA","San Diego-Carlsbad","06","073",5,369.444438223385,366.860363180964,357.795498685416,355.490113588557,358.257032428305,354.422207876049,350.772471910112,346.496322106078,344.722358758956,340,340.357067002336,336.990595611285,334.207041947965,332.692698725904,332.737104825291,327.332244214095,323.288416471376,323.270482207723,321.819330092147,314.939719265387,312.720156555773,305.419473361911,304.01159980667,308.019522712505,308.999267197948,306.006209861957,308.266932270916,311.681508643269,321.218086375567,321.927888153054,324.135119120139,329.407145661563,335.648148148148,332.956419464745,336.236609791664,348.079107910882,347.632922538974,348.267866134765,349.723784056748,359.407215429238,357.370772176133,363.253506382903,369.226981782373,369.893856545513,368.539978214863,365.948275862069,366.015071845426,372.593431483579,369.226981782373,370.951085355259,370.388825607216,374.866119243127,388.356259552591,376.291195277914,365.668930020589,367.228206257734,369.432692307692,370.439314966493,374.06191369606,373.021853805576,374.824684431978,375.401412973667,377.587396653441,371.439224459359,373.884730884731,376.265466816648,376.464026770775,379.384945885045,385.358584900087,384.712523955618,384.998461206233,389.232581229976,392.907515615555,399.981085335644,400.965338463545,398.188803512624,396.28736248309,396.408555714468,395.689655172414,395.41639767592,397.644062400509,399.408284023669,404.228855721393,412.706647851534,413.735773977283,418.918918918919,418.330880807231,422.286448298009,421.424687330071,425.191871620443,428.36744407425,433.033129492893,436.820131164205,438.090361536808,440.083958928085,448.221698642432,450.10060362173,454.654954253455,452.226345083488,451.933124346917,461.175236096537,459.97572815534,458.312623166819,465.007984699684,473.140681665052,470.287711750471,481.034923940023,484.753984753985,487.148445535515,488.005578800558,487.950624222495,481.290547664827,476.190476190476,478.729050862516,479.988962656839,483.080889461811,486.287070789409
"Orange County","CA","Los Angeles-Long Beach-Anaheim","06","059",6,370.183870483059,366.977225672878,364.431486880466,364.963503649635,362.493028443949,357.284636760619,355.182926829268,351.419241396634,350.101065248943,346.190902402336,345.121951219512,344.001810774106,342.594859241126,340.949783254393,338.021100692362,334.106483921982,333.069908638649,332.777777777778,332.739448597206,332.417944657348,332.883513344994,333.704363312556,334.314947695227,334.788452207666,335.868187579214,335.127201565558,330.372346099147,331.740976645435,336.877724236119,337.278106508876,339.2,339.23130386943,344.56613956302,346.348429212566,349.245568176204,352.722222222222,361.361014994233,368.22014863291,372.393247269116,379.724734066984,383.390051478955,383.074540367706,386.037514160569,386.723640066098,388.952453597763,388.183885924241,392.892892892893,394.797557506158,394.249421745226,395.369112710939,401.115078105716,403.06969648822,402.30686695279,400.664086373186,399.044171386808,400.0445732115,402.088944153008,402.808146409224,402.629416598192,408.287049346774,405.668643475675,411.695266094793,409.193454774312,410.227692307692,410.133515919206,411.219763252702,415.60298102981,421.60446271286,422.349003635107,423.096067695371,426.702392919392,429.392760121365,433.441081398766,436.984800045014,434.812907135283,434.708875070661,435.351089588378,436.450092587686,434.828781847654,435.292517743885,437.799043062201,441.123873873874,446.325530756668,452.203450433012,457.626386404404,453.01300511831,453.03303220272,450.250088240528,452.907359752959,457.0446624844,464.137322186866,466.74140157273,466.574234413425,467.790262172285,474.358974358974,482.472672446287,486.876090750436,485.970659956155,484.129635816906,487.5,487.646948356808,492.902208201893,492.105970830376,492.323232323232,496.372279495991,500.648672181106,504.764740917213,508.883952930981,508.546297023482,505.422014780241,505.588078765301,503.548840156621,500,498.028004286996,498.667681766273,500.590086546027,501.905596433254
"Kings County","NY","New York-Newark-Jersey City","36","047",7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,743.617021276596,766.641735228123,793.65054438861,778.949606158253,763.176169590643,749.791666666667,780.133928571429,799,812.405470588579,791.868575624082,867.277805431116,883.656509695291,865.177031418252,910.182516810759,881.445218667253,885.881270655122,865.384615384615,861.350574712644,886.982730531118,895.546004156433,892.110088985089,900,900,915.221579961464,931.142410015649,932,952.428286056732,964.628278129762,941.823899371069,917.460259321661,908.193484698914,911.131059245961,918.065153010859,909.090909090909,906.040681639086,887.128584643848,839.532412327311,864.427860696517,884.016973125884,869.467293380337,857.300884955752,835.512457357339,853.552859618718,859.399684044234,854.341736694678,855.714285714286,876.524390243902,896.752302472128,916.605437178545,924.610408560311,941.49560624582,927.857142857143,912.228796844181,896.614821591949,921.787709497207
"Miami-Dade County","FL","Miami-Fort Lauderdale-West Palm Beach","12","086",8,294.404728530044,293.962264150943,285.247237698238,282.490317308034,289.085069106482,286.066734074823,284.150717703349,285,288.539447894774,288.510421962379,294.854274502906,292.942743009321,290.593505039194,303.977272727273,284.403402742773,281.828073993471,291.247254349884,288.74269005848,288.296358843965,287.906950546356,293.051954041838,293.497680715538,300.179211469534,304.115853658537,293.154034229829,280.913679105635,293.305728088337,308.247422680412,308.787128712871,303.83631713555,306.697341513292,301.401107852721,301.165438370789,296.610169491525,293.382352941176,299.638989169675,314.113597246127,324.364037493448,324.918722509084,329.381879762913,321.57694748819,327.155879481099,340.345893141946,323.210161662818,319.856598715358,324.404424276801,331.954498448811,337.837837837838,345.149253731343,351.567906808701,346.95652173913,353.536585365854,351.748797918153,350.877192982456,346.630327056492,351.393939393939,357.142857142857,362.630875617889,377.697841726619,382.671480144404,384.418247052793,385.60411311054,384.717314487633,391.176061428317,385.294385308566,382.653691106072,387.937326853514,391.844724305457,396.639097744361,394.331271007971,396.782790309106,400.576021654453,414.847161572052,418.548387096774,416.223679263019,415.966386554622,413.388543823326,413.463600277576,410.862513352738,404.166666666667,406.738173185534,409.880918935725,414.007459593867,419.545903257651,421.330517423442,426.749823228795,425.438596491228,425.438596491228,424.180107526882,422.84342792602,419.796730004419,418.255066447577,421.745698147905,418.741511996378,430.215107553777,434.948285247686,431.576617523335,432.073954983923,435.121503897295,432.682200152788,433.333333333333,433.025404157044,434.239130434783,433.771486349848,442,443.548387096774,448.182789432789,452.714186084502,455.241009946442,451.06642233725,449.726081808235,447.895100069013,444.301654191587,442.157953281424,439.739413680782,440.80604534005,440.114801233436
"Dallas County","TX","Dallas-Fort Worth-Arlington","48","113",9,149.774774774775,149.574661769784,148.886845542222,148.604549053565,147.844871815644,145.947680867549,146.564977308205,144.171045813262,142.549757934373,139.907371671169,138.989826471282,137.553498027153,137.497678479779,139.658517656189,139.671769909871,141.576057652183,142.553836821353,140.894681225784,139.09111987016,137.366443397471,136.05735318918,138.220730031735,138.789176452988,139.590459586442,140.029688273132,139.853137516689,143.51954073747,145.708046673826,144.332939787485,142.38877317608,139.745762711864,138.817480719794,140.239341810022,140.691596300764,140.936686903729,142.526964560863,144.557823129252,145.200486026731,147.442899203098,151.247624283358,148.393655957706,147.063246351172,148.682703321879,150.569190830392,152.804927458258,153.219529865789,151.954671190378,149.871598794326,150.552821342525,153.024905152862,154.667585256631,158.613958028306,158.158838273145,156.675749318801,157.822191592006,160.173021467478,159.947948717949,162.647223780146,162.024141132776,163.605873724558,166.880710659898,168.193581780538,173.795713180864,175.020885547201,173.561151079137,172.466023867637,172.497570456754,172.491039426523,174.745417515275,174.634728398774,175.900163666121,175.936435868331,176.930968663144,185.160513640779,186.259897531439,192.268806860795,193.374038139846,195.015171218032,195.319216182048,193.305455807345,195.714419475655,196.932090795991,198.412698412698,198.494038903995,201.949860724234,204.39414114514,208.650455268102,210.376871450697,211.926525092658,209.47265625,207.19889247808,206.120943952802,208.734554750746,210.675036269332,212.121212121212,213.139534883721,214.594187286307,217.771784891024,220.656561627443,221.666666666667,219.675724637681,218.066749384046,216.534636622134,216.008230452675,218.791641989932,221.736414740787,221.656584616549,221.027786548784,221.688995837669,222.901124427431,225.688073394495,225.663716814159,226.971064627137,225.048135528718,222.02486678508,221.263504559544,221.963574274331
"Queens County","NY","New York-Newark-Jersey City","36","081",10,,,,,442.793965055563,443.307238546778,442.108108108108,434.31855500821,439.21365752716,443.007662835249,437.628865979381,438.375384615385,439.919893190921,434.782608695652,436.312251499427,429.642600574713,428.401763381992,432.011331444759,428.070175438596,431.854621148021,434.626436781609,436.149961149961,434.559207695617,434.626436781609,434.667828106853,440.416666666667,438.311688311688,444.545454545455,441.878129491496,437.596153846154,430.965517241379,427.97619047619,428.921568627451,430.740224762042,431.363636363636,431.818181818182,437.285223367698,437.644877144182,441.37022397892,439.428571428571,450,445.987654320988,446.126183851609,446.256615089891,450.50600937549,449.447077409163,461.011146844654,451.62037037037,457.754329004329,456.428571428571,475.131428571429,481.78031212485,487.80487804878,496.937212863706,499,489.874638379942,501.234567901235,511.2,500,503.809523809524,522.857142857143,522.058823529412,522.707044979276,522.056969657108,528.735632183908,533.370411568409,533.546325878594,541.801109688434,551.260107254398,547.212716138328,565.47619047619,575.924145299145,581.592759780492,590.045256350898,589.853826311264,593.125,585.15625,589.121887287025,591.111111111111,595.402981137053,600.425079702444,605.387205387205,611.559208836373,616.758826031476,608.867194810055,618.181818181818,615.450175487934,631.775650092482,634.310947204969,639.359858890268,635.171315894208,635.416666666667,652.307692307692,645.424836601307,644.849204925873,646.706930067955,651.253027901552,655.555555555556,651.583595315854,665.607619047619,675.19323434502,670.739827296659,664.52440782297,659.526604068858,656.882591093117,657.936507936508,651.575413623606,657.59900798264,661.878453038674,663.19375,664.938238453276,660.338578099829,678.104575163399,688.218390804598,688.301282051282,690.180134588029,701.188420349471
