"RegionName","SizeRank","2010-01","2010-02","2010-03","2010-04","2010-05","2010-06","2010-07","2010-08","2010-09","2010-10","2010-11","2010-12","2011-01","2011-02","2011-03","2011-04","2011-05","2011-06","2011-07","2011-08","2011-09","2011-10","2011-11","2011-12","2012-01","2012-02","2012-03","2012-04","2012-05","2012-06","2012-07","2012-08","2012-09","2012-10","2012-11","2012-12","2013-01","2013-02","2013-03","2013-04","2013-05","2013-06","2013-07","2013-08","2013-09","2013-10","2013-11","2013-12","2014-01","2014-02","2014-03","2014-04","2014-05","2014-06","2014-07","2014-08","2014-09","2014-10","2014-11","2014-12","2015-01","2015-02","2015-03","2015-04","2015-05","2015-06","2015-07","2015-08","2015-09","2015-10","2015-11","2015-12","2016-01","2016-02","2016-03","2016-04","2016-05","2016-06","2016-07","2016-08","2016-09","2016-10","2016-11","2016-12","2017-01","2017-02","2017-03","2017-04","2017-05","2017-06","2017-07","2017-08","2017-09","2017-10","2017-11","2017-12","2018-01","2018-02","2018-03","2018-04","2018-05","2018-06","2018-07","2018-08","2018-09","2018-10","2018-11","2018-12","2019-01","2019-02","2019-03","2019-04","2019-05","2019-06","2019-07","2019-08","2019-09"
"United States",0,160.25641025641,159.040089285714,158.248743739423,157.629255989912,157.763890314343,156.929019797199,156.614173228346,155.275843599357,154.044117647059,153.207051395951,152.543661971831,150.884001724881,149.667332002661,150.141956528164,149.647887323944,149.303251493033,149.5,149.117468046257,148.818897637795,148.232611174458,148.964367816092,148.617631716223,147.616085401452,147.492625368732,146.752450980392,146.926437798251,147.362978283351,147.298674821611,147.401433691756,146.911058154473,147.315789473684,146.668967897825,147.786760581089,147.741935483871,147.068509038283,146.965865992415,147,147.6672703448,149.137451307735,150.576082638061,150.856389986825,151.172347111433,150.885416666667,150.712719298246,151.545869234668,150.961737331955,152.53360910031,151.782370436126,152,153.09963099631,153.704379562044,155.542986425339,156.48194551118,156.944444444444,156.590909090909,156.077210460772,156.818181818182,157.217741935484,156.954193693929,156.872294372294,156.981253569269,157.367672168469,158.050351288056,159.870940227259,162.072958888246,162.371413102328,161.584051724138,160.967741935484,161.14012849109,162.60162601626,162.865157298875,162.5,162.633651712672,167.23259762309,168.47085582158,170.294475756491,170.696815874481,170.12893982808,169.849134660871,169.900732548677,171.507668312971,171.56862745098,172.250803858521,172.040534315983,172.743362831858,173.588997210708,173.631578947368,174.594594594595,175.245098039216,175.141242937853,174.297606659729,173.624288425047,174.484399788472,175.327102803738,175.308641975309,175.121951219512,175.724796872214,177.587844254511,179.507400541819,181.663914120562,182.687692835105,182.735940736348,182.986536107711,182.906429691584,184.794988610478,185.80202253896,186.683200932767,186.794055201699,187.147555145695,188.560839826761,188.950098673936,190.706168831169,190.733752620545,190.533493782591,189.914066033469,190.031092227789,191.098748261474
"New York, NY",1,332.692307692308,330.634920634921,332.601408965528,329.705056179775,334.71954903648,332.692307692308,330.637488106565,327.210293115201,334.822425731517,337.5,339.15992695017,338.701431492843,339.266450916936,334.310354298379,338.653366583541,332.255617499803,328.153018529588,326.252723311547,325.352626343959,324.004521127193,325.105668051994,326.666666666667,331.224489795918,336.026936026936,337.210300429185,337.757133377571,334.105733782302,344.173441734417,344.444444444444,339.393939393939,339.385354966092,339.049137299923,344.5,348.983207812883,345.500312695435,349.464490263459,354.859561690681,352.274260189309,351.63551905114,344.742063492063,340.714894134826,338.115863562534,335.946024636058,337.170538201189,342.705964930412,346.95258801028,370.952809181226,373.775517606051,385.646687697161,377.090970969166,374.583333333333,370.822281167109,376.458757571434,393.802816901408,387.368919887724,390.737116764514,393.36949814891,408.424747883069,410.830999066293,431.578947368421,457.903550013628,437.785512753257,425,411.100488633949,405.405405405405,404.427415921669,404.214837696762,409.83606557377,416.899145844894,427.857142857143,438.333333333333,453.353504790721,501.698037307402,496.688741721854,449.884781540213,460.754130396163,437.5,435.906040268456,438.355479452055,443.354024153365,452.044713898764,465.416135227456,481.48037037037,501.491323210412,513.698630136986,511.073253833049,491.266375545852,491.415971506697,481.984421971876,482.705672879166,484.640678535976,484.351679104478,494.356436989543,505.421722354173,522.528849596519,541.932543299909,553.130929791271,509.334076344386,473.058683815745,472.786292261693,468.082653061225,462.402290006917,463.738872544715,466.259870782484,481.293595434369,491.071428571429,501.766784452297,519.630484988453,534.57249070632,529.725609756098,514.783526927138,510.964183715102,500,498.005319148936,495.23110785033,500.881834215168,507.407407407407
"Los Angeles-Long Beach-Anaheim, CA",2,404.982618771727,398.152649489548,405.928466438021,404.205217105797,402.013422818792,396.825396825397,391.31803868646,389.067194009725,388.983532084043,386.290890852558,386.356319147691,384.122919334187,381.084859909428,383.739406779661,381.130144255923,374.602256291582,376.249265138154,376.203124399013,375.755287009063,375.320853941025,374.86602357985,372.622155911973,372.949388968216,372.610469818396,371.827481676895,371.302498123633,368.852459016393,371.919770773639,374.180083482409,375.966993295513,378.313253012048,377.891056827734,380.242332023161,385.425616828997,387.98875014308,388.331234256927,396.993810786914,397.81512605042,407.383072954689,417.451989385554,421.362719376182,422.875553765606,424.065575381184,423.554120370813,426.814855409415,428.158458244111,430.898581187599,431.425485961123,434.940195723088,437.35443752442,447.097378277154,446.966570367313,448.115804627685,446.76749177174,445.775187056567,444.458529054218,450.810185185185,455.49108903273,453.423812461444,459.350761275496,452.409872648999,466.616620623731,467.804072647221,477.296531799088,479.114589160083,477.81921912604,479.361754187841,482.673748631195,487.469882835113,491.938137545245,498.961732423613,497.512437810945,504.711372023473,514.982886101295,508.711546281348,509.970912012747,512.589706786959,513.888888888889,513.571428571429,513.071895424837,519.771071800208,529.262102601156,537.014938566251,542.641358869129,547.150089077599,545.250320924262,547.226386806597,547.997805814591,552.223099184425,559.662359822456,560.893429487179,557.781036748362,563.407389680625,568.769078650205,574.242166813377,581.867268551834,582.923832923833,584.932983030729,593.609226035209,596.95717325635,592.490527040992,595.10320308323,594.985283505236,598.010060886309,599.38128383604,608.831574833919,614.940425923692,619.174823378202,623.043206011271,625.170068027211,623.439667128987,618.781094527363,616.40846607026,612.038844077838,611.963190184049,613.617767387493,622.817375670405
"Chicago, IL",3,211.814621409922,210.498917748918,209.813423175451,210.05291005291,207.456174522789,207.58577274158,205.745590593266,204.422654660271,200,200.147492625369,198.944344003531,196.954314449259,196.017610748003,194.048204623709,192.879691336373,192.493432980392,190.80013918669,189.189189189189,187.907268170426,186.095505617978,185.632716258981,183.300297324083,181.893146118738,181.006093055508,180.406021318447,180.450476465492,179.075432097858,180.615836009237,180.709980586695,180.373658579321,176.973684210526,175.520450595784,175.242130750605,175.076504590275,176.084766584767,175.563136708818,175.655103363382,177.576466277442,179.989711934156,181.909282700422,183.59853121175,185.281837160752,186.078618977642,185.527932999054,188.03738317757,187.121212121212,186.875,186.146095717884,186.180422264875,188.734030197445,190.838621920712,193.602693602694,194.149207971385,195.162969175097,194.567596854682,193.482036216384,194.34628975265,194.841014053789,193.990359746062,193.008225616921,193.005376344086,196.443089430894,197.281167108753,197.876679632249,199.501069137562,200.80479799901,200.652938221999,199.58599244688,199.650069394857,199.620620397233,200,199.6399730821,200.709188224799,203.323731791656,204.15032911034,204.359673024523,205.076923076923,206.119077648607,205.882352941176,205.173689612187,206.532403821327,207.43522072,208.921513269339,208.982072748972,210,212.566033968707,212.027756360833,211.853760977472,212.541818479659,212.204007285975,211.742627345845,210.326147460579,210.60560409762,211.232604373757,211.552503311658,212.219439728353,213.137006392055,215.333013547299,222.152777777778,225.414693998079,224.192277383767,223.310329038143,223.654708520179,222.772253097634,224.803923578603,224.891824185835,225.693822494487,226.095262136501,227.96,230.679444708799,228.559523355599,227.065959059894,223.197259602358,221.590909090909,219.674921429442,217.770034843206,217.699609156896
"Dallas-Fort Worth, TX",4,115.00547645126,114.970721947516,115.107043127521,114.472091727048,114.059000886051,113.479957431713,113.446808510638,112.32572087132,109.956584659913,109.274802788096,108.994548758328,108.290155440415,107.401448109413,107.863931935806,108.157790474602,109.682724803976,109.711437438605,109.105082631743,108.979366987179,109.022556390977,108.806316308907,109.10659708712,109.036771528858,109.149096385542,109.068299779288,108.990050084693,110.423913519889,112.203821893542,112.523540489642,112.592118834994,111.660758596242,111.115771812081,112.12011577424,112.331362383963,112.600423330198,113.244152411794,113.182389937107,113.461927781253,114.521793598574,115.360656660835,115.484565741743,115.531818801381,116.373767681097,116.710839007907,118.631658672053,119.344445442444,120.046697798532,120.585258730036,121.442687202404,122.416187088617,122.445929545527,123.385738349242,123.391583452211,122.603591937845,124.168947985921,125.078045911668,125.985908765226,127.888830063958,127.772072648034,130.006328396737,131.162573948547,131.148506860371,133.515040323397,133.554905316623,132.775099399755,132.704726818498,132.758155460856,133.483033932136,134.47459086994,136.293514204107,136.7028845128,137.062189054726,138.113278498365,139.59822948587,140.498243372724,141.685285572699,142.017272731009,142.098028201766,142.539682539683,143.154606975534,144.31295200526,145.4212090169,145.845616757176,146.835501858736,147.73473652784,148.551263001486,148.97465437788,149.325098607778,149.017933390265,148.781114718615,148.566792861006,148.693350975852,149.768348522794,150.572778269855,150.814123327169,151.196584925324,152.649211387172,153.210764721556,154.891304347826,155.235491843904,155.596299966964,155.404236921747,155.086484901788,154.745995918871,155.547277819317,156.269113149847,156.823095169275,156.959352423342,156.957831325301,157.255210381439,158.39346893075,158.867096390324,158.389344128382,157.672090112641,157.308584686775,157.675812046673,158.021937163041
"Philadelphia, PA",5,173.254835996636,173.690360789736,174.205074833978,172.91832934291,173.259890980433,172.648836805986,172.175226586103,171.053357732079,170.494084899095,170.302365260072,169.170449855551,168.521527213647,168.136363636364,167.478505152428,168.205349439172,167.752442996743,167.37615772935,166.092307692308,164.987640723719,164.525227201504,164.112028028207,163.934426229508,163.690476190476,163.215258855586,162.790697674419,162.762605042017,163.515475511542,164.441557749235,163.810483870968,164.0625,163.327526132404,161.576293717593,162.5,163.579842931937,163.678298651703,164.03162055336,163.709529906713,164.385353318181,165.690761636107,165.322997416021,165.692416381466,166.092307692308,165.505540987007,164.557425018288,165.453260869565,165.934598354299,167.96218487395,166.417173633137,166.337907375643,165.906490534637,168.325978599147,169.296515450362,170.034013605442,169.668626402993,168.774246095065,169.274123084049,170.068027210884,169.330510717121,169.308697037273,169.546666666667,167.859991700608,168.708333333333,170.674171238473,171.609170081967,172.550207923481,172.119185707681,171.260109767789,171.670243204578,170.955499147752,172.596153846154,173.038461538462,172.450970410369,171.890348722986,171.958835978836,172.825562700965,174.929966954159,175.644028103044,174.032068830661,174.524518404576,174.04968428361,174.280879864636,175.168318294633,176.131130063966,177.2030651341,177.964099039473,179.420490999451,180.197268588771,180.637052721351,181.278325123153,181.940822635981,181.761904761905,181.40109151005,182.40700518068,182.603217158177,183.41929068677,183.042041053279,183.438155136268,183.461350293542,184.65575675541,184.973045822102,184.461873927354,185.340153426028,185.635398124059,185.932901706886,187.125147579693,188.029131355932,188.393316195373,189.497716894977,190.163043478261,190.821840698002,191.837837837838,192.206884501136,192.983262383901,193.000978834741,192.089052587665,192.180285818981,193.343611591174
"Houston, TX",6,114.956437560503,114.378109452736,113.545816733068,113.368283093054,112.743100500184,112.005221932115,112.158231546066,111.77347242921,107.22224143126,106.870229007634,106.39624949042,105.839764792356,104.529148073436,104.767343393178,105.331687672448,106.99564880885,107.330903199676,106.657747520574,106.243139612697,105.511042493394,106.612157838606,107.52688172043,107.172206441022,107.297766553734,107.208472517461,106.382978723404,107.450680007962,107.8494391717,107.997659906396,107.050092764378,106.900619386336,107.182814947416,108.687863860278,108.652173913043,108.918960850333,109.564876519012,110.032940663176,110.217842323651,111.618548355288,112.895132965379,113.5,114.583921337466,115.237436606731,116.160549247425,117.480858936818,117.178314826911,118.60421152015,118.578850855746,119.525235243798,120.739109658296,120.116346064256,123.558484349259,123.822968057789,124.548212078626,125.061117461466,125.583743654843,127.42790073776,127.966101694915,128.326026869077,130.173676719208,131.146693772384,131.832503170416,132.712287104623,133.653846153846,133.322507307567,133.310486634681,133.015035546197,132.844444444444,133.748535031847,133.680165391159,133.976956775047,134.467626286801,133.516809502269,137.408548233047,137.186192468619,137.357371063441,137.167086063636,136.306973120374,135.623869801085,136.982150269821,136.797927642061,136.549406257041,137.082805238699,136.80564386319,138.178159377515,137.388312724372,137.210062071219,136.986301369863,136.515358361775,135.869565217391,135.830495648884,135.135135135135,136.842162063912,136.609289617486,137.266618670506,138.097014925373,138.157894736842,139.006748944637,140.041736694678,141.3982717989,140.629340149664,140.160128715763,141.196013289037,142.220150987149,143.108762659621,143.261489698891,143.513338038492,143.709009003036,143.548945001729,144.303079407179,144.238495856894,145.318930041152,145.372807017544,144.232543286971,144.727347273473,145.81981490043,147.283009589378
"Washington, DC",7,264.58112407211,265.353085814869,272.54746835443,273.814825930079,272.9216152019,272.767267927849,272.918418839361,264.434415820029,262.083879471448,264.255665057656,262.066451480978,257.838834269663,254.237288135593,255.688289500932,258.747412008282,262.537574476778,264.33607520564,261.480787253983,262.686786579038,258.692081002949,262.88094716071,261.728251437615,258.037668319029,250.794296949698,249.779312371437,252.740485363054,258.514305411927,263.807285546416,266.167192429022,265.401737413838,263.944099378882,259.065007753441,265.992264207081,269.475357710652,266.635930773918,263.940918662161,261.888111888112,260.908018867925,270.319303338171,276.701715550636,276.137184115523,275.745111450496,271.45773928346,269.887138908182,277.777777777778,281.216837637071,277.670938534085,268.602422109356,262.202101694915,264.455401165397,269.337016574586,273.248126928162,274.543688004344,275.662251655629,272.097625329815,265.14894382947,271.284141583055,272.912414026282,267.991407089151,262.96875,254.954954954955,261.785714285714,266.115413136011,269.740346832468,276.61308973173,276.675065322882,273.813002699619,271.327612317012,277.129521586931,280.046322335537,280.244173140955,273.809523809524,269.363538295577,278.212478920742,280.95867768595,286.144376980019,285.563686017097,285.855263157895,285.938989513823,283.732977092352,286.979337487701,290.347640318508,291.804929672826,290.948275862069,293.757459382071,298.207545935193,294.936086529007,294.224482382855,295.60236511456,297.766925862373,296.229802513465,291.695078640284,299.612971228983,304.737975592247,303.41522837276,301.433389544688,301.147580978118,302.990582465251,301.958827761814,307.148879788003,308.476394849785,307.836237553343,312.463203463203,311.281981634131,320.740199047605,325.047801147228,329.608938547486,333.049592894152,334.871335751334,337.731,333.416334661355,334.056271981243,332.362223789235,331.901316922963,330.717061860866,330.061066564289,346.041583374678
"Miami-Fort Lauderdale, FL",8,221.490467937608,218.63580998782,213.651315789474,211.760245792368,215.471447543161,213.024954351795,209.662921348315,210.496203635528,209.83606557377,211.571517550435,213.951815893563,211.752249867655,209.79020979021,216.911038417738,205.308113611698,200.301204819277,201.955782312925,200.582763131997,200.442151805453,199.897225077081,204.343382728666,207.561728395062,211.203007518797,217.055559876591,209.99628988375,206.428571428571,206.791549713608,215.698022768125,217.209302325581,213.675213675214,217.073170731707,214.984792636285,223.057055646865,219.538422499823,220.724907063197,227.272727272727,233.125649013499,234.31843462433,234.146356525319,235.433070866142,227.226849256716,230.921704658077,234.96926432679,230.583113689882,233.166666666667,239.159829772934,234.29242513212,247.899649941657,253.815176607582,254.524226503211,250.806541019956,254.272634791455,253.980138832525,249.604072539925,247.981991419235,251.237896801079,256.211180124224,261.699577731992,267.785771382894,275.766871165644,275.195324421657,274.859765425803,263.970588235294,270.161730399464,275.553368328959,271.441500107377,268.011834800102,272.456395348837,275,278.399552322328,288.224077328647,293.150684931507,301.92131747484,307.827616534741,305.458755336962,304.227763350229,302.41935483871,305.555555555556,305.991517003387,302.545376492372,308.415128320576,313.811188811189,321.774193548387,328.747459701453,328.322784810127,332.71375464684,329.432334395552,326.923076923077,324.058640076603,324.308105602267,320.307048150733,320.841889117043,326,325.627240143369,335,339.971671388102,340,339.155888841662,340.217075942768,339.506172839506,336.065358897215,334.431711738523,334.413862991488,335.820895522388,344.488188976378,346.057257659468,350.870683846294,354.501957372771,356.65444346838,353.327855382087,351.947442515251,346.654464025824,344.141498500375,340.06734006734,338.265773128473,341.818064648724,345.826591205641
"Atlanta, GA",9,131.052748486053,129.635356821173,130.585585585586,130.939907550077,129.307384087006,128.06404657933,128.741058655222,127.788104089219,126.915708812261,125.413223140496,124.274855012428,123.392845633258,121.818181818182,121.46835443038,119.817766917282,119.417243850012,119.284009546539,118.321670535521,117.285363974927,116.832261835184,116.464277956675,115.305816548409,114.3604,113.956506714167,113.444688276288,113.386273397618,113.459745104134,113.819875776398,114.481889377031,114.942528735632,114.838217818326,114.043355325165,115.30413564332,115.810774190876,116.853360488798,116.528212796206,116.579887291297,117.113065052375,118.74389847055,120.181140319706,122.369279704182,122.914874570493,122.919937205651,123.05055295317,122.734066369098,122.741433021807,123.605249753804,123.501136202068,123.840716314203,124.980769230769,125.094768764215,128.340365682138,128.142174432497,128.390410958904,128.369142405051,128.232005590496,129.792435051824,129.798769932719,128.022540983607,129.668049792531,130.543670632025,132.045994825254,132.288472124844,132.950990615224,133.172290933276,133.606936472677,132.907458563536,132.235749861649,131.788657035848,132.384230769231,132.752951861944,132.042253521127,132.778368549192,136.009727062063,137.443473017787,140.070052539405,140.698048794808,139.392430278884,140.625,141.597028783658,141.972121837894,144.305841905261,145.022624434389,144.612414612415,145.669865341006,148.097286386799,149.700598802395,150.412421154779,150.30063664648,149.781055542752,149.278894982734,149.929610511497,150.765166297339,152.11842776927,151.615037106932,152.522848664688,153.929735603042,153.812622667384,157.504632489191,159.173531590892,158.593933693863,159.279017551076,161.131263375876,161.410018552876,161.164573672676,162.494920763917,163.329925931813,164.468503937008,165.56162095208,164.263517222451,164.586228782298,166.674868766404,165.584839973098,165.590861258005,164.88360814743,165.226378633992,165.809128630705
