"RegionName","City","State","Metro","CountyName","SizeRank","2010-01","2010-02","2010-03","2010-04","2010-05","2010-06","2010-07","2010-08","2010-09","2010-10","2010-11","2010-12","2011-01","2011-02","2011-03","2011-04","2011-05","2011-06","2011-07","2011-08","2011-09","2011-10","2011-11","2011-12","2012-01","2012-02","2012-03","2012-04","2012-05","2012-06","2012-07","2012-08","2012-09","2012-10","2012-11","2012-12","2013-01","2013-02","2013-03","2013-04","2013-05","2013-06","2013-07","2013-08","2013-09","2013-10","2013-11","2013-12","2014-01","2014-02","2014-03","2014-04","2014-05","2014-06","2014-07","2014-08","2014-09","2014-10","2014-11","2014-12","2015-01","2015-02","2015-03","2015-04","2015-05","2015-06","2015-07","2015-08","2015-09","2015-10","2015-11","2015-12","2016-01","2016-02","2016-03","2016-04","2016-05","2016-06","2016-07","2016-08","2016-09","2016-10","2016-11","2016-12","2017-01","2017-02","2017-03","2017-04","2017-05","2017-06","2017-07","2017-08","2017-09","2017-10","2017-11","2017-12","2018-01","2018-02","2018-03","2018-04","2018-05","2018-06","2018-07","2018-08","2018-09","2018-10","2018-11","2018-12","2019-01","2019-02","2019-03","2019-04","2019-05","2019-06","2019-07","2019-08","2019-09"
"Northeast Dallas","Dallas","TX","Dallas-Fort Worth-Arlington","Dallas County",1,150.335008375209,150.361469704846,148.44171750865,149.08299755466,148.310549393861,146.310432569975,145.062474808545,145.305039787798,145.887221934816,145.441918392914,147.082699137494,145.474613686534,144.985637927468,146.027067887847,145.151327980235,144.419283713724,145.121728905195,145.443239686081,145.438060897436,146.055867531766,145.833333333333,145.151515151515,144.649933949802,145.066744051074,145.911422220097,148.634717506747,148.75,150.541161036405,151.125806451613,150.523560209424,149.362808842653,150.70126227209,148.746448046616,146.548564447159,145.065939063211,144.830659536542,144.806338028169,148.517217315774,151.162790697674,154.771140418929,154.568901989683,152.758784582573,153.600927711654,157.427753506095,159.056603773585,160.446821900566,164.986619090098,161.691312384473,164.177690621158,165.514993481095,171.043154634688,173.444388576286,179.950900163666,177.891459074733,176.926766329129,178.947368421053,177.210506844247,179.838090820158,180.300633994714,185.328516941402,184.58686440678,188.034188034188,190.342408532747,191.746575342466,191.652470187394,191.447158686356,192.120622568093,192.943882738719,192.423764458465,193.996664813785,194.256587349239,192.137449039022,194.075829383886,196.410079392475,199.552214322227,203.337453646477,203.101920236337,204.081632653061,206.052946992665,206.765619606489,207.729468599034,208.846808705692,209.580838323353,211.365324193088,213.850207354177,217.07696137176,220.630760924062,220.417592579261,220.286112266695,219.097384872103,220.308756653583,220.293724966622,220.118014172116,220.351339375997,218.044594958471,220.535025197032,226.765714495521,232.865400495458,229.995567741403,230.54801953337,232.110091743119,230.180654213803,234.78868841287,231.738973893153,232.587064676617,238.81317570593,237.247924080664,235.690607734807,234.947769372849,237.099023709902,238.716693855356,238.951351139963,241.882041086812,239.461077844311,236.740331491713,237.859654512188,236.673737174428
"Paradise","Las Vegas","NV","Las Vegas-Henderson-Paradise","Clark County",2,140.58106841612,133.838947133616,129.564934799005,124.838446989462,128.090967328635,121.580547112462,121.469885206716,115.35153609768,116.618194933699,115.772703133298,113.653206347464,105.166193838584,110.663386844364,109.32630232044,106.884418011391,100.644318567791,100.932159502848,99.6611810261375,99.6455471865308,101.809690601284,102.583293095123,101.819305585775,101.276375840405,98.2775313102132,94.3498242768316,92.0798807205032,91.7264572903326,92.9125950516055,92.30737288773,96.3783220427306,98.1696428571429,98.9445910290237,98.6858052839541,100.492200855532,100.422883614186,105.007846556234,105.366230528405,106.20783174375,107.749305341155,111.635446685879,117.018779342723,118.282402528978,118.352461019227,125.398267991267,123.807339449541,122.459893048128,124.383611795247,125.319567354966,124.84812960555,125.816993464052,125.677389016608,129.480286738351,131.804335826065,130.890052356021,131.369426751592,130.359212050985,131.219772403983,133.406030735049,134.719036697248,133.236349919964,140.168201842211,137.383900928793,139.365773646802,140.025850926325,138.976626658244,140.025850926325,139.806812404677,140.09996725348,140.738060781476,142.33899666586,141.701349412593,145.324347093513,144.621541872483,145.776291535004,145.027624309392,145.661844619328,148.767006802721,145.833333333333,144.96845780697,145.766345123258,145.628140521213,144.557823129252,144.393158789527,146.304215027489,148.386890388865,147.588192944564,148.319225966176,148.557604420359,149.532242990654,151.858549346661,151.393545680602,148.35541343079,151.665166516652,158.552925413131,160.965794768612,163.808472859953,166.543267006016,164.185639229422,164.984472049689,169.564517827922,171.232876712329,173.222065753785,178.837214725588,182.452246968376,178.272980501393,176.165803108808,178.656679062845,177.713736791547,177.616674218396,180.693069306931,178.610098762698,180.935639437961,182.436131386861,186.432035520655,183.684400520772,182.558191323854,185.010101010101
"Upper West Side","New York","NY","New York-Newark-Jersey City","New York County",3,1129.55465587045,1129.55465587045,1148.67424242424,1149.50757575758,1145.83333333333,1146.4911021814,1163.2671957672,1159.45437441204,1158.23817292007,1134.30127041742,1159.45437441204,1187.87996408463,1190.1681759379,1182.91746226319,1238.01652892562,1288.00675675676,1320.36847492323,1317.23046395162,1324.8127645718,1265.01024924894,1251.66405190928,1291.07981220657,1286.80341490023,1304.34782608696,1295.42395693136,1266.28075253256,1268.64911339059,1245.3007518797,1245.3007518797,1250,1250,1267.74781058669,1252.50501002004,1231.76578845409,1250,1266.47714348415,1267.37967914439,1273.09973796347,1273.22404371585,1254.92688856928,1265.33742331288,1301.93651230984,1319.3603315701,1358.32521908471,1397.63955311254,1430.27413587604,1453.85587863464,1453.85587863464,1490,1494.47167641099,1488.66348448687,1478.11256395679,1520.83333333333,1489.22686945501,1514.62411022141,1499.16666666667,1556.09756097561,1571.60194174757,1581.57602663707,1577.31958762887,1562.96731028816,1565.07413509061,1579.82261640798,1601.88649253181,1610.90458488228,1639.00414937759,1676.93065880158,1700,1721.6252282624,1729.27002126152,1768.16082983774,1804.73895008468,1883.01886792453,1900.77374336804,1873.91695291678,1871.41504329004,1834.45823003616,1824.9070231029,1833.07153296636,1843.63636363636,1818.88544891641,1819.02878110308,1827.50588538384,1822.27624243845,1819.17211328976,1836.66076221527,1839.1167192429,1832.40223463687,1828.76016260163,1815.64245810056,1804.93152533225,1815.57572861921,1817.97101106056,1794.89603024575,1812.58549931601,1818.46932321316,1823.17073170732,1554.25219941349,1438.44444444444,1504.91803278689,1519.09000876524,1527.77777777778,1562.19302554027,1579.46313270024,1567.43869679019,1577.18120805369,1599.30549659823,1639.62397179788,1674.16730417861,1612.90322580645,1590.5017921147,1572.66811279826,1554.11255411255,1549.01960784314,1520.15224955788,1536.84089134909,1528.62985685072
"Upper East Side","New York","NY","New York-Newark-Jersey City","New York County",4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1159.32642487047,1207.10681244743,1195.84747292419,1187.54055807917,1187.54055807917,1204.99569336779,1201.92307692308,1200.16536291391,1207.31707317073,1212.4863628978,1212.85714285714,1222.35872235872,1211.17297484422,1212.12121212121,1221.48148148148,1209.30920930921,1221.75472675473,1218.92124466474
"Sunrise Manor","Las Vegas","NV","Las Vegas-Henderson-Paradise","Clark County",5,116.636723286876,116.085946573751,116.085946573751,114.81389690909,112.371933899264,110.303211986247,101.022575989942,104.913639070876,105.479452054795,99.1529646238166,100.526225089906,89.555575618978,92.2692307692308,89.9427636958299,88.6687279871098,84.0963855421687,81.5197882865044,81.2102639603425,79.219116633552,79.3629535147392,80.0032406980438,85.743106926698,83.1337325349301,82.4099105270168,77.1571298819255,77.0171149144254,79.1781868956214,77.7947336923998,78.6210834395817,76.9050958391772,77.2214386459803,79.6875,76.9230769230769,78.2111899133176,82.1486556235957,82.2437789962041,82.2437789962041,83.5778321108395,88.3058194194107,92.1899529042386,90.7047068104128,94.0822276501958,98.116169544741,98.2594048287479,105.671922805366,97.6577324801428,96.7476583272138,104.795710854229,101.544207253754,102.639296187683,103.300419432392,102.639296187683,105.944673337257,107.006011890922,108.504398826979,110.091743119266,110.791546983997,111.177023316242,109.572524662039,112.404981400615,114.937580714593,114.888994371775,113.449443638123,110.051357300073,109.743040685225,111.295546558704,112.294281848328,115.384615384615,114.164835164835,114.824175824176,115.087230429615,114.065934065934,116.516762060507,116.793928071548,121.92581300813,120.960645405703,121.431028368323,119.527625474483,118.465845864125,119.125326370757,119.212642084835,117.881755531375,117.881755531375,120.74676163999,120.449678800857,121.131486437629,121.449518223712,120.630749014455,119.763651181744,119.805206708025,119.489252325131,122.174143194516,129.82683982684,129.411276741868,121.492623662135,126.585705237165,138.248847926267,142.843145226866,145.359590482731,146.910751258728,150.193798449612,146.699266503667,145.593038373443,150.537996183993,151.017150255146,151.166380057601,147.558956619829,146.627565982405,146.942017474186,148.011844331641,149.392712550607,149.457472873644,148.179508890771,148.179508890771,147.400234092426,148.377199465622,147.390083596796
"Spring Valley","Las Vegas","NV","Las Vegas-Henderson-Paradise","Clark County",6,119.83137829912,118.442401297999,113.304277403864,111.627906976744,110.996386164171,109.349371241115,107.581711065574,104.812129202373,107.372706448028,105.223123732252,104.278150249753,99.7753023168058,99.8650057838421,99.52326110307,97.7630910015252,95.6388676358072,94.4517785194314,95.2315863248765,94.1619585687382,92.7246376811594,93.4256167222156,91.3601531125695,89.508325272521,90.1280699532182,89.9691358024691,90.4853620955316,94.7477454940949,96.7331353415359,96.0002190680282,99.0853658536585,99.4171126150048,104.020241776778,105.551211884285,105.473280360747,107.845705776727,107.019589552239,108.760330578512,109.776055124892,112.19979253473,112.734174659017,117.090184354758,120.585461952045,124.067358777788,124.745417515275,125.558035714286,127.828705681333,127.179200794242,127.058823529412,128.38466306344,127.431539187913,130.434782608696,132.786093674553,132.781124497992,132.869995911693,131.888228331696,132.882882882883,134.156729131175,134.312792314515,134.342940889106,135.201410264271,135.411343893715,135.764944275583,134.168760045814,135.115864656112,135.564217427251,135.524815724816,136.79396572622,136.628841607565,136.129172516254,135.087095627444,135.48381318195,135.087095627444,136.055819991346,137.865313467008,137.305699481865,138.523431115535,139.215931900148,139.833830556457,140.919308357349,141.21041728322,140.895953757225,141.729174891433,142.302943094502,141.600388697937,145.120724346076,144.924243284953,146.045525959044,147.199679928624,148.501992031873,152.386682711592,152.654673102238,153.526985519965,152.643810243616,152.667075413857,154.729305379117,156.188231893626,156.836006580848,158.586385813959,162.714583479707,164.707129575122,170.331452224118,171.398891966759,171.049429657795,171.862509992006,172.326406487582,171.853510195402,172.802078822001,172.599514563107,170.094562647754,176.198497019953,175.209197198371,175.980392156863,172.991071428571,172.448104102731,176.426047450782,176.829081187742,176.221804511278
"Paradise Valley","Phoenix","AZ","Phoenix-Mesa-Scottsdale","Maricopa County",7,155.68570034163,153.579676674365,150.805270863836,149.547056558925,147.253536504693,147.146507666099,145.035885167464,142.342820997382,142.201834862385,139.055636896047,139.055636896047,136.660157558702,137.37843551797,138.259508567125,137.337057728119,136.349224649795,134.98,133.695652173913,134.706814580032,135.174441786284,135.016465422613,133.846153846154,134.998754377189,135.522959183673,135.947416137806,139.53488372093,141.59613277651,141.927802811157,143.342969321788,146.35124298316,145.588034116223,147.499067465937,149.016100178891,149.13155680088,148.280309544282,149.794282241174,153.605015673981,156.535123468662,160.16934483684,162.401116798511,165.690828144515,167.366071428571,168.674698795181,168.636313126347,171.676733584363,173.360986159224,175.125125125125,175.416926704112,177.278401997503,177.803203661327,178.848560819126,179.419729025729,177.750871410981,175.796074615557,174.37015503876,172.906549243103,174.242185881375,172.814838541812,173.980263157895,175.464464759658,177.426250534416,180.392943063352,180.010438413361,180.209461899603,180.820804550996,180.962303899392,180.640165203924,180.797912005966,180.779954770763,180.915767072775,182.755247906371,183.09481216458,185.946814569953,185.853767720237,186.615186615187,186.40803813829,186.996173729195,187.680461982676,187.878422652831,189.239777236609,190.04525509454,192.386522397347,191.665532486479,193.514646685529,194.858611825193,197.135426962827,198.11858608894,197.815908746372,196.993862132634,194.946161245394,196.896404109589,196.843082636955,198.635494727892,200.7136485281,200.390731085045,202.24760030351,205.021156263092,206.919298946064,205.762300014741,204.89801852563,206.37806137393,209.137131332879,211.330320229837,211.042062476708,210.622710622711,211.393034825871,211.91920492959,212.048192771084,214.472537053182,219.169341160384,220.937277263008,222.573689579467,222.0384446623,221.800277769325,222.327374148704,224.7590486038,225.755097489755
"Washington Heights","New York","NY","New York-Newark-Jersey City","New York County",8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,694.775438477915,702.856394007329,723.855231143552,746.25,727.081138040042,763.253968253968,765.555555555556,798.703868216993,784.393846780766,744.655797101449,742.000293029559,738.271604938272,700,683.797417271993,679.611953612846,692.125984251968,691.301087364079
"Deer Valley","Phoenix","AZ","Phoenix-Mesa-Scottsdale","Maricopa County",9,119.009777302793,119.009777302793,118.293751439315,118.321488174052,115.068949120304,116.011037437873,112.523620526636,109.098591470302,109.928429773285,106.468461229409,104.878048780488,103.550295857988,105.338267081269,105.240732850447,104.85019572632,102.041510717931,100.386661936857,98.0613165013526,97.8673692717578,97.8407557354926,99.0439125331865,99.7379583330874,100.146777603971,100.251432208784,101.288883846831,103.098073957125,104.819199393982,106.477120202824,110.936799641416,113.936982813495,116.201716738197,115.342664092664,115.746815901196,117.647058823529,120.572925344386,122.195172344672,122.164013328397,121.117591361905,121.499548328817,125.733761836128,127.009196233871,127.899189963482,132.202602230483,129.87012987013,131.098572850979,131.25,131.339872637634,132.192846034215,132.192846034215,133.044387512494,133.786892766679,135.066442964333,134.558824664904,136.103151862464,138.193964524303,138.193964524303,138.556541875724,137.020428500249,136.663896967179,138.576724490114,137.637028014616,137.308393781647,137.352941176471,138.157894736842,137.596369115959,137.876194274878,138.981900258097,138.154669043905,140.833122248933,140.412245264729,140.59955588453,141.698699289505,141.167493323159,141.50171355641,140.227270626514,140.200678583251,140.87656529517,143.490494248239,143.591293833132,143.041132587692,140.967796536474,143.032786885246,146.227660724274,146.182302884464,145.667889638581,148.359099511232,148.716718637563,145.58693733451,144.429745996827,144.513160257757,147.058823529412,148.897477624085,150.305307656177,151.200519143413,150.923526636116,153.192655522061,154.215555069213,154.507417021407,154.304031331355,155.165456012914,157.699512622501,156.004070556309,156.05081576596,157.605520768994,159.761583445794,160.466681417561,161.64204011864,159.623072529983,162.519201228879,164.905768132496,162.325312493125,160.935287929007,159.62135908682,161.080542932234,159.768030542758,161.800643884803,167.190987608342
"North Mountain","Phoenix","AZ","Phoenix-Mesa-Scottsdale","Maricopa County",10,161.597755906637,160.027593564828,154.527968392597,153.715019413718,149.634065202927,147.625160462131,148.01297648013,143.176074136479,139.419404125286,139.360639360639,139.432282270571,138.314176245211,140.740740740741,137.15644820296,135.802469135802,131.906439253492,131.578947368421,129.403040415276,129.403040415276,128.546648782027,129.116245598007,126.56232138094,124.94614390349,127.13823393435,128.244447465749,128.435653737478,127.662082514735,127.400158224543,135.641316685585,137.534498620055,139.474537787869,136.944790369448,137.18085106383,142.102615694165,142.590866728798,139.597548335052,148.673376029277,147.420340695464,148.057324840764,146.506537699278,150.095328884652,153.629953235754,154.448588172616,154.493696624644,152.184585174276,151.682803135085,153.751537515375,153.402537485582,155.426860444308,157.629003783102,159.713859976813,157.249850209706,154.980079681275,155.748969308291,154.941599281222,154.582867685127,159.712224050459,163.437236731255,163.584415584416,166.57060518732,167.372509782485,169.007873510688,168.515711913322,169.475168588895,169.665809768638,170.374491630786,167.085427135678,168.639053254438,169.559864540092,170.052304058998,171.378091872792,171.745152354571,173.470319634703,171.333054743,173.37627482555,174.384417493569,174.384417493569,175.761593516767,174.595809690092,176.940850277264,174.840085287846,172.991822574172,173.543633104426,172.99635701275,174.136256417372,170.659211300765,177.358490566038,177.410313901345,181.752114164905,184.35475834579,181.860706860707,181.686046511628,185.419300463548,184.896584896585,185.45106484805,185.411572942135,185.959047221061,187.090739008419,187.77179311715,191.453940066593,186.847599164927,183.22650648232,184.906729795469,188.725163725164,190.741599713049,195.541241348439,194.002054175793,192.115298895548,198.015122873346,196.301991349709,194.677630174989,195.895518050598,195.485945585189,192.501545173319,191.654294032023,191.654294032023,198.371829719291
