"RegionName","SizeRank","2010-01","2010-02","2010-03","2010-04","2010-05","2010-06","2010-07","2010-08","2010-09","2010-10","2010-11","2010-12","2011-01","2011-02","2011-03","2011-04","2011-05","2011-06","2011-07","2011-08","2011-09","2011-10","2011-11","2011-12","2012-01","2012-02","2012-03","2012-04","2012-05","2012-06","2012-07","2012-08","2012-09","2012-10","2012-11","2012-12","2013-01","2013-02","2013-03","2013-04","2013-05","2013-06","2013-07","2013-08","2013-09","2013-10","2013-11","2013-12","2014-01","2014-02","2014-03","2014-04","2014-05","2014-06","2014-07","2014-08","2014-09","2014-10","2014-11","2014-12","2015-01","2015-02","2015-03","2015-04","2015-05","2015-06","2015-07","2015-08","2015-09","2015-10","2015-11","2015-12","2016-01","2016-02","2016-03","2016-04","2016-05","2016-06","2016-07","2016-08","2016-09","2016-10","2016-11","2016-12","2017-01","2017-02","2017-03","2017-04","2017-05","2017-06","2017-07","2017-08","2017-09","2017-10","2017-11","2017-12","2018-01","2018-02","2018-03","2018-04","2018-05","2018-06","2018-07","2018-08","2018-09","2018-10","2018-11","2018-12","2019-01","2019-02","2019-03","2019-04","2019-05","2019-06","2019-07","2019-08","2019-09"
"California",1,314.874718287186,314.96062992126,317.831152854082,319.493076120097,320.906432748538,321.650399290151,319.514734476309,317.474354439335,308.8,305.136663524976,300.457882177011,293.134598012647,290.005411954387,297.256097560976,294.179211425319,293.016826564789,295.404185473943,294.062153163152,290.704028466133,287.13587487781,284.776344041866,280.386614696841,275.903134596938,271.226618826128,269.62457337884,273.891175125743,274.430639615387,280.748663101604,284.384694932782,288.532110091743,291.055301455301,291.194774613142,293.128795955032,290.300546448087,290.709965000186,283.238904627007,284.76821192053,295.636087945413,303.306958815176,313.893653516295,321.845284217553,320.258121993966,323.257052871161,317.761753403862,317.028532608696,314.08290960209,308.922961604207,305.695272909344,302.248862201107,306.280940594059,314.940791131267,319.81981981982,324.417271685136,322.687807311287,318.696107614011,313.569984142655,311.899620110413,313.36661120355,312.280701754386,301.608715388107,301.508190610903,307.235143812042,312.656467315716,313.389121338912,318.406361735141,321.447721179625,316.35926222935,318.918918918919,319.172932330827,320.175438596491,320.588345831051,318.315080780974,316.186663686928,327.775930851064,333.591032083494,340.333975594091,340.984274518993,343.548387096774,341.422460916235,340.721240197474,342.378001895382,343.546622432413,344.912134451086,337.591240875912,342.599277978339,350,359.114867237015,364.103715790912,362.855682349536,361.619307123394,361.481418769321,360.824742268041,364.601769911504,365.966099807345,364.372469635628,357.766965591808,356.890337292625,366.729088639201,372.52455850513,377.564005226079,376.4927380312,378.435352490116,377.359890444309,374.740663900415,379.259980525803,382.519863791146,383.607784431138,377.222222222222,374.60045720364,387.413706853427,394.154818325434,397.769516728625,396.190185918927,395.150955833883,394.134057023702,391.043496893079,397.841365461847
"Texas",2,115.871446359809,115.789473684211,115.553570533197,115.270304893672,114.842079014478,114.202272727273,114.247619047619,113.602169888935,110.854341736695,110.333584148483,110.065662002153,109.260490236809,108.164932367932,108.449477351916,108.856356356356,110.039615211329,110.318531421855,109.596364608393,109.520211560257,109.237306843267,109.712482468443,109.813971466175,109.894837476099,109.85392793287,109.85795398223,109.731527093596,110.500863557858,111.364838070059,111.512717536814,111.488631175388,111.085347306598,110.887096774194,111.761919920025,111.657834973505,111.717495987159,112.061994183209,112.011439466158,112.508725375791,113.412030538571,114.414961877543,114.963659683625,115.444877224409,116.388050098477,116.658000597256,117.876069959201,118.181674927657,118.905742145179,118.786004567714,119.147432878003,120,120.201737181283,122.439690487028,122.445740200842,122.284735812133,123.147139341465,123.853550295858,124.829716619862,125.652173913043,125.87887502991,127.533333333333,128.100940975192,128.540198760614,129.130797000833,129.846378931968,129.801788735799,130.114327414254,130.15037593985,130.247487904726,130.968892814491,131.814367428805,131.846392552366,132.388535031847,132.857785133354,135.902455476315,136.354269421138,136.878137836604,137.455516014235,137.023052333014,137.208153914194,138.146157466871,138.354767184035,138.641150442478,138.820163608149,139.102200141945,139.346993334834,139.87835376688,140.68299925761,141.329663349566,141.442715700141,141.272556526942,140.934375,140.336879432624,141.028347451322,140.757228545253,140.681176954441,140.731231921806,141.292063512048,142.392717815345,144.111135648619,145.536776212833,146.027990747477,145.951454458927,146.263182026593,146.224489795918,146.999299719888,147.204968944099,147.448641484427,147.573293914757,147.637850961699,148.322966507177,149.009567599164,150.205940385971,150.182778229082,149.961449498843,149.843396373558,150.19321597252,150.852859986108
"New York",3,257.549584910407,249.5,250.938727729557,249.999791666667,264.305847076462,264.0217999593,263.840511693393,259.471365638767,266.844919786096,271.6,273.349736749066,272.20291444021,272.949573969804,264.962593516209,276.041666666667,273.531215497488,263.463569165787,257.984521575985,252.94388224471,248.577524893314,248.751696065129,249.857427711337,250.627407965289,254.5,253.040540540541,262.076980736136,257.367368947105,264.423076923077,263.898421413864,253.496503496503,252.220436318952,248.560095649055,259.03862953863,266.559829059829,258.88231426693,269.017355877555,276.831700358504,278.216442173711,282.173913043478,270.754555442987,260.32237920537,250,243.055555555556,237.691001697793,240.991669706332,245.286721364888,271.011789941126,275.116574819839,287.436372600722,288.975501113586,291.6625,287.313432835821,293.357199681782,305.843543826579,296.544610624033,299.5,301.604461604462,307.333615938957,308.575729338399,327.572575136612,344.397269812943,332.408435072142,325.571845515764,320.054457423218,315.354713313897,310.48864708927,307.361082632766,301.862578647758,309.331462899293,322.133654027542,328.125,338.914027149321,388.235294117647,399.090909090909,365.555555555556,381.625324640907,353.75,346.643518518519,328.884382935466,330.463702326127,340.583941605839,353.494511746666,373.847926267281,377.633363998549,397.347480106101,414.044824660633,407.142857142857,398.553452011133,376.479879046601,361.875,349.724626278521,341.648047722343,354.338070306657,362.768817204301,378.333364785418,397.11417816813,413.557574903729,391.577458510393,358.464390986023,365.986548769184,364.406385494679,350.889469310741,340.857438016529,336.787761453995,350.89605734767,366.666666666667,378.301722893814,393.356643356643,406.421486725236,411.092052601487,407.619608870264,406.25,389.53488372093,377.968806607386,365.103899190933,363.504963712255,374.340815676291
"Florida",4,183.016591608069,180.663692602644,178.339818417639,176.887987835783,177.053824362606,174.632632166791,174.002047082907,172.525001664004,170.731707317073,170.1476957592,169.94633273703,169.113224945472,167.410714285714,170.320987654321,165.034919735056,161.864406779661,160.976918947933,159.833410014569,160.243794658992,160.452322738386,163.014461643327,165.445430003857,164.454976303318,167.910447761194,165.960533952409,165.691114245416,165.586753059755,165.010425558404,162.714083004781,161.114145275806,161.932707355243,162.062173690913,163.400267737617,163.254362582224,164.719507534812,167.785714285714,169.034731619305,168.66766371379,170.850767085077,171.430655717204,167.178791460502,167.384120359275,167.599067599068,165.87997175729,165.767284991568,166.833110600742,171.15551694179,174.042553191489,175.30104720294,175.071499703209,173.828881145954,174.4,171.463970525754,170.306900052597,170.831706364701,170.159574468085,170.648464163823,171.56762295082,173.251295336788,177.208287895311,177.526309191297,178.207739307536,172.34073437901,172.727835320175,176.382056477063,174.912543728136,173.14927328623,175.10959571359,176.371123782127,179.830747531735,182.071428571429,185.618000515214,187.059557218584,194.620901639344,194.863204913456,194.660734149054,192.649649938142,192.160817190816,191.537604934041,190.556492411467,194.431554524362,197.540554683412,200.74481865285,203.225806451613,208.91364902507,209.811122770199,208.25130158118,207.665677546983,205.762711864407,205.375874125874,204.533042053523,204.684946037938,204.634847156896,206.342182890855,208.29766536965,213.251670378619,214.640759150474,214.902807775378,216.152019002375,217.323756836459,215.629257268081,214.039020129391,213.838550247117,213.925114660993,215.324173536433,217.278777454743,221.298573536645,225.333702088786,227.093206951027,228.784403669725,225.395153229783,225.460717749758,223.050820603827,221.304347826087,221.052631578947,222.551928783383,223.611570210705
"Illinois",5,192.689460250226,191.318447497949,190.217391304348,190.453230472517,188.492063492063,188.947582283625,187.370121792503,186.55516243165,182.245716368939,183.143854532935,181.227224786262,179.439633074338,177.707024659652,178.130354694997,176.986624704957,177.453769559033,175.608445271619,173.996723996724,172.246784938316,169.559904053065,168.488230282173,166.751532445216,164.835164835165,164.221011537751,163.805970149254,164.634146341463,163.053163053163,164.438505116959,162.94670846395,164.723032069971,161.927449526999,160.51094890511,159.670969745364,158.812949640288,159.089301787322,158.175158175158,158.952525173236,162.140871177016,165.180196376037,167.378917378917,169.116262324139,170.37037037037,169.930875576037,169.813288506083,170.665866826635,169.481382978723,168.280313508529,167.518248175182,167.546362339515,169.963162368943,173.091876281252,176.057626343471,177.489177489177,178.91156462585,178.282009724473,177.153535573985,177.227272727273,177.050957715938,176.45202020202,175.140114167099,175.030599755202,178.799449740721,181.22555410691,182.941176470588,185.246932997798,185.853865760408,184.401038109548,182.90089323692,182.561400087461,183.051029333984,183.163710380925,181.789144630204,182.410399732331,186.158480900466,187.633054054765,188.611113662141,189.479680972275,189.10508578308,188.003201396973,187.304565353346,188.413541420624,188.818197457742,189.137602457832,188.139390553303,189.43911066195,192.62520638415,194.351049357549,194.724273615135,194.998852684718,195,193.7430786268,191.838897721251,191.715824570403,192.748091603053,192.942120715199,191.837837837838,193.530997304582,196.665708261453,204.285714285714,206.982543640898,206.950246866692,205.458290422245,205.820105820106,205.454545454545,207.003622563395,207.32762777242,208.639201285652,209.051140416284,210.934568135903,214.842767666009,214.238628872775,213.246178680477,209.820982142857,208.333333333333,206.235912847483,203.930576824911,203.958587088916
"Pennsylvania",6,152.050264550265,151.800433839479,152.658371040724,151.163332034126,150.405798328817,149.601063829787,149.360972044889,148.38589431155,147.390862569434,146.879739831828,146.454913553943,145.154086645824,144.544779796811,143.405488983378,144.3445,145.285886911155,145.209725752712,144.509684260466,143.457437602058,142.839695860676,142.579807652043,141.574063787723,140.874505593108,140.750670241287,140.666337611056,140.682630855109,141.154406891291,140.863636363636,140.690006346345,140.457516339869,140.134366271593,139.198271723476,139.106554375687,139.519504900275,139.241293532338,138.89405281522,138.996372430472,140.417054553795,141.936399772856,142.362525458248,143.371574251115,144.141445763539,142.487046632124,141.299559471366,141.472045293701,141.988165680473,142.760321894746,142.603326246943,142.21140472879,139.792554920104,141.965475469412,143.116258741259,143.683812405446,143.69715525602,141.917794819626,141.824724809483,142.407316607119,141.964539222844,142.096712649814,141.7004048583,140.764397905759,141.90124596216,144.934479512037,146.014622952994,146.85593883862,146.365634446888,145.63071297989,144.616279069767,142.504118616145,145.096774193548,145.321820135719,144.741701984345,144.368989854649,147.116673922508,147.487708947886,150.905432595573,150.610147719974,148.266261926532,149.099271751629,148.44549796658,147.823660714286,145.107064237161,147.482638888889,147.485624127277,147.582304526749,148.724986678628,146.947222222222,148.52492370295,152.272727272727,153.309612393945,152.290076335878,150.631795398093,152.129621177544,153.241034206581,152.886852874176,152.489980916031,152.899494595793,153.764447389006,155.710862619808,156.106976664978,157.334384858044,157.92074420208,158.917968823438,158.333333333333,159.567420733309,159.898133444835,160.427807486631,160.410263896572,161.350188273265,162.236842105263,165.217391304348,166.922894065181,168.129134704412,168.411996299342,167.177700348432,167.161961367013,167.578802776171
"Ohio",7,111.923583662714,112.070254110613,112.070254110613,112.581233482408,112.472012001254,112.252311756935,112.046634348146,111.404160475483,110.922990436576,110.42817679558,110.132158590308,109.281437125748,108.571428571429,108.938953488372,108.640105250358,108.922778886363,108.8761383308,108.560635523184,108.148707460402,107.551198266598,107.4016563147,107.100840336134,106.176883481516,105.570030900582,105.97532767926,105.879856716716,106.327645589521,106.580882352941,106.976744186047,106.822067988794,106.768005790807,106.385494678754,106.385265881783,106.402199528672,106.292517006803,106.081461687995,106.055900621118,107.144133108763,107.883622712342,108.703220191471,109.606607282978,109.805674559112,110.184188964262,110.028050490884,110.128755364807,107.987061458074,110.505529225908,110.596888646626,110.7421875,112.324270426095,112.901864130031,112.818287037037,113.642918950101,114.332341104158,114.080834419817,113.89183457052,113.642105082941,113.780487804878,113.876423886779,113.801115241636,114.204139900071,114.923908829882,115.544464413897,116.459627329193,117.1875,118.002195389682,117.847411444142,117.552299876001,117.561740493924,117.812673658487,117.460036309347,117.393482050562,117.950875936164,119.426751592357,120.376365843788,121.390552228876,122.401667100808,122.951997023655,122.950819672131,123.031105228326,123.233318394097,123.292220113852,123.360958572054,123.950521912801,124.483082706767,125.502152080344,125.753101004135,126.802288335038,127.895073576456,127.973709687659,128.413084617464,127.903543307087,128.210016442252,128.147270418959,128.663686040735,129.270195532005,130.17145659049,131.636803602227,132.242201662466,133.42566943675,134.549779326498,135.285053929122,134.809736254848,134.885962094443,135.63122923588,135.518120385454,135.777325186694,136.586586586587,137.358757062147,138.268442622951,139.140271493213,139.532449406839,139.771283354511,139.509441707718,139.158686730506,139.144321435803,139.015390686661
"Michigan",8,115.642857142857,114.501783590963,113.732993197279,113.813835330902,113.713509843856,112.866935483871,112.387612387612,111.786786786787,111.263916175508,111.270871985158,111.041601501408,109.685430463576,109.21875,109.72385620915,109.353836652944,108.998977505112,109.895833333333,110.275967844299,110.335195530726,110.054285519146,109.832272990168,109.533802968481,109.178321678322,109.557376913666,109.410430839002,109.81111150754,110.614754098361,110.859519408503,111.665975597121,113.029182079737,113.721681226272,113.631465517241,114.244897959184,114.026193493874,114.460630420528,115.043193327376,115.778807180081,116.735135135135,118.175101588474,119.710876307541,121.904315196998,123.268805350588,124.143835616438,125.667999947575,126.57269642391,126.262962067483,126.380766731644,126.676602086438,127.255627680446,127.916666666667,128.602584494092,130.759320975641,132.781267846945,132.937060656422,133.041825095057,132.895625470536,133.546667212801,133.288784698966,133.322489698547,133.680010448201,133.944631463683,135.151157513424,136.224798006494,138.249124202942,139.043381535039,139.650793650794,139.072642967542,139.113878219962,139.165009940358,139.593908629442,139.885496183206,140.492957746479,141.089108910891,141.869770825755,142.826420890937,143.904291682491,145.57000430134,145.751633986928,145.324347093513,145.500848896435,144.851061186849,145.183565711089,145.336637340963,144.813266185304,145.476285372658,146.578212290503,148.412371134021,150.276898734177,151.111407249467,152.743873712527,152.125603864734,152.059100286575,152.735817388385,152.381563253053,152.691680261011,152.931998227489,152.59900990099,155.109375,156.38852672751,155.301584118164,158.476025926045,159.29614873838,159.28533313005,158.83813306852,158.89175257732,159.326888650197,159.933333333333,160.051876716509,161.144490853966,161.965707107831,163.397627377369,164.749589032299,165.129226827152,164.981498149815,165.047169811321,164.590159693234,163.780789420553
"Georgia",9,125.558995528036,125.058639562158,125.553656902968,126.198243683106,125,123.780494468118,124.108461726584,123.151190206119,122.196284071756,121.27521295033,120.151645310148,119.099654733219,117.424242424242,117.564534231201,116.329185663204,115.786419036564,115.410622993092,114.530130505207,113.728336430587,113.297940074906,112.873980054397,111.65245635404,111.200185124935,110.677083333333,110.044028618602,111.308993766696,110.499468650372,110.212765957447,110.793808165042,110.341222240777,110.904872389791,110.36781541477,111.113169486641,111.912272795554,112.725515463918,112.5,112.339616055846,112.762005837092,113.77245508982,114.854423352087,116.243364685659,116.72754980507,116.985815602837,116.286353467562,116.321043910522,116.240310077519,116.686114352392,116.394969725198,116.547889761493,117.370892018779,117.917597390842,120.123839009288,120.346362013168,120.8841814414,120.481927710843,120.481927710843,121.521837010356,121.437108865713,120.49823991335,121.853741496599,122.169811320755,123.66790582404,124.209575429088,125.046659201194,125,125.428396572827,125.075926969952,124.670466690417,124.527491408935,124.76,125.170377101318,124.812870477236,125.428690924299,127.714285714286,129.198742138365,131.203007518797,132.30146068513,131.578947368421,132.300216170654,132.848691423107,133.138777468677,134.541617661472,134.357460862883,134.052924791086,134.356113435611,136.113971850326,138.197934517842,139.294548036513,139.751552795031,139.561412149416,139.431227782335,140.054495912807,141.110703812317,142.174923934748,141.788669637174,142.116553450125,143.086172344689,143.924415546737,146.818247258069,148.667203541278,149.004975124378,149.460747429145,150.431203515889,150.232558139535,150.267868809617,151.553016779722,152.616279069767,153.504335260116,154.680183946488,154.272692745917,154.823989569752,157.214697069657,156.25,156.241349355094,155.838847999084,155.790653034197,156.59255679072
"North Carolina",10,137.191667530501,136.169279657039,135.95971563981,135.547919053074,133.900441083806,133.423079910204,133.670735337898,131.242528924475,130.450987700335,131.054965591363,131.083050024284,130,128.158109209454,128.017074117191,128.295376121463,128.139550405756,127.916879904469,127.467105263158,127.261599243601,127.397670904372,127.69157316782,126.953125,126.171593366979,126.187961985216,125.473518488381,124.623578282115,124.885421853677,125.338896155933,125.012506253127,124.941065535125,124.517906336088,124.500996015936,124.720254677214,124.831309041835,124.400956937799,124.034037820929,123.610172688819,123.724295506474,124.877783813145,126.108784619536,125.882352941176,127.089599661089,126.67488323945,126.659266808794,126.681614349776,126.586487643307,125.946657886072,123.46909446791,123.836336336336,124.616983057304,124.77061439986,126.164596273292,127.054504377295,126.988525308683,126.15317667537,127.516960651289,128.026203360866,129.022988505747,128.215317919075,127.866666666667,127.173364319411,127.706584180292,129.691175979538,131.63334206066,132.982261640798,132.920511953139,133.224943602965,133.640552995392,133.020908435472,134.235395189003,133.799113995637,134.043746494672,134.153446547063,137.724550898204,138.26487845767,139.343525179856,139.554437023755,138.707502246258,138.634978671542,138.888888888889,139.235972940708,140.384210534276,140.043763676149,139.961013645224,140.249474127803,140.845070422535,140.981136181776,142.857142857143,143.526866209881,142.578913661724,142.624020887728,142.599196185609,142.996108949416,144.418910045962,144.468055133872,144.427261289131,144.927536231884,145.534359900895,147.111231101512,148.298470184202,148.430603236881,149.176450640197,149.586973788721,149.504033844943,150.410885080048,150.635208711434,151.438109912686,151.755330123796,151.143790849673,152.306160422106,153.062046736503,154.459346311414,154.266053182308,154.395057403085,154.708866313166,155.676977687627,156.652954976819
