"RegionName","State","Metro","CountyName","SizeRank","2010-01","2010-02","2010-03","2010-04","2010-05","2010-06","2010-07","2010-08","2010-09","2010-10","2010-11","2010-12","2011-01","2011-02","2011-03","2011-04","2011-05","2011-06","2011-07","2011-08","2011-09","2011-10","2011-11","2011-12","2012-01","2012-02","2012-03","2012-04","2012-05","2012-06","2012-07","2012-08","2012-09","2012-10","2012-11","2012-12","2013-01","2013-02","2013-03","2013-04","2013-05","2013-06","2013-07","2013-08","2013-09","2013-10","2013-11","2013-12","2014-01","2014-02","2014-03","2014-04","2014-05","2014-06","2014-07","2014-08","2014-09","2014-10","2014-11","2014-12","2015-01","2015-02","2015-03","2015-04","2015-05","2015-06","2015-07","2015-08","2015-09","2015-10","2015-11","2015-12","2016-01","2016-02","2016-03","2016-04","2016-05","2016-06","2016-07","2016-08","2016-09","2016-10","2016-11","2016-12","2017-01","2017-02","2017-03","2017-04","2017-05","2017-06","2017-07","2017-08","2017-09","2017-10","2017-11","2017-12","2018-01","2018-02","2018-03","2018-04","2018-05","2018-06","2018-07","2018-08","2018-09","2018-10","2018-11","2018-12","2019-01","2019-02","2019-03","2019-04","2019-05","2019-06","2019-07","2019-08","2019-09"
"New York","NY","New York-Newark-Jersey City","Queens County",1,749000,739888,725000,725000,740000,740000,739000,735000,739000,749000,749000,755000,750000,740000,759000,775000,775000,772000,769999,760000,760000,775000,780000,785000,795000,798000,795000,825000,838000,849000,839000,825000,849000,849000,849000,859000,875000,850000,890000,880000,880000,895000,875000,875000,881250,895000,949000,945000,949000,899000,918000,949000,999000,1095000,1055000,1050000,1079000,1175000,1199000,1200000,1259000,1250000,1250000,1250000,1249000,1199000,1199000,1190000,1225000,1250000,1250000,1250000,1355000,1350000,1292875,1345000,1275000,1250000,1223750,1199000,1199000,1200000,1225000,1250000,1250000,1283500,1284000,1295000,1298000,1295000,1288000,1265000,1290000,1299000,1300000,1300000,1299000,1299000,1275000,1265000,1275000,1250000,1225000,1198888,1200000,1200000,1225000,1239000,1250000,1250000,1249000,1250000,1250000,1225000,1198000,1190000,1195000
"Los Angeles","CA","Los Angeles-Long Beach-Anaheim","Los Angeles County",2,975000,970000,995000,990000,980000,979000,950000,950000,949000,939000,945000,929990,9e+05,935000,925000,899000,919000,899000,899000,899000,899000,899000,899000,899000,899000,899000,899000,9e+05,925000,950000,959000,959000,959000,989000,980700,950000,990000,995450,999000,1e+06,1096000,1099475,1119000,1100000,1125000,1149000,1150000,1179000,1187500,1195000,1175000,1195000,1198483,1196000,1185000,1150000,1181500,1189000,1199000,1199000,1199000,1249000,1249000,1276500,1295000,1295000,1288000,1298888,1299000,1295000,1299999,1325000,1360000,1375000,1350000,1349000,1395000,1395000,1395000,1395000,1395000,1400000,1449900,1475000,1495000,1485000,1495000,1490000,1495000,1499000,1499000,1499000,1500000,1549000,1589000,1599000,1649000,1599999,1600000,1599000,1599000,1599000,1599000,1599000,1599000,1599000,1599000,1600000,1650000,1650000,1615000,1599000,1599000,1599000,1595000,1589500,1600000
"Houston","TX","Houston-The Woodlands-Sugar Land","Harris County",3,369700,364500,357000,355000,359900,359900,351275,350000,349900,349000,348990,345000,339000,342000,345000,348000,349000,349000,349000,349556,347700,349000,345000,349000,345900,349900,350000,349900,349500,349844.5,349000,349000,349900,350000,354950,359000,365000,368500,373990,379250,379900,385000,385000,389000,397000,399000,399900,399900,419000,425000,418916.5,421900,425000,429900,439000,439700,449000,449000,449900,450000,458000,459900,459000,464224,459900,459000,450000,449950,449950,450000,450000,464900,459900,465000,462250,466750,464999,459900,457990,455000,459000,455000,456000,450000,450000,455000,459000,459950,459900,450000,450000,450000,450000,450000,450000,449900,449900,449900,450000,455722.5,451990,450000,450000,449500,450450,455000,455500,450000,450000,459000,464900,465313,469900,468000,463999.5,464900,465000
"Chicago","IL","Chicago-Naperville-Elgin","Cook County",4,428600,425000,420000,419000,419000,421950,419900,424000,409000,414900,414250,407000,4e+05,399900,399000,399000,399000,399000,399000,399000,399000,399000,399000,399000,399254,399900,399900,4e+05,399900,399900,399000,399000,399525,399999,4e+05,399900,4e+05,409650,409000,419000,424000,420905,425000,424900,439900,439900,435000,440000,449000,439900,439000,439000,429999,433500,435000,434000,439900,439900,444900,445400,449900,449000,445000,440000,448250,449900,449900,449900,459000,459000,465450,475000,475000,479000,475000,475000,479000,490900,495000,497000,499900,509999,525000,539900,549000,535000,519900,517000,525000,525000,524900,504900,519000,520000,529000,545000,550000,549900,539000,545000,539000,530000,529000,525000,529000,525000,529900,535000,539900,540000,535000,525000,525000,525000,525000,525000,525000
"San Antonio","TX","San Antonio-New Braunfels","Bexar County",5,279000,279500,280000,280000,279900,282995,285000,279000,270000,271990,271900,272245,269000,270000,269000,269947.5,270000,269000,274000,275000,273990,274900,274498,275000,275000,274990,279250,279445,279990,287000,284901.5,284900,288581,289000,289900,289900,289900,291990,295000,295000,294445,289997.5,290450,293950,298000,299000,299900,303000,3e+05,300878,297389,300240.5,301100,299900,299498,299750,3e+05,304000,309000,315990,316045,314200,303990,309500,307900,308990,305245,299900,309900,302345,305863,310000,317490,329990,329980,338900,339000,329900,329900,329999,335000,335990,337195,339340,339900,341945,344900,345000,342900,343992,341995,340000,339990,338000,334900,330758,334570,333880,339000,339990,339850,339263.5,339900,342490,340080,341990,339999.5,344499.5,340990,343490,342571,345845,349000,349000,348990,348352,345990
"Philadelphia","PA","Philadelphia-Camden-Wilmington","Philadelphia County",6,425000,429900,429900,420000,424900,425000,419000,409900,404950,409999.5,399900,399000,399900,399900,399900,399900,399900,395000,395000,397500,395000,393500,389900,389900,389900,389900,389900,399000,395000,389000,389900,395000,399000,396000,399000,399900,399900,399900,409000,399500,399900,399000,395900,399000,399000,398740,399900,399900,402950,404900,409350,410000,4e+05,4e+05,399900,399900,409900,407999,408449.5,407900,402500,407949.5,409000,407900,419900,419000,419900,420000,420000,419900,420000,425000,425000,425000,425000,429000,429900,425000,425000,429900,449000,445000,449900,449900,439900,435000,439900,443950,450000,449900,450000,455000,456500,450000,454900,450000,455000,450000,450000,450000,449997,459000,460000,459900,459000,465000,460000,470000,475000,475000,480000,479000,475000,475000,479000,475900,479900
"Phoenix","AZ","Phoenix-Mesa-Scottsdale","Maricopa County",7,350000,350000,350000,349900,349000,343009,340000,335000,335000,329900,330945,329000,329000,329900,329900,329900,325000,322000,324900,319900,319995,320000,324900,324900,329900,339000,342700,341150,349000,350000,350000,350000,359000,363900,368245,374994.5,374900,375000,379000,389000,395000,389900,399000,397900,399000,399000,399000,399900,399900,4e+05,409000,404750,399900,399900,399900,4e+05,409000,409900,415000,419000,419000,419900,424900,425000,424900,424900,424995,425000,425000,429000,430000,434900,439000,439000,439000,439900,445000,445000,449900,449000,449500,449900,450000,450000,456974,459900,469000,459975,459000,459000,450000,450000,457000,459900,459280,464781,469000,473660,479000,479000,479999,476995,475000,485000,489000,489000,494950,495000,499900,509900,504990,510000,5e+05,5e+05,499990,499900,514556
"Las Vegas","NV","Las Vegas-Henderson-Paradise","Clark County",8,325000,320000,314900,305000,299999,299900,299900,293100,289000,285000,279900,275000,275000,275000,274900,269900,260000,259990,259750,255000,259900,259552,259000,255000,254900,259000,260000,267400,269900,270000,269900,274900,275000,280000,284900,289000,289000,290400,295000,299315,299900,299900,304995,309000,315000,324900,325000,330000,329900,337999.5,339900,348000,349999,350000,354900,359000,358000,359000,359900,364958,364500,364000,369999,375000,369990,369950,369900,370000,374990,369950,374999,374900,375000,380000,380000,389000,389000,389000,388000,389000,390000,390922.5,399000,399900,4e+05,405990,404990,410000,415000,422990,425000,430000,430000,438800,445000,449000,449900,456990,455000,459000,459900,459900,468000,469000,469894,469990,479000,479900,479900,480000,479900,479900,479900,479000,474998,474388.5,473500
"San Diego","CA","San Diego-Carlsbad","San Diego County",9,849900,825000,799900,799000,809500,820000,799000,799000,799000,795000,792075,775000,765000,758437.5,750000,765000,756500,749900,745500,739900,743990,730000,739850,749000,749995,754950,769000,779875,798500,798950,799000,799000,799000,799000,799000,847000,849000,849900,849000,855000,885000,895000,895000,899000,924876,899876,917000,932438,939500,939500,925000,935000,925900,920000,924000,944000,949000,929000,949894,950000,955000,995000,995000,999000,995000,970000,979000,985000,995000,1038259,999999,1049000,1073250,1096500,1100000,1070000,1055000,1069500,1075000,1075000,1075000,1074900,1090000,1150000,1147000,1150000,1138025,1149000,1125000,1175000,1195000,1195000,1199000,1199250,1199000,1202990,1199000,1224950,1249000,1229000,1263950,1249450,1198150,1208900,1249000,1249000,1238950,1249000,1250000,1250000,1250000,1250000,1250000,1269950,1295000,1289000,1295000
"Dallas","TX","Dallas-Fort Worth-Arlington","Dallas County",10,399000,395000,389941,388914,385000,379900,379000,375000,375000,369999,370750,369500,375000,375000,375000,378995,378995,379000,378990,375000,369900,374900,374000,375000,379000,380000,389000,395000,395000,395000,395000,395000,399000,399000,399000,399900,399900,4e+05,415000,414000,419000,419000,419000,419945,425000,425000,425000,429000,425000,425000,425000,435000,438000,449000,450000,450000,450000,449900,449900,459900,465000,474900,475000,479900,475000,480000,480000,479700,480000,489700,493000,489900,499000,5e+05,515000,520000,525000,524900,524000,515000,525000,530000,529900,535000,530000,542500,549000,559000,550000,549990,548800,545000,541000,539247.5,535000,548000,549000,549900,549900,550000,559000,549900,549000,549000,549000,549900,543447,542500,549900,550000,569000,567500,569000,560000,550000,549000,550000
"Austin","TX","Austin-Round Rock","Travis County",11,399900,399500,399000,399000,399950,4e+05,399900,399500,399000,398000,398282.5,394600,393500,395000,398500,399970,399999,406237,4e+05,4e+05,409000,409500,4e+05,399900,405350,410000,415000,424900,425000,435000,429900,429000,425000,425000,430000,425000,419900,424072,439000,449000,444900,439000,444700,447725,445000,449900,446552,448217,438450,442990,452242.5,457299,457000,458500,450000,449999,459900,459990,462495,475000,488995,489000,499900,499900,499900,499900,495000,493990,485000,489000,490000,475521,489900,511700,524900,528000,534900,539000,545000,549000,549000,548000,549900,540022,539000,540000,547777,550000,556450,550000,559000,550000,550000,550000,550000,550000,550000,555000,561900,574900,569949.5,569949.5,569000,569000,583000,579925,577867.5,575000,569950,590000,595000,599000,599000,599000,598670.5,597000,594990
"San Jose","CA","San Jose-Sunnyvale-Santa Clara","Santa Clara County",12,1042000,1099000,1089000,1059000,1059000,1059000,1054000,1069000,1088000,1088000,1088000,1069000,1025000,998950,995000,980000,985000,995000,995000,995000,985000,979000,979000,999000,999919,1029000,1018944,1046500,1099000,1050000,1099000,1099000,1135000,1176750,1198000,1199499.5,1238975,1199999.5,1199999,1237000,1250000,1295000,1320000,1299950,1349000,1345000,1375000,1371919,1399500,1388800,1343440,1369000,1388800,1398000,1400000,1398500,1405000,1448000,1474999,1449000,1599444,1559000,1589500,1588500,1524000,1550000,1598000,1659000,1599974.5,1598000,1661500,1688000,1735444,1699000,1650000,1650000,1654444,1674444,1625000,1599894,1649000,1661000,1680000,1738900,1769000,1728500,1798000,1788900,1783394,1765000,1699999,1749900,1799919,1899000,1899250,1899000,1899969,1999000,1999000,2196500,2e+06,2099500,2100000,2050000,1998888,2098000,2149000,2124000,2195000,2099000,1988888,1998000,1986500,1930000,1888444,1898000,1898500
