"RegionName","SizeRank","2010-01","2010-02","2010-03","2010-04","2010-05","2010-06","2010-07","2010-08","2010-09","2010-10","2010-11","2010-12","2011-01","2011-02","2011-03","2011-04","2011-05","2011-06","2011-07","2011-08","2011-09","2011-10","2011-11","2011-12","2012-01","2012-02","2012-03","2012-04","2012-05","2012-06","2012-07","2012-08","2012-09","2012-10","2012-11","2012-12","2013-01","2013-02","2013-03","2013-04","2013-05","2013-06","2013-07","2013-08","2013-09","2013-10","2013-11","2013-12","2014-01","2014-02","2014-03","2014-04","2014-05","2014-06","2014-07","2014-08","2014-09","2014-10","2014-11","2014-12","2015-01","2015-02","2015-03","2015-04","2015-05","2015-06","2015-07","2015-08","2015-09","2015-10","2015-11","2015-12","2016-01","2016-02","2016-03","2016-04","2016-05","2016-06","2016-07","2016-08","2016-09","2016-10","2016-11","2016-12","2017-01","2017-02","2017-03","2017-04","2017-05","2017-06","2017-07","2017-08","2017-09","2017-10","2017-11","2017-12","2018-01","2018-02","2018-03","2018-04","2018-05","2018-06","2018-07","2018-08","2018-09","2018-10","2018-11","2018-12","2019-01","2019-02","2019-03","2019-04","2019-05","2019-06","2019-07","2019-08","2019-09"
"United States",0,385000,379900,379900,378990,379000,375000,375000,374900,369900,369000,365000,359900,355000,355000,350900,350000,350000,350000,350000,349900,349999,349900,349900,349900,349900,349900,349900,349900,350000,349900,349900,349900,350000,350000,350000,350000,350000,350000,359000,359900,359900,359900,359900,359900,364900,364500,369000,367950,369000,373000,374900,375000,379000,379900,379500,379000,379900,380000,384900,385000,385000,386900,389000,391000,398500,399000,399000,398900,399000,399900,399900,399900,399900,409900,413900,419000,419900,419900,419064.5,419000,424900,424900,425000,425000,425000,429000,429800,430000,434900,434900,429999,429850,430000,434900,435000,434999,435000,440000,447000,449900,449900,449900,449900,449000,450000,454900,459000,459887.5,459900,464900,465000,469900,469900,469000,465000,465000,469000
"New York, NY",1,735000,729000,725000,724900,725000,725000,725000,725000,725000,728000,730000,729000,725000,715000,724900,723900,715000,718888,719000,718950,709000,719000,725000,725000,729000,729000,729000,745000,749000,745000,745000,739000,749000,750000,750000,750000,759000,759000,759900,759000,760000,759900,759000,769000,777000,789000,799000,799900,825000,799000,799900,799900,824900,835000,825000,830000,848000,879000,884375,899000,899900,899000,890000,875000,875000,869000,865000,869000,889000,899000,899900,915000,965000,968000,925000,940000,915000,905000,906425,899999,925000,949000,950000,975000,980000,989900,975000,988900,979000,979000,976750,975000,995000,998000,999000,1025000,1024700,1050000,999825,999000,995000,990000,988000,979000,990000,995000,998000,999000,1025000,1039000,999000,999999,999000,995000,995000,995000,995000
"Los Angeles-Long Beach-Anaheim, CA",2,949000,934975,924900,899500,899000,899000,899000,898000,890000,884950,885000,879000,869000,869925,865000,849000,849900,849000,849000,849000,839000,839000,847750,849000,848800,849000,849000,850000,859000,875000,879000,879800,895000,899000,899999,906500,938400,945000,954000,979000,995000,995000,999000,998000,999000,999900,1012500,1050000,1050000,1058500,1059000,1079000,1075000,1055000,1050000,1050000,1088000,1098000,1099000,1100000,1100000,1149000,1149000,1185000,1190000,1188000,1189900,1195000,1199000,1199000,1200000,1225000,1249500,1265000,1249900,1248000,1250000,1250000,1250000,1269000,1278800,1298943.5,1299900,1329000,1349900,1349000,1349000,1349000,1349000,1379000,1388000,1385000,1395000,1399000,1401900,1450000,1485000,1478000,1490000,1479000,1450000,1450000,1457495,1480000,1495000,1498000,1499000,1499999,1500000,1499000,1498694,1495000,1490000,1475000,1469227,1469000,1490250
"Chicago, IL",3,425000,425000,424900,424900,418900,419000,418500,409900,399900,399900,399900,399000,399000,394500,389000,389900,389800,385000,385000,384900,382700,379000,375000,375000,379000,375000,375000,379000,379000,379000,375000,375000,375000,379499,379900,379499,379900,385000,385000,389900,395000,398000,399000,395000,399990,399900,399999,4e+05,405000,409900,409000,409000,409000,414500,409900,409500,418585,419000,419000,419000,419500,424900,424900,424000,425000,429000,429000,429900,431997.5,434900,437900,440000,440000,449000,448000,445000,445900,449000,449900,449900,450000,450000,459900,468650,469000,470000,465000,464900,468000,464900,460000,455000,459000,460000,465000,469000,474900,474900,474900,479000,475000,475000,475000,475000,475000,474999,475000,475000,479000,480000,475000,475000,474900,472000,469000,465000,465000
"Dallas-Fort Worth, TX",4,344900,340000,339900,338990,339000,335000,334900,329900,325000,324990,324900,320900,319000,319000,319000,324900,325000,324900,322025,322990,319000,319000,319900,319900,319900,319900,325000,335000,336590,338088.5,332990,329900,332185,335000,339000,343990,340925,339900,344467.5,347730,349000,345000,347269,349000,349999,350000,350000,357877,359900,360990,359900,364000,363990,360000,369900,372100,374900,379900,379999,392990,395000,395900,399990,399900,399000,397327,395000,395525,398000,399900,4e+05,400990,410000,410000,415000,418500,416900,417000,418222,419000,420000,421156.5,425000,427395,429000,429900,429900,435000,435000,435000,435000,432000,435000,435900,434110,435000,444980,442990,449900,449900,451900,450000,449900,445000,447945,449900,449900,449900,449900,449900,454500,454900,451990,449900,449000,447990,447485
"Philadelphia, PA",5,414900,415000,411000,409900,417000,419000,409900,405990,4e+05,404000,399900,399900,399900,399000,399000,399000,399000,392995,389900,389900,389900,389900,389900,389900,389900,389900,389900,389900,394000,394000,389900,389570,389900,394000,395000,397000,395000,395900,399000,395000,395000,395000,393990,395000,398650.5,399000,399900,399900,399900,399900,399990,399900,4e+05,404999,399990,4e+05,409900,405875,409900,414990,404900,404990,409900,409900,419900,419900,420000,425000,420000,425000,425000,425000,422900,425000,425000,429000,434900,429900,430000,429995,435400,439000,439995,449000,445000,444900,443000,449900,450000,450000,455000,460000,459900,459000,459000,459500,459000,459900,459999,459900,454900,457536,459900,459900,459900,459900,463867.5,464900,464900,465000,469000,469900,469900,469900,471234,469900,470000
"Houston, TX",6,337815,334900,329900,329900,329999.5,329900,329000,325000,319500,319000,315990,314990,308970,309750,310000,315000,315950,313990,311681.5,310990,309000,309500,308430,309900,309000,308097,310000,310000,310000,309999,310000,310000,315000,315800.5,316926,325000,325173,326785,329990,334900,335000,339000,339500,340000,349000,349880,352000,355942,359900,361990,359000,369000,369999,372995,374999,375000,384098,385244.5,385994.5,394900,395900,396000,399000,399990,399900,399250,399900,399900,399900,399999,399990,405000,402990,402500,4e+05,4e+05,4e+05,399990,399900,399990,399900,399900,399900,399900,4e+05,4e+05,401990,403900,402372.5,399998,399900,399000,399665.5,399000,399900,399990,399950,399990,399999.5,405950,405950,404990,403990,4e+05,408000,405990,405992.5,404990,4e+05,407990,409500,410000,415000,414000,413995,414900,415000
"Washington, DC",7,650000,649900,645000,639900,641990,644000,640000,634900,628745,630000,629950,629000,625000,625000,625000,629000,634450,629000,625000,625000,629913,626995,625000,619900,639900,649000,649000,649000,650000,650000,649900,649900,650000,675000,674900,670000,669994.5,669000,675000,675000,680000,685000,680000,689575,691900,699000,699000,699000,696833,697900,699000,699000,699000,699000,698000,685000,694500,695000,693995,685000,684900,689497.5,695000,699000,699900,699999,699900,699900,699999,709000,709990,705000,704900,715000,719444,722500,724900,724900,720999.5,724500,725000,729900,739970,741495,749900,749900,749000,749000,749999.5,749900,749900,749000,749900,755995,752034.5,759000,759000,759900,750000,759900,758205,754800,759945,755000,769000,764999,774900,794994.5,789990,789000,789990,790000,794800,791750,786250,786250,799000
"Miami-Fort Lauderdale, FL",8,450000,450000,449000,439000,439100,435000,430000,429999,425000,425000,425000,418000,415000,420000,405000,405945,410000,410000,405000,405000,409000,415000,415000,419900,424900,425000,425000,429900,440000,435000,435000,440000,450000,435000,439000,439900,449999,449900,449999,450000,449900,450000,469000,450000,459000,469000,467000,477900,480000,487000,479000,484999,489000,485989,485000,489000,489900,498800,499000,499995,503900,508000,509500,525000,519900,520000,525000,529700,529000,530000,549500,550000,565000,569800,569000,574900,572250,579900,575000,570000,579900,585000,595000,599000,599000,619000,609000,605000,610000,615000,6e+05,6e+05,619000,615000,629900,635000,635000,639777,640000,645000,639000,640000,640000,639000,649500,649000,650000,659000,665000,665000,669000,665000,650000,650000,650000,650000,650000
"Atlanta, GA",9,354900,349900,349900,349900,349900,345000,345900,349000,339900,339000,339000,335000,329900,329900,325000,325000,325000,323900,320000,319900,319000,309000,3e+05,3e+05,3e+05,299999,3e+05,310000,318500,319900,318299,312900,314900,317300,320000,320995,320000,324900,325000,329000,339000,339900,339900,339775,339500,340000,342900,345000,349000,349900,350000,359900,359900,359900,359000,360000,369000,368900,364900,369000,369900,375000,375000,375000,375333,379510,379900,379390,375900,379900,380000,379900,385000,394900,395000,399990,399990,399500,399900,399999,403151.5,410000,417095,415472,419900,422500,425000,429000,429000,426493,425000,425000,426150,430000,429000,430000,434900,435000,444320,447900,445900,446990,449000,449809.5,449500,449900,450000,453479,455000,454900,454900,457900,453325,455000,450000,449900,449900
