"RegionName","City","State","Metro","CountyName","SizeRank","2010-01","2010-02","2010-03","2010-04","2010-05","2010-06","2010-07","2010-08","2010-09","2010-10","2010-11","2010-12","2011-01","2011-02","2011-03","2011-04","2011-05","2011-06","2011-07","2011-08","2011-09","2011-10","2011-11","2011-12","2012-01","2012-02","2012-03","2012-04","2012-05","2012-06","2012-07","2012-08","2012-09","2012-10","2012-11","2012-12","2013-01","2013-02","2013-03","2013-04","2013-05","2013-06","2013-07","2013-08","2013-09","2013-10","2013-11","2013-12","2014-01","2014-02","2014-03","2014-04","2014-05","2014-06","2014-07","2014-08","2014-09","2014-10","2014-11","2014-12","2015-01","2015-02","2015-03","2015-04","2015-05","2015-06","2015-07","2015-08","2015-09","2015-10","2015-11","2015-12","2016-01","2016-02","2016-03","2016-04","2016-05","2016-06","2016-07","2016-08","2016-09","2016-10","2016-11","2016-12","2017-01","2017-02","2017-03","2017-04","2017-05","2017-06","2017-07","2017-08","2017-09","2017-10","2017-11","2017-12","2018-01","2018-02","2018-03","2018-04","2018-05","2018-06","2018-07","2018-08","2018-09","2018-10","2018-11","2018-12","2019-01","2019-02","2019-03","2019-04","2019-05","2019-06","2019-07","2019-08","2019-09"
"Northeast Dallas","Dallas","TX","Dallas-Fort Worth-Arlington","Dallas County",1,329000,325000,319500,320000,324900,319000,315000,309000,309000,305000,306495,305000,302000,306757.5,304000,299900,3e+05,308615,310000,310000,299900,309000,309000,315000,315000,319000,324950,329900,329900,329250,327214,324900,319000,324900,325000,319900,319000,319900,325000,329000,339700,340000,340000,349900,349000,349900,359000,365000,364500,365000,363000,360500,365000,369900,375000,390000,387500,399000,399000,409000,410495,418500,424900,417000,424900,425000,420000,424900,419000,415000,424900,419000,436990,425000,427000,439900,449000,449000,449999,448400,439900,449900,452500,449900,450000,450000,470000,469000,460000,469000,459000,459000,450000,448000,435400,439950,449999,475000,474000,471450,475000,475000,479900,475000,474925,469900,469999,462000,473495,479000,499000,499000,495000,480000,475000,475000,485000
"Paradise","Las Vegas","NV","Las Vegas-Henderson-Paradise","Clark County",2,299900,296000,289450,279250,280000,268000,274900,265000,269900,270000,265000,250000,259900,259900,260000,249000,249950,249900,240000,245000,249990,249900,249970,249000,239900,235900,239900,239990,244950,247500,249000,250000,256900,265000,265000,265000,260000,270000,279450,279900,279990,285888,286400,299000,299900,308500,320000,315000,305000,316373.5,310000,321625,329000,324444,339900,338950,340000,345000,349450,349444,345990,345495,349000,350000,348888,347228,349000,349900,350000,349900,349900,350000,355000,359000,355000,359000,355990,355000,354990,354900,354999.5,354999.5,359000,359000,358000,364990,365000,365000,379000,389000,388944,385000,399500,399900,409500,409000,415000,414000,4e+05,409000,425000,422500,424950,430000,439000,435000,450486.5,444990,450000,449694,449000,449894,450000,459000,454938.5,450000,449888
"Upper West Side","New York","NY","New York-Newark-Jersey City","New York County",3,,,,,,,,,,,,,,,,1330000,1325000,1320000,1395000,1295000,1275000,1340000,1360000,1462500,1395000,1350000,1349999,1299000,1295000,1300000,1295000,1295000,1300000,1300000,1275000,1295000,1290000,1275000,1250000,1250000,1230000,1295000,1250000,1295000,1250000,1295000,1395000,1425000,1500000,1497000,1450000,1495000,1550000,1550000,1625000,1475000,1500000,1650000,1699000,1770000,1680000,1772500,1772500,1775000,1795000,1875000,1895000,1980000,1980000,1899999,2e+06,2100000,2302500,2295000,2150000,2250000,2075000,1999000,2075000,2100000,2085000,2010000,2100000,2095000,1995000,2147000,2150000,2175000,2100000,2150000,2062500,2049000,2100000,2150000,2195000,2195000,2095000,1900000,1825000,1895000,1895000,1925000,1950000,1950000,1899000,1950000,1960000,1999999,2140000,2034500,1995000,1995000,1986500,1950000,1895000,1920000,1975000
"Upper East Side","New York","NY","New York-Newark-Jersey City","New York County",4,1397000,1395000,1350000,1375000,1299000,1272500,1250000,1250000,1225000,1200000,1250000,1250000,1200000,1100000,1200000,1269625,1295000,1395000,1395000,1399000,1416000,1449000,1450000,1450000,1400000,1450000,1407000,1375000,1350000,1399000,1395000,1357500,1400000,1400000,1495000,1500000,1495000,1495000,1500000,1500000,1497000,1599000,1595000,1595000,1650000,1650000,1799000,1795000,1850000,1850000,1900000,1850000,1825000,1795000,1900000,1750000,1895000,1975000,1996500,2050000,2079000,2070000,2100000,2065000,2030000,1970000,1957500,1975000,2095000,2125000,2095000,2100000,2300000,2349000,2150000,2200000,2150000,1999000,1995000,1992500,1980000,1995000,2095000,2100000,2e+06,2170000,1999999,2100000,2095000,2100000,2017500,2085000,2100000,2100000,2150000,2200000,2150000,1925000,1950000,1950000,1925000,1895000,1850000,1795000,1825000,1795000,1775000,1799000,1825000,1850000,1865000,1850000,1895000,1945000,1850000,1890000,1825000
"Sunrise Manor","Las Vegas","NV","Las Vegas-Henderson-Paradise","Clark County",5,279900,274950,272350,267000,262000,262000,256756,257500,251500,250000,250000,249999.5,248875,239945,236500,234500,239000,234900,235000,239000,230682.5,232500,229999,227900,207900,219949.5,229900,235000,237000,230000,230000,245879.5,249000,249999.5,246500,250000,250000,249000,249888.5,250000,250000,259900,259900,279000,279000,290450,273999.5,265000,279990,292900,299900,305000,308000,307500,319450,314000,326000,326000,332999,340000,327450,325000,329950,330000,320000,326000,326000,326000,325000,325000,325000,340686,334500,342372,348500,349500,349900,345000,347000,349000,349300,349300,349900,359475,355000,350000,352000,349999,359888,361000,362000,369450,369900,375000,379000,390000,377000,379000,390000,385000,399000,399450,399900,399900,415000,399500,417400,416195,410000,423090,424888,429000,429000,425000,419500,420000,427000
"Spring Valley","Las Vegas","NV","Las Vegas-Henderson-Paradise","Clark County",6,287375,289900,289375,287950,280000,280000,280000,275000,275000,275000,274000,254945,250000,250000,249948.5,249500,241949.5,240000,239990,239000,239900,239250,239900,239900,240499.5,245000,249000,258265,260000,269999.5,262250,275000,279109,285000,285000,279950,279450,285245,298820,285050,290000,295000,299888,3e+05,308888,319900,320000,320000,320000,321000,328000,334900,336495,325000,329990,343000,339900,349900,340495,340000,340000,339000,344950,349000,346526,340000,340000,340000,339900,334995,339400,337490,335000,339888,339900,354999.5,359000,359900,365000,361520,359990,360000,364950,364445,367000,370117.5,375000,379800,388894,398450,4e+05,415000,4e+05,419949.5,422990,419999,419430,423998,429000,437990,436495,435000,438400,437990,428900,439850,449999,463000,459999,459900,465000,470000,457000,449999,449000,449990,445000
"East New York","New York","NY","New York-Newark-Jersey City","Kings County",7,,,,,,,,,,,,,,,,,,,,,,548000,554350,562350,525000,509000,521400,525000,529000,539000,549000,549000,549000,524000,519000,529000,499999,499000,514500,519000,539000,529000,519000,519000,519995,529000,519492.5,525000,525000,549000,560000,560000,560000,560000,569000,599000,627000,729000,649000,625000,625000,575000,580000,625000,649000,650000,609950,625000,612000,599000,595000,635400,649000,629000,649000,659000,659497.5,649999,650000,649500,650000,650000,699000,675000,697000,699000,677000,729000,739000,739000,729000,739000,739000,739000,729000,729000,7e+05,699000,734000,734000,729000,739000,729000,739000,729000,749000,749000,749000,749000,799000,749000,749000,722500,729000,729000,723500,679000
"Paradise Valley","Phoenix","AZ","Phoenix-Mesa-Scottsdale","Maricopa County",8,340000,339000,339900,339000,334900,334500,334000,325000,325000,315000,325000,322900,320000,325000,324900,322450,3e+05,3e+05,311450,309000,304900,304900,310000,315000,319900,324900,324950,324900,319900,324900,325000,325000,325000,338900,349000,350000,349000,350000,359000,358750,375000,375000,390000,389000,390000,395000,395000,390000,399900,4e+05,399900,399900,399000,399900,399999,399000,399900,395000,399000,410000,4e+05,410000,409900,415000,419900,422000,420000,415000,415000,414495,418996.5,424218.5,425000,425000,425000,425000,435000,425000,426900,429400,429250,429900,430000,445000,450000,450000,450000,452450,455000,458000,450000,458950,450000,451000,450000,450000,459000,465000,469900,464900,466600,469900,475000,480000,479500,478950,479000,480000,482700,495000,495000,509000,509900,519000,519900,520000,519900
"Washington Heights","New York","NY","New York-Newark-Jersey City","New York County",9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,724500,732000,699000,675000,657000,667000,650000,644500,628000,598000,626500,628000,625000,665000,699000,672000,649500,744000,735000,735000,699000,695000,691000,695000,693000,699000,704999.5,731450,699999,693000,675000,649000,697000,709000,738000,738000,692500,7e+05,692500,699999,695000,695000,675000,722178,749000,745000,750000,777000,749000,775000,769000,785000,813000,835000,799000,812500,8e+05,812500,841500,841500,825000,799000,814000,838750,848500,850000,848000,849500,848000,858000,850000,850000,818500
"Deer Valley","Phoenix","AZ","Phoenix-Mesa-Scottsdale","Maricopa County",10,3e+05,307000,310000,3e+05,299900,299900,298900,290000,295000,286945,289900,298900,298900,295000,289950,289800,283945,269450,266950,265000,265000,283495,278200,274970,289900,293000,299990,299900,310000,334000,330000,325000,324990,324990,349900,360645,350247,337900,335332.5,353495,372445,349900,365000,365000,379000,379900,373450,374950,374975,359000,349900,349000,364450,365000,375000,368000,379900,384900,389900,389950,375000,369949.5,365000,375000,369450,384950,385736.5,385000,399700,398000,395000,395000,399000,397560,399900,399000,399999,399900,410000,419900,405000,405000,409945,399950,399900,410000,420000,410000,418950,410000,410000,419900,425000,425000,419750,434000,436750,429900,429900,429000,433273,435000,445000,437000,444900,445000,435677,434950,449400,465000,459250,454300,454600,454900,459000,469000,459900
