"RegionName","SizeRank","2010-01","2010-02","2010-03","2010-04","2010-05","2010-06","2010-07","2010-08","2010-09","2010-10","2010-11","2010-12","2011-01","2011-02","2011-03","2011-04","2011-05","2011-06","2011-07","2011-08","2011-09","2011-10","2011-11","2011-12","2012-01","2012-02","2012-03","2012-04","2012-05","2012-06","2012-07","2012-08","2012-09","2012-10","2012-11","2012-12","2013-01","2013-02","2013-03","2013-04","2013-05","2013-06","2013-07","2013-08","2013-09","2013-10","2013-11","2013-12","2014-01","2014-02","2014-03","2014-04","2014-05","2014-06","2014-07","2014-08","2014-09","2014-10","2014-11","2014-12","2015-01","2015-02","2015-03","2015-04","2015-05","2015-06","2015-07","2015-08","2015-09","2015-10","2015-11","2015-12","2016-01","2016-02","2016-03","2016-04","2016-05","2016-06","2016-07","2016-08","2016-09","2016-10","2016-11","2016-12","2017-01","2017-02","2017-03","2017-04","2017-05","2017-06","2017-07","2017-08","2017-09","2017-10","2017-11","2017-12","2018-01","2018-02","2018-03","2018-04","2018-05","2018-06","2018-07","2018-08","2018-09","2018-10","2018-11","2018-12","2019-01","2019-02","2019-03","2019-04","2019-05","2019-06","2019-07","2019-08","2019-09"
"California",1,750000,758888,750900,759000,759000,765000,758000,750000,745000,729000,724000,699000,699000,699900,699000,699000,699000,699000,695000,684999,675900,669900,659000,650000,650000,665000,668000,685000,695000,699000,699000,699000,699900,718888,719900,699000,699000,734995,749000,769000,798000,790000,795000,775000,779000,775000,766495,758000,749950,759000,775000,786000,795000,789900,779950,775000,775000,775000,776150,754600,760000,774937.5,789000,795000,799000,799000,795000,799000,799000,799000,808000,8e+05,8e+05,838250,849000,849900,850000,859000,850000,850000,859000,869000,875000,864900,875000,894500,899000,914900,899989,915000,910000,899900,921495,928250,929000,919000,9e+05,939000,950000,965000,952000,959000,950000,950000,965000,975000,979969,969000,959000,989000,998000,999000,998000,995000,995000,989000,998500
"Texas",2,324000,320000,320000,319900,320000,319900,319000,315000,309900,309900,309265.5,303000,299900,299900,299900,302906.5,305000,3e+05,3e+05,3e+05,299900,299900,299900,299900,299900,299900,3e+05,305990,309000,309900,309898,308500,309900,309939.5,310000,315000,314500,314900,319000,320000,323900,324900,325000,325000,329000,329900,330000,330240,332900,335990,335342.5,344990,345000,345000,349000,349900,350000,353589,355000,363521,365000,365990,369880,370000,370000,374000,372036,374900,375000,376006.5,376000,379900,380583,385000,385892,389000,389000,389000,389000,389900,390000,390000,389990,390000,389990,394000,397900,399500,399900,399900,399500,398500,397700,396990,395000,395000,397900,399000,399900,402990,409000,407900,406900,400990,405000,407510.5,407388,408990,407928,410000,414999,419000,419670,418000,415000,415000,415000
"New York",3,629000,624900,625000,615000,620000,618000,619000,6e+05,619000,624900,625000,620000,619000,599000,6e+05,599900,599000,598000,595000,589900,589000,595000,599000,599000,599000,599000,599000,599900,599900,599000,599000,599000,6e+05,624000,609000,625000,630000,639000,649000,629000,620000,599000,599000,595000,599000,599000,643000,649000,650000,659000,655000,650000,660000,679000,659000,669000,675000,699000,699000,720000,739000,728888,709000,699000,699000,695000,689000,679000,695000,699900,710000,725000,775995,795000,759000,779000,749000,745000,719000,717000,729000,749000,761250,775000,788250,799000,799000,799000,784000,761250,750000,749000,759000,774800,789999.5,799000,8e+05,849999,848000,825444,805000,799000,789000,777000,798000,799000,819000,830000,850000,859000,850000,850000,839000,819000,799000,799000,799900
"Florida",4,397000,390000,389000,385000,384000,379000,379000,375000,369900,368837.5,365000,359000,354997,359900,350000,350000,350000,349900,349900,349900,350000,358000,350000,357000,359000,360000,360000,359000,359000,352900,350000,350000,359900,354980,357979.5,360000,368900,369000,370000,375000,369000,369000,374800,369000,369900,369990,377777,380000,380945,385000,384900,385900,380000,379900,382900,383400,385000,386900,389900,397500,397000,399000,390000,395000,399000,399000,399000,399900,399900,405000,415000,423900,425000,435000,435000,439000,435000,439000,435000,430000,439500,445395,449900,451990,467500,475000,470000,473000,469900,469900,469000,469000,469900,469900,475000,479500,479900,485000,489000,494000,490000,489999,489900,489000,494000,495000,499000,499900,5e+05,514000,509000,512000,5e+05,499900,499900,499999,5e+05
"Illinois",5,389000,388700,382900,379900,375000,379000,375000,374900,368500,369000,365000,359900,357000,350000,349900,349900,349900,349900,349000,344000,339900,339000,334900,334900,335000,337900,335000,339000,335000,337900,335000,334000,334900,337000,337900,330000,332000,339900,339900,349100,349900,349999,349900,349900,350000,350000,350000,350000,350000,359900,359900,359900,362900,369000,365000,364900,369000,369000,367900,365000,365000,374900,378000,379900,385000,388500,385000,380000,384900,385000,384945,385000,388495,394900,398500,399000,399000,399000,399000,399000,399000,399900,399900,399900,4e+05,409990,410000,410000,415000,414485,409000,399900,399900,4e+05,405000,4e+05,409900,419000,420000,425000,425000,424000,420990,420000,424900,424900,425000,425000,427500,435000,434000,434899,429900,429000,425000,425000,425000
"Pennsylvania",6,339900,339000,339098.5,335000,337000,335000,334000,330000,329900,329900,329000,325000,325000,322500,320000,324900,324900,319900,319000,317500,314994.5,310000,309999,310000,311140,313835,314900,312900,310000,309900,309000,3e+05,299999,3e+05,3e+05,299990,3e+05,309000,314000,314500,317500,319900,315000,312324,314900,315000,319286,319000,318021,305990,315000,319000,319000,319900,314840,314900,318500,315900,316900,315000,312900,314900,320000,324900,325900,328900,325000,325000,323000,329500,329900,329900,326900,330000,329999,339900,339900,334900,335000,330796,333484.5,329900,336000,336315,335000,339500,329900,334900,345000,345668,344900,339900,345000,349000,349000,348990,349000,349900,350000,350000,352924,356626,359900,357500,359900,359900,360400,360000,364005,368930,374900,375584.5,379000,377990,375000,374900,375000
"Ohio",7,244900,244900,242900,244900,245000,245000,245000,240000,239900,239900,239900,237990,235000,237900,235000,235000,235000,234900,232000,229900,229900,230000,232900,229900,229900,229990,230000,231500,233000,233900,232900,230000,230000,233000,235000,234900,235900,239000,239900,239900,239900,239900,239990,240000,244900,239900,249000,248995,249000,249900,250000,249900,250000,255000,255000,255000,255000,259000,259900,259982.5,261000,265000,264900,265000,265900,269000,269000,269000,269900,270000,270000,271900,274900,275990,276990,279900,279990,280000,282559,280322.5,284900,285000,287835,289900,289900,292500,290990,295000,299000,299000,296990,295990,295900,296000,299000,299900,299900,304900,308825,309900,310000,310900,309900,310000,311462.5,313995,315000,319900,320000,324990,325000,325000,324900,321880,319900,319900,319000
"Michigan",8,229500,225000,224900,224900,224900,224900,224900,220000,220000,220900,220000,217900,215000,219000,215400,214500,215000,217900,218500,214900,218900,218900,217500,219500,219900,219000,219900,219900,220000,225000,225000,225000,229000,229000,229900,230000,234900,234900,239000,239900,239900,245000,247000,250000,254900,254000,259000,256945,259900,260000,262500,269000,273000,274900,274900,274900,274900,275000,279000,279900,279900,284900,284900,289900,290275,290050,290000,290000,291990,295000,299000,299900,299900,299900,299900,3e+05,309900,309900,309000,309900,309000,309900,310000,310000,309900,314888,315900,322500,324900,325000,325000,325000,325000,325000,329000,329900,329000,333780,339289.5,339000,339999,340995,339900,339900,339900,339900,343802.5,344900,344900,349000,349900,350000,350000,350000,350000,349900,349900
"Georgia",9,338000,329900,330000,330000,329900,327000,325000,325000,324900,320000,319900,316422.5,309900,310000,3e+05,299900,299900,299900,299900,299000,299000,294900,290000,289900,289000,289900,289992.5,292500,295000,289500,295779,295000,294500,295000,299000,299000,297500,299000,299900,299900,309900,310000,310000,309900,309970,314900,314000,314900,315000,319900,324475,325000,328074.5,329900,329900,329900,335000,335000,335000,338900,338995,342000,345000,346999.5,349000,349900,349900,349900,349900,349900,350000,350000,351900,359900,360000,369900,374781,370000,374351,374900,375000,379000,380000,379900,381127,385000,389900,395000,396358,396500,395000,394900,399000,399088,399000,399000,399900,399900,409000,411551,414900,414900,415000,415000,415000,416254,419900,424900,425000,427900,429000,429000,426990,425490,425000,424000,424900
"North Carolina",10,349900,349000,349000,345900,339900,339316.5,339000,335000,330000,330000,334900,329215,325000,324900,324500,324900,324900,320000,319900,319900,319860,315000,314900,310000,310000,309900,310000,315000,312395,314500,310000,310000,311500,314900,313482.5,309900,309000,309120,310000,315000,315400,319900,319900,319000,319900,320900,319500,310000,319000,324141,325000,329000,329900,329900,329900,330000,329915,329900,329970,329990,329900,329400,333500,339900,344900,345000,346000,349000,349000,349900,349900,349000,349000,350000,359000,359900,360000,359900,361575,363900,365000,369000,366329,365000,365000,369000,369900,375937.5,379600,379900,380000,379900,379755,380000,380000,380000,380000,385000,388990,389500,389715.5,389990,389900,389000,390000,390000,395000,395000,393900,389990,395000,399500,399900,399900,399900,399900,399900
