RegionID,RegionName,StateName,SizeRank,2008-03,2008-04,2008-05,2008-06,2008-07,2008-08,2008-09,2008-10,2008-11,2008-12,2009-01,2009-02,2009-03,2009-04,2009-05,2009-06,2009-07,2009-08,2009-09,2009-10,2009-11,2009-12,2010-01,2010-02,2010-03,2010-04,2010-05,2010-06,2010-07,2010-08,2010-09,2010-10,2010-11,2010-12,2011-01,2011-02,2011-03,2011-04,2011-05,2011-06,2011-07,2011-08,2011-09,2011-10,2011-11,2011-12,2012-01,2012-02,2012-03,2012-04,2012-05,2012-06,2012-07,2012-08,2012-09,2012-10,2012-11,2012-12,2013-01,2013-02,2013-03,2013-04,2013-05,2013-06,2013-07,2013-08,2013-09,2013-10,2013-11,2013-12,2014-01,2014-02,2014-03,2014-04,2014-05,2014-06,2014-07,2014-08,2014-09,2014-10,2014-11,2014-12,2015-01,2015-02,2015-03,2015-04,2015-05,2015-06,2015-07,2015-08,2015-09,2015-10,2015-11,2015-12,2016-01,2016-02,2016-03,2016-04,2016-05,2016-06,2016-07,2016-08,2016-09,2016-10,2016-11,2016-12,2017-01,2017-02,2017-03,2017-04,2017-05,2017-06,2017-07,2017-08,2017-09,2017-10,2017-11,2017-12,2018-01,2018-02,2018-03,2018-04,2018-05,2018-06,2018-07,2018-08,2018-09,2018-10,2018-11,2018-12,2019-01,2019-02,2019-03,2019-04,2019-05,2019-06,2019-07,2019-08,2019-09
12447,Los Angeles,California,1,502500,486800,463300,454100,434500,420500,405100,396500,385100,371300,356800,344600,338900,328700,324000,326600,332200,337600,340500,344700,346800,351800,359300,363500,361200,353700,353500,351000,353300,348900,353600,351300,357300,359000,357000,355600,346700,348700,347000,346200,343700,339200,338800,332600,331700,330200,332300,331700,332700,336200,338800,342900,351700,360000,373000,374000,382600,396400,404500,413400,412500,430900,444600,459000,467100,469000,473100,473300,468800,459600,448600,449100,449200,456900,461600,462000,463500,463400,466700,469700,468500,473100,473300,481400,485400,492300,491300,492900,494100,502400,502500,500900,500600,512700,521100,524700,520900,524500,528600,530600,530000,532200,537100,536100,541200,538700,550800,547000,554300,550500,558300,562500,566600,566800,572000,582900,602100,610600,614700,618200,623700,629600,629400,638200,633600,637800,640600,661800,674400,677500,685000,684700,698200,700600,705800,708900,711700,714300,710400
17426,Chicago,Illinois,2,326200,316800,293300,279000,273600,270100,270900,269600,262200,258300,250100,250400,249400,246200,238000,228000,226300,228600,229900,229800,234600,234100,239200,229900,226500,223200,227600,229200,219100,210000,197700,200700,201900,204000,202500,202100,198500,190300,184000,190600,201000,207100,205600,202600,193100,191500,184800,186400,182400,186700,190100,199300,204000,211000,215500,210000,208800,200000,206000,200900,204000,206200,220600,233900,243600,247800,249900,254100,253400,249500,246900,256300,259800,259600,255800,259400,258600,259900,262600,266100,267300,264100,267300,266600,269200,269400,267600,263600,255300,244800,238100,231700,222700,219800,217800,221800,217700,219800,221900,224400,227800,230100,231300,232100,238000,249000,260600,258400,253000,240100,233900,226600,222500,225800,225700,229500,229500,234600,240800,245800,259800,259700,258000,249300,256100,262300,264800,261800,266400,249400,259000,269200,299600,299600,290000,281500,277100,273200,272400
13271,Philadelphia,Pennsylvania,3,110400,110700,111700,110200,108400,111200,114000,116200,115200,111500,107800,102000,102000,109600,112000,113800,109200,115900,121400,124500,129900,127600,124800,114700,115600,118000,120900,119700,115400,106800,105200,101200,111000,105500,108700,104700,107700,110900,109800,111100,104700,106300,105400,106700,103700,104500,104400,101600,99400,102700,108100,107500,106800,109000,109400,106700,107300,112200,115700,112600,107300,107300,108600,112900,115100,115600,115600,115600,116800,118600,119500,120100,124600,123400,122700,118700,118100,120100,118600,120400,118200,118900,118300,113200,115200,116100,120200,121100,121300,121700,123200,126200,127100,122900,127800,128700,128900,121000,121600,122700,125400,125800,129600,127200,130500,130400,134100,135400,137500,140600,142000,144300,144200,145400,144700,144600,148300,147800,151600,143500,142600,138300,144100,143700,143300,141100,143600,146500,152800,156600,158000,157300,156000,158500,159600,163700,165700,169800,
40326,Phoenix,Arizona,4,221600,212400,204300,195700,186400,176600,167500,154800,139700,122400,107600,93000,81800,74600,73500,81400,88200,95400,95700,97600,104000,105000,105400,102600,102800,102600,101800,103000,101600,97800,95400,94000,90200,84800,84200,83800,83700,80500,79600,81700,83700,86500,88700,91000,94300,96600,91500,85900,81400,84500,93000,96900,101600,104400,107000,112200,115900,119900,122600,121400,123300,123900,129300,133800,137400,137900,137900,138200,136200,136900,136500,138600,138300,139700,138800,139300,139700,141100,142900,143300,142300,144000,142600,146500,149400,154900,158900,161300,162400,162100,161700,164000,165900,168200,168700,170100,171300,172900,174600,175600,176400,179200,182100,184800,186700,186800,188000,188500,190100,189800,190400,191100,193300,195000,195700,197900,200200,202700,207000,211100,213800,216300,215600,216100,217800,218700,219800,219500,223200,223900,227000,228300,232700,233100,235000,236900,237500,236000,237400
18959,Las Vegas,Nevada,5,245700,239900,235100,226000,217800,207600,196300,185100,174000,166200,158500,150400,142500,131400,123700,118600,118800,117700,117400,117700,118900,121300,123000,123300,122900,123900,126200,126900,124500,123700,121100,119000,115900,114600,114200,113400,110900,109200,107900,107000,105500,103100,102800,103100,104700,106000,106800,106400,107800,109900,112900,114900,118000,121500,124800,126900,130400,133000,137000,139600,143300,145500,148400,152900,157700,162000,162600,163600,163500,165200,166200,168000,169700,171300,171000,161600,161900,167100,177700,179100,177100,178700,178500,180500,181300,184200,184800,182000,186000,187400,192500,189100,190600,191200,196300,200000,199400,197100,194700,195100,195800,196900,198600,201000,202800,204000,206700,207900,213800,215000,217500,219500,223900,227700,229900,231000,232800,235900,240400,244300,247000,248600,252300,255900,259100,260400,262000,263300,263800,263200,266600,267800,270900,266400,266600,265900,269700,271200,271700
54296,San Diego,California,6,420600,407800,397200,378200,369900,355600,350100,335300,322400,308700,295600,300700,294000,292500,288700,306500,322900,332400,341900,348500,347700,348800,340600,345600,345600,350600,347800,344000,348700,349300,355300,355500,361300,358100,346900,338100,334600,341000,342200,336500,333000,328300,328000,326200,326700,329100,327900,329200,333900,341900,350100,354200,364500,367600,371900,373100,382600,390300,396700,400400,405900,414000,424700,429600,432600,430100,438000,435900,437600,434500,437700,439100,439400,440200,442800,444200,448800,454500,461800,467000,465700,462100,462000,471900,480400,480500,474600,474100,477700,480000,474800,470500,472700,485600,498300,501000,491900,494100,496100,501900,500500,503200,509000,517300,520900,519600,524400,536300,542400,536100,528300,534000,540200,545700,547100,550800,562200,569300,572700,571200,576200,582500,588800,591200,590800,591800,596500,592200,586400,579400,588000,596000,596900,597800,592900,595900,595700,602400,
10221,Austin,Texas,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,290100,289600,287400,293000,295600,295300,293100,286900,292400,289700,289700,285700,289400,293400,294700,293400,292300,293200,296900,303200,304100,308200,308900,308800,309900,311600,321000,320600,320500,317200,318800,321100,321800,323900,330700,335600,338500,339400,338300,340800,340200,347400,347400,349700,346700,350000,347700,350100,354000,357000,361600,362700,364800,362200,363100,366700,372500,372400,380600,380700,378800,370200,368000,369600,375200,379900,383500,384300,381400,384900,385500,384800,390800,390400,402700,406400,417500,422000,
33839,San Jose,California,8,616600,582400,565200,545100,534200,522100,500600,475900,444600,426600,421300,416400,397100,371200,359700,367600,394700,403900,419300,421300,437700,448700,458800,465400,466600,453300,454200,448700,458400,455500,459400,456600,452900,449200,448300,438500,429600,418400,415500,424300,426000,433600,432800,427300,425300,421100,432500,431300,432900,436800,440000,451500,466700,494500,509800,515500,518800,523900,541000,548000,556700,563200,579100,592800,599700,600700,604200,607200,611200,614700,621000,626000,625300,629000,633200,641200,638100,647100,652300,660300,662800,666600,675300,666600,676500,680800,700200,704900,713900,720900,729000,730200,731000,736400,736400,743800,748500,757400,763500,761400,767500,764100,764300,767800,774600,780600,788400,799500,808700,809200,808000,813300,827300,837100,855900,878800,913300,962700,981800,1021400,1034500,1059200,1055700,1041100,1021000,1002600,998800,1006900,990800,981500,973600,972300,961700,948300,943100,942600,940800,939900,931700
25290,Jacksonville,Florida,9,170700,164500,151100,146700,143400,142700,137200,131800,130500,128800,128900,129500,128600,124300,113000,109700,110100,113800,112300,107800,109400,110400,110700,108900,108000,107400,101800,99700,98700,94800,87900,82900,88600,93000,95000,92100,89200,87500,83000,84700,84900,87900,83900,83800,83500,89000,84500,82700,77000,79600,77900,77300,75900,76900,78400,76400,77600,80000,87800,85500,82400,78500,80000,77400,75100,79700,83600,87200,85400,86200,84500,79900,77700,77100,75700,75300,78700,80500,82000,84000,85900,87100,80900,76400,72400,75000,83700,91500,96800,96800,99600,98400,94400,92600,93900,103900,102100,107600,107500,114600,113400,113200,111100,112800,113400,114800,117900,130200,136100,136900,128800,126400,123900,125800,122500,121300,121100,125800,133000,137200,144800,144800,142600,139800,142000,143900,146100,142300,141800,137900,140800,147900,151100,156400,157400,165400,171000,173000,169500
24043,Charlotte,North Carolina,10,157600,152800,149700,147800,148500,147700,150400,150300,149100,148300,146200,148900,146000,144900,142100,143800,148700,151800,153800,154200,153700,149800,149800,150100,149500,149600,148800,151600,155700,154900,159400,155100,159300,155200,158700,155000,152900,153600,156300,161100,157100,164200,158000,161200,149500,156100,154300,156000,154000,151500,156600,165600,166000,169000,164600,165700,157600,152700,155500,162800,166400,167200,166200,168500,172000,175800,178100,177900,178100,177900,177200,177200,176700,176000,178400,179500,182500,180000,178600,174900,173300,175900,179500,182600,181400,184200,186900,186900,183600,180500,183500,186000,187300,188800,189500,187500,183800,184400,185300,187300,187100,193000,192500,193800,191500,187700,185200,180400,185700,185500,186600,186600,188400,188100,187500,188800,193300,194700,200900,207100,216700,216500,217200,216600,215500,217300,215800,219400,218700,221100,226200,229300,231500,229100,232700,231800,233300,230600,237800
7481,Tucson,Arizona,11,195100,193800,194300,185800,181500,176600,176400,172100,168200,166500,162100,161100,154100,152600,149700,149100,150000,150100,154100,150700,150800,146700,150300,146800,146900,144800,144400,139700,137900,137000,139300,134600,130800,127100,126700,125700,123100,120300,117900,115500,113500,113100,112800,110600,111800,113700,119400,118400,119300,120400,123100,125300,125400,132500,136400,137000,134600,143200,150000,150200,141700,139800,141600,146600,148000,151100,148400,147500,148900,152400,153200,151100,152700,153100,153000,150500,152500,153300,153400,152700,148900,145500,142500,143900,147000,147300,148900,147200,148900,148400,150000,152300,153000,155000,155700,158900,159600,159500,159600,161700,163200,166100,166800,167100,168200,169500,173400,175200,175300,174800,175100,176500,174500,172100,176800,176000,179500,177100,182100,184000,185200,189800,190300,190900,188700,188800,190200,190500,192100,191100,194600,194000,195700,195800,202000,205100,206100,202500,204500
