RegionID,RegionName,StateName,SizeRank,2008-03,2008-04,2008-05,2008-06,2008-07,2008-08,2008-09,2008-10,2008-11,2008-12,2009-01,2009-02,2009-03,2009-04,2009-05,2009-06,2009-07,2009-08,2009-09,2009-10,2009-11,2009-12,2010-01,2010-02,2010-03,2010-04,2010-05,2010-06,2010-07,2010-08,2010-09,2010-10,2010-11,2010-12,2011-01,2011-02,2011-03,2011-04,2011-05,2011-06,2011-07,2011-08,2011-09,2011-10,2011-11,2011-12,2012-01,2012-02,2012-03,2012-04,2012-05,2012-06,2012-07,2012-08,2012-09,2012-10,2012-11,2012-12,2013-01,2013-02,2013-03,2013-04,2013-05,2013-06,2013-07,2013-08,2013-09,2013-10,2013-11,2013-12,2014-01,2014-02,2014-03,2014-04,2014-05,2014-06,2014-07,2014-08,2014-09,2014-10,2014-11,2014-12,2015-01,2015-02,2015-03,2015-04,2015-05,2015-06,2015-07,2015-08,2015-09,2015-10,2015-11,2015-12,2016-01,2016-02,2016-03,2016-04,2016-05,2016-06,2016-07,2016-08,2016-09,2016-10,2016-11,2016-12,2017-01,2017-02,2017-03,2017-04,2017-05,2017-06,2017-07,2017-08,2017-09,2017-10,2017-11,2017-12,2018-01,2018-02,2018-03,2018-04,2018-05,2018-06,2018-07,2018-08,2018-09,2018-10,2018-11,2018-12,2019-01,2019-02,2019-03,2019-04,2019-05,2019-06,2019-07,2019-08,2019-09
112345,Maryvale,Arizona,1,,,,,,,,,,,,,,,,,,,47600,50800,56400,56200,55900,52600,51400,51400,50800,52900,51300,47900,45300,42800,42500,40600,42000,41600,41900,40500,39600,40700,40800,42100,43000,45100,45800,45600,46500,47500,50300,52600,59800,62800,65000,65000,67800,73600,74000,75200,81800,84600,83800,77100,80400,84500,86600,95800,98200,102600,95900,96600,94700,92000,93700,97300,100300,101300,101000,103800,103200,103800,104200,112200,110100,111700,109400,114800,117600,118800,120800,121300,120800,120300,119000,122100,125300,134900,135600,136500,131600,132500,135400,137200,140500,142300,145800,145800,145700,147000,148300,150700,149000,151000,149800,152000,154100,159300,160200,161100,162800,164900,165900,166500,169200,172500,174700,174900,176500,175900,178800,179900,182100,185100,184000,186600,186900,191200,189800,188300,193100
192689,Paradise,Nevada,2,272400,287400,289300,255100,229900,213100,203800,191600,182400,168600,163800,148000,138100,127500,122700,112700,113400,112800,115300,113200,117100,119500,119000,116900,116500,116900,116500,115600,117000,114800,112100,104500,105000,102700,105100,105400,105700,107800,101400,102100,97200,100800,98000,100200,100300,100200,102400,100700,106400,103200,106500,107000,115400,113100,115600,114000,125200,130000,134100,134700,134900,138800,139500,141400,143000,145400,148100,148400,150900,153300,157800,158400,159800,155400,156300,148100,154300,165700,174100,173700,162800,165600,166700,168700,173100,175200,176900,168400,168300,170600,179300,180600,183400,180400,177100,177800,178800,183500,182800,184400,184600,186200,184500,190000,188700,192400,190600,193600,197700,198300,202800,204800,207800,207300,210100,213100,218700,221700,226300,228000,229300,232500,236500,242400,245200,248700,247400,245600,248000,248300,253600,252100,254100,247800,248400,252200,258300,258900,256500
270958,Upper West Side,New York,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,927400,920500,886400,968600,1032400,1021000,937400,917900,934400,944600,955500,961300,886500,769500,732100,767100,808300,782200,780200,844400,853100,883500,813100,877300,878700,921700,901900,878200,827900,808900,790300,821300,833200,888900,923100,899900,900200,873900,905500,888300,921100,936300,958100,943400,931700,888400,886300,857400,857000,844900,859100,905300,900600,899300,895800,990700,1032600,1095100,1119100,1206100,1215100,1211800,1136000,1158200,1092700,1073100,1009300,1008800,998300,968200,937000,943300,920600,934100,1051400,1091100,1173400,1172300,1232000,1214900,1134700,1096500,1053200,1095200,1133000,1178000,1133300,1094600,1144600,1166300,1173900,1081000,1126000,1130200,1105900,1019100,1011800,1103400,1172800,1198400,1211200,1226100,1208700,1153100,1069200,1076300
118208,South Los Angeles,California,4,,,,,,284300,271300,264900,246500,231200,218800,211100,210900,195700,183800,175200,181200,186600,185200,180800,185700,192900,196100,195800,193200,193000,199400,207800,204300,202600,204700,212600,207200,198900,202400,214100,217000,206400,198700,198700,205700,202600,199900,199100,195900,194600,191600,196200,200200,200500,201000,200900,203100,208900,208600,211700,213800,218300,222700,219500,222100,226400,232700,236000,240700,243500,253600,255700,266500,270900,274000,277100,278900,285600,288600,290900,288900,289000,293000,295600,299400,297100,299700,297100,300600,312300,315000,312600,306800,308100,315600,322500,327700,329300,329200,338600,343900,347700,345800,354200,363700,374600,372400,372900,366100,370700,371700,378000,384200,385400,391700,400100,411400,421300,420700,424400,425400,439300,449400,457500,461300,457000,463900,468400,472800,473400,466200,471500,472000,475800,466600,463700,462600,472200,479200,499500,497800,503300,496600
270957,Upper East Side,New York,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,792800,867900,844900,897000,913500,945200,893900,858200,869100,902400,839300,775000,704900,703700,683200,710300,749400,763100,750100,743300,763300,851300,846800,857700,759700,785000,749300,751600,750400,741400,783200,739300,784100,782100,797000,777900,776900,803400,805700,823600,757400,805100,769500,799400,783700,752600,812800,824900,891400,848100,822900,792200,812500,813600,815100,816900,823000,884900,891900,951000,951700,928300,953100,1031000,1077300,1030400,974100,1026500,1029500,988200,911600,882400,855300,873700,865500,887900,915300,941000,1016100,1013500,994200,956700,1057700,1063000,1053000,1125700,1182100,1185900,998800,989900,958100,988500,973500,1025800,1056800,1102100,1077700,1003500,941400,991400,1000200,1031000,1084500,1197800,1182500,1135500
192820,Sunrise Manor,Nevada,6,,,,,,,,,,,,,,,,,,,71800,75300,76500,85500,88500,89400,82200,81600,80900,82700,81000,81200,78000,75600,74600,73100,74100,72000,72400,70000,68700,69200,66500,66400,64800,67300,69600,67400,67200,65500,67000,65600,67900,72300,76400,77100,78500,81000,86500,88600,92200,94500,96800,94100,92200,94800,100900,105600,108000,107700,112200,112800,114900,111500,113400,113200,113600,107700,109000,111100,116100,120900,128100,132000,128100,123200,122500,127700,129200,130500,134400,132400,134300,131000,134300,134200,151100,152400,152500,137500,138600,141100,142500,144500,146800,148400,149400,148600,151400,157600,161900,163400,161300,163100,164500,166800,166000,167900,171400,175900,180300,179500,185300,184800,192000,202000,206500,207100,202900,209300,208000,206300,204600,208000,210200,210000,213200,216700,217600,217000,210700
192796,Spring Valley,Nevada,7,230100,227900,224600,223700,216500,213700,198600,194600,185300,182800,176100,170700,164400,150800,138200,130700,128500,125800,121600,124100,126400,127300,127100,127600,130900,132100,131700,135000,128700,126400,118300,119900,119200,118700,116600,117300,115000,112300,113600,117400,117000,110800,105600,107300,109000,109800,108900,109300,116800,116700,120900,123200,129900,131200,127700,130700,134000,137900,140700,142900,151200,153500,155000,153500,155500,159300,159000,161700,163900,165100,165600,168800,170200,174300,175900,176600,172300,169600,169800,180800,182200,189700,183200,186300,186200,188400,189100,187500,188100,187600,189800,187300,188700,189900,193400,203900,204000,205400,198900,200200,205200,205300,208000,207200,208400,208100,207500,209900,212900,217200,218600,222600,225600,234500,240000,242800,241500,243300,249700,252500,253900,253600,257900,261000,263200,262400,260500,263800,264100,272800,267100,271600,271400,275800,274800,271700,268300,267600,265300
268496,Southeast Los Angeles,California,8,,,,,,,,,,189900,185100,170900,151500,141700,144900,143100,133800,127500,126300,131200,137000,143200,152000,150900,148500,140500,141500,148600,148800,154800,159800,170900,170700,164600,156700,154900,159200,168900,172900,172900,173000,171800,165300,162900,159200,160200,153800,151600,150200,160300,166500,176800,171600,180300,173500,182500,182700,189600,185600,176700,182500,188500,198400,200400,199800,214700,224700,228500,216100,214900,221500,229100,219100,218600,220000,233500,238300,241600,238900,239200,247900,248500,251500,245400,252300,257700,265200,275600,275100,270000,269300,272700,280800,282800,284500,289600,289800,289300,289400,294300,304200,305200,307600,310400,314400,315300,311400,321200,327600,325700,326200,321900,332200,335600,343700,346100,346900,349300,355200,348800,352300,353000,357200,356600,356100,363800,365300,378300,377900,377800,371800,374300,379400,376200,386900,395500,407100,411700,404200
112547,Paradise Valley,Arizona,9,277400,262100,263200,262800,259200,248700,245000,238400,263600,255900,247300,206000,184500,168900,163400,167400,170900,172900,171400,167100,172800,175100,182100,166800,160500,152600,158400,164000,166800,160300,149500,147500,149300,152800,154800,153700,144700,138200,129600,135600,137000,142000,141700,141600,150300,151600,148800,140200,141300,141600,143300,145100,148600,154600,152100,155900,162100,166800,166700,167300,168500,171900,176400,190800,202300,202700,197700,195000,195200,193700,197100,183500,184400,181000,186000,186500,184100,190000,192400,193700,196600,197300,197100,205200,211500,219300,216700,217100,207200,209200,203800,215000,209100,214000,218700,223800,225600,223100,226900,229100,229800,233900,238200,237800,240900,243200,245900,242500,242100,239900,240600,239300,242500,246700,247600,251100,257600,260900,264500,260200,262100,264100,268900,269500,275000,276400,272000,271600,265700,271900,270000,276100,281300,283900,288100,285800,288300,285500,284600
111818,Deer Valley,Arizona,10,215600,207500,201200,197300,194900,187000,181700,178900,176700,168700,162600,156100,151800,138000,130400,125700,127200,127700,131400,130100,129300,126800,129800,129400,129300,124500,124800,120700,119700,115700,118100,119300,116600,108400,104200,105400,105400,103200,102000,102700,102600,102900,105100,107200,107700,110200,105200,103800,100700,108200,113300,115000,115300,117000,119600,127600,128200,132800,132600,135800,136200,137900,141500,143600,146400,147200,149400,149500,149300,150100,152100,155700,156900,156000,152200,156000,162600,165900,160800,154100,152100,155700,150600,153800,155300,163000,166900,169400,172200,170800,172500,175400,180400,184800,185700,185600,184000,192200,195900,199000,194100,195200,198500,201500,203000,201600,202600,205900,209000,207700,204800,204700,209400,212400,214100,213600,218300,219200,220300,218100,222000,227300,228300,227400,225000,227100,226500,227300,228200,229300,235000,237800,243400,242600,245600,245200,245800,243300,245900
