RegionID,RegionName,SizeRank,2008-03,2008-04,2008-05,2008-06,2008-07,2008-08,2008-09,2008-10,2008-11,2008-12,2009-01,2009-02,2009-03,2009-04,2009-05,2009-06,2009-07,2009-08,2009-09,2009-10,2009-11,2009-12,2010-01,2010-02,2010-03,2010-04,2010-05,2010-06,2010-07,2010-08,2010-09,2010-10,2010-11,2010-12,2011-01,2011-02,2011-03,2011-04,2011-05,2011-06,2011-07,2011-08,2011-09,2011-10,2011-11,2011-12,2012-01,2012-02,2012-03,2012-04,2012-05,2012-06,2012-07,2012-08,2012-09,2012-10,2012-11,2012-12,2013-01,2013-02,2013-03,2013-04,2013-05,2013-06,2013-07,2013-08,2013-09,2013-10,2013-11,2013-12,2014-01,2014-02,2014-03,2014-04,2014-05,2014-06,2014-07,2014-08,2014-09,2014-10,2014-11,2014-12,2015-01,2015-02,2015-03,2015-04,2015-05,2015-06,2015-07,2015-08,2015-09,2015-10,2015-11,2015-12,2016-01,2016-02,2016-03,2016-04,2016-05,2016-06,2016-07,2016-08,2016-09,2016-10,2016-11,2016-12,2017-01,2017-02,2017-03,2017-04,2017-05,2017-06,2017-07,2017-08,2017-09,2017-10,2017-11,2017-12,2018-01,2018-02,2018-03,2018-04,2018-05,2018-06,2018-07,2018-08,2018-09,2018-10,2018-11,2018-12,2019-01,2019-02,2019-03,2019-04,2019-05,2019-06,2019-07,2019-08,2019-09
9,California,1,388500,370700,347400,331600,316900,305100,291400,278800,264500,254700,243200,236800,227800,221000,216300,220600,230500,238900,245100,249200,255200,260600,263500,264200,262800,260700,263800,263900,267100,263800,266400,263400,261100,258200,255600,255500,251700,250400,246000,244600,243700,244700,245700,244500,245100,244000,246700,247700,250400,255400,259400,264700,270800,278400,287100,291600,298800,306000,309700,311200,314500,324200,335300,344800,352800,357200,358400,359400,360900,363700,364400,366800,367000,369300,372000,373200,375900,377700,381000,381800,381200,381500,382600,387400,390400,395100,394500,396900,397100,400000,400000,400400,401900,406800,411400,411100,408800,409300,412900,415100,415800,417500,420700,421500,421500,420100,421700,421600,425700,427200,432000,435700,438400,440200,442300,449200,457800,462700,467600,472500,478700,480900,481900,482200,483400,483800,484000,486400,486900,485700,484000,486700,489200,492900,492500,495100,495100,495500,502600
43,New York,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,241400,245600,252200,260300,261700,257600,251500,250800,244900,237300,219500,205300,196700,195400,195100,195700,195000,197400,206100,208600,211400,210800,214100,215900,218700,219100,215600,212700,208900,216300,219500,227500,231300,235400,237500,235000,233300,231700,232100,229200,226500,230900,232100,232700,227700,225100,225800,226000,228500,227800,226800,226700,227300,227500,227300,225200,228500,231800,235500,238600,239000,236900,233400,236400,240400,239400,241100,242000,246300,244000,241900,242100,244700,246800,254500,259000,268700,269000,270900,271000,269900,271400,272200,276500,278700,283700,286700,289000,289600,290300,290500,291800,290400,289500,286700,287800,291200,297800,297400,294700,292600,296500,306300,311100,314400,
14,Florida,3,204000,196500,190500,186300,183600,180000,175000,169000,163700,156200,149600,142900,137600,132500,127300,124900,126000,127200,129100,128800,130700,130900,129900,128000,126600,125800,124600,123400,120500,117200,114700,114900,116600,116900,114400,110100,107700,108800,112000,113800,115700,115800,116200,115700,116400,118200,119800,120800,121200,122300,123800,125000,125300,125300,126200,127500,130200,132700,135100,135300,135800,137200,139100,141000,142300,144600,146800,147800,149800,149800,149800,147800,147500,147800,148400,149700,151500,152500,153600,154800,157200,158000,158100,158200,160200,162200,165500,166300,167700,166900,168200,169000,170000,171500,173700,176100,177100,177400,178100,179300,180900,182700,184000,185300,186200,187000,188600,191100,193500,194900,194600,195800,196900,198600,199200,200100,201500,203400,206700,210700,214800,215700,214900,213400,212900,213900,216000,219100,223000,224800,226900,228800,229700,228000,225900,225100,226200,227500,
21,Illinois,4,209900,205100,190700,181800,179300,180600,182000,180900,178300,175600,170300,168700,164400,159700,153800,149100,152000,156400,160700,162200,163000,166200,168300,171000,166500,162300,156100,156100,156300,155400,151800,150400,151700,153200,152900,150300,147500,141700,137500,136900,140800,143600,143800,141600,138800,138400,136400,135600,134700,135200,137000,139000,141200,142900,141300,140100,140700,140600,141100,139400,139400,139100,142200,147000,154900,158900,162300,164400,165400,166600,164900,166300,164800,163900,162800,164400,166200,168200,172700,174600,174700,172100,171900,173700,173900,174200,173300,172600,173300,169700,167800,163600,161300,158300,156400,156800,158100,160300,162000,163300,163900,165300,165200,166000,167700,170400,172100,172700,174000,174300,174500,172200,170900,170600,170700,171700,172900,175100,177600,180800,185800,188100,187300,188000,189800,188800,186000,183100,187000,185800,188100,192600,200300,203400,202500,199200,198100,195300,195600
47,Pennsylvania,5,147700,146600,144800,141200,141200,141800,142900,141100,139200,136800,136100,136400,138900,138900,137400,135700,136200,138300,140900,141200,142600,143500,143800,144100,144400,145000,143900,140300,138500,135500,135100,134800,136900,138400,140400,141100,139600,136400,133300,132800,133700,134000,132400,131300,131700,134800,137600,140200,140000,139900,139100,139800,140300,139800,138600,137500,139900,142100,143700,143100,142700,142600,142600,142800,144500,145000,144600,143600,142600,143300,142700,143700,143500,141700,140500,139500,140900,142500,144600,145000,144600,144700,145600,146500,147300,147000,146300,146100,147700,148200,149300,148600,148200,146400,147200,149100,149200,149400,149100,151100,151000,151300,151100,151800,153000,153800,154200,153600,154700,156000,157000,157700,158300,158200,157300,157000,158200,159100,161100,160900,163800,162300,163000,161100,160900,160600,160800,160800,162500,163100,164800,167900,170900,172600,171000,170500,171700,171500,
44,Ohio,6,110300,108100,107400,106800,107400,106500,104200,101200,94800,89800,85100,84200,83900,85700,88900,93700,98300,101000,103400,105300,107000,106300,102400,101200,100800,101500,102700,103700,101000,96600,92200,92500,93000,96500,96000,92900,86700,84600,86200,89800,93700,94600,93100,91300,90500,92300,91700,90200,89300,91200,96300,99000,103000,103300,103200,102300,102000,103600,103700,102400,100600,99000,102200,105500,110100,111300,110800,108400,109200,108700,109600,108800,110600,112500,113900,115400,117000,118100,118500,118100,117600,118900,116100,117200,116500,118100,118200,118200,119800,119900,120100,120000,116400,115500,115000,119700,121000,123200,122900,123600,123200,123300,123400,124500,125300,126400,127300,128200,128600,128800,128200,127800,127300,127700,128600,130400,131500,133400,135000,138600,138400,137200,134000,133300,133200,133700,134000,134800,135600,137600,139600,142700,144200,143800,143500,144000,145400,145100,
30,Michigan,7,93700,90500,86300,82000,82300,81300,81100,77100,80600,74800,69500,56300,53300,50300,50300,49300,53200,57400,62800,64400,77100,79800,81500,69800,66900,66800,68400,69200,68600,64700,62900,60500,68100,68700,70700,63400,61500,58700,57000,58400,61300,64200,65700,64400,63500,64200,65400,65500,63000,62900,64500,66900,68800,71000,73700,73100,67800,67500,70100,77900,80800,82900,84500,86600,91500,96200,99600,98100,92700,90800,91600,95200,94400,94500,97200,102900,108000,111100,113000,111600,107700,102900,104800,109000,113900,115300,117900,119900,120800,120500,120500,117700,121200,121000,124500,123700,125400,125900,125100,125300,125800,127000,127700,129500,152000,154400,154700,134500,132900,133700,133000,134300,134000,135100,136100,137200,159600,161000,162800,143700,145200,144800,143900,142000,142500,142500,143300,141600,164100,164200,167000,149300,152300,152800,149600,148000,149600,151500,
16,Georgia,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,108600,108200,105300,100600,95700,95400,96200,97500,96800,97000,97200,97300,98100,100000,103100,104900,105700,106600,110300,113900,116500,116700,118200,119600,122800,126000,130200,131300,130900,129300,128800,128900,129500,129200,128200,129400,133000,137400,140400,140600,141100,140300,142000,142800,144500,145500,150300,151900,153500,151600,153000,155100,156400,156300,156400,158000,159700,159600,158000,157800,157600,158700,158300,158200,158300,160300,161000,162900,162600,165600,165800,167300,166700,167800,168500,169600,171000,172500,175100,176900,179900,180800,182400,181100,181400,181400,180700,183300,184000,187800,188100,191200,192900,194100,194100,195300,196200,198500,199400,
36,North Carolina,9,154400,152800,148300,147000,147200,147200,146400,147500,145300,144800,143300,149700,151600,150500,145600,144200,146000,147300,148800,150100,150500,149300,150400,152100,152600,149300,146100,146200,146900,147100,147400,148200,149000,149500,149000,149700,147500,145800,143600,145100,145600,146900,145200,145500,144300,146000,145500,148000,148800,149900,147900,147700,147500,148200,147800,148300,150200,152000,152400,152500,151700,152600,151800,152100,152900,153600,154200,154300,154300,155300,154900,155000,153400,152600,153400,153400,154400,154100,155200,155300,156500,157300,159700,163300,164800,165400,164200,165400,166000,165800,165300,164700,164200,164500,165300,165600,164700,164900,165100,167000,166800,168800,169300,172100,172500,172400,171100,171200,173000,173400,172500,172700,174300,175900,175600,176100,177400,179100,181300,185700,190200,191900,190900,189000,188900,189000,190700,192000,193600,193400,192900,195000,197100,200100,199800,201100,201900,203400,205300
40,New Jersey,10,333600,333300,325800,312200,306300,302100,299500,297400,299500,300200,296400,294200,296700,295600,289800,280500,278400,276600,273800,274200,275500,276700,277700,280600,287900,289200,285100,279500,277500,278000,274700,272700,273400,278200,279200,280100,279700,279600,275900,273100,272800,271000,267000,261500,257700,256900,255900,258000,262500,267200,267400,266000,265400,266500,263100,261700,261800,262900,263700,264300,265600,266100,267500,270000,273100,276500,276200,277400,275400,277300,278600,279300,284900,283600,283300,277800,279800,281500,277400,273800,272300,276400,278000,278100,278100,279700,279500,279300,276600,274900,272900,272800,274100,272000,270000,269100,271300,269400,267300,266300,270200,273400,276300,276100,275700,279400,277600,278400,272800,272800,270900,268300,265700,264100,266400,268200,268500,269100,271400,272700,274600,277000,278900,278900,276300,275900,273100,272600,272000,274900,278200,282100,285700,288500,291500,292900,294300,294200,
