RegionID,RegionName,StateName,SizeRank,2008-03,2008-04,2008-05,2008-06,2008-07,2008-08,2008-09,2008-10,2008-11,2008-12,2009-01,2009-02,2009-03,2009-04,2009-05,2009-06,2009-07,2009-08,2009-09,2009-10,2009-11,2009-12,2010-01,2010-02,2010-03,2010-04,2010-05,2010-06,2010-07,2010-08,2010-09,2010-10,2010-11,2010-12,2011-01,2011-02,2011-03,2011-04,2011-05,2011-06,2011-07,2011-08,2011-09,2011-10,2011-11,2011-12,2012-01,2012-02,2012-03,2012-04,2012-05,2012-06,2012-07,2012-08,2012-09,2012-10,2012-11,2012-12,2013-01,2013-02,2013-03,2013-04,2013-05,2013-06,2013-07,2013-08,2013-09,2013-10,2013-11,2013-12,2014-01,2014-02,2014-03,2014-04,2014-05,2014-06,2014-07,2014-08,2014-09,2014-10,2014-11,2014-12,2015-01,2015-02,2015-03,2015-04,2015-05,2015-06,2015-07,2015-08,2015-09,2015-10,2015-11,2015-12,2016-01,2016-02,2016-03,2016-04,2016-05,2016-06,2016-07,2016-08,2016-09,2016-10,2016-11,2016-12,2017-01,2017-02,2017-03,2017-04,2017-05,2017-06,2017-07,2017-08,2017-09,2017-10,2017-11,2017-12,2018-01,2018-02,2018-03,2018-04,2018-05,2018-06,2018-07,2018-08,2018-09,2018-10,2018-11,2018-12,2019-01,2019-02,2019-03,2019-04,2019-05,2019-06,2019-07,2019-08,2019-09
61639,10025,New York,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,863000,839200,786100,773700,739200,850000,807300,858500,868600,885100,912300,813400,785700,702300,728400,740000,846100,836700,879300,837700,846900,861200,955500,948400,956700,877300,897300,965800,938200,909300,842000,830000,866300,869200,855300,865000,894500,946200,1008900,1022100,1093200,1019200,987800,904900,936000,920100,909000,921700,923200,1078200,1078200,1054300,956300,994100,1044500,1079300,1009400,926200,923400,922600,1096800,1066100,1242100,1034000,1051200,824100,927800
84654,60657,Illinois,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,399400,378600,377700,391800,408500,383100,377900,381400,391200,384100,374800,379800,370200,356100,342800,342000,312500,317500,301900,319400,314300,328700,330200,327200,333500,349000,339500,321300,313600,317500,335900,320000,325000,319900,319300,311300,307600,310200,319700,336900,353600,357600,360500,364200,374100,332900,330600,321600,369900,389900,387500,389800,391000,417100,440400,448100,422300,385000,376700,402000,423500,422100,412400
61637,10023,New York,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,964600,955700,909100,934200,932000,984000,1067600,1082100,1041600,1041200,1096000,1136600,1093200,1075000,1071200,1086700,1221200,1322300,1242700,1110900,999600,973600,934400,861200,885300,931600,976700,985900,1063000,1105000,1219900,1088400,1088800,951400,1071400,1059100,1049100,980500
91982,77494,Texas,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,267900,259000,255900,256600,268200,267600,262200,250400,243500,251300,259700,270400,269700,271900,277700,285700,283800,278800,274700,277300,278000,277300,279900,283500,286500,283900,285300,288000,294800,292900,285200,287900,291800,307200,306700,317800,315800,316700,305800,301500,306800,311300,313100,304600,303000,304600,307600,309100,313800,316700,317200,319200,317400,326200,327000,330800,329000,326900,327500,319400,317400,318700,324500,325300,326200,325100,318800,326900,328200,340300,346700,348300,349900,337800,338400,324400,319800,314500,325300,328000,336100,330800,334000,330700,332800,326000,319600,
84616,60614,Illinois,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,505100,375500,389100,393400,398200,394400,370800,366900,365500,371600,362100,392800,404900,437600,421800,382300,394000,425800,500200,520000,507600,544100,535700,565400,542800,524400,500400,479000,484900,473900,474500
91940,77449,Texas,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,151500,154500,161600,165700,168900,168500,169600,171500,174000,173500,173000,174100,175400,174000,172200,173700,176500,179600,180800,179300,183900,185300,190000,187600,185200,183100,182400,184900,185300,187500,184500,184500,182600,187900,190100,192500,192800,195000,197000,195900,193900,191000,196800,199500,202000,198000,197200,195500,197100,204800,210500,216800,217000,216900,215100,212100,213100,213100,213300,210100,208900,205200
93144,79936,Texas,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,112300,112900,113300,122100,123400,127700,121500,128400,123600,124700,117500,123700,118600,119300,115800,120100,120400,119100,118300,117400,117000,119800,123900,121300,121200,117700,117200,120500,120600,116600,106200,108300,113700,121500,119500,120800,117500,119200,118600,118800,118100,117600,120700,117100,118200,116500,119900,120100,121400,121100,123300,122400,121400,118200,120200,123600,120900,116800,114100,119500,118300,117200,118000,123800,127900,127600,125200,124200,125200,129200,129200,127100,126200,128300,128600,127000,132400,134000,133500,127800,127900,127300,127100,127500,130600,131400,130200,129800,130500,128800,128100,128200,134000,139300,139900,140100,136200,139200,140500,
61616,10002,New York,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,627100,589100,524400,534700,520300,527900,500600,539100,558200,564100,545500,511200,474700,446700,412700,476300,503300,539400,482800,453700,434400,410500,407700,447500,479300,485700,468200,491100,523000,547200,532900,548000,535500,553700,530700,538100,543900,576400,563800,554600,542000,540300,559600,574700,613700,583300,608200,672000,691400,653900,565000,572700,583100,653900,654200,658800,664700,692900,692600,668100,665400,703000,759400,803400,806200,776200,771200,769800,751300,752100,805400,810400,872000,775900,782900,697300,776600,766400,854000,850500,853500,806800,814200,853700,862300,913100,956500,949000,822000,783900,782800,873400,785600,770400,718900,847700,844100,810100,711800,699700,776700,849900,919700,935800,916900
84640,60640,Illinois,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,237600,240400,240500,230300,234300,224000,224100,228300,246200,258700,259300,246700,232700,224900,219100,204200,185800,187700,204800,232400,231200,233300,232000,228700,227900,231400,237200,246200,248700,259800,252000,251300,239900,236500,234400,233000,234000,230000,219500,217700,214200,236300,218800,208200,224200,250200,265200,243400,232100,235600,243900,239700,249500,232200,246900,249000,272200,291100,284500,274500,268600,274700,255600
97564,94109,California,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1232600,1140400,1040900,998700,1052500,1044300,1083600,1159300,1181200,1056500,1197300,1174000,1282500,1098100,1099400,1026300,1052100,1063500,1101200,1042000,1000500,961700,896600,980400,962200,1033900,1013300,1045700,1076400,1127300,
