SizeRank,RegionID,RegionName,RegionType,StateName,2013-01,2013-02,2013-03,2013-04,2013-05,2013-06,2013-07,2013-08,2013-09,2013-10,2013-11,2013-12,2014-01,2014-02,2014-03,2014-04,2014-05,2014-06,2014-07,2014-08,2014-09,2014-10,2014-11,2014-12,2015-01,2015-02,2015-03,2015-04,2015-05,2015-06,2015-07,2015-08,2015-09,2015-10,2015-11,2015-12,2016-01,2016-02,2016-03,2016-04,2016-05,2016-06,2016-07,2016-08,2016-09,2016-10,2016-11,2016-12,2017-01,2017-02,2017-03,2017-04,2017-05,2017-06,2017-07,2017-08,2017-09,2017-10,2017-11,2017-12,2018-01,2018-02,2018-03,2018-04,2018-05,2018-06,2018-07,2018-08,2018-09,2018-10,2018-11,2018-12,2019-01,2019-02,2019-03,2019-04,2019-05,2019-06,2019-07,2019-08,2019-09
1,9,California,State,CA,92322,92310,91465,94363,102304,100144,105194,103658,100585,110690,98794,87696,92759,91937,97885,112823,109225,116963,128463,121907,119498,125315,112773,101179,95958,97527,99458,113967,106301,112318,123295,116266,121462,109987,103192,92734,83656,87972,100655,100595,104845,119956,116532,125209,112120,107218,103846,82717,80187,84391,93267,87973,100694,94262,93417,101384,92195,88771,87384,68286,76444,77618,82086,88821,104011,101392,105287,116428,110546,118525,103743,90583,96871,93282,96691,101318,112909,105389,116159,105490,103574
2,54,Texas,State,TX,130664,131879,137352,142126,151481,144495,149127,141981,133811,137754,124670,113694,117064,113477,119466,131950,125909,132139,143093,135782,127644,130271,118773,112861,106791,113421,114237,128435,119129,122114,131917,125684,129820,119181,115267,110521,102463,104635,117974,113197,117688,130588,127332,135393,124225,121296,122156,106660,109048,113540,123896,118642,132688,129180,135644,144876,134915,127635,128455,111477,116901,113103,119767,126457,139989,137776,139558,146486,134115,138902,126610,116473,123675,119811,125295,130995,143714,137644,148942,138040,132661
3,43,New York,State,NY,101606,99631,104604,111371,119027,111156,112404,108147,104211,108727,100842,90447,90274,94367,94234,103715,103012,108041,113396,106729,107308,108480,98004,91487,83344,84599,89111,104227,103853,110206,114575,107850,109970,102365,95927,89470,81751,82299,90987,92628,97650,103327,97844,99782,95770,92404,89103,78503,76373,77813,81271,77993,86437,82879,83732,85042,80950,79386,76606,64855,66155,69266,69273,74445,83424,82882,83653,86130,82642,85563,76204,67653,68740,66636,70186,75079,83720,82483,86459,80976,81445
4,14,Florida,State,FL,203194,201270,205725,205424,200239,185685,190271,177751,176199,192713,192027,189554,204043,197105,202695,214932,200078,213059,211881,196967,195361,204601,195152,196420,197138,199561,183284,197171,183867,182683,187570,176625,183954,173545,174279,177178,176161,185008,198252,186951,187856,191648,180151,190416,177021,175721,186226,172537,182951,191518,199333,182556,186132,170889,169644,176627,151853,160112,171047,158963,179187,174996,179259,178841,184108,170516,169168,175904,166835,180366,174019,169485,191619,188319,189248,186499,191022,172325,174945,161460,158278
5,21,Illinois,State,IL,68353,67898,70036,73185,78646,75118,76817,75234,72858,73976,67371,61170,61270,59491,64235,75143,73213,78040,84728,80564,79894,80899,73549,68086,64860,66962,71346,83877,79087,83072,88325,82143,84164,78007,73636,67500,61941,64177,75393,72781,76003,82145,80164,83534,76344,73400,71054,61447,60074,62531,69677,66733,72418,70175,70999,75150,71135,68969,66531,55271,56483,56310,61555,64497,71218,70816,71993,75699,71118,72766,63325,55201,56077,55518,60017,65455,71149,68550,75171,71398,70802
6,47,Pennsylvania,State,PA,71330,70096,73896,78601,85698,84656,86219,82508,81454,83280,77775,71043,70722,66615,69913,81120,81534,84844,88569,85956,85499,86684,78984,73956,68351,67857,71120,79912,76947,81582,86424,83409,84910,79546,75620,71589,65336,65820,72892,73294,75599,80449,76421,79379,74732,72993,71094,61413,59597,60366,64589,62809,69277,66572,67625,70288,66617,65088,65413,54644,55070,53282,54909,58633,64434,62579,61508,64291,60237,62717,55781,49545,50381,47279,48786,51857,56922,55199,58692,54762,54319
7,44,Ohio,State,OH,60334,59425,62309,65266,71570,70451,72738,69765,67922,69124,63027,57603,57298,54368,56055,63155,62945,66485,71750,69404,68293,68885,62359,58145,54088,53734,55447,63248,60202,66573,70392,67631,69049,64519,60647,57658,51785,51815,55986,54329,56501,62270,60040,65301,60670,58365,56055,47468,45941,46434,49790,47832,52172,51066,52336,56132,52236,50258,49112,41185,41704,39415,40721,42883,48643,47834,49281,53169,49170,51348,44763,38987,39515,36696,37746,39307,44316,42823,48019,45414,44745
8,30,Michigan,State,MI,68070,64871,66174,70067,77502,77248,79457,78899,75667,77324,70160,64904,62193,58034,59287,67780,69525,76322,84024,82004,81903,82519,72058,66942,61596,61464,62330,72144,68343,74028,82150,82509,83051,75701,69614,64149,57114,56219,60114,60553,64745,72828,71019,76300,70388,67262,63206,52916,49504,49280,52218,51017,57775,57401,59392,64083,59149,56451,54002,44598,43745,40175,41635,44182,52007,54211,55837,61547,57500,58666,50957,44746,44800,40564,42183,44949,52358,52975,59439,58156,58036
9,16,Georgia,State,GA,64326,61825,65029,66921,70834,68811,71750,69352,69416,73330,69657,63176,64782,62135,67583,72826,71082,73801,78024,73416,72845,75153,70214,68117,65893,66435,72818,82871,77809,80383,85527,82523,83652,78431,74042,71073,65972,66029,72348,70541,75643,83118,77312,80991,74751,72437,72323,64763,63986,65451,70009,66063,70829,67231,67663,70603,63864,63258,63262,55255,57984,55491,56839,58935,63523,61471,62489,65564,60864,63922,58113,53962,57625,59511,56975,58637,64887,60820,65466,61445,60685
10,36,North Carolina,State,NC,85687,84258,88208,93115,97723,96052,97474,93681,91830,95759,90710,81934,83071,78745,83299,92187,91385,92494,96202,91806,90092,87899,81593,77017,72966,74198,77717,84726,75500,78019,81749,78679,79976,75216,70073,68291,64819,67083,72222,72071,74212,79168,75302,77845,72607,69816,67905,59955,58478,60480,64108,60915,64861,63342,63828,66144,62518,61705,61175,53179,54666,53402,56194,58491,63060,60780,59436,60600,54853,57633,51394,46270,48732,47317,49322,51125,56738,52058,56103,52701,51762
11,40,New Jersey,State,NJ,59896,59212,63090,66441,71407,69763,69855,67455,65567,67372,61930,56912,56895,55648,60442,69960,69768,72335,75780,71949,71730,74088,67322,62978,59432,60768,65515,75129,74808,77770,78805,74917,75961,71887,68053,63652,58473,60634,68617,70531,73094,76738,71652,74083,68987,66604,64322,55575,54391,57002,62947,60674,66097,62811,61934,63021,59186,57240,56757,48210,50051,50491,53102,57059,63475,61221,60558,62118,58237,60444,53449,47735,50374,49686,53266,56741,62215,59002,60800,55373,55003
12,56,Virginia,State,VA,46167,45702,47994,51416,55463,53655,56205,53791,52851,55400,52043,46885,47194,47243,50757,59284,58252,60826,64430,60862,61044,61500,55832,52549,49199,49738,52768,63833,61743,64007,66575,62797,64339,59257,55713,51220,46607,52267,54716,56542,58816,61918,59047,60398,55854,53730,51390,44195,43129,45150,50688,49990,54963,52551,52675,54489,50886,48343,49459,42668,42795,42677,46336,50728,54346,49975,48889,50785,46766,48427,42191,36574,36703,35167,37737,40618,45319,42766,45089,41321,40235
13,59,Washington,State,WA,34822,34721,35995,38195,42935,43543,46043,46217,43994,44663,39692,35363,35901,33741,35974,41911,43339,45544,49477,46930,46295,45365,38541,34852,31247,31953,33378,38537,38147,41209,43360,40819,40973,35527,31239,27960,24714,25005,29151,30320,33702,38301,37667,40967,36987,33979,30576,23557,21657,21643,23343,23546,29284,29034,30547,33889,30945,28736,26150,19570,19485,17633,19187,21726,27721,28322,29919,33839,32105,33035,27235,22323,22406,19360,21160,23190,28769,28505,31259,27935,27055
14,26,Massachusetts,State,MA,30624,29844,32988,36777,41054,35050,34582,34358,34777,35265,30471,26031,25116,25902,27166,33489,34712,37013,37947,35190,36164,36263,30724,26582,23120,22271,24226,31067,33209,36008,37224,35015,37807,34539,31179,26831,22585,22020,26727,27185,29140,32066,29052,29866,29124,27995,26025,20256,19004,18847,22099,22233,26643,25192,24480,25479,25156,24351,22872,17387,16831,16619,17634,20394,25216,24614,24062,25584,25624,27653,23188,18851,18965,17813,19451,21647,25954,25184,25804,23137,24433
15,8,Arizona,State,AZ,43796,42425,43258,44204,45103,41258,41803,40897,41294,46694,46319,44684,48560,48640,50399,53555,49841,50170,51116,47375,46976,50199,47733,46563,46140,47945,48782,50855,44531,44177,45957,42438,45489,45300,45061,44254,41500,43601,46385,44015,46929,48092,43993,45539,42583,43313,44926,40404,41677,43323,46374,42785,44186,39637,38328,39645,37040,37805,40198,35331,39222,39335,38767,39293,40837,37179,35504,37409,35093,38502,36286,33754,38544,38141,39103,39501,40933,35803,34930,31271,30540
16,53,Tennessee,State,TN,56988,57086,59367,62334,66617,64351,66358,64264,62526,63404,59316,55621,55982,52748,54192,60015,58615,60185,63457,60236,59369,60217,54386,52001,49512,48775,43203,46042,40733,42255,45299,44950,45319,45618,40219,38306,35603,36519,40068,39916,40854,44377,42094,44184,41705,40740,40119,34767,34298,35418,36557,34780,36901,36009,37788,39370,37532,36577,37117,32682,33546,32215,33303,35129,38114,37725,37932,40341,38088,39454,36062,33382,34848,32990,33492,34126,37360,35950,38618,35940,35574
17,32,Missouri,State,MO,45066,44520,46033,48268,51878,51209,52456,50685,49150,51684,47648,43626,42881,41360,43662,49486,48121,50008,52400,50110,49075,49699,45541,42689,40023,39199,38085,46621,43748,47737,49213,46896,48592,44485,41847,39168,35715,36572,40298,39822,40654,43365,41390,43121,39695,39076,37853,33273,32167,33342,35911,35320,37797,36296,37144,38748,36418,35091,34269,29856,30264,29281,31080,32598,35662,35378,35149,36883,34132,34554,30618,27206,27439,25509,26766,27607,29499,28601,31802,29884,29603
18,27,Maryland,State,MD,25563,25294,25887,27957,30066,29186,29687,28836,27800,29921,28286,25595,26261,24856,27061,33378,33521,35925,38145,35807,36342,37460,34116,31620,30067,29937,31123,37673,36643,38899,40181,37230,39905,36998,35050,32930,28333,28656,33466,33593,34549,37373,35165,36229,34080,33032,31443,26500,25735,25983,28803,28030,31223,29585,29611,30739,29034,28654,31951,27082,27441,27021,28732,31796,33703,29660,29114,30753,28746,30420,26455,23045,23267,21655,23226,25455,28750,27194,28735,26048,26262
19,60,Wisconsin,State,WI,39771,39343,41620,44453,49485,49366,50265,50254,48555,48019,43742,39057,37917,37191,39609,45643,47359,50190,53132,51136,50232,50062,44530,40444,36878,38042,41590,46648,45375,46913,47976,45786,45678,41527,37961,34728,31441,32158,36436,38599,42104,45939,44321,45805,42231,39846,36530,30491,27925,29753,33040,34539,38379,37543,37519,38325,35735,33534,30791,25412,24311,24103,26674,28498,33208,33021,33366,34906,32413,32987,28371,24007,23438,22749,24039,26763,32072,32283,34156,32798,31858
