SizeRank,RegionID,RegionName,RegionType,StateName,2013-01,2013-02,2013-03,2013-04,2013-05,2013-06,2013-07,2013-08,2013-09,2013-10,2013-11,2013-12,2014-01,2014-02,2014-03,2014-04,2014-05,2014-06,2014-07,2014-08,2014-09,2014-10,2014-11,2014-12,2015-01,2015-02,2015-03,2015-04,2015-05,2015-06,2015-07,2015-08,2015-09,2015-10,2015-11,2015-12,2016-01,2016-02,2016-03,2016-04,2016-05,2016-06,2016-07,2016-08,2016-09,2016-10,2016-11,2016-12,2017-01,2017-02,2017-03,2017-04,2017-05,2017-06,2017-07,2017-08,2017-09,2017-10,2017-11,2017-12,2018-01,2018-02,2018-03,2018-04,2018-05,2018-06,2018-07,2018-08,2018-09,2018-10,2018-11,2018-12,2019-01,2019-02,2019-03,2019-04,2019-05,2019-06,2019-07,2019-08,2019-09
1,9,California,State,CA,105173,103167,99117,97062,96959,95356,93526,92799,95203,99271,100597,102240,104536,104723,106866,109608,109137,111264,113937,112437,112872,114822,114622,113329,110975,108740,109353,109824,106699,106871,108793,108787,108610,105277,103907,103701,100426,101262,104271,103035,104369,108533,109535,109186,105466,101719,101044,98060,95409,96851,96594,93814,92556,88776,85581,86470,84919,83393,84594,85846,88302,89757,89544,92266,96116,96097,97088,101547,105318,106980,105803,106238,108053,106350,103893,104371,104586,102993,100815,97054,95708
2,54,Texas,State,TX,143755,143256,142192,142737,143046,139709,135293,131477,130561,131207,128957,127708,128034,126189,126175,126859,124608,125606,127632,125273,124034,124444,123910,123251,122673,122292,122741,122176,117816,116083,117009,117923,119805,118564,118783,120103,117681,117756,118728,115250,115380,118771,119245,120172,119935,119930,121769,121525,122193,125343,125405,123323,123867,123854,125402,129604,129206,127332,127685,127478,127214,126057,125253,128095,131588,130922,129909,131154,132022,132310,130817,131216,133521,132481,130891,132743,134515,134096,132453,128877,128011
3,43,New York,State,NY,112383,111095,110592,111446,110441,106293,103129,101295,100686,102036,101941,101073,102264,102977,102186,101100,99796,101020,102527,101597,101800,101966,100693,99115,96561,95018,97320,100362,100940,102646,103971,103104,101861,99038,97589,97142,94618,93888,94843,93632,93315,93504,91874,91282,90182,88756,88901,88555,88002,87830,85273,81242,79042,76988,76034,76630,75766,75378,75948,76006,77289,77951,76264,75788,76695,76257,76315,77584,78429,78788,77967,77914,78565,77449,76226,76472,76942,76869,76374,75414,75005
4,14,Florida,State,FL,198239,197411,197275,197054,193832,189694,187467,185506,188044,193778,195771,196903,197091,194671,197005,200955,202880,208760,209986,205298,205465,205383,202078,199470,195974,189207,183382,183115,182652,183463,185225,186198,186986,181887,179137,179459,176988,180259,184592,182692,184178,187095,187313,189510,187581,184337,184598,181937,180817,185309,185575,180276,176867,173658,173522,173691,167706,166543,169803,170533,171414,170941,170353,172812,174727,172873,173106,176988,180180,181261,179036,179714,183574,183060,180469,180788,180449,176981,172938,169110,168485
5,21,Illinois,State,IL,77875,76481,74004,73143,73095,71068,68998,68249,68605,69457,69656,70153,70335,69064,69501,71343,71604,73156,75020,74609,75142,76189,76188,76081,75766,75482,77117,78984,77986,78045,78471,77320,76902,75795,75341,75119,73542,74423,75709,73717,73436,74756,74470,73927,72096,70828,71370,71041,70778,71766,70974,68415,67145,65576,64769,66054,66200,66121,66445,65972,65932,65735,64813,65001,66153,65857,65576,66541,67246,67192,65762,65058,65545,64852,64090,65106,65793,65509,65534,65075,65222
6,47,Pennsylvania,State,PA,79737,79534,79196,79860,80983,80555,79002,77420,77288,78031,77745,77748,77866,76555,76920,79096,79603,80254,81158,80781,81056,81060,79907,78883,77656,76796,77490,77662,76220,77001,78708,78865,78377,76519,75831,76057,74932,75319,76150,74494,73675,73704,72528,71863,70682,69581,69360,68345,68030,68929,67945,65625,64486,63089,62497,63145,62413,62190,62823,62367,62229,61734,60238,59916,60042,58405,57012,57067,57172,57021,56123,56209,57042,55931,53932,53130,52767,52185,51449,50164,49751
7,44,Ohio,State,OH,67334,67299,67228,67977,68779,67790,65853,63994,63497,63852,63263,63094,63331,62389,62291,63227,62982,63465,64337,63671,63534,63649,62975,62367,61655,61059,61835,62463,61692,62546,63297,62647,62380,61218,60877,61073,59811,59562,59379,57272,56616,56991,56553,56815,56058,54869,54445,53308,52899,53765,53294,51449,50105,48490,47699,48211,47511,46942,47327,47329,47402,46866,45747,45849,46325,45285,44684,45219,45520,45630,44852,44569,45029,44151,42663,42258,42042,41437,40921,39937,39590
8,30,Michigan,State,MI,76596,75793,74806,75023,75399,73612,70989,69029,68658,69652,70184,70599,70474,69142,69066,70183,70617,72322,73857,73291,73859,74286,72923,71929,71520,71426,72521,72850,70554,70437,72513,73371,72863,70558,69280,68779,67225,67069,67191,65646,65600,66207,65145,64311,62852,61558,61135,59634,58835,59663,59113,57208,55918,53898,52471,52480,51458,51031,51727,51719,51574,50978,49817,49719,50531,49995,49309,49933,50575,50978,50782,51280,52207,51522,50357,50340,50591,50387,49998,49293,49217
9,16,Georgia,State,GA,69387,68365,67189,67071,67178,66520,65940,65940,67587,69850,70097,69604,69513,69205,70011,70752,70022,70657,71363,70394,70795,71798,72085,72492,72337,72871,76204,78793,77539,77519,79061,79525,79322,77142,75583,74951,72945,72457,72778,72015,74045,76298,75274,74468,73014,71550,71693,70885,70162,70973,70335,68031,66532,64743,63896,64123,62698,62027,62531,62377,62247,61120,59467,59379,59650,58753,58636,59563,60129,60356,59810,60350,62701,62996,60456,59639,60091,59525,58961,58209,58308
10,36,North Carolina,State,NC,92171,91413,90996,92102,93302,92773,91274,89758,90084,91833,91350,89706,88504,86689,86897,88850,89027,89126,89332,88093,86814,85224,83600,82415,81022,80406,81069,79776,75616,74341,75259,75415,75338,73509,72490,73097,72881,73292,73320,71791,72138,73061,72208,71586,70138,68477,67992,66761,65856,66218,64753,61875,60752,60015,59677,60383,60180,60268,60924,60709,60409,59645,58376,58251,58611,57214,55507,54627,53977,53897,53284,53299,54129,53310,51543,51295,51440,50474,49741,49105,48691
11,40,New Jersey,State,NJ,67909,67019,65707,65173,65224,64629,63840,63288,63475,64129,64191,64494,64627,63767,64337,65857,65918,67001,68604,68575,69386,70401,70091,69517,68670,68170,69411,70966,71080,71752,72254,71895,71725,70571,70090,69804,68288,68558,69734,69002,68790,69030,68257,67983,66750,65287,64906,63827,63285,64222,63480,60894,59318,57895,57192,57606,56781,56292,56957,57182,57621,57353,55984,55962,56692,56113,55920,56600,56917,56860,55996,56204,57433,57004,55744,55522,55414,54763,53839,52508,52369
12,56,Virginia,State,VA,53072,52146,50848,50338,50487,50338,50190,50028,50801,52560,53340,53650,54035,53846,54560,55646,55616,56681,57891,57672,58204,58628,58178,57933,57080,56078,57303,59281,59268,59685,60269,60002,59788,58322,57228,56598,56102,57179,57076,55375,55414,56016,55404,54792,53564,52375,51938,51151,50849,51743,51637,50114,49464,48766,48422,48995,48257,47975,49253,49830,49685,49313,49008,49235,48675,46383,44988,45175,45310,45191,44118,43443,43235,41861,40283,39767,39811,39577,38949,37870,37417
13,59,Washington,State,WA,41586,41484,40846,40425,40440,40130,39856,39584,39695,40480,40821,41227,41696,41265,41548,42413,42084,42110,42280,41380,41187,41080,40240,39487,38785,38566,38989,38814,37576,37137,36640,35472,34526,32966,32353,32542,32040,32413,33128,32583,32583,33165,33144,33155,32179,30975,30456,29355,28548,28529,27737,26687,26377,25666,25541,26356,26076,25683,25860,25664,25447,24946,24229,24383,24977,24783,25069,26479,27717,28365,28119,28011,28014,27032,26037,25903,25924,25490,24340,22614,21846
14,26,Massachusetts,State,MA,36631,36465,36513,36893,35883,32972,31318,31243,31283,31244,30808,30705,31330,31620,31792,32252,32423,33236,33723,32867,32451,32146,31284,30499,29516,28530,28808,29975,30858,32205,33092,33031,32817,31802,31105,30547,29173,28836,29042,27736,26949,27201,26747,26265,25570,25049,25185,25e3,24866,25141,24716,23576,22828,22027,21662,21962,21599,21426,21919,22169,22452,22325,21462,21223,21551,21310,21370,22058,22712,23275,23238,23471,24133,23861,22971,22523,22412,22243,21804,21001,20580
15,8,Arizona,State,AZ,43268,42277,41619,42175,42607,42223,42228,42740,43937,45556,46340,47109,48094,48353,49075,49808,49499,50167,50733,49724,49288,49109,48414,47828,47199,46986,47409,46712,44627,44527,45422,45590,46101,45647,45299,44884,43246,43045,43399,43260,45015,46541,46193,45932,44959,43933,43810,43022,42336,42937,42999,41922,41141,40157,39770,40190,39367,38649,38834,38732,38862,38413,37315,37420,37929,37357,37190,37883,38029,37557,36673,36820,37843,37719,37229,37618,37639,36524,35032,33539,32825
16,53,Tennessee,State,TN,60724,61192,62062,63490,64527,63839,62587,61371,60485,60061,59329,58929,58527,57419,57779,59045,58918,59055,59128,57871,57134,56470,55155,54243,53348,51010,47769,44852,42018,41107,41787,42206,42671,42143,40991,40328,39801,40504,41561,41072,41132,41464,40607,40182,39504,38802,38822,38148,37873,38623,38192,36667,35828,35277,35238,35715,35221,34952,35743,36131,36121,35952,35811,36331,36952,36489,36018,36406,36497,36295,36109,36524,37099,36651,35814,35691,35885,35601,34855,33780,33251
17,32,Missouri,State,MO,49674,49414,48848,48866,49386,49052,48239,47417,47487,48344,48111,47488,47152,46648,47147,47950,47531,47531,47797,47095,46814,46826,46334,45767,44919,43412,43072,44037,44081,44539,44862,44569,44469,43195,42309,41985,41176,41507,41790,40444,39793,39687,38956,38490,37712,37284,37493,37127,37066,37839,37629,36408,35523,34439,34015,34412,33972,33593,33859,34031,34209,34072,33485,33314,33566,32981,32354,32412,32235,31859,31243,31075,31159,30349,29106,28209,27564,27250,27269,26947,26732
18,27,Maryland,State,MD,29552,29225,28258,27630,27525,27143,26849,26650,26799,27642,28274,28933,29578,29458,30071,31483,32281,33509,34538,34398,34711,35012,34568,34347,34255,33949,34426,35411,35647,36304,36688,36521,36746,35913,35236,34798,33404,33458,34246,33414,33172,33774,33577,33314,32589,31571,30827,30034,29842,30306,29847,28620,28148,27672,27509,27922,27597,28245,30122,30876,31100,31218,30996,31096,30340,28224,27316,27748,27915,27692,26796,26432,26657,26095,25296,25299,25650,25675,25367,24696,24525
19,60,Wisconsin,State,WI,46812,46202,45333,45204,45571,45236,44821,44799,44929,45164,45042,44900,44797,44137,44081,44775,45015,45845,46702,46386,46507,46804,46281,45517,44821,44777,45530,45288,43459,42433,41988,41294,40767,39757,39420,39638,39174,39154,39467,39182,39580,40234,39952,39547,38642,37697,37206,36257,35723,36188,36149,35395,34616,33423,32612,32502,31960,31483,31471,31357,31210,30842,30038,29503,29392,28840,28571,28935,29318,29780,29764,29819,30066,29262,27943,27706,28208,28395,28277,27952,27793
