RegionID,RegionName,SizeRank,2008-03,2008-04,2008-05,2008-06,2008-07,2008-08,2008-09,2008-10,2008-11,2008-12,2009-01,2009-02,2009-03,2009-04,2009-05,2009-06,2009-07,2009-08,2009-09,2009-10,2009-11,2009-12,2010-01,2010-02,2010-03,2010-04,2010-05,2010-06,2010-07,2010-08,2010-09,2010-10,2010-11,2010-12,2011-01,2011-02,2011-03,2011-04,2011-05,2011-06,2011-07,2011-08,2011-09,2011-10,2011-11,2011-12,2012-01,2012-02,2012-03,2012-04,2012-05,2012-06,2012-07,2012-08,2012-09,2012-10,2012-11,2012-12,2013-01,2013-02,2013-03,2013-04,2013-05,2013-06,2013-07,2013-08,2013-09,2013-10,2013-11,2013-12,2014-01,2014-02,2014-03,2014-04,2014-05,2014-06,2014-07,2014-08,2014-09,2014-10,2014-11,2014-12,2015-01,2015-02,2015-03,2015-04,2015-05,2015-06,2015-07,2015-08,2015-09,2015-10,2015-11,2015-12,2016-01,2016-02,2016-03,2016-04,2016-05,2016-06,2016-07,2016-08,2016-09,2016-10,2016-11,2016-12,2017-01,2017-02,2017-03,2017-04,2017-05,2017-06,2017-07,2017-08,2017-09,2017-10,2017-11,2017-12,2018-01,2018-02,2018-03,2018-04,2018-05,2018-06,2018-07,2018-08,2018-09,2018-10,2018-11,2018-12,2019-01,2019-02,2019-03,2019-04,2019-05,2019-06,2019-07,2019-08,2019-09
9,California,1,25124,25557,25870,27307,29268,30444,32937,34578,34784,35369,36504,39370,38933,36867,34272,34063,34987,34958,35336,35208,36275,37286,37424,38221,37305,36083,34630,33683,32259,30633,29871,29757,30700,32135,34867,36505,36729,34974,32918,31560,30835,31508,31695,31762,32113,33063,35726,38098,38452,36880,35192,34098,33961,33756,32937,33875,34663,37208,38871,40168,39657,38326,37266,36076,36414,36166,36427,35832,34982,35132,35843,36774,36189,35594,34754,34872,34826,34565,35139,35407,34894,35253,35360,37066,37376,37954,37816,38690,39526,39444,39376,38066,36974,37260,37883,40126,39596,39168,38248,38649,38353,38987,39054,39524,40463,40716,42335,41969,42351,40256,40185,40556,40955,41337,40454,40846,40442,39631,40073,40132,40763,39909,39439,38816,38617,38097,36230,35837,34928,34708,34959,36363,37509,37247,37039,36542,37072,36430,35985
54,Texas,2,27805,26574,24865,24862,24665,24246,23268,22523,21499,21360,21174,22382,22774,22282,21054,21172,22212,22776,22796,22580,24680,25093,24563,23168,23477,24639,24732,24622,22479,20992,19263,19275,20316,20916,22588,22263,22772,21780,21619,21213,20811,21434,21197,21243,21266,21669,22380,23110,23432,23315,23085,23291,24120,23997,23253,23592,23819,24712,25748,26818,27421,28136,28286,28591,28360,28787,29053,28422,27876,27704,28212,28153,28229,28119,28383,28939,29146,27758,28355,28680,30055,29944,29795,29827,30003,29537,29499,29932,30996,31286,31040,30587,30281,30499,31016,32946,33023,32483,31150,31438,31542,32562,32267,32157,32673,32847,34456,34454,35175,33680,33475,33294,33613,32965,31966,32562,34056,34752,36411,36583,36725,35845,35665,36027,35721,35469,34332,34128,33911,33539,32989,32010,31969,31572,30903,29459,28483,27408,
43,New York,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9442,9709,9993,10892,11479,11152,10791,10287,10278,9728,9053,8550,8331,8719,8968,9221,9309,9438,9704,9591,9366,9054,8967,8970,8868,9411,9825,10269,10303,10581,10586,10639,10892,11401,11649,11454,11416,11360,11153,10953,10901,11334,11475,11811,11647,11740,11858,11775,12043,11665,12101,12160,12530,12124,12260,12737,13217,13549,13310,13670,13667,13691,14217,14981,15484,15002,14628,14431,14823,14871,14824,14999,15058,15742,16574,17433,17782,17589,17536,16963,17097,16514,16874,16665,16703,17130,17200,17088,16475,15993,16109,16185,16378,15896,16211,16061,15819,15355,14821,15106,15455,15821,15728,15601,15794,
14,Florida,4,18101,17568,17294,17753,18186,17845,18025,17957,17966,17893,18556,19837,20571,20285,20214,20883,22058,22576,23111,23773,25327,26059,26339,25587,25795,25433,25347,25067,24598,24101,23444,23282,24174,24980,27411,28648,29651,28573,27547,26276,25110,25231,25039,24876,25212,25372,26822,27132,27655,27532,27467,27091,26889,26821,26840,28243,29868,31364,32984,33488,33763,33289,33316,33586,33794,33876,34212,34288,34383,34746,35276,35708,35505,35216,35171,35456,35827,35533,36338,37173,38242,39352,38798,39396,39451,40288,39548,40076,40534,40710,40636,39913,40261,39562,39121,39641,39422,39250,38284,38659,38290,38855,38123,37996,38545,38865,40091,39747,40751,39956,40722,40711,41180,41105,37589,37647,37298,39639,40800,40834,41853,41715,42437,42466,42271,42101,41041,41154,41585,41145,41184,39853,40826,40449,40320,38274,38219,37970,
21,Illinois,5,14942,14424,13048,12554,12620,12447,12592,12218,11704,11135,10615,11258,11575,11749,11065,10884,11317,11594,11981,12296,13722,14513,14265,13930,13747,14163,13753,13541,12642,11598,10348,9695,10014,10518,11481,11931,12276,11634,11105,10745,10621,10898,10714,10805,10947,11461,12519,13402,13645,13098,12419,12242,12167,12442,11924,11979,11641,12042,13357,14279,14537,13936,13204,13052,13683,14247,14730,14787,15259,15678,16160,16514,16203,15671,14916,15126,15020,14654,15320,15973,16261,16296,15640,16577,16509,16859,16211,16569,17450,18661,19282,19214,18668,18337,18216,20101,20482,20804,19686,20077,20216,20638,20058,19323,18942,19120,20168,20738,21477,20896,20835,20427,20377,20262,19330,18991,18746,18777,19084,18914,19423,19701,19949,20146,19735,18741,17266,16780,17017,17302,16545,16604,16677,17613,17572,17540,17717,17367,17636
47,Pennsylvania,6,12771,12465,11425,11167,11112,10932,10847,10379,10006,9455,8968,9111,9185,9377,9017,9210,9764,10241,10545,10433,11229,11375,10701,9814,9817,10664,10889,11214,10754,9935,8775,8207,8506,8688,9141,9720,10039,9852,9289,9142,9160,9435,9159,8970,8821,8917,9548,10302,10532,10357,9922,9828,10054,9971,9517,9400,9739,10398,10960,11420,11470,11486,11223,11324,11619,11690,11976,11601,11435,11305,11404,11641,11554,11415,11113,11435,11708,11870,11830,11820,11816,12137,12139,12887,13099,13268,12667,12635,13482,13730,14025,13574,13552,13437,13468,14724,14922,14919,14156,14487,14613,14899,14559,14163,14291,14444,15426,15934,16470,15917,15549,15272,15313,15279,14951,15141,15437,15546,16247,16470,16681,16488,16174,16302,16226,16356,15970,15782,15733,15799,15872,16076,16386,16568,16397,15995,16044,15863,
44,Ohio,7,13480,12998,11896,11803,11639,11258,11212,11145,10829,10650,10254,11076,10955,10947,10025,9964,10162,10448,10741,11029,11649,11931,11654,11552,11485,11876,11950,11987,10852,9720,8969,8966,9195,9444,10317,11100,11382,11002,10466,10031,9727,9754,9824,9871,9813,9929,10699,11821,12102,11686,10828,10451,10221,10010,9696,10012,10242,10862,11848,12993,13335,12999,12643,12785,13060,13074,12969,12773,12535,12469,12411,12666,12242,11867,11490,11915,12242,11892,12060,12195,12388,12810,12973,14138,14177,14384,13859,14058,14230,14256,14069,13718,13086,12871,13430,15138,15415,15206,14579,15134,15075,15218,15180,15161,15146,15247,15947,16592,16839,16502,16385,16421,16352,16383,16203,16667,16656,16689,17053,17230,17313,17026,16897,16787,16697,16814,16580,16823,16754,17110,17339,18227,18279,18498,18010,17874,17848,17414,
30,Michigan,8,12749,13009,12147,11797,11344,10875,10937,10900,10067,10203,10356,12195,12827,13393,12890,12181,11967,11775,11959,11412,11033,11898,12453,14091,14256,14977,14209,13597,12107,11104,10300,10150,10072,10734,11673,13333,14001,13962,12964,11901,11306,11635,11661,11451,11401,11770,12769,14452,15299,15378,14183,13363,12958,12667,12408,13062,14209,15116,15816,16385,16633,16426,15464,15087,14833,14696,14877,14941,15238,15370,15219,15271,14593,14365,13554,13595,13765,13701,13969,14012,14454,15433,15272,15556,14957,15442,14777,15068,14867,15310,14918,14919,14608,14852,14908,16291,16538,16681,15992,16028,15957,16200,16459,15657,13944,13640,14899,16922,17441,16761,16758,16770,17179,17270,16660,16581,14835,14785,15195,16594,16786,16667,16908,16813,17036,17075,16874,16507,14722,14627,14263,16274,16679,17010,16493,16000,16441,16585,
16,Georgia,9,13570,13300,12451,12235,12309,12180,12449,12623,12467,12132,10751,10263,9998,10001,9775,9673,10347,10924,11009,11062,11576,12184,11256,10796,10495,11219,11024,10769,10152,9684,9755,10634,11597,11687,11324,11224,11327,11075,11030,11040,11778,12973,15046,16880,18208,17972,18643,19701,20727,20864,20353,20958,21501,21925,21523,21923,22490,22483,22688,22684,22814,22201,21590,21657,21992,22203,22065,21884,21640,20959,20698,20499,20948,20324,20225,20140,20822,20810,21032,21134,21133,20931,20425,20512,20579,21092,19038,17766,15932,16052,17423,18500,18198,18092,17876,20528,21012,21828,21679,22625,22164,21703,20338,20139,20036,19972,18494,17382,16948,17399,18175,18173,18479,18200,17608,17841,17971,18469,17617,17575,17551,18618,18890,19199,19354,19632,18861,18805,18593,18432,17362,17084,17670,18737,19071,18901,19425,19375,
36,North Carolina,10,10828,10408,9577,9483,9385,9085,8860,8444,7776,7381,7140,7719,7758,7652,7199,7355,7841,8042,8296,8402,8961,8962,8582,8268,8282,8771,8830,8935,8167,7551,6993,6943,7075,7400,7805,8111,8040,7864,7573,7408,7190,7342,7288,7197,7095,7174,7745,8390,8555,8327,7963,7844,7762,7621,7463,7682,8018,8658,9410,9921,9967,9941,10015,10134,10218,10222,10223,10110,9966,10081,10422,10659,10545,10211,10117,10309,10596,10468,10370,10444,10447,10984,11112,11609,11622,10892,10032,10109,11328,12082,12147,11724,11298,11130,11372,12685,13144,13440,13301,13851,13881,14212,14235,14262,14691,14892,15866,15932,16370,15743,15502,15401,15393,15712,15748,16298,16367,16115,16269,16325,16387,16204,16148,16262,16118,16354,15417,15472,15083,15317,15432,15786,16262,16062,15995,15935,16295,16337,16153
