RegionID,RegionName,SizeRank,2008-03,2008-04,2008-05,2008-06,2008-07,2008-08,2008-09,2008-10,2008-11,2008-12,2009-01,2009-02,2009-03,2009-04,2009-05,2009-06,2009-07,2009-08,2009-09,2009-10,2009-11,2009-12,2010-01,2010-02,2010-03,2010-04,2010-05,2010-06,2010-07,2010-08,2010-09,2010-10,2010-11,2010-12,2011-01,2011-02,2011-03,2011-04,2011-05,2011-06,2011-07,2011-08,2011-09,2011-10,2011-11,2011-12,2012-01,2012-02,2012-03,2012-04,2012-05,2012-06,2012-07,2012-08,2012-09,2012-10,2012-11,2012-12,2013-01,2013-02,2013-03,2013-04,2013-05,2013-06,2013-07,2013-08,2013-09,2013-10,2013-11,2013-12,2014-01,2014-02,2014-03,2014-04,2014-05,2014-06,2014-07,2014-08,2014-09,2014-10,2014-11,2014-12,2015-01,2015-02,2015-03,2015-04,2015-05,2015-06,2015-07,2015-08,2015-09,2015-10,2015-11,2015-12,2016-01,2016-02,2016-03,2016-04,2016-05,2016-06,2016-07,2016-08,2016-09,2016-10,2016-11,2016-12,2017-01,2017-02,2017-03,2017-04,2017-05,2017-06,2017-07,2017-08,2017-09,2017-10,2017-11,2017-12,2018-01,2018-02,2018-03,2018-04,2018-05,2018-06,2018-07,2018-08,2018-09,2018-10,2018-11,2018-12,2019-01,2019-02,2019-03,2019-04,2019-05,2019-06,2019-07,2019-08,2019-09
9,California,1,23348,28423,31205,32855,36514,35148,36207,38678,29080,35668,28849,28757,35585,36962,36810,41526,42014,36664,37189,38262,32674,37827,26453,27130,36377,36045,38105,39837,33145,32545,32199,30145,28994,34373,26394,26066,36227,34247,34373,38195,33606,36607,33711,31128,30662,34385,26919,28934,36627,35630,40170,39608,37040,39423,31824,36985,34147,37243,28807,29345,36992,39247,42955,39699,42446,42058,35241,37216,31781,33500,26951,26721,32896,38799,39538,39496,40683,38603,36033,38262,29906,34849,26388,26920,36977,41700,42232,47042,46703,41898,40595,38915,30989,38917,27926,28912,38664,40806,42741,47358,41951,44835,41286,40054,38953,39470,30813,29529,41973,39835,46601,51182,43268,47835,41666,41025,37696,36740,28985,29460,39895,41045,45134,45173,42529,43314,33410,37916,32640,30707,26457,28401,35200,39120,44344,40043,42958,42110,33358
54,Texas,2,25027,27263,27949,29172,29642,26483,22433,23005,16324,20146,15741,17401,22789,22158,22884,26995,28303,24819,23658,23446,22825,22851,15331,17488,25434,26751,27592,29263,22246,22435,20161,18969,18523,20187,16800,15982,23194,22174,24367,25589,23258,26509,21625,19932,18919,20959,15464,18681,23447,22920,28334,28080,28407,27892,22215,25188,20405,22907,19829,20775,26398,32117,32917,31873,34921,34378,28693,27838,23117,25781,20583,20717,27855,30653,33218,34474,34828,28402,32002,30614,23592,28988,21155,21344,31601,30392,33151,38400,37546,34135,32794,30605,23535,30656,22542,25505,33083,32248,35160,39608,36241,38669,33695,30520,28782,31357,24767,25951,35815,32585,39761,41110,37374,37498,32803,33587,30358,32037,27024,27756,34765,37922,42661,41833,41119,41766,33003,34389,29183,29156,22961,24144,31114,33328,35335,31103,33655,31600,
43,New York,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9415,8553,8227,9868,9717,9798,11618,11762,12420,10221,9086,8183,8692,8023,6907,7656,7960,9409,10799,10678,11119,10179,10010,8632,9021,9137,7627,8400,8902,10785,10913,12563,14646,13095,12950,10796,11897,9859,7916,9098,9383,11617,12260,14214,14154,13081,14105,10740,12839,9919,9312,10510,10494,10988,14076,16248,15749,15787,14872,13252,14479,11550,11463,13614,12400,13575,16434,16559,18709,17272,15818,15015,16035,13987,13515,15110,14368,17105,19422,17992,22236,18233,18562,16643,16851,15441,13075,13316,13370,15684,17649,18859,20645,16733,19248,15578,14598,13671,10893,12501,14063,15315,15908,19114,20178,
14,Florida,4,17574,19622,19891,20712,20939,17687,17943,18369,13903,18382,16374,16373,21705,22078,22883,25933,25828,23274,23365,24839,22186,26428,20689,19385,28517,27894,27084,30065,26194,23978,23374,22757,21065,26663,24077,23110,31290,30287,29143,29656,26280,27907,24382,22830,22747,25759,21825,22482,28812,30283,31532,30053,29449,29559,25330,30216,27294,30770,28183,27295,33303,38062,38641,37174,38537,36755,32239,34396,29083,34518,28984,28830,35735,39800,40564,39874,40803,37361,35874,38624,32015,40537,29839,32033,42899,44735,42721,48510,45996,40909,40583,38675,32981,39964,30146,32768,41426,41821,42989,46379,40372,42415,36875,35431,34670,39191,31459,32297,44497,41604,48223,48385,42918,45297,30469,38227,34667,38644,33560,33206,43969,46736,49355,47947,45838,46058,37242,40979,37230,37284,33133,32365,42388,45344,45269,39054,44912,41950,
21,Illinois,5,11626,12909,13631,14963,16181,14743,13884,13447,9190,9922,8080,7445,10080,10975,11247,13892,15135,13712,13731,14781,13584,13539,9619,8684,12170,13685,14389,16797,13612,12379,10886,10188,9701,10396,9222,7447,10596,10039,11756,13974,11944,14286,11904,11144,10598,11266,10098,8843,11144,11455,13795,15444,13871,16581,12111,12772,10971,11125,11808,9168,11052,13506,14213,15402,18983,18123,15401,17421,14215,13897,13108,10360,12176,15396,16295,18373,18626,17031,18671,19071,12948,15549,11643,10547,14346,16108,16984,22058,23107,23641,21820,20750,15472,17146,14022,13987,16990,19107,21677,26001,24100,26017,21360,19437,17609,18165,15792,13069,18862,18727,23474,25739,22941,26062,19951,19699,18001,16597,14276,12001,16808,19304,22553,25017,22336,21770,17501,18661,16205,15267,11131,11186,14445,17178,20132,20752,21856,21421,19482
47,Pennsylvania,6,10032,11056,11886,13332,13715,12487,11458,11240,8636,9164,6467,5839,7927,8728,9368,11982,12970,12078,11517,11738,11596,11337,6380,5885,9583,10482,11365,14821,11538,9601,9317,8871,8284,9366,6989,6401,8727,8308,9718,11881,10518,11735,9569,9189,8681,9343,7605,6974,8480,9122,11170,11722,12290,12044,8858,11082,10290,10379,8725,7481,8894,11082,12649,13021,15001,14240,12374,12752,10576,11310,8804,7263,9327,10739,12129,14444,14492,13991,12581,13502,10837,12874,9090,8357,11416,11978,13126,16126,18108,15404,15137,15401,11882,13969,10431,9953,12305,13185,15476,18718,17040,18140,15379,14586,14425,15012,12026,10240,14053,13636,17285,18986,17306,18979,15654,16797,15548,15136,12881,10449,13324,15745,17841,19425,19536,20191,15854,17613,15520,15195,12016,10396,13627,15719,18212,17922,19955,19475,
44,Ohio,7,10956,12133,12984,14063,13951,12682,12273,12415,9050,9859,7299,7631,9733,10255,10304,12572,12984,12208,12054,12679,11356,10930,7720,7407,10977,12030,13258,14568,10385,10240,10442,9393,8691,9482,7986,7316,10470,10123,11047,12172,11048,12067,10981,10151,9305,9576,8264,8378,10561,10409,11830,12502,11653,12050,10029,11563,10117,10146,9642,8965,11313,12586,14548,15396,16048,15817,13260,13901,11732,11001,8980,8342,10055,11538,13383,14777,14976,13228,13596,13991,10934,12613,9505,9551,12987,14002,15009,17801,17380,16359,15120,14611,11032,12160,10742,10655,13191,14509,16607,19374,17167,18517,16995,15480,14490,14603,11608,10934,15601,15352,18812,20642,18144,20495,17656,17915,16053,14977,12494,11087,15525,16746,19039,20011,19738,21057,16922,18646,16331,15236,12693,12631,15704,18527,20544,20149,22096,20681,
30,Michigan,8,9641,10981,11801,12170,12622,12261,12552,13266,10275,9744,9631,8433,10810,11573,11900,12581,14177,13363,13383,13114,13266,12226,10515,9499,12038,12900,12803,14603,11642,11556,12063,11825,12449,10721,10563,9145,11826,10988,11547,12795,12159,14786,13064,12163,16117,10724,10945,10961,12265,11692,13845,14221,13696,15307,13533,16845,21370,12448,13475,11396,12451,13608,15236,15967,16665,17492,16806,17915,20457,12919,12125,9981,10648,12137,13439,14879,16181,15631,15999,17325,18975,14476,11690,9701,12322,13523,13432,18039,16732,17414,16951,17765,17998,13314,12529,11303,13274,13519,15909,18494,17161,19629,19633,15382,14969,13922,13832,11047,14512,12760,17557,20129,17783,21034,18327,18598,16386,13595,13983,10554,13407,14368,17506,18240,19230,20793,17807,19114,15973,13086,12439,11509,13440,13912,16751,16944,19370,20272,
16,Georgia,9,12684,13679,13531,13576,14225,13065,12723,13124,9741,10750,8166,7764,11026,10085,10126,12094,12499,12072,10869,11241,10743,11649,7650,8753,11907,11743,11615,12566,10000,9998,11239,11409,10319,10559,9259,9237,11934,10622,12807,13505,13257,16848,18081,17052,16608,15937,16966,17832,20649,21371,23278,25374,23614,24675,21058,22108,20678,19299,20282,18989,21634,23075,24560,24648,24675,25231,21216,21371,18964,17590,18421,16940,20721,20743,23432,23095,23422,23347,20934,21076,18143,18648,17528,16881,20725,23259,16682,19036,17813,17059,20824,18911,12459,18814,16341,17892,22174,22757,24597,28264,21767,22977,20706,18739,17585,18820,12935,13454,19394,17393,21526,21882,18776,20534,17424,17330,16304,17359,13289,14877,19031,19791,21800,22537,20735,22704,17463,18236,17084,15578,13537,15021,18920,20096,22218,20769,22248,22005,
36,North Carolina,10,9420,10272,11151,11147,10962,9930,8566,8227,5885,6807,5262,6022,7400,7556,8189,9599,9999,8747,8733,8963,8247,8068,5487,6004,8675,9766,9961,10966,8085,7663,7408,6838,6271,7751,5647,5744,8083,7910,8309,9256,7950,8696,7513,6600,6445,7158,5829,6619,8154,8020,9473,9514,8541,8828,7412,8041,7714,8637,7219,7357,9380,10739,12216,11876,12110,12025,9856,10129,8902,9425,7820,7727,9744,10669,12225,12586,12737,11579,10145,11232,8950,10872,8145,8329,11672,9908,10510,14519,15130,12943,12243,11810,8858,10836,8792,10018,12970,14114,15787,17830,15635,16667,14864,13594,14019,14287,11583,11504,16599,15386,17844,19878,16904,18649,16601,16262,14587,14626,11728,11943,15836,17002,19209,19734,18210,19705,13534,15906,14179,13152,11398,12255,15499,16455,19679,18684,19357,19499,14940
