SizeRank,RegionID,RegionName,RegionType,StateName,2013-01,2013-02,2013-03,2013-04,2013-05,2013-06,2013-07,2013-08,2013-09,2013-10,2013-11,2013-12,2014-01,2014-02,2014-03,2014-04,2014-05,2014-06,2014-07,2014-08,2014-09,2014-10,2014-11,2014-12,2015-01,2015-02,2015-03,2015-04,2015-05,2015-06,2015-07,2015-08,2015-09,2015-10,2015-11,2015-12,2016-01,2016-02,2016-03,2016-04,2016-05,2016-06,2016-07,2016-08,2016-09,2016-10,2016-11,2016-12,2017-01,2017-02,2017-03,2017-04,2017-05,2017-06,2017-07,2017-08,2017-09,2017-10,2017-11,2017-12,2018-01,2018-02,2018-03,2018-04,2018-05,2018-06,2018-07,2018-08,2018-09,2018-10,2018-11,2018-12,2019-01,2019-02,2019-03,2019-04,2019-05,2019-06,2019-07,2019-08,2019-09
1,9,California,State,CA,27498,30963,30136,28687,33392,33469,37625,35604,28502,34760,26560,16971,28722,28564,32607,38750,37977,34343,39353,33774,28125,32362,25153,18704,27613,28052,31206,38160,33928,32069,37201,31346,33899,29411,22622,17713,23623,26476,35722,34877,32843,37971,33675,37019,31261,26543,24430,15922,20734,21859,31973,33108,40372,35720,29741,34756,29460,25554,23873,15258,28518,32576,32944,33786,41736,36981,32369,36340,30814,35074,24485,15068,29137,28236,31885,33065,37024,33073,37520,32189,27352
2,54,Texas,State,TX,28179,31191,33031,30407,34842,32543,37150,33460,24453,31164,24665,15887,26228,25646,30949,38843,34132,31787,38124,33606,22728,27565,22484,19733,25800,28089,28382,36036,32321,28663,37921,29279,30487,26263,22165,19991,22969,25253,34368,30043,29178,34773,31435,33597,26724,23778,24421,17864,23168,23015,32243,33440,40150,35640,31810,33636,29442,25078,25460,18497,28955,31083,36768,35828,41919,38892,33925,34254,25628,31250,24127,17788,29866,29176,33909,32963,37529,34812,39788,32850,25172
3,43,New York,State,NY,18021,18227,22705,23578,23761,20605,21472,19664,15855,20835,17335,9640,16218,22628,20729,25083,23430,21646,21741,18467,17549,18323,14668,11616,14982,14282,17786,27338,23895,23546,21704,16648,19355,16538,12797,11222,13944,14563,21741,21949,21303,21280,17277,18745,19101,13753,14513,11208,13376,12229,17720,20777,23097,19437,16265,17032,15766,13357,11653,7354,13345,19564,17126,19273,23049,19705,17096,16311,15512,16839,11188,6979,13697,13274,16416,17853,21054,18544,18879,15936,15641
4,14,Florida,State,FL,47540,47567,43717,38953,40825,39178,44993,46491,36665,48324,45260,32268,47088,42647,46395,49925,45013,45531,46147,41649,34477,43417,38529,36597,46214,40205,39584,46614,38697,37351,43360,36243,42324,39605,36460,35277,41688,44275,47638,42559,38240,39703,35580,41888,36348,32465,39134,30782,38092,35268,42623,42930,43846,37957,33716,40120,22430,32890,38393,30194,47058,44774,46045,40704,44204,38161,33654,38396,32952,43559,36219,27735,47146,41659,41675,36678,40541,35115,39487,35626,29480
5,21,Illinois,State,IL,12820,14810,15571,15961,18047,16327,18009,17415,12784,14681,11451,7924,10731,11940,16374,21628,19421,18049,20077,16157,13045,13992,10930,9052,12775,13318,16693,23422,19007,18296,19463,15318,16058,14214,10725,8617,10947,14012,20163,20185,17871,19852,16621,17225,14720,11907,10963,7291,10044,13169,18710,19378,20748,18953,15436,17348,14341,11804,10354,6748,12117,15179,19916,17979,20831,19255,15589,16626,13383,14615,9250,6225,11274,13546,17104,18949,18087,17091,18860,16066,13118
6,47,Pennsylvania,State,PA,12677,12587,15297,16244,18140,16946,16618,15194,12372,14719,11809,8034,10758,10038,14119,20752,18555,16383,17415,15046,12661,14509,10696,8532,10473,10622,14178,19169,18860,15971,17829,14150,15524,13268,10301,9377,10955,10981,17976,17478,16160,16620,14080,15964,13675,11895,10919,7359,9312,9620,14453,16592,19064,16267,13456,15529,13178,11552,10822,6900,10633,12084,14184,15533,18792,17015,13872,14499,11921,14135,9331,6323,10358,10154,12940,14195,15823,14816,15961,13532,11574
7,44,Ohio,State,OH,11299,12036,13696,13241,16137,14552,15339,14120,11134,13201,9877,6349,9338,10197,12525,16217,16078,14552,16503,14173,10576,12237,9376,7329,9431,9388,11653,15771,15354,15283,16130,12902,14230,12456,9220,8438,9238,10188,14327,13810,13935,15677,13847,14804,11812,10413,9700,6341,8024,8268,12538,12987,16068,15272,12859,14966,11804,10395,9274,6297,9578,10500,12300,12754,16189,14919,13471,14512,10862,13257,8761,5804,9067,8985,11098,11799,13562,13057,15472,13306,10809
8,30,Michigan,State,MI,12584,12915,14393,15353,19534,17484,18893,18431,13002,15180,12230,8339,9835,9774,12376,18183,20081,18117,20403,16464,13105,14060,10161,8754,10078,11115,12999,19964,18347,17220,19676,17709,14895,13041,9757,8406,9655,10160,14954,15586,16718,18766,15591,17334,13084,11300,9829,6560,7642,8068,12363,14740,18418,17069,14165,16690,12239,10808,9373,6368,8896,9252,11870,12644,17929,17594,14967,16649,12248,13796,9190,6032,9259,8315,11677,12945,16444,15646,17922,16079,12573
9,16,Georgia,State,GA,12893,13082,14898,13081,15102,13975,16663,14418,12820,16243,13682,7924,12227,11678,16702,17892,17016,14734,16883,14212,11502,13937,11460,10224,13153,12820,18540,19096,16525,15835,18355,16352,15609,14403,10729,10236,11949,13169,18565,17039,17763,18470,15345,17064,14393,12023,12243,8782,11155,11969,16984,16771,19249,16720,14279,16113,11863,11878,11753,8649,13508,14853,16113,15921,17956,16447,14091,15802,12274,15344,10600,8015,13386,17180,15508,14685,17130,15065,17504,15057,12400
10,36,North Carolina,State,NC,14455,15216,16663,16092,17131,15982,18102,15820,13167,17599,14768,7785,13482,12261,15770,19878,18911,15065,16337,14011,11745,12557,10352,8687,12108,12634,15597,16690,15124,13362,15516,12567,13259,11466,8930,9738,11166,12181,17326,15547,15004,15707,12902,14291,12153,9678,9983,7269,9072,10082,13909,13657,15945,14712,12149,13993,11254,10029,10273,6935,11166,13217,15510,15171,17074,14889,13262,13389,8685,11904,8728,6070,10712,11639,13663,12859,14874,12365,14331,12829,10027
