SizeRank,RegionID,RegionName,RegionType,StateName,2013-01,2013-02,2013-03,2013-04,2013-05,2013-06,2013-07,2013-08,2013-09,2013-10,2013-11,2013-12,2014-01,2014-02,2014-03,2014-04,2014-05,2014-06,2014-07,2014-08,2014-09,2014-10,2014-11,2014-12,2015-01,2015-02,2015-03,2015-04,2015-05,2015-06,2015-07,2015-08,2015-09,2015-10,2015-11,2015-12,2016-01,2016-02,2016-03,2016-04,2016-05,2016-06,2016-07,2016-08,2016-09,2016-10,2016-11,2016-12,2017-01,2017-02,2017-03,2017-04,2017-05,2017-06,2017-07,2017-08,2017-09,2017-10,2017-11,2017-12,2018-01,2018-02,2018-03,2018-04,2018-05,2018-06,2018-07,2018-08,2018-09,2018-10,2018-11,2018-12,2019-01,2019-02,2019-03,2019-04,2019-05,2019-06,2019-07,2019-08,2019-09
1,9,California,State,CA,32035,31527,28524,26165,27144,29515,31336,31016,30899,32624,32539,31578,31705,31259,31660,32910,32073,31484,31992,30449,29659,31025,31719,31857,31487,30382,30667,31201,29235,28751,29774,30152,31211,30410,29522,29774,28888,29745,31687,30328,29205,30486,30951,31470,30593,28815,29337,28674,25887,25797,28193,30297,31821,30194,27899,28924,28875,27772,28715,30210,32327,33347,31513,31182,32903,31775,29944,30713,32330,33061,31395,30460,31532,31071,29708,29345,29310,29888,30530,29066,28293
2,54,Texas,State,TX,32129,32023,29802,27754,28249,29354,30103,29576,29473,30935,30081,28389,28458,28244,29468,31240,29722,28972,30461,29495,27780,28215,29096,29683,29832,28715,28077,28706,27242,26837,28521,29257,30289,29485,28724,29045,27782,28084,28845,26374,25574,27378,27904,28906,28912,27938,28768,28628,26802,26482,28054,30237,31998,30538,28333,29746,30646,29594,29833,30683,31882,33084,32916,32984,34212,33064,30373,29658,30464,31438,30567,30245,31695,31636,30281,29722,30204,31324,31951,30338,29447
3,43,New York,State,NY,20494,20260,20008,19157,18303,18297,19092,18771,18471,20211,20275,18697,19893,21521,20526,19360,18754,18776,19181,18639,18366,18729,18834,18713,17679,16306,17560,19894,20003,19805,19175,18144,18341,17835,17379,17791,17134,17205,18330,17594,16758,16858,16892,17972,17980,16816,17580,18082,16269,14924,15517,16508,16869,16075,15473,15980,15725,15079,15131,15441,17122,18449,16712,15627,16522,16382,15768,15737,16263,16652,15695,15226,15631,15225,14462,14272,14866,15725,16269,16003,15695
4,14,Florida,State,FL,43976,43597,40413,37885,38765,41076,43908,44798,44777,46356,45175,42128,41436,41631,43196,45017,45105,45576,44936,42190,41331,41759,41705,42388,41435,38426,38283,40010,38992,39201,40224,40829,43043,41393,39436,40062,39783,41245,42225,39788,38221,38306,38458,40340,39782,37091,37933,37581,34531,34484,37463,40020,40557,38349,36762,35629,32579,33722,37581,39352,41196,42254,40925,39798,40160,38515,36413,37438,40152,41216,38576,37597,39806,39554,36893,35730,36496,37530,37941,36705,36474
5,21,Illinois,State,IL,16248,15418,13338,12333,13071,13852,14834,15178,14932,15524,15765,15108,14235,13639,14398,15688,15578,15557,15999,15136,14576,15137,15652,16092,15902,14895,15309,16537,15854,15407,15559,15323,15929,15974,15537,15412,15086,15628,16341,15455,14828,15168,15022,15243,15156,14570,14806,14648,14130,14591,15134,15359,15801,15116,14251,14924,14965,14293,14395,14797,15552,16387,15850,14965,15548,15311,14233,14361,15004,15200,14446,14082,14606,14631,14241,14047,13860,14349,15201,14835,14394
6,47,Pennsylvania,State,PA,15628,15217,14062,13205,13584,14219,14293,13771,13637,14417,14584,14017,13562,13154,13964,15285,14774,14231,14518,13960,13683,14112,14110,13927,13689,13375,13745,14601,14423,14195,14401,14322,14571,14114,13823,14381,14228,14605,15318,14066,12818,12893,13136,13807,13731,13119,13302,13134,12561,12615,13003,13505,13967,13273,12621,13288,13262,12799,13071,13226,13721,14092,13223,12867,13758,13675,12760,12552,13013,13408,12834,12503,12952,12729,11786,11170,11394,12349,13014,12495,12083
7,44,Ohio,State,OH,14114,13916,12966,12162,12206,12252,12245,12046,12090,12676,12502,11942,12038,12220,12676,13358,12921,12522,12837,12205,11568,11929,12256,12331,12134,11628,11938,12752,12630,12606,12510,12370,13115,12911,12508,12799,12525,12667,13012,12118,11541,11869,11923,12107,11833,11390,11712,11569,10926,10979,11462,11828,12316,11946,11352,11902,11828,11260,11483,11832,12256,12431,11858,11707,12239,11951,11452,11573,11943,12326,11819,11330,11502,11250,10653,10294,10228,10860,11680,11438,11153
8,30,Michigan,State,MI,16574,16181,14902,13948,14049,14227,14559,14503,14349,15112,15304,14506,13846,13421,13821,15014,15187,15047,14986,13913,13609,14056,14096,14261,14412,14310,14918,15644,14540,13973,14715,14791,14539,13888,13555,13883,13885,14226,14574,13567,13029,13304,12963,13103,13060,12566,12701,12485,11908,12041,12558,12955,13256,12513,11663,12189,12311,11979,12311,12598,12788,12823,12090,11687,12627,12849,12191,12360,13031,13423,12882,12477,12654,12395,11840,11443,11481,12237,13046,12884,12516
9,16,Georgia,State,GA,14480,13837,12401,11553,11958,12970,13777,13804,14498,15901,15605,14188,13483,13389,14146,14882,14271,13861,14033,13430,13227,13907,14530,15031,14793,14620,15642,15815,14567,14636,15589,15900,15953,15033,14328,14576,14254,14436,15209,15101,15285,15481,14928,15202,14948,13980,14194,14066,13166,13176,14032,14938,15476,14678,13723,13826,13425,13211,13942,14494,15013,14948,14096,13974,14518,14148,13486,13725,14431,14793,14104,13875,15359,15894,14061,13004,13424,14085,14667,14240,13921
10,36,North Carolina,State,NC,16016,15636,14541,13761,13961,14841,15572,15230,15596,17135,16473,14560,14036,13678,14290,15874,15547,14365,14006,13522,13188,13200,13258,13566,13664,13462,13487,13287,12408,12342,12807,12967,13328,12725,12566,13505,13338,13404,13931,13116,12623,12807,12514,12886,12775,11884,12076,12015,11139,10948,11202,11549,12345,12331,11809,12308,12352,11972,12271,12445,12874,13418,13153,12994,13319,12961,12253,11631,11395,11915,11772,11516,12032,12036,11248,10835,10999,11401,12013,11945,11494
