SizeRank,RegionID,RegionName,RegionType,StateName,2010-01,2010-02,2010-03,2010-04,2010-05,2010-06,2010-07,2010-08,2010-09,2010-10,2010-11,2010-12,2011-01,2011-02,2011-03,2011-04,2011-05,2011-06,2011-07,2011-08,2011-09,2011-10,2011-11,2011-12,2012-01,2012-02,2012-03,2012-04,2012-05,2012-06,2012-07,2012-08,2012-09,2012-10,2012-11,2012-12,2013-01,2013-02,2013-03,2013-04,2013-05,2013-06,2013-07,2013-08,2013-09,2013-10,2013-11,2013-12,2014-01,2014-02,2014-03,2014-04,2014-05,2014-06,2014-07,2014-08,2014-09,2014-10,2014-11,2014-12,2015-01,2015-02,2015-03,2015-04,2015-05,2015-06,2015-07,2015-08,2015-09,2015-10,2015-11,2015-12,2016-01,2016-02,2016-03,2016-04,2016-05,2016-06,2016-07,2016-08,2016-09,2016-10,2016-11,2016-12,2017-01,2017-02,2017-03,2017-04,2017-05,2017-06,2017-07,2017-08,2017-09,2017-10,2017-11,2017-12,2018-01,2018-02,2018-03,2018-04,2018-05,2018-06,2018-07,2018-08,2018-09,2018-10,2018-11,2018-12,2019-01,2019-02,2019-03,2019-04,2019-05,2019-06,2019-07,2019-08
1,3101,Los Angeles County,County,CA,0.9665736537744062,0.9581589958158996,0.9658462302300741,0.9699310593090862,0.9734451742160493,0.9702850212249848,0.9692307692307692,0.9649122807017544,0.96045197740113,0.9556863479521552,0.9526081424936387,0.9460085737457999,0.9456521739130435,0.9398496240601504,0.9459459459459459,0.9515570934256056,0.9545923632610939,0.952987460815047,0.9512609452255338,0.9507443222361655,0.943952802359882,0.945767453140113,0.9451704372217818,0.9467270130400104,0.9439207118958208,0.95,0.9499443158539547,0.956469102010738,0.9678199917780703,0.9729411461624196,0.9774647887323944,0.9782125389061805,0.9804721135631166,0.9832635983263598,0.9855072463768116,0.9847437409172226,0.9913378248315688,1,1,1,1.0004653327128896,1.0015698587127158,1.000293243766178,1,1,0.9978566325315551,0.9879759519038076,0.9851014159969383,0.9803921568627451,0.9833120593692022,0.9878419452887538,0.989684231996599,0.9904857142857143,0.9896432681242808,0.989136649514008,0.9844492946805035,0.9799894625922023,0.9782608695652174,0.9760266747499242,0.974025974025974,0.9712656302964998,0.9779586721652671,0.98343577455985,0.9894736842105263,0.991810737033667,0.9949843082747907,0.9910714285714286,0.9911111111111112,0.9895615866388309,0.9853809101071875,0.9838449111470113,0.9834797639464246,0.981273095296405,0.9845288326300985,0.9904025690983802,0.9941914216690503,1,1,1,0.998133877283863,0.9917936694021102,0.9885681613983501,0.9871244635193133,0.984433322936356,0.9826086956521739,0.986468200270636,0.9931875577694328,1,1,1,1,1,1,0.9972727272727273,0.9949866287759466,0.9916367056856188,0.9929366744146494,1,1,1,1,1,1,0.9988365577051368,0.989368388082263,0.9856115107913669,0.9799713876967096,0.9745044465873781,0.9726458550871326,0.9769784172661871,0.9824937477670597,0.9855521155830753,0.9905660377358491,0.9921298254694808,0.9899914210135796,0.9896470655833427
2,139,Cook County,County,IL,0.8883202686927616,0.8773234200743495,0.8793712940983034,0.8857766460531102,0.8974530856059675,0.9098518761145685,0.9064057946410887,0.908284023668639,0.9036363636363637,0.8964792019285017,0.8944213923467036,0.8770856507230256,0.8672699849170438,0.89086859688196,0.8801955990220048,0.8806584362139918,0.9002770083102493,0.9029126213592233,0.9029126213592233,0.9018181818181819,0.8889756944444445,0.8867735470941884,0.8803521408563425,0.8787759905845429,0.88,0.873616160790882,0.8771929824561403,0.8902682776837638,0.9067324488928756,0.9213483146067416,0.9232693911592994,0.9217535666262452,0.9260631204622907,0.9222036471330919,0.9181969949916527,0.917686318131257,0.9102724625973982,0.9174311926605505,0.9232547880352916,0.934172883246636,0.9486671638857339,0.9543568464730291,0.9583333333333334,0.9571428571428572,0.9574164046870535,0.9547190398254228,0.9479427142532394,0.945054945054945,0.944195652173913,0.9420591913297207,0.9380863039399625,0.9509594882729211,0.9598527890827524,0.9615384615384616,0.9585996110030564,0.9587608517846833,0.9509950246124956,0.9445194122523857,0.9380009788862596,0.9339080459770115,0.9282988557741937,0.9271692732498924,0.9342941845380089,0.9483117965819091,0.9586056644880174,0.9615384615384616,0.9581985866570847,0.9543088490456911,0.9486672747542313,0.944684402309854,0.941394460061985,0.9357429718875502,0.9292351679771265,0.9329839648227551,0.9449694274596998,0.9565836932495242,0.9619084263178146,0.9635036496350365,0.963302752293578,0.9601920384076815,0.9545454545454546,0.95,0.9449694274596998,0.9385421629347308,0.9378378378378378,0.9404255319148936,0.9514687100893997,0.9615384615384616,0.967741935483871,0.967741935483871,0.966869506423259,0.9612875163114397,0.9556263479363198,0.9523809523809523,0.9484536082474226,0.9431585846423274,0.9394107837687604,0.9403508771929825,0.9569738436018758,0.967391304347826,0.9684684684684685,0.9682693348164964,0.9649749821300929,0.9601542416452442,0.9551243177683445,0.9510990338164251,0.9438202247191011,0.9375,0.9328174450911139,0.9384615384615385,0.95,0.9650655021834061,0.967741935483871,0.9652509652509652,0.9623630300142926,0.9578407127148839
3,1090,Harris County,County,TX,1.0885158310821548,1.0788115923525705,1.1012945891783568,1.1030356347438752,1.1176443691142932,1.1137479159719907,1.087658487224158,1.0889327404113396,1.075750700280112,1.0740250740563786,1.0667779146301726,1.0545678494879733,1.044113282266608,1.0491272852707831,1.052005277044855,1.067305723321771,1.0677706584180293,1.0691654097536452,1.0568892555170042,1.0599835294117648,1.0520970372405132,1.0626053511705686,1.0750008878187713,1.0607407407407408,1.0481482334869432,1.0693848354792561,1.0711553464052288,1.0648516172057352,1.0743939899833055,1.0864018829067372,1.0934635961851593,1.076969878339197,1.085375518394649,1.0587072632288508,1.0718752783964365,1.0657406694882647,1.0682712062873498,1.07370651489118,1.0861737245748584,1.0958257886209855,1.0976716109003104,1.1050745418184806,1.1045382366741778,1.0967210183054799,1.0992514285714285,1.0904728971962616,1.0803624922332535,1.0813313313313313,1.0752741467390747,1.0643627054020661,1.0754062714880641,1.0748436662497767,1.08,1.0834251773049646,1.0594181818181818,1.0188679245283019,1.0736112626451855,1.075268817204301,1.0706358839050132,1.0699796957973078,1.0628614568084886,1.0560040438824063,1.0821108121410994,1.0875282300733913,1.108288,1.100104700854701,1.0810979240900727,1.080528813559322,1.0862206896551725,1.0851002178649238,1.0703017011149933,1.0612244897959184,1.0668417721518988,1.0332802648881096,1.0065645514223194,1.051743116056345,1.0695790671217293,1.0547681818181818,1.0590633333333332,1.0582943396226414,1.0554204222821202,1.03475799086758,1.0442509090909091,1.0490227272727273,1.0216649376843407,1.0254637113722214,1.047469697063839,1.05,1.05806359837851,1.0595285714285714,1.0785311335816923,1.0514246803779879,1.0167224080267558,1.0188679245283019,1.0066262295081967,1.0099297658862876,1.0058536585365854,1,1.0106203007518797,1.0168627450980392,1.0340281326052547,1.0267971040204105,1.0227272727272727,1.0206804536357572,1.0200034000113334,1.0553936934305033,1.040070731707317,1.0413838541067801,1.053730208578489,1.0705274300473526,1.0740596029125986,1.0993276923076922,1.101662906504065,1.0985867158671587,1.086530465982749,1.1030938786516225
4,2402,Maricopa County,County,AZ,0.9306981128095513,0.9264305177111717,0.925,0.9289617486338798,0.9317405259888175,0.9297297297297298,0.9299175500588928,0.9259259259259259,0.9213483146067416,0.9158328428487346,0.9182389937106918,0.9059080962800875,0.90625,0.9033434650455927,0.9031407851000426,0.9166203446359088,0.9258710155670867,0.93519882179676,0.9496402877697842,0.9499256248142464,0.9523051258720048,0.9554458569148782,0.953125,0.9555555555555556,0.9545454545454546,0.9574875526618154,0.9640322580645161,0.9689922480620154,0.9793103448275862,0.9863429438543247,0.9858551221603086,0.986617144253667,0.9841269841269841,0.98,0.9771428571428571,0.9702850212249848,0.9685877800372382,0.966542750929368,0.9705882352941176,0.9715288798456565,0.9733299136530735,0.976,0.9761904761904762,0.9772749483521553,0.9724137931034482,0.968054211035818,0.960919540229885,0.9571428571428572,0.9548347984237647,0.9566546229386697,0.9575757575757575,0.9551379205819945,0.9559322033898305,0.958518752925509,0.9565028273162245,0.9554545454545454,0.9577836411609498,0.9554873471203562,0.95625,0.9566666666666667,0.9554655870445344,0.9603841536614646,0.9644364074743822,0.9692307692307692,0.97,0.9702660406885759,0.9723034306413808,0.9717342540735912,0.9703703703703703,0.9689922480620154,0.9683666881859264,0.967741935483871,0.9658536585365853,0.9676425269645609,0.9702127659574468,0.9719839908519153,0.9719887955182073,0.9722222222222222,0.9725536992840096,0.9724300064116265,0.9720008319502581,0.9707222620859757,0.9709301238607151,0.9696969696969697,0.968756054725342,0.9713440679362743,0.9741969457609269,0.9757281553398058,0.975777432708792,0.9770048845617445,0.9768115942028985,0.9764229578471064,0.975,0.975346687211094,0.9740998879237882,0.9724274401533587,0.9729375112673517,0.9754989739767843,0.9787878787878788,0.9806001818732949,0.9814746202297147,0.981421493733798,0.9814508348794063,0.9799811223086328,0.977262391996362,0.9784735812133072,0.975162527087848,0.9736842105263158,0.9727272727272728,0.9733333333333334,0.9753968897847146,0.9776536312849162,0.98,0.98,0.9813333333333333,0.981276275004163
5,2841,San Diego County,County,CA,0.9647495361781077,0.9629277196348267,0.9692307692307692,0.9654934273194895,0.9698996655518395,0.9633333333333334,0.9653846153846154,0.9615384615384616,0.9523809523809523,0.9451637153357835,0.9428959627329192,0.9419141522315945,0.9394051368154066,0.9359575128636314,0.9422466595241464,0.9375,0.9473333099259156,0.9391588403429971,0.9411764705882353,0.9420489755122439,0.9438346917192608,0.9386349164525833,0.9363288678303179,0.9302325581395349,0.9367465716611127,0.9411437908496731,0.9481008988112496,0.9574468085106383,0.9621522293152847,0.9686274509803922,0.9696969696969697,0.9715940794199702,0.9730376168732333,0.9741952470740118,0.974025974025974,0.9795918367346939,0.9818451278251205,0.9821753364859949,0.9881175734834271,0.9973614775725593,0.9967845659163987,1,1,0.9882214369846879,0.9803369235017951,0.9739130434782609,0.9681818181818181,0.9658311295082596,0.96,0.9688391716870637,0.9722518360578062,0.9720670391061452,0.9732360097323601,0.9735849056603774,0.970873786407767,0.9667311197048496,0.9599332220367279,0.9594755661501788,0.9582370973282948,0.9557315840501681,0.9562638991845812,0.9639281840991554,0.9711684370257967,0.9767233475035425,0.9771261682448431,0.9814814814814815,0.9793760727643002,0.9763313609467456,0.9769577537457251,0.9713701431492843,0.9728183118741058,0.9713400191021968,0.9733155318202047,0.9739531145624583,0.9807045494777836,0.9859154929577465,0.9849749582637729,0.9874857220272919,0.985663082437276,0.9817629179331308,0.9782998637057863,0.9770114942528736,0.9767004000941398,0.9734268315187304,0.9745283018867924,0.9818181818181818,0.9885386819484241,0.9909008113926148,0.9914712153518124,0.9910913140311804,0.987460815047022,0.984251968503937,0.9829867674858223,0.9781357882623706,0.9782608695652174,0.9769850402761795,0.9789316875931049,0.9878048780487805,0.9886020004652245,0.9906875631951466,0.9876543209876543,0.9882658915321656,0.9848369890099784,0.9782608695652174,0.9723771093176816,0.9651387992253067,0.9633333333333334,0.9570353961881028,0.9603841536614646,0.9656578352970988,0.974438071463243,0.9785912261005293,0.9815950920245399,0.984018779342723,0.9826061272759833,0.97904761904761906
6,1286,Orange County,County,CA,0.9547624460104569,0.9456264775413712,0.9618418254960495,0.9669889963321107,0.9640078406536321,0.964834561299883,0.9633112501742065,0.9578270192994996,0.9523809523809523,0.9515859766277128,0.9445494060408486,0.9393939393939394,0.9429918559794256,0.9335822886102961,0.9406636257147538,0.9446806153273788,0.9430255402750491,0.9438775510204082,0.944251800480128,0.9380913760475804,0.9354375850469252,0.9373394966615306,0.9374217772215269,0.9379309853314097,0.9324009324009324,0.93840225285312,0.9488636363636364,0.959605672105672,0.961686413294353,0.9721048182586645,0.9724800769431547,0.9752650176678446,0.9744947911656174,0.9777601130542306,0.9788916736285158,0.984375,0.9880881434814689,0.9877131648209763,0.9951686594731214,1,1,1,1,0.9905601006922593,0.9836065573770492,0.9727982672260842,0.9701940388077616,0.9667328449097943,0.9644911829381664,0.9727479537512606,0.9760257026152075,0.979381443298969,0.9777424483306836,0.9762622422968561,0.9734513274336283,0.9690031662845289,0.967741935483871,0.9615384615384616,0.9617357431950093,0.9609756097560975,0.9624413145539906,0.970909224931143,0.9768934150682222,0.981372671583948,0.9836065573770492,0.9837289147633975,0.9836065573770492,0.9799465240641712,0.9776103651354535,0.9719438877755511,0.9680696587093984,0.9698929076581128,0.9709425810086283,0.9753424657534246,0.9827824712217775,0.9846572149932026,0.986013986013986,0.9842105263157894,0.9854014598540146,0.9785714285714285,0.9777728384085352,0.9743159869314815,0.9734572279253753,0.9739476165980796,0.9746835443037974,0.9790155797394491,0.9872974510191486,0.9910780669144982,0.9906869179323707,0.9906976744186047,0.9887359198998749,0.9846153846153847,0.9826086956521739,0.9799975606781315,0.9810426453384966,0.9791533631332482,0.9799689993575367,0.9858456868939117,0.9917598587404356,0.9929999929999931,0.9929188255613126,0.9889987776419602,0.9854862119013063,0.9812350533311816,0.973832293050577,0.9709866885549158,0.9652669648321,0.9627525755018764,0.9612817089452603,0.9683883543889895,0.9739130434782609,0.9765625,0.9815950920245399,0.9788661493733286,0.9774174241973388,0.9758203799654577
7,581,Kings County,County,NY,,,,,,,,,,0.9018950843143494,0.9184602969240223,0.9066901408450704,0.9183559160098147,0.9282218246869409,0.9221589865981275,0.9267563527653214,0.9364161849710982,0.9221748400852878,0.9393305439330544,0.943902644961795,0.9248103525211959,0.9143155694879832,0.9198806448739646,0.9333333333333333,0.9054029929761707,0.9107142857142857,0.9123173277661796,0.919732441471572,0.8934953538241601,0.9481481481481482,0.954658862224915,0.9319789850832695,0.9555555555555556,0.94022333812422,0.9186813490092178,0.9118236472945892,0.9368191721132898,0.943531799729364,0.9299498207885305,0.9663865546218487,0.9729383409097843,0.9773684210526316,0.9722748803186784,0.9807956104252401,1,0.9764705882352941,0.9688195991091314,0.9552,0.9862203236050204,0.9616101694915254,0.9647711607389027,0.972225887320227,0.9779951100244498,0.9882352941176471,0.9824255111057729,0.9885386819484241,0.9928455365433082,0.9866220735785953,0.9690514377798216,0.9690526204829446,0.9811320754716981,0.9711617340821607,0.969161600810537,0.9712918660287081,0.9824561403508771,0.9919839679358717,1,0.9811320754716981,1,0.9836065573770492,0.9797351243722727,0.971976401179941,0.9748953974895398,0.972972972972973,0.9756756756756757,0.9646896428889482,0.9719438877755511,0.9819639278557114,0.9799691833590138,0.9831932773109243,0.9809122588027253,0.9814730078836236,0.9666080843585237,0.9684169632826198,0.9718005295675198,0.9707736389684813,0.966297715339861,0.9705449189985272,0.9779951583419791,0.9742855043714642,0.9842030167142275,0.9879026794408783,0.9836752800266164,0.9717948717948718,0.9621621621621622,0.9783212896053363,0.966464,0.9629166666666666,0.9737986270022884,0.980767507002801,0.9799554565701559,0.9771732332707942,0.9791231732776617,0.9794402393944728,0.9745085828775654,0.9695323488045007,0.9701492537313433,0.9581351689612015,0.9612800837832934,0.9544827586206897,0.95,0.9537661319771636,0.9556193021199111,0.9546190055898793,0.9656160458452722,0.9642513661202186
8,2964,Miami-Dade County,County,FL,0.868421052631579,0.8653333333333333,0.8644222020018199,0.8638017280582082,0.8704061895551257,0.8884831492431009,0.9163165266106442,0.9181969949916527,0.9122684845819283,0.9142857142857143,0.9138381201044387,0.9047619047619048,0.9154534140023523,0.9143322475570033,0.9037116834024284,0.9138381201044387,0.9076923076923077,0.9091460088490212,0.9107468123861566,0.918941504178273,0.9281437125748503,0.9232798863405725,0.9230769230769231,0.9281164695177434,0.9316770186335404,0.9285714285714286,0.9304541124166402,0.9357915334747409,0.9388646288209607,0.9393939393939394,0.9430269385431124,0.9447380784590087,0.9486931268151017,0.9546261540726992,0.9518845437616388,0.946236559139785,0.9520921770770163,0.9481131353922874,0.9424049828015515,0.9539320614239181,0.9493909810723893,0.9509433962264151,0.9549795361527967,0.9574005147862157,0.9544334975369458,0.954653937947494,0.9531674885824974,0.9499833222148099,0.943952802359882,0.944645567020715,0.9417394923012901,0.9354838709677419,0.9431266846361186,0.9468937875751503,0.9436181155625962,0.9438188877755511,0.947075208913649,0.9433962264150944,0.9417705116234527,0.9399075500770416,0.9364548494983278,0.9375380890322338,0.9381385281385282,0.9375,0.9487179487179487,0.9493997465741792,0.9462275948311797,0.9441176470588235,0.9444570879482121,0.9426702577914583,0.9457579972183588,0.9428571428571428,0.9411764705882353,0.9384615384615385,0.939878587068596,0.9408567447369642,0.94008547008547,0.9444444444444444,0.9433962264150944,0.9404761904761905,0.9411764705882353,0.9393479560399136,0.9404388714733543,0.9442622950819672,0.9320754716981132,0.9348914858096828,0.9375,0.9379469225400464,0.9365079365079365,0.9386866765196062,0.9338669800829582,0.9393939393939394,0.9365853658536586,0.9389158824855977,0.9335342635712032,0.9358974358974359,0.9317883301053007,0.9333333333333333,0.9386792452830188,0.9411764705882353,0.9358974358974359,0.9400751225822117,0.9398496240601504,0.9435340022296543,0.9409209837781266,0.9385175159473262,0.9395973154362416,0.9349593495934959,0.935064935064935,0.9294276046134782,0.9341317365269461,0.9379785373608902,0.9334234189397519,0.9375,0.9403246923278346,0.9421768707482994
9,978,Dallas County,County,TX,0.96,0.8954393770856507,0.9335556614260759,0.9388831329570337,0.9646175839885632,0.9321804001356392,0.9586807603481968,0.9261230769230769,0.9117082844570028,0.9180952380952381,0.9087500282127362,0.9326865910442749,0.9372203043089119,0.9688040657439446,0.8757396449704142,0.9138381201044387,0.9404761904761905,0.9285714285714286,0.9629752959430953,0.945054945054945,0.9524597902219261,0.9038852407754847,0.959395589056393,0.924028448921255,0.8716267928381458,0.9237875288683602,0.9452459016393443,0.9646840148698885,0.9853606557377049,0.972072072072072,0.9734991887506761,0.9673508101184132,0.9753086419753086,0.9573048699132756,0.9606494763041682,0.9615088529638183,0.9818875,0.9662472475621264,0.9686192468619247,0.9781450268549632,0.9823111427400746,0.9823529411764705,0.9905840127614322,0.9731442583343851,0.9675675675675676,0.9678097449506118,0.965685618729097,0.9748167596822728,0.9639285517393461,0.9686924493554327,0.9841835458864716,0.9941176470588236,0.989417693169093,1,0.9879431504145282,0.9878787878787879,0.975744514106583,0.9781746031746031,0.9733155436957972,0.9758745476477684,0.9846153846153847,0.9865197413824416,0.9894676583716813,1,1,1,0.9982690672891796,1,0.9884615384615385,0.9865891210875157,0.9789251844046365,0.9819639278557114,0.9729873933420956,0.9874597059517258,1,1,1,1,1,1,0.9906803355079217,0.9942196531791907,0.9818181818181818,0.9777777777777777,0.990660550513835,0.977038181830721,0.9854307565846225,0.9946040219798937,1,1,0.9938812973105686,0.9905660377358491,0.9886236559139785,0.9836612204068023,0.9801960784313726,0.9777426330894539,0.9777777777777777,0.9788860717720502,0.9827863516908402,0.9960852544584602,0.992378532867577,0.9991652754590985,0.9878419452887538,0.9851851851851852,0.9785962785791611,0.9748921145547274,0.9688040657439446,0.9712230215827338,0.9684044233807267,0.9735449735449735,0.9766648333456467,0.9757330637007078,0.9806451612903225,0.98,0.9787368421052631,0.9759404712691195
10,1347,Queens County,County,NY,0.9096077316657192,0.8687258687258688,0.9283518349390927,0.9118236472945892,0.9053097226899598,0.9388092988757721,0.9526411657559198,0.9417040358744395,0.8560006593406593,0.9381663113006397,0.9362710881038677,0.9399075500770416,0.9269282814614344,0.9065315315315315,0.9200507614213198,0.9168241965973535,0.9247211895910781,0.9160192713038242,0.9204301075268817,0.9286618826509075,0.9273182957393483,0.9270687844436505,0.9289176090468497,0.9244992295839753,0.9274202085428466,0.9122085048010974,0.9236947791164659,0.9125964010282777,0.9236207237492584,0.9202247191011236,0.9365760869565217,0.935753013432173,0.9123711340206185,0.9344037932150191,0.9256363636363636,0.933091673298846,0.9160193046273425,0.9388547824437317,0.9247311827956989,0.9344161301485772,0.9355932203389831,0.9470243058929564,0.9498672163723141,0.9511881622672267,0.9465478841870824,0.9473684210526315,0.9496804790804227,0.9423076923076923,0.9393939393939394,0.9567695424682324,0.9484848484848485,0.9468453638641836,0.9494366063819715,0.9565217391304348,0.9587020648967551,0.9526633066508547,0.9534197199434088,0.9571771431653319,0.9566787003610109,0.963302752293578,0.9542387865252187,0.9581754590498397,0.9574468085106383,0.9557679484329851,0.9641255605381166,0.9652509652509652,0.9615384615384616,0.9780220397359696,0.9735888836292708,0.965813389648933,0.9646007194386597,0.9681288497937983,0.961038961038961,0.9622641509433962,0.9671052631578947,0.9705075016144433,0.9652509652509652,0.9666110183639399,0.9731845639386969,0.9776207302709069,0.965133906013138,0.9742120343839542,0.9704082840236686,0.9705882352941176,0.97192360368473385,0.9726315789473684,0.9670378619153674,0.9688581314878892,0.9726302257992399,0.9714285714285714,0.9724137931034482,0.9668731603078811,0.9687701827121399,0.9722222222222222,0.9696509164594271,0.962059620596206,0.968421052631579,0.9614421971075229,0.9611451942740287,0.9622368989278807,0.9665871121718377,0.9701492537313433,0.9698438253962363,0.9675413306519358,0.9698996655518395,0.9555555555555556,0.960939577421197,0.958139534883721,0.9545454545454546,0.9533898305084746,0.9443983559981135,0.9554730983302412,0.9484536082474226,0.9514563106796117,0.9550561797752809,0.9547698102791826
