SizeRank,RegionID,RegionName,RegionType,2010-01,2010-02,2010-03,2010-04,2010-05,2010-06,2010-07,2010-08,2010-09,2010-10,2010-11,2010-12,2011-01,2011-02,2011-03,2011-04,2011-05,2011-06,2011-07,2011-08,2011-09,2011-10,2011-11,2011-12,2012-01,2012-02,2012-03,2012-04,2012-05,2012-06,2012-07,2012-08,2012-09,2012-10,2012-11,2012-12,2013-01,2013-02,2013-03,2013-04,2013-05,2013-06,2013-07,2013-08,2013-09,2013-10,2013-11,2013-12,2014-01,2014-02,2014-03,2014-04,2014-05,2014-06,2014-07,2014-08,2014-09,2014-10,2014-11,2014-12,2015-01,2015-02,2015-03,2015-04,2015-05,2015-06,2015-07,2015-08,2015-09,2015-10,2015-11,2015-12,2016-01,2016-02,2016-03,2016-04,2016-05,2016-06,2016-07,2016-08,2016-09,2016-10,2016-11,2016-12,2017-01,2017-02,2017-03,2017-04,2017-05,2017-06,2017-07,2017-08,2017-09,2017-10,2017-11,2017-12,2018-01,2018-02,2018-03,2018-04,2018-05,2018-06,2018-07,2018-08,2018-09,2018-10,2018-11,2018-12,2019-01,2019-02,2019-03,2019-04,2019-05,2019-06,2019-07,2019-08
0,102001,United States,Country,0.9203681472589036,0.9196853685614443,0.9280575539568345,0.9336445481827276,0.9380863039399625,0.9396786905122765,0.9356376638855781,0.9337483325922632,0.9265518415589267,0.9230769230769231,0.9195402298850575,0.9160892994611239,0.9122807017543859,0.9107692307692308,0.9145470134324093,0.9209209209209209,0.9282700421940928,0.9333333333333333,0.9333333333333333,0.93091325903825906,0.9278350515463918,0.925,0.9237875288683602,0.9230769230769231,0.9204280422554534,0.9230769230769231,0.9318181818181818,0.9396825396825397,0.9488089984449208,0.9529396662387677,0.9537815126050421,0.9519650655021834,0.950354609929078,0.9496402877697842,0.9488372093023256,0.9473684210526315,0.9459459459459459,0.948509485094851,0.9546218487394958,0.9605488850771869,0.9652777777777778,0.9681818181818181,0.9682804674457429,0.965888752412704,0.9623529411764706,0.9585121602288984,0.9545454545454546,0.950950950950951,0.9473684210526315,0.9493243243243243,0.9555555555555556,0.96000192000384,0.964824120603015,0.967741935483871,0.9661016949152542,0.962278675904542,0.9587992937021778,0.9548313321898227,0.9525321479599936,0.95,0.9478672985781991,0.9511568123393316,0.9594825123405576,0.9654934437543133,0.9701492537313433,0.9719626168224299,0.9707317073170731,0.9676016525331593,0.9642857142857143,0.9607843137254902,0.9583991574512901,0.95703125,0.9548387096774194,0.9565217391304348,0.9643916913946587,0.97024256064016,0.9748198143907436,0.9764705882352941,0.9759699624530663,0.973119399874974,0.9698996655518395,0.9673115410273516,0.9653190607509476,0.9627406851712929,0.9603957055087013,0.9627406851712929,0.9699201964395334,0.9755655356767614,0.9792153806183425,0.9814814814814815,0.9803921568627451,0.9768637532133676,0.9741947355778189,0.9711595055915244,0.9691358024691358,0.9669889963321107,0.965000965000965,0.9692307692307692,0.9758203799654577,0.9803921568627451,0.9833333333333333,0.9847288046340179,0.9822646657571623,0.9777777777777777,0.9736784382033469,0.9696036937283571,0.9660436957093972,0.962278675904542,0.9599796549955153,0.9640287769784173,0.9702109154163948,0.9757281553398058,0.9803921568627451,0.9823008849557522,0.9803468208092485,0.9770114942528736
1,394913,"New York, NY",Msa,0.8998548621190131,0.8987341772151899,0.8967587607507463,0.9067417135709819,0.9113788329819672,0.9213001680340718,0.9225445314065212,0.9213665054579991,0.9097056495753191,0.9104761904761904,0.9095090802867636,0.9066690844508919,0.8993047172999855,0.8978501909358463,0.8973237319694013,0.9027777777777778,0.906021756021756,0.9134781740750599,0.9216589861751152,0.9203458786364942,0.9090909090909091,0.9017870675096349,0.8947368421052632,0.8924137931034483,0.8838417553370825,0.8888888888888888,0.8925233644859814,0.9,0.9090909090909091,0.9181969949916527,0.9275023187557969,0.9258517034068137,0.9226713532513181,0.919732441471572,0.9171597633136095,0.918580375782881,0.9146507732460754,0.9203067730159549,0.9142857142857143,0.9258904595429903,0.9381350191916912,0.9459459459459459,0.949900548953988,0.9538461538461539,0.9507246376811594,0.9449694274596998,0.9411764705882353,0.9383333333333334,0.9375201180020685,0.9347826086956522,0.9364548494983278,0.9358974358974359,0.9493389467048645,0.9558823529411765,0.9579563597658329,0.9560784043542665,0.9491525423728814,0.9428571428571428,0.9391994578164791,0.938375350140056,0.9361702127659575,0.9367088607594937,0.9352279240956949,0.944,0.9489551105350028,0.9546883262474353,0.960460946630395,0.9584775086505191,0.9543405110356946,0.9482758620689655,0.9436229582631633,0.9428571428571428,0.9402597402597402,0.9398496240601504,0.9426376402843881,0.9458768584535455,0.9546313799621928,0.9599332220367279,0.963855421686747,0.9629629629629629,0.9593878752207181,0.9559322033898305,0.9529411764705882,0.9506337558372249,0.9490264998793894,0.9492537313432836,0.9511568123393316,0.9574468085106383,0.9645131938125568,0.9680871661429067,0.9711538461538461,0.9704852426213106,0.966933867735471,0.964824120603015,0.9620253164556962,0.9610027855153204,0.9570431234654597,0.9545454545454546,0.958904109589041,0.9629677247316744,0.9693558474046279,0.9732360097323601,0.9744366197183099,0.9713701431492843,0.967741935483871,0.963855421686747,0.9594882729211087,0.9565217391304348,0.9515859766277128,0.9499247367278052,0.9500019000038,0.9572868096002842,0.9634634634634635,0.9682547367107184,0.9688195991091314,0.9669064748201439
2,753899,"Los Angeles-Long Beach-Anaheim, CA",Msa,0.9619047619047619,0.9545151414107733,0.9645304076728225,0.9690528290090653,0.9693017883966784,0.9681071900358558,0.9669889963321107,0.962506675733735,0.9571428571428572,0.9536082474226805,0.9498680738786279,0.9443907980866191,0.9443078346580268,0.9378600409109696,0.9436619718309859,0.9490740740740741,0.9508418591513934,0.949979658258747,0.9483870967741935,0.9463414634146341,0.9409090909090909,0.943126607602172,0.942450914014895,0.9437751004016064,0.9412698412698413,0.9456172400210763,0.9496592657726973,0.9576837416481069,0.965342231388958,0.972492358988608,0.9754877438719359,0.977227023207783,0.9781389323825513,0.9813084112149533,0.9834972495415902,0.9846153846153847,0.9899749373433584,0.9954977488744372,1,1,1.0000021111155801,1.0001575148879356,1,1,0.9996580879583215,0.9867452135493373,0.981623633403117,0.9788464704254032,0.9756446491503541,0.9789473684210527,0.9830508474576272,0.9853846153846154,0.9855072463768116,0.984,0.9835062749248145,0.9786535347015013,0.9753424657534246,0.9726443768996961,0.9714285714285714,0.9697933227344993,0.9683572411955411,0.975609756097561,0.9813242784380306,0.9865298970577498,0.9888611047965447,0.9894736842105263,0.9885728408183441,0.9869328476431696,0.9849749582637729,0.9811616490211155,0.9778761061946902,0.9790209790209791,0.9780672353423335,0.9812513798847768,0.987579315192108,0.9899928520371694,0.9925684139774029,0.9924780281725558,0.9927140255009107,0.9888579387186629,0.9860326843578235,0.9834972495415902,0.9823008849557522,0.9799811223086328,0.979498861047836,0.9834972495415902,0.9905163329820864,0.9996666543205304,1,1,1,0.9942641288575357,0.9908256880733946,0.9899749373433584,0.9893885692531248,0.9872853143577927,0.9881319585528925,0.9931327992177169,1,1,1,1,0.9939393939393939,0.9908925318761385,0.9838311538207516,0.9802568218298555,0.9749715585893061,0.9714285714285714,0.9691714836223507,0.9739130434782609,0.9795918367346939,0.9824303498815825,0.9874917654808959,0.987442469546446,0.9855174042579313,0.9849749582637729
3,394463,"Chicago, IL",Msa,0.8801173646305682,0.8720514653323803,0.8780894041210727,0.8875591647268777,0.8948206503519947,0.9076923076923077,0.904513872196257,0.9021462349945435,0.8972972972972973,0.8916920400173989,0.8807017543859649,0.8747855917667239,0.8695652173913043,0.8805500797897305,0.8763941291098305,0.8799942857142857,0.8900796243364639,0.8989270777733486,0.8965251887330671,0.8984910836762688,0.8878127522195319,0.8842839033285237,0.8771929824561403,0.877742946708464,0.88,0.8753438625350793,0.8798295022865366,0.892297436445904,0.9083819489289975,0.918918918918919,0.9200920184036807,0.9208025459713799,0.9225806451612903,0.9171428571428571,0.9160892994611239,0.9175257829474524,0.9122910277459393,0.9164842039411949,0.9210526315789473,0.933184023889511,0.9450830140485313,0.9515361224703786,0.9547047688831898,0.9531784700279916,0.9523809523809523,0.9491017964071856,0.9415384615384615,0.93911347035071,0.9366821088041111,0.9375,0.9372822299651568,0.9473684210526315,0.9545983701979045,0.958891539732061,0.9559804357492219,0.9542857142857143,0.947527368818422,0.9406952965235174,0.9344544940644433,0.9292307692307692,0.9243930992181979,0.9259259259259259,0.9303446613641841,0.9458293499043977,0.954213158907272,0.9582608695652174,0.9557661927330173,0.9520853168485424,0.9464729194665471,0.9422850412249706,0.9392937902243869,0.9333333333333333,0.9283018867924528,0.9294117647058824,0.9426411738550466,0.9545454545454546,0.9603631918980269,0.9626825310978907,0.9623262063655937,0.96,0.9547209547209548,0.95,0.9473684210526315,0.9417304296645085,0.9386733416770964,0.9421246484719754,0.9523809523809523,0.9616453585325181,0.967741935483871,0.9696969696969697,0.967983991995998,0.9636363636363636,0.9593878752207181,0.9552388097024256,0.9508196721311475,0.9487179487179487,0.9435064435598901,0.9437511796904492,0.9569377990430622,0.9683873549419768,0.9706751534439645,0.9715920124362756,0.9690528290090653,0.9649226030479824,0.9594594594594594,0.9554551323434474,0.9498267822250992,0.9418604651162791,0.9379631192901495,0.9437751004016064,0.9537101651546871,0.9653916211293261,0.9693558474046279,0.969047619047619,0.966451215758695,0.9621586949361164
4,394514,"Dallas-Fort Worth, TX",Msa,1,1.0060770365155673,1.0262995943708328,1.043254986207295,1.0322877017981362,1.013834650005295,1.0000665633715544,1.012754547761054,1.0079590929301911,1.004255319148936,0.9916778113107271,0.9986610169491525,0.9969614717484407,0.9971561690337157,1,1.0143765982086288,1.0229080464432845,1.0165467272727273,1.0018034458825074,1,1.0096775125144397,1.002070630296691,1.0277099178066575,1.008562446413261,1,1.0036363636363637,1.0064761487342138,1.0383171968649147,1.0246032880629021,1.0205834722552989,1.0245874305258658,1.0117738693467337,1.0070188417091144,1.0004746268656717,1.0105989842533751,1.0038717948717948,1,1.0007639874092047,1.0071025588501392,1.0172792498021856,1.016546618647459,1.0156822729091637,1.0193610941008369,1.0074267333809863,1.001456338028169,1,1,1,0.9998199099549775,0.9995633802816901,1,1,1.0004699797892807,1.0040650406504066,1.0008358932345294,1,1,1,0.9995621621621622,1,1,1,1,1.002092609027839,1.015567086730912,1.0118365788468882,1.0065845588235294,1.0023387954884018,1,1,0.9964365525623884,1,0.9910166756320602,0.9952380952380953,1,1,1,1,1,1,1,0.996326086777894,0.9888888888888889,0.9902476567095071,0.9899243693213542,0.9963809523809524,1,1,1,1,1,1,0.9935117599351176,0.9876543209876543,0.9849184364419822,0.9841082989994114,0.9860194339314542,0.9914680788467196,1,1,1,1,1,0.9925728920409771,0.9888888888888889,0.98125,0.97868638538495,0.9816513325781435,0.977776954702026,0.9851510847009484,0.9931335497010992,0.9925217774143841,1,1,1,0.9935061439989603
5,394974,"Philadelphia, PA",Msa,0.916819469911652,0.9156311314584696,0.9180042301719473,0.9302325581395349,0.9357857373346241,0.9402985074626866,0.934,0.9238337334651414,0.9233610341643582,0.9147064906339271,0.9151474252491694,0.9077179582181435,0.9031392534729558,0.8974537086512635,0.8974358974358975,0.9016393442622951,0.9170062986291219,0.9233965617147302,0.924733832195227,0.9148936170212766,0.9085714285714286,0.9045330864409584,0.8997502578858787,0.9012607538749311,0.8931761343336906,0.8917058926201644,0.9,0.9078266016000742,0.9215376513954713,0.9310344827586207,0.9333333333333333,0.928704100585798,0.9243548313249805,0.9181818181818182,0.9191673425250068,0.9222761596548005,0.9171762090050027,0.9177972865123704,0.9212950776520137,0.9290138161029061,0.9407407407407408,0.9499765240233105,0.9534229446702095,0.9463785514205683,0.9413854351687388,0.9375,0.9294117647058824,0.9296482412060302,0.9262168447799826,0.9227348526959422,0.9289478793930821,0.9347826086956522,0.9446808510638298,0.9545454545454546,0.9523809523809523,0.9476398871450522,0.9411764705882353,0.9380863039399625,0.9306654257794323,0.9269566210045662,0.923062124485749,0.9200848708278164,0.9268164245623499,0.9420591913297207,0.953125,0.9547738693467337,0.9574468085106383,0.9509615278846049,0.9424649597378346,0.9422671406732755,0.9386733416770964,0.9353583997036489,0.9290657439446367,0.9318181818181818,0.9345794392523364,0.9499358151476252,0.9601702116119935,0.9644866498589272,0.963855421686747,0.9610877420102795,0.9576505639497765,0.9547394429469902,0.9505941213258287,0.949748743718593,0.9450697475395806,0.9407407407407408,0.9505232663407568,0.9610433604336044,0.9674193548387097,0.9719438877755511,0.9706410499413145,0.9661016949152542,0.9633563218390805,0.9607791524085285,0.9574468085106383,0.9552313451497203,0.9528346831824679,0.9496284769110815,0.957469038453355,0.96421342625685,0.9731543624161074,0.9777171441564347,0.9754877438719359,0.9738585718530257,0.9690825360652102,0.9629629629629629,0.9603666857794408,0.9565217391304348,0.9505875730270703,0.9487179487179487,0.9545644018340975,0.9642857142857143,0.9717062017719348,0.9782514136581122,0.9754877438719359,0.9714285714285714
6,394692,"Houston, TX",Msa,1.0356973153675593,1.0210036146662054,1.0369728293633997,1.0357969427115576,1.0479294990723562,1.0421686373041679,1.0261949458483755,1.021083686212498,1.0060287990401453,1.011660361496427,1.0119507835735528,0.9969236751810904,1,0.9959891301016663,1.0014508672566373,1.0116586345381526,1.0140384236315243,1.010170808724636,1.006627852357509,1.0045576742732103,0.9996477181745397,1,1.0116615384615384,1.0104608695652173,0.9699050632911392,1.015604670558799,1.0138404613487115,1.0042949014754674,1.019888976852657,1.0219307692307693,1.0273828571428572,1.0088699187523287,1.01795,0.9961808246245878,1.0004,1.000610202587259,1.0029547038327526,1.011227889906116,1.0151585866261397,1.030320806490098,1.0297656661400738,1.0250257921886514,1.025155415518556,1.0212792497678738,1.02625301003115,1.0186475409836067,1.0115279799636694,1.01464725,1.0116606642657062,1,1.011658955013277,1.0062893081761006,1.0095922451532209,1.0147441634241243,1.0007993094218022,1,1.002854712816328,1.00604069667184,1.0044782608695653,1,1.0007873845488524,1,1.0163133534173432,1.0197257879361157,1.0285844748858448,1.032,1.019147621988882,1.021215034965035,1.017094017094017,1.0039381120838158,1.011660465116279,1,1,1,0.9965635738831615,1,1.0076923076923077,1.0006671114076051,1.00306301369863,1.0015673981191222,1,1,1,1,0.9985217391304347,0.9930635745445214,1,1,1.0024688345518875,1.0010131539235414,1.0047337220602528,1,0.9881621461041328,0.9862000952186629,0.9866648884146884,0.9875074895146795,0.9866666666666667,0.987902551472883,0.992651356993737,1,1,1,1,0.997492851156434,0.9977533552224375,1,0.99852,0.9999833263859942,1,1.0010714809044292,1.0010085166635214,1.0147357941425073,1.0175581751777214,1.0161510611321374,1.0093896713615023,1.0149217877094971
7,395209,"Washington, DC",Msa,0.95,0.9525321479599936,0.9555308367321715,0.9660580755717774,0.9656042475428867,0.9659985640052084,0.962919837645865,0.9576880246702073,0.9553722518138281,0.9559926654442407,0.9546603023070803,0.950242148075265,0.9481339987173321,0.9479186414971698,0.9557521403270554,0.9603201109731703,0.9635550355172464,0.9666666666666667,0.9637197523300376,0.9587328053355565,0.9542931327782255,0.9507030385400619,0.9497947143115939,0.9496074955684983,0.9435483870967742,0.9485714285714286,0.9574946861715429,0.9694396402628849,0.9748743718592965,0.9750853213369507,0.9751651856915015,0.9711595055915244,0.9714285714285714,0.9699909063352531,0.9710786749482402,0.9694227767278347,0.9668385598512994,0.970323441147049,0.9791794165646674,0.9872029250457038,0.9907956835903717,0.9935483870967742,0.9916666666666667,0.9867531765341985,0.9832635983263598,0.9813186813186813,0.9761885862457382,0.974025974025974,0.9663157894736842,0.9714285714285714,0.9798047067233411,0.9850098501970039,0.988117107323802,0.987220447284345,0.9819018891887601,0.9768637532133676,0.9717062017719348,0.9699681307632549,0.9664787194067987,0.9614636323070058,0.9583333333333334,0.9629647462343138,0.9746487930261558,0.9819967266775778,0.9859959988568162,0.9849462365591398,0.9803921568627451,0.9759036144578314,0.9717756341550554,0.970323441147049,0.9679976047884823,0.9639869043288468,0.9623341945715823,0.9637695127094387,0.9747699579831932,0.9840821632535821,0.9875368465540857,0.9858982219497241,0.9854973366661308,0.9802178261835963,0.9767441860465116,0.9767441860465116,0.9754064193413923,0.9703802519272315,0.9701940388077616,0.9728464473705261,0.983013348818588,0.9914132104454685,0.9923076923076923,0.9917314049586777,0.9882352941176471,0.9833587656832825,0.9824561403508771,0.9814814814814815,0.979765708200213,0.9743523980507822,0.9722222222222222,0.9783381253594019,0.9881246621917736,0.99899849774662,1,1,0.9935379644588045,0.9871794871794872,0.9836674090571641,0.9818181818181818,0.9786033130430135,0.9738461538461538,0.9742913198200862,0.9798270893371758,0.9887218045112782,1,1,1,0.997718506826931,0.9916802205790278
8,394856,"Miami-Fort Lauderdale, FL",Msa,0.8754698634457792,0.8670038375026743,0.868,0.8727012615424632,0.881864760681015,0.8905380333951762,0.9045226130653267,0.9090909090909091,0.9043927648578811,0.9044942064761342,0.9047619047619048,0.9018036072144289,0.9045968642066385,0.9025663331883428,0.8909853249475891,0.8949648505335104,0.8954477238619309,0.8979591836734694,0.9027777777777778,0.9118541033434651,0.9159085270035563,0.9104704097116844,0.9124543795620438,0.9166666666666666,0.918918918918919,0.9164179104477612,0.9185007142072299,0.9195402298850575,0.9229566054383573,0.9287864549782165,0.9331029217143438,0.9375,0.9375,0.9387755102040817,0.9411764705882353,0.9357541899441341,0.9403508771929825,0.9375,0.9366754617414248,0.9411764705882353,0.9421884376875375,0.9428571428571428,0.9489894731294712,0.9514563106796117,0.9498207885304659,0.9496124031007752,0.9470901419836294,0.9438202247191011,0.9419439952336368,0.9388324873096446,0.9374739474781159,0.9361702127659575,0.9375,0.9416984129215458,0.94,0.9402146142054164,0.9410029498525073,0.939183987682833,0.936322260314458,0.9354838709677419,0.9336445481827276,0.931899641577061,0.9342560553633218,0.9350307287093942,0.9411764705882353,0.9444444444444444,0.9438975500486575,0.9432955303535691,0.9434447300771208,0.9422850412249706,0.9430331023864511,0.9414225941422594,0.9384378516018239,0.9377442042198489,0.9410664129745402,0.9407001667063587,0.94237686773658,0.9455587392550143,0.9459459459459459,0.9457841691010815,0.9448643841707426,0.943860968825783,0.9432528272953805,0.9422492401215805,0.9379906582368962,0.9386733416770964,0.9388535031847134,0.94,0.9411764705882353,0.9418491933956734,0.9411764705882353,0.9444135459152144,0.9428571428571428,0.9432387312186978,0.9405204460966543,0.9411764705882353,0.9385092052595434,0.9405252277773524,0.9417304296645085,0.9428571428571428,0.9420289855072463,0.945,0.9444863076768888,0.9467667023937121,0.9430169248679143,0.9414860814266428,0.9416216007995224,0.9387755102040817,0.9351892127011744,0.9345454545454546,0.9383205717554464,0.9384615384615385,0.9393939393939394,0.9424588983970661,0.9435690653432589,0.9449180091020732
9,394347,"Atlanta, GA",Msa,0.8762886597938144,0.8794959306904699,0.8796420756018475,0.8893829905503057,0.8949051099867051,0.9054545454545454,0.903890562248996,0.9006004002668445,0.8895908573690199,0.8933357440789254,0.8743625880845611,0.8754377188594297,0.8684492682743313,0.8561815430558479,0.87468671679198,0.8728318704806949,0.8918317786930926,0.8941176470588236,0.8922593290108636,0.8948328063023319,0.8859649122807017,0.8894137174973751,0.9,0.8995484752120027,0.9025758532670193,0.895,0.9141494435612083,0.9285714285714286,0.9332403100775194,0.9367479674796748,0.9391776279994233,0.942488940180804,0.9396950929013816,0.9444444444444444,0.9458052303643405,0.9446733372572101,0.9448275862068966,0.9533333333333334,0.955909596146721,0.9609856262833676,0.9629492353732532,0.9636363636363636,0.9633446696966268,0.9626038781163435,0.96,0.9568818599784706,0.9541397353031702,0.952,0.9504140064423539,0.952254404299791,0.9565122832233297,0.9629629629629629,0.9649122807017544,0.9653484733203544,0.9636363636363636,0.9568627450980393,0.9543088490456911,0.95,0.9479362313593266,0.9478260869565217,0.9473684210526315,0.9489302967563837,0.96038438452304,0.9647184691038668,0.9697295036893704,0.969811320754717,0.967032967032967,0.9631578947368421,0.9608817099829974,0.9571428571428572,0.9560134905514649,0.9544361861856441,0.9536363636363636,0.9588235294117647,0.9655172413793104,0.9727272727272728,0.9778864318257584,0.9772727272727273,0.975609756097561,0.9733333333333334,0.9696969696969697,0.9685640648011782,0.9668508287292817,0.9644,0.9654880925624993,0.9666666666666667,0.975,0.9791666666666666,0.9818887834953759,0.9807807014540624,0.9798989257140591,0.975609756097561,0.9736,0.9710982658959537,0.9712230215827338,0.9714285714285714,0.9698744558914976,0.976,0.9803039744376614,0.9869551036614765,0.9885416666666667,0.987012987012987,0.9854651162790697,0.9803175621820301,0.9775733179988499,0.9733333333333334,0.971744235906655,0.9704852426213106,0.9666666666666667,0.9723559476471086,0.9777777777777777,0.9799833194328608,0.9824561403508771,0.9812259185954384,0.9799713876967096,0.9754877438719359
