"RegionName","City","State","Metro","CountyName","SizeRank","2010-02","2010-03","2010-04","2010-05","2010-06","2010-07","2010-08","2010-09","2010-10","2010-11","2010-12","2011-01","2011-02","2011-03","2011-04","2011-05","2011-06","2011-07","2011-08","2011-09","2011-10","2011-11","2011-12","2012-01","2012-02","2012-03","2012-04","2012-05","2012-06","2012-07","2012-08","2012-09","2012-10","2012-11","2012-12","2013-01","2013-02","2013-03","2013-04","2013-05","2013-06","2013-07","2013-08","2013-09","2013-10","2013-11","2013-12","2014-01","2014-02","2014-03","2014-04","2014-05","2014-06","2014-07","2014-08","2014-09","2014-10","2014-11","2014-12","2015-01","2015-02","2015-03","2015-04","2015-05","2015-06","2015-07","2015-08","2015-09","2015-10","2015-11","2015-12","2016-01","2016-02","2016-03","2016-04","2016-05","2016-06","2016-07","2016-08","2016-09","2016-10","2016-11","2016-12","2017-01","2017-02","2017-03","2017-04","2017-05","2017-06","2017-07","2017-08","2017-09","2017-10","2017-11","2017-12","2018-01","2018-02","2018-03","2018-04","2018-05","2018-06","2018-07","2018-08","2018-09","2018-10","2018-11","2018-12","2019-01","2019-02","2019-03","2019-04","2019-05","2019-06","2019-07","2019-08","2019-09"
"Northeast Dallas","Dallas","TX","Dallas-Fort Worth-Arlington","Dallas County",1,,,,,,,,,,,,,0.928571428571429,0.962730996380263,0.977542932628798,0.983741526350317,0.990980487018223,1.06826801517067,1.06384527103667,0.971107544141252,0.9,0.884146341463415,0.95,0.891094453540729,0.874285714285714,0.906488549618321,0.888157894736842,0.95462962962963,1.01129943502825,1.065,0.951896415131709,1.03571428571429,0.984607441967188,1.01851851851852,1.04153002838873,1.04202853287527,1.0354819633353,0.999004975124378,0.97341211225997,0.961538461538462,0.99417097409144,0.992766726943942,0.943262411347518,1.09030837004405,1.15214431586113,1.16553688715865,1.29032258064516,1.1437908496732,1.15256982791634,1.16032639940809,1.1644370122631,1.11621338912134,1.15308151093439,1.03719008264463,1.02272727272727,1.12795689612511,1.16888244687528,1.27558514931396,1.14035087719298,0.997711670480549,1.03059581320451,1.018,1.13430282292558,1.15657311669129,1.15657311669129,1.14035087719298,1.26762934298968,1.20454545454545,1.13410087719298,1.11373188405797,1.17419348349608,1.14942196531792,1.20236929518625,1.31901840490798,1.21665349497549,1.21214831314052,1.22,1.2792157384612,1.21838229564404,1.27857142857143,1.28378378378378,1.28550074738416,1.325,1.28362470862471,1.35428571428571,1.35862068965517,1.40625,1.45249009620826,1.44857496902107,1.47222222222222,1.70474315710536,1.6694021101993,1.6769862774233,1.68556005398111,1.70018382352941,1.72611077297626,1.73927578622596,1.61111111111111,1.59974905897114,1.59,1.55783582089552,1.55238095238095,1.4932735426009,1.46428571428571,1.495,1.56649395509499,1.58203799654577,1.57004830917874,1.58114035087719,1.58449022242126,1.69781931464174,1.72997299729973,1.86683417085427,1.67185877466251,1.62405063291139,1.67654986522911
"Maryvale","Phoenix","AZ","Phoenix-Mesa-Scottsdale","Maricopa County",2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.05029585798817,1.06818181818182,1.09837278106509,1.11861713784791,1.12848415425735,1.09467455621302,1.10357787583994,1.09922680412371,1.03215562647283,0.998449612403101,1.02033898305085,1.03220338983051,1.04166666666667,1.04166666666667,1.03526093088858,1.03526093088858,1.04476224839002,1.03526093088858,1.08527131782946,1.03526093088858,1.05009799791182,1.06493506493506,1.06493506493506,1.03246753246753,1.08527131782946,1.13899613899614,1.17899103682171,1.17753623188406,1.30699954400365,1.27218934911243,1.24031007751938,1.344
"Paradise","Las Vegas","NV","Las Vegas-Henderson-Paradise","Clark County",3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.26201923076923,1.10887096774194,1.10294117647059,1.07863849765258,1.05516431924883,1.07,1.10868937193541,1.1741935483871,1.15980389964671,1.17347317868793,1.25,1.1,1.25714285714286,1.18455882352941,1.06744177044929,1.1938202247191,1.2664907651715,1.27204502814259,1.39086859688196,1.3747009569378,1.33518930957684,1.32211538461538,1.34112792297111,1.29166666666667,1.33518930957684,1.2965367965368,1.26142857142857,1.19487179487179,1.3,1.3,1.3,1.35497835497836,1.36294896030246,1.3647457787896,1.39086859688196,1.375,1.39086859688196,1.39316113993533,1.39354838709677,1.36129032258065,1.36133333333333,1.42065868263473,1.39,1.39,1.415,1.39100391869414,1.415,1.41242937853107,1.415,1.44291091593476
"Upper West Side","New York","NY","New York-Newark-Jersey City","New York County",4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.08221684959422,5.05993150684932,5.05993150684932,5.05774353120244,5.00649169527883,4.98307692307692,4.99,4.99258160237389,5.05540166204986,5.11509498476584,5.01176656077735,5.01638248885025,5.10047821466525,5.09398496240602,5.13755980861244,5.07862212521141,5.07278020378457,5.04772727272727,4.98518518518518,5.01658374792703,5.06723716381418,5.06042296072508,5.04963769884719,5,4.58087367178276,5.00569476082005,5,4.9211356466877,4.9147123649989,4.9147123649989,4.90502793296089,4.99359795134443,5.02225519287834,4.98307692307692,5,5,4.99261433059871,4.99324324324324,4.99679897567222,4.99129080118694,4.99,4.97813411078717,4.93939766189628,4.97289972899729,5,5.04418769381791,5.15384615384615,5.08269018743109,5.05050505050505,5.12263329381164,5.02225519287834,5.04484304932735,5.02479666118737,5.05767809636417,5.09699248120301,5.0071503063997,5.05263157894737,5.12839879154079,5.14501510574018,5.28156506520078,5.20618556701031,5.21268268291424,5.1556420233463
"Spring Valley","Las Vegas","NV","Las Vegas-Henderson-Paradise","Clark County",5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.31291759465479,1.27338129496403,1.27756160830091,1.2488038277512,1.27756160830091,1.27951002227171,1.13304093567251,1.136,1.21490414347557,1.17245029239766,1.16228070175439,1.1439588688946,1.27951002227171,1.31459330143541,1.27531363988433,1.27951002227171,1.30434782608696,1.29004329004329,1.33518930957684,1.33518930957684,1.30201342281879,1.28571428571429,1.33518930957684,1.29620563035496,1.30390510503175,1.33736559139785,1.38678090575275,1.39086859688196,1.44115157078743,1.45378097567845,1.44654788418708,1.44354838709677,1.44295302013423,1.42857142857143,1.41388888888889,1.48564593301435,1.4577553593947,1.44654788418708,1.44654788418708,1.45152435284014,1.44654788418708,1.47774227498127,1.5,1.5,1.45667447306792
"Paradise Valley","Phoenix","AZ","Phoenix-Mesa-Scottsdale","Maricopa County",6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.43209792278115,1.45883940620783,1.50132275132275,1.55937209966445,1.55666251556663,1.5293453724605,1.5592203898051,1.605844320086,1.59340659340659,1.60609997130925,1.56697931697932,1.59670164917541,1.59670164917541,1.62757871878393,1.62480376766091
"Deer Valley","Phoenix","AZ","Phoenix-Mesa-Scottsdale","Maricopa County",7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.10181311018131,1.1657800066313,1.20831417624521,1.1877292215507,1.23735408560311,1.27849780589856,1.28793774319066,1.29405043766385,1.26526648599819,1.23619117492925,1.20864197530864,1.23836085250559,1.27777739857709,1.24684684684685,1.25103607384765,1.29986052998605,1.24666666666667,1.23833333333333,1.25,1.24595469255663,1.24595469255663,1.25,1.27753303964758,1.26,1.27028063305596,1.31439894319683,1.31217460633845,1.33627019089574,1.37687861271676,1.38793103448276,1.36552510153048,1.38633193863319,1.3936170212766,1.40682414698163
"North Mountain","Phoenix","AZ","Phoenix-Mesa-Scottsdale","Maricopa County",8,,,,,,,,,,,,,,,,,,,,,0.8,0.751506024096386,0.674718196457327,0.6703125,0.75,0.727142857142857,0.712857142857143,0.7,0.79255710414247,0.793884220354809,0.812859097127223,0.830882352941177,0.831181917211329,0.803549695740365,0.771960784313726,0.794117647058823,0.831481481481481,0.8325,0.838095238095238,0.815261482492042,0.824159021406728,0.862068965517241,0.861248761149653,0.872689938398357,0.840978593272171,0.839920948616601,0.838224308048776,0.832107843137255,0.827520687173952,0.825650939274792,0.857142857142857,0.91991341991342,0.904837861745133,0.911858974358974,0.911858974358974,0.888745148771022,0.890119047619048,0.868571428571429,0.949393440451182,0.990079365079365,0.938178505112144,0.941605839416058,0.929542645241038,0.923104655953852,0.94178388915231,0.934285714285714,0.981481481481482,1,0.97979682829204,0.98644578313253,0.979680696661829,0.992792792792793,1,1.04166666666667,1.04453995843567,1.06297527904519,1.05225225225225,1.03420695205996,0.991585451106177,1.04142857142857,0.986951447245565,1.03915662650602,0.955983493810179,0.992275496168206,1.0140625,1.04528882306027,1.04926470588235,1.0949263502455,1.09615503558787,1.11170498324992,1.11983114357539,1.10694950790944,1.13892709766162,1.098,1.098,1.12765957446809,1.16039279869067,1.16039279869067,1.16039279869067,1.16039279869067,1.20027285129604,1.23965517241379,1.24147339699864,1.24029202742605,1.27344445401556,1.27495908346972,1.268758526603,1.27495908346972,1.28314238952537,1.28620689655172,1.29247765006386,1.31302521008403,1.37742718446602,1.42857142857143,1.44615384615385,1.3892365456821
"Astoria","New York","NY","New York-Newark-Jersey City","Queens County",9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,2.8669790343075,3,3.07937062937063,2.8,3,3,2.99166666666667,2.92153846153846,2.86666666666667,3,2.99230769230769,2.86281236764083,2.85714285714286,2.87840909090909,2.8,2.82916666666667,2.84615384615385,2.78623949579832,2.84615384615385,2.88888888888889,2.83333333333333,2.85714285714286,2.92307692307692,2.95238095238095,2.86666666666667,2.8,2.83974358974359,2.85805046287893,2.86281236764083,2.85642857142857,2.85714285714286,3,3,2.99523237179487,3,3.01578947368421,3.04520833333333
"Far North","Dallas","TX","Dallas-Fort Worth-Arlington","Dallas County",10,,,,,,,,,,,,,1.06811989100817,1.06837606837607,1.01906023632984,1.01451010439613,1.00991501416431,0.98147036041554,0.986244467143344,1.00710900473934,0.992857142857143,0.972027972027972,0.954782608695652,0.95573499776086,0.972024456521739,0.973076923076923,0.973597285067873,0.978962131837307,1.008,1.01044117830152,1.0035799522673,1.01550480769231,1.01071975497703,1.01866251944012,1.05,1.08606557377049,1.03596153846154,1.03311403508772,1.04166666666667,1.04833333333333,1.06470364362931,1.05580693815988,1.06253031802394,1.13207547169811,1.12659698025552,1.12282229965157,1.12477079394411,1.12529550827423,1.09070034443169,1.0917537746806,1.09230769230769,1.09807626245277,1.11801242236025,1.12007168458781,1.12284069097889,1.15151515151515,1.15781710914454,1.16025641025641,1.14652956298201,1.14284274193548,1.16923076923077,1.12878787878788,1.14583333333333,1.14479870479484,1.15876954586632,1.189453125,1.18599311136625,1.1725309699594,1.19710537965388,1.19047619047619,1.22382611190689,1.22861586314152,1.26219108369061,1.29848484848485,1.28104575163399,1.28571428571429,1.28304930949008,1.25544250618563,1.33048128342246,1.44157833809644,1.34253011676988,1.30596497178625,1.28133704735376,1.30936613055818,1.33485695998219,1.35947712418301,1.3489932885906,1.36391912908243,1.36377774635939,1.36153846153846,1.37217391304348,1.38189845474614,1.40213049267643,1.37110016420361,1.38455298013245,1.38427185519319,1.37110016420361,1.36879432624113,1.38233679805152,1.40179910044978,1.42187077039684,1.41384388807069,1.42519480519481,1.39911634756996,1.40117994100295,1.37917642466823,1.38709677419355,1.40394088669951,1.421854912764,1.40819209039548,1.40947752126367,1.37810945273632,1.4,1.3906973816717,1.40415525920692,1.40540540540541
