"RegionName","SizeRank","2010-01","2010-02","2010-03","2010-04","2010-05","2010-06","2010-07","2010-08","2010-09","2010-10","2010-11","2010-12","2011-01","2011-02","2011-03","2011-04","2011-05","2011-06","2011-07","2011-08","2011-09","2011-10","2011-11","2011-12","2012-01","2012-02","2012-03","2012-04","2012-05","2012-06","2012-07","2012-08","2012-09","2012-10","2012-11","2012-12","2013-01","2013-02","2013-03","2013-04","2013-05","2013-06","2013-07","2013-08","2013-09","2013-10","2013-11","2013-12","2014-01","2014-02","2014-03","2014-04","2014-05","2014-06","2014-07","2014-08","2014-09","2014-10","2014-11","2014-12","2015-01","2015-02","2015-03","2015-04","2015-05","2015-06","2015-07","2015-08","2015-09","2015-10","2015-11","2015-12","2016-01","2016-02","2016-03","2016-04","2016-05","2016-06","2016-07","2016-08","2016-09","2016-10","2016-11","2016-12","2017-01","2017-02","2017-03","2017-04","2017-05","2017-06","2017-07","2017-08","2017-09","2017-10","2017-11","2017-12","2018-01","2018-02","2018-03","2018-04","2018-05","2018-06","2018-07","2018-08","2018-09","2018-10","2018-11","2018-12","2019-01","2019-02","2019-03","2019-04","2019-05","2019-06","2019-07","2019-08","2019-09"
"United States",0,,,1.16375727348296,1.17474302496329,1.1744966442953,1.21951219512195,1.0989010989011,1.046807170426,1.08910891089109,1.13095238095238,1.15092936904768,1.17585038120537,1.1,1.11111111111111,1.13354037267081,1.18686868686869,1.18818240205523,1.15718799368088,1.14285714285714,1.13800619539085,1.11111111111111,1.05140186915888,1.0406976744186,1.06609808102345,1.06331561140648,1.07238605898123,1.09634551495017,1.08794197642792,1.1,1.10962052653229,1.10912511759172,1.125,1.125,1.10767326732673,1.12820512820513,1.09756097560976,1.06327683615819,1.08307081340662,1.11317254174397,1.1046511627907,1.11111111111111,1.10394736842105,1.14098396293008,1.14889705882353,1.19047619047619,1.19791666666667,1.2,1.22340425531915,1.22065727699531,1.19402985074627,1.18198823038558,1.20344358561881,1.2725562305955,1.32901367781155,1.27857142857143,1.26548672566372,1.26245210727969,1.246875,1.23269297127357,1.22767857142857,1.23,1.26506024096386,1.2884834663626,1.29032258064516,1.31075045445248,1.31818181818182,1.33598732171157,1.3448275862069,1.32916666666667,1.32266146142989,1.33587786259542,1.33333333333333,1.33587786259542,1.3588973726339,1.37900355871886,1.37845576834887,1.37692969680921,1.36799345806075,1.40103821455835,1.35416666666667,1.34902309058615,1.32859040870555,1.35202827443662,1.30662020905923,1.35431573537807,1.35059760956175,1.37693631669535,1.4043455779866,1.41082519964508,1.40975609756098,1.41251221896383,1.41666666666667,1.39423076923077,1.3897770628824,1.39454057485063,1.40035757624658,1.40404929577465,1.41292134831461,1.42964635063958,1.45454545454545,1.47427836314629,1.48214285714286,1.48629441624365,1.48977695167286,1.4732222012069,1.47064305684995,1.46666666666667,1.46899224806202,1.46802721088435,1.4804469273743,1.49823736780259,1.50676691729323,1.51296563133739,1.51515151515152,1.51689189189189,1.50938337801609,1.49842271293375
"New York, NY",1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.58554532565193,2.64612954186414,2.55990867579909,2.53571428571429,2.63157894736842,2.66666666666667,2.65,2.66111111111111,2.625,2.61132920543723,2.52941176470588,2.5,2.51314285714286,2.5,2.495,2.5,2.51851851851852,2.58333333333333,2.59259259259259,2.57142857142857,2.55222377622378,2.51396648044693,2.5,2.5,2.5,2.475,2.48888888888889,2.5,2.5275,2.53812807567237,2.56781702998783,2.54168812221078,2.53846153846154,2.5
"Los Angeles-Long Beach-Anaheim, CA",2,,1.68414900560493,1.66748446189074,1.69113686795786,1.67894736842105,1.6965584100824,1.75155475739133,1.75,1.68692032040472,1.68861712135466,1.68726235741445,1.69642857142857,1.69642857142857,1.69773095623987,1.68922736295618,1.69845388428483,1.71787709497207,1.72596379428871,1.7256138132943,1.71503957783641,1.71532035368913,1.68269230769231,1.67107002089412,1.67794778996877,1.68251645940015,1.70251310514955,1.70212765957447,1.70588235294118,1.71483882030178,1.71330862690837,1.72365988909427,1.71846973036439,1.73642857142857,1.73668032786885,1.71111434325352,1.69365111665641,1.69791666666667,1.71996240601504,1.75912428463449,1.76324561403509,1.78571428571429,1.78103129319692,1.78147268408551,1.77629195270786,1.82142857142857,1.82258064516129,1.795,1.86005314437555,1.85599119772579,1.84463357057915,1.84466019417476,1.86965655827548,1.89812502312502,1.92794547224927,1.94117647058824,1.95454545454545,1.96666666666667,2.00177784032273,2.01772744731742,2.02036146549584,2.0226996687523,2.01745877788555,2.02961163274999,2.05779537585344,2.08333333333333,2.095,2.10551330798479,2.12044105173876,2.11773297439716,2.13,2.16021602160216,2.1505376344086,2.16278024092354,2.17899159663866,2.19228368385672,2.19047619047619,2.19193612571651,2.212586276026,2.18382978723404,2.19597211463981,2.22727272727273,2.16165413533835,2.18735730593607,2.15959004392387,2.22173828881146,2.28795180722892,2.32515337423313,2.33333333333333,2.33940556088207,2.34702430846605,2.33544805709754,2.35294117647059,2.34620423153719,2.328,2.33160621761658,2.34375,2.33510638297872,2.35700817096166,2.36572890025575,2.38805970149254,2.41176470588235,2.42441819587991,2.42934782608696,2.44080566147713,2.41935483870968,2.43888888888889,2.4434628975265,2.44678979771328,2.43921617292029,2.45398773006135,2.47415329768271,2.5,2.50527463722959,2.51287354493146,2.52525252525253,2.54090909090909,2.55035971223022
"Chicago, IL",3,,,1.2,1.23923517012948,1.21212121212121,1.23785950023574,1.23762376237624,1.23456790123457,1.28983308042489,1.28869336424678,1.27704081632653,1.33511586452763,1.30769230769231,1.29686304514155,1.35,1.45833333333333,1.49216276340212,1.51530771633864,1.5,1.48343736995422,1.46875,1.39655172413793,1.34297520661157,1.34355828220859,1.375,1.38617344998098,1.39397321428571,1.31923833363132,1.34917355371901,1.41964285714286,1.39914819700967,1.41071428571429,1.41086186540732,1.4314548335049,1.41086186540732,1.41636363636364,1.41014617368874,1.45280898876404,1.41666666666667,1.46637406459535,1.48630348614458,1.5,1.53409090909091,1.53377093254394,1.535,1.49107997962303,1.44105879752431,1.50215382637128,1.41610313503517,1.36780427631579,1.38095238095238,1.4,1.53694939934474,1.56028368794326,1.66666666666667,1.47947551662174,1.61538461538462,1.56500802568218,1.45908607863975,1.42869198312236,1.44444444444444,1.63398692810458,1.5152217260651,1.52741514360313,1.55268297697368,1.50237529691211,1.52173913043478,1.50384381294651,1.595,1.62424242424242,1.7,1.6,1.53333333333333,1.74216027874564,1.53333333333333,1.53333333333333,1.56521739130435,1.5625,1.56150234741784,1.51632345554997,1.5,1.45945945945946,1.46907905552143,1.46411483253589,1.47846889952153,1.5054347826087,1.54166666666667,1.57894736842105,1.595,1.6,1.58333333333333,1.59090909090909,1.57086928570711,1.57302911897892,1.59324060372891,1.59090909090909,1.57726690343463,1.60551215277778,1.6625,1.68555240793201,1.695,1.70952380952381,1.7,1.70192307692308,1.7741374752148,1.68181818181818,1.69294117647059,1.7,1.72727272727273,1.76666666666667,1.77777777777778,1.75,1.74162257495591,1.72939763575566,1.72666666666667,1.70588235294118,1.69354838709677
"Dallas-Fort Worth, TX",4,,,,,,,0.821596244131455,0.833654734235286,0.92809657549862,0.952835188129306,0.93333973374296,0.999167360532889,0.938666399345062,0.910179640718563,0.916967903198761,0.892857142857143,0.892857142857143,0.90293453724605,0.90625,0.893877551020408,0.875975715524718,0.875486381322957,0.877358490566038,0.916299559471366,0.919324577861163,0.921243523316062,0.949771689497717,0.921985815602837,0.940928270042194,0.952500960061444,0.948936170212766,0.95726565666012,0.959314912280702,0.964179104477612,0.969488939740656,0.999069766636899,1.04457142857143,1.00616740088106,1.02948163886139,1.01419698314108,1.03937728937729,1.05537799652143,1.05107327905255,0.990004541326067,1.02332292506044,1.03336821016944,1.02883342772003,1.04340567612688,1.04443908649516,1.03758160990012,1.04166666666667,1.08944281524927,1.10555555555556,1.0986301369863,1.09081894803263,1.08695652173913,1.07684106937838,1.0727969348659,1.10555555555556,1.07072368421053,1.05593626682468,1.08750775533099,1.1008,1.1198738170347,1.12952629038882,1.13891951488423,1.14724480578139,1.15869753451098,1.15679408853968,1.16413494424544,1.19399348287801,1.19089550132163,1.20085015940489,1.20901776156638,1.23553719008264,1.24062208955624,1.2474400127059,1.25649913344887,1.25,1.23125,1.26239855725879,1.2278978388998,1.21349720272512,1.19538210038821,1.25118118456639,1.26239855725879,1.30589430894309,1.32058287795993,1.33763837638376,1.35968722849696,1.35725714075839,1.35917030567686,1.32717855485801,1.30059722967649,1.31826120787394,1.32449725776965,1.32384808174282,1.35965978128797,1.36511144942473,1.36792452830189,1.38423672203681,1.38477707033734,1.38787185354691,1.39484978540773,1.38677310412801,1.40818856680478,1.40117647058824,1.40466278101582,1.39933166248956,1.40922768304915,1.42497464503043,1.42056421709663,1.41568981064022,1.41276041666667,1.41459074733096,1.40535549399815,1.40537634408602
"Philadelphia, PA",5,,1.10803324099723,1.05263157894737,1.06877323420074,1.12815969670994,1.15151515151515,1.1926724137931,1.20215711330169,1.13333333333333,1.15384615384615,1.13636363636364,1.12244897959184,1.14234203296703,1.12901752665532,1.12860892388451,1.1329408543264,1.14583333333333,1.15523465703971,1.15384615384615,1.17753623188406,1.15436872909699,1.14392932314169,1.20192307692308,1.20992332526231,1.2202380952381,1.21544715447154,1.24476987447699,1.27116327300151,1.27777777777778,1.27189324437031,1.2541993281075,1.20481927710843,1.18845500848896,1.17751479289941,1.17647058823529,1.17317693059629,1.16113744075829,1.16438356164384,1.16666666666667,1.18181818181818,1.20620689655172,1.1974866057359,1.20606060606061,1.19617224880383,1.20481927710843,1.19427419354839,1.21666666666667,1.17674858223062,1.17773019271949,1.17125106572932,1.17570215545395,1.19176598049837,1.23020318096538,1.25,1.25772000423594,1.25,1.24333925399645,1.22222222222222,1.21951219512195,1.20967741935484,1.20833333333333,1.22890436040598,1.26643295354952,1.27895752895753,1.29886045327222,1.29063542825362,1.27840909090909,1.26930834797319,1.26354895104895,1.26190476190476,1.29843105925319,1.28,1.30994393476045,1.32766272189349,1.33474576271186,1.36585738850201,1.37755102040816,1.37222222222222,1.35608393756416,1.34053114193573,1.33333333333333,1.325,1.30555555555556,1.31327366107524,1.33333333333333,1.35408333333333,1.38636363636364,1.40287816240942,1.42857142857143,1.41961231470924,1.42142857142857,1.43205492424242,1.41176470588235,1.4,1.40148090306318,1.39774542550102,1.41064421936308,1.41940085592011,1.45086025525108,1.47826086956522,1.51717205065691,1.50862068965517,1.5,1.49193128390597,1.48351648351648,1.47174657534247,1.4589087383205,1.46328626444159,1.50227277423087,1.53454302753263,1.54890748812036,1.54545454545455,1.55263157894737,1.554,1.53846153846154,1.53157894736842,1.53360110752143
"Houston, TX",6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.01896590483327,0.936842105263158,0.938383838383838,0.984314433417653,1.02163225172075,1.02803738317757,1.02142857142857,1.06467661691542,1.07279344858963,1.1484787042029,1.14490161001789,1.12390467104798,1.06200177147919,1.18423383525244,1.07964601769911,1.04616440251862,1.07272727272727,1.12000733549684,1.11841967692089,1.11690245718541,1.11507582515611,1.1498345100466,1.16251822157434,1.12320816145907,1.12954333643989,1.12860892388451,1.13122171945701,1.146261442807,1.18054767390391,1.1865089822499,1.19121487723652,1.20130475302889,1.19814020028612,1.19389587073609,1.18327976233959,1.3,1.28081457663451,1.29213483146067,1.25555555555556,1.29168909221385,1.27130355754186,1.26147595437164,1.24634562113786,1.23139761185558,1.20867279444468,1.23238418541366,1.16998155953635,1.16705607476636,1.14906208605734,1.19757688723206,1.22328090476725,1.21468034727703,1.23052362707535,1.24948168624741,1.2350513945599,1.23958595583983,1.24653739612188,1.26663863190356,1.27603548003925,1.27737226277372,1.27737226277372,1.26878962267912,1.29158316633267,1.29313725490196,1.31131769902198,1.31662269129288,1.31302521008403,1.30952380952381,1.30763101440392,1.30453752181501,1.28348623853211,1.28585558852621,1.27956989247312,1.28095644748079,1.28265243635727,1.30866141732283,1.29857395951323,1.2978515625,1.29824561403509,1.29590948651001,1.29107981220657,1.29130775254503
"Washington, DC",7,,1.48616264687693,1.47435897435897,1.49837800145525,1.45653735632184,1.49677447861435,1.43287157516422,1.38913085559427,1.46802757340045,1.4786489355959,1.49443876174632,1.5106066509315,1.50158227848101,1.47408369985339,1.475,1.55913978494624,1.5625,1.53012447808951,1.55902004454343,1.57290470723307,1.60550458715596,1.55555555555556,1.56975965327029,1.56521739130435,1.5897599508917,1.59562841530055,1.63003581756046,1.65380374862183,1.721875,1.69483568075117,1.65258215962441,1.61614382239382,1.61809045226131,1.65745856353591,1.67255021302495,1.675,1.68772982371721,1.70770877944325,1.73205342237062,1.71802054154995,1.67172758317499,1.70777988614801,1.71601523322471,1.75132983313928,1.7353579175705,1.71986417657046,1.72771700818211,1.68421052631579,1.71332335329341,1.70863970588235,1.7035217035217,1.71836734693878,1.78016284233901,1.78777393310265,1.85024154589372,1.85408921933085,1.79930163505599,1.75983436853002,1.75770925110132,1.73611111111111,1.7510593220339,1.7981220657277,1.78313253012048,1.80851063829787,1.80506456139474,1.79766541319724,1.79555555555556,1.79330538426831,1.8017578125,1.78776645041705,1.75876078138129,1.7470703125,1.77745664739884,1.78998911860718,1.8093887567188,1.8243375858685,1.80046765393609,1.81582312558891,1.75191190078083,1.7513754313087,1.72899505766063,1.7226148409894,1.69811320754717,1.75224646983312,1.78992185070374,1.82110091743119,1.83098591549296,1.84254587356181,1.82749326145553,1.83971507819562,1.83749354005168,1.82799634034767,1.78716329299015,1.80309513697176,1.82551445454671,1.80753564154786,1.81139122315593,1.82617216117216,1.84699420639018,1.87287922603712,1.89247418690544,1.90386276283911,1.89353508316718,1.89804772234273,1.875,1.9053738317757,1.90492105933282,1.93311036789298,1.9463371279104,1.94011343781611,1.94565074654305,1.97210699110978,1.99015945869821,1.99551221804511,1.98947368421053,1.97396768402154,1.96864573403241
"Miami-Fort Lauderdale, FL",8,,,1.50140099056983,1.46174378416033,1.45,1.46484375,1.33900603902692,1.25750669884926,1.45833333333333,1.46341463414634,1.50118351227417,1.47909967845659,1.3588850174216,1.3631037334436,1.35379061371841,1.35055783910746,1.34228187919463,1.32978723404255,1.31578947368421,1.31007751937985,1.32560066280033,1.31942535581211,1.32075471698113,1.3167445482866,1.30088853519941,1.29932627526468,1.30434782608696,1.30085146641438,1.29399585921325,1.32657729148384,1.31756756756757,1.31578947368421,1.30434782608696,1.27840909090909,1.28169014084507,1.28571428571429,1.29032258064516,1.29464285714286,1.31147540983607,1.31717597471022,1.33136094674556,1.34883720930233,1.40814558058925,1.41883177244312,1.42421159715158,1.43953934740883,1.46303901437372,1.47465437788018,1.44067796610169,1.4161220043573,1.3961038961039,1.38128861429832,1.42069550466497,1.44736842105263,1.47190008920607,1.47058823529412,1.468788249694,1.46808510638298,1.45,1.45145145145145,1.46699266503667,1.48760330578512,1.50103519668737,1.50442477876106,1.55422909956589,1.59180363321799,1.61141636141636,1.62866449511401,1.59638554216867,1.62077596996245,1.63716814159292,1.6359918200409,1.62889518413598,1.65892501658925,1.68697282099344,1.63432073544433,1.62337662337662,1.60584811432969,1.58113590263692,1.5805170713482,1.62836612410753,1.59952606635071,1.67501202854376,1.54440154440154,1.620029455081,1.63532297628782,1.65234281574023,1.64948453608247,1.65463701490205,1.65217391304348,1.66015625,1.68208578637511,1.68831168831169,1.69366715758468,1.7,1.70542635658915,1.70278637770898,1.72972972972973,1.73076923076923,1.75521821631879,1.75789473684211,1.76064189597275,1.76023391812866,1.76470588235294,1.7725258493353,1.7910447761194,1.78217821782178,1.77100177216847,1.76282051282051,1.76663927691044,1.78571428571429,1.79740958405972,1.79634391403162,1.77543186180422,1.78571428571429,1.78945178176402,1.77211738884364
"Atlanta, GA",9,,0.909090909090909,0.862068965517241,0.856443719412724,0.85074931880109,0.820339234056258,0.744694616977226,0.743512974051896,0.749643874643875,0.762061403508772,0.786243326565907,0.833333333333333,0.777496946109953,0.809199318568995,0.816606864806705,0.782356260394393,0.783545543584721,0.78003120124805,0.761427123313111,0.761904761904762,0.763381063381063,0.737668483957707,0.726770929162833,0.734530216617131,0.726363636363636,0.781800391389432,0.789578111946533,0.772727272727273,0.769230769230769,0.760191846522782,0.761290792540793,0.797619047619048,0.751157407407407,0.772981989235288,0.765273625373716,0.763806287170773,0.762050474779446,0.766006246340035,0.768862908883627,0.771604938271605,0.769230769230769,0.779780564263323,0.804159445407279,0.78954816285998,0.803347280334728,0.770375736501497,0.775,0.810104529616725,0.844509733560599,0.830514180106048,0.835240274599542,0.87719298245614,0.853321033210332,0.858895705521472,0.853593611357586,0.866107846844531,0.879504145408163,0.875,0.912200684150513,0.900787401574803,0.91394422310757,0.953778429933969,0.953002610966057,0.966971629696076,0.99882491186839,1.03123308517682,1,1.02845599809746,1.01931330472103,1.01322556943424,1.17697594501718,1.15332428765265,1.1588991416309,1.15007319113342,1.16697303921569,1.16140350877193,1.06111828759017,1.13940362240614,1.09126984126984,1.10318193319838,1.13565710342108,1.06154910096819,1.07293816680717,1.05976429972434,1.10445058571193,1.11964363676053,1.14958275780906,1.16884816753927,1.20454545454545,1.18666595398377,1.19595216191352,1.21086556169429,1.20466132556446,1.19590643274854,1.19842673486552,1.19665605095541,1.22021660649819,1.22370651204282,1.24293829362346,1.27131770292328,1.28510998307953,1.2784588441331,1.301261829653,1.31829787234043,1.28977815336611,1.35030864197531,1.34633240482823,1.34274114196287,1.34634146341463,1.37620192307692,1.38171905975644,1.3970223325062,1.37456592512208,1.36752899197145,1.3620230700976,1.35564853556485,1.35181975736568
