"RegionName","SizeRank","2010-02","2010-03","2010-04","2010-05","2010-06","2010-07","2010-08","2010-09","2010-10","2010-11","2010-12","2011-01","2011-02","2011-03","2011-04","2011-05","2011-06","2011-07","2011-08","2011-09","2011-10","2011-11","2011-12","2012-01","2012-02","2012-03","2012-04","2012-05","2012-06","2012-07","2012-08","2012-09","2012-10","2012-11","2012-12","2013-01","2013-02","2013-03","2013-04","2013-05","2013-06","2013-07","2013-08","2013-09","2013-10","2013-11","2013-12","2014-01","2014-02","2014-03","2014-04","2014-05","2014-06","2014-07","2014-08","2014-09","2014-10","2014-11","2014-12","2015-01","2015-02","2015-03","2015-04","2015-05","2015-06","2015-07","2015-08","2015-09","2015-10","2015-11","2015-12","2016-01","2016-02","2016-03","2016-04","2016-05","2016-06","2016-07","2016-08","2016-09","2016-10","2016-11","2016-12","2017-01","2017-02","2017-03","2017-04","2017-05","2017-06","2017-07","2017-08","2017-09","2017-10","2017-11","2017-12","2018-01","2018-02","2018-03","2018-04","2018-05","2018-06","2018-07","2018-08","2018-09","2018-10","2018-11","2018-12","2019-01","2019-02","2019-03","2019-04","2019-05","2019-06","2019-07","2019-08","2019-09"
"United States",0,,1.47058823529412,1.47347740667976,1.44927536231884,1.48237179487179,1.37809187279152,1.33802816901408,1.44927536231884,1.45149585654759,1.44777662874871,1.45118733509235,1.38461538461538,1.35714285714286,1.37085137085137,1.40625,1.41242937853107,1.38888888888889,1.38381515943115,1.37755102040816,1.36568446837629,1.33795837462834,1.35294117647059,1.35746606334842,1.3671875,1.36986301369863,1.39084507042254,1.36217948717949,1.34336099585062,1.38221153846154,1.375,1.37818745936166,1.3719512195122,1.375,1.37434554973822,1.375,1.36363636363636,1.37978732642617,1.3764404609475,1.38760407030527,1.38447445515157,1.37096774193548,1.39473684210526,1.4,1.41150442477876,1.46488196548909,1.48943421949557,1.5,1.48572560561467,1.46299483648881,1.4453477868112,1.43815915627996,1.50669642857143,1.52214022140221,1.52892561983471,1.52881156613171,1.52777777777778,1.5,1.48575119970469,1.49114631873253,1.51515151515152,1.52724858143185,1.55038759689922,1.57520325203252,1.62271805273834,1.64146544245228,1.65428764348413,1.66666666666667,1.6295025728988,1.62689804772234,1.61290322580645,1.64275371971166,1.65775401069519,1.68197476185455,1.69172932330827,1.67095115681234,1.65557401255076,1.64117647058824,1.62162162162162,1.61480926405153,1.62037037037037,1.59574468085106,1.65671561987595,1.54593639575972,1.61101927998889,1.63636363636364,1.65837479270315,1.67763157894737,1.71318244047397,1.72727272727273,1.7369999847232,1.74672489082969,1.74418604651163,1.73168628246753,1.73382745547694,1.74074074074074,1.75,1.75202156334232,1.76470588235294,1.78875638841567,1.80952380952381,1.80780209324453,1.80505415162455,1.796875,1.77484442740865,1.75339366515837,1.75846051758461,1.76950998185118,1.77631578947368,1.78571428571429,1.80769230769231,1.82778229082047,1.83333333333333,1.83210618446935,1.82659095909021,1.81851490225805,1.81159420289855
"New York, NY",1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.75,3.77942998760843,3.73333333333333,3.60144057623049,3.54330708661417,3.75941176470588,3.85237581271041,3.61936936936937,3.5302338326635,3.5,3.41176470588235,3.30188679245283,3.45945945945946,3.75,3.68320653172081,3.71549893842887,3.79008746355685,3.83522727272727,3.85097856242911,3.67847411444142,3.625,3.6241610738255,3.46529284164859,3.41098169717138,3.39195979899498,3.4136546184739,3.42527997364954,3.49652799590221,3.77358490566038,3.72666666666667,3.56933333333333,3.64705882352941,3.38983050847458,3.34119496855346,3.47826086956522,3.66569908079342,3.19333333333333,3.67454074008965,3.8231780167264,3.81818181818182,3.86571719226857,3.96248851187124,3.88838657826,3.76375217139548,3.42857142857143,3.5,3.29565217391304,3.29710144927536,3.26006441223833,3.33333333333333,2.94117647058824,2.78058011987902,3,3.09224828375286,3.08971384377417,2.9375,2.87769784172662,2.83595113438045,2.80977421271539,2.79232111692845,2.76584808680754,2.80146163215591,2.89553791780963,2.95823665893271,3.10077519379845,3.10810810810811,3.00630975992288,2.84090909090909,2.80112044817927,2.77305102725639
"Los Angeles-Long Beach-Anaheim, CA",2,1.72845691382766,1.67065868263473,1.68302945301543,1.66333998669328,1.66187217627216,1.68008859642458,1.65441176470588,1.67364016736402,1.70041920649446,1.68744404685055,1.69445216263777,1.71196241522617,1.69025079734745,1.66382252559727,1.66130206338857,1.69435279890383,1.70129065771598,1.69800235017626,1.6921768707483,1.67509481668774,1.66495901639344,1.69107895147449,1.68582438755849,1.68989800874211,1.70407315045719,1.695,1.68539325842697,1.69692186266772,1.68693342649325,1.69811320754717,1.69811320754717,1.69611307420495,1.69971671388102,1.68618404396717,1.68539325842697,1.68421052631579,1.7,1.69956140350877,1.71489817792069,1.73913043478261,1.73913043478261,1.75039872408293,1.78103595890411,1.7725258493353,1.79069851977058,1.78221254857802,1.77725118483412,1.77083333333333,1.76630434782609,1.77435299599443,1.77777777777778,1.80962229772985,1.83073210704094,1.86211180124224,1.86156461088253,1.85973924831634,1.8562874251497,1.87071472221663,1.86751917147601,1.87947368421053,1.87665182676695,1.88532326569136,1.95993031358885,1.9696565871939,1.96671709531014,1.9926964751063,1.99468085106383,1.9971891521364,1.99840127897682,1.99595291709314,2.01485677869252,2.02636104110134,2.04081632653061,2.04795204795205,2.05047318611987,2,2.01457822328088,2.0293609671848,2.02900829536955,2.07587903068193,2.02453987730061,2.06693173521337,2.0016339869281,2.09030100334448,2.1435038963076,2.18847839699436,2.20633934120572,2.20706260032103,2.20689655172414,2.19186197493995,2.19690312616499,2.19665969316597,2.19103585461206,2.20282626766417,2.21812665517653,2.21676550902814,2.22611464968153,2.26131866641479,2.27471566054243,2.28813559322034,2.30724699025594,2.28571428571429,2.28682170542636,2.26161369193154,2.2489539748954,2.28074239887107,2.2811953595515,2.30525637135922,2.3117033603708,2.33050847457627,2.34939759036145,2.34986945169713,2.35294117647059,2.35,2.36146095717884,2.34803921568627
"Dallas-Fort Worth, TX",3,,,,,,,,0.951630652260904,1.05790645879733,1.05464159811986,1.0913611046144,1.08376695123333,1.04117647058824,1.04575163398693,1.05819319114028,1.05021008403361,1.06666666666667,1.04366895499619,1.01225596929549,1,0.984649122807018,0.981308411214953,0.990740740740741,0.996914114240172,1.03333333333333,1.03833865814696,0.99002849002849,0.962226640159046,1,0.997150997150997,1.00472813238771,1.07142857142857,1.08695652173913,1.12541390728477,1.07899628808301,1.04762170155748,1.06496384578798,1.10856392423794,1.06131399928392,1.08,1.07626076260763,1.12891478514202,1.07854968471407,1.06060224907249,1.13970588235294,1.13871635610766,1.11111111111111,1.0622381807301,1.07099143206854,1.07699134199134,1.09280570332573,1.09167033389963,1.1037527593819,1.1037527593819,1.11111111111111,1.10724233983287,1.09469074986316,1.10040567951318,1.08928368874773,1.10254433307633,1.09375,1.11111111111111,1.14278050275904,1.14335664335664,1.13293051359517,1.15248972401644,1.15827338129496,1.14613180515759,1.15270475394329,1.14634146341463,1.13381858902576,1.1556349100402,1.18200318742289,1.17647058823529,1.15488215488215,1.12684031710079,1.12094395280236,1.125,1.14332466314174,1.11607142857143,1.13381858902576,1.15130722038697,1.12445212887067,1.2037037037037,1.24176458993844,1.25935632914214,1.28019323671498,1.30150753768844,1.30580406572479,1.28676470588235,1.28205128205128,1.29525431894831,1.28492175196703,1.27208480565371,1.27326150832517,1.26574307304786,1.27218934911243,1.27691677810725,1.29573170731707,1.29852990348985,1.32275132275132,1.32396449704142,1.29310344827586,1.288549070312,1.311820832229,1.29310344827586,1.29310344827586,1.32551020408163,1.29275930896827,1.31043980658176,1.35089287247798,1.35101579441436,1.33882595262616,1.38921188630491,1.35428384710633,1.34803921568627
"Philadelphia, PA",4,1.27118644067797,1.28559322033898,1.32113821138211,1.30821306353221,1.33333333333333,1.3420245398773,1.3420245398773,1.29826635145784,1.25859924751665,1.24695192850736,1.23404073282703,1.33226837060703,1.31998761996008,1.31313131313131,1.32475397426192,1.30434782608696,1.31446039340776,1.31435460941858,1.34194831013916,1.31304047670954,1.30972105806904,1.3117567899612,1.31656565656566,1.26818181818182,1.35287485907554,1.39393939393939,1.42428785607196,1.41043723554302,1.39442231075697,1.36890100630358,1.34284915506958,1.32515060240964,1.325,1.30345851014593,1.27897681854516,1.25,1.25555854784785,1.27252435064935,1.31646911700739,1.31742424242424,1.29984709480122,1.27354390031875,1.27620422535211,1.33680555555556,1.36315789473684,1.35244271424286,1.30391188095792,1.31027727546715,1.34747706422018,1.34157501343868,1.35922330097087,1.42475512021371,1.39204545454545,1.39019792648445,1.34462151394422,1.34297520661157,1.34310134310134,1.33928571428571,1.32337796086509,1.328125,1.36,1.42095053346266,1.50353333725173,1.45939086294416,1.43458301453711,1.44242424242424,1.39165009940358,1.36363636363636,1.37311977366135,1.35735171261487,1.36,1.37795275590551,1.39280677009873,1.42475512021371,1.44385026737968,1.53399668325041,1.48148148148148,1.44654337196668,1.42857142857143,1.45454545454545,1.39802631578947,1.39491198919037,1.37765957446809,1.41176470588235,1.44381934196863,1.54078908878163,1.5941722972973,1.60098522167488,1.61123261427479,1.59856430929577,1.58045977011494,1.55670867309118,1.5,1.48694399583533,1.49122239576178,1.50684931506849,1.5,1.53738644304682,1.62127107652399,1.62524382314694,1.62145760192302,1.59574468085106,1.55480769563427,1.51878497202238,1.5,1.47835269271383,1.47783251231527,1.4969681764836,1.52284263959391,1.63636363636364,1.74450305597119,1.75,1.71797402825305,1.60813509441895,1.53632679984923,1.52310924369748
"Houston, TX",5,,,,,,,,,,,,,,,,,,,,,,,,,1.16,1.08957613441205,0.916666666666667,0.893723347547974,0.947489964695072,0.934163701067616,0.95647080682292,0.957502787356508,0.970425138632163,0.97116112718717,0.988909426987061,0.9765625,0.984670811520906,0.989304812834225,0.988909426987061,1.0046439628483,1.07822410147992,1.17649408006014,1.23445927814303,1.22362869198312,1.26169064748201,1.22405924395074,1.24492979719189,1.23239436619718,1.22093023255814,1.20792278906894,1.20295295185557,1.26169064748201,1.26315789473684,1.26007215225422,1.2505470911268,1.24691358024691,1.24492979719189,1.24051296328685,1.26066537515489,1.24303232998885,1.218820861678,1.218820861678,1.27692307692308,1.28787878787879,1.31172839506173,1.31397927532796,1.32167851588536,1.30730242480673,1.29550636021622,1.27805486284289,1.29739416754165,1.3044925124792,1.31761950782894,1.34343440967395,1.36186770428016,1.32013201320132,1.31414473684211,1.32570874861573,1.33017838714433,1.31080764614619,1.30208333333333,1.29457364341085,1.30635245901639,1.25964010282776,1.28947368421053,1.2751677852349,1.28055570644793,1.30873227215011,1.31127664273397,1.29286376274328,1.28676470588235,1.30813953488372,1.31156930126002,1.30530973451327,1.31322957198444,1.32425224244823,1.3126491646778,1.33124510571652,1.32287201174062,1.32440476190476,1.32139812446718,1.32680795509339,1.32062146892655,1.31133374062844,1.29848229342327,1.28676470588235,1.28989751098097,1.29310344827586,1.30483494930057,1.31907154821728,1.32273653985739,1.30576713819369,1.31578947368421,1.32102272727273,1.32234809474768,1.33272058823529
"Washington, DC",6,1.61443494776828,1.62692017269973,1.62999185004075,1.57860635840184,1.60036699680157,1.57746478873239,1.58311468105646,1.58653846153846,1.54693791057427,1.56713060419195,1.63690476190476,1.657824933687,1.61075522928399,1.61437246963563,1.65149006622517,1.64424514200299,1.63342803030303,1.6243654822335,1.64641544829485,1.71399970679323,1.65639445300462,1.65605095541401,1.65984257896146,1.62700659664222,1.65154869670454,1.69573643410853,1.73053974664953,1.75840978593272,1.72769548376112,1.71802757595773,1.71792654252588,1.76237359462345,1.79438464050857,1.82857142857143,1.79045092838196,1.73027989821883,1.76920012520274,1.81487837548692,1.76528867504206,1.71919770773639,1.78306326541526,1.80451127819549,1.80456490727532,1.80065627563577,1.80878552971576,1.81204710144928,1.80585204227623,1.78435839028094,1.78287944104042,1.78079295686381,1.76470588235294,1.78991227451632,1.76908752327747,1.79154191616766,1.79487179487179,1.7910447761194,1.7630730830289,1.77872665698101,1.79045092838196,1.8,1.81653322816013,1.82421227197347,1.85403607680229,1.87444586667377,1.88345157964951,1.88305252725471,1.88243064729194,1.86335403726708,1.84423940016949,1.82699386503067,1.84630738522954,1.83967112024666,1.84757505773672,1.8734166512453,1.8762677484787,1.89048239895698,1.91705567467763,1.90888677191072,1.88442211055276,1.85714285714286,1.83967112024666,1.85236912890544,1.856329561118,1.90007037297678,1.93322884012539,1.96998123827392,2.03362663251431,2.03171972743924,2.04935459377373,2.07843137254902,2.06577311478737,2.03412073490814,2.01589595375723,2.0302576476135,2.02974176728018,2.06561360874848,2.06611570247934,2.04081632653061,2.09409717186367,2.1649905666734,2.19133612887417,2.17791320732497,2.13094502779494,2.05680705190989,2.0495258166491,2.05555555555556,2.15924426450742,2.16233108108108,2.15458276333789,2.1293273834099,2.1909496242494,2.22166666666667,2.21233151119104,2.23016233871679,2.21666666666667,2.15189873417722
"Miami-Fort Lauderdale, FL",7,1.76749021861063,1.69600382125314,1.64112792156783,1.60238702365774,1.62866449511401,1.57661860129776,1.62379807692308,1.7169549572983,1.64835164835165,1.64759839477554,1.64334637964775,1.54684095860566,1.50684931506849,1.5,1.50237563199711,1.50300601202405,1.49653875634761,1.48448043184885,1.48192771084337,1.49853646353646,1.48648648648649,1.50093808630394,1.48830616583983,1.48372751550126,1.475,1.49253731343284,1.48741418764302,1.48026315789474,1.52634013340474,1.51598676957001,1.51734104046243,1.51943695980683,1.48413510747185,1.4720314033366,1.47368421052632,1.48026315789474,1.49667405764967,1.5,1.49051490514905,1.5,1.5625,1.65550456201197,1.65178571428571,1.63735324878106,1.69117647058824,1.68831168831169,1.71232876712329,1.66112956810631,1.63098878695209,1.59203980099502,1.5645371577575,1.61290322580645,1.6304347826087,1.65853658536585,1.66666666666667,1.67410714285714,1.66666666666667,1.65644171779141,1.63461538461538,1.66666666666667,1.68728908886389,1.72910662824207,1.7705747380643,1.9047619047619,1.9723865877712,1.9775678866588,2.01107105287347,1.93500384024578,1.96592398427261,1.94292144464688,1.93929173693086,1.9362762544791,1.97132616487455,1.96,1.89320388349515,1.88030908291845,1.89753320683112,1.8250489196186,1.83737294761532,1.86282811176969,1.8286012837737,1.99750312109863,1.77532013969732,1.85570524412297,1.87956593611689,1.90602836879433,1.8796992481203,1.89655172413793,1.90243902439024,1.90918472652219,1.95402298850575,1.95936139332366,1.95439739413681,1.93867346938775,1.931330472103,1.92307692307692,1.92307692307692,1.94109772423025,1.94727215688983,1.97368421052632,1.97010869565217,1.97368421052632,1.98412698412698,1.99034946799842,1.97827773467804,1.96153846153846,1.9559902200489,1.94736842105263,1.93939393939394,1.96168955045869,1.98120004349954,1.98019801980198,1.98019801980198,1.98347107438017,1.98863636363636,1.98675496688742
"Atlanta, GA",8,,,,,,,,,0.995575221238938,0.974930362116992,1.0376903183507,1.01666267592519,1.05263157894737,1.06382978723404,1.06981465417403,1.03648424543947,1.01033834586466,0.96830985915493,0.96830985915493,0.965717270065096,0.954369299587055,0.93167701863354,0.938684723031807,0.902383654937571,0.96109170354242,0.979480673584286,0.916666666666667,0.900646358919306,0.947368421052632,0.943066828291346,0.920900692840647,0.872093023255814,0.901315789473684,0.892857142857143,0.847022587268994,0.849780701754386,0.849308300395257,0.818777292576419,0.868854515050167,0.851305334846765,0.847503373819163,0.835579514824798,0.882594417077176,0.934934318555008,0.918843828494655,0.870646766169154,0.887049393596038,0.854335753951303,0.85127691537306,0.866009191321992,0.896778916544656,0.976592403822926,0.927966779859159,0.932110466845079,0.956090651558074,0.960118168389956,0.962391374091587,0.987720234917245,1.0011135857461,1.03181427343078,1.03301444620217,1.03421461897356,1.03996030700782,1.06382978723404,1.08459383753501,1.06716886377903,1.00273473108478,0.935837438423645,0.933908045977011,0.845744680851064,0.956429330499469,0.941361256544503,0.968700285908176,1.0428750966744,1.0064556945906,1.05195518293128,1.13636363636364,1.11899615132374,1.10545713177292,1.07078853046595,1.10424028268551,1.09351432880845,1.06382978723404,1.06960950764007,1.13825187969925,1.21720629047179,1.2807881773399,1.28024783638476,1.29904559915164,1.32903516057586,1.32336018411968,1.28424657534247,1.25160697887971,1.24653739612188,1.25,1.28663687310807,1.31578947368421,1.3030888030888,1.34615384615385,1.33272727272727,1.32006600660066,1.35185185185185,1.2967340142509,1.27358490566038,1.25741935483871,1.28109452736318,1.27420208023179,1.27820374025494,1.35893086374473,1.38443017656501,1.413982717989,1.41615384615385,1.42105263157895,1.41447368421053,1.36573430891297,1.30868544600939
"Boston, MA",9,,,,,,,,,,,,,,,,,,,2.125,1.93465320910973,1.8368307297348,1.875,2.01117318435754,2.18680591102308,2.28070175438596,2.39130434782609,2.43093922651934,2.41796200345423,2.45614035087719,2.44444444444444,2.35934664246824,2.22639600755328,2.06286836935167,2.17077565984683,2.13011254019293,2.3,2.3955773955774,2.48148148148148,2.58064516129032,2.6027397260274,2.54969217238347,2.59259259259259,2.45454545454545,2.44170677818985,2.54816656308266,2.52422821025564,2.57009345794393,2.61400772430184,2.62235294117647,2.66075388026608,2.70961754884843,2.80047675804529,2.84552845528455,2.85035629453682,2.80461293743372,2.77777777777778,2.63369026436197,2.57142857142857,2.58397932816537,2.73216031280547,2.80229218788541,2.89142867106043,2.96912114014252,2.97408200134346,2.98066511987626,2.97430293332293,2.88259783513739,2.77777777777778,2.69230769230769,2.662882685876,2.70676691729323,2.79345521992581,2.88065843621399,2.92973374644198,2.94736842105263,2.94117647058824,2.90215588723051,2.89017341040462,2.84311163439656,2.7707483426823,2.6226518804243,2.595224683174,2.58620689655172,2.79898218829517,2.89731624817915,2.96296296296296,3.02631578947368,3.07017543859649,3.04073810652758,3,2.93061764339607,2.85333253098197,2.74285714285714,2.75,2.734375,2.83400809716599,2.91666666666667,2.98606502986065,3.05287322849932,3.07692307692308,3.04471931493815,3.00778485491861,2.90625146870237,2.8147029204431,2.73361976369495,2.73053611255728,2.79838090823139,2.92207792207792,3.0188679245283,3.09090909090909,3.13524304500595,3.14516129032258,3.14239281844916,3.09934207865396,3.02901023890785,2.91595197255575
