"RegionName","SizeRank","2010-09","2010-10","2010-11","2010-12","2011-01","2011-02","2011-03","2011-04","2011-05","2011-06","2011-07","2011-08","2011-09","2011-10","2011-11","2011-12","2012-01","2012-02","2012-03","2012-04","2012-05","2012-06","2012-07","2012-08","2012-09","2012-10","2012-11","2012-12","2013-01","2013-02","2013-03","2013-04","2013-05","2013-06","2013-07","2013-08","2013-09","2013-10","2013-11","2013-12","2014-01","2014-02","2014-03","2014-04","2014-05","2014-06","2014-07","2014-08","2014-09","2014-10","2014-11","2014-12","2015-01","2015-02","2015-03","2015-04","2015-05","2015-06","2015-07","2015-08","2015-09","2015-10","2015-11","2015-12","2016-01","2016-02","2016-03","2016-04","2016-05","2016-06","2016-07","2016-08","2016-09","2016-10","2016-11","2016-12","2017-01","2017-02","2017-03","2017-04","2017-05","2017-06","2017-07","2017-08","2017-09","2017-10","2017-11","2017-12","2018-01","2018-02","2018-03","2018-04","2018-05","2018-06","2018-07","2018-08","2018-09","2018-10","2018-11","2018-12","2019-01","2019-02","2019-03","2019-04","2019-05","2019-06","2019-07","2019-08","2019-09"
"United States",0,,,,,,,,,,,,,0.951086956521739,0.90625,0.921521997621879,0.928571428571429,1.03333333333333,1.08658946412352,1.11306332128054,1.08903312320283,1.09375,1.06998641304348,1.01918465227818,1,1,1.015625,1.03734439834025,1.09090909090909,1.07638888888889,1.14995400183993,1.16666666666667,1.20481927710843,1.25,1.25525219356319,1.3218221895665,1.33333333333333,1.3691079880228,1.3544536271809,1.37221269296741,1.41666666666667,1.41666666666667,1.38461538461538,1.36363636363636,1.39,1.6,1.60618279569892,1.5,1.46330508474576,1.44444444444444,1.38888888888889,1.3538605185664,1.34057971014493,1.41937710184209,1.5,1.54689059381238,1.5625,1.54124412333748,1.52284263959391,1.5625,1.53769230769231,1.52777777777778,1.5,1.59368774900398,1.56666666666667,1.55555555555556,1.64705882352941,1.58943882886023,1.59375,1.65,1.54205607476636,1.59389944208289,1.52310924369748,1.4819587628866,1.5,1.6025641025641,1.42857142857143,1.5137741046832,1.48883374689826,1.5,1.56428571428571,1.58333333333333,1.57360406091371,1.55339805825243,1.5,1.46153846153846,1.44459102902375,1.440329218107,1.42397411003236,1.4,1.45,1.5,1.51764705882353,1.54166666666667,1.5625,1.5625,1.55131264916468,1.54199577931866,1.48305084745763,1.48333333333333,1.47435897435897,1.52235965746908,1.55172413793103,1.61003236245955,1.63636363636364,1.64473684210526,1.63265306122449,1.58333333333333,1.52090800477897,1.47058823529412
"New York, NY",1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.46442632170979,3.33333333333333,3.28571428571429,3.15384615384615,3.07692307692308,3.07692307692308,3.14285714285714,3.14893617021277,3.16666666666667,3.26666666666667,3.06386589320603,3.09278350515464,3.095,3.15645371577575,3.15,3.07692307692308,3,3,3,3,3,3.125,3.18787955465587,3.17058823529412,3.25555555555556,3.16064516129032,3.16304475680762,3.16207893413776,3.03738317757009,2.96137339055794,3.125,3.1,3.06666666666667,3.12375,3.16624790619765,3.17058823529412,3.16666666666667,3.15789473684211,3.05970149253731,2.96969696969697,2.93333333333333,2.92857142857143,2.899,2.85714285714286,2.890625,2.975,3,3,3.0364865819209,3,2.96296296296296,2.89368421052632,2.86273923444976,2.81260738831615,2.81818181818182,2.8125,2.86626016260163,2.99,3,3.11203319502075,3.1,3.05882352941176,3
"Los Angeles-Long Beach-Anaheim, CA",2,,,,,,,,,,,,,,,,,,,,1.47,1.46818181818182,1.40909090909091,1.32777777777778,1.33333333333333,1.31818181818182,1.29198966408269,1.3,1.3,1.33333333333333,1.36010101010101,1.34895833333333,1.37272727272727,1.39,1.39285714285714,1.42566191446029,1.495,1.59620567375887,1.63157894736842,1.6875,1.695,1.63964285714286,1.61538461538462,1.61875,1.63636363636364,1.62971866096866,1.65,1.64785373608903,1.64353400336718,1.63333333333333,1.62264684292833,1.61532682193839,1.62269309637731,1.66666666666667,1.68682009591765,1.69014084507042,1.73076923076923,1.75,1.78125,1.83333333333333,1.82420091324201,1.78973684210526,1.8037518037518,1.86410945106597,1.83723076923077,1.75830610021786,1.82095625635809,1.85305585059303,1.84444444444444,1.85714285714286,1.87283390589709,1.99090909090909,1.86214423832256,1.875,1.8343253968254,1.85012077294686,1.89018593597092,1.94444444444444,1.98209435933148,2.04852631062724,2.075,2.11176470588235,2.08333333333333,2.07220573689416,2.10555555555556,2.08952641165756,2.08545918963839,2.05833333333333,2.06701208981002,2.1,2.07477144866385,2.08266345123258,2.12264150943396,2.10555555555556,2.07661812914538,2.10602759622367,2.10714285714286,2.095,2.10825892857143,2.10555555555556,2.13414634146341,2.15833333333333,2.14285714285714,2.17445652173913,2.19237796308442,2.25,2.23922972154964,2.23842261904762,2.25826086956522,2.25
"Chicago, IL",3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.74008810572687,1.78947368421053,1.85185185185185,1.86666666666667,1.86827646038172,1.77083333333333,1.75669642857143,1.81306818181818,1.79,1.73913043478261,1.77272727272727,1.78571428571429,1.77272727272727,1.78947368421053,1.79132146525163,1.77777777777778,1.85,1.84724812451798,1.98408910103421,2.0093510311604,2.00538461538462,1.92250500428939,1.95454545454545,1.99444444444444,2,2,2.1,2.16666666666667,2.26086956521739,2.29342105263158,2.06666666666667,2,1.88333333333333,1.99,2.1,2.17777777777778,2,1.9975,1.97294522228688,1.99285714285714,1.92307692307692,1.97227711901625
"Dallas-Fort Worth, TX",4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.998642226748133,0.991883116883117,0.909090909090909,0.929679420889349,0.893158072126727,0.869877049180328,0.862352675601179,0.880158253205128,0.901741293532338,0.85698389147944,0.87890625,0.885878489326765,0.882352941176471,0.89058524173028,0.95354995854063,1.01109294811846,1,0.973770885890574,0.978787112010796,0.961538461538462,0.952914798206278,0.967519004837595,1,0.96045197740113,0.9375,1.02490519336013,1.03571428571429,1.03591160220994,1.0625,1.10075736916479,1.10007886435331,1.11923415492958,1.10402845559453,1.09677419354839,1.065,1.08196010407632,1.07464028776978,1.07287915412823,1.04427736006683,1.0625,1.05081763284073,1.04166666666667,1.06578886074076,1.05541972290139,1.065,1.04651162790698,1.05128205128205,1.03898857715652,1.04858299595142,1.07464028776978,1.07913669064748,1.07238605898123,1.0625,1.0625,1.07692307692308,1.08955534728731,1.07165706973768,1.07142857142857
"Philadelphia, PA",5,,,,,,,,,,,,,,,,,,,,,,,,,,0.886363636363636,0.906639928698752,0.928681999115436,0.969170303912059,0.996534090909091,0.991524835980712,1.01602203870211,1.07078189300412,1.1,1.0922385620915,1.11304347826087,1.16428571428571,1.18221343873518,1.25,1.17241379310345,1.16666666666667,1.15833333333333,1.15652173913043,1.15652173913043,1.17048451694832,1.15789473684211,1.15208695652174,1.12831553349378,1.13728750923873,1.13636363636364,1.13205128205128,1.11877447780679,1.13571428571429,1.18571428571429,1.24253665430136,1.25,1.25009803921569,1.23390804597701,1.20096153846154,1.18085669624849,1.21123835518899,1.22222222222222,1.22947857511616,1.16071428571429,1.18426352128884,1.18834459459459,1.20080106809079,1.26050420168067,1.28692493946731,1.31125,1.36432926829268,1.25,1.27525252525253,1.22032640949555,1.19540229885057,1.24404761904762,1.27354504565899,1.31818181818182,1.35714285714286,1.36363636363636,1.39027777777778,1.39027777777778,1.38656764328236,1.375,1.35714285714286,1.3125,1.31963661774983,1.29088220654115,1.32777777777778,1.30930388273542,1.3125,1.34375,1.36032392231504,1.36363636363636,1.38461538461538,1.35683229813665,1.33333333333333,1.28240495137047,1.32666666666667,1.32142857142857,1.33474576271186,1.36363636363636,1.35403029632906,1.4,1.38464456635929,1.36179503367003,1.33333333333333,1.295,1.31818181818182
"Houston, TX",6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.06382978723404,1.08082706766917,1.13198254114444,1.06686591654946,1.1,1.11796875,1.09211650485437,1.07252298263534,1.12023898431665,1.16409391534392,1.06759656652361,1.09455057964163,1.06825679240386,1.07317073170732,1.10566037735849,1.17727272727273,1.14388489208633,1.08333333333333,1.16279069767442,1.14583333333333,1.16238317757009,1.15384615384615,1.18464052287582,1.1374460109353,1.15718418514947,1.10555555555556,1.08254397834912,1.14060258249641,1.17241379310345,1.16666666666667,1.16176030916419,1.11731843575419,1.11538461538462,1.11538461538462,1.11538461538462,1.1328125,1.13888888888889,1.15384615384615,1.125,1.15,1.15926343523577,1.14220482713633,1.11538461538462,1.12068965517241,1.11532738095238,1.15390478424015,1.11685924369748,1.09702315325248,1.10566037735849,1.13757396449704,1.12095088819227,1.1169541511772,1.14377289377289,1.11166007905138,1.13636363636364,1.09765060862389,1.07692307692308,1.08018626110731
"Washington, DC",7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.90440627333831,2.04229444590704,1.99079861111111,2.14015151515152,2.06788163328918,2.17633928571429,2.30666666666667,2.25924901671583,2.25352112676056,2.22130847953216,2.26923076923077,2.25091156006995,2.10084033613445,2.10084033613445,2.08333333333333,2.19714673913044,2.21428571428571,2.30940170940171,2.28571428571429,2.22148148148148,2.28608406261556,2.20798528241846,2.23642994329614,2.23642994329614,2.20881782945736,2.20833333333333,2.25905457949309,2.28276877761414,2.4,2.33563218390805,2.33680039623576,2.4375,2.45804195804196,2.59141494435612,2.52577319587629,2.54010695187166,2.58379888268156
"Miami-Fort Lauderdale, FL",8,,,,,,,,,,,1.0492513954433,1.05941176470588,1.04808877928483,1.03297101449275,1.04,1.04469273743017,1.0625,1.08250218459035,1.11405197305101,1.0989010989011,1.11958047805784,1.11627906976744,1.09631949882537,1.1142061281337,1.11538461538462,1.06494102683203,1.06666666666667,1.0785900120566,1.08695652173913,1.09702610183997,1.13182720953327,1.13960113960114,1.16666666666667,1.18421052631579,1.2834523013751,1.31713633056741,1.35265700483092,1.36363636363636,1.47058823529412,1.43277002204262,1.3801610102223,1.36842105263158,1.35406218655968,1.33333333333333,1.34312812201263,1.35958286956061,1.40076579451181,1.40860824309578,1.41304347826087,1.40169215519683,1.37061403508772,1.44781097944711,1.44404332129964,1.47058823529412,1.54867256637168,1.54551634892761,1.47058823529412,1.5316300983697,1.55913978494624,1.53508771929825,1.52542805118763,1.5625,1.63003220611916,1.65369649805447,1.69095741494153,1.68291412474581,1.71746417327109,1.63398692810458,1.72727272727273,1.74180327868852,1.71445010685517,1.64271047227926,1.64995256166983,1.76155430140329,1.795,1.66666666666667,1.66666666666667,1.71428571428571,1.78185745140389,1.76795580110497,1.79535650235083,1.76700942587832,1.75770686857761,1.78194778744677,1.79682659541512,1.76957113682777,1.78571428571429,1.79487179487179,1.83578994257112,1.84094256259205,1.82378187326433,1.84210526315789,1.79918746372606,1.83632554154283,1.82003012048193,1.82370820668693,1.82584269662921,1.80851063829787,1.79372197309417,1.76026823134954,1.80648236415634,1.82608695652174,1.84433508894741,1.88741721854305,1.86304128902316,1.84148018502313,1.79369918699187,1.85052449833097,1.77564825253664
"Atlanta, GA",9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.688231245698555,0.727125862828609,0.774953502789833,0.746628131021195,0.663375603864734,0.657894736842105,0.685207688908528,0.725,0.665555555555556,0.677348871085215,0.694283767802972,0.713315217391304,0.708555753262159,0.704545454545455,0.702702702702703,0.72,0.740944017563117,0.714149685774138,0.761808220874087,0.749336870026525,0.726478382728383,0.727272727272727,0.743323182282843,0.76530612244898,0.792360772883626,0.816230936819172,0.811140966771264,0.811808118081181,0.76821044372024,0.776234547613726,0.791324736225088,0.794100964265457,0.796442110363698,0.777649769585253,0.834658187599364,0.86734693877551,0.868055555555556,0.954861111111111,0.966748768472906,1,1.0406976744186,1.02073050345508,1.01102941176471,1.00088056885409,0.986602870813397,1.03069820144421,1.01064176064176,1.06360235168359,1.0334451901566,1.00953206239168,1.10964912280702,1.08796296296296,1.03519256308101,1.07549019607843,1.05854414315036,1.05830670926518,1.03491271820449,0.99375,0.969508020344288,1.03711877072533,1.03774928774929,1.11271676300578,1.07615894039735,1.0544283981784,1,0.972222222222222,1.05735294117647,1.01973684210526
