"RegionName","City","State","Metro","CountyName","SizeRank","2011-01","2011-02","2011-03","2011-04","2011-05","2011-06","2011-07","2011-08","2011-09","2011-10","2011-11","2011-12","2012-01","2012-02","2012-03","2012-04","2012-05","2012-06","2012-07","2012-08","2012-09","2012-10","2012-11","2012-12","2013-01","2013-02","2013-03","2013-04","2013-05","2013-06","2013-07","2013-08","2013-09","2013-10","2013-11","2013-12","2014-01","2014-02","2014-03","2014-04","2014-05","2014-06","2014-07","2014-08","2014-09","2014-10","2014-11","2014-12","2015-01","2015-02","2015-03","2015-04","2015-05","2015-06","2015-07","2015-08","2015-09","2015-10","2015-11","2015-12","2016-01","2016-02","2016-03","2016-04","2016-05","2016-06","2016-07","2016-08","2016-09","2016-10","2016-11","2016-12","2017-01","2017-02","2017-03","2017-04","2017-05","2017-06","2017-07","2017-08","2017-09","2017-10","2017-11","2017-12","2018-01","2018-02","2018-03","2018-04","2018-05","2018-06","2018-07","2018-08","2018-09","2018-10","2018-11","2018-12","2019-01","2019-02","2019-03","2019-04","2019-05","2019-06","2019-07","2019-08","2019-09"
"Northeast Dallas","Dallas","TX","Dallas-Fort Worth-Arlington","Dallas County",1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.31878469179083,1.31570301844274,1.29459459459459,1.3014657980456,1.26076388888889,1.33390705679862,1.3,1.3,1.27237146415229,1.17728531855956,1.23839009287926,1.32114361702128,1.34266666666667,1.3343685300207,1.3734096376578,1.33333333333333,1.4,1.37724550898204,1.4,1.38756668387541,1.32009461017875,1.30220255523024,1.37037037037037,1.45454545454545,1.39963097765646,1.35454545454545,1.35242167519182,1.32187761775888,1.25423728813559,1.33928571428571,1.42663043478261,1.39551192145863,1.39821029082774
"Upper West Side","New York","NY","New York-Newark-Jersey City","New York County",2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.03875968992248,5.04201680672269,5,4.9742374005305,4.94897959183673,4.91803278688525,4.92633228840125,4.91666666666667,5,5.05020920502092,4.86332503113325,4.91803278688525,4.97222222222222,4.95361342127904,4.96161214264663,4.92753623188406,4.95238095238095,4.99314336075206,4.99314336075206,5,4.99314336075206,4.99324324324324,4.95454545454545,4.85159817351598,4.70372564266764,4.75409836065574,4.8525641025641,4.85097636176773,4.71818181818182,4.71623376623377,4.7318957771788,4.76923076923077,4.77754958712863,4.74358974358974,4.78764880952381,4.75,4.74726775956284,4.67307692307692,4.67741935483871,4.70938754700147,4.72886547414849,4.71623376623377,4.74598926314641,4.85507246376812,4.73045822102426,4.76675918520958,4.73045822102426,4.72083333333333,4.66666666666667,4.83011494252874,4.81570777141748,4.82294617563739,4.82352941176471,4.8,4.81666666666667,4.83870967741935,4.8943661971831,4.88675213675214,4.90124359912217,4.99441358024691,4.93012422360249,5,4.99285714285714
"East New York","New York","NY","New York-Newark-Jersey City","Kings County",3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.85294117647059,1.93615942028986,1.9975,1.86363636363636,1.925,1.80909090909091,1.8,1.99966666666667,2.01010101010101,2,1.93705513784461,1.92741228070175,2.2,2.25
"North Mountain","Phoenix","AZ","Phoenix-Mesa-Scottsdale","Maricopa County",4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.873704673126081,0.852941176470588,0.864180499146507,1.012,0.993055555555556,1.03571428571429,1.02666666666667,0.996286764705882,0.99375,0.991468253968254,1.04024745269287,1.05662983425414,1.16163992869875,1.04503968253968,1.08039825046041,1.01397058823529
"Astoria","New York","NY","New York-Newark-Jersey City","Queens County",5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.75,2.77374892193778,2.77777777777778,2.73333333333333,2.77777777777778,2.8,2.8234971620227,2.75,2.74725274725275,2.73924645106201,2.72727272727273,2.68869565217391,2.62894736842105,2.76,2.72727272727273,2.60416666666667,2.68181818181818,2.66666666666667,2.6234756097561,2.75,2.66666666666667,2.63961038961039,2.77777777777778,2.85,2.83474065138721,2.875,2.8125,2.86535926170072,2.81754161331626,2.82352941176471,2.75,2.76769230769231,2.73030303030303,2.75,2.77722222222222,2.70588235294118,2.75862068965517,2.7995,2.73738237810094,2.771476698484,2.77777777777778,2.8125,2.81818181818182,2.73684210526316,2.75,2.76153846153846,2.77777777777778,2.74294670846395,2.83333333333333,2.86129721612568,2.87107258938245,2.84615384615385,2.90909090909091,2.90388563049853,2.88321678321678
"Williamsburg","New York","NY","New York-Newark-Jersey City","Kings County",6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.73385416666667,3.715,3.7962037962038,3.85714285714286,3.91779279279279,3.85714285714286,3.875,3.88235294117647,3.83333333333333,3.75,3.61111111111111,3.69230769230769,3.72144396551724,3.77555555555556,3.71987012987013,3.81818181818182,3.69615384615385,3.71071428571429,3.76470588235294,3.72666666666667,3.66041666666667,3.6,3.56009615384615,3.52380952380952,3.63636363636364,3.69230769230769,3.68571428571429,3.71436507936508,3.81727272727273,3.94,4,4,4.18181818181818
"Hollywood","Los Angeles","CA","Los Angeles-Long Beach-Anaheim","Los Angeles County",7,,,,,,,,,,,,,,,,,,,,,,,1.71270718232044,1.99375,1.85357142857143,1.75422794117647,1.87129815185927,2.07,1.8099173553719,1.90301724137931,2,2.29599033816425,2.25508659319365,2.2375,2.13571428571429,2.21146872093099,2.09821428571429,2.125,2.22670250896057,2.24137931034483,2.25,2.24514563106796,2.26,2.25,2.2,2.29219833564494,2.06922498118886,2.27478762135922,2.13571428571429,2.15384615384615,2.27954267360049,2.03636363636364,2.12678900289398,2.11538461538462,2.13571428571429,2.27857142857143,2.40419093851133,2.49791666666667,2.38188244047619,2.24166666666667,2.33,2.4875,2.57208136792453,2.66666666666667,2.5448063840921,2.58620689655172,2.58216594827586,2.53456221198157,2.58064516129032,2.60690476190476,2.62857142857143,2.75,2.40754716981132,2.45942275042445,2.53389830508475,2.5486488585184,2.52385964912281,2.55522355845435,2.60714285714286,2.68292682926829,2.65486725663717,2.66778025241277,2.70357142857143,2.68987341772152,2.62253289473684,2.52666666666667,2.64941460055096,2.65117056856187,2.7190332326284,2.66666666666667,2.65269607843137,2.7,2.71266233766234,2.70909090909091,2.72272727272727,2.91666666666667,2.64174180665349,2.6,2.70294117647059,2.7,2.73333333333333,2.8875,2.9,2.915,2.9
"Camelback East","Phoenix","AZ","Phoenix-Mesa-Scottsdale","Maricopa County",8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.986370157819225,0.963390953396284,1.0179257362356,1.04154761904762,1.09126984126984,1.07688492063492,1.04828265765766,1.12027243589744,1.12307692307692,1.17440518465909,1.13636363636364,1.12403846153846,1.08229166666667,1.078125,1.13542471042471,1.17573529411765,1.24375,1.1875,1.1766393442623,1.13636363636364,1.26841491841492,1.29621621621622,1.26136363636364,1.20625,1.26073863636364,1.24875,1.25570776255708,1.25642530984997,1.25793650793651,1.25285388127854,1.22814779064779,1.25628140703518,1.23669467787115,1.32777777777778
"Alhambra","Phoenix","AZ","Phoenix-Mesa-Scottsdale","Maricopa County",9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.966666666666667,0.91304347826087,0.924837962962963,1.02177318295739,1.11832353692819,1.02941176470588,1,1.03174603174603,0.952991452991453,1.07779886148008,1.07941176470588,1.05882352941176,1.09347826086957,1.02903091060986,1.0942032967033,1.12565445026178,1.11300877893057,1.21722846441948,1.20993365921788,1.15,1.15,1.1875,1.18131868131868,1.125,1.18440934065934,1.14814814814815,1.19283835532941,1.17872807017544,1.15803571428571,1.16145833333333,1.17006802721088,1.29841549295775,1.1875
"Jamaica","New York","NY","New York-Newark-Jersey City","Queens County",10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.56666666666667,2.58705364806867,2.37449118046133,2.17156862745098,1.8593023255814,2.07775119617225,1.98136363636364,1.80074299223235,1.58080808080808,1.59090909090909,1.65945165945166,1.94444444444444,2.24807692307692,2.13697888467786,2.24807692307692,2.2,2.20588235294118,2.20294117647059
