"RegionName","SizeRank","2010-02","2010-03","2010-04","2010-05","2010-06","2010-07","2010-08","2010-09","2010-10","2010-11","2010-12","2011-01","2011-02","2011-03","2011-04","2011-05","2011-06","2011-07","2011-08","2011-09","2011-10","2011-11","2011-12","2012-01","2012-02","2012-03","2012-04","2012-05","2012-06","2012-07","2012-08","2012-09","2012-10","2012-11","2012-12","2013-01","2013-02","2013-03","2013-04","2013-05","2013-06","2013-07","2013-08","2013-09","2013-10","2013-11","2013-12","2014-01","2014-02","2014-03","2014-04","2014-05","2014-06","2014-07","2014-08","2014-09","2014-10","2014-11","2014-12","2015-01","2015-02","2015-03","2015-04","2015-05","2015-06","2015-07","2015-08","2015-09","2015-10","2015-11","2015-12","2016-01","2016-02","2016-03","2016-04","2016-05","2016-06","2016-07","2016-08","2016-09","2016-10","2016-11","2016-12","2017-01","2017-02","2017-03","2017-04","2017-05","2017-06","2017-07","2017-08","2017-09","2017-10","2017-11","2017-12","2018-01","2018-02","2018-03","2018-04","2018-05","2018-06","2018-07","2018-08","2018-09","2018-10","2018-11","2018-12","2019-01","2019-02","2019-03","2019-04","2019-05","2019-06","2019-07","2019-08","2019-09"
"United States",0,,1.36986301369863,1.38888888888889,1.36363636363636,1.41871165644172,1.24458879602661,1.12508790436006,1.21025735799752,1.25252525252525,1.25628535760564,1.27207637231504,1.2,1.21254043821245,1.26677190213102,1.34582952708875,1.36286201022147,1.33333333333333,1.33333333333333,1.33161512027491,1.27727856225931,1.15740740740741,1.14340641796605,1.18055555555556,1.1756040070713,1.18984547461369,1.22708039492243,1.21428571428571,1.23456790123457,1.2503022974607,1.25,1.25,1.25,1.25034578146611,1.25,1.21272640939308,1.17058823529412,1.22,1.23821932280031,1.22814814814815,1.24375,1.21428571428571,1.28194207836457,1.29496402877698,1.38418079096045,1.40449438202247,1.40625,1.43497757847534,1.43229166666667,1.4,1.38461538461538,1.40549273021002,1.54228855721393,1.63322475059084,1.54049295774648,1.5,1.5064620355412,1.4745308310992,1.45,1.44151388813815,1.46039603960396,1.52173913043478,1.54761904761905,1.55174731182796,1.57142857142857,1.58138163668276,1.6025641025641,1.60267857142857,1.58163265306122,1.56875834445928,1.55,1.56363636363636,1.57348963029757,1.6025641025641,1.61,1.60857142857143,1.61111111111111,1.592347974592,1.64654226125137,1.58035714285714,1.56110615521855,1.54193548387097,1.57113187954309,1.5169857116688,1.58351134695721,1.57790927021696,1.60159938110249,1.62846803377563,1.63240628778718,1.62974203338391,1.625,1.63574351978172,1.60714285714286,1.60401002506266,1.61268556005398,1.62146226415094,1.62494510320597,1.64117647058824,1.65890570430733,1.68289290681502,1.70833333333333,1.71428571428571,1.71875,1.72272727272727,1.69779286926995,1.69143665958953,1.68817204301075,1.69691470054446,1.69943502824859,1.71776504297994,1.74142724745134,1.75507020280811,1.75753914584524,1.7578125,1.75384615384615,1.74339622641509,1.7202380952381
"New York, NY",1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.09090909090909,3.01724137931034,2.94117647058824,2.88235294117647,2.86363636363636,2.92857142857143,2.94736842105263,2.92990571290467,2.99334753368897,2.875,2.9,2.86166471277843,2.9,2.88671023965142,2.8125,2.77777777777778,2.77777777777778,2.8,2.81929347826087,2.82352941176471,2.93333333333333,3,3,3,2.91666666666667,2.875,2.88150520416333,2.90909090909091,2.73333333333333,2.8772378516624,2.85714285714286,2.84697508896797,2.92899408284024,2.99890948745911,2.99888888888889,2.9520147579426,2.88629124411573,2.84615384615385,2.76923076923077,2.72058823529412,2.71428571428571,2.68878718535469,2.62857142857143,2.64915526925694,2.7027027027027,2.75205761316872,2.77853260869565,2.75,2.7306907378336,2.67012687427912,2.66666666666667,2.66666666666667,2.66279069767442,2.63157894736842,2.65065913370998,2.67927501970055,2.76073619631902,2.76923076923077,2.8,2.76888888888889,2.74014465926231,2.68518518518519
"Los Angeles-Long Beach-Anaheim, CA",2,,1.661918328585,1.66666666666667,1.64668867834243,1.65,1.66666666666667,1.62617665896784,1.62078534514875,1.64242392185902,1.64130362981801,1.65562913907285,1.6497461928934,1.63879598662207,1.61851248932536,1.62965513260325,1.65345821325648,1.66666666666667,1.66666666666667,1.661918328585,1.64996413199426,1.63157894736842,1.66666666666667,1.66666666666667,1.69532286540052,1.73681635595839,1.75,1.73913043478261,1.75,1.74974969209083,1.76272635511766,1.76142131979695,1.77132719170131,1.77688888888889,1.77222222222222,1.75452684727218,1.77398160315374,1.79388325057207,1.84285714285714,1.84161965892735,1.85654008438819,1.83362304607817,1.82463098134631,1.82758620689655,1.82732353314267,1.83333333333333,1.82599355531686,1.9,1.88235294117647,1.85714285714286,1.85633630442651,1.9,1.92982456140351,1.96335078534031,1.97701149425287,1.99228791773779,2.00840336134454,2.06037420433357,2.07474226804124,2.08469824130005,2.09313725490196,2.10156383154785,2.11069435508526,2.13877497702324,2.16445160720593,2.16986980781153,2.19354838709677,2.21529509559435,2.21232676573718,2.21564130239252,2.26415218234904,2.27272727272727,2.3,2.30090783464963,2.31967488357243,2.32125,2.30296827021494,2.32752846617549,2.35994100294985,2.31883414420676,2.36735075896808,2.27014218009479,2.29083665338645,2.25972342264477,2.34375,2.42918454935622,2.48304336942424,2.47710487444609,2.48470012239902,2.49785038057321,2.49773882124213,2.51511496143583,2.51204757100429,2.51506024096386,2.5,2.52380952380952,2.50393081761006,2.53914988814318,2.55,2.59172966162707,2.61710794297352,2.62371134020619,2.63023493360572,2.65727699530516,2.63655172413793,2.66363636363636,2.68181818181818,2.69230769230769,2.67763157894737,2.69711737521442,2.72727272727273,2.76258992805755,2.765639951294,2.77855153203343,2.77846153846154,2.79661016949153,2.79308416261668
"Chicago, IL",3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.8125,1.78571428571429,1.8125,1.8125,1.82236842105263,1.78217821782178,1.75505050505051,1.71428571428571,1.725,1.72222222222222,1.71428571428571,1.75454545454545,1.77935943060498,1.79573407740574,1.83333333333333,1.84646079719667,1.8125,1.83333333333333,1.86875,1.91,1.95577777777778,1.9375,1.90334777352642,1.93888888888889,1.95390426242556,1.96,1.97392923649907,1.99333333333333,2.00386597938144,2.0469124950274,2.06481481481481,1.9743935309973,1.99230769230769,1.98888888888889,2.02702702702703,2.11538461538462,2.1233105022831,2.05705244122966,2.05528255528256,2.05518018018018,2.03,2,1.996875
"Dallas-Fort Worth, TX",4,,,,,,,,,1.08108108108108,1.05091795754446,1.12571428571429,1.0309621017671,0.975573840156915,0.974878308446244,0.967501920122888,0.960889703649065,0.967951688135174,0.95724907063197,0.914236678653155,0.912863070539419,0.933046336497657,0.946261682242991,0.985486211901306,0.994285714285714,0.998,1.03015075376884,1,1.01854493580599,1.03744543876502,1.02886597938144,1.03715170278638,1.04441260744986,1.04242424242424,1.04592592592593,1.05425631431244,1.09976433621367,1.07069657069657,1.08695652173913,1.07692307692308,1.1013986013986,1.10967741935484,1.11042183622829,1.06431852986217,1.11231101511879,1.13046286934052,1.14678899082569,1.14152692705182,1.13458528951487,1.13323124042879,1.1369171879258,1.17903930131004,1.18623304533631,1.18273381294964,1.16888193901486,1.15384615384615,1.15151515151515,1.1551724137931,1.2,1.16666666666667,1.1333914559721,1.18942731277533,1.18873018623892,1.20418410041841,1.211580634278,1.22889174781513,1.23630784757952,1.24394314593219,1.25065039664085,1.25736788337672,1.29028493927323,1.29472045285016,1.30193548387097,1.30918367346939,1.34146341463415,1.33088725817211,1.34275461554068,1.34340659340659,1.3480994954886,1.33129770992366,1.37735008945518,1.32411067193676,1.3248502994012,1.30532971996387,1.37424052354092,1.38471337579618,1.41891891891892,1.44300144300144,1.46124523506989,1.48937111655056,1.48287391897026,1.48375,1.4468085106383,1.43047619047619,1.46700507614213,1.4769988771162,1.47081566914712,1.51995305164319,1.51474201474201,1.51808972503618,1.53799392097264,1.53846153846154,1.54233025984912,1.54263565891473,1.53997121985891,1.56592039800995,1.5652557319224,1.55709711846318,1.55444226020131,1.56935690054952,1.58240395567982,1.5690440060698,1.56916933154728,1.56045751633987,1.55722891566265,1.54456654456654,1.546875
"Philadelphia, PA",5,1.11835973904939,1.125,1.2042817679558,1.16279069767442,1.18371212121212,1.18681318681319,1.15937237839298,1.15286080273271,1.18554206161137,1.14861003861004,1.14564670483705,1.19344349680171,1.19731800766284,1.19098277608916,1.19451492537313,1.17351215423303,1.18371212121212,1.17534033254634,1.18110236220472,1.17648741418764,1.21047731059492,1.26808100289296,1.28075165806927,1.29008882655446,1.30434782608696,1.33680431386573,1.3712528946849,1.36666666666667,1.35984570877531,1.35422447787352,1.29086228269853,1.25730281403406,1.24137931034483,1.24362244897959,1.23964080492663,1.23647604327666,1.25588697017268,1.25,1.27365356622999,1.30804489505837,1.28269545386942,1.26245210727969,1.24395292207792,1.26315789473684,1.26086956521739,1.29640068478851,1.25,1.26,1.26072961373391,1.25925925925926,1.29310344827586,1.35135135135135,1.35469208211144,1.35275963181775,1.32916666666667,1.3066829004329,1.29331789329216,1.28884099616858,1.27692307692308,1.27825058009155,1.30952380952381,1.36653673321672,1.4,1.40264419754399,1.38599105812221,1.38,1.36363636363636,1.34517843672025,1.35261194029851,1.4,1.37944358578053,1.42165492957746,1.44556284148841,1.4626329787234,1.49654215702996,1.52149690930412,1.50506512301013,1.49402390438247,1.47916666666667,1.45454545454545,1.44638653161785,1.41451414514145,1.45454545454545,1.45220588235294,1.47058823529412,1.54888673765731,1.56109854198089,1.58333333333333,1.57894736842105,1.58388520971302,1.6040215457125,1.56613756613757,1.54545454545455,1.5485554020106,1.55,1.54970760233918,1.57859885760272,1.66666666666667,1.71005348143577,1.76923076923077,1.74929971988796,1.70769230769231,1.66964285714286,1.65,1.63120567375887,1.64,1.6375,1.6685393258427,1.69565217391304,1.73333333333333,1.74860853432282,1.73938679245283,1.73080568720379,1.71276858764781,1.69230769230769,1.68166666666667
"Houston, TX",6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.08732157850546,1.08834947951535,1.08514190317195,1.03064878379524,1.05921680993314,1.06515409765772,1.08466135458167,1.10916735509796,1.06820049301561,1.15384615384615,1.17009132420091,1.2785016286645,1.28608582574772,1.2568578553616,1.18543046357616,1.28119001919386,1.18423383525244,1.15853658536585,1.18150684931507,1.26584022038567,1.27716016859852,1.27272727272727,1.25,1.30841121495327,1.3247619047619,1.26410613354363,1.26723628380233,1.27592888617314,1.28055468854506,1.29316451315182,1.31000885739593,1.32734530938124,1.34014565600411,1.34623677348228,1.34873646209386,1.35784446246733,1.35068493150685,1.51459854014599,1.48213008379317,1.50296296296296,1.42953020134228,1.46063321858637,1.44417670682731,1.44015957446809,1.40986762117335,1.40061493347339,1.36986301369863,1.37617135207497,1.34359107909104,1.30609898046475,1.3039767211339,1.35969630285773,1.39292924437608,1.38095238095238,1.38868388683887,1.4087705559906,1.39205970588803,1.38709677419355,1.39739406474113,1.41639344262295,1.43582640812558,1.43936731107206,1.44190871369295,1.43300714487651,1.47586206896552,1.48416275181145,1.48499605055292,1.47534013605442,1.46805896805897,1.46363636363636,1.46722125150653,1.45833333333333,1.44020673486786,1.44267515923567,1.43223278985507,1.43053645116919,1.42693736738252,1.47658159560651,1.45707052153362,1.45575567736883,1.46592709984152,1.47204968944099,1.4693373426885,1.45384086807721
"Washington, DC",7,1.58904256595103,1.60067396798652,1.62397294895906,1.57528667944053,1.59151193633952,1.56392117230925,1.53922542204568,1.60894552723638,1.59981290926099,1.61143790849673,1.65082582582583,1.62302684322561,1.61079314084133,1.60334385671026,1.6359783661608,1.63556441528378,1.62172829130062,1.61629776328052,1.65165165165165,1.70138888888889,1.62800687285223,1.67955326460481,1.71040756222687,1.74109263657957,1.7739071096214,1.83900523560209,1.8756345177665,1.96846846846847,1.94557270511779,1.89450867052023,1.82084309133489,1.8112676056338,1.8794014084507,1.89382716049383,1.8970189701897,1.90322580645161,1.94069480953646,1.99145785876993,1.95363339200402,1.85958904109589,1.89279535343549,1.90424242424242,1.96413678065054,1.97134238310709,1.95258019525802,1.93075898801598,1.88252262443439,1.91325111802229,1.91082802547771,1.90076335877863,1.92867054314788,2.01207243460765,2.01476014760148,2.12391304347826,2.16312056737589,2.06470588235294,2.02461902562918,2.01746323529412,1.98955606457243,1.98778359511344,2.05351586807716,2.05016501650165,2.09767441860465,2.07439198855508,2.08426395939086,2.07786728703247,2.08205128205128,2.07563025210084,2.05731523378582,2.03262233375157,2.02158414029483,2.04128440366972,2.06063889162481,2.06805555555556,2.0792674219345,2.07394737793198,2.08070617906683,2.02770104358502,1.99629297037982,1.93548387096774,1.94872385556433,1.92975603070175,1.99309543341537,2.04056253917404,2.07589880159787,2.12815338042381,2.13149522799576,2.11565585331453,2.13720076405787,2.13627260589877,2.1720166729112,2.10084033613445,2.13205244831562,2.14146341463415,2.11518507902494,2.12855209742896,2.14615384615385,2.16803278688525,2.19351210130992,2.22010662604722,2.24666297653586,2.23094867422838,2.25853658536585,2.22058823529412,2.22591362126246,2.22940368455074,2.29415733904898,2.32300884955752,2.28815789473684,2.31192500465314,2.34806712517556,2.36209335219236,2.37935323383085,2.36167298163801,2.35624339323467,2.34313067150635
"Miami-Fort Lauderdale, FL",8,,1.77313239278398,1.67821782178218,1.62213740458015,1.65631469979296,1.5741589820205,1.54431657030653,1.65107319757843,1.60294475912053,1.61023947151115,1.59050754898811,1.5,1.47239263803681,1.47058823529412,1.47479031578375,1.47268328095868,1.45998046875,1.44444444444444,1.44376899696049,1.45797598627787,1.42612664004564,1.41414141414141,1.40449438202247,1.38888888888889,1.39175257731959,1.4,1.39294598436389,1.38655462184874,1.41720094557101,1.40758873929009,1.40374331550802,1.39929742388759,1.36713307240705,1.36214590452855,1.36054421768707,1.36363636363636,1.37825421133231,1.39344262295082,1.3953488372093,1.41233140655106,1.45833333333333,1.55786350148368,1.56110615521855,1.54874892148404,1.55677655677656,1.56862745098039,1.58163265306122,1.52963671128107,1.5,1.4821029082774,1.46017699115044,1.52777777777778,1.55875299760192,1.58005617977528,1.58947059842499,1.60194174757282,1.59381615553368,1.57541585978654,1.57894736842105,1.60116027631236,1.62790697674419,1.67660208643815,1.69014084507042,1.77083333333333,1.84108527131783,1.83737294761532,1.86046511627907,1.81704260651629,1.84757505773672,1.84729064039409,1.8398811239405,1.84,1.875,1.89473684210526,1.83908045977011,1.82957746478873,1.81359044995409,1.74672489082969,1.74825174825175,1.79461615154536,1.77777777777778,1.89090909090909,1.71494068032604,1.8,1.82046464117834,1.83333333333333,1.82334920707562,1.84113624408206,1.83688464364438,1.83349950149551,1.8669304732607,1.8812292358804,1.88470066518847,1.88536953242836,1.89075630252101,1.88987099602287,1.91855670103093,1.91489361702128,1.94986072423398,1.96078431372549,1.96095006049757,1.95567144719687,1.96238757154538,1.9692082111437,1.99002487562189,1.96875,1.953125,1.95836734693878,1.96696562634063,1.97230769230769,1.998001998002,2,1.9857433808554,1.99057654135297,1.99134199134199,1.9649278691167
"Atlanta, GA",9,1.04190426931509,0.941304612142336,0.952626158599382,0.970430360674263,0.954292609259864,0.807065845206007,0.73441842000794,0.864285714285714,0.903225806451613,0.893876744306562,0.981548274651723,0.842013888888889,0.894097222222222,0.892359452142061,0.87024329382408,0.866319444444444,0.833333333333333,0.815500561978163,0.830502161101097,0.833333333333333,0.802012914942993,0.811081402257873,0.825,0.804864853024927,0.88166144200627,0.873563218390805,0.853333333333333,0.862794612794613,0.853448275862069,0.860560426991994,0.89421724247078,0.862674274455777,0.894826123833757,0.904938271604938,0.875831485587583,0.851795263559969,0.880695858456064,0.848364201336654,0.854510442865883,0.85136186770428,0.840336134453782,0.891850723533892,0.87962962962963,0.917628560858306,0.905333333333333,0.911115647797876,0.963302752293578,1.0395256916996,1.01875,1.03333333333333,1.05272581633134,1.04102564102564,1.05572160996242,1.02964017148078,1.02086330935252,1.03632996632997,1.0148849797023,1.06609808102345,1.06523153722857,1.08813095407365,1.11607142857143,1.11607142857143,1.13177041228779,1.17889221556886,1.22653036862397,1.20593692022263,1.20546040111258,1.1746369875036,1.16207627118644,1.27413357508709,1.27567460385043,1.28533568904594,1.27450980392157,1.299,1.28688524590164,1.16488046166529,1.23802042419482,1.19631901840491,1.20209059233449,1.25936103908751,1.20300751879699,1.20232172470978,1.19649122807018,1.27364341085271,1.27736101582446,1.31478260869565,1.33687327982024,1.38130686517783,1.36497064579256,1.36485280999108,1.39128414417327,1.38761467889908,1.36911281489595,1.38342632619921,1.39435028248588,1.40278586211357,1.40799613707822,1.42231348391513,1.43832020997375,1.46310432569975,1.46182152713891,1.48506059622356,1.51766155852319,1.4991103202847,1.59907834101382,1.6038961038961,1.6,1.60975609756098,1.62182384147704,1.63614887779011,1.63793103448276,1.60268512122939,1.59205776173285,1.58571428571429,1.58182989690722,1.58342234403048
