"RegionName","City","State","Metro","CountyName","SizeRank","2010-02","2010-03","2010-04","2010-05","2010-06","2010-07","2010-08","2010-09","2010-10","2010-11","2010-12","2011-01","2011-02","2011-03","2011-04","2011-05","2011-06","2011-07","2011-08","2011-09","2011-10","2011-11","2011-12","2012-01","2012-02","2012-03","2012-04","2012-05","2012-06","2012-07","2012-08","2012-09","2012-10","2012-11","2012-12","2013-01","2013-02","2013-03","2013-04","2013-05","2013-06","2013-07","2013-08","2013-09","2013-10","2013-11","2013-12","2014-01","2014-02","2014-03","2014-04","2014-05","2014-06","2014-07","2014-08","2014-09","2014-10","2014-11","2014-12","2015-01","2015-02","2015-03","2015-04","2015-05","2015-06","2015-07","2015-08","2015-09","2015-10","2015-11","2015-12","2016-01","2016-02","2016-03","2016-04","2016-05","2016-06","2016-07","2016-08","2016-09","2016-10","2016-11","2016-12","2017-01","2017-02","2017-03","2017-04","2017-05","2017-06","2017-07","2017-08","2017-09","2017-10","2017-11","2017-12","2018-01","2018-02","2018-03","2018-04","2018-05","2018-06","2018-07","2018-08","2018-09","2018-10","2018-11","2018-12","2019-01","2019-02","2019-03","2019-04","2019-05","2019-06","2019-07","2019-08","2019-09"
"Northeast Dallas","Dallas","TX","Dallas-Fort Worth-Arlington","Dallas County",1,,,,,,,,,,,,,,,0.812274368231047,0.832514734774067,0.83292523669605,0.827086332235894,0.847524722131415,0.815418828762046,0.826415094339623,0.819224467504096,0.833796553640912,0.831383442614522,0.867381111855325,0.85551640010843,0.813267813267813,0.823529411764706,0.843988143891545,0.859598853868195,0.835,0.833642204101804,0.825,0.819672131147541,0.837668067226891,0.828544061302682,0.8274231678487,0.832526621490803,0.870044052863436,0.855801171018562,0.863492063492064,0.889829569993688,0.911267898767899,0.914205344585091,0.89442610106889,0.928738317757009,0.93192868719611,0.903956575599304,0.916666666666667,0.916666666666667,0.941494176233363,0.997094695991342,0.994108983799705,0.996976401525444,0.975523235189784,0.95843989769821,0.962082625919638,0.975510204081633,0.949495848161329,0.978072706289671,0.986842105263158,1.01056939292233,1.03151862464183,1.04311543810848,0.981404958677686,1.00027529109484,1.06752918383765,1.07599241667752,1.05131578947368,1.04942528735632,1.03931314957072,1.04438573335698,1.05807829946437,1.10887096774194,1.11259651878026,1.04166666666667,1.10138248847926,1.08427989368596,1.10993657505285,1.12312811980033,1.1070110701107,1.1694834369253,1.11031231069038,1.17261084022754,1.21527777777778,1.20934989150196,1.24343832020997,1.27356524477597,1.2609649122807,1.24821683309558,1.23355263157895,1.24495289367429,1.19274809160305,1.18694362017804,1.20253164556962,1.17642824456133,1.21875,1.22601279317697,1.26843657817109,1.28571428571429,1.25944584382872,1.24045801526718,1.24066972516517,1.23136953389757,1.25289356851851,1.23762376237624,1.24908223201175,1.24363425925926,1.27077223851417,1.29048911685846,1.31752534370226,1.31954350927247,1.32914482475075,1.34414468840265,1.32058287795993,1.28470390103211
"Maryvale","Phoenix","AZ","Phoenix-Mesa-Scottsdale","Maricopa County",2,,,,0.611238868528074,0.646766169154229,0.61479328352446,0.60793275339654,0.614466292134832,0.620166181512221,0.620427881297447,0.627844603381014,0.614466292134832,0.611365953109072,0.612745098039216,0.616730036966229,0.602272727272727,0.609649122807018,0.603217158176944,0.602605863192182,0.608234560199626,0.610894941634241,0.605400696864111,0.596877869605142,0.608263198163734,0.606992234569554,0.609741915075732,0.630157677571471,0.634566326530612,0.629058441558442,0.616666666666667,0.62185905893624,0.61751497005988,0.614920224234584,0.614680013750104,0.609709337124046,0.615698389672371,0.625460235640648,0.608829965579909,0.614316239316239,0.606709493219129,0.606709493219129,0.605095541401274,0.605263157894737,0.608873416470123,0.608003560180748,0.601858095793541,0.594405594405594,0.597826086956522,0.605867346938776,0.609195402298851,0.6124949979992,0.625439506346472,0.623971896665384,0.621811224489796,0.628878333205256,0.622710622710623,0.628476084538376,0.633802816901408,0.632340172736828,0.635593220338983,0.638669069069069,0.640604467805519,0.64601844372644,0.648684210526316,0.654365519792823,0.681312569521691,0.667869030739109,0.657153678847894,0.654950340737182,0.670430486944248,0.671296995611742,0.655124005615349,0.66160318399572,0.668154761904762,0.668154761904762,0.689338235294118,0.67921230075608,0.686159770462096,0.666166719636381,0.666666666666667,0.6641973074696,0.659854206383475,0.665594362745098,0.706119704102219,0.722000061758893,0.709495079662605,0.721999714915419,0.734312416555407,0.759219088937093,0.764669163545568,0.753642944142575,0.762439807383628,0.743303571428571,0.748210800260247,0.740878629932986,0.74157212492451,0.759201748332183,0.770393447876532,0.76530612244898,0.786827070973412,0.804259634888438,0.807575757575758,0.810340950807636,0.817584223500411,0.804195804195804,0.779787897691828,0.811584977721197,0.814549180327869,0.804526866334191,0.836597649692222,0.873907615480649,0.881410256410256,0.881410256410256,0.882979064752596,0.892857142857143,0.897343862167983
"Paradise","Las Vegas","NV","Las Vegas-Henderson-Paradise","Clark County",3,,,,,,,0.793650793650794,0.780417957212565,0.759046601347521,0.74424898511502,0.76,0.768916941527643,0.773558368495077,0.773809523809524,0.787039111868968,0.78125,0.776053215077605,0.780392156862745,0.778395826705084,0.766984595310431,0.764728540586613,0.758587786259542,0.752267106347898,0.749293119698398,0.739434583850245,0.747863247863248,0.739592559787422,0.739592559787422,0.751148335950525,0.74424898511502,0.739592559787422,0.740167305427356,0.745828361177407,0.747422680412371,0.74548993594144,0.749608150470219,0.754005655042413,0.759734093067426,0.764525993883792,0.763016157989228,0.766747376916868,0.76591017909938,0.764525993883792,0.762331838565022,0.757575757575758,0.757575757575758,0.757326390966944,0.756726457399103,0.753367003367003,0.754791943088882,0.751980277685891,0.759147579117391,0.76129252728684,0.757978723404255,0.766747376916868,0.780964425587467,0.778097982708934,0.786026200873362,0.783475783475784,0.784322382422029,0.784379172229639,0.794143744454303,0.806297709923664,0.803349875930521,0.805149734844546,0.818760743866229,0.835293999893236,0.82897517348899,0.820588235294118,0.806916426512968,0.82166392092257,0.810879511947128,0.85042735042735,0.865225371058571,0.852380952380952,0.86244437380801,0.868983957219251,0.836837678721615,0.858778625954199,0.843881856540084,0.840375865479723,0.86373261433857,0.839748075577327,0.868725868725869,0.883575883575884,0.88263358778626,0.89200477326969,0.925925925925926,0.916411824668705,0.931636095298334,0.946625760774442,0.948522684798397,0.927152317880795,0.929144385026738,0.935550935550936,0.931372549019608,0.944843360056538,0.95592826682912,0.989876844622695,0.992402659069326,0.992069098129704,0.990074380572386,1.01482326111745,1.03206812680234,1.01486823242541,0.99469615168361,1.02573529411765,1.04965170754117,1.07945413634903,1.09529702970297,1.12687813021703,1.09066468852084,1.10658307210031,1.13060298514435,1.09852349005956,1.0832769126608
"Upper West Side","New York","NY","New York-Newark-Jersey City","New York County",4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.93552995476108,5,5.04208754208754,5.00910746812386,5,4.99679897567222,5.01932367149758,5.08622370101499,5.18504901960784,5.26315789473684,5.25464834276475,5.2801724137931,5.33771893273331,5.33495145631068,5.3134962805526,5.24672284644195,5.23825946889075,5.27896995708154,5.33333333333333,5.33333333333333,5.28268551236749,5.30095373251909,5.24193548387097,5.24193548387097,5.27240773286468,5.34132841328413,5.35183389497467,5.34402852049911,5.35181876457671,5.35031847133758,5.35714285714286,5.34090741122004,5.34090741122004,5.23519163763066,5.23076923076923,5.19031141868512,5.15461764151705,5.19031141868512,5.07201646090535,5.19031141868512,5.20110957004161,5.22564102564103,5.22719959778783,5.17777777777778,5.21513272410792,5.22673031026253,5.15288323414734,5.14096185737977,5.14858327574292,5.14995313964386,5.12423644559869,5.13965088916419,4.96185717861834,4.93920972644377,5.00201775625504,5.01377434240189,5.06274009698344,5,4.97076023391813,5.00669946053329,5.07201646090535,5.08083140877598,5.1129110261985,5.07704160246533,5.06723716381418,5.09783728115345,5.16884906960717,5.15512265512266,5.14096185737977,5.10018214936248,5.20423180243218,5.19398642095053
"South Los Angeles","Los Angeles","CA","Los Angeles-Long Beach-Anaheim","Los Angeles County",5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.68869309838473,1.68150076932181,1.64893617021277,1.83665644171779,1.82307095078834,1.91376167691957,1.96078431372549,1.96078431372549,1.86446795295907,1.84380062563316,1.8991935483871,1.86991869918699,1.82608695652174,1.86875,1.91666666666667,1.90257648953301,2.09090909090909,2.15384615384615,2.24407897206201,2.22588623248145,2.15004191114837,2.13275400297697,2.09790839654653,1.95159177916583,2.13581599123768,2.14219787180238,2.2141638225256,2.30208333333333,2.09579614919421,2.22841225626741,2.375,2.40373284677082,2.20996903601395
"Upper East Side","New York","NY","New York-Newark-Jersey City","New York County",6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.62798207460129,4.78841870824053,4.69815436241611,4.65116279069767,4.64,4.64864864864865,4.66111111111111,4.73684210526316,4.81898297010837,5.02092050209205,5.18887673639963,5.12562814070352,5.0150105687166,5,5.00992063492064,5.07332400176809,5.09090909090909,5.17917694977829,5.22222222222222,5.22359296887599,5.20833333333333,5.25527016143152,5.21519382700001,5.22095293887913,5.15187388260455,5.09214384935947,5.11594202898551,5.14598286640426,5.14285714285714,5.18343195266272,5.18549713707254,5.23704520396913,5.15776699029126,5.12728197853707,5.0513698630137,4.9650922047282,5.02525309976112,5,4.78901544907044,5.06827579077941,5.0830889540567,5.16314157448975,5.21260290641484,5.28301886792453,5.23911415508501,5.24189301203054,5.15031187073326,5.13928571428571,5.12820512820513,5.15055467511886,5.10625737898465,5,4.76973684210526,4.70714285714286,4.79166666666667,4.79158150229944,4.86274808934907,4.89130434782609,4.79154208662405,4.77777777777778,4.78351955307263,4.75448275862069,4.78855721393035,4.81084834202996,4.8627662495587,4.89130434782609,4.89296636085627,5.04997509546737,5.07692307692308,4.95680345572354,5.00992063492064,5.00496031746032
"Sunrise Manor","Las Vegas","NV","Las Vegas-Henderson-Paradise","Clark County",7,,,,,,,,,,,,0.699300699300699,0.687022900763359,0.684647302904564,0.684245660881175,0.704960835509138,0.703532827488389,0.696564885496183,0.676743532058493,0.674632921634421,0.667666916729182,0.664439495174462,0.6645683443376,0.664379846750369,0.666144200626959,0.665622961033354,0.678273993125936,0.679442508710801,0.677783566560972,0.672484599589322,0.671326728284831,0.665455766030479,0.664715719063545,0.662307634035101,0.661717917058226,0.662675515330956,0.667556742323097,0.66793893129771,0.668058455114823,0.662690523525514,0.663796757192354,0.660774410774411,0.663877812780071,0.650905048984546,0.650452488687783,0.655861223437617,0.646551724137931,0.654652686762779,0.663143304553919,0.664715719063545,0.664684143519688,0.663430420711974,0.666193927724647,0.664684143519688,0.671628600194575,0.673076923076923,0.672043010752688,0.674739870874739,0.680863145939807,0.670366805732982,0.676213206046142,0.684931506849315,0.675413022351798,0.676213206046142,0.675546668386764,0.693379790940767,0.694444444444444,0.704409126995795,0.704592901878914,0.692182410423453,0.687022900763359,0.689229249011858,0.697294294344595,0.712763969488294,0.698174006444683,0.713063320022818,0.717852684144819,0.700934579439252,0.720108695652174,0.707289381712315,0.718685831622177,0.724798761023131,0.726277372262774,0.735385838932376,0.758654925321592,0.757229832572298,0.766666666666667,0.777355476603597,0.775946064174124,0.786250505077658,0.801526717557252,0.786479250334672,0.787071741906824,0.796991923892516,0.796991923892516,0.801526717557252,0.79646017699115,0.795784017411501,0.811751184298762,0.842736248236953,0.842736248236953,0.83969465648855,0.848522941546197,0.841356705556197,0.829875518672199,0.842501070059356,0.849550898203593,0.867598140178377,0.87463556851312,0.878378378378378,0.879218017524318,0.905292479108635,0.902779446513677,0.916230366492147,0.912996777658432,0.904675759849521
"Spring Valley","Las Vegas","NV","Las Vegas-Henderson-Paradise","Clark County",8,,,,,,0.822289671682626,0.8069270449521,0.761361942968963,0.797303150223636,0.76496919522526,0.76603325415677,0.745839360234093,0.748190712031111,0.747973149909182,0.75046904315197,0.760551741673023,0.746510951734832,0.748251748251748,0.755761454768207,0.758086253369272,0.758459743290548,0.745942571785268,0.738336010202401,0.745389920317114,0.733270365108069,0.728597449908925,0.736213757816941,0.741315136476427,0.740755027649483,0.727886138278518,0.723221909298682,0.725588785860433,0.725155089312773,0.723862695693682,0.724468373289991,0.720958276534121,0.736972994341233,0.730688935281837,0.732600732600733,0.742468771728528,0.741437789957815,0.753110674525213,0.753025925497901,0.76593137254902,0.761563210562349,0.746113989637306,0.745868097780495,0.73812560422467,0.739855898385189,0.738488271068636,0.740566037735849,0.753110674525213,0.761648745519713,0.750326504846918,0.746482978559243,0.746268656716418,0.740034829721362,0.744203440538519,0.751143043762247,0.751638305936802,0.749318801089918,0.766871165644172,0.787813620071685,0.78277373608207,0.778097982708934,0.773053561568194,0.783378746594005,0.77758470894874,0.774526678141136,0.775928965160462,0.772821576763486,0.777535809971752,0.8193315266486,0.8193315266486,0.8193315266486,0.808703170910872,0.811563169164882,0.820957095709571,0.844594594594595,0.836490533010819,0.823002754820937,0.820957095709571,0.810611643330877,0.821167883211679,0.823529411764706,0.843222985633979,0.858326369798037,0.872641509433962,0.886771068485011,0.872885979268958,0.874608150470219,0.86846940360521,0.876251788268956,0.87220326128176,0.876099706744868,0.877371273712737,0.896078236898258,0.913149798315147,0.92995686028641,0.941230486685032,0.943245496225629,0.954979536152797,0.946029450069552,0.939916388512089,0.910010111223458,0.938864222215688,0.951238683796823,0.959320948110186,0.976504998773307,1.00202449889554,1.00643382352941,1.01463427490599,1.02943412956791,1.04413466808839,1.02732160510017,1.01946809425525
"Paradise Valley","Phoenix","AZ","Phoenix-Mesa-Scottsdale","Maricopa County",9,0.913792378306365,0.907606915261856,0.873931569054057,0.858227848101266,0.895789787996417,0.913529812630277,0.862748494039522,0.885714285714286,0.885565476190476,0.876383763837638,0.920810313075506,0.903614457831325,0.879877582249426,0.889121559423508,0.909592061742007,0.908056440600819,0.91324200913242,0.899524424539756,0.899099099099099,0.881251235136886,0.840159667394887,0.834770153565015,0.853836459816175,0.853255648359394,0.84753879338098,0.868310270740215,0.853443497540359,0.873956753039222,0.880242825607064,0.878118291509364,0.871794871794872,0.86479174979574,0.869662136109504,0.872183583278997,0.876606789716546,0.890811724658918,0.884745829167402,0.883264306711723,0.905025805466483,0.869047619047619,0.871080139372822,0.884642604387827,0.893314236957582,0.891026791393316,0.865571768850457,0.861667442943642,0.87760288571897,0.865203508148293,0.862385321100917,0.872673124510377,0.876232412101297,0.89437116048136,0.916314274450079,0.903316535894483,0.899849397590361,0.88252139314009,0.882820136852395,0.883198924731183,0.90311986863711,0.927242888402626,0.946009945536349,0.931583701624462,0.965447154471545,0.984937850604495,0.975516449885233,0.965437788018433,0.959688502061383,0.961538461538462,0.965097402597403,0.974605992854168,0.995437577768561,1.00761307657859,1,1.0097465437788,1.00334448160535,0.984009840098401,0.993609295844779,1.00683043117745,0.992555831265509,0.960984680483623,0.983539094650206,0.983697777033065,0.945945945945946,1.00573650729569,1.04058385308385,1.03950103950104,1.05626326963907,1.04961832061069,1.06128954141254,1.06768117233319,1.07190710138455,1.05523315066703,1.05820105820106,1.04089373046169,1.03603603603604,1.05639611613876,1.06665519991748,1.10424028268551,1.11624326404927,1.12612612612613,1.13341968911917,1.125,1.11532356768457,1.1116367076632,1.11754966887417,1.1557657745179,1.15900164133888,1.15244713967757,1.15062620423892,1.19791666666667,1.20738636363636,1.21605442499429,1.20320855614973,1.20994567848434,1.22030031524805,1.21158079674866
"Deer Valley","Phoenix","AZ","Phoenix-Mesa-Scottsdale","Maricopa County",10,,,0.757806549885758,0.754527162977867,0.735775016350556,0.798104956268222,0.759345794392523,0.764895330112721,0.779427488335925,0.771360759493671,0.754589563570257,0.7703849323822,0.759199926140716,0.746509129967777,0.756156343656344,0.760124005219577,0.769971839336001,0.755931966123049,0.756726457399103,0.749197383975783,0.745590593265633,0.728658536585366,0.746509129967777,0.745412844036697,0.749765698219306,0.740033313201268,0.759664821165351,0.754651964162646,0.752014324082363,0.750156936597615,0.745590593265633,0.747126436781609,0.742226709908128,0.752100840336134,0.748312733285595,0.752688172043011,0.753643132074241,0.756172839506173,0.761701833051492,0.762452107279693,0.762452107279693,0.759043927648579,0.759013282732448,0.76869322152341,0.763844684914067,0.751326606233251,0.745909528392685,0.745590593265633,0.747413010677012,0.755601875977071,0.755287009063444,0.763606823720552,0.758620689655172,0.763856703396326,0.773665048543689,0.774398868458274,0.769230769230769,0.771604938271605,0.76238006842209,0.763606823720552,0.769230769230769,0.769650708957067,0.782937365010799,0.796930342384888,0.798458149779736,0.803596919353962,0.801857585139319,0.805555555555556,0.812744166737478,0.801389203063554,0.806451612903226,0.804638780118922,0.811584977721197,0.80551073846577,0.811415780637941,0.812313005052261,0.821660049593122,0.816082802547771,0.819672131147541,0.801088270858525,0.815789473684211,0.823366205328653,0.802809834420472,0.836773802744559,0.844164011570796,0.86429553346524,0.854139290407359,0.876296206803345,0.888529886914378,0.89290272074547,0.868055555555556,0.878561736770692,0.875706214689266,0.875024023134621,0.876392299206434,0.869090909090909,0.885225885225885,0.918367346938776,0.902484472049689,0.920785680557668,0.90015932023367,0.919503986546473,0.939635535307517,0.93359375,0.935570469798658,0.945166846975538,0.911377932956369,0.934436274509804,0.943902787875898,0.955414012738854,0.976496922216004,1.00511389837339,1.01264915737216,1.00732600732601,0.995504174694926,0.995751460435475
