"RegionName","State","Metro","StateCodeFIPS","MunicipalCodeFIPS","SizeRank","2010-02","2010-03","2010-04","2010-05","2010-06","2010-07","2010-08","2010-09","2010-10","2010-11","2010-12","2011-01","2011-02","2011-03","2011-04","2011-05","2011-06","2011-07","2011-08","2011-09","2011-10","2011-11","2011-12","2012-01","2012-02","2012-03","2012-04","2012-05","2012-06","2012-07","2012-08","2012-09","2012-10","2012-11","2012-12","2013-01","2013-02","2013-03","2013-04","2013-05","2013-06","2013-07","2013-08","2013-09","2013-10","2013-11","2013-12","2014-01","2014-02","2014-03","2014-04","2014-05","2014-06","2014-07","2014-08","2014-09","2014-10","2014-11","2014-12","2015-01","2015-02","2015-03","2015-04","2015-05","2015-06","2015-07","2015-08","2015-09","2015-10","2015-11","2015-12","2016-01","2016-02","2016-03","2016-04","2016-05","2016-06","2016-07","2016-08","2016-09","2016-10","2016-11","2016-12","2017-01","2017-02","2017-03","2017-04","2017-05","2017-06","2017-07","2017-08","2017-09","2017-10","2017-11","2017-12","2018-01","2018-02","2018-03","2018-04","2018-05","2018-06","2018-07","2018-08","2018-09","2018-10","2018-11","2018-12","2019-01","2019-02","2019-03","2019-04","2019-05","2019-06","2019-07","2019-08","2019-09"
"Los Angeles County","CA","Los Angeles-Long Beach-Anaheim","06","037",1,,,,,,,,,,,2.19650623885918,2.07692307692308,2.07865168539326,2.10881469704999,2.0795044141252,2.21686746987952,2.18842729970326,2.12871287128713,2.01109101868596,2.08333333333333,2,1.97986111111111,1.98989898989899,2.08021739130435,2.14088397790055,2.15941711590296,2.2118578255675,2.27316337719298,2.2578125,2.3,2.2248243559719,2.2248243559719,2.26086956521739,2.37202380952381,2.27083333333333,2.22080498866213,2.33333333333333,2.40361799217731,2.36666666666667,2.38486842105263,2.32295081967213,2.3732760249386,2.43529014844804,2.38362321250416,2.38362321250416,2.21291866028708,2.28571428571429,2.32222222222222,2.32876712328767,2.31481481481481,2.38461538461538,2.47618784530387,2.45284901706417,2.58992805755396,2.55845323741007,2.57504095004095,2.57918552036199,2.59131711998502,2.64243614931238,2.64092067688667,2.72426900584795,2.72541823782463,2.74134419551935,2.73405909797823,2.79045884578997,2.84722222222222,2.90615539858729,2.90402029664325,2.92296703296703,2.94475330520568,2.95053956834532,3.00970873786408,2.99060117302053,3.04935723951286,3.08842105263158,3.07877459516804,3.15249763388522,3.21121251629726,3.1,3.125,3.09114938294345,3.13444243382093,3.0675975177305,3.256806968856,3.48631578947368,3.54545454545455,3.48242574878863,3.43915343915344,3.54444444444444,3.64204694060156,3.5903216374269,3.58333333333333,3.57011070110701,3.50198098256735,3.4875,3.35192439862543,3.5304347826087,3.54444444444444,3.5655737704918,3.66666666666667,3.67288378766141,3.68044191181246,3.7536231884058,3.7374874749499,3.79338784063291,3.81794046661303,3.87544860498321,3.79775280898876,3.7953795379538,3.83979166666667,3.87480190174326,3.82594417077176,3.86920529801325,3.85714285714286,3.85972952528551,3.83846153846154
"Cook County","IL","Chicago-Naperville-Elgin","17","031",2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.36923076923077,2.3714953271028,2.43304808475958,2.44853271688178,2.40909090909091,2.39566929133858,2.43503937007874,2.46491228070175,2.57096774193548,2.57857142857143,2.61386138613861,2.63965500937731,2.62699822380107,2.65545989954703,2.625,2.652,2.61120624048706,2.59038142620232,2.61130136986301,2.58880308880309,2.55212355212355,2.59639481788255,2.63771874874637,2.70646195001848,2.78898007512657,2.85714285714286,2.71666666666667,2.85355767600688,2.79133858267717,2.65333333333333,2.54174067495559,2.64907407407407,2.81034482758621,2.70442477876106,2.68254207238138,2.73295129824995,2.72727272727273,2.70406504065041,2.61359447004608,2.68291924407409,2.69950657894737,2.73684210526316,2.7,2.68100778192057,2.75302183756938,2.66272189349112,2.61787072243346,2.65454545454545,2.608,2.64168250004524,2.63770794824399,2.63235294117647,2.62481671554252,2.62877697841727,2.59,2.63235294117647,2.61361624704957,2.61220472440945,2.61144578313253,2.62731871838111,2.67142857142857,2.67731516741418,2.70442477876106,2.75,2.75022935779817,2.74453781512605,2.72637795275591,2.7,2.76377952755906,2.77129658843057,2.77777777777778,2.75453177148092,2.75797101449275,2.82255083179298,2.7955223880597,2.74734607218684,2.74096000271667,2.72823779193206,2.72103900784744,2.79725609756098,2.89814814814815,2.92045454545455,2.93375394321767,2.92268907563025,2.9093023255814,2.875,2.875,2.87368421052632
"Harris County","TX","Houston-The Woodlands-Sugar Land","48","201",3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.94401244167963,1.94759896839909,1.92284417549168,1.87654320987654,1.86715328467153,1.95433945035856,2.06724137931035,1.9875,1.92059553349876,1.85567799204163,1.86395759717314,1.8,1.73611111111111,1.79416058394161,1.48,1.48,1.68334242833756
"Maricopa County","AZ","Phoenix-Mesa-Scottsdale","04","013",4,0.873095178616038,0.837341201261294,0.819062880974059,0.808003556583566,0.86257709979364,0.822585678416204,0.792045684990955,0.821428571428571,0.831834532374101,0.820955482960337,0.820561191283625,0.76574021554169,0.755208333333333,0.753623188405797,0.767359676965841,0.765973826020015,0.756682239589346,0.739093358380503,0.732084271572081,0.72337962962963,0.722052035052823,0.71806500377929,0.714285714285714,0.717762565730257,0.715827338129496,0.731895223420647,0.741083835108847,0.744047619047619,0.748975985443691,0.747863247863248,0.745833333333333,0.735726898175397,0.731846769582619,0.727979510652361,0.723301969554109,0.725297231996092,0.729166666666667,0.728383458646617,0.73758051742952,0.727309562398703,0.726978998384491,0.733814108190886,0.714285714285714,0.732441471571906,0.729755178907721,0.725806451612903,0.725875320239112,0.720642053939092,0.719888566665365,0.72442748091603,0.729438121608581,0.757201646090535,0.759548611111111,0.758532441612817,0.760456273764259,0.756655977920956,0.757575757575758,0.757233651534829,0.759786635028415,0.761868300153139,0.783197166347795,0.798630918425556,0.822350327137977,0.830860534124629,0.83797161611885,0.82737030411449,0.823723228995058,0.826084052076066,0.828363154406892,0.840840840840841,0.841913991520291,0.844984344980976,0.856734888148501,0.875813831965766,0.890770469871952,0.860975497715762,0.859220092531395,0.854785478547855,0.852962169878658,0.843644544431946,0.842184755533729,0.858895705521472,0.823774537846009,0.872211890458535,0.883222468588322,0.910456312250863,0.933808075034542,0.94384223288106,0.943836002770687,0.947306098283008,0.9375,0.931241655540721,0.934880722114765,0.93707051097525,0.93233883857219,0.944099378881988,0.960656741712076,0.988142292490119,1.01204510586543,1.01628779714038,1.01962110960758,1.02123479114884,1.01558265582656,1.00591715976331,1.01578158788392,1.02409638554217,1.033934252386,1.03832732339704,1.05178805022117,1.08565660750442,1.1204589033163,1.12735849056604,1.12179487179487,1.10743068634751,1.09527687296417,1.08870967741935
"San Diego County","CA","San Diego-Carlsbad","06","073",5,,,,,,,,,,,,,,,,,,,,2.30625511410128,2.2938478143551,2.18570402298851,2.04081632653061,1.94736842105263,2.09709119496855,2.15176767676768,2.12765957446809,2.15909090909091,2.15909090909091,2.15909090909091,2.15909090909091,2.05792676931548,2.10405405405405,2.14350331754731,2.16173120728929,2.16173120728929,2.13095238095238,2.17954545454545,2.08840048840049,2.00794630010014,1.99944320712695,2.09302325581395,2.21826923076923,2.15870904163587,2.210603282696,2.25,2.45647058823529,2.43664717348928,2.3125,2.40384615384615,2.58333333333333,2.64285714285714,2.42209821428571,2.55822784810127,2.63739209623201,2.66485753052917,2.67195318552017,2.7161269545206,2.72716488730724,2.81198910081744,2.72904483430799,2.94949494949495,2.91627725856698,2.94974747474747,2.92347600518807,2.95454545454545,3.10531180075883,3.20702402957486,3.13808166036272,2.95093795093795,2.94949494949495,2.92933160285529,2.921794313106,2.91615653560694,2.95454545454545,2.95295698924731,2.97979797979798,3.10886075949367,3.08333333333333,3.19294117647059,2.9993481095176,2.94210526315789,3.21216617210683,3.53,3.45904761904762,3.42706131078224,3.39,3.31715210355987,3.30052816901408,3.28810720268007,3.30105633802817,3.26584507042254,3.18755234505863,3.12645011600928,3.1656862745098,3.00714285714286,3.48046309696093,3.3921200750469,3.47464748366388,3.54,3.58435582822086,3.58435582822086,3.60463409606267,3.58353510895884,3.6875,3.63636363636364,3.64904862579281,3.67857142857143,3.67261904761905,3.60889041514042,3.6655701754386,3.625,3.61923319327731,3.74599542334096,3.65155131264916,3.65192307692308
"Orange County","CA","Los Angeles-Long Beach-Anaheim","06","059",6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.69440652702597,2.625,2.72365805168986,2.72926618590039,2.59852921378568,2.68067226890756,2.68067226890756,2.75954636385032,2.77917770818277,2.60952380952381,2.68275862068965,2.68275862068965,2.68275862068965,2.74285714285714,2.77508090614887,2.78802303503618,2.78444290337494,2.81398195704819,2.79607239122064,3.13018867924528,2.82857142857143,2.95090559698058,2.66051020408163,2.83333333333333,2.75487256371814,2.85294117647059,2.96324655436447,2.97583081570997,2.99100449775112,2.96925566343042,3.01678690344062,3.06198768895122,3.11827956989247,3.11133200795229,3.01470588235294,3.07209229073155,3.03343949044586,3.09335766423358,3.13213703099511,3.15878378378378,3.17292006525285,3.20466786355476,3.22321428571429,3.25448613376835,3.26065853973168,3.33333333333333,3.27825361955928,3.27606580923157,3.35048500881834,3.25,3.26111111111111,3.32805071315372,3.31296296296296,3.29411764705882,3.27018121911038,3.31598376497874,3.2962962962963,3.32407407407407
"Kings County","NY","New York-Newark-Jersey City","36","047",7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.73154125729009,2.5400641025641,2.54668930390492,2.6,2.95344541869856,2.85,2.77777777777778,2.66666666666667,2.5,2.58686160035324,2.48940677966102,2.4,2.5,2.63397129186603,2.64498442755054,2.7,2.73109243697479,2.90818181818182,2.81177184023186,2.799,2.72881355932203
"Miami-Dade County","FL","Miami-Fort Lauderdale-West Palm Beach","12","086",8,,,,,,,,,,,,,,,,,,,,,,,2.375,2.4,2.5,2.5,2.5,2.50523012552301,2.58012530875354,2.6,2.62295081967213,2.55878009392066,2.44562647754137,2.35042735042735,2.40963855421687,2.45614035087719,2.5,2.5,2.44444444444444,2.5,2.63157894736842,2.7336860670194,2.73584905660377,2.71210468920393,2.58688937801761,2.58620689655172,2.6203882324572,2.58928571428571,2.55643738977072,2.5,2.50783699059561,2.60606060606061,2.7,2.71634410514653,2.67241379310345,2.65722086236114,2.67241379310345,2.72244746185587,2.67986542443064,2.69788189987163,2.8140243902439,2.77185501066098,2.7992277992278,2.93042952208106,2.92757155890067,2.90454545454545,2.91133713463811,2.84810126582278,2.83333333333333,2.80330578512397,2.78571428571429,2.85954785954786,2.8030303030303,2.91154358319925,2.90953150242326,2.90076335877863,2.8169014084507,2.82258064516129,2.80321559452915,2.85615079365079,2.84606898153525,2.78194368068297,2.72727272727273,2.75,2.8,2.82602908389072,2.77963525835866,2.82079606938364,2.8125,2.8155637254902,2.83333333333333,2.95275590551181,2.85466218428824,2.74809160305344,2.7,2.5,2.74809160305344,2.76923076923077,3.125,3.11720698254364,3.19090909090909,2.8766328011611,2.87037037037037,2.79825834542816,2.81714609332748,2.89421157684631,2.94642857142857,3.03921568627451,3.05237626546682,3,3.09472049689441,3.16797900262467,3.16287878787879,3.16724738675958,3.13657791417828,3.14814814814815
"Dallas County","TX","Dallas-Fort Worth-Arlington","48","113",9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.60405082691759,1.60393498716852,1.67799308927904,1.67502244165171,1.625,1.6297520661157,1.66093928980527,1.62254484325473,1.62403919497741,1.79525222551929,1.61869526546251,1.66521739130435,1.47166817562439,1.70846394984326,1.75723684210526,1.75769736842105,1.7225,1.8362030741945,1.8490847964139,1.82374690950129,1.91616766467066,1.88378332887793,1.87419380366399,1.89376708101913,1.85714285714286,1.90274841437632,2.02359540938678,1.90936106983655,1.95509902615166,1.9833632782807,2.00263622018008,2.0048309178744,1.9975,2,1.97171628285377,1.99329983249581,1.92047377326565,1.93462469733656,1.98815566835871,1.96405603852412,2.00186219739292,2.03424327025816,2.00571428571429,2.05674846625767,2.04507512520868,2.08333333333333
"Queens County","NY","New York-Newark-Jersey City","36","081",10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.00584211909219,2.0625,2.40909090909091,2.45227272727273,2.33618870395975,2.22691303456696,2.16671611272848,2.05158264947245,2.10409745293466,2.05592105263158,2,1.90332018408941,1.68286088035387,1.5625,1.72862032744132,1.85824347182577,1.88593262956139,1.8542199488491,1.83333333333333,1.72669137019392,1.80160296357845,1.90393804580656,1.88524590163934,1.69985469916122,1.74305555555556,1.69499367194403,1.64285714285714,1.66083916083916,1.71428571428571,1.5625,1.5625,1.69094876126126
