"RegionName","State","Metro","StateCodeFIPS","MunicipalCodeFIPS","SizeRank","2010-02","2010-03","2010-04","2010-05","2010-06","2010-07","2010-08","2010-09","2010-10","2010-11","2010-12","2011-01","2011-02","2011-03","2011-04","2011-05","2011-06","2011-07","2011-08","2011-09","2011-10","2011-11","2011-12","2012-01","2012-02","2012-03","2012-04","2012-05","2012-06","2012-07","2012-08","2012-09","2012-10","2012-11","2012-12","2013-01","2013-02","2013-03","2013-04","2013-05","2013-06","2013-07","2013-08","2013-09","2013-10","2013-11","2013-12","2014-01","2014-02","2014-03","2014-04","2014-05","2014-06","2014-07","2014-08","2014-09","2014-10","2014-11","2014-12","2015-01","2015-02","2015-03","2015-04","2015-05","2015-06","2015-07","2015-08","2015-09","2015-10","2015-11","2015-12","2016-01","2016-02","2016-03","2016-04","2016-05","2016-06","2016-07","2016-08","2016-09","2016-10","2016-11","2016-12","2017-01","2017-02","2017-03","2017-04","2017-05","2017-06","2017-07","2017-08","2017-09","2017-10","2017-11","2017-12","2018-01","2018-02","2018-03","2018-04","2018-05","2018-06","2018-07","2018-08","2018-09","2018-10","2018-11","2018-12","2019-01","2019-02","2019-03","2019-04","2019-05","2019-06","2019-07","2019-08","2019-09"
"Los Angeles County","CA","Los Angeles-Long Beach-Anaheim","06","037",1,,1375,1450,1500,1497.5,1497.5,1500,1347.5,1340,1350,1390,1250,1295,1295,1295,1300,1295,1295,1250,1200,1200,1195,1150,1195,1250,1300,1300,1305,1320,1300,1325,1355,1395,1395,1335,1350,1435,1475,1450,1475,1450,1400,1395,1350,1395,1295,1400,1395,1350,1345,1395,1495,1495,1521.5,1575,1595,1595,1595,1630,1621,1680,1687,1695,1701,1745,1749,1779,1789,1750,1844,1795,1850,1895,1900,1910,1885,1890,1940,1800,1833,1795,1795,1795,1862,1925,1995,1995,1975,1995,2000,1995,1990,1995,1974.5,1975,1950,1979.5,1980,1939.5,2005,2100,2131,2194,2169,2200,2205,2200,2195,2200,2225,2253,2250,2250,2261.5,2275,2295
"Cook County","IL","Chicago-Naperville-Elgin","17","031",2,,1110,1145,1100,1099,1025,985,1125,1295,1300,1343,1172.5,1241,1216.5,1250,1275,1350,1300,1275,1300,1295,1291,1315,1334,1275,1200,1180,1250,1300,1300,1300,1375,1430,1395,1425,1423.5,1540,1455,1495,1506,1549,1550,1551,1525,1500,1550,1607,1595,1500,1479,1450,1440,1490,1604,1450,1641,1671,1635,1425,1550,1625,1450,1450,1467,1450,1400,1420,1595,1662,1758,1675,1621,1690.5,1545,1500,1495,1475,1425,1434,1435,1425,1500,1500,1475,1470,1471,1450,1475,1475,1475,1490,1550,1588,1595,1550,1540,1545,1545,1550,1545,1535,1550,1562.5,1550,1549,1585,1595,1624,1644,1650,1600,1600,1595,1550,1515,1542
"Harris County","TX","Houston-The Woodlands-Sugar Land","48","201",3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1155,1032,999,1035,1120,1133.5,1119,1100,1143,1157,1099,1089,1083,1100,1110,1134,1159,1157,1150,1145,1155,1160,1295,1289,1299,1225,1250,1215,1214,1193,1158.5,1120,1150,1108,1049,1099,1145,1184,1195,1199,1205,1187,1182,1195,1206,1219,1230,1246,1249,1273,1279,1270,1263,1264,1260,1260,1249,1245,1249,1237.5,1225,1225,1250,1250,1250,1260,1245,1250,1249
"Maricopa County","AZ","Phoenix-Mesa-Scottsdale","04","013",4,,,,,,,,,,,,,,,,650,650,645,650,662.5,659,650,650,659,675,689,675,674.5,675,680,699,697,699,700,690,688,695,699,695,689,689,698,688,689,680,680,700,733,726,725,735,725,729,709,725,715,720,730,745,750,759,775,795,785,795,795,800,815,804.5,819,925.5,920,900,949,925,925,979,895.5,920,925,896.5,865,856,921,974,1069,1095,1035,1025,1008,984,981,975,974,960,959,980,1009,1030,1031,1038,1050,1059.5,1056,1080,1071,1074,1084,1104,1106,1162,1179,1175,1176,1170,1180
"San Diego County","CA","San Diego-Carlsbad","06","073",5,,,,,,,,,,,,1250,1250,1225,1200,1217.5,1250,1295,1345,1350,1275,1200,1205,1248,1250,1295,1245,1240,1250,1248,1250,1293.5,1285,1305,1295,1225,1245,1240,1244,1225,1200,1100,1175,1295,1250,1175,1300,1350,1300,1295,1350,1500,1495,1480,1500,1500,1504.5,1550,1503.5,1594,1630,1570,1600,1600,1610,1631,1675,1695,1645,1641,1652.5,1650,1650,1695,1655,1600,1620,1815,1648.5,1735,1605,1620,1600,1657,1699.5,1730,1750,1775,1774,1794,1785,1780,1755,1745,1728,1750,1775,1781,1859.5,1900,1919,1939,1905,1898,1889.5,1895,1899,1895,1895,1865,1875,1895,1910,1950,1950,1950
"Orange County","CA","Los Angeles-Long Beach-Anaheim","06","059",6,1395,1385,1400,1395,1395,1572.5,1650,1395,1300,1345,1339.5,1350,1350,1350,1350,1395,1425,1395,1395,1393,1325,1350,1375,1360,1350,1350,1350,1352,1371,1375,1372,1405,1370,1378.5,1365,1380,1399,1428,1399,1395,1400,1375,1400,1495,1500,1490,1625,1605,1590,1585,1590,1605,1600,1599.5,1625,1675,1725,1725,1730,1730,1740,1720,1715,1723,1720,1730,1735,1745,1765,1770,1795,1805,1830,1853,1818,1835,1827,1822,1818,1850,1815,1855,1825,1870,1905,1905,1910,1930,1930,1929.5,1948,1945,1950,1960,1927,1925,1947,1957,1970,1990,1989,1985,1995,2005,2010,2005,2002.5,1980,2015,2045,2048,2020,2015,2020,2040,2040
"Kings County","NY","New York-Newark-Jersey City","36","047",7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2016,2000,2000,2100,2100,2150,2150,2150,2100,2100,2000,2000,2050,2000,2050,2100,2100,2100,2124,2100,2108,2100,2099,2000,2000,2000,2000,2100,2150,2100,2125,2150,2199
"Miami-Dade County","FL","Miami-Fort Lauderdale-West Palm Beach","12","086",8,1490,1450,1450,1400,1425,1350,1450,1500,1456.5,1450,1497,1449,1400,1425,1425,1450,1450,1400,1400,1450,1400,1450,1500,1497,1500,1500,1500,1550,1550,1535,1544.5,1500,1499,1495,1500,1500,1500,1550,1595,1600,1650,1750,1750,1650,1650,1699,1700,1690,1699,1650,1600,1650,1688,1700,1690,1679,1650,1698.5,1700,1700,1750,1800,1800,1850,1900,1850,1900,1850,1850,1879,1875,1900,1900,1900,1856,1850,1827,1800,1795,1800,1800,1850,1750,1799,1785,1800,1790,1799,1800,1799,1800,1800,1800,1800,1783.5,1800,1800,1800,1825,1850,1850,1850,1850,1850,1841.5,1825,1800,1850,1850,1850,1850,1850,1850,1826,1820,1800
"Dallas County","TX","Dallas-Fort Worth-Arlington","48","113",9,,,,,,,,,1250,1170,1250,1105,950,950,919,900,920,919,838.5,845,745,704,809,845,896,950,865,920,950,920,885,950,950,969,1025,1105,1009,1030,1035,1000,1040,1055,995,1060,1095,1125,1122,1150,1109,1100,1128,1100,1138,1098,1060,1045,1060,1142,1150,1120,1100,1100,1125,1125,1139,1150,1150,1186,1166,1200,1200,1200,1209,1243,1229,1202,1209,1189,1189,1275,1219,1211,1160,1275,1280.5,1285,1275,1290,1301,1306,1315,1294,1280,1316,1295,1300,1340,1313,1299,1334,1340,1350,1350,1325,1339,1350,1325,1332,1355,1350,1350,1350,1330,1334,1320,1325
"Queens County","NY","New York-Newark-Jersey City","36","081",10,1200,1200,1300,1287.5,1300,1300,1300,1350,1400,1392.5,1442.5,1375,1375,1400,1400,1402.5,1425,1450,1450,1450,1450,1450,1450,1495,1450,1500,1500,1525,1495,1500,1500,1550,1575,1575,1551,1550,1595,1600,1600,1625,1675,1750,1750,1773,1750,1700,1750,1750,1750,1750,1750,1800,1825,1850,1800,1800,1800,1800,1795,1785,1795,1795,1800,1800,1800,1850,1850,1850,1825,1850,1850,1850,1850,1850,1850,1900,1875,1900,1900,1900,1930,1975,1850,1850,1770,1795,1800,1800,1800,1800,1800,1800,1800,1800,1800,1800,1800,1800,1800,1800,1800,1800,1825,1850,1825,1800,1800,1800,1825,1850,1850,1850,1850,1850,1850,1850
